,date_type,eprintid,abstract,subjects,related_url,status_changed,eprint_status,metadata_visibility,rev_number,volume,official_url,title,divisions,type,date,dir,issn,creators,publication,datestamp,pagerange,lastmod,corp_creators,userid,refereed,full_text_status,uri,documents,publisher,ispublished,number,event_location,event_title,event_type,pres_type,contributors
0,published,1758,"Penelitian ini  ingin mengkonfirmasi bahwa efek pembingkaian berpengaruh sebagai
determinan eskalasi komitmen,  namun hal ini t ergant ung dari latar belakang
pendidikan para subyek. Penelitian ini bertujuan untuk menguji secara empiris
apakah lat ar belakang pendidikan dari seorang manajer (akunt ansi vs non
akuntansi) berpengaruh terhadap pilihan keputusan eskalasi komitmen yang diambil
seorang manajer yang mengalami efek pembingkaian (framming effect)? Penelitian ini
menggunakan rancangan eksperimen, dengan faktorial 2 x 2. Variabel independen
(faktor-faktor) adalah pembingkaian pilihan keputusan secara negatif dan positif dan Latar
belakang pendidikan. Subyek yang berpartisipasi dalam eksperimen ini sebanyak 100
orang dikelompokkan atas dua kelompok. Subyek yang  berasal dari latar belakang
pendidikan non akuntansi terdiri dari 50 orang yang diambil dari para mahasiswa fakultas
hukum sebuah perguruan tinggi, sedangkan Subyek yang  berasal dari latar belakang
pendidikan akuntansi diambil dari para mahasiswa program S1 jurusan akuntansi pada
sebuah perguruan tinggi. Tanggapan atas kuesioner oleh para subyek penelitian dianalisis
dengan ANOVA faktorial 2 x 2 dengan jenis bingkai keputusan dan tingkat latar belakang
pendidikan sebagai variabel-variabel between-subjects dan keputusan melanjutkan
proyek sebagai variabel dependen. Hasil penelitian ini konsisten dengan penelitian
Schoorman et al. (1994) yang mendapatkan efek pembingkaian tidak berpengaruh
terhadap eskalasi komitmen, namun berbeda dengan penelitian Schoorman et al. Manajer
atau subyek yang berlatar belakang akuntansi memperlihatkan kecenderungan yang kuat
untuk melanjutkan proyek.
Penelitian ini  ingin mengkonfirmasi bahwa efek pembingkaian berpengaruh sebagai
determinan eskalasi komitmen,  namun hal ini t ergant ung dari latar belakang
pendidikan para subyek. Penelitian ini bertujuan untuk menguji secara empiris
apakah lat ar belakang pendidikan dari seorang manajer (akunt ansi vs non
akuntansi) berpengaruh terhadap pilihan keputusan eskalasi komitmen yang diambil
seorang manajer yang mengalami efek pembingkaian (framming effect)? Penelitian ini
menggunakan rancangan eksperimen, dengan faktorial 2 x 2. Variabel independen
(faktor-faktor) adalah pembingkaian pilihan keputusan secara negatif dan positif dan Latar
belakang pendidikan. Subyek yang berpartisipasi dalam eksperimen ini sebanyak 100
orang dikelompokkan atas dua kelompok. Subyek yang  berasal dari latar belakang
pendidikan non akuntansi terdiri dari 50 orang yang diambil dari para mahasiswa fakultas
hukum sebuah perguruan tinggi, sedangkan Subyek yang  berasal dari latar belakang
pendidikan akuntansi diambil dari para mahasiswa program S1 jurusan akuntansi pada
sebuah perguruan tinggi. Tanggapan atas kuesioner oleh para subyek penelitian dianalisis
dengan ANOVA faktorial 2 x 2 dengan jenis bingkai keputusan dan tingkat latar belakang
pendidikan sebagai variabel-variabel between-subjects dan keputusan melanjutkan
proyek sebagai variabel dependen. Hasil penelitian ini konsisten dengan penelitian
Schoorman et al. (1994) yang mendapatkan efek pembingkaian tidak berpengaruh
terhadap eskalasi komitmen, namun berbeda dengan penelitian Schoorman et al. Manajer
atau subyek yang berlatar belakang akuntansi memperlihatkan kecenderungan yang kuat
untuk melanjutkan proyek.","['HB', 'HF', 'HF5601', 'HG']","[{'url': 'https://e-jurnal.stielampung.net/index.php/gem/article/view/110/55', 'type': 'pub'}]",2017-05-29 05:32:38,archive,show,11,4.0,https://e-jurnal.stielampung.net/index.php/gem/article/view/110/55,Framming Efect Sebagai Determinat Esklasi Komitmen Manajer Dalam Keputusan Investasi:Dampak Dari Latar Belakang Pendidikan Akuntansi dan Non Akuntansi,['FEB4'],article,2014-08-01 00:00:00.000000000,disk0/00/00/17/58,2087-4324,"[{'id': 'yuniaamelia@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Amelia', 'given': 'Yunia'}}]",Jurnal Ilmiah GEMA EKONOMI,2017-05-29 05:32:34,505-518,2017-05-29 05:32:38,['Universitas Lampung'],733,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/1758,"[{'files': [{'objectid': 1620, 'uri': 'http://repository.lppm.unila.ac.id/id/file/12155', 'datasetid': 'document', 'filesize': 324196, 'fileid': 12155, 'mime_type': 'application/pdf', 'mtime': '2017-05-28 07:17:32', 'hash_type': 'MD5', 'hash': '1cac8a4daac8b99a955b92bbe26e3f6b', 'filename': '110-13-269-1-10-20170520.pdf'}], 'docid': 1620, 'main': '110-13-269-1-10-20170520.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/1620', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 1758, 'mime_type': 'application/pdf', 'language': 'en'}]",lppm Stie Prasetiya Mandiri Lampung,pub,2.0,,,,,
1,published,24854,,['HG'],,2020-11-10 11:32:29,archive,show,7,,http://repository. I ppm .unila.ac. id/159/1 /ISEA _8%28 4%29%202014.pdf,Comparation  of Greenhouse Gas Emission  Disclosure  Before and After Enactment of the Indonesia Act No.  17 of2004,['FEB4'],other,1970-01-01 00:00:00.000002014,disk0/00/02/48/54,,"[{'name': {'honourific': None, 'family': 'Asmaranti', 'lineage': None, 'given': 'Yuztitya'}, 'id': 'yuztitya@yahoo.com'}, {'id': 'sari_170870@yahoo.com', 'name': {'honourific': None, 'family': 'Lindrianasari', 'lineage': None, 'given': 'Lindrianasari'}}]",,2020-11-10 11:32:29,,2020-11-10 11:32:29,,175,,public,http://repository.lppm.unila.ac.id/id/eprint/24854,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/38600', 'rev_number': 1, 'main': 'PENILAIAN REVIEWER COMPARATION.pdf', 'docid': 38600, 'files': [{'filename': 'PENILAIAN REVIEWER COMPARATION.pdf', 'hash': 'ab14ce47d696526f9f5fc9d13edee2fc', 'mtime': '2020-11-10 09:12:34', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 225219, 'filesize': 395589, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/225219', 'objectid': 38600}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 24854, 'placement': 1, 'security': 'public'}]",Indonesian Center for Social  &  Environmental Accounting Research  & Development (TCSEARD),pub,,,,,,
2,published,1587,"Indonesia, as a country with high vulnerable to the effects of global climate change due to
greenhouse gas emissions, is committed to implementing the Kyoto Protocol by issuing the
Law No. 17 of 2004 regulating the ratification of the Kyoto Protocol to the United Nations
Framework Convention on Climate Change. On the other hand, Indonesia with the second largest
tropical
forest
in
the
world
is
expected
to
contribute
oxygen
to
protect
the
world's
top
greenhouse

gas effect as the main cause of global warming. This study aims to provide empirical
evidence of the extent to which the response of companies in Indonesia in addressing global
warming due to carbon emissions leading to dumping greenhouse gases and what efforts done
as a form of corporate social responsibility. This study found that there are differences in the
disclosure of carbon emissions before and after the enactment of Indonesian Act No. 17 of
2004. However, the study also found that only about 10% of manufacturing companies in Indonesia have an action associated with a reduction in carbon emissions of the company.
 
Keyword: Carbon Emission Disclosure, Greenhouse Gas, Kyoto Protokol",['AC'],,2017-05-05 03:00:22,archive,show,7,8.0,,"Comparation of Greenhouse Gas Emission 
Disclosure Before and After Enactment of the  
Indonesia Act No. 17 of 2004",['FEB4'],article,1970-01-01 00:00:00.000002014,disk0/00/00/15/87,1978-0591,"[{'id': 'yuztitya@yahoo.com', 'name': {'given': 'Yuztitya', 'lineage': None, 'honourific': None, 'family': 'Asmaranti'}}, {'name': {'honourific': None, 'family': 'Lindrianasari', 'lineage': None, 'given': 'Lindrianasari'}, 'id': 'sari_170870@yahoo.com'}]",Issues in Social and Environmental Accounting,2017-05-05 03:00:22,225-235,2017-05-05 03:00:22,,175,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/1587,"[{'eprintid': 1587, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 1456, 'main': 'ISEA 2014.pdf', 'files': [{'objectid': 1456, 'uri': 'http://repository.lppm.unila.ac.id/id/file/10986', 'datasetid': 'document', 'filesize': 903055, 'mime_type': 'application/pdf', 'fileid': 10986, 'filename': 'ISEA 2014.pdf', 'hash': '1e3b7ee772da28658621ce6bc5ecb308', 'hash_type': 'MD5', 'mtime': '2017-05-05 02:31:35'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/1456', 'rev_number': 1}]",Indonesian center for social and environmental accounting research & development,pub,4.0,,,,,
3,published,24795,"Indonesia, as a country with high vulnerable to the effects of global climate change due to greenhouse gas emissions, is committed to implementing the Kyoto Protocol by issuing the Law No. 17 of 2004 regulating the ratification of the Kyoto Protocol to the United Nations Framework Convention on Climate Change. On the other hand, Indonesia with the second larg- est tropical forest in the world is expected to contribute oxygen to protect the world's top green- house gas effect as the main cause of global warming. This study aims to provide empirical evidence of the extent to which the response of companies in Indonesia in addressing global warming due to carbon emissions leading to dumping greenhouse gases and what efforts done as a form of corporate social responsibility. This study found that there are differences in the disclosure of carbon emissions before and after the enactment of Indonesian Act No. 17 of 2004. However, the study also found that only about 10% of manufacturing companies in Indo- nesia have an action associated with a reduction in carbon emissions of the company.","['H1', 'HG']",,2020-11-10 07:14:45,archive,show,9,,http://repository.lppm.unila.ac.id/159/1/ISEA_8%284%29%202014.pdf,Comparation of Greenhouse Gas Emission Disclosure Before and After Enactment of the Indonesia Act No. 17 of 2004,['FEB4'],other,1970-01-01 00:00:00.000002014,disk0/00/02/47/95,,"[{'name': {'given': 'Yuztitya', 'honourific': None, 'family': 'Asmaranti', 'lineage': None}, 'id': 'yuztitya@yahoo.com'}, {'name': {'given': 'Lindrianasari', 'lineage': None, 'honourific': None, 'family': 'Lindrianasari'}, 'id': 'sari_170870@yahoo.com'}]",,2020-11-10 07:14:45,,2020-11-10 07:14:45,,175,,public,http://repository.lppm.unila.ac.id/id/eprint/24795,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 24795, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38538', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'objectid': 38538, 'uri': 'http://repository.lppm.unila.ac.id/id/file/224842', 'mime_type': 'application/pdf', 'fileid': 224842, 'hash': 'd2a1c0ad4941cee395f21b65517db116', 'filename': 'Comparation of Greenhouse Gas Emission Disclosure Before and After Enactment of the Indonesia Act No. 17 of 2004.pdf', 'mtime': '2020-11-10 03:42:53', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 2252982}], 'docid': 38538, 'main': 'Comparation of Greenhouse Gas Emission Disclosure Before and After Enactment of the Indonesia Act No. 17 of 2004.pdf'}]",Indonesian Center for Social & Environmental Accounting Research & Development (ICSEARD),pub,,,,,,
4,published,4784,"This research aims to analyze the effect of budgetary participation and the role of public management of
district financial manager influences district government performance. In previous research, the effect of
both independent variables to dependent variable has measured qualitatively (non-financial) with
primary data based on employee’s perception. In this research, performance measuring is supported by
financial data that is Budgetary Realization Report (LRA) in 2009 – 2011, and the research
objects are districts in Lampung Province.
Populations in this research were district financial managers. Collecting data were using multistage
sampling technique. Primary data consisting of 145 respondents, which divided into two, three, and
four echelon employees who work in district governments. The method for analyzing data is multiple
regressions. To analyzing the quantitative data was using district financial performance ratio which are
efficiency ratio, effectiveness ratio, activity ratio, and district autonomy ratio.
The result of this study demonstrated that variable of budgetary participation and the role of public
management of district financial manager had significantly positive effected district government
performance. Thus, in arranging the budgetary need to involving all of employees, and the district
financial manager should has the role of Public Management so that can managing all of the resources
to achieve the goals.
Keywords: Budgetary participation, district financial manager, the role of public management, district
government, performance.","['AI', 'HB']",,2017-11-16 03:25:57,archive,show,7,19.0,http://fe-akuntansi.unila.ac.id/download/jak,PENGARUH PARTISIPASI DALAM PENGANGGARAN DAN PERAN MANAJEMEN PUBLIK PENGELOLA KEUANGAN DAERAH TERHADAP KINERJA PEMERINTAH DAERAH,['FEB4'],article,2014-07-01 00:00:00.000000000,disk0/00/00/47/84,1410-1831,"[{'id': None, 'name': {'given': 'Muhammad', 'honourific': None, 'family': 'Danepo', 'lineage': None}}, {'id': 'ninukdewi@gmail.com', 'name': {'honourific': None, 'family': 'Kesumaningrum', 'lineage': None, 'given': 'Ninuk Dewi'}}]",Jurnal Akuntansi dan Keuangan,2017-11-16 03:25:57,313-328,2017-11-16 03:25:57,,202,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/4784,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 4784, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17695', 'docid': 17695, 'main': 'JAK-Juli-2014.pdf', 'files': [{'datasetid': 'document', 'filesize': 1509483, 'mime_type': 'application/pdf', 'fileid': 46604, 'filename': 'JAK-Juli-2014.pdf', 'hash': 'ab67c4013c24a0f2cb7c25ade91e9c92', 'mtime': '2017-11-07 01:43:48', 'hash_type': 'MD5', 'objectid': 17695, 'uri': 'http://repository.lppm.unila.ac.id/id/file/46604'}]}]",Fakultas Ekonomi Universitas Lampung,pub,2.0,,,,,
5,published,26207,,['HG'],,2020-11-19 11:40:47,archive,show,7,,,3.	Pengaruh Manajemen Laba Terhadap Nilai Perusahaan Dengan Mekanisme Corporate Governance Sebagai Variabel Pemoderasi Pada Perusahaan Yang Terdaftar Di Bursa Efek Indonesia,['FEB4'],other,1970-01-01 00:00:00.000002014,disk0/00/02/62/07,,"[{'id': None, 'name': {'given': 'Febriani', 'family': 'Devia', 'honourific': None, 'lineage': None}}, {'name': {'honourific': None, 'family': 'Asmaranti', 'lineage': None, 'given': 'Yuztitya'}, 'id': 'yuztitya@yahoo.com'}]",,2020-11-19 11:40:47,,2020-11-19 11:40:47,,175,,public,http://repository.lppm.unila.ac.id/id/eprint/26207,"[{'main': 'PENILAIAN Reviewer pengaruh manajemen laba.pdf', 'docid': 40102, 'files': [{'fileid': 236181, 'mime_type': 'application/pdf', 'mtime': '2020-11-19 04:34:18', 'hash_type': 'MD5', 'hash': 'ae4e5dc790b152ee28428dc5134c3781', 'filename': 'PENILAIAN Reviewer pengaruh manajemen laba.pdf', 'datasetid': 'document', 'filesize': 401080, 'objectid': 40102, 'uri': 'http://repository.lppm.unila.ac.id/id/file/236181'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40102', 'rev_number': 1, 'eprintid': 26207, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",Fakultas Ekonomi dan Bisnis Universitas Lampung,pub,,,,,,
6,,1600,"Budgets in the public sector, especially in local government becomes the starting point for local governments to implement public service. Many strategic decisions relating to the budget that must be taken by public manager for future service improvements.
This study raised the issue that the quality of public manager strategic decisions require performance measurement information and role stress in local government. Therefore, the performance of public managers associated with budgeting evaluated in this study.
The study was conducted by using experimental methods to obtain evidence of a causal relationship between performance measurement information, job rotation, role stress, and performance of public managers. This study used a Multivariate Analysis of Variance and path analysis as an data analysis. 
The results showed that lower role ambiguity on public manager who received non-financial and financial performance information than public manager who received non-financial performance information only. Public manager performance was significantly higher at the time experience low role ambiguity. These results support the role theory and contingency theory. However, no evidence was obtained that public managers who received non-financial and financial performance measurement information experience role conflict is lower than the official who received the non-financial performance measurement information or financial information alone. Similarly, about the job rotation. This study did not obtain evidence that role ambiguity and role conflict were lower in the job rotation with high frequency.
The results also indicate that role ambiguity is fully mediate the effects of performance measurement information on the performance of local government public managers. However, no evidence was obtained that role conflict mediates the influence of performance measurement information on the performance of public managers. Other results showed that role ambiguity and role conflict did not mediate the association with the job rotation and performance.

Keyword: financial and non-financial performance information, job rotation, performance measurement, role stress.",['AC'],,2017-05-05 03:26:29,archive,show,7,,,"PERFORMANCE MEASUREMENT INFORMATION, JOB ROTATION, ROLE STRESS AND PERFORMANCE:
INVESTIGATING IN LOCAL GOVERNMENT",['FEB4'],conference_item,1970-01-01 00:00:00.000002014,disk0/00/00/16/00,,"[{'name': {'given': 'Fajar', 'lineage': None, 'honourific': None, 'family': 'Gustiawaty Dewi'}, 'id': 'fajargd@yahoo.com'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Halim', 'given': 'Abdul'}, 'id': 'ahalim58@yahoo.com'}, {'id': None, 'name': {'lineage': None, 'family': 'Sugiri', 'honourific': None, 'given': 'Slamet'}}, {'id': None, 'name': {'lineage': None, 'family': 'Nahartyo', 'honourific': None, 'given': 'Ertambang'}}]",,2017-05-05 03:26:29,,2017-05-05 03:26:29,,331,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/1600,"[{'files': [{'datasetid': 'document', 'filesize': 235282, 'fileid': 11076, 'mime_type': 'application/pdf', 'mtime': '2017-05-05 03:08:50', 'hash_type': 'MD5', 'hash': '0d580126f276a227059a0c887769cac0', 'filename': 'ARTICLE FOR NZMAC.pdf', 'objectid': 1469, 'uri': 'http://repository.lppm.unila.ac.id/id/file/11076'}], 'docid': 1469, 'main': 'ARTICLE FOR NZMAC.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1469', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 1600, 'mime_type': 'application/pdf', 'language': 'en'}]",,unpub,,New Zealand,New Zealand Management Accounting Conference,conference,paper,
7,published,3583,"This study aimed to examine the effect of auditor tenure in artificial rotation on audit
quality. Tenure shows the relationship between the audit firms and a client that is
measured in years. Artificial rotation of auditor (audit firm) indicates a condition that,
conceptually, there has been a change of auditors leading to the auditor relationship
with the client to be disconnected, whereas substantive auditor-client relationship is
ongoing. Formally, the auditor does not violate the rules and is still able to audit for
the same client. Yet, in the long-term, it could affect the audit quality. The longer
auditor tenure, the closer auditor-client relationship is. Thus, the auditor accommodates
the interests of the client at the client's financial statements, including the practice
of discretionary accruals as a proxy for audit quality. The samples were selected by
purposive sampling method of the companies listed in Indonesia Stock Exchange from
the year 2002-2010, with multiple linear regression approach. It shows that tenure,
and total assets do not affect the quality of the audit while the size of the audit firm,
and debt statistically have significant effect on audit quality. Future studies may extend
the period of observation, and using other audit quality measures, such as fraud,
and the propensity of auditor to issue going concern opinion",['H1'],[{'url': 'https://journal.perbanas.ac.id/index.php/jebav/article/view/365/284'}],2017-07-20 09:02:02,archive,show,6,17.0,https://journal.perbanas.ac.id/,The effect of audit firm tenure in artificial rotation on audit quality,['FEB4'],article,2014-12-01 00:00:00.000000000,disk0/00/00/35/83,2087-3735,"[{'name': {'lineage': None, 'family': 'Junaidi', 'honourific': None, 'given': 'Junaidi'}}, {'name': {'family': 'Apriyanto', 'honourific': None, 'lineage': None, 'given': 'Harun Pamungkas'}}, {'name': {'given': 'Nurdiono', 'lineage': None, 'family': 'Nurdiono', 'honourific': None}}, {'name': {'honourific': None, 'family': 'Suwardi', 'lineage': None, 'given': 'Eko'}}]","Journal of Economics, Business, and Accountancy Ventura",2017-07-20 09:02:02,439-448,2017-07-20 09:02:02,,732,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/3583,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/25075', 'objectid': 3444, 'filesize': 264781, 'datasetid': 'document', 'mtime': '2017-06-13 09:15:22', 'hash_type': 'MD5', 'filename': 'IIIA1b2a.pdf', 'hash': 'ae5a6c54594b13891b619d442598aa54', 'fileid': 25075, 'mime_type': 'application/pdf'}], 'main': 'IIIA1b2a.pdf', 'docid': 3444, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3444', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 3583, 'language': 'en', 'mime_type': 'application/pdf'}]",Perbanas Business School Surabaya - Indonesia,pub,3.0,,,,,
8,published,159,"Indonesia, as a country with high vulnerable to the effects of global climate change due to greenhouse gas emissions, is committed to implementing the Kyoto Protocol by issuing the Law No. 17 of 2004 regulating the ratification of the Kyoto Protocol to the United Nations Framework Convention on Climate Change. On the other hand, Indonesia with the second larg- est tropical forest in the world is expected to contribute oxygen to protect the world's top green- house gas effect as the main cause of global warming. This study aims to provide empirical evidence of the extent to which the response of companies in Indonesia in addressing global warming due to carbon emissions leading to dumping greenhouse gases and what efforts done as a form of corporate social responsibility. This study found that there are differences in the disclosure of carbon emissions before and after the enactment of Indonesian Act No. 17 of 2004. However, the study also found that only about 10% of manufacturing companies in Indo- nesia have an action associated with a reduction in carbon emissions of the company.",['HG'],,2016-11-04 02:48:36,archive,show,6,8.0,,Comparation of Greenhouse Gas Emission Disclosure Before and After Enactment of the Indonesia Act No. 17 of 2004,['FEB4'],article,1970-01-01 00:00:00.000002014,disk0/00/00/01/59,1978-0591,"[{'name': {'lineage': None, 'family': 'Lindrianasari', 'honourific': None, 'given': 'Lindrianasari'}, 'id': 'sari_170870@yahoo.com'}]",Issues in Social and Environmental Accounting,2016-11-04 02:48:36,225-234,2016-11-04 02:48:36,['Universitas Lampung'],901,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/159,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/174', 'rev_number': 1, 'main': 'ISEA_8(4) 2014.pdf', 'docid': 174, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/934', 'objectid': 174, 'hash_type': 'MD5', 'mtime': '2016-07-14 03:04:48', 'hash': 'f88a816a418af085a600170dd7de3eac', 'filename': 'ISEA_8(4) 2014.pdf', 'fileid': 934, 'mime_type': 'application/pdf', 'filesize': 901482, 'datasetid': 'document'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 159, 'placement': 1, 'security': 'public'}]",,pub,4.0,,,,,
9,published,22138,,['H1'],,2020-06-10 00:54:24,archive,show,6,10.0,,ANALISIS ASIMETRI INFORMASI TERHADAP PRAKTIK MANAJEMEN LABA,['FEB4'],article,1970-01-01 00:00:00.000002014,disk0/00/02/21/38,1411-9366,"[{'name': {'family': 'Metalia', 'honourific': None, 'lineage': None, 'given': 'Mega'}, 'id': 'mega.metalia@feb.unila.ac.id'}]",Jurnal Bisnis dan Manajemen,2020-06-10 00:54:24,237,2020-06-10 00:54:24,,92,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/22138,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/35551', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'datasetid': 'document', 'filesize': 637143, 'fileid': 203942, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-06-09 09:03:55', 'hash': '58c511de30a17ca32620ea56a63efef8', 'filename': 'JBM Volume 10 No. 2 Tahun 2014.pdf', 'objectid': 35551, 'uri': 'http://repository.lppm.unila.ac.id/id/file/203942'}], 'docid': 35551, 'main': 'JBM Volume 10 No. 2 Tahun 2014.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 22138}]",Jurusan Manajemen Fakultas Ekonomi dan Bisnis Universitas Lampung,pub,2.0,,,,,
