,volume,rev_number,metadata_visibility,title,official_url,subjects,abstract,status_changed,eprint_status,date_type,eprintid,full_text_status,uri,refereed,ispublished,number,publisher,documents,datestamp,pagerange,userid,lastmod,dir,date,publication,issn,creators,divisions,type,related_url,corp_creators,pres_type,event_title,event_location,event_dates,event_type,place_of_pub,contributors,id_number,referencetext,monograph_type,pages,succeeds,editors,isbn
0,12,6,show,"PENGARUH PERSEPSI KEADILAN PROSEDURAL,
PERSEPSI KEADILAN DISTRIBUTIF, DAN
EMOTIONAL EXHAUSTION TERHADAP KINERJA
AKUNTAN MANAJEMEN",http://manajemen.feb.unila.ac.id/publikasi/jbmanajemen/,['HF5601'],"Abstrak
Penelitian ini bertujuan untuk menguji secara empiris pengaruh persepsi
keadilan prosedural, persepsi keadilan distributif, dan emotional exhaustion
terhadap kinerja akuntan. Hipotesa yang peneliti ajukan yaitu sebanyak lima
hipotesa. Metoda penelitian yang peneliti gunakan yaitu menggunakan metoda
survey. Populasi dari penelitian ini yaitu perusahaan manufaktur dengan teknik
pengambilan sampel menggunakan metoda convenience sampling. Berdasarkan
hasil pengujian hipotesa diperoleh hasil sebagai berikut satu sampai lima tidak
terdukung. Peneliti menduga bahwa ketidak terdukungan ini disebabkan karena
kesalahan pengukuran pada variabel emotional exhausted serta keadaan responden
yang jarang mengalami kelelahan secara emosional. Akibat kesalahan pengukuran
ini berimplikasi pada ketidak mampuan hasil penelitian dalam memperkuat teori
yang ada. Sehingga, tentu saja ini menjadi keterbatasan dalam penelitian ini yaitu
kesalahan pengukuran serta sedikitnya jumlah responden yang masuk dalam
penelitian ini.
Kata Kunci: Keadilan Prosedural, Keadilan Distributif, Emotional Exhaustion,
Kinerja.
3",2017-11-16 03:38:13,archive,published,5017,public,http://repository.lppm.unila.ac.id/id/eprint/5017,TRUE,pub,1.0,Jurusan Manajemen Fakultas Ekonomi dan Bisnis Universitas Lampung,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17936', 'main': 'JBM jan 2016.pdf', 'docid': 17936, 'files': [{'datasetid': 'document', 'filesize': 1059429, 'fileid': 48231, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2017-11-09 22:33:55', 'hash': '7df4fa84df4497b327dbe40057d36de8', 'filename': 'JBM jan 2016.pdf', 'objectid': 17936, 'uri': 'http://repository.lppm.unila.ac.id/id/file/48231'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 5017, 'security': 'public', 'placement': 1}]",2017-11-16 03:38:13,247-331,684,2017-11-16 03:38:13,disk0/00/00/50/17,2016-01-01 00:00:00.000000000,Jurnal Bisnis dan Manajemen,1411-9366,"[{'name': {'honourific': None, 'family': 'Agustina', 'lineage': None, 'given': 'Yenni'}, 'id': 'yenni_shofa@yahoo.co.id'}]",['FEB4'],article,,,,,,,,,,,,,,,,
1,2,6,show,Insider Trading In Capital Market (Kajian Literatur Empiris AKuntansi Berbasis Pasar Modal),https://www.darmajaya.ac.id/,['HG'],"This article presents literature study based on the capital market that is derived from
various sources of books, study the papers from 10 international journals that published
between the years 1997-2012, identify gaps on the existing literature and indicate the
future research for researchers. This article provides the study of the literature with
comprehensive and makes a critical analysis of the insider trading in the stock market.
This research is expected to be a source of information that is very useful for researchers
and managers who want to understand the insider trading and do further research on
diversities and interesting issue about this problem.",2017-05-05 02:58:15,archive,published,1584,public,http://repository.lppm.unila.ac.id/id/eprint/1584,TRUE,pub,1.0,IBI Darmajaya,"[{'docid': 1454, 'main': '624-1576-1-PB.pdf', 'files': [{'datasetid': 'document', 'filesize': 431585, 'fileid': 10982, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2017-05-05 02:31:09', 'filename': '624-1576-1-PB.pdf', 'hash': 'ceef584b438b21856e0931dfdd88c7ae', 'objectid': 1454, 'uri': 'http://repository.lppm.unila.ac.id/id/file/10982'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/1454', 'rev_number': 1, 'eprintid': 1584, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",2017-05-05 02:58:15,125-140,733,2017-05-05 02:58:15,disk0/00/00/15/84,2016-01-01 00:00:00.000000000,Jurnal Bisnis Darmajaya,2407-1560,"[{'name': {'honourific': None, 'family': 'Amelia', 'lineage': None, 'given': 'Yunia'}, 'id': 'yuniaamelia@yahoo.com'}]",['FEB4'],article,[{'url': 'https://journal.darmajaya.ac.id/index.php/JurnalBisnis/article/view/624/416'}],,,,,,,,,,,,,,,
2,,7,show,Studi Pendahuluan: Kajian Teoritis Kolaborasi Peran Akuntan,,['HF5601'],"The question in this paper is how the synergy of collaboration role of accountants with stakeholders: universities, professional associations, regulators, corporations, and the media in Professional Accounting Education Program in Indonesia ?. Interest paper wants to know whether the synergy between the stakeholders: universities, professional associations, regulators, corporations, and the media had been running particularly well in Professional Accounting Education Program in Indonesia. The method used is an exploratory study with qualitative techniques, this study is a preliminary study to develop the concept with a clearer picture of the problems to be studied. The first step in an exploratory study is a secondary literature search with the analytical approach for evaluating the document notes, reports, government regulations and opinions of both contemporary and historical value or confidential or public. (Coper, 2006) .Resulst  and Implications Research Indonesian Institute of Accountants has not been able to fully synergize well with the college through the Professional Accounting Education Program to produce graduates that professional accountants and integrity, as well as adoption of the regulation has not been fully impact on the company or the institution as a professional accountant users , the media also has not been much to contribute to the dissemination of information regarding the development of accountants.

Keywords : Role of Accountants , Stakeholders , Study Exploration",2017-05-31 01:59:37,archive,published,2067,public,http://repository.lppm.unila.ac.id/id/eprint/2067,TRUE,pub,,,"[{'files': [{'filesize': 217088, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2017-05-30 06:23:06', 'hash': '355095b1461500e82e0b31aea2d00e85', 'filename': 'PAPER SNA 19_Yunia Amelia_2016.doc', 'fileid': 14351, 'mime_type': 'application/msword', 'uri': 'http://repository.lppm.unila.ac.id/id/file/14351', 'objectid': 1938}], 'docid': 1938, 'main': 'PAPER SNA 19_Yunia Amelia_2016.doc', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1938', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 2067, 'language': 'en', 'mime_type': 'application/msword'}]",2017-05-31 01:59:37,260-260,733,2017-05-31 01:59:37,disk0/00/00/20/67,2016-08-27 00:00:00.000000000,,,"[{'id': 'yuniaamelia@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Amelia', 'given': 'Yunia'}}]",['FEB4'],conference_item,,['Universitas Lampung'],poster,"Simposium Nasional Akuntansi SNA XIX Lampung 2016 ""Pendidikan Akuntansi Sebagai Katalis Revitalisasi Peran Akuntan: Kolaborasi Stakeholder Untuk Akuntan Indonesia Unggul","Universitas Lampung, Kota Bandar Lampung",24-27 Agustus 2016,conference,,,,,,,,,
3,,8,show,"Good government governance and opinions of the
audit board of Republik Indonesia",https://www.inderscience.com/info/inarticle.php?artid=76479,['HG'],"his study aims to provide an empirical evidence over the transparency and accountability of local governments of Indonesia. This research is important because local governments should be able to apply the principles of good government governance, as a ways of improving services to the public. This study used two variables as predictors of the performance of local government financial reporting, transparency and accountability. The final sample for testing the relationship of transparency on the performance of local government financial statements are as many as 461 local governments. While the sample for testing the relationship of accountability on the performance of local government financial statements is as many as 1,238 in period 2009–2011. The results of the testing of both hypotheses of this study indicate that good government governance (shown by the degree of transparency and accountability) have been associated with the performance of local government financial statements.",2020-07-24 00:58:04,archive,published,23361,public,http://repository.lppm.unila.ac.id/id/eprint/23361,,pub,,Inder Science,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 23361, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36957', 'format': 'text', 'pos': 1, 'files': [{'objectid': 36957, 'uri': 'http://repository.lppm.unila.ac.id/id/file/213683', 'datasetid': 'document', 'filesize': 917929, 'mime_type': 'application/pdf', 'fileid': 213683, 'filename': '1A.pdf', 'hash': 'd4a4a408d0ce910e46aaaad75613a979', 'mtime': '2020-07-23 14:41:50', 'hash_type': 'MD5'}], 'main': '1A.pdf', 'docid': 36957}, {'files': [{'datasetid': 'document', 'filesize': 2505124, 'fileid': 213685, 'mime_type': 'application/pdf', 'mtime': '2020-07-23 14:42:07', 'hash_type': 'MD5', 'filename': 'Simil 1A.pdf', 'hash': 'fa3cb82c6497fe8209b5c8c71d6e88a6', 'objectid': 36958, 'uri': 'http://repository.lppm.unila.ac.id/id/file/213685'}], 'main': 'Simil 1A.pdf', 'docid': 36958, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36958', 'rev_number': 1, 'format': 'text', 'pos': 2, 'security': 'public', 'placement': 2, 'eprintid': 23361, 'language': 'en', 'mime_type': 'application/pdf'}]",2020-07-24 00:58:04,,901,2020-07-24 00:58:04,disk0/00/02/33/61,1970-01-01 00:00:00.000002016,,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Aminah', 'given': 'Aminah'}, 'id': None}, {'name': {'lineage': None, 'honourific': None, 'family': 'Lindrianasari', 'given': 'Lindrianasari'}, 'id': 'lindrianasari@feb.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Rosmiaty', 'honourific': None, 'given': 'Rosmiaty'}, 'id': None}]",['FEB4'],other,,"['Universitas Bandar Lampung', 'Universitas Lampung', 'Universitas Bandar Lampung']",,,,,,Int. J. Monetary Economics and Finance,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,,,,,,
4,9,6,show,"Good government governance and opinions of the
audit board of Republik Indonesia",,['HG'],"This study aims to provide an empirical evidence over the transparency and accountability of local governments of Indonesia. This research is important because local governments should be able to apply the principles of good government governance, as a ways of improving services to the public. This study used two variables as predictors of the performance of local government financial reporting, transparency and accountability. The final sample for testing the relationship of transparency on the performance of local government financial statements are as many as 461 local governments. While the sample for testing the relationship of accountability on the performance of local government financial statements is as many as 1,238 in period 2009–2011. The results of the testing of both hypotheses of this study indicate that good government governance (shown by the degree of transparency and accountability) have been associated with the performance of local government financial statements.",2020-12-16 03:13:32,archive,published,27113,public,http://repository.lppm.unila.ac.id/id/eprint/27113,TRUE,pub,2.0,Inder Science,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 27113, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41127', 'format': 'text', 'pos': 1, 'files': [{'objectid': 41127, 'uri': 'http://repository.lppm.unila.ac.id/id/file/243082', 'datasetid': 'document', 'filesize': 208059, 'fileid': 243082, 'mime_type': 'application/pdf', 'mtime': '2020-12-16 03:08:37', 'hash_type': 'MD5', 'filename': '2016 Aminah, Lindrianasari, Rosmiati IJMEF-92-2016.pdf', 'hash': '3168aa01d9c39bebadab0be4341579df'}], 'docid': 41127, 'main': '2016 Aminah, Lindrianasari, Rosmiati IJMEF-92-2016.pdf'}]",2020-12-16 03:13:32,198-211,901,2020-12-16 03:13:32,disk0/00/02/71/13,1970-01-01 00:00:00.000002016,"nt. J. Monetary Economics and Finance,",,"[{'name': {'given': 'Aminah', 'lineage': None, 'family': 'Aminah', 'honourific': None}, 'id': None}, {'id': 'lindrianasari@feb.unila.ac.id', 'name': {'family': 'Lindrianasari', 'honourific': None, 'lineage': None, 'given': 'Lindrianasari'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Rosmiaty', 'given': 'Rosmiaty'}, 'id': None}]",['FEB4'],article,,"['Universitas Bandar Lampung', 'Universitas Lampung', 'Universitas Bandar Lampung']",,,,,,,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],,,,,,,
5,,10,show,Good government governance and opinions of the audit board of Republik Indonesia,https://www.inderscience.com/info/inarticle.php?artid=76479,['HG'],"This study aims to provide an empirical evidence over the transparency and accountability of local governments of Indonesia. This research is important because local governments should be able to apply the principles of good government governance, as a ways of improving services to the public. This study used two variables as predictors of the performance of local government financial reporting, transparency and accountability. The final sample for testing the relationship of transparency on the performance of local government financial statements are as many as 461 local governments. While the sample for testing the relationship of accountability on the performance of local government financial statements is as many as 1,238 in period 2009–2011. The results of the testing of both hypotheses of this study indicate that good government governance (shown by the degree of transparency and accountability) have been associated with the performance of local government financial statements.",2020-07-24 00:57:59,archive,published,23359,public,http://repository.lppm.unila.ac.id/id/eprint/23359,,pub,,Inder Science,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/36954', 'rev_number': 1, 'pos': 2, 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'fileid': 213665, 'hash': 'fa3cb82c6497fe8209b5c8c71d6e88a6', 'filename': 'Simil 1A.pdf', 'mtime': '2020-07-23 14:19:56', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 2505124, 'objectid': 36954, 'uri': 'http://repository.lppm.unila.ac.id/id/file/213665'}], 'docid': 36954, 'main': 'Simil 1A.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 2, 'security': 'public', 'eprintid': 23359}]",2020-07-24 00:57:59,,901,2020-07-24 00:57:59,disk0/00/02/33/59,1970-01-01 00:00:00.000002016,,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Aminah', 'given': 'Aminah'}, 'id': None}, {'name': {'lineage': None, 'family': 'Lindrianasari', 'honourific': None, 'given': 'Lindrianasari'}, 'id': 'lindrianasari@feb.unila.ac.id'}, {'id': None, 'name': {'given': 'Rosmiaty', 'lineage': None, 'honourific': None, 'family': 'Rosmiaty'}}]",['FEB4'],other,,"['Universitas Bandar Lampung', 'Universitas Lampung', 'Universitas Bandar Lampung']",,,,,,Int. J. Monetary Economics and Finance,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,,,,,,
6,,8,show,"PENDETEKSIAN KECURANG LAPORAN KEUANGAN MENGGUNAKAN
FRAUD DIAMOND",https://www.unisbank.ac.id/ojs/index.php/fe3/article/view/4307/1311,['HG'],"This study aimed to analyze the factors that encourage fraudulent financial reports with analysis of diamond fraud. This research analyzes the influence of variable pressure proxied by financial stability, external pressure, financial targets, the opportunity proxied by nature of industry, razionalization proxied by audit opinion, and the capability to replace any directors proxies against financial statements fraudulent. The sample was a total of 27 real estate companies and real estate listing on the Indonesian Stock Exchange in the period 2010-2014. The results showed that the variables of financial stability as measured by the ratio of the change in total assets showed a positive influence on fraudulent financial statements. This study did not find a variable external pressure as measured by the leverage ratio, financial targets as measured by return on assets, nature of industry as measured by the ratio of inventory changes, the audit opinion as measured by obtaining an unqualified opinion with clarifying language, and capablity measured with the change of directors influence on fraudulent financial statements.",2020-07-24 01:00:33,archive,published,23377,public,http://repository.lppm.unila.ac.id/id/eprint/23377,,pub,,Unisbank,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 23377, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36994', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/213843', 'objectid': 36994, 'filesize': 782127, 'datasetid': 'document', 'hash': '871a3439c0660de1fb52c7365bf632c9', 'filename': '3D.pdf', 'mtime': '2020-07-23 16:17:13', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 213843}], 'main': '3D.pdf', 'docid': 36994}, {'security': 'public', 'placement': 2, 'eprintid': 23377, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/213845', 'objectid': 36995, 'filesize': 5367395, 'datasetid': 'document', 'filename': 'Simil 3D.pdf', 'hash': '6468946bafd44a60d6a1ed3b6f2137db', 'mtime': '2020-07-23 16:17:47', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 213845}], 'main': 'Simil 3D.pdf', 'docid': 36995, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36995', 'rev_number': 1, 'format': 'text', 'pos': 2}]",2020-07-24 01:00:33,,901,2020-07-24 01:00:33,disk0/00/02/33/77,1970-01-01 00:00:00.000002016,,,"[{'id': None, 'name': {'given': 'Mafiana', 'lineage': None, 'honourific': None, 'family': 'Annisya'}}, {'name': {'lineage': None, 'family': 'Lindrianasari', 'honourific': None, 'given': 'Lindrianasari'}, 'id': 'lindrianasari@feb.unila.ac.id'}, {'id': 'yuztitya@yahoo.com', 'name': {'lineage': None, 'family': 'Asmaranti', 'honourific': None, 'given': 'Yuztitya'}}]",['FEB4'],other,,['Universitas Lampung'],,,,,,Jurnal Bisnis dan Ekonomi (JBE),[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],,,,,,,
7,,7,show,Pendeteksian Kecurangan Laporan Keuangan Menggunakan Fraud Diamond,,['HG'],,2020-11-19 17:53:21,archive,published,26351,public,http://repository.lppm.unila.ac.id/id/eprint/26351,,pub,,Fakultas Ekonomi dan Bisnis Unisbank,"[{'docid': 40245, 'main': 'PENILAIAN Reviewer pendeteksian kecurangan.pdf', 'files': [{'filesize': 382545, 'datasetid': 'document', 'mtime': '2020-11-19 16:14:33', 'hash_type': 'MD5', 'hash': '6c1df1fc06c0e86fabfa2299b910e6cf', 'filename': 'PENILAIAN Reviewer pendeteksian kecurangan.pdf', 'fileid': 237340, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/237340', 'objectid': 40245}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/40245', 'rev_number': 1, 'eprintid': 26351, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",2020-11-19 17:53:21,,175,2020-11-19 17:53:21,disk0/00/02/63/51,1970-01-01 00:00:00.000002016,,,"[{'id': None, 'name': {'given': 'Mafiana', 'lineage': None, 'family': 'Annisya', 'honourific': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Lindrianasari', 'given': 'Lindrianasari'}, 'id': 'sari_170870@yahoo.com'}, {'name': {'given': 'Yuztitya', 'lineage': None, 'honourific': None, 'family': 'Asmaranti'}, 'id': 'yuztitya@yahoo.com'}]",['FEB4'],other,,,,,,,,,,,,,,,,
8,21,6,show,"BANKRUPTCY ANALYSIS USING SPRINGATE S-SCORE MODEL IN
ALL COMPANIES LISTED IN BEI YEAR 2011-2014",,['AI'],"This study aimed to determine and compare the level of health by using Springate S-Score
model before and after the decline of rupiah during 2011-2014. This research population is all
companies listed on BEI during 2011-2014.
Results of this study are; in 2011 there were 144 companies categorized bankrupt / financially
unhealthy and 139 companies categorized healthy. In 2012 there were 135 companies
categorized bankrupt/financially unhealthy and 148 companies categorized healthy. In 2013
there were 151 companies categorized bankrupt/financially unhealthy and 132 companies
categorized healthy. In 2014 there were 157 companies categorized bankrupt/financially
unhealthy and 126 companies categorized healthy. Based on the Wilcoxon Signed Ranks test
shows the level of health after a decline in Rupiah is significantly different compared to the
prior decline in Rupiah with a probability level of 0.00 is smaller than significance level of 0.05.
Keywords: Company's bankruptcy analysis, Springate S-Score",2017-05-30 07:23:09,archive,published,2058,public,http://repository.lppm.unila.ac.id/id/eprint/2058,FALSE,pub,2.0,Fakultas Ekonomi Universitas Lampung,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 2058, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1930', 'pos': 1, 'format': 'text', 'files': [{'hash': 'abe3af85cfcd9614c02f1dd6ca3b18ed', 'filename': 'JAK 2016.pdf', 'hash_type': 'MD5', 'mtime': '2017-05-30 06:12:13', 'mime_type': 'application/pdf', 'fileid': 14299, 'filesize': 354831, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/14299', 'objectid': 1930}], 'main': 'JAK 2016.pdf', 'docid': 1930}]",2017-05-30 07:23:09,105-116,175,2017-05-30 07:23:09,disk0/00/00/20/58,2016-07-01 00:00:00.000000000,Jurnal Akuntansi dan Keuangan,1410-1831,"[{'name': {'given': 'Yuztitya', 'honourific': None, 'family': 'Asmaranti', 'lineage': None}, 'id': 'yuztitya@yahoo.com'}]",['FEB4'],article,,,,,,,,,,,,,,,,
9,,7,show,PENGARUH GAYA BELAJAR TEHADAP PEMAHAMAN DASAR AKUNTANSI MAHASISWA,https://sna-iaikapd.or.id/sna19lampung/,['HF5601'],"This research was motivated by the phenomenon the lacking of a good level in understanding accounting lesson for students majoring in accounting, seen from the fluctuations in academic achievement based on the introduction of the first accounting year 2011-2014 and still there are students who do not understand the accounting that can be viewed by the achievement of students who got the value of C +, C, D and E increase in 2014. The purpose of this study was to examine the factors that influence student understanding of basic accounting views of the achievement of students. One factor that was emerged author of the learning styles of students, because learning is a process of understanding the basic concepts of accounting students will be accounting in college.

The population in this study was including Lampung University accounting student force 2015, 2014 and 2013, which totaled 968 students. Selection of sample research conducted in accordance with the purpose (purposive sampling). Samples are taken as many as 210 accounting students from the University of Lampung regular courses S1. Data used in this study are primary data and researchers test the data by using SPSS 21 software which includes descriptive statistical analysis, validity, reliability test different test t-test and linear regression.

The results of this study indicate that auditory learning style is more dominant than the other learning styles and average highest achievement level accounting students in group auditory learning style. From the test results there is no difference between a basic understanding of accounting students with a visual learning style auditory, kinesthetic and auditory to kinesthetic to visual.

Keywords: visual learning styles, learning styles auditory, kinesthetic learning style, a basic understanding of accounting",2021-01-06 03:07:05,archive,published,27244,public,http://repository.lppm.unila.ac.id/id/eprint/27244,TRUE,pub,,Fakultas Ekonomi Universitas Lampung,"[{'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en', 'eprintid': 27244, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41256', 'rev_number': 1, 'main': '261 PAK-024- Camera ready Hal Judul Edit-ABSTRAK SNA.docx', 'docid': 41256, 'files': [{'fileid': 243989, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'mtime': '2021-01-06 02:38:59', 'hash_type': 'MD5', 'filename': '261 PAK-024- Camera ready Hal Judul Edit-ABSTRAK SNA.docx', 'hash': '134bc3f1f99197c903652b3e580fae30', 'datasetid': 'document', 'filesize': 14918, 'objectid': 41256, 'uri': 'http://repository.lppm.unila.ac.id/id/file/243989'}]}, {'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 27244, 'placement': 2, 'security': 'public', 'pos': 2, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41257', 'main': 'Paper yang diterima SNA19 Lampung 2016-Poster Paper - v01.pdf', 'docid': 41257, 'files': [{'objectid': 41257, 'uri': 'http://repository.lppm.unila.ac.id/id/file/243991', 'mime_type': 'application/pdf', 'fileid': 243991, 'hash': 'd9ef827c11afa961a57f91e13bef7cae', 'filename': 'Paper yang diterima SNA19 Lampung 2016-Poster Paper - v01.pdf', 'hash_type': 'MD5', 'mtime': '2021-01-06 02:39:11', 'datasetid': 'document', 'filesize': 230337}]}]",2021-01-06 03:07:05,,606,2021-01-06 03:07:05,disk0/00/02/72/44,2016-08-01 00:00:00.000000000,Prosiding Simposium Nasional Akuntansi 19 Lampung ISBN 978-979-19119-9-3,,"[{'id': None, 'name': {'honourific': None, 'family': 'Bainal', 'lineage': None, 'given': 'Arif'}}, {'name': {'given': 'gustiwaty', 'lineage': None, 'family': 'fajar', 'honourific': None}, 'id': None}, {'name': {'lineage': None, 'family': 'Nauli', 'honourific': None, 'given': 'Pigo'}, 'id': 'pigo.nauli@feb.unila.ac.id'}]",['FEB4'],article,,,,,,,,,,,,,,,,
