,eprintid,date_type,eprint_status,status_changed,subjects,abstract,title,volume,rev_number,metadata_visibility,type,divisions,publication,issn,creators,date,dir,corp_creators,lastmod,userid,datestamp,pagerange,ispublished,number,contributors,documents,publisher,uri,full_text_status,refereed,official_url,related_url,event_type,event_dates,event_title,event_location,pres_type,contact_email,id_number,monograph_type,pages,referencetext,succeeds,isbn,place_of_pub,institution,department,book_title,series
0,31146,published,archive,2021-05-29 00:33:23,['HG'],"his study aims to provide empirical evidence on the impact of mining company policies in Lampung Province on improving community welfare. The issue used in this study was the enactment of Law No. 23 of 2014 which transferred the authority to manage mineral and coal mining to the Province (previously managed by the Regency/City). This study separates two periods of observation, namely before and after the authority to administer affairs in the mineral and coal mining sector has shifted to the provincial government. Using secondary data derived from records of receipts sourced from mining companies in each region for five years of observation (2010-2014 for the before period). While the 2015-2018 data will be collected from the government of Lampung Province, because since 2015 the authority to administer affairs in the mineral and coal mining sector has shifted to the Provincial government (2015-2018 for the after period). This welfare is 
measured using local original income. The greater the annual average local original income from mining 
received by the Province compared to the average accumulated annual local original income from mining 
received in all districts / cities in Lampung, the welfare index in Lampung Province also increases. The results of the 2010-2018 analysis show an increase in local original income from mining companies after the enactment of Law No. 23 of 2014. This finding indicates that mining regulations issued by the government improve 
community welfare and confirm regulatory theory, especially the theory of public interest.",MINING REGULATION AND IT’S IMPACT ON PUBLIC WELFAR,19,7,show,article,['FEB4'],International Journal of GEOMATE,2186-2982,"[{'id': None, 'name': {'given': 'Hamartoni', 'family': 'Ahadis', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Wan Abbas', 'family': 'Zakaria', 'honourific': None, 'lineage': None}, 'id': 'Wan_abbas@yahoo.com'}, {'id': 'irwanbanuwa@yahoo.com', 'name': {'given': 'Irwan Sukri', 'lineage': None, 'honourific': None, 'family': 'Banuwa'}}, {'name': {'given': 'Lindrianasari', 'lineage': None, 'honourific': None, 'family': 'Lindrianasari'}, 'id': 'lindrianasari@feb.unila.ac.id'}]",2020-08-01 00:00:00.000000000,disk0/00/03/11/46,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",2021-05-29 00:33:23,901,2021-05-29 00:33:23,225-230,pub,72,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]","[{'eprintid': 31146, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': '2020 Evana et al.pdf', 'docid': 140683, 'files': [{'objectid': 140683, 'uri': 'http://repository.lppm.unila.ac.id/id/file/369219', 'fileid': 369219, 'mime_type': 'application/pdf', 'mtime': '2021-05-28 06:34:09', 'hash_type': 'MD5', 'hash': '341c5e799b8c2107c0412e66ced7cdb9', 'filename': '2020 Evana et al.pdf', 'datasetid': 'document', 'filesize': 445989}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/140683', 'rev_number': 1}]",The Geomate International Society,http://repository.lppm.unila.ac.id/id/eprint/31146,public,TRUE,,,,,,,,,,,,,,,,,,,
1,21617,published,archive,2020-06-03 04:43:48,['HG'],"This study aims to provide empirical evidence on the impact of mining company policies in Lampung Province on improving community welfare. The issue used in this study was the enactment of Law No. 23 of 2014 which transferred the authority to manage mineral and coal mining to the Province (previously managed by the Regency/City). This study separates two periods of observation, namely before and after the authority to administer affairs in the mineral and coal mining sector has shifted to the provincial government. Using secondary data derived from records of receipts sourced from mining companies in each region for five years of observation (2010-2014 for the before period). While the 2015-2018 data will be collected from the government of Lampung Province, because since 2015 the authority to administer affairs in the mineral and coal mining sector has shifted to the Provincial government (2015-2018 for the after period). This welfare is measured using local original income. The greater the annual average local original income from mining received by the Province compared to the average accumulated annual local original income from mining received in all districts / cities in Lampung, the welfare index in Lampung Province also increases. The results of the 2010-2018 analysis show an increase in local original income from mining companies after the enactment of Law No. 23 of 2014. This finding indicates that mining regulations issued by the government improve community welfare and confirm regulatory theory, especially the theory of public interest.",MINING REGULATION AND IT’S IMPACT ON PUBLIC WELFARE,19,7,show,article,['FEB4'],International Journal of GEOMATE,2186-2982,"[{'id': 'mulangmaya@yahoo.com', 'name': {'lineage': None, 'family': 'Ahadis', 'honourific': None, 'given': 'Hamartoni'}}, {'name': {'honourific': None, 'family': 'Zakaria', 'lineage': None, 'given': 'Wan Abbas'}, 'id': 'Wan_abbas@yahoo.com'}, {'name': {'given': 'Irwan Sukri', 'family': 'Banuwa', 'honourific': None, 'lineage': None}, 'id': 'irwanbanuwa@yahoo.com'}, {'name': {'given': 'Lindrianasari', 'family': 'Lindrianasari', 'honourific': None, 'lineage': None}, 'id': 'sari_170870@yahoo.com'}]",1970-01-01 00:00:00.000002020,disk0/00/02/16/17,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",2020-06-03 04:43:48,901,2020-06-03 04:43:48,225-230,pub,72,,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 21617, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35003', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/200196', 'objectid': 35003, 'filename': '2020 Ahadis et al..pdf', 'hash': '9a3a323d868a2a91ebb64dc7e4bc5f3d', 'mtime': '2020-06-03 04:20:29', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 200196, 'filesize': 151799, 'datasetid': 'document'}], 'main': '2020 Ahadis et al..pdf', 'docid': 35003}]",The Geomate International Society,http://repository.lppm.unila.ac.id/id/eprint/21617,public,TRUE,https://www.geomatejournal.com/node/1924,,,,,,,,,,,,,,,,,,
2,31199,published,archive,2021-05-29 00:35:53,['HG'],": This study aims to provide empirical evidence on the impact of mining company policies in Lampung Province on improving community welfare. The issue used in this study was the enactment of Law No. 23 of 2014 which transferred the authority to manage mineral and coal mining to the Province (previously managed by the Regency/City). This study separates two periods of observation, namely before and after the authority to administer affairs in the mineral and coal mining sector has shifted to the provincial government. Using secondary data derived from records of receipts sourced from mining companies in each region for five years of observation (2010-2014 for the before period). While the 2015-2018 data will be collected from the government of Lampung Province, because since 2015 the authority to administer affairs in the mineral and coal mining sector has shifted to the Provincial government (2015-2018 for the after period). This welfare is measured using local original income. The greater the annual average local original income from mining received by the Province compared to the average accumulated annual local original income from mining 
received in all districts / cities in Lampung, the welfare index in Lampung Province also increases. The results of the 2010-2018 analysis show an increase in local original income from mining companies after the enactment of Law No. 23 of 2014. This finding indicates that mining regulations issued by the government improve 
community welfare and confirm regulatory theory, especially the theory of public interest.",MINING REGULATION AND IT’S IMPACT ON PUBLIC WELFARE,19,7,show,article,['FEB4'],International Journal of GEOMATE,"2186-2982 (P), 2186-2990 (O)","[{'id': None, 'name': {'given': 'Hamartoni', 'family': 'Ahadis', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Wan Abbas', 'honourific': None, 'family': 'Zakaria', 'lineage': None}, 'id': 'Wan_abbas@yahoo.com'}, {'name': {'given': 'Irwan Sukri', 'honourific': None, 'family': 'Banuwa', 'lineage': None}, 'id': 'irwanbanuwa@yahoo.com'}, {'id': 'lindrianasari@feb.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Lindrianasari', 'given': 'Lindrianasari'}}]",2020-08-01 00:00:00.000000000,disk0/00/03/11/99,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",2021-05-29 00:35:54,901,2021-05-29 00:35:53,225-230,pub,72,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]","[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 31199, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/140990', 'docid': 140990, 'main': '2020 Ahadis et al..pdf', 'files': [{'objectid': 140990, 'uri': 'http://repository.lppm.unila.ac.id/id/file/369892', 'fileid': 369892, 'mime_type': 'application/pdf', 'mtime': '2021-05-28 14:25:13', 'hash_type': 'MD5', 'filename': '2020 Ahadis et al..pdf', 'hash': '9a3a323d868a2a91ebb64dc7e4bc5f3d', 'datasetid': 'document', 'filesize': 151799}]}]",GEOMATE,http://repository.lppm.unila.ac.id/id/eprint/31199,public,TRUE,,,,,,,,,,,,,,,,,,,
3,25894,published,archive,2020-11-18 01:29:54,['H1'],"This study aims to analyze the factors that influence the individual's intention to do whistle blowing. This study uses a questionnaire to gather the information needed. The variables used in this study are Subjective Norms, Attitudes Towards Behavior, Perceptions About Behavioral Control, Locus of Control, and Reward as independent variables and Intentions as dependent variables.
The total samples in this study were 112 samples and using random sampling techniques in data collection. Respondents in this study were the Village Consultative Body in 7 Sub-districts in South Lampung District. Data were analyzed using Partial Least Square (PLS). The Partial Least Squares (PLS) technique was chosen because this tool is widely used to estimate the path model with a small sample size [1] then it is used for a very complex model (consisting of many latent variables and manifests) without problems [2].
The results of this study indicate that the subjective norm, attitudes toward behavior and the reward variable does not affect the individual's intention to do whistle blowing. Then, the behavioral control and locus of control variables indicate that the two variables affect the individual's intention to do whistleblowing.",Factors Affecting Whistleblowing Intention: Case Study on the Implementation of Village Funds,15,5,show,article,['FEB4'],"Asian Journal of Economics, Business and Accounting",2456-639X,"[{'name': {'given': 'Ulin Nuha', 'lineage': None, 'family': 'Alfani', 'honourific': None}}, {'name': {'family': 'Dewi', 'honourific': None, 'lineage': None, 'given': 'Fajar Gustiawaty'}}, {'name': {'given': 'Susi', 'honourific': None, 'family': 'Sarumpaet', 'lineage': None}}]",2020-06-10 00:00:00.000000000,disk0/00/02/58/94,['University of Lampung'],2020-11-18 01:29:54,331,2020-11-18 01:29:54,18-29,pub,4,,,Till Date,http://repository.lppm.unila.ac.id/id/eprint/25894,none,TRUE,https://journalajeba.com/index.php/AJEBA/article/view/30219,[{'url': 'https://doi.org/10.9734/ajeba/2020/v15i430219'}],,,,,,,,,,,,,,,,,
4,26466,completed,archive,2020-11-20 06:48:18,['H1'],"The aim of this research is to find the correlation between financial performance, firm size, foreign ownership as independent variables and environmental investment as dependent variable. The measurement of environmental investment is environmental investment total per assets total. This research is using quantitative approach that examined the correlation between variables through hypothesis testing. The sample of this research is 46 public listed mining companies in the period of 2014-2018 by purposive sampling method. The data and hypothesis analysis used correlation analysis.
The results indicated that financial performance have positive correlation on environmental investment whereas firm size and foreign ownership do not have any correlation on environmental investment. Great environmental investment can lead to higher profit, reputation and legitimacy of the company.",Finance Sustainability to the Environmental Investment,,8,show,conference_item,['FEB4'],,,"[{'name': {'family': 'Alvira', 'honourific': None, 'lineage': None, 'given': 'Chairunnisa'}, 'id': None}, {'name': {'family': 'Lindrianasari', 'honourific': None, 'lineage': None, 'given': 'Lindrianasari'}, 'id': 'sari_170870@yahoo.com'}, {'name': {'given': 'Yuztitya', 'lineage': None, 'family': 'Asmaranti', 'honourific': None}, 'id': 'yuztitya@yahoo.com'}, {'id': 'reni.oktavia@feb.unila.ac.id', 'name': {'given': 'Reni', 'family': 'Oktavia', 'honourific': None, 'lineage': None}}]",2020-05-19 00:00:00.000000000,disk0/00/02/64/66,['Universitas Lampung'],2020-11-20 06:48:18,260,2020-11-20 06:48:18,01-08,submitted,,,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40354', 'main': 'Finance Sustainability to the Environmental Investment.pdf', 'docid': 40354, 'files': [{'objectid': 40354, 'uri': 'http://repository.lppm.unila.ac.id/id/file/238173', 'mime_type': 'application/pdf', 'fileid': 238173, 'hash': 'c1758c42ed116cde4d8ef96bd4ce96d1', 'filename': 'Finance Sustainability to the Environmental Investment.pdf', 'hash_type': 'MD5', 'mtime': '2020-11-20 06:19:23', 'datasetid': 'document', 'filesize': 250361}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 26466, 'security': 'public', 'placement': 1}]",,http://repository.lppm.unila.ac.id/id/eprint/26466,public,FALSE,http://mia.sps.upi.edu/,,conference,19 MEI 2020,Accounting Research Competition,"UPI, Bandung",paper,reni.oktavia@feb.unila.ac.id,,,,,,,,,,,
5,26486,,archive,2020-11-20 07:46:35,['HG'],"Abstract This study wants to explore how to implement sustainable finance in the financial services
industry, given the objectives of sustainable finance. This is will essential for realizing sustainable
economic growth while still paying attention to environmental sustainability and the financial services
industry, including industries that already have a concept to participate in sustainable development. This
study is expected to contribute to developing concepts and theories related to financial and environmental
performance. This research method is a literature study to systematically identify and analyze document
documents that contain or relate to problems in the research carried out. The final stage is to find the main
concepts based on data to be visualized or presented in the form of data analysis results. Results Until
now, few studies in Indonesia have examined sustainable finance implementation in the Financial
Services Industry Sector. Many financial industries have not correctly implemented the concept of
sustainable development, which has been transformed into the financial services industry sector.

Keywords: Implementation, Sustainability, Financing, Banking","Implementation of Sustainable Financing 
in Banking Industry",,11,show,conference_item,['FEB4'],,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Amelia', 'given': 'Yunia'}, 'id': 'yuniaamelia@yahoo.com'}]",1970-01-01 00:00:00.000002020,disk0/00/02/64/86,,2020-11-20 07:46:35,733,2020-11-20 07:46:35,,inpress,,,"[{'eprintid': 26486, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': 'ISBN Abstract Book_ICEBE 2020.pdf', 'docid': 40371, 'files': [{'mtime': '2020-11-20 07:27:01', 'hash_type': 'MD5', 'filename': 'ISBN Abstract Book_ICEBE 2020.pdf', 'hash': '82e771d4216feebe06ac38b5a9c1ff1c', 'fileid': 238288, 'mime_type': 'application/pdf', 'filesize': 1241493, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/238288', 'objectid': 40371}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/40371', 'rev_number': 1}]",,http://repository.lppm.unila.ac.id/id/eprint/26486,public,FALSE,,,conference,"October 1 st , 2020,",The 3rd International Conference of Economics Business & Entrepreneurship (ICEBE) 2020,Hotel Horison,paper,,,,,,,,,,,,
6,26046,published,archive,2020-11-18 07:59:14,"['H1', 'HF5601']","Abstrak:

Tujuan Kegiatan pengabdian ini melatih santri dan pengelola untuk memanfaatkan potensi yang ada di lingkungan sekitarnya untuk dapat menjadi salah satu sumber arus kas masuk bagi pesantren maupun bagi kesejahteraan santri yang sebagaian berasal dari
keluarga yang tidak mampu. Lingkungan disekitar pesantren jika dikelola dengan benar dapat menghasilkan sesuatu yang bermanfaat untuk menjadi salah satu sumber pemasukan bernilai ekonomis.Adapun metode yang dilakukan berupa pelatihan dan pendampingan dengan materi potensi pengoptimalan pemanfaatan lingkungan berpotensi ekonomi, pengelolaan arus kas masuk dan keluar serta manajemen keuangan. Luaran dari hasil pengabdian ini adalah meningkatkan skill dan pengetahuan santri dan pengelola
pondok untuk meningkatkan value ekonominya dengan tetap
menjaga kelestarian lingkungan di sekitar pondok dengan
memberikan skill pelatihan pengelolaan keuangan dan lingkungan bernilai ekonomis dengan memanfaatkan berbagai potensi yang ada dilingkungannya agar dapat meningkatkan kesejahteraan pondok dan santrinya.  Kegiatan ini telah dilaksanakan Pada Hari Sabtu tanggal 8 Agustus dan 15 Agustus dengan narasumber Tim Dosen Pengabdian dari Fakultas Ekonomi dan Bisnis Universitas Lampung
bertempat di Pondok Pesantren dihadiri 60 peserta. Hasilnya terjadi peningkatan pengetahuan rata-rata 40 persen dari peserta mengenai materi yang diberikan.
 
Kata kunci: pelatihan manajemen, value ekonomi, value
lingkungan, sustainability","PELATIHAN PENINGKATAN VALUE EKONOMI DAN LINGKUNGAN PONDOK
PESANTREN UNTUK SUSTAINABILITY DI ERA SOCIETY 5.0","Vol 1,",10,show,article,['FEB4'],Yumary: Jurnal Pengabdian Kepada Masyarakat,,"[{'id': 'yuniaamelia@yahoo.com', 'name': {'given': 'Yunia', 'family': 'Amelia', 'honourific': None, 'lineage': None}}, {'id': 'yuliansyah@feb.unila.ac.id', 'name': {'given': 'Yuliansyah', 'family': 'Yuliansyah', 'honourific': None, 'lineage': None}}, {'id': None, 'name': {'lineage': None, 'family': 'Winata', 'honourific': None, 'given': 'Andri'}}]",1970-01-01 00:00:00.000002020,disk0/00/02/60/46,,2020-11-18 07:59:14,733,2020-11-18 07:59:14,33-38,pub,33,,"[{'eprintid': 26046, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': '58-Article Text-186-2-10-20200910.pdf', 'docid': 39871, 'files': [{'hash': '48afd85018ff4a439740b24d3a91465e', 'filename': '58-Article Text-186-2-10-20200910.pdf', 'hash_type': 'MD5', 'mtime': '2020-11-18 07:29:11', 'mime_type': 'application/pdf', 'fileid': 234993, 'filesize': 315893, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/234993', 'objectid': 39871}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39871'}]",,http://repository.lppm.unila.ac.id/id/eprint/26046,public,FALSE,,,,,,,,,,,,,,,,,,,
7,35977,published,archive,2021-11-11 04:56:03,['HF5601'],"Abstract
Tujuan Kegiatan pengabdian ini melatih santri dan pengelola untuk memanfaatkan potensi yang ada di lingkungan sekitarnya untuk dapat menjadi salah satu sumber arus kas masuk bagi pesantren maupun bagi kesejahteraan santri yang sebagaian berasal dari keluarga yang tidak mampu. Lingkungan disekitar pesantren jika dikelola dengan benar dapat menghasilkan sesuatu yang bermanfaat untuk menjadi salah satu sumber pemasukan bernilai ekonomis.  Adapun metode yang dilakukan berupa pelatihan dan pendampingan dengan materi potensi pengoptimalan pemanfaatan lingkungan berpotensi ekonomi, pengelolaan arus kas masuk dan keluar serta manajemen keuangan. Luaran dari hasil pengabdian ini adalah meningkatkan skill dan pengetahuan santri dan pengelola pondok untuk meningkatkan value ekonominya dengan tetap menjaga kelestarian lingkungan di sekitar pondok dengan memberikan skill pelatihan pengelolaan keuangan dan lingkungan bernilai ekonomis dengan memanfaatkan berbagai potensi yang ada dilingkungannya agar dapat meningkatkan kesejahteraan pondok dan santrinya.  Kegiatan ini telah dilaksanakan Pada Hari Sabtu tanggal 8 Agustus dan 15 Agustus dengan narasumber Tim Dosen Pengabdian dari Fakultas Ekonomi dan Bisnis Universitas Lampung bertempat di Pondok Pesantren dihadiri 60 peserta. Hasilnya terjadi peningkatan pengetahuan rata-rata 40 persen dari peserta mengenai materi yang diberikan.

Kata kunci: pelatihan manajemen, value ekonomi, value lingkungan, sustainability",Pelatihan peningkatan value ekonomi dan lingkungan pondok pesantren untuk sustainability di era society 5.0,1,7,show,article,['FEB4'],Yumary: Jurnal Pengabdian kepada Masyarakat,: 2746-0576,"[{'id': 'yunia.amelia@feb.unila.ac.id2', 'name': {'honourific': None, 'family': 'Amelia', 'lineage': None, 'given': 'Yunia'}}, {'id': 'yuliansyah@feb.unila.ac.id', 'name': {'lineage': None, 'family': 'Yuliansyah', 'honourific': None, 'given': 'Yuliansyah'}}, {'name': {'given': 'Andri', 'family': 'Winata', 'honourific': None, 'lineage': None}, 'id': 'andriwinata@darmajaya.ac.id'}]",2020-09-25 00:00:00.000000000,disk0/00/03/59/77,"['FEB, Universitas Lampung', 'FEB, Universitas Lampung', 'IIB Darmajaya']",2021-11-11 04:56:03,608,2021-11-11 04:56:03,19-24,pub,1,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]","[{'eprintid': 35977, 'date_embargo': '2021-11-25', 'security': 'validuser', 'placement': 1, 'language': 'id', 'mime_type': 'application/pdf', 'content': 'published', 'docid': 156926, 'main': '58-Full Manuscript-186-4-10-20201014.pdf', 'files': [{'datasetid': 'document', 'filesize': 324189, 'mime_type': 'application/pdf', 'fileid': 417358, 'filename': '58-Full Manuscript-186-4-10-20201014.pdf', 'hash': '6c580bfae430da42d6eef872bebf4358', 'mtime': '2021-11-11 04:22:06', 'hash_type': 'MD5', 'objectid': 156926, 'uri': 'http://repository.lppm.unila.ac.id/id/file/417358'}], 'format': 'text', 'pos': 1, 'formatdesc': 'Yumary: Jurnal Pengabdian Kepada Masyarakat', 'uri': 'http://repository.lppm.unila.ac.id/id/document/156926', 'rev_number': 2}]",Penerbit Goodwood,http://repository.lppm.unila.ac.id/id/eprint/35977,restricted,TRUE,https://www.penerbitgoodwood.com/index.php/jpm,[{'url': 'https://www.penerbitgoodwood.com/index.php/jpm/article/view/58'}],,,,,,,https://doi.org/10.35912/jpm.v1i1.58,,,,,,,,,,
8,26727,completed,archive,2020-11-24 01:29:50,['HG'],"Abstrak
Penelitian ini ingin mengeksplorasi lebih jauh lagi bagaimana Efektifitas implementasi sustainable
financing pada industri jasa keuangan. Metode dalam penelitian ini adalah kualitatif deskriptif dengan
pengumpulan data secara sekunder dan primer lalu dikoding dengan menggunakan Software kualitatif
Nvivo dengan tahapan penelitian ini pertama mengeksplorasi teks atau sumber data penelitian dari
berbagai sumber lalu dilakukan koding, yakni kegiatan secara kontiue dalam menganalisis data.
Tahap akhir menemukan konsep-konsep utama berdasarkan data untuk selanjutnya divisualisasikan
atau dipresentasikan dalam bentuk hasil analisis data. Penelitian ini diharapkan memberikan implikasi
bagi pengambil kebijakan dalam penyusunan regulasi dan evaluasi dari sebuah program yang sedang
berjalan khususnya bagi sektor perbankan dan lembaga keuangan, hasil penelitian ini dapat menjadi
tolok ukur sejauh mana implementasi sustainable financing di sektor industri jasa keuangan di
Indonesia.Bank yang sudah berkomitmen untuk melaksanakan prinsip keuangan berkelanjutan, dalam
laporannya sudah melaksanakan prinsip-prinsip keuangan berkelanjutan. Penelitian ini memiliki
keterbatasan karena hanya mengeksplorasi data-data dalam laporan keberlanjutan delapan bank,
penelitian lebih lanjut dengan melihat sejauh mana pengimplementasiannya diperbankan dengan
mendapatkan informasi langsung dari pelaku perbankan melalui focus grup disscusion dibutuhkan
untuk mendapatkan hasil yang lebih baik.
Kata kunci: Implementasi, keuangan berkelanjutan, Bank","Efektivitas Implementasi Sustainable Financing
pada Industri Jasa Keuangan",,7,show,conference_item,['FEB4'],,,"[{'id': 'yuniaamelia@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Amelia', 'given': 'Yunia'}}, {'id': None, 'name': {'family': 'yenni', 'honourific': None, 'lineage': None, 'given': 'agustina'}}]",1970-01-01 00:00:00.000002020,disk0/00/02/67/27,,2020-11-24 01:29:50,733,2020-11-24 01:29:50,,unpub,,,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 26727, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40701', 'main': 'PROGRAM BOOK STABEK 4.pdf', 'docid': 40701, 'files': [{'mtime': '2020-11-23 10:55:39', 'hash_type': 'MD5', 'filename': 'PROGRAM BOOK STABEK 4.pdf', 'hash': 'f55a73ba4990206009513393ad4d384d', 'fileid': 240111, 'mime_type': 'application/pdf', 'filesize': 6653249, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/240111', 'objectid': 40701}]}]",,http://repository.lppm.unila.ac.id/id/eprint/26727,public,FALSE,,,conference,,"Seminar Teknologi, Akuntansi, Bisnis, Ekonomi dan Komunitas 4 STABEK 4",,speech,,,,,,,,,,,,
9,24341,,archive,2020-10-25 06:31:45,"['HF5601', 'HG']","This study aims to examine the concept of information technology investment and digitalization in increasing profitability and fee-based income with company size as a control variable. The purpose of this study is to contribute to banking companies in improving performance, especially in the field of technology and digital. The population of this study is all banking companies listed on the Indonesia Stock Exchange. This research uses quantitative methods with secondary data from the company's financial statements. Analysis of the data in this study used Eviews 8 software. The results showed that information technology investment had a positive effect on profitability and fee-based income. While digitalization has a positive effect on fee-based income but its effect on profitability is not significant. This shows that digitalization increases fee-based income but the operational costs of digitalization are still relatively high so that revenues from digitalization and operating costs are still relatively balanced as a result of the digitalization's contribution to profitability is not significant.",INFORMATION TECHNOLOGY INVESTMENT AND DIGITALIZATION OF PROFITABILITY AND FEE-BASED INCOME,,9,show,monograph,['FEB4'],,,"[{'id': 'kgs_andi@yahoo.com', 'name': {'given': 'Kiagus', 'honourific': None, 'family': 'Andi', 'lineage': None}}]",1970-01-01 00:00:00.000002020,disk0/00/02/43/41,,2020-10-25 06:31:45,917,2020-10-25 06:31:45,,pub,,,"[{'docid': 38068, 'main': 'paper 3.pdf', 'files': [{'filesize': 241287, 'datasetid': 'document', 'filename': 'paper 3.pdf', 'hash': 'dd4f375c64f64f298c5fe7c47c88d2fb', 'mtime': '2020-10-22 04:17:16', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 221460, 'uri': 'http://repository.lppm.unila.ac.id/id/file/221460', 'objectid': 38068}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/38068', 'rev_number': 1, 'eprintid': 24341, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",Pustaka Media,http://repository.lppm.unila.ac.id/id/eprint/24341,public,,,,,,,,,,9786236569283,other,17.0,"Andrayani, Irene. 2014. The Effect of IT Spending on Company
Performance on Telecommunications Companies Listed on All
Southeast Asian Stock Exchanges in 2009-2011: MODUS Vol.26
(2): 93-106

Arisuniarti, Desak Made. 2016. The Effect of Information Technology and Integrated Management Information Systems on Employee Performance in the University of Warmadewa. Journal of Public Inspiration.
Aryani, DS 2011. Earnings management at manufacturing companies on the Indonesia Stock Exchange. Journal of Economics and Accounting Information. Vol. 1, No. 2
Black, James A., & Dean, J Champion. 2002. Methods and Problems of Social Research. Bandung: PT Refika Aditama. Crisóstomo, VL, de Souza Freire, F., & Cortes de Vasconcellos, F. 2011. Corporate social responsibility, firm value and financial performance in Brazil. Social Responsibility Journal. Vol. 7, No. 2
Dabholkar, PA, Thorpe, DI, & Rentz, JO (1996). A Measure of Service Quality for Retail Stores: Scale Development and Validation. Journal of the Academy of Marketing Science, 24, 3-16.
Dangolani, Saeid Khajeh. 2011. The Impact of Information Technology in Banking System (A Case Study in IRAN Keshavarzi Bank): Procedia - Social and Behavioral Sciences 30 (2011) 13-16
Elmasry, Hasan, 2004, Capital Intensity and Stock Returns, Working Papers, Morgan Stanley Investment Management.
Farliana, Venny. 2019. The Effect of Information Technology Investment on Financial Performance: Empirical Study on the Indonesia Stock Exchange. Gajah Mada University.
Harumadina, Rizkita Marwa. 2018, The Effect of Information Technology Investment on the Performance of Banking Companies Listed on the Indonesia Stock Exchange in 2014- 2017. Airlangga University.
Hernando, Ignacio. & Nieto, Maira J. 2006. Changing Banks Performance? The Case Of Spanish Banks. Documentos de Trabajo N. 0624
Hilmi Muzakki, Mukhammad. 2016. Effect of Use of Information Technology on Employee Performance.

Hernando, Ignacio. & Nieto, Maira J. 2006. Changing Banks
Performance? The Case Of Spanish Banks. Documentos de
Trabajo N. 0624
Hilmi Muzakki, Mukhammad. 2016. Effect of Use of Information
Technology on Employee Performance.",,,,,,,
