,title,rev_number,metadata_visibility,eprint_status,status_changed,subjects,eprintid,ispublished,documents,full_text_status,uri,refereed,lastmod,userid,datestamp,publication,creators,dir,type,divisions,publisher,date_type,abstract,corp_creators,referencetext,note,contact_email,number,pagerange,issn,id_number,official_url,volume,isbn,place_of_pub,editors,pages,contributors,related_url,pres_type,event_title,event_location,event_dates,event_type,book_title
0,IMPLICATION OF COMMUNITY BASED TOURISM (CBT) TOWARDS COMMUNITY WELFARE AT AROUND TELUK KILUAN BEACH TANGGAMUS REGENCY LAMPUNG,6,show,archive,2020-12-01 04:27:56,['H1'],26929,pub,"[{'eprintid': 26929, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 40947, 'main': 'UNICEES_2018_126 SCITEPRESS.pdf', 'files': [{'filesize': 377167, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2020-12-01 04:14:31', 'hash': 'fac067cf7c0e11ad5ca2ad537e30d6e8', 'filename': 'UNICEES_2018_126 SCITEPRESS.pdf', 'fileid': 241660, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/241660', 'objectid': 40947}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40947'}]",public,http://repository.lppm.unila.ac.id/id/eprint/26929,TRUE,2020-12-01 04:27:56,515,2020-12-01 04:27:56,SCITEPRESS-SCIENCE AND TEKNOLOGY PUBLICATIONS,"[{'id': 'neli.aida@feb.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'AIDA', 'given': 'NELI'}}]",disk0/00/02/69/29,article,['FEB5'],,,,,,,,,,,,,,,,,,,,,,,,,
1,REVORMULASI PENGETAHUAN MASYARAKAT DESA KILUAN NEGERI KABUPATEN TANGGAMUS AKIBAT CORONAVIRUS DISEASE (COVID 19),6,show,archive,2021-10-20 01:40:57,['H1'],34557,pub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/155096', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/406288', 'objectid': 155096, 'filesize': 605955, 'datasetid': 'document', 'mtime': '2021-10-19 02:38:32', 'hash_type': 'MD5', 'hash': '84c4de38b3fde219b09b810a0aadaa42', 'filename': 'LAPORAN AKHIR.pdf', 'fileid': 406288, 'mime_type': 'application/pdf'}], 'main': 'LAPORAN AKHIR.pdf', 'docid': 155096, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 34557}]",public,http://repository.lppm.unila.ac.id/id/eprint/34557,TRUE,2021-10-20 01:40:57,515,2021-10-20 01:40:57,SENAPATI,"[{'name': {'lineage': None, 'family': 'AIDA', 'honourific': None, 'given': 'NELI'}, 'id': 'neli.aida@feb.unila.ac.id'}]",disk0/00/03/45/57,article,['FEB5'],FT UNILA,submitted,"ABSTRAK

Desa Kiluan Negeri dalam beradaptasi dengan kebiasaan baru (New Normal) dan dalam mempertahankan kelangsungan hidup mereka. Terus berkembangnya situasi dan kondisi terkait Coronavirus Disease 2019 (COVID-19) memaksa Pemerintah Daerah untuk mengeluarkan kebijakan yang mengharuskan masyarakat berada dan bekerja dirumah (Work from Home / WFH). Hal ini tentunya jelas mengaharuskan masyarakat untuk beradaptasi serta mencari alternatif atau Mereformulasi penghasilan dalam berjalannya cash flow perekonomian dalam pemenuhan kebutuhan masyarakat desa Kiluan Nageri Kabupaten Tanggamus.

Tujuan pengabdian ini adalah terwujudnya Value Added produk olahan hasil tangakapan nelayan menjadi olahan ikan asap yang tahan lama dan bernilai jual yang tinggi untuk pemenuhan kehidupan masyarakat, serta terbukanya pengetahuan masyarakat dalam menghadapi permasalahan kepasrahan dan kebimbangan berusaha pariwisata dan nelayan melalui peningkatan kemampuan masyarakat dalam memanfaatkan inovasi. Hal ini ditunjukkan dengan meningkatnya fasilitas wisata yang mengikuti protokol kesehatan serta pengolahan hasil tangkapan ikan yang tahan lama dan memiliki nilai tambah.Karenanya, metode yang digunakan dalam menjawab masalah tersebut adalah metode Two in One, terutama tentang penguatan kemampuan masyarakat dan sinergitas.Integrasi penanganan Penyediaan Protokol Kesehatan dan Pengasapan ikandalam iringan pendampingan dari UNILA diharapkan bisa memberi nuansa baru yang menyenangkan dalam kegiatan pemberdayaan masyarakat, khususnya di desa Kiluan Negeri Kabupaten Tanggamus.

Kata Kunci:Pariwisata, Desa Kiluan Negeri, Covid – 19, Metode Two in One, Ikan Asap",,,,,,,,,,,,,,,,,,,,,,
2,FENOMENA KETIMPANGAN EKONOMI GEOGRAFI SUMATERA 2010-2020,7,show,archive,2021-11-12 00:56:57,['H1'],36316,unpub,"[{'placement': 1, 'security': 'public', 'eprintid': 36316, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/419729', 'objectid': 157248, 'mtime': '2021-11-12 00:27:05', 'hash_type': 'MD5', 'filename': 'Lap.PenelitianFEB21.pdf', 'hash': '0b0e42bed7aa3775c7a9b8f5864ae521', 'fileid': 419729, 'mime_type': 'application/pdf', 'filesize': 1078691, 'datasetid': 'document'}], 'main': 'Lap.PenelitianFEB21.pdf', 'docid': 157248, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157248', 'pos': 1, 'format': 'text'}]",public,http://repository.lppm.unila.ac.id/id/eprint/36316,,2021-11-12 00:56:57,62,2021-11-12 00:56:57,,"[{'id': 'arivina.ratih@feb.unila.ac.id', 'name': {'given': 'Ratih', 'lineage': None, 'family': 'Arivina', 'honourific': None}}, {'name': {'family': 'suparta', 'honourific': None, 'lineage': None, 'given': 'i wayan'}, 'id': 'wayansuparta61@gmail.com'}, {'name': {'given': 'asih', 'lineage': None, 'honourific': None, 'family': 'Murwiati'}, 'id': None}]",disk0/00/03/63/16,other,['FEB5'],Unpublished,,"Ketimpangan ekonomi adalah fenomena yang selalu ada dalam proses pembangunan suatu wilayah, dan fenomena ini selalu menjadi pekerjaan rumah untuk diatasi. Pandemi Covid-19 memunculkan beragam bentuk adaptasi yang beberapa di antaranya mengandalkan internet sebagai fasilitator utama. Penelitian ini bertujuan untuk memotret fenomena ketimpangan dan kondisi teknologi informasi dan komunikasi (ICT) yang terjadi di Sumatera tahun 2010-2020. Penelitian secara komprehensif menggunakan Sistem Informasi Geografis, scatter plot diagram, Indeks Williamson, dan regresi panel untuk mengolah data dan informasi sehingga bisa menjawab pertanyaan penelitian dengan lebih mendalam. Hasil yang ditemukan adalah wilayah dengan pendapatan per kapita tinggi ternyata memiliki nilai indeks pembangunan ICT yang juga tinggi. Selain itu, variabel ICT berpengaruh positif terhadap pendapatan per kapita sehingga diperlukan perhatian lebih karena ketimpangan kondisi ekonomi dan capaian ICT di sepuluh provinsi pengamatan masih ada, meskipun menunjukkan penurunan. berlangsung.","['FEB Unila', 'FEB Unila', 'FEB Unila']",,,,,,,,,,,,,,,,,,,,,
3,"The Economics And Spatial Analysis On
How The Cash Transfer Ease The Poverty Condition",6,show,archive,2020-11-20 07:46:30,['HB'],26484,submitted,"[{'eprintid': 26484, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'main': 'Paper 50_Ukhti Ciptawaty_EAI-Template.docx', 'docid': 40369, 'files': [{'objectid': 40369, 'uri': 'http://repository.lppm.unila.ac.id/id/file/238278', 'datasetid': 'document', 'filesize': 254290, 'fileid': 238278, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'mtime': '2020-11-20 07:16:47', 'hash_type': 'MD5', 'hash': '09d05ac207309d7f5738ddcee344816d', 'filename': 'Paper 50_Ukhti Ciptawaty_EAI-Template.docx'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40369'}]",public,http://repository.lppm.unila.ac.id/id/eprint/26484,FALSE,2020-11-20 07:46:30,2787,2020-11-20 07:46:30,prosiding icebe,"[{'name': {'honourific': None, 'family': 'Ciptawaty', 'lineage': None, 'given': 'Ukhti'}, 'id': 'ukhti.ciptawaty@feb.unila.ac.id'}, {'id': 'firman.ghazali@eng.unila.ac.id', 'name': {'given': 'Mochamad Firman', 'lineage': None, 'honourific': None, 'family': 'Ghazali'}}, {'name': {'given': 'Resha Moniyana', 'lineage': None, 'family': 'putri', 'honourific': None}, 'id': None}, {'id': None, 'name': {'given': 'asih', 'lineage': None, 'family': 'Murwiati', 'honourific': None}}]",disk0/00/02/64/84,article,['FEB5'],,,"This research investigates the community's poverty conditions before and after Cash Transfer Program (CTP) at the socioeconomic level of the people, located in Bandar Lampung City. The socio-economic level describes the total household expenditure in the area of cash transfer implementation. The data was obtained from the primary research and then processed statistically and analyzed by a ""Kmeans clustered"" is used to know the location of the recipient of cash transfer as the people below the poverty line. These methods are offering integration between the economics analysis with the spatial analysis. As statistically, it can be stated that the purpose of the cash transfer in improving the standard of living of beneficiary families through access to services education, health, and social welfare is achieved. Besides that, the ""KMeans clustered"" show several groups divided along with the study areas, which described the variation of living in an urban area.",,,,,,,,,,,,,,,,,,,,,,
4,"proposal HIBAH DIPA UNILA 2021
ukhti ciptawaty. ANALISIS SPASIAL PADA MODEL PEREKONOMIAN SUMATERA BAGIAN SELATAN
DENGAN METODE SISTEM INFORMASI GEOGRAFIS (SIG) DAN EXPLATORY SPATIAL",7,show,archive,2021-11-12 07:42:34,['AC'],36443,unpub,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/157372', 'rev_number': 1, 'main': 'Ukhti Ciptawaty_FEB_PDP_Prop.pdf', 'docid': 157372, 'files': [{'mime_type': 'application/pdf', 'fileid': 420719, 'filename': 'Ukhti Ciptawaty_FEB_PDP_Prop.pdf', 'hash': 'af3315eee5f9c8377abbf9ddaf5020ce', 'hash_type': 'MD5', 'mtime': '2021-11-12 04:47:20', 'datasetid': 'document', 'filesize': 682740, 'objectid': 157372, 'uri': 'http://repository.lppm.unila.ac.id/id/file/420719'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 36443, 'placement': 1, 'security': 'public'}]",public,http://repository.lppm.unila.ac.id/id/eprint/36443,,2021-11-12 07:42:34,2787,2021-11-12 07:42:34,,"[{'name': {'family': 'Ciptawaty', 'honourific': None, 'lineage': None, 'given': 'Ukhti'}, 'id': 'ukhti.ciptawaty@feb.unila.ac.id'}, {'name': {'family': 'Resha', 'honourific': None, 'lineage': None, 'given': 'Moniyana'}, 'id': 'reshaatina@gmail.com'}, {'id': 'firman.ghazali@eng.unila.ac.id', 'name': {'given': 'Mochamad Firman', 'honourific': None, 'family': 'Ghazali', 'lineage': None}}]",disk0/00/03/64/43,other,['FEB5'],LPPM Universitas Lampung,completed,"Penelitian ini mencoba menggunakan konsep Spasial dengan menganalisis pola spasial dan 
autokorelasi spasial yang diamati, serta evaluasi pemodelan spasial setiap wilayah di 60 
kabupaten/kota di lima Provinsi Sumatera bagian Selatan. Penelitian ini menggunakan Sistem 
Informasi Geografis (SIG) dan Explatory Spatial Data Analysis yang terangkum dalam
Geoda. Geoda selanjutnya akan memberikan gambaran spasial mengenai kondisi persentase 
PDRB yang disajikan dalam statistik Moran I, LISA dan LISA Clusterd Map pada tahun 
2015-2019. 
Hasil penelitian ini diharapkan akan menunjukan keterkaitan spasial PDRB antar 60 
Kabupaten/kota di lima Provinsi di Sumbagsel serta mampu mengindikasikan bagaimana
keterkaitan spasial pada pola pengelompokkan (clustered) wilayah dengan karakteristik yang 
sama. Selanjutnya, LISA Cluster map diharapkan akan mengggambarkan pengelompokan 
PDRB di 11 wilayah. Model SAR dipilih untuk menganalisis kasus keterkaitan spasial.
Penelitian ini lebih lanjut akan memberikan analisis ekonomi bagaimana pengaruh persentase 
penduduk dan PDRB, Selain itu, penelitian ini akan menelaah bagaimana pengaruh Indeks 
Pembangunan dan kemiskinan terhadap PDRB. Oleh karena itu, penelitian ini akan menjadi 
salah satu penelitian yang memilki pembaharuan terkini karena menggunakan dua 
pendekatan; pendekatan spasial dan pendekatan ekonomi yang disampaikan pada hasil diskusi 
dan pembahasannya.",,"Anselin, L. (1995). Local indicators of spatial organization -LISA. Geographical Analysis, 
27(2), 93–115.
Anselin, L. (1998). SPATIAL ECONOMETRICS: METHODS AND MODELS by L. 
Anselin. Journal Spatial Econometric, 7(2), 1–16.
Anselin, L. (2010). Thirty years of spatial econometrics. Papers in Regional Science, 89(1), 
3–25. https://doi.org/10.1111/j.1435-5957.2010.00279.x
Anselin, L., Syabri, I., & Kho, Y. (2006). GeoDa: An introduction to spatial data analysis. 
Geographical Analysis, 38(1), 5–22. https://doi.org/10.1111/j.0016-
7363.2005.00671.x
Badan Pusat statistik. Statistik Sumatera Selatan. Sumatera Selatan. Indonesia. 
https://sumsel.bps.go.id/
Badan Pusat statistik. Statistik Provinsi Lampung. Lampung. Indonesia. 
https://lampung.bps.go.id/
Badan Pusat statistik. Statistik Provinsi Riau. Riau. Indonesia. https://riau.bps.go.id/
Badan Pusat statistik. Statistik Provinsi Bengkulu. Bengkulu. Indonesia. 
https://bengkulu.bps.go.id/
Badan Pusat statistik. Statistik Provinsi Jambi. Jambi. Indonesia. https://jambi.bps.go.id/
Barro R, Sala-I-Martin X (2003) Economic growth, 2nd edn. MIT, Cambridge.
Behrens K, Thisse JF (2007) Regional economics: a new economic geography perspective. 
Reg Sci Urban Econ 37:457–465
Capello, R. (2009)., 'Regional Economics in Its Fifties: Recent Theoretical Directions and 
Future Challenges', Annals of Regional Science, 42 (4), 747–67
Elhorst JP (2010) Spatial panel data models. In: Fischer M, Getis A (eds) Handbook of 
applied spatial analysis. Springer, Berlin, Heidelberg and New York, pp 377–407.
Glaeser EL, Sacerdote BI, Scheinkman JA (2003) The social multiplier. J Eur Econ Assoc 
1(2–3):345–353.
Jay, L., Wiley, Jossey-Bass, Pfeiffer, Lasser, & Capstone. (2001). Statiscal Analysis with 
ArcView Gis.
Krugman P (1999) The role of geography in development. Int Reg Sci Rev 22:142–161
López-Bazo E, Artís M, Vayá E (2004) Regional externalities and growth: evidence from 
European regions. J Reg Sci 44:43–73
Mankiw NG, Romer D, Weil DN (1992) A contribution to the empirics of economic growth. 
Q J Econ 107:407–437
Perroux, Francois. (1950). ‘Economic Space: Theory and Applications’. Quarterly Journal of 
Economics, Vol.64(1): 89-104.
Resende GM (2011) Multiple dimensions of regional economic growth: the Brazilian case, 
1991–2000. Pap Reg Sci 90(3):629–662 
Resende GM (2013) Spatial dimensions of economic growth in Brazil. ISRN Econ. 
doi:10.1155/2013/ 398021
Tarigan, Robinson. 2005. Ekonomi Regional. Teori dan Aplikasi. Bumi Aksara. Jakarta
Zhukov, Y. (2010). Spatial Autocorrelation, IQQS, Harvard University, Amerika","proposal HIBAH DIPA UNILA 2021
ukhti ciptawaty",ukhti.ciptawaty@feb.unila.ac.id,,,,,,,,,,,,,,,,,,
5,PENDAMPINGAN MASYARAKAT PUTUS SEKOLAH DAN TIDAK MAMPU GUNA MENINGKATKAN TARAF EKONOMI KELUARGA MELALUI PROGRAM PENUNTASAN WAJIB BELAJAR 12 TAHUN DI PKBM JAYA KESUMA,7,show,archive,2022-12-15 08:01:03,"['HB', 'HJ']",47235,pub,"[{'eprintid': 47235, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 186208, 'main': '6344-File Utama Naskah-14657-1-10-20221206.pdf', 'files': [{'hash': 'dfa768cff49271fe8d0a7c3c37317610', 'filename': '6344-File Utama Naskah-14657-1-10-20221206.pdf', 'mtime': '2022-12-15 02:39:04', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 518542, 'filesize': 222865, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/518542', 'objectid': 186208}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186208'}]",public,http://repository.lppm.unila.ac.id/id/eprint/47235,TRUE,2022-12-15 08:01:03,2788,2022-12-15 08:01:03,APTEKMAS: Jurnal Pengabdian kepada Masyarakat,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Darmawan', 'given': 'Arif'}, 'id': 'arif.darmawan@feb.unila.ac.id'}, {'id': 'nairobi@feb.unila.ac.id', 'name': {'given': 'Nairobi', 'lineage': None, 'family': 'Nairobi', 'honourific': None}}, {'id': 'tedi.rusman@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Rusman', 'honourific': None, 'given': 'Tedi'}}, {'id': 'novriyanti.nov@fp.unila.ac.id', 'name': {'family': 'Novriyanti', 'honourific': None, 'lineage': None, 'given': 'Novriyanti'}}]",disk0/00/04/72/35,article,['FEB5'],,,"Dalam rangka membantu pemerintah guna menyukseskan program wajib belajar 12 tahun, tim kegiatan pengabdian masyarakat Universitas Lampung berinisiatif melakukan pendampingan penyampaian edukasi kepada masyarakat yang putus sekolah dan kesulitan ekonomi dengan menggandeng mitra berupa sebuah institusi pendidikan non formal lokal bernama PKBM Jaya Kusuma yang berdomisili di Kelurahan Langkapura, Kota Bandar Lampung. Kegiatan yang akan dilakukan ini bersifat transfer pengetahuan dan life skills mengenai teknik mengajar yang baik dan benar, penyampaian pendidikan dasar sesuai jenjang pendidikan dengan metode partisipatif, dimulai dari perumusan masalah bersama mitra, survei potensi wilayah, dan praktik pelaksanaan pendampingan, serta mencoba untuk membantu memasarkan institusi ini. Untuk mengontrol keberhasilan dan kemajuan kegiatan, dilakukan monitoring dan evaluasi. Kegiatan ini diharapkan menghasilkan beberapa luaran, yaitu (1) masyarakat yang dididik oleh PKBM Jaya Kusuma dapat memenuhi pikirannya dengan ilmu-ilmu yang berguna dan bermanfaat; (2) masyarakat mampu melakukan menjadi agen perubahan pendidikan dengan menyebarkan hasil didikan PKBM tersebut kepada masyarakat di sekitar rumahnya yang memiliki kondisi yang sama dengannya sehingga dapat meningkatkan kualitas manusia disana; dan (3) PKBM Jaya Kusuma semakin dikenal dan maju sebagai institusi pendidikan non formal yang mampu mencetak sumber daya manusia yang berkualitas dan mampu berguna bagi lingkungan sekitar dan negara serta dapat memperbaiki kondisi ekonomi keluarga mereka.",,,,,,,,,,,,,,,,,,,,,,
6,PENERAPAN PERTANIAN ORGANIK MENUJU PEMBANGUNAN BERKELANJUTAN DI PROVINSI LAMPUNG,9,show,archive,2021-11-12 00:56:35,['H1'],36309,unpub,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/157243', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'objectid': 157243, 'uri': 'http://repository.lppm.unila.ac.id/id/file/419688', 'datasetid': 'document', 'filesize': 1778218, 'mime_type': 'application/pdf', 'fileid': 419688, 'hash': '95114275a946a78601a4526ac03bce57', 'filename': 'Laporan Akhir Pertanian Organik2021Terapan.pdf', 'hash_type': 'MD5', 'mtime': '2021-11-12 00:14:40'}], 'docid': 157243, 'main': 'Laporan Akhir Pertanian Organik2021Terapan.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 36309}]",public,http://repository.lppm.unila.ac.id/id/eprint/36309,,2021-11-12 00:56:35,62,2021-11-12 00:56:35,,"[{'id': None, 'name': {'given': 'Yuliawan', 'lineage': None, 'honourific': None, 'family': 'Dedy'}}, {'id': 'emi_syam@yahoo.com', 'name': {'given': 'Maimunah', 'honourific': None, 'family': 'Emi', 'lineage': None}}, {'id': 'nurbetty.herlina@yahoo.co.id', 'name': {'family': 'Nurbetty', 'honourific': None, 'lineage': None, 'given': 'Herlina Sitorus'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Arivina', 'given': 'Ratih'}, 'id': 'arivina.ratih@feb.unila.ac.id'}]",disk0/00/03/63/09,other,['FEB5'],Unpublished,completed,"Tujuan Pembangunan Berkelanjutan di Indonesia dikenal dengan singkatan
TPB. Mendukung tercapanya kebijakan ini penerapan pertanian organik menjadi
bagian penting. Sistem pertanian organik ditekankan pada standar produksi yang
spesifik dan teliti dengan tujuan untuk menciptakan agroekosistem yang optimal
dan lestari berkelanjutan baik secara sosial, ekologi maupun ekonomi, dan etika.
Penelitian ini memiliki tujuan yaitu mengetahui faktor-faktor penting penerapan
pertanian organik di Provinsi Lampung. Analisis penelitian ini menggunakan
pendekatan analisis prospektif (prospective analysis) yang berbasis pada integrated
analytical participatory scenario planning approach yaitu MIMAC. Hasil temuan
penelitian ini menunjukkan bahwa lahan pertanian organik menjadi faktor yang
mempengaruhi pengambagan pertanian organic di Provinsi Lampung. Hasil dari
faktor yang mempengaruhi pertanian organik menghasilkan kesimpulan bahwa
lahan pertanain anorganik menjadi faktor yang mempengaruhi penggunaan lahan
organic.","['FEB Unila', 'FEB Unila', 'FEB Unila', 'FEB Unila']",,,,,,,,,,,,,,,,,,,,,
7,DETERMINANTS OF BANKING EFFICIENCY IN ASEAN 5 COUNTRIES TO FACE ASEAN BANKING INTEGRATION FRAMEWORK,7,show,archive,2017-11-16 03:41:42,['HB'],5079,submitted,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/48615', 'objectid': 18007, 'filename': 'Jurnal ICABE.docx', 'hash': '6b2500b9cde9fab6b726b609665a08ba', 'mtime': '2017-11-10 05:52:59', 'hash_type': 'MD5', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'fileid': 48615, 'filesize': 79129, 'datasetid': 'document'}], 'main': 'Jurnal ICABE.docx', 'docid': 18007, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18007', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 5079, 'language': 'en', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document'}]",public,http://repository.lppm.unila.ac.id/id/eprint/5079,TRUE,2017-11-16 03:41:42,178,2017-11-16 03:41:42,Economic Journal of Emerging Markets,"[{'name': {'given': 'Maimunah', 'lineage': None, 'honourific': None, 'family': 'Emi'}, 'id': 'emi_syam@yahoo.com'}, {'id': 'nurbetty_herlina@yahoo.co.id', 'name': {'given': 'Herlina Sitorus', 'family': 'Nurbetty', 'honourific': None, 'lineage': None}}, {'id': 'dianfajarini25@gmail.com', 'name': {'lineage': None, 'family': 'Dian', 'honourific': None, 'given': 'Fajarini'}}]",disk0/00/00/50/79,article,['FEB5'],,,"The aim of this research was to analyze the determinants of banking efficiency to face ASEAN Banking Integration Framework (ABIF) by employing 15 banks in ASEAN 5 such as Singapore, Malaysia, Thailand, Indonesia, Philippine for 2011-2015 period. The determinants of banking efficiency such as CAR, BOPO/CIR, LDR, NPL, NIM employed as the independent variables and the banking efficiency score from DEA as the dependent variable. 
The results from From Ordinal Logit Regression could be concluded that internal factor which affect and significant to banking efficiency were BOPO/CIR and LDR. Based on analysis in this research, it could be concluded that banking in ASEAN 5 ready to face ABIF due to the strong capital and good management of risk

Keyword: ABIF; Banking Efficiency; Financial Ratios.",['Universitas Lampung'],,,,,,,,,,,,,,,,,,,,,
8,FINDING THE STRATEGY AFTER CORONA CRISIS: THE NEW NORMAL AND RESILIENT ECONOMY GROWTH IN INDONESIA,7,show,archive,2020-11-09 09:07:43,"['H1', 'HA']",24722,pub,"[{'main': 'IJEBE-71-Article Text-285-1-10-20200814.pdf', 'docid': 38472, 'files': [{'objectid': 38472, 'uri': 'http://repository.lppm.unila.ac.id/id/file/224249', 'datasetid': 'document', 'filesize': 628160, 'fileid': 224249, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-11-09 03:12:39', 'hash': '065afbadc5eb7c16c8d3bf284fa24618', 'filename': 'IJEBE-71-Article Text-285-1-10-20200814.pdf'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38472', 'eprintid': 24722, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/24722,TRUE,2020-11-09 09:07:43,2788,2020-11-09 09:07:43,"International Journal of Economics, Business and Entrepreneurship","[{'id': 'Ramadhandicky6@gmail.com', 'name': {'family': 'Hidayatullah', 'honourific': None, 'lineage': None, 'given': 'Dicky Ramadhan'}}, {'name': {'given': 'Arif', 'family': 'Darmawan', 'honourific': None, 'lineage': None}, 'id': 'arif.darmawan@feb.unila.ac.id'}, {'id': None, 'name': {'given': 'Shamsad', 'honourific': None, 'family': 'Kallidumban', 'lineage': None}}]",disk0/00/02/47/22,article,['FEB5'],Faculty of Economics and Business The University of Lampung,,"The research method used to analyze the situation and conditions in making this paper is a qualitative method. As an analysis procedure, qualitative methods can produce descriptive data in the form of written or spoken words from people or observable behaviour. This pandemic comes with all its negative effects. Inequality, poverty, and education are the most affected lines in this pandemic because they reduce the income of vulnerable and poor groups. Many parties assess the world economy is far worse than before the corona. Weakening global economic growth caused many impacts on the pace of economy in Indonesia, both in terms of trade, investment and tourism. Thus, changing the projected economic growth becomes even slower due to the spread of Covid-19 throughout the country. Although we know that the Indonesian government has issued a policy of hundreds of trillions of rupiah to save our economy, social impact, poverty, and Equality. The Indonesian government has currently budgeted funds of Rp405.1 Trillion for handling Covid-19. The budget allocation will be divided for several sectors, such as the health sector in the amount of Rp75 Trillion, Social Safety Net of Rp110 trillion, tax incentives and stimulus for People's Business Credit (KUR) of Rp70.1 trillion, and funding for the national economic recovery program of Rp150 Trillion, including credit restructuring and guarantees as well as MSME and business financing to maintain economic resilience and recovery.",,,,,1.0,64-79,2615-6873,https://doi.org/10.23960/ijebe.v3i1.71,http://ijebe.com/journal/index.php/ijebe/article/view/71,3,,,,,,,,,,,,
9,EKONOMI MAKRO TEORI DAN KEBIJAKAN,8,show,archive,2019-05-10 07:46:46,['HB'],12530,pub,"[{'mime_type': 'image/jpeg', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 12530, 'uri': 'http://repository.lppm.unila.ac.id/id/document/25508', 'rev_number': 1, 'format': 'image', 'pos': 1, 'files': [{'datasetid': 'document', 'filesize': 529404, 'mime_type': 'image/jpeg', 'fileid': 111234, 'filename': 'lembar pengesahan buku.jpeg', 'hash': '8770391fb10b9e8b56cf8375c77324ae', 'mtime': '2019-05-10 05:47:21', 'hash_type': 'MD5', 'objectid': 25508, 'uri': 'http://repository.lppm.unila.ac.id/id/file/111234'}], 'docid': 25508, 'main': 'lembar pengesahan buku.jpeg'}]",public,http://repository.lppm.unila.ac.id/id/eprint/12530,TRUE,2019-05-10 07:46:46,803,2019-05-10 07:46:46,,"[{'name': {'given': 'Suparta', 'lineage': None, 'family': 'I Wayan', 'honourific': None}}]",disk0/00/01/25/30,book,['FEB5'],CV. PUSTAKA AT-TIRMIDZI,,"Buku Teori Makro Ekonomi merupakan buku ajar yang disajikan dalam bentuk uraian, grafik dan persamaan matematika sederhana dalam upaya mempermudah mahasiswa mempelajari konsep-konsep makro ekonomi dan juga sebagai pedoman untuk melakukan interaksi dengan dosen di dalam kelas. Buku ini ditulis dalam konteks yang memungkinkan mahasiswa dapat memahami secara lebih baik peristiwa makroekonomi yang terjadi saat ini. Penggunaan buku ini akan dapat mempelajari bagaimana hubungan pasar barang dan uang menderivasi kurva permintaan agregat serta hubungan antara fungsi produksi dan pasar tenaga kerja untuk menderivasi kurva penawaran agregat.",['Universitas Lampung'],,,,1.0,,,,,1,978-602-5777-25-7,Bandar Lampung,"[{'name': {'given': 'Hermawan', 'family': 'Handy', 'honourific': None, 'lineage': None}}]",381.0,,,,,,,,
