,full_text_status,uri,refereed,ispublished,documents,pres_type,pagerange,datestamp,corp_creators,userid,lastmod,date,dir,creators,divisions,type,rev_number,event_type,metadata_visibility,event_dates,title,subjects,abstract,eprint_status,status_changed,event_location,date_type,event_title,eprintid,isbn,place_of_pub,editors,contact_email,pages,publisher,publication,issn,number,related_url,official_url,volume,contributors,id_number,series,monograph_type,department,institution
0,public,http://repository.lppm.unila.ac.id/id/eprint/2186,TRUE,pub,"[{'formatdesc': 'Store Atmosphere became one of the important factors for consumers when shopping for convenience. To create a comfortable atmosphere of the store it will needed some dimensions, such as cleanliness, music, scent, temperature, lighting, color and display o', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2081', 'format': 'other', 'pos': 1, 'files': [{'mime_type': 'application/pdf', 'fileid': 15185, 'hash': 'bab80d18eda9e4b4f9482c0af42298d5', 'filename': 'ShieldProceeding.pdf', 'mtime': '2017-05-30 10:33:34', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 23708329, 'objectid': 2081, 'uri': 'http://repository.lppm.unila.ac.id/id/file/15185'}], 'docid': 2081, 'main': 'ShieldProceeding.pdf', 'content': 'published', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 2186}]",paper,529-543,2017-06-02 07:41:34,"['Department of Ecomics and Business Faculty, University of Lampung', 'Department of Ecomics and Business Faculty, University of Lampung']",308,2017-06-02 07:41:34,2016-11-02 00:00:00.000000000,disk0/00/00/21/86,"[{'name': {'given': 'Nerissa', 'lineage': None, 'family': 'Arviana', 'honourific': None}, 'id': 'nerissaines@gmail.com'}, {'id': 'shofafaila@gmail.com', 'name': {'lineage': None, 'family': 'Shofa', 'honourific': None, 'given': 'Faila'}}]",['FEB6'],conference_item,12,conference,show,"November 2-3, 2016",Store Atmosphere Dimensions Effect on Consumer Repurchase Intention (Study in Chandra Super Store Tanjung Karang),['AC'],"Store Atmosphere became one of the important factors for consumers when shopping for convenience. To create a comfortable atmosphere of the store it will needed some dimensions, such as cleanliness, music, scent, temperature, lighting, color and display or layout.
Problems in this research is whether the dimensions of cleanliness, music, scent, temperature, lighting, color and display or layout has an influence on the consumer repurchase intention. This research used descriptive verification research design and used purposive sampling.  The method of analysis used multiple linear regression.
The results of this research shows that the contribution of variable dimensions of store atmosphere have a role in influencing variable consumer repurchase intention was 53%, the rest is influenced by other variables. T test results found that the variable dimensions of the store atmosphere, namely cleanliness, music, scent, temperature, lighting, color and display or layout affect consumer repurchase intention.
The advice given by this research Chandra Super Store Tanjung Karang should improve  scent dimension. They should put an automatic parfume periodically with a scent that could make the consumers relax when shopping, at some point in the store so that the scent in Chandra Super Store is fragrant and scented and can make consumer repurchase intention increasing in Chandra Super Store.

Keywords: Store Atmosphere dimension, Consumer Repurchase Intention.",archive,2017-06-02 07:41:34,Bandar Lampung,published,International Conference 1st SHIELD 2016,2186,,,,,,,,,,,,,,,,,,
1,public,http://repository.lppm.unila.ac.id/id/eprint/4047,TRUE,pub,"[{'security': 'public', 'placement': 1, 'eprintid': 4047, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/62215', 'objectid': 19764, 'filesize': 16451037, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2018-04-23 05:04:32', 'filename': 'Man. PEm. usaha koperasi.pdf', 'hash': '7b6a4f51e244ca83a9883666b5518c7e', 'fileid': 62215, 'mime_type': 'application/pdf'}], 'main': 'Man. PEm. usaha koperasi.pdf', 'docid': 19764, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19764', 'rev_number': 1, 'format': 'text', 'pos': 1}]",,,2018-04-25 02:24:11,,1046,2018-04-25 02:24:11,2016-11-01 00:00:00.000000000,disk0/00/00/40/47,"[{'name': {'given': 'Satria', 'lineage': None, 'family': 'Bangsawan', 'honourific': None}, 'id': 'satria.bangsawan@feb.unila.ac.id'}]",['FEB6'],book,14,,show,,MANAJEMEN PEMASARAN USAHA KOPERASI,['H1'],,archive,2018-04-25 02:24:11,,published,,4047,978-602-6238-93-1,Bandar Lampung,"[{'name': {'family': 'Mahrinasari', 'honourific': None, 'lineage': None, 'given': 'Mahrinasari'}, 'id': 'mahrinasari@feb.unila.ac.id'}]",satria.bangsawan@feb.unila.ac.id,0.0,AURA ( CV. Anugrah Utama Raharja ) Anggota IKAPI No.003/LPU/2013,,,,,,,,,,,,
2,public,http://repository.lppm.unila.ac.id/id/eprint/2692,TRUE,pub,"[{'security': 'public', 'placement': 1, 'eprintid': 2692, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 2561, 'uri': 'http://repository.lppm.unila.ac.id/id/file/18531', 'mime_type': 'application/pdf', 'fileid': 18531, 'hash': '7035ba823eca907e0e411c346d203a37', 'filename': 'SB1.pdf', 'mtime': '2017-05-31 22:02:49', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 4466230}], 'main': 'SB1.pdf', 'docid': 2561, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2561', 'rev_number': 1, 'format': 'text', 'pos': 1}]",,,2017-06-02 11:52:47,,1046,2017-06-02 11:52:47,2016-11-01 00:00:00.000000000,disk0/00/00/26/92,"[{'name': {'lineage': None, 'family': 'Bangsawan', 'honourific': None, 'given': 'Satria'}, 'id': 'satriabangsawan1961@gmail.com'}]",['FEB6'],book,7,,show,,Manajemen Pemasaran : Usaha Koperasi,['H1'],,archive,2017-06-02 11:52:47,,published,,2692,978-602-6238-93-1,Bandar Lampung,,,164.0,AURA (CV. Anugrah Utama Raharja),,,,,,,,,,,,
3,public,http://repository.lppm.unila.ac.id/id/eprint/2910,FALSE,unpub,"[{'docid': 2802, 'main': 'The Effect of Liquidity on Stock Return.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/20083', 'objectid': 2802, 'filesize': 204594, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2017-06-02 01:24:23', 'hash': '94dde1ec19aca5a58c8c5fdefbd34aaf', 'filename': 'The Effect of Liquidity on Stock Return.pdf', 'fileid': 20083, 'mime_type': 'application/pdf'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/2802', 'rev_number': 1, 'eprintid': 2910, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",paper,,2017-06-07 09:06:17,,1130,2017-06-07 09:06:17,2016-11-27 00:00:00.000000000,disk0/00/00/29/10,"[{'id': 'igofebrianto@gmail.com', 'name': {'given': 'Igo', 'lineage': None, 'honourific': None, 'family': 'Febrianto'}}]",['FEB6'],conference_item,9,conference,show,26-27 November 2016,The Effect of Liquidity on Stock Return in Bullish and Bearish Condition: Empirical Evidence in Indonesia and Japan Stock Market,['HG'],"The purpose of this research is to examine the dynamic effect of liquidity as a risk factor affecting stock returns in different market conditions(bullish and bearish), and in two different market developments (emerging and developed).Several measures of levels and level variability of liquidity are employed. The data used is from Indonesian and Japanesse capital markets representing emerging and developed markets, repectively.
The results of the study show that liquidity is found to be an important factor affecting portfolio returns. Liquidity has also different effect in bullish and bearish stock market condition. Liquidity risk factor, however, could not clearly explain the different characteristics of emerging and developed stock markets. The results also show the pattern correlation between liquidity effect and particular liquidity category in the developed portfolios. These findings highlight future avenues through which liquidity risk factor can potentially trascend into accounting research, related to information quality and transparency.",archive,2017-06-07 09:06:17,"Solo, Indonesia",completed,Joint Conference The AGBA 13th Annual World Congress,2910,,,,,,,,,,,,,,,,,,
4,public,http://repository.lppm.unila.ac.id/id/eprint/2907,TRUE,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 2907, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2791', 'format': 'text', 'pos': 1, 'files': [{'objectid': 2791, 'uri': 'http://repository.lppm.unila.ac.id/id/file/20003', 'mime_type': 'application/pdf', 'fileid': 20003, 'filename': 'Islamic Capital Asset Pricing Model, Sebuah Analisis Perbandingan.pdf', 'hash': 'f2b9dd36bf6552659d0583345188c146', 'hash_type': 'MD5', 'mtime': '2017-06-02 00:48:00', 'datasetid': 'document', 'filesize': 152934}], 'docid': 2791, 'main': 'Islamic Capital Asset Pricing Model, Sebuah Analisis Perbandingan.pdf'}]",,14-21,2017-06-02 12:24:05,,1130,2017-06-02 12:24:05,2016-01-01 00:00:00.000000000,disk0/00/00/29/07,"[{'id': 'igofebrianto@gmail.com', 'name': {'lineage': None, 'family': 'Febrianto', 'honourific': None, 'given': 'Igo'}}, {'id': 'artie_arditha@polinela.ac.id', 'name': {'lineage': None, 'family': 'Rachman', 'honourific': None, 'given': 'Artie Arditha'}}]",['FEB6'],article,6,,show,,"Islamic Capital Asset Pricing Model: A comparative analysis
Islamic Capital Asset Pricing Model: Sebuah Analisis Perbandingan",['HG'],"Moslem investors often find dilemma about asset pricing while having investments in stock exchange.   Conventional asset pricing model, such as Capital Asset Pricing Model (CAPM), cannot accommodate the needs for asset pricing which is free from riba and interest as one of the sharia requirements. The aim of the current research is to compare the conventional model with others which are developed by using zakat and inflation as a replacement component for risk free rate in CAPM, called Islamic CAPM. Descriptive analysis result shows that moslem investors could use inflation as a replacement component for risk free rate.  The statistical evidence also shows that the accuracy of this model is similar to the conventional asset pricing model.",archive,2017-06-02 12:24:05,,published,,2907,,,,,,Jurusan Ekonomi dan Bisnis Polinela,Jurnal Ilmiah ESAI,1978-6034,1.0,"[{'url': 'http://jurnal-esai.org/index.php/ojsesai/article/view/143', 'type': 'pub'}]",http://jurnal-esai.org/index.php/ojsesai,10,,,,,,
5,public,http://repository.lppm.unila.ac.id/id/eprint/26586,,pub,"[{'files': [{'mime_type': 'application/pdf', 'fileid': 239006, 'filename': '11. Reviewer Good Corporate Governance, Financial Performance.pdf', 'hash': '353417d91b3ad5abc05a984ff713f256', 'mtime': '2020-11-22 05:44:15', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 596451, 'objectid': 40483, 'uri': 'http://repository.lppm.unila.ac.id/id/file/239006'}], 'docid': 40483, 'main': '11. Reviewer Good Corporate Governance, Financial Performance.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40483', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 26586, 'language': 'en', 'mime_type': 'application/pdf'}]",,,2020-11-22 11:50:34,['Universitas Lampung'],1031,2020-11-22 11:50:34,2016-06-01 00:00:00.000000000,disk0/00/02/65/86,"[{'name': {'family': 'Hasnawati', 'honourific': None, 'lineage': None, 'given': 'Sri'}, 'id': 'sri.hasnawati@feb.unila.ac.id'}]",['FEB6'],other,7,,show,,"Form Review Penilaian, GCG financial performance and market performance of public companies in Indonesia",['HG'],"Form Review Penilaian, The study objective is to elaborate the implementation of good corporate governance policies to create a healthy business for public companies in the capital markets. Path analysis is the model used to answer the study’s questions. The study’s population was the public companies that had already implemented good corporate governance and had a ranking at the Corporate Governance Perception Index (CGPI) during the exception regulation for financial institutions and banks. The research sample consisted of 63 companies. The study resulted into two research models. The first hypothesis resulted into the first model, which included corporate governance and investment policy variables affecting the financial performance while the financing policy did not affect the company's financial performance. The second model had hypothesis results, consisting of three variables affecting the market performance with different impacts, namely financing policies, investment policies, and financial performances. It was found that good corporate governance did not affect the market performance. This finding explained that good corporate governance along with the investment policies had a direct impact on the financial performance of the company but good corporate governance did not affect the market performance. It could be interpreted that the implementation of good corporate governance for public companies was only a formality to comply with Bapepam, which was voluntary. Hence, investors in the stock market did not take the good corporate governance variable as one of the indicators used to make investment decisions in the stock market. Another finding was that the financing policy did not affect the financial performance and the market performance of the public companies.",archive,2020-11-22 11:50:34,,published,,26586,,Venice-Italy,,,,Clute Institute USA,,,,[{'url': 'http://repository.lppm.unila.ac.id/id/eprint/21127'}],http://repository.lppm.unila.ac.id/id/eprint/21127,,"[{'name': {'given': 'Sri', 'lineage': None, 'family': 'Hasnawati', 'honourific': None}}]",,,,,
6,public,http://repository.lppm.unila.ac.id/id/eprint/21127,TRUE,pub,"[{'main': 'Proceedings  GCG... pdf.pdf', 'docid': 34512, 'files': [{'objectid': 34512, 'uri': 'http://repository.lppm.unila.ac.id/id/file/196918', 'datasetid': 'document', 'filesize': 2531873, 'mime_type': 'application/pdf', 'fileid': 196918, 'filename': 'Proceedings  GCG... pdf.pdf', 'hash': '014f7be980de58e061d7f064e2999d5f', 'hash_type': 'MD5', 'mtime': '2020-05-29 16:25:44'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34512', 'eprintid': 21127, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",,405-1-405-10,2020-05-29 19:11:36,['Universitas Lampung'],1031,2020-05-29 19:11:36,2016-06-05 00:00:00.000000000,disk0/00/02/11/27,"[{'name': {'given': 'Sri', 'honourific': None, 'family': 'Hasnawati', 'lineage': None}}]",['FEB6'],article,7,,show,,"GCG, Financial Performance, And Market Performance Of Public Companies In Indonesia",['HG'],"The study objective is to elaborate the implementation of good corporate governance policies to create a healthy business for public companies in the capital markets. Path analysis is the model used to answer the study’s questions. The study’s population was the public companies that had already implemented good corporate governance and had a ranking at the Corporate Governance Perception Index (CGPI) during the exception regulation for financial institutions and banks. The research sample consisted of 63 companies. The study resulted into two research models. The first hypothesis resulted into the first model, which included corporate governance and investment policy variables affecting the financial performance while the financing policy did not affect the company's financial performance. The second model had hypothesis results, consisting of three variables affecting the market performance with different impacts, namely financing policies, investment policies, and financial performances. It was found that good corporate governance did not affect the market performance. This finding explained that good corporate governance along with the investment policies had a direct impact on the financial performance of the company but good corporate governance did not affect the market performance. It could be interpreted that the implementation of good corporate governance for public companies was only a formality to comply with Bapepam, which was voluntary. Hence, investors in the stock market did not take the good corporate governance variable as one of the indicators used to make investment decisions in the stock market. Another finding was that the financing policy did not affect the financial performance and the market performance of the public companies.",archive,2020-05-29 19:11:36,,published,,21127,,,,,,Clute Institute,"2016 IABC, 2016 IEC & 2016 ISEC Proceedings",2157-9660 (Online),,[{'url': 'https://www.cluteinstitute.com/clute-international-academic-conferences/'}],https://www.cluteinstitute.com/clute-international-academic-conferences/,,"[{'name': {'given': 'Sri', 'lineage': None, 'family': 'Hasnawati', 'honourific': None}}]","2016 IABC, 2016 IEC & 2016 ISEC Proceedings",,,,
7,public,http://repository.lppm.unila.ac.id/id/eprint/23352,,pub,"[{'eprintid': 23352, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 36946, 'main': 'Similarity Check GCG, Financial Performance, And Market Performance Of Public Companies In Indonesia.pdf', 'files': [{'filesize': 2608179, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2020-07-23 09:23:04', 'filename': 'Similarity Check GCG, Financial Performance, And Market Performance Of Public Companies In Indonesia.pdf', 'hash': '58d8a81beb0016623609175923bbdd64', 'fileid': 213607, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/213607', 'objectid': 36946}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36946', 'rev_number': 1}]",,,2020-07-24 00:56:31,['Universitas Lampung'],1031,2020-07-24 00:56:31,1970-01-01 00:00:00.000002016,disk0/00/02/33/52,"[{'id': 'sri.hasnawati@feb.unila.ac.id', 'name': {'given': 'Sri', 'family': 'Hasnawati', 'honourific': None, 'lineage': None}}]",['FEB6'],other,8,,show,,"GCG, Financial Performance, And Market Performance Of Public Companies In Indonesia.",['HG'],"SIMILARITY CHECK:

The study objective is to elaborate the implementation of good corporate governance policies to create a healthy business for public companies in the capital markets. Path analysis is the model used to answer the study’s questions. The study’s population was the public companies that had already implemented good corporate governance and had a ranking at the Corporate Governance Perception Index (CGPI) during the exception regulation for financial institutions and banks. The research sample consisted of 63 companies. The study resulted into two research models. The first hypothesis resulted into the first model, which included corporate governance and investment policy variables affecting the financial performance while the financing policy did not affect the company's financial performance. The second model had hypothesis results, consisting of three variables affecting the market performance with different impacts, namely financing policies, investment policies, and financial performances. It was found that good corporate governance did not affect the market performance. This finding explained that good corporate governance along with the investment policies had a direct impact on the financial performance of the company but good corporate governance did not affect the market performance. It could be interpreted that the implementation of good corporate governance for public companies was only a formality to comply with Bapepam, which was voluntary. Hence, investors in the stock market did not take the good corporate governance variable as one of the indicators used to make investment decisions in the stock market. Another finding was that the financing policy did not affect the financial performance and the market performance of the public companies.",archive,2020-07-24 00:56:31,,published,,23352,,USA,,,,Clute Institute,,,,[{'url': 'http://repository.lppm.unila.ac.id/id/eprint/21127'}],https://www.cluteinstitute.com/clute-international-academic-conferences/,,,,,,,
8,public,http://repository.lppm.unila.ac.id/id/eprint/40841,TRUE,pub,"[{'docid': 162230, 'main': '2016_Prosiding Internasional GAMAICEB artikel.pdf', 'files': [{'hash': '279508c79411ca678b03d22757d94964', 'filename': '2016_Prosiding Internasional GAMAICEB artikel.pdf', 'hash_type': 'MD5', 'mtime': '2022-03-30 23:12:42', 'mime_type': 'application/pdf', 'fileid': 454244, 'filesize': 299382, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/454244', 'objectid': 162230}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162230', 'eprintid': 40841, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}, {'uri': 'http://repository.lppm.unila.ac.id/id/document/162231', 'rev_number': 1, 'pos': 2, 'format': 'text', 'files': [{'fileid': 454250, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-03-30 23:23:12', 'hash': '60936ca57f3af5556a5e5339bd4827e2', 'filename': '2016_Prosiding Internasional GAMAICEB artikel.pdf', 'datasetid': 'document', 'filesize': 823845, 'objectid': 162231, 'uri': 'http://repository.lppm.unila.ac.id/id/file/454250'}], 'main': '2016_Prosiding Internasional GAMAICEB artikel.pdf', 'docid': 162231, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 2, 'security': 'public', 'eprintid': 40841}]",paper,,2022-03-31 02:39:10,,108,2022-03-31 02:39:10,2016-10-26 00:00:00.000000000,disk0/00/04/08/41,"[{'name': {'given': 'Keumala', 'lineage': None, 'honourific': None, 'family': 'Hayati'}, 'id': 'umi_asra@yahoo.co.id'}, {'name': {'given': 'Nurul', 'honourific': None, 'family': 'indarti', 'lineage': None}, 'id': 'nurulindarti@yahoo.com'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Wibowo', 'given': 'Amin'}, 'id': None}]",['FEB6'],conference_item,10,conference,show,,ORGANIZATIONAL SPONSORSHIP: BUSINESS INCUBATOR MODEL AND CONCEPTUAL DEFINITION REFINEMENT,['HD28'],"Studies relating to business incubator has been widely conducted, but the definition is very diverse. The business incubator concept has been criticized because of its inadequate theory. Previous studies of business incubator indicated that the knowledge of business incubator is not based on theory but only anecdotal. While recent studies of business incubator are more likely to suggest and develop a new theory rather than to strengthening the concept itself. Business incubator also divided into several types: University, Corporate, Government and NGOs. This study has two objectives. First, to fill the gaps of business incubator studies by identifying the role played in the process of developing a new business. Second, this paper aims to answer the question about the exact definition of business incubator. The study conducted among four business incubators in Yogyakarta-Indonesia, such as: University, Government, Corporate and NGO. This study explores the theoretical foundation of the business incubator. By using grounded theoretical approach and case study, the definition of business incubator has been refined. Business incubator can be explained by integrating several theories, such as: transaction cost economics, real option theory, resource-based view, schumpeterian innovation, network theory, business strategy and organizational adaptation. These theoretical approaches result business incubator as multi-dimensional that consisting of seven roles. The seven roles are efficiency, selection, resource, innovation, networking, strategic support and adaptation. These roles made it clear that the definition of the business incubator concept to be more comprehensive, so that there is no difference in the definition of the business incubator concept as well as among types of business incubator, but the difference is only in the dominant role played by the business incubator.",archive,2022-03-31 02:39:10,,,4TH CADJAH MADA INTERNATIONAL CONFERENCE ON ECONOMICS AND BUSINESS 2016,40841,,,,,,,,,,,,,,,,,,
9,restricted,http://repository.lppm.unila.ac.id/id/eprint/49053,,unpub,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 49053, 'security': 'validuser', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188501', 'docid': 188501, 'main': '2016_isi prosiding gamaiceb Turnitin.pdf', 'files': [{'datasetid': 'document', 'filesize': 4885468, 'mime_type': 'application/pdf', 'fileid': 533389, 'filename': '2016_isi prosiding gamaiceb Turnitin.pdf', 'hash': '7cd50d6de11031e400ebd68564a2de3a', 'mtime': '2023-03-20 17:13:30', 'hash_type': 'MD5', 'objectid': 188501, 'uri': 'http://repository.lppm.unila.ac.id/id/file/533389'}]}]",,,2023-03-21 01:50:46,,108,2023-03-21 01:50:46,1970-01-01 00:00:00.000002016,disk0_bak/00/04/90/53,"[{'id': 'umi_asra@yahoo.co.id', 'name': {'given': 'Keumala', 'lineage': None, 'family': 'Hayati', 'honourific': None}}, {'id': 'nurulindarti@yahoo.com', 'name': {'lineage': None, 'family': 'indarti', 'honourific': None, 'given': 'Nurul'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Wibowo', 'given': 'Amin'}, 'id': None}]",['FEB6'],other,8,,show,,Turnitin Prosiding Gadjah Mada International Conference 2016,['HD28'],,archive,2023-03-21 01:50:46,,,,49053,,,,,,GAMAICEB,,,,,,,,,,,,
