,title,rev_number,metadata_visibility,status_changed,eprint_status,subjects,abstract,eprintid,date_type,ispublished,documents,publisher,uri,full_text_status,refereed,lastmod,userid,datestamp,pagerange,publication,creators,issn,date,dir,type,divisions,number,official_url,volume,related_url,monograph_type,id_number,pages,contributors,corp_creators,event_type,event_dates,event_location,event_title,pres_type,place_of_pub,contact_email,keywords,isbn,book_title,institution,department,editors,series
0,pemberdayaan ekonomi wanita melalui inovasi produk olahan susu kefir di desa mulyosari kabupaten pesawaran,6,show,2020-06-04 08:38:46,archive,['H1'],"Seiring dengan perkembangan zaman ditengah masyarakat seharusnya teknologi mampu menjadi perangsang bagi masyarakat untuk berkembang terutama bagi para peternak, kurangnya inovasi yang tidak memanfaatkan kemajuan teknologi merupakan kesalahan besar bagi banyak peternak dibanyak wilayah di Indonesia terutama di Provinsi Lampung khususnya Desa Mulyosari. Susu yang dominan diproduksi adalah susu yang dihasilkan dari kambing etawa. Inovasi  pengolahan  susu menjadi  yoghurt ataupun masker harus  diterapkan    masyarakat  dan  peternak  kambing.  Pada  umumnya  dalam menerima suatu masukan teknologi baru peternak menghendaki adanya bukti yang nyata dan informasi secara menyeluruh. Salah satu cara yang dapat dilakukan adalah melalui kemitraan antara  akademisi  dan  peternak.  Oleh  sebab  itu  dengan program pembuatan ini diharapkan dapat meningkatkan pendapatan  masyarakat   pada   umumnya, khususnya masyarakat  serta  peternak  kambing  di Desa Mulyosari, Kecamatan Way Ratai Kabupaten Pesawaran Provinsi Lampung. Kegiatan  dapat dimulai  dengan pemyuluhan  oleh  pengusaha  masker  yang telah lama berkecimpung di dunia bisnis masker melalui olahan susu kambing. Target peserta  yang  diharapkan adalah anggota PKK, pemilihan target ini beralasan dari latar belakang kebiasaan anggota PKK yang kurang produktif diluar musim panen. 

Pelatihan berjalan sesuai target yang direncanakan yaitu peserta mampu membuat masker berbahan susu kambing dan bibit kefir. Sambutan masyarakat sangat antusias karena kegiatan ini merupakan pengetahuan yang baru, yang memberi harapan pada peningkatan pendapatan mereka. Selain    target    pokok    program    ini,    masyarakat    menginginkan    bantuan    untuk pengemasan  dan  pemasaran  produknya.  Untuk  program  selanjutnya  apabila  dimungkinkan peserta  mengusulkan  ada  pelatihan  tentang pengemasan dan pemasaran yang menarik guna meningkatkan penjualan susu dan masker kefir.",21821,published,pub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35226', 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 3107274, 'fileid': 201810, 'mime_type': 'application/pdf', 'mtime': '2020-06-04 08:17:12', 'hash_type': 'MD5', 'hash': '268a37c11286b813859a3565a17da4a4', 'filename': 'diseminasi pengabdian kefir.pdf', 'objectid': 35226, 'uri': 'http://repository.lppm.unila.ac.id/id/file/201810'}], 'docid': 35226, 'main': 'diseminasi pengabdian kefir.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 21821}]",lembaga penelitian dan pengabdian kepada masyarakat unila,http://repository.lppm.unila.ac.id/id/eprint/21821,public,TRUE,2020-06-04 08:38:46,238,2020-06-04 08:38:46,65-72,diseminasi hasil pengabdian kepada masyarakat,"[{'id': 'dwiasrisitiambarwati@gmail.com', 'name': {'given': 'Dwi Asri Siti', 'lineage': None, 'family': 'Ambarwati', 'honourific': None}}, {'name': {'given': 'Dorothy Rouly H.', 'lineage': None, 'family': 'Pandjaitan', 'honourific': None}, 'id': 'dorothy_rouly@yahoo.com'}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'paujiah', 'given': 'sipa'}}, {'name': {'given': 'lidya ayuni', 'family': 'Putri', 'honourific': None, 'lineage': None}, 'id': None}]",978-602-0860-33-6,1970-01-01 00:00:00.000002019,disk0/00/02/18/21,article,['FEB6'],,,,,,,,,,,,,,,,,,,,,,,
1,"PENGARUH MODAL PSIKOLOGI DAN KEPUASAN KERJA TERHADAP KINERJA
KARYAWAN AUTO 2000 – PT ASTRA INTERNASIONAL TBK TOYOTA KANTOR
CABANG RADEN INTAN BANDAR LAMPUNG",6,show,2019-11-19 05:15:42,archive,['H1'],"Competition in the world of work is increasingly competitive as evidenced by the continued increase
in the number of companies in Indonesia. Companies are required to have quality human resources
to be able to face competitive competition. PT Astra Internasional Tbk. Toyota Branch Raden Intan
Bandarlampung is one of the automotive dealers engaged in sales, maintenance, repair and supply of
Toyota spare parts. Productivity fluctuations that tend to decrease and turnover rates are relatively
high makes this a problem for this company. Psychological capital has been used as a new approach
by companies to develop their employees because it emphasizes new approaches to face competition
in the market through the use, development and management of existing psychological models.
The purpose of this study was to determine the effect of psychological capital, job satisfaction on
employee performance. Respondents in this study were employees of PT Astra Internasional Tbk.
Toyota Raden Intan Bandarlampung Branch, as many as 146 people. The data collection method
uses a questionnaire with a Likert scale. Analysis of the data used is multiple regression analysis.
Suggestions for AUTO 2000 employees - PT Astra Internasional Tbk. Toyota Branch Office Raden
Intan Bandarlampung if you see something wrong you should not just be quiet, but try to find
solutions and fix it, PT Auto 2000 Manager Raden Intan Bandarlampung should continue to provide
support to subordinates to be more motivated in carrying out their work. The employees of PT Auto
200 Raden Intan Bandarlampung should strive to improve their ability to analyze the situation and
determine the appropriate actions for the benefit of the company.",17077,published,pub,"[{'docid': 30167, 'main': 'JBM_Volume_15_No.1_Januari_2019.pdf', 'files': [{'hash': '787a29bbadb1c8f07f9de283b846feec', 'filename': 'JBM_Volume_15_No.1_Januari_2019.pdf', 'hash_type': 'MD5', 'mtime': '2019-11-18 13:06:48', 'mime_type': 'application/pdf', 'fileid': 144910, 'filesize': 3285605, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/144910', 'objectid': 30167}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30167', 'rev_number': 1, 'eprintid': 17077, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",,http://repository.lppm.unila.ac.id/id/eprint/17077,public,TRUE,2019-11-19 05:15:42,640,2019-11-19 05:15:42,1-210,Jurnal Bisnis dan Manajemen (JBM),"[{'name': {'given': 'Abdul', 'lineage': None, 'family': 'Aziz', 'honourific': None}, 'id': None}, {'name': {'lineage': None, 'family': 'Yuningsih', 'honourific': None, 'given': 'Yuningsih'}, 'id': 'yuningsihnangwie@yahoo.com'}]",ISSN 1411 - 9366,2019-01-30 00:00:00.000000000,disk0/00/01/70/77,article,['FEB6'],1,http://manajemen.feb.unila.ac.id/publikasi/jurnal/,15,,,,,,,,,,,,,,,,,,,,
2,Penerapan Marketing Mix dan STP Sebagai Strategi Pengembangan Pasar Tradisional Dalam Perspektif Pasar Modern,7,show,2020-02-11 08:34:39,archive,['H1'],,17953,published,pub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31093', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/151253', 'objectid': 31093, 'filesize': 2633130, 'datasetid': 'document', 'filename': 'Merged_File (1).pdf', 'hash': 'c957a64637f413f9c2b04d1e956ba7fe', 'hash_type': 'MD5', 'mtime': '2020-02-11 06:19:57', 'mime_type': 'application/pdf', 'fileid': 151253}], 'main': 'Merged_File (1).pdf', 'docid': 31093, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 17953}]","Pusaka Media, Bandar Lampung",http://repository.lppm.unila.ac.id/id/eprint/17953,public,,2020-02-11 08:34:39,1046,2020-02-11 08:34:39,,,"[{'id': 'satria.bangsawan@feb.unila.ac.id', 'name': {'honourific': None, 'family': 'Bangsawan', 'lineage': None, 'given': 'Satria'}}]",,1970-01-01 00:00:00.000002019,disk0/00/01/79/53,monograph,['FEB6'],,http://sinta2.ristekdikti.go.id/authors/detail?id=6039551&view=book,,[{'url': 'http://sinta2.ristekdikti.go.id/authors/detail?id=6039551&view=book'}],other,978-623-7560-05-0,0.0,"[{'type': 'http://www.loc.gov/loc.terms/relators/EDT', 'id': 'pr1nch1t4@yahoo.com', 'name': {'honourific': None, 'family': 'MS', 'lineage': None, 'given': 'Mahrinasari'}}, {'type': 'http://www.loc.gov/loc.terms/relators/COV', 'id': 'igo@staff.unila.ac.id', 'name': {'given': 'Prayugo', 'lineage': None, 'honourific': None, 'family': 'Prayugo'}}, {'name': {'family': 'Media', 'honourific': None, 'lineage': None, 'given': 'Pusaka'}, 'id': 'pusakamedia@gmail.com', 'type': 'http://www.loc.gov/loc.terms/relators/PBL'}]",,,,,,,,,,,,,,,
3,Penerapan Marketing Mix dan STP sebagai Strategi Pengembangan Pasar Tradisional dalam Perspektif Pasar Modern,9,show,2020-02-11 08:34:36,archive,['H1'],,17677,published,pub,"[{'eprintid': 17677, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'STP.pdf', 'docid': 30799, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/149217', 'objectid': 30799, 'mtime': '2020-01-23 08:04:32', 'hash_type': 'MD5', 'filename': 'STP.pdf', 'hash': '3a09059abeb21cad72f7de35787beff2', 'fileid': 149217, 'mime_type': 'application/pdf', 'filesize': 1249707, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30799'}]","Pusaka Media, Bandar Lampung",http://repository.lppm.unila.ac.id/id/eprint/17677,public,,2020-02-11 08:34:36,1046,2020-02-11 08:34:36,,,"[{'id': 'satria.bangsawan@feb.unila.ac.id', 'name': {'honourific': None, 'family': 'Bangsawan', 'lineage': None, 'given': 'Satria'}}]",,1970-01-01 00:00:00.000002019,disk0/00/01/76/77,monograph,['FEB6'],,,,,other,9786237560050,66.0,"[{'type': 'http://www.loc.gov/loc.terms/relators/EDT', 'id': 'pr1nch1t4@yahoo.com', 'name': {'family': 'MS', 'honourific': None, 'lineage': None, 'given': 'Mahrinasari'}}]","['Management Department', 'Faculty of Economics and Business', 'University of Lampung']",,,,,,,,,,,,,,
4,Muslim friendly tourism and accommodation of Malaysian hotel industries,6,show,2020-02-12 02:40:49,archive,['H1'],"Malaysia is one of the countries that attract tourist from
all over the world. There is no barrier for the tourist to
select from a range of halal products and hotel services
available. Therefore, several potential attributes of
Muslim friendly hotel services were analyzed from two
major tourist destination state of Malaysia, namely
Kedah and Penang. The analysis was based on three
major online accommodation service providers. The
findings revealed the significant information of the
Muslim friendly hotel services in Malaysia. Therefore,
updating the current information of the Muslim friendly
tourism services is recommended.",17968,published,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 17968, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31113', 'rev_number': 1, 'main': '29967-46580-1-PB (1).pdf', 'docid': 31113, 'files': [{'filename': '29967-46580-1-PB (1).pdf', 'hash': 'e96fdcb55d00829ffdb8bc20d6dbb204', 'hash_type': 'MD5', 'mtime': '2020-02-12 00:16:59', 'mime_type': 'application/pdf', 'fileid': 151358, 'filesize': 461898, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/151358', 'objectid': 31113}]}]",Utopía y Praxis Latinoamericana. Revista Internacional de Filosofía Iberoamericana y Teoría Social / Centro de Estudios Sociológicos y Antropológicos (CESA) / Facultad de Ciencias Económicas y Sociales / Universidad del Zulia-Venezuela,http://repository.lppm.unila.ac.id/id/eprint/17968,public,TRUE,2020-02-12 02:40:49,1046,2020-02-12 02:40:49,341-348,UTOPÍA Y PRAXIS LATINOAMERICANA,"[{'name': {'given': 'Satria', 'lineage': None, 'honourific': None, 'family': 'Bangsawan'}, 'id': 'satria.bangsawan@feb.unila.ac.id'}, {'name': {'given': 'Mahrinasari', 'honourific': None, 'family': 'MS', 'lineage': None}, 'id': 'pr1nch1t4@yahoo.com'}, {'id': 'shahril@uum.edu.my', 'name': {'honourific': None, 'family': 'Rahman', 'lineage': None, 'given': 'MM'}}, {'id': 'dr_mahfuj@yahoo.co.uk', 'name': {'given': 'MSA', 'lineage': None, 'honourific': None, 'family': 'Razimi'}}]",1315-5216,1970-01-01 00:00:00.000002019,disk0/00/01/79/68,article,['FEB6'],5,https://produccioncientificaluz.org/index.php/utopia/issue/view/3319,24,,,,,,,,,,,,,,,,,,,,
5,"PENGEMBANGAN PRODUK MAKANAN DAN MINUMAN RAMAH
LINGKUNGAN SKALA UMKM BERBASIS LABEL HALAL DAN SEHAT
DENGAN PENERAPAN PEMBUNGKUSAN ZERO PLASTIC",9,show,2020-05-27 01:49:15,archive,['H1'],"Pesatnya perkembangan UMKM menimbulkan dampak yang cukup signifikan terhadap
lingkungan. Salah satunya adalah peningkatan jumlah sampah plastik. Plastik digunakan oleh
para pelaku UMKM untuk membungkus makanan dan minuman yang mereka jual. Maka dari
itu, salah satu strategi komunikasi pemasaran sosial adalah “Zero Single Use Plastic” yang
diusung oleh WWF (World Wide Fund). Selain permasalahan mengenai sampah plastic,
kesadaran dari para pelaku UMKM untuk meningkatkan kualitas produknya masih sangat
minim, sebagai factor kesehatan dan kehalalan. Kesehatan dan kehalalan menjadi hal yang
harus diperhatikan oleh para pelaku UMKM di bidang makanan dan minuman. Kehalalan
suatu produk dapat dibuktikan dengan adanya Sertifikat Halal MUI. Sertifikat Halah MUI
adalah fatwa para ulama mengenai kehalalan suatu produk. Tujuan dari kegiatan ini adalah
memberikan pengetahuan kepada para pelaku UMKM mengenai zero plastic. Kegiatan
pengabdian ini akan dilakukan di Bandar Lampung dengan bekerja sama dengan beberapa
instansi untuk mengenalkan pentingnya penggunaan bahan baku yang baik bagi kesehatan.",20612,published,pub,"[{'docid': 33963, 'main': 'Prosiding Pengabdian.pdf', 'files': [{'objectid': 33963, 'uri': 'http://repository.lppm.unila.ac.id/id/file/193396', 'fileid': 193396, 'mime_type': 'application/pdf', 'mtime': '2020-05-27 00:49:30', 'hash_type': 'MD5', 'hash': '1df8e307a251f3eab3a59e49a82d1638', 'filename': 'Prosiding Pengabdian.pdf', 'datasetid': 'document', 'filesize': 10637400}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/33963', 'rev_number': 1, 'eprintid': 20612, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",,http://repository.lppm.unila.ac.id/id/eprint/20612,public,TRUE,2020-05-27 01:49:15,2816,2020-05-27 01:49:15,238-242,,"[{'name': {'given': 'Satria', 'lineage': None, 'honourific': None, 'family': 'Bangsawan'}, 'id': 'satria.bangsawan@feb.unila.ac.id'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Mahrinasari', 'given': 'Mahrinasari'}, 'id': 'mahrinasari@feb.unila.ac.id'}, {'id': None, 'name': {'honourific': None, 'family': 'Dewi', 'lineage': None, 'given': 'Fajar Gustiawaty'}}, {'id': 'nindytia.puspitasari@feb.unila.ac.id', 'name': {'given': 'nindytia puspitasari', 'lineage': None, 'honourific': None, 'family': 'dalimunthe'}}]",,1970-01-01 00:00:00.000002019,disk0/00/02/06/12,conference_item,['FEB6'],,http://feb.unila.ac.id/id/semnasfeb/,,,,,,,"['fakultas ekonomi dan bisnis universitas lampung', 'fakultas ekonomi dan bisnis universitas lampung', 'fakultas ekonomi dan bisnis universitas lampung', 'fakultas ekonomi dan bisnis universitas lampung']",conference,24 Oktober 2019,Bandar Lampung,Call for Papers dan Seminar Nasional Tahun 2019,paper,,,,,,,,,
6,"Pengembangan Produk Makanan dan Minuman Berbasis
Green Product di Bandar Lampung",8,show,2020-05-27 01:49:09,archive,['H1'],"Perkembangan pesat sector UMKM di bidang makanan dan minuman menjadi salah satu peluang yang dapat meningkatkan perekonomian kota Bandar Lampung. Namun, kesadaran dari para pelaku UMKM untuk meningkatkan kualitas produknya masih sangat minim, sebagai contoh perizinan PIRT dan perizinan usaha. PIRT dibutuhkan oleh para pelaku UMKM untuk dapat memasarkan produknya secara legal dan pengolahan makanan dan minuman yang bebas dari kontaminasi bakteri serta menggunakan bahan baku yang baik bagi kesehatan. Green product diperlukan untuk beralih kepada teknologi bersih dan pencegahan polusi atau kontaminasi terhadap produk yang dapat berdampak pada kesehatan manusia. Tujuan dari kegiatan ini adalah mengimplementasikan pengetahuan kepada para pelaku UMKM mengenai green product yang meliputi pengurusan persyaratan perizinan PIRT (usaha makanan dan minuman, penggunaan bahan baku yang baik bagi kesehatan (tidak mengandung aspartam, boraks, formalin, pewarna tekstil, dan MSG, penggunaan bahan kemasan dengan kandungan zat kimia berbahaya), serta pengimplementasian eco-label pada pada produk makanan dan minuman. Kegiatan pengabdian ini akan dilakukan di Bandar Lampung dengan bekerja sama dengan beberapa instansi untuk mengenalkan pentingnya penggunaan bahan baku yang baik bagi kesehatan. Kegiatan ini akan dimulai dengan memberikan training dan pengetahuan kepada para pelaku UMKM dan diharapkan setelah kegiatan pengabdian ini para pelaku UMKM dapat membuat produk berbasis green product.",20610,published,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 20610, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33962', 'docid': 33962, 'main': 'Prosiding Pengabdian.pdf', 'files': [{'datasetid': 'document', 'filesize': 10637400, 'fileid': 193387, 'mime_type': 'application/pdf', 'mtime': '2020-05-27 00:40:56', 'hash_type': 'MD5', 'hash': '1df8e307a251f3eab3a59e49a82d1638', 'filename': 'Prosiding Pengabdian.pdf', 'objectid': 33962, 'uri': 'http://repository.lppm.unila.ac.id/id/file/193387'}]}]",,http://repository.lppm.unila.ac.id/id/eprint/20610,public,TRUE,2020-05-27 01:49:09,2816,2020-05-27 01:49:09,232-237,,"[{'name': {'given': 'Satria', 'lineage': None, 'honourific': None, 'family': 'Bangsawan'}, 'id': 'satria.bangsawan@feb.unila.ac.id'}, {'name': {'family': 'Mahrinasari', 'honourific': None, 'lineage': None, 'given': 'Mahrinasari'}, 'id': 'mahrinasari@feb.unila.ac.id'}, {'id': 'fajargd@yahoo.com', 'name': {'honourific': None, 'family': 'Gustiawaty Dewi', 'lineage': None, 'given': 'Fajar'}}, {'id': 'nindytia.puspitasari@feb.unila.ac.id', 'name': {'honourific': None, 'family': 'dalimunthe', 'lineage': None, 'given': 'nindytia puspitasari'}}]",,1970-01-01 00:00:00.000002019,disk0/00/02/06/10,conference_item,['FEB6'],,http://feb.unila.ac.id/id/semnasfeb/,,,,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]","['fakultas ekonomi dan bisnis universitas lampung', 'fakultas ekonomi dan bisnis universitas lampung', 'fakultas ekonomi dan bisnis universitas lampung', 'fakultas ekonomi dan bisnis universitas lampung']",conference,24 Oktober 2019,Bandar Lampung,Call for Papers dan Seminar Nasional Tahun 2019,paper,,,,,,,,,
7,Is The Quality of Business Incubator Programs Capable of Boosting Entrepreneurial Orientation and Intention at Higher Education?,7,show,2022-03-30 07:42:45,archive,['H1'],,40637,,pub,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/452495', 'objectid': 162004, 'filesize': 2967100, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2022-03-29 02:44:33', 'hash': '960e9fe4bcd230c038d60b1cb4dc2f76', 'filename': '17 Similarity_Is the quality of_ribhan.pdf', 'fileid': 452495, 'mime_type': 'application/pdf'}], 'docid': 162004, 'main': '17 Similarity_Is the quality of_ribhan.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/162004', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 40637, 'mime_type': 'application/pdf', 'language': 'en'}]","Jurnal In Proceedings of the 4th Sriwijaya Economics, Accounting, and Business Conference",http://repository.lppm.unila.ac.id/id/eprint/40637,public,,2022-03-30 07:42:45,404,2022-03-30 07:42:45,,,"[{'name': {'lineage': None, 'family': 'Eka Yusendra', 'honourific': None, 'given': 'M Ariza'}, 'id': None}, {'id': None, 'name': {'family': 'Ribhan', 'honourific': None, 'lineage': None, 'given': 'Ribhan'}}, {'id': None, 'name': {'given': 'Paramitasari', 'lineage': None, 'honourific': None, 'family': 'Niken'}}, {'name': {'given': 'AHADIAT', 'lineage': None, 'family': 'Ayi', 'honourific': None}, 'id': 'ayi.ahadiat@gmail.com'}]",,1970-01-01 00:00:00.000002019,disk0/00/04/06/37,other,['FEB6'],,https://www.scitepress.org/Papers/2018/84397/84397.pdf,,,,ISBN: 978-989-758-387-2,,,,,,,,,,,,,,,,,
8,"THE IMPACT OF COMPENSATION, TRANSFORMATIONAL LEADERSHIP,
AND EMPLOYEE SATISFACTION TOWARD EMPLOYEE PERFORMANCE.",9,show,2020-05-28 02:17:20,archive,['H1'],"Employee performance in the banking industry is decisive to compete globally. Compensation, 
transformational leadership, and employee satisfaction are important factors to improve employee
performance. This study aims to examine benefits, transformational leadership, and employee satisfaction
and its effect on the performance of employees of PT. Bank Negara Indonesia (Persero) Tbk Metro Branch
Office, Lampung. The data collection method uses a questionnaire distributed to all employees of 54 people.
The analytical tool used is multiple linear regression. This study presents that all data is valid and reliable
and meets the classical regression assumptions. The results of the study explained that compensation,
transformational leadership, and employee satisfaction have positive and partially positive effects on
employee performance. 

Keywords: Compensation, Transformational Leadership, Employee Satisfaction, Employee Performance,Banking",20763,,pub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34111', 'format': 'text', 'pos': 1, 'files': [{'hash_type': 'MD5', 'mtime': '2020-05-27 23:45:33', 'filename': '8518-Article Text-20723-1-10-20200129.pdf', 'hash': '1a9cb924be2ec18bd8a2494fb475a370', 'fileid': 194453, 'mime_type': 'application/pdf', 'filesize': 288630, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/194453', 'objectid': 34111}], 'main': '8518-Article Text-20723-1-10-20200129.pdf', 'docid': 34111, 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 20763}]",,http://repository.lppm.unila.ac.id/id/eprint/20763,public,TRUE,2020-05-28 02:17:20,598,2020-05-28 02:17:20,21-31,"THE IMPACT OF COMPENSATION, TRANSFORMATIONAL LEADERSHIP, AND EMPLOYEE SATISFACTION TOWARD EMPLOYEE PERFORMANCE.","[{'name': {'given': 'Christy', 'honourific': None, 'family': 'Gomgon ES', 'lineage': None}, 'id': 'gombenezer@gmail.com'}, {'id': 'ebo.erlina@gmail.com', 'name': {'honourific': None, 'family': 'Rr', 'lineage': None, 'given': 'Erlina'}}, {'id': 'nova.mardiana@feb.unila.ac.id', 'name': {'given': 'Nova', 'family': 'Mardiana', 'honourific': None, 'lineage': None}}]",2597-6265,2019-12-01 00:00:00.000000000,disk0/00/02/07/63,article,['FEB6'],1,,3,,,,,,,,,,,,,,,,,,,,
9,ANALYSIS OF LIQUIDITY OF CORPORATE BONDS IN THE INDONESIAN SECONDARY MARKET,7,show,2019-11-18 07:17:41,archive,['HG'],"The purpose of this study is to determine what factors influence bond liquidity in Indonesia's secondary market during 2015-2017. With the sampling criteria determined, a sample of 23 corporate bonds was chosen with the investment grade category. Multiple regression models are used to answer the research objectives and proposed hypotheses. The results of the study found that the liquidity of corporate bonds in the Indonesian secondary market was positively influenced by market capitalization, inflation, and asymmetric information. Bond liquidity is negatively affected by market indices, in this case, the Indonesia Composite Index and interest rates. Determination coefficient test results amounted to 34.1%, indicating that the ability of independent variables in this study was only able to explain the variable liquidity of bonds of 34.1%Another conclusion is that the secondary market of bonds is not liquid because there are more transactions in the OTC market, and bond investors are generally institutional investors who save until the maturity date of the bonds.",16945,,submitted,"[{'placement': 1, 'security': 'public', 'eprintid': 16945, 'language': 'en', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'files': [{'filesize': 37898, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2019-11-18 06:25:30', 'hash': '8d8d9165db7e0bfa67a78637495d46bc', 'filename': 'BOND LIQUIDITY SECONDARY MARKET INDONESIA.docx', 'fileid': 143751, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/143751', 'objectid': 30026}], 'main': 'BOND LIQUIDITY SECONDARY MARKET INDONESIA.docx', 'docid': 30026, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30026', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",RSF,http://repository.lppm.unila.ac.id/id/eprint/16945,public,TRUE,2019-11-18 07:17:41,1031,2019-11-18 07:17:41,1-5,ICEBE II,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Hasnawati', 'given': 'Sri'}, 'id': 'sri.hasnawati.feb.unila.ac.id'}]",RSF,2019-11-01 00:00:00.000000000,disk0/00/01/69/45,article,['FEB6'],1,,2,,,,,"[{'name': {'given': 'Sri', 'family': 'Hasnawati', 'honourific': None, 'lineage': None}, 'id': 'sri.hasnawati.feb.unila.ac.id'}]",['FEB UNIVERSITY OF LAMPUNG'],,,,,,,,,,,,,,
