,eprintid,date_type,eprint_status,status_changed,abstract,subjects,official_url,title,metadata_visibility,volume,rev_number,type,divisions,issn,creators,publication,dir,date,userid,lastmod,datestamp,pagerange,documents,ispublished,refereed,uri,full_text_status,corp_creators,publisher,number,contributors,contact_email,related_url,pages,book_title,editors,place_of_pub,isbn,id_number,referencetext,event_type,event_title,event_location,pres_type,funders,succeeds,event_dates,projects
0,40820,published,archive,2022-03-31 02:38:31,"This study discusses an interactive model that integrates behaviour theory with ethical theory to
determine individual behaviour towards digital piracy. This study uses a quantitative approach by testing
assumptions using the Structural Equation Model (SEM) assisted using the AMOS 4.0 application program. The
results showed that the Theory of Planned Behavior (TPB) and the theory of marketing ethics (HV theory) could
be used to predict the intention to commit digital piracy. Digital piracy intentions are not influenced by TPB's
arbitrary rules, while digital piracy expectations and behaviour management significantly impact digital piracy
intentions. Moral obligations and perceived benefits directly influence digital piracy. Moral obligation has clear
negative effects, whereas perceived benefits positively impact piracy. Moral obligation hurts subjective value.
Meanwhile, the perceived dangers often undermine individual attitudes towards digital piracy. The benefits
people experience influence attitudes to digital piracy. This habit has had a dramatic and positive impact on
digital piracy. 

Key-Words: Planed behavior theory, marketing ethics theory, attitude, subjective norm, regulate perceived
behavior, moral liability, fairness.",['H1'],https://wseas.com/journals/articles.php?id=244,"The theory of planned Behavior and Marketing Ethics Theory in
Predicting Digital Piracy Intentions",show,18,6,article,['FEB6'],"1109-9526,","[{'id': None, 'name': {'honourific': None, 'family': 'Ahadiat', 'lineage': None, 'given': 'Ayi'}}, {'id': None, 'name': {'given': 'Ribhan', 'honourific': None, 'family': 'Ribhan', 'lineage': None}}, {'id': 'albet.maydiantoro@fkip.unila.ac.id', 'name': {'given': 'Albet', 'lineage': None, 'honourific': None, 'family': 'Maydiantoro'}}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Kesumah', 'given': 'Fajrin Satria Dwi'}}]",WSEAS TRANSACTIONS on BUSINESS and ECONOMICS,disk0/00/04/08/20,2021-04-12 00:00:00.000000000,404,2022-03-31 02:38:31,2022-03-31 02:38:31,690-702,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162209', 'main': 'The theory of planned Behavior and Marketing Ethics Theory in.pdf', 'docid': 162209, 'files': [{'mime_type': 'application/pdf', 'fileid': 454092, 'filename': 'The theory of planned Behavior and Marketing Ethics Theory in.pdf', 'hash': '98ba803ac414c8da3d841473767f1c9f', 'hash_type': 'MD5', 'mtime': '2022-03-30 16:14:57', 'datasetid': 'document', 'filesize': 1305922, 'objectid': 162209, 'uri': 'http://repository.lppm.unila.ac.id/id/file/454092'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 40820, 'security': 'public', 'placement': 1}]",pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/40820,public,,,,,,,,,,,,,,,,,,,,,
1,32021,published,archive,2021-06-04 07:13:17,"This study aims to analyze the effect of the Ramadan effect and volatility risk on the Indonesian stock market using the GARCH model. The population in this study are companies listed on the LQ45 index on the Indonesia Stock Exchange during 2019. There are 42 companies used as samples in this study. The research sample was taken using purposive sampling method. This study uses the GARCH model as an analytical tool. The results of this study indicate that there is no Ramadan effect on the LQ45 index, but the volatility in the month of Ramadan affects the volatility in the LQ45 index.",['HG'],http://jurnal.feb.unila.ac.id/index.php/jbm/article/view/220,Ramadan Effect and Volatility Risk by Garch Model: Evidence in Indonesia Stock Market,show,17,6,article,['FEB6'],"ISSN 1411-9366, e-ISSN 2747-0032","[{'name': {'family': 'Derry', 'honourific': None, 'lineage': None, 'given': 'Westryananda'}, 'id': None}, {'name': {'honourific': None, 'family': 'Hasnawati', 'lineage': None, 'given': 'Sri'}, 'id': 'sri.hasnawati@feb.unila.ac.id'}, {'name': {'lineage': None, 'honourific': None, 'family': 'muslimin', 'given': 'muslimin'}, 'id': 'muslimin.1975@feb.unila.ac.id'}]",JURNAL BISNIS MANAJEMEN,disk0/00/03/20/21,1970-01-01 00:00:00.000002021,1031,2021-06-04 07:13:17,2021-06-04 07:13:17,,"[{'main': 'Ramadan Effek Paper Publish JBM 2021.pdf', 'docid': 145098, 'files': [{'datasetid': 'document', 'filesize': 265059, 'mime_type': 'application/pdf', 'fileid': 378987, 'hash': 'dc27c403e3919e0719bfeace387b3f45', 'filename': 'Ramadan Effek Paper Publish JBM 2021.pdf', 'mtime': '2021-06-04 03:40:48', 'hash_type': 'MD5', 'objectid': 145098, 'uri': 'http://repository.lppm.unila.ac.id/id/file/378987'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/145098', 'rev_number': 1, 'eprintid': 32021, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/32021,public,['University of Lampung'],FEB UNILA,2.0,"[{'name': {'family': 'Derry', 'honourific': None, 'lineage': None, 'given': 'Westryananda'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Hasnawati', 'given': 'Sri'}}, {'name': {'given': 'Muslimin', 'lineage': None, 'honourific': None, 'family': 'Muslimin'}}]",,,,,,,,,,,,,,,,,
2,32074,published,archive,2021-06-05 11:40:53,"Penelitian ini bertujuan untuk menganalisis pengaruh Ramadhan effect dan risiko volatilitas terhadap pasar saham Indonesia dengan menggunakan model GARCH. Populasi dalam penelitian ini adalah perusahaan yang terdaftar pada indeks LQ45 di Bursa Efek Indonesia selama tahun 2019. Terdapat 42 perusahaan yang dijadikan sampel dalam penelitian ini. Sampel penelitian diambil dengan menggunakan metode purposive sampling. Penelitian ini menggunakan model GARCH sebagai alat analisis. Hasil penelitian ini menunjukkan bahwa tidak ada pengaruh Ramadhan terhadap indeks LQ45, namun volatilitas pada bulan Ramadhan berpengaruh terhadap volatilitas pada indeks LQ45.",['HG'],,Ramadan Effect and Volatility Risk by GARCH Model: Evidence in Indonesia Stock Market,show,17,6,article,['FEB6'],1411-9366,"[{'id': 'dery011@live.com', 'name': {'given': 'Westryananda Putra', 'lineage': None, 'honourific': None, 'family': 'Dery'}}, {'id': 'sri.hasna2015@gmail.com', 'name': {'given': 'Hasnawati', 'family': 'Sri', 'honourific': None, 'lineage': None}}, {'id': 'muslimin.1975@feb.unila.ac.id', 'name': {'lineage': None, 'family': 'Muslimin', 'honourific': None, 'given': 'Muslimin'}}]",Jurnal Bisnis dan Manajemen,disk0/00/03/20/74,2021-02-01 00:00:00.000000000,111,2021-06-05 11:40:53,2021-06-05 11:40:53,14-25,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/145362', 'main': 'View of Ramadan Effect and Volatility Risk by Garch Model_ Evidence in Indonesia Stock Market.o.pdf', 'docid': 145362, 'files': [{'datasetid': 'document', 'filesize': 222474, 'fileid': 379611, 'mime_type': 'application/pdf', 'mtime': '2021-06-04 12:12:15', 'hash_type': 'MD5', 'hash': '6fe08514af57ea006f026c76d64aa246', 'filename': 'View of Ramadan Effect and Volatility Risk by Garch Model_ Evidence in Indonesia Stock Market.o.pdf', 'objectid': 145362, 'uri': 'http://repository.lppm.unila.ac.id/id/file/379611'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 32074, 'security': 'public', 'placement': 1}]",pub,FALSE,http://repository.lppm.unila.ac.id/id/eprint/32074,public,,Jurusan Manajemen Fakultas Ekonomi dan Bisnis Universitas Lampung,2.0,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'dery011@live.com', 'name': {'family': 'Dery', 'honourific': None, 'lineage': None, 'given': 'Westryananda Putra'}}, {'name': {'given': 'Hasnawati', 'honourific': None, 'family': 'Sri', 'lineage': None}, 'id': 'sri.hasna2015@gmail.com', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'id': 'muslimin.1975@feb.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'honourific': None, 'family': 'Muslimin', 'lineage': None, 'given': 'Muslimin'}}]",dery011@live.com,"[{'url': 'http://jurnal.feb.unila.ac.id/index.php/jbm/article/view/220', 'type': 'org'}]",,,,,,,,,,,,,,,
3,30632,,archive,2022-02-07 06:59:08,"Tingkat keseimbangan kehidupan kerja, kebanggaan organisasi dan kepuasan kerja karyawan masih menjadi masalah serius bagi perusahaan perbankan. Tujuan dalam penelitian ini adalah untuk mengetahui tingkat keseimbangan kehidupan kerja dan kebanggaan organisasi terhadap kepuasan kerja karyawan perbankan di Bandar Lampung. Pengumpulan data menggunakan  kuesioner kepada karyawan perbankan di Bandar Lampung dengan jumlah sampel 93 orang. Analisis data menggunakan analisis regresi linier berganda menunjukkan bahwa keseimbangan kehidupan kerja dan kebanggaan organisasi berpengaruh terhadap kepuasan kerja karyawan perbankan di Bandar Lampung.",['HD28'],,"Tingkat Keseimbangan Kehidupan Kerja dan Kebanggaan 
Organisasi Terhadap Kepuasan Kerja",show,1,9,book_section,['FEB6'],,"[{'name': {'given': 'M. Alif', 'lineage': None, 'honourific': None, 'family': 'Fahmi'}, 'id': 'Alipfahmi.af@gmail.com'}, {'id': 'umi_asra@yahoo.co.id', 'name': {'given': 'Keumala', 'honourific': None, 'family': 'Hayati', 'lineage': None}}, {'id': 'jodiesafitri@gmail.com', 'name': {'honourific': None, 'family': 'Safitri', 'lineage': None, 'given': 'Dina'}}]",,disk0/00/03/06/32,1970-01-01 00:00:00.000002021,108,2022-02-07 06:59:08,2022-02-07 06:59:08,21-30,,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/30632,none,,Aura,,,,,61.0,Book Chapter: Mozaik Riset Manajemen,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Hayati', 'given': 'Keumala'}, 'id': 'umi_asra@yahoo.co.id'}]",Bandar Lampung,978-623-211-264-3,,,,,,,,,,
4,30048,published,archive,2021-05-07 03:45:24,"Ethical violations are more likely to occur in online transactions compared to face-to-face transactions, and have been trigging negative perception regarding online retail ethic and negative experience of customer. Those are identified as the major problems causing consumers’ hesitance toward taking decision for shopping online. This study is to investigate the effect of consumer perception of online retail ethic on repurchase intention with the affective experience as a mediation variable. An online survey conducted toward customer between 17–40 age and have experience in purchasing product online in Indonesia. The results show that consumer perception of online retail ethic effects affective experience and affective experience effects repurchase intention. Consumer perception of online retail ethic also has direct effects on repurchase intention. Thus, the affective experience partially mediates the effect of consumer perception regarding online retail ethic and repurchase intention.","['BJ', 'H1']",https://eudl.eu/proceedings/ICEBE/2020,The Mediating Role of Affective Experience to The Effect of Online Retail Ethic on Repurchase Intention: Indonesian Y and Z Generation Perspective,show,,27,article,['FEB6'],2593-7650,"[{'name': {'lineage': None, 'family': 'Fihartini', 'honourific': None, 'given': 'Yuniarti'}, 'id': 'yuniarti.fihartini@feb.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Helmi', 'honourific': None, 'given': 'R. Arief'}, 'id': 'arief.helmi@unpad.ac.id'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Hassan', 'given': 'Meydia'}, 'id': 'meydia.hasan@unpad.ac.id'}, {'name': {'lineage': None, 'family': 'Oesman', 'honourific': None, 'given': 'Yevis Marty'}, 'id': 'yevis.marty@unpad.ac.id'}]","Proceedings of the First International Conference of Economics, Business & Entrepreneurship",disk0/00/03/00/48,2021-04-12 00:00:00.000000000,174,2021-05-07 03:45:24,2021-05-07 03:45:24,,"[{'docid': 134916, 'main': 'ICEBE-eai.1-10-2020.2304738.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/356275', 'objectid': 134916, 'mtime': '2021-05-07 02:09:26', 'hash_type': 'MD5', 'filename': 'ICEBE-eai.1-10-2020.2304738.pdf', 'hash': '250beaaed7f8fe4a5f3db911df3abc11', 'fileid': 356275, 'mime_type': 'application/pdf', 'filesize': 509635, 'datasetid': 'document'}], 'pos': 2, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/134916', 'rev_number': 3, 'formatdesc': 'http://dx.doi.org/10.4108/eai.1-10-2020.2304738', 'eprintid': 30048, 'placement': 2, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'content': 'published'}]",pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/30048,public,"['Universitas Lampung', 'Universitas Padjadjaran', 'Universitas Padjadjaran', 'Universitas Padjadjaran']",EAI,,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'yuniarti.fihartini@feb.unila.ac.id', 'name': {'given': 'Yuniarti', 'family': 'Fihartini', 'honourific': None, 'lineage': None}}, {'id': 'arief.helmi@unpad.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'honourific': None, 'family': 'Helmi', 'lineage': None, 'given': 'R. Arief'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Hassan', 'given': 'Meydia'}, 'id': 'meydia.hasan@unpad.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'id': 'yevis.marty@unpad.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Yevis Marty', 'lineage': None, 'family': 'Oesman', 'honourific': None}}]",,[{'url': 'https://eudl.eu/doi/10.4108/eai.1-10-2020.2304738'}],,,,,,http://dx.doi.org/10.4108/eai.1-10-2020.2304738,,,,,,,,,
5,33125,published,archive,2021-07-10 13:11:38,"The risk of virus contracting during the COVID-19 pandemic has changed consumer preference for online shopping to meet their daily needs than shopping in brick-and-mortar stores. Online shopping presents a different environment, atmosphere, and experience. The possibility of ethical violations is higher during online than face-to-face transactions. Therefore, this study was conducted to investigate the influence of perceived health risk and customer perception of online retail ethics on consumer online shopping behavior during the COVID-19 pandemic, involving seven variables, namely perceived health risk, security, privacy, non-deception, reliability fulfillment, service recovery, and online shopping behavior. The data were collected through an online survey by employing the purposive sampling technique to a consumer who has shopped online during the COVID-19 pandemic in Indonesia. 315 valid responses were obtained and analyzed through quantitative method using SEM-Amos. The results showed that perceived health risk and four variables of online retail ethics including security, privacy, reliability fulfillment, and service recovery affected online shopping behavior. Meanwhile, non-deception was found to have an insignificant effect. The coefficient value proved perceived health risk to be more dominant in influencing online shopping behavior than the variables of online retail ethics. Thus, consumers pay more concern for their health during online shopping. However, positive consumer perceptions of the behavior of online retail websites in providing services also can encourage consumers to shop online during this pandemic.",['H1'],https://www.businessperspectives.org/index.php/journals/innovative-marketing/issue-388/perceived-health-risk-online-retail-ethics-and-consumer-behavior-within-online-shopping-during-the-covid-19-pandemic#,"Perceived health risk, online retail ethics, and consumer behavior within online shopping during the COVID-19 pandemic",show,17,13,article,['FEB6'],"1814-2427 (print), 1816-6326 (online)","[{'id': 'yuniarti.fihartini@feb.unila.ac.id', 'name': {'honourific': None, 'family': 'Fihartini', 'lineage': None, 'given': 'Yuniarti'}}, {'name': {'given': 'R. Arief', 'lineage': None, 'honourific': None, 'family': 'Helmi'}, 'id': 'arief.helmi@unpad.ac.id'}, {'name': {'given': 'Meydia', 'family': 'Hassan', 'honourific': None, 'lineage': None}, 'id': 'meydia.hasan@unpad.ac.id'}, {'id': 'yevis.marty@unpad.ac.id', 'name': {'honourific': None, 'family': 'Oesman', 'lineage': None, 'given': 'Yevis Marty'}}]",Innovative Marketing,disk0/00/03/31/25,2021-07-09 00:00:00.000000000,174,2021-07-10 13:11:38,2021-07-10 13:11:38,17-29,"[{'pos': 1, 'format': 'text', 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/151197', 'main': 'IM_2021_03_Fihartini_2.pdf', 'docid': 151197, 'files': [{'mtime': '2021-07-09 13:33:39', 'hash_type': 'MD5', 'filename': 'IM_2021_03_Fihartini_2.pdf', 'hash': '665959b0a708c52aaa3242698513328c', 'fileid': 392389, 'mime_type': 'application/pdf', 'filesize': 641018, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/392389', 'objectid': 151197}], 'language': 'en', 'mime_type': 'application/pdf', 'content': 'published', 'eprintid': 33125, 'placement': 1, 'security': 'public', 'license': 'cc_by_4'}]",pub,FALSE,http://repository.lppm.unila.ac.id/id/eprint/33125,public,"['Universitas Lampung', 'Universitas Padjadjaran', 'Universitas Padjadjaran', 'Universitas Padjadjaran']",Business Perspectives,3.0,,,"[{'type': 'pub', 'url': 'https://www.businessperspectives.org/index.php/journals/innovative-marketing?category_id=30'}]",,,,,,doi:10.21511/im.17(3).2021.02,,,,,,,,,
6,30249,published,archive,2021-05-20 07:33:10,"This study aims to determine the influence of investment decision, financing decision, dividend policy on firm value. Using purposive sampling method, 22 firms in the food and beverage industry listed in Indonesia Stock Exchange for the period 2016- 2018 wereselectedassamples.Datawereanalyzedusingmultiplelinearregression.Itis concluded that Investment Decision (PER) has a positive and significant effect on firm value, supports the Signaling Theory which explains the relationship between investment decision and firm value. Financing Decision (DER) has no effect on firm value, according to Trade Off Theory which explains that at a certain level of debt, tax savings (tax shields) from additional debt will be equal to the cost of financial distress. Dividend Policy (DPR) has a positive and significant effect on firm value, supported by the Signaling Theory which states that good quality firms will deliberately give signals to the market. The results of the suitability test model show that simultaneously investment decision (PER), financing decision (DER) and dividend policy (DPR) influence firm value.",['HG'],http://jurnal.feb.unila.ac.id/index.php/jbm/article/view/189,"THE EFFECT OF INVESTMENT DECISION, FINANCING DECISION, DIVIDEND POLICY ON FIRM VALUE (STUDY ON FOOD AND BEVERAGE INDUSTRY LISTED ON THE INDONESIA STOCK EXCHANGE, 2016-2018)",show,17,6,article,['FEB6'],1411,"[{'id': None, 'name': {'family': 'Ginanjar', 'honourific': None, 'lineage': None, 'given': 'Agung'}}, {'name': {'lineage': None, 'family': 'Hasnawati', 'honourific': None, 'given': 'Sri'}, 'id': 'sri.hasnawati@feb.unila.ac.id'}, {'id': None, 'name': {'given': 'Huzaimah', 'honourific': None, 'family': 'Fiska', 'lineage': None}}]",Jurnal Bisnis dan Manajemen,disk0/00/03/02/49,1970-01-01 00:00:00.000002021,1031,2021-05-20 07:33:10,2021-05-20 07:33:10,1-12,"[{'main': 'The effect of Investment Dec, Fin Dec, Dividend Policy  on  FIRM VALUE.pdf', 'docid': 135969, 'files': [{'filesize': 354939, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2021-05-20 02:41:31', 'hash': 'd084c6af4450995a9d9b95733554b25e', 'filename': 'The effect of Investment Dec, Fin Dec, Dividend Policy  on  FIRM VALUE.pdf', 'fileid': 358638, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/358638', 'objectid': 135969}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/135969', 'rev_number': 1, 'eprintid': 30249, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/30249,public,['University Of Lampung'],FEB UNILA,1.0,"[{'name': {'given': 'Agung', 'lineage': None, 'honourific': None, 'family': 'Ginanjar'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Hasnawati', 'given': 'Sri'}}, {'name': {'honourific': None, 'family': 'Fiska', 'lineage': None, 'given': 'Huzaimah'}}]",,[{'url': 'http://jurnal.feb.unila.ac.id/index.php/jbm/article/view/189'}],,,,,,,,,,,,,,,
7,32076,published,archive,2021-06-05 11:41:00,"Riset ini bertujuan menguji perbedaan kinerja pada 11 bank syariah di Indonesia dengan 16 bank syariah di Malaysia berbasis pendekatan MSI (Maqashid Syariah Index). Riset ini ialah riset komparatif yang memakai uji beda independent sample t- test untuk mengidentifikasi perbandingan kinerja bank syariah di Indonesia dengan di Malaysia berbasis pendekatan maqashid indeks. Variabel independen pada riset ini merupakan 3 tujuan syariah dari maqashid indeks ialah pembelajaran orang, menghasilkan keadilan, serta kepentingan universal. Hasil riset disimpulkan bahwa kinerja bank syariah di Indonesia berbeda dengan kinerja bank syariah Malaysia berbasis pendekatan maqashid indeks.",['HG'],http://jurnal.feb.unila.ac.id/index.php/jbm/article/view/221/114,PERBANDINGAN MAQASHID INDEX BANK UMUM SYARIAH DI INDONESIA DAN MALAYSIA,show,17,7,article,['FEB6'],1411 – 9366,"[{'id': 'hardmansatria95@gmail.com', 'name': {'given': 'Satria', 'lineage': None, 'honourific': None, 'family': 'Hardman'}}, {'id': 'ernie.hendrawaty@feb.unila.ac.id', 'name': {'given': 'Hendrawaty', 'honourific': None, 'family': 'Ernie', 'lineage': None}}, {'id': 'muslimin.1975@feb.unila.ac.id', 'name': {'family': 'Muslimin', 'honourific': None, 'lineage': None, 'given': 'Muslimin'}}]",Jurnal Bisnis dan Manajemen,disk0/00/03/20/76,2021-01-01 00:00:00.000000000,111,2021-06-05 11:41:00,2021-06-05 11:41:00,27-34,"[{'security': 'public', 'placement': 1, 'eprintid': 32076, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'filesize': 293531, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2021-06-04 14:29:34', 'hash': '2e45e89bd12dada31742f37a410beae2', 'filename': '219-Article Text-886-1-10-20210604.pdf', 'fileid': 379625, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/379625', 'objectid': 145369}], 'main': '219-Article Text-886-1-10-20210604.pdf', 'docid': 145369, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/145369', 'format': 'text', 'pos': 1}]",pub,FALSE,http://repository.lppm.unila.ac.id/id/eprint/32076,public,,Jurusan Manajemen Fakultas Ekonomi dan Bisnis Universitas Lampung,2.0,"[{'name': {'given': 'Satria', 'lineage': None, 'honourific': None, 'family': 'Hardman'}, 'id': 'hardmansatria95@gmail.com', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'name': {'given': 'Hendrawaty', 'lineage': None, 'family': 'Ernie', 'honourific': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'ernie.hendrawaty@feb.unila.ac.id'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'muslimin.1975@feb.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Muslimin', 'given': 'Muslimin'}}]",hardmansatria95@gmail.com,,,,,,,,,,,,,,,,
8,36579,submitted,archive,2021-11-13 02:17:59,"This paper aims to examine the relationship between intellectual capital to firm value in the Indonesia banking subsector listed on the Indonesian Stock Exchange 2018- 2020 related to resource-based theory and stakeholder theory. According to the resource- based theory, a company that has an extraordinary resource and is having a great empowering resource capability will achieve more competitive advantage than those that did not empower. In accordance to stakeholder theory, in which stakeholder is seen as a significant actor in developing a business, stakeholder theory is defined as a concept of strategic management where the goal is to help companies to strengthen their credibility to related external groups and develop a competitive advantage. However, the intellectual capital affect contribution that could be seen as intangible competitive advantage assets depends on the type of industry and in several pieces of research have a different result of significance on affecting firm value.",['HG'],,Intellectual Capital and Firm Value: Evidence on Indonesia Banking Subsector,show,,7,article,['FEB6'],,"[{'name': {'given': 'Sri', 'lineage': None, 'honourific': None, 'family': 'Hasnawati'}, 'id': 'sri.hasnawati@feb.unila.ac.id'}]",ICEBE 4,disk0/00/03/65/79,1970-01-01 00:00:00.000002021,1031,2021-11-13 02:17:59,2021-11-13 02:17:59,,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 36579, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157492', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/421723', 'objectid': 157492, 'filesize': 312345, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2021-11-12 14:20:45', 'filename': 'ICEBE 4 Intelectual capital Evidence on indonesia  banking subsector.pdf', 'hash': '993f4c7e156ea6bb402ae8eff68c35f8', 'fileid': 421723, 'mime_type': 'application/pdf'}], 'main': 'ICEBE 4 Intelectual capital Evidence on indonesia  banking subsector.pdf', 'docid': 157492}]",submitted,TRUE,http://repository.lppm.unila.ac.id/id/eprint/36579,public,['University of Lampung'],,,"[{'name': {'given': 'Sri', 'honourific': None, 'family': 'Hasnawati', 'lineage': None}}]",,,,,,,,,,,,,,,,,
9,30019,submitted,archive,2021-05-06 06:47:27,"Lembar Review Article:

The purpose of the paper is to examine the relationship between dividend policy of the company and the life cycle theory. According to the life cycle theory, the company will pay dividend in the third stage, namely the maturity stage. In the early stage, the company has investment opportunities with high profit potential so that it requires large funds. As a result, dividend payments will be delayed. However, dividend payments remain a matter of debate today because dividend payments will be associated with company value. The theory of dividend policy states that paying dividends will increase firm value, but several research results show that dividend payments are not related to firm value.",['HG'],https://eudl.eu/pdf/10.4108/eai.1-10-2020.2304742,Lembar review Article:  Life Cycle Theory of Dividend: A Review Literature,show,,7,other,['FEB6'],,"[{'id': 'sri.hasnawati@feb.unila.ac.id', 'name': {'family': 'Hasnawati', 'honourific': None, 'lineage': None, 'given': 'Sri'}}]",,disk0/00/03/00/19,1970-01-01 00:00:00.000002021,1031,2021-05-06 06:47:27,2021-05-06 06:47:27,,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 30019, 'uri': 'http://repository.lppm.unila.ac.id/id/document/134743', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'hash': 'a27f482d33f3e1300cfa2bedba351fee', 'filename': '3. Life cycle Theory of Dividend A Review literature.pdf', 'hash_type': 'MD5', 'mtime': '2021-05-06 02:49:08', 'mime_type': 'application/pdf', 'fileid': 355853, 'filesize': 1281738, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/355853', 'objectid': 134743}], 'docid': 134743, 'main': '3. Life cycle Theory of Dividend A Review literature.pdf'}]",submitted,,http://repository.lppm.unila.ac.id/id/eprint/30019,public,['University Of Lampung'],ICEBE 3,,"[{'name': {'given': 'Sri', 'lineage': None, 'family': 'Hasnawati', 'honourific': None}}]",,[{'url': 'http://repository.lppm.unila.ac.id/id/eprint/29697'}],,,,Indonesia,,,,,,,,,,,
