,dir,date,publication,creators,issn,divisions,type,full_text_status,uri,refereed,ispublished,documents,publisher,datestamp,lastmod,userid,eprintid,rev_number,metadata_visibility,title,subjects,abstract,status_changed,eprint_status,pages,book_title,isbn,volume,pagerange,number,place_of_pub,date_type,institution,monograph_type,corp_creators,id_number,patent_applicant,funders,contact_email,official_url,related_url,projects
0,disk0/00/02/88/81,2012-11-01 00:00:00.000000000,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Justicia Sains Jurnal Ilmu Hukum</font></font>","[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">amnawaty@yahoo.com</font></font>', 'name': {'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]","<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">2527-4201</font></font>",['FH1'],article,public,http://repository.lppm.unila.ac.id/id/eprint/28881,FALSE,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 28881, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42975', 'docid': 42975, 'main': 'Hak Perdata Anak.pdf', 'files': [{'objectid': 42975, 'uri': 'http://repository.lppm.unila.ac.id/id/file/256272', 'mime_type': 'application/pdf', 'fileid': 256272, 'hash': '412955ea94c81609b9b8e067818c3084', 'filename': 'Hak Perdata Anak.pdf', 'hash_type': 'MD5', 'mtime': '2021-04-06 02:54:11', 'datasetid': 'document', 'filesize': 567113}]}]","<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">fakultas hukum universitas sang bumi rua jurai</font></font>",2021-04-06 06:35:32,2021-04-06 06:35:32,955,28881,6,show,Hak Perdata Anak Dari Perkawinan Siri pada Dua Sistem Hukum (Hukum Islam dan Hukum Indonesia),['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,2021-04-06 06:35:32,archive,,,,,,,,,,,,,,,,,,
1,disk0/00/03/30/60,1970-01-01 00:00:00.000002012,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Fiat Justicia Jurnal Ilmu Hukum Fakultas Hukum Universitas Lampung</font></font>","[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None}}]","<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">1978-5186</font></font>",['FH1'],article,public,http://repository.lppm.unila.ac.id/id/eprint/33060,FALSE,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 33060, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/150824', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/391530', 'objectid': 150824, 'filesize': 339727, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2021-07-02 08:43:02', 'hash': '1f3444c8eff6e1adc0fbc886c096a2ce', 'filename': 'Review Implementasi.pdf', 'fileid': 391530, 'mime_type': 'application/pdf'}], 'main': 'Review Implementasi.pdf', 'docid': 150824}]","<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Fakultas Hukum Universitas Lampung</font></font>",2021-07-05 01:11:59,2021-07-05 01:11:59,324,33060,6,show,Implementasi Kewenangan Kepala Daerah dalam Pembuatan Perda dan Peraturan Lainnya,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,2021-07-05 01:11:59,archive,,,,,,,,,,,,,,,,,,
2,disk0/00/02/82/73,2012-12-01 00:00:00.000000000,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Justicia Sains Jurnal Ilmu Hukum</font></font>","[{'name': {'lineage': None, 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]","<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">2527-4201</font></font>",['FH1'],article,public,http://repository.lppm.unila.ac.id/id/eprint/28273,FALSE,pub,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/42319', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'filename': '353-Article Text-1099-1-10-20151023.pdf', 'hash': '9ffe93284280e5f75d60c02bac01fcd3', 'mtime': '2021-03-08 07:41:06', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 251484, 'filesize': 323767, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/251484', 'objectid': 42319}], 'docid': 42319, 'main': '353-Article Text-1099-1-10-20151023.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 28273}]","<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">fakultas hukum universitas sang bumi rua jurai</font></font>",2021-03-08 07:44:43,2021-03-08 07:44:43,324,28273,6,show,Implementasi Kewenangan Kepala Daerah dalam Pembuatan Perda dan Peraturan Lainnya,['K1'],,2021-03-08 07:44:43,archive,,,,,,,,,,,,,,,,,,
3,disk0/00/02/83/09,2012-12-01 00:00:00.000000000,,"[{'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,['FH1'],book_section,public,http://repository.lppm.unila.ac.id/id/eprint/28309,FALSE,pub,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/42353', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/251742', 'objectid': 42353, 'filesize': 138526432, 'datasetid': 'document', 'mtime': '2021-03-09 07:33:01', 'hash_type': 'MD5', 'hash': '52dfc62bdf5a221755dfced2e9e57bc8', 'filename': 'Kebijakan Kriminal Penanggulan Kejahatan Eddy.pdf', 'fileid': 251742, 'mime_type': 'application/pdf'}], 'docid': 42353, 'main': 'Kebijakan Kriminal Penanggulan Kejahatan Eddy.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 28309}]",Labkum FH Unila,2021-03-10 02:13:05,2021-03-10 02:13:05,836,28309,7,show,Kebijakan Kriminal Penanggulangan Kejahatan,['K1'],,2021-03-10 02:13:05,archive,140.0,Referensi,9786021725702,,,,,,,,,,,,,,,
4,disk0/00/02/88/80,2012-11-01 00:00:00.000000000,Hukum Istinbath Sekolah Tinggi Agama Islam Negeri (STAIN) Jurai Siwo Metro Lampung,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">amnawaty@yahoo.com</font></font>'}]",,['FH1'],article,public,http://repository.lppm.unila.ac.id/id/eprint/28880,FALSE,pub,"[{'files': [{'hash_type': 'MD5', 'mtime': '2021-04-06 02:48:56', 'filename': 'Sanksi pada Pencurian.pdf', 'hash': 'a776fc78c4fb592c0c02d48329d639d3', 'fileid': 256266, 'mime_type': 'application/pdf', 'filesize': 576503, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/256266', 'objectid': 42974}], 'docid': 42974, 'main': 'Sanksi pada Pencurian.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42974', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 28880, 'mime_type': 'application/pdf', 'language': 'en'}]",Pusat Penelitian dan Pengabdian Masyarakat (P3M) STAIN Jurai Siwo Metro,2021-04-06 06:35:30,2021-04-06 06:35:30,955,28880,6,show,Sanksi Pada Pencurian Perspektif Empat Imam Madzhab,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,2021-04-06 06:35:30,archive,,,,,,,,,,,,,,,,,,
5,disk0/00/01/73/13,2012-05-01 00:00:00.000000000,Adzkiya Ilmu Hukum dan Ekonomi Syariah,"[{'name': {'given': 'S.H., M.H', 'family': 'Amnawaty', 'honourific': None, 'lineage': None}, 'id': 'amnawaty@yahoo.com'}]",2355-4215,['FH1'],article,public,http://repository.lppm.unila.ac.id/id/eprint/17313,FALSE,pub,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30423', 'rev_number': 1, 'main': 'Review Amnawati Aspek Hukum Penyelesaian Pembiayaan Al-Murabaha.pdf', 'docid': 30423, 'files': [{'mime_type': 'application/pdf', 'fileid': 146556, 'hash': '317e5dc308975418ac7f0c7e955c46ce', 'filename': 'Review Amnawati Aspek Hukum Penyelesaian Pembiayaan Al-Murabaha.pdf', 'mtime': '2019-12-13 07:19:44', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 533423, 'objectid': 30423, 'uri': 'http://repository.lppm.unila.ac.id/id/file/146556'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 17313, 'placement': 1, 'security': 'public'}]",Pusat Pennelitian dan Pengabdian pada Masyarakat (P3M) STAIN Jurai Siwo Metro Lampung,2019-12-16 02:56:14,2019-12-16 02:56:14,955,17313,6,show,Aspek Hukum Penyelesaian Pembiayaan Al-Murabahah (Jual Beli) Bermasalah (Studi pada PT. Bank Syariah Mandiri Cabang Bandar Lampung),['K1'],Penilaian Sejawat Sebidang atau Peer Review,2019-12-16 02:56:14,archive,,,,2,89-112,1.0,,,,,,,,,,,,
6,disk0/00/01/73/12,2012-11-01 00:00:00.000000000,Jurnal Hukum Istinbath Sekolah Tinggi Agama Islam Negeri (STAIN),"[{'name': {'lineage': None, 'honourific': None, 'family': 'Amnawaty', 'given': 'S.H., M.H'}, 'id': 'amnawaty@yahoo.com'}]",1829-8117,['FH1'],article,public,http://repository.lppm.unila.ac.id/id/eprint/17312,FALSE,pub,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30422', 'docid': 30422, 'main': 'Review Amnawati Sanksi pada Pencurian Perspektif Empat.pdf', 'files': [{'filename': 'Review Amnawati Sanksi pada Pencurian Perspektif Empat.pdf', 'hash': 'afb3ae6ffd30728760e75dff5868a132', 'mtime': '2019-12-13 07:10:28', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 146550, 'filesize': 537194, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/146550', 'objectid': 30422}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 17312, 'security': 'public', 'placement': 1}]",Pusat Pennelitian dan Pengabdian pada Masyarakat (P3M) STAIN Jurai Siwo Metro Lampung,2019-12-16 02:56:06,2019-12-16 02:56:06,955,17312,6,show,Sanksi pada Pencurian Perspektif Empat Imam Madzhab,['K1'],Penilaian Sejawat Sebidang atau Peer Review,2019-12-16 02:56:06,archive,,,,9,227-250,2.0,,,,,,,,,,,,
7,disk0/00/01/73/03,2012-12-01 00:00:00.000000000,,"[{'id': 'rudy.1981@fh.unila.ac.id', 'name': {'given': 'Rudy', 'lineage': None, 'honourific': None, 'family': 'Rudy'}}]",,['FH1'],book,public,http://repository.lppm.unila.ac.id/id/eprint/17303,TRUE,pub,"[{'files': [{'objectid': 30411, 'uri': 'http://repository.lppm.unila.ac.id/id/file/146475', 'datasetid': 'document', 'filesize': 2228543, 'fileid': 146475, 'mime_type': 'application/pdf', 'mtime': '2019-12-13 01:12:08', 'hash_type': 'MD5', 'filename': '(2012) Hukum Pemerintahan Daerah Perspektif Konstitusionalisme Indonesia.pdf', 'hash': 'cfebbcc686e396fd08b2936ff4d89836'}], 'docid': 30411, 'main': '(2012) Hukum Pemerintahan Daerah Perspektif Konstitusionalisme Indonesia.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30411', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 17303, 'language': 'en', 'mime_type': 'application/pdf'}]",Indepth Publishing,2020-01-14 02:48:52,2020-01-14 02:48:52,347,17303,7,show,Hukum Pemerintahan Daerah perspektif Konstitusionilsme Indonesia,['K1'],"Indonesia mempunyai populasi melebihi 200 juta jiwa dan terdiri 
dari ribuan pulau, baik besar dan kecil, serta tidak kurang dari 6 ribu etnis.
Negara ini mempunyai masyarakat yang heterogen. Tiap etnis tinggal di
tempat-tempat tertentu di seluruh nusantara dan mempunyai karakteristik
tersendiri, seperti bahasa, tradisi, kebiasaan, budaya, bahkan hukum. Selain
itu, provinsi di Indonesia juga mempunyai kelompok-kelompok etnis.
Misalnya, Provinsi Sulawesi Selatan. Di sana terdapat berbagai kelompok
etnis, seperti Bugis, Makasar, Toraja, dan lain-lain. Contoh lainnya, Provinsi
Lampung yang dianggap sebagai miniatur nusantara karena banyak kelompok
etnis di dalamnya. Masyarakat pun sangat paham mengenai perbedaan antara
mereka.
Alasan untuk desentralisasi daerah di Indonesia dapat ditelusuri jauh 
ke belakang dalam sejarah. Ada alasan-alasan politik yang serius untuk
melaksanakan desentralisasi melibatkan devolusi kekuasaan, untuk merancang
dan melaksanakan kebijakan mengenai hal-hal yang menyangkut kepentingan
mereka sendiri kepada pemerintah daerah. Alasan utama adalah kebutuhan
untuk menemukan solusi terhadap masalah lama, Indonesia tidak, dan tidak
akan pernah menjadi sebuah negara yang homogen. Ada perbedaan budaya,
bahasa, dan sejarah yang penting di seluruh daerah.
Sejarah negara-negara kuno di nusantara dapat diketahui dari berbagai 
catatan dalam bentuk prasasti dan monumen, seperti yang banyak ditemukan
di Jawa Tengah. Karya sejarawan telah memunculkan nama kerajaan Sri Vijaya,
yang berpusat di Palembang yang tumbuh dan memperoleh kejayaan, akhir 
abad VIII Masehi. Negara-negara kuno juga muncul di Jawa, yang terbesar 
adalah Kerajaan Majapahit. Kerajaan itu berkembang pada abad kelima belas.",2020-01-14 02:48:52,archive,154.0,,978-602-17314-1-3,,,,"Jl. Ahmad Yani, Gg. Pioneer, No. 41, Gotong Royong, Tanjungkarang Pusat, Bandar Lampung",published,,,,,,,,,,
8,disk0/00/01/85/35,2012-11-01 00:00:00.000000000,,"[{'name': {'lineage': None, 'family': 'Rudy', 'honourific': None, 'given': 'Rudy'}, 'id': 'rudy.1981@fh.unila.ac.id'}]",,['FH1'],book_section,public,http://repository.lppm.unila.ac.id/id/eprint/18535,FALSE,pub,"[{'security': 'public', 'placement': 1, 'eprintid': 18535, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'datasetid': 'document', 'filesize': 1311046, 'mime_type': 'application/pdf', 'fileid': 155740, 'filename': 'RUDY WAJAH HUKUM DALAM REALITAS.pdf', 'hash': '42c4400e2da6a32297ad2d1397c04ccf', 'mtime': '2020-03-10 06:52:30', 'hash_type': 'MD5', 'objectid': 31691, 'uri': 'http://repository.lppm.unila.ac.id/id/file/155740'}], 'docid': 31691, 'main': 'RUDY WAJAH HUKUM DALAM REALITAS.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/31691', 'rev_number': 1, 'format': 'text', 'pos': 1}]",Fakultas Hukum Universitas Lampung,2020-03-12 03:54:15,2020-03-12 03:54:15,347,18535,7,show,Wajah Hukum dalam Realitas (Butir-Butir Pemikiran Ronald Dworkin dalam Konstitusionalisme dan Pengaruhnya terhadap Konstitusionalisme Indonesia),['K1'],,2020-03-12 03:54:15,archive,,Wajah Hukum Dalam Realitas,978-602-7509-30-6,,443-454,,,,,,,,,,,,,
9,disk0/00/01/86/05,2012-11-01 00:00:00.000000000,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Rudy', 'given': 'Rudy'}, 'id': 'rudy.1981@fh.unila.ac.id'}]",,['FH1'],book_section,public,http://repository.lppm.unila.ac.id/id/eprint/18605,FALSE,pub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31768', 'pos': 1, 'format': 'text', 'files': [{'objectid': 31768, 'uri': 'http://repository.lppm.unila.ac.id/id/file/156233', 'fileid': 156233, 'mime_type': 'application/pdf', 'mtime': '2020-03-11 08:42:44', 'hash_type': 'MD5', 'filename': 'Review Rudy wajah hukum.pdf', 'hash': '24727bb6e0e138d664e23d9c68d20331', 'datasetid': 'document', 'filesize': 111733}], 'docid': 31768, 'main': 'Review Rudy wajah hukum.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 18605}]",Universitas Lampung,2020-03-12 03:54:17,2020-03-12 03:54:17,347,18605,7,show,Wajah Hukum dalam Realitas (Butir-Butir Pemikiran Ronald Dworkin dalam Konstitusionalisme dan Pengaruhnya terhadap Konstitusionalisme Indonesia),['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,2020-03-12 03:54:17,archive,,Wajah Hukum Rekonstruksi,,,,,,,,,,,,,,,,
10,disk0/00/01/74/54,2012-12-01 00:00:00.000000000,,"[{'name': {'lineage': None, 'family': 'Rudy', 'honourific': None, 'given': 'Rudy'}, 'id': 'rudy.1981@fh.unila.ac.id'}]",,['FH1'],monograph,public,http://repository.lppm.unila.ac.id/id/eprint/17454,,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 17454, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30582', 'docid': 30582, 'main': 'Pembangunan Hukum di Daerah - Rudy.pdf', 'files': [{'objectid': 30582, 'uri': 'http://repository.lppm.unila.ac.id/id/file/147660', 'datasetid': 'document', 'filesize': 1997764, 'mime_type': 'application/pdf', 'fileid': 147660, 'hash': '805c1d6b1b1a84bf0eb809210ccaf51b', 'filename': 'Pembangunan Hukum di Daerah - Rudy.pdf', 'hash_type': 'MD5', 'mtime': '2020-01-03 01:53:00'}]}]",Universitas Lampung Bandar Lampung,2020-01-14 01:26:48,2020-01-14 01:26:48,347,17454,7,show,Wajah Hukum dalam Realitas (Butir-Butir Pemikiran Ronald Dworkin dalam Konstitusionalisme dan Pengaruhnya terhadap Konstitusionalisme Indonesia),['K1'],,2020-01-14 01:26:48,archive,12.0,,,,,,Bandar Lampung,,Universitas Lampung,manual,,,,,,,,
11,disk0/00/01/71/79,1970-01-01 00:00:00.000002012,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Wahyu Sasongko', 'given': 'Wahyu'}}]",,['FH1'],book,public,http://repository.lppm.unila.ac.id/id/eprint/17179,FALSE,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 17179, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30277', 'rev_number': 1, 'main': 'Review Wahyu Mengenal Tata Hukum Indonesia.pdf', 'docid': 30277, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/145689', 'objectid': 30277, 'filename': 'Review Wahyu Mengenal Tata Hukum Indonesia.pdf', 'hash': '05730ce9901338387c84a7769f9ce0de', 'mtime': '2019-11-27 07:29:58', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 145689, 'filesize': 658289, 'datasetid': 'document'}]}]",universitas Lampung,2019-11-29 04:48:29,2019-11-29 04:48:29,987,17179,7,show,Mengenal Tata Hukum Indonesia,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,2019-11-29 04:48:29,archive,,,,,,,Buku Referensi,,,,,,,,,,,
