,datestamp,lastmod,userid,refereed,uri,full_text_status,documents,publisher,ispublished,divisions,type,dir,date,creators,publication,abstract,subjects,status_changed,eprint_status,metadata_visibility,rev_number,title,eprintid,issn,pagerange,book_title,number,pages,pres_type,event_title,event_type,patent_applicant,id_number,date_type,monograph_type,succeeds,official_url,place_of_pub,copyright_holders,isbn,editors,funders,volume,related_url,corp_creators,projects,contact_email,keywords,institution,note
0,2021-04-05 04:48:46,2021-04-05 04:48:46,955,FALSE,http://repository.lppm.unila.ac.id/id/eprint/28819,public,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42912', 'rev_number': 1, 'main': 'Does the Juvenile Justice System.pdf', 'docid': 42912, 'files': [{'hash_type': 'MD5', 'mtime': '2021-04-01 02:18:12', 'hash': 'c51c8f50d001baa4df576e93f55f5485', 'filename': 'Does the Juvenile Justice System.pdf', 'fileid': 255752, 'mime_type': 'application/pdf', 'filesize': 6569698, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/255752', 'objectid': 42912}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 28819, 'placement': 1, 'security': 'public'}]",Primrose Hall Publishing Group,pub,['FH1'],article,disk0/00/02/88/19,2019-10-01 00:00:00.000000000,"[{'name': {'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">amnawaty@yahoo.com</font></font>'}]","International Journal of Innovation, Creativity and Change",Hasil Check Similarity,['K1'],2021-04-05 04:48:46,archive,show,6,Does the Juvenile Justice System protect Youth Supply chain? Progressive Juvenile Court Judges: Reform of the Juvenile Criminal Justice System in Indonesia through a Socio-Legal Approach supported by PLS-Structural Equation Modeling,28819,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2021-04-06 06:35:20,2021-04-06 06:35:20,955,FALSE,http://repository.lppm.unila.ac.id/id/eprint/28876,public,"[{'files': [{'filesize': 633940, 'datasetid': 'document', 'hash': '5b5d139e87db7fb226820ac60dc0643d', 'filename': 'Does the Juvenile.pdf', 'mtime': '2021-04-06 02:41:12', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 256243, 'uri': 'http://repository.lppm.unila.ac.id/id/file/256243', 'objectid': 42969}], 'docid': 42969, 'main': 'Does the Juvenile.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42969', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 28876, 'mime_type': 'application/pdf', 'language': 'en'}]",Primrose Hall Publishing Group.,pub,['FH1'],article,disk0/00/02/88/76,2019-10-01 00:00:00.000000000,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">amnawaty@yahoo.com</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None}}]","International Journal of Innovation, Creativity and Change",Hasil Penilaian Sejawat Sebidang atau Peer Review,['K1'],2021-04-06 06:35:20,archive,show,6,Does the Juvenile Justice System protect Youth Supply chain? Progressive Juvenile Court Judges: Reform of the Juvenile Criminal Justice System in Indonesia through a Socio-Legal Approach supported by PLS-Structural Equation Modeling,28876,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021-04-20 08:34:54,2021-04-20 08:34:54,955,FALSE,http://repository.lppm.unila.ac.id/id/eprint/29523,public,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/43670', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'mtime': '2021-04-20 04:08:23', 'hash_type': 'MD5', 'filename': 'Reviewer Does.pdf', 'hash': '13327e5a95f62d400f97b9a74e05f6d8', 'fileid': 261459, 'mime_type': 'application/pdf', 'filesize': 549153, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/261459', 'objectid': 43670}], 'docid': 43670, 'main': 'Reviewer Does.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 29523}]","<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Grup Penerbitan Primrose Hall</font></font>",pub,['FH1'],article,disk0/00/02/95/23,2019-10-01 00:00:00.000000000,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">amnawaty@yahoo.com</font></font>'}]","<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Jurnal Internasional Inovasi, Kreativitas dan Perubahan</font></font>",Hasil Penilaian Sejawat Sebidang atau Peer Reviewe,['K1'],2021-04-20 08:34:54,archive,show,6,Does the Juvenile Justice System protect Youth Supply chain? Progressive Juvenile Court Judges: Reform of the Juvenile Criminal Justice System in Indonesia through a Socio-Legal Approach supported by PLS-Structural Equation Modeling,29523,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">2201-1315</font></font>",,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021-04-16 03:46:38,2021-04-16 03:46:38,276,FALSE,http://repository.lppm.unila.ac.id/id/eprint/29368,public,"[{'files': [{'filename': 'Eksploitasi Teknologi.pdf', 'hash': '2149fa7f9ea0f9c530c7ae7bbe8fa020', 'hash_type': 'MD5', 'mtime': '2021-04-16 01:56:48', 'mime_type': 'application/pdf', 'fileid': 260236, 'filesize': 29818085, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/260236', 'objectid': 43500}], 'docid': 43500, 'main': 'Eksploitasi Teknologi.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/43500', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 29368, 'mime_type': 'application/pdf', 'language': 'en'}]",AURA CV. Anugrah Utama Raharja Anggota IKAPI,pub,['FH1'],book_section,disk0/00/02/93/68,2019-10-01 00:00:00.000000000,"[{'name': {'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,,['K1'],2021-04-16 03:46:38,archive,show,7,"Eksploitasi Teknologi, Cyber Protection dan Generasi Alpha",29368,,1-107,"Eksploitasi Teknologi, Cyber Protection dan Generasi Alpha",,,,,,,,,,,,,,,,,,,,,,,,
4,2021-04-17 05:21:50,2021-04-17 05:21:50,276,FALSE,http://repository.lppm.unila.ac.id/id/eprint/29427,public,"[{'placement': 1, 'security': 'public', 'eprintid': 29427, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 43559, 'uri': 'http://repository.lppm.unila.ac.id/id/file/260669', 'fileid': 260669, 'mime_type': 'application/pdf', 'mtime': '2021-04-16 07:51:49', 'hash_type': 'MD5', 'filename': 'Reviewer Eksploitasi.pdf', 'hash': '774dc736fd5d9234f454cdb7e56551e3', 'datasetid': 'document', 'filesize': 565960}], 'docid': 43559, 'main': 'Reviewer Eksploitasi.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43559', 'pos': 1, 'format': 'text'}]",CV. ANUGRAH UTAMA RAHARJA ANGGOTA IKAPI,pub,['FH1'],book_section,disk0/00/02/94/27,2019-10-01 00:00:00.000000000,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None}}]",,Hasil Penilaian Sejawat Sebidanga atau Peer Review,['K1'],2021-04-17 05:21:50,archive,show,7,"Eksploitasi Teknologi, Cyber Protection dan Generasi Alpha",29427,,,"Eksploitasi Teknologi, Cyber Protection dan Generasi Alpha",107.0,,,,,,,,,,,,,,,,,,,,,,,
5,2022-02-15 02:24:18,2022-02-15 02:24:18,276,FALSE,http://repository.lppm.unila.ac.id/id/eprint/39236,public,"[{'eprintid': 39236, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'docid': 160523, 'main': 'Reviewer Eksploitasi.pdf', 'files': [{'objectid': 160523, 'uri': 'http://repository.lppm.unila.ac.id/id/file/441928', 'mime_type': 'application/pdf', 'fileid': 441928, 'filename': 'Reviewer Eksploitasi.pdf', 'hash': 'c346d4b6af696cfe199aaa1ee4434b47', 'mtime': '2022-02-15 01:31:17', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 388523}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160523'}]",AURA CV. Anugrah Utama Raharja Anggota IKAPI,pub,['FH1'],book_section,disk0/00/03/92/36,2019-10-01 00:00:00.000000000,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}}]",,Hasil Penilaian Sejawat Sebidang atau Peer Reviewe,['K1'],2022-02-15 02:24:18,archive,show,7,"Eksploitasi Teknologi, Cyber Protection dan Generasi Alpha",39236,,,"Eksploitasi Teknologi, Cyber Protection dan Generasi Alpha",,,,,,,,,,,,,,,,,,,,,,,,
6,2021-06-08 08:21:33,2021-06-08 08:21:33,807,FALSE,http://repository.lppm.unila.ac.id/id/eprint/32308,public,"[{'files': [{'objectid': 146524, 'uri': 'http://repository.lppm.unila.ac.id/id/file/382350', 'mime_type': 'application/pdf', 'fileid': 382350, 'filename': 'reviewer the existence.pdf', 'hash': 'fb64a0f3f5621180c792c5477eef5a94', 'mtime': '2021-06-08 07:48:56', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 403507}], 'main': 'reviewer the existence.pdf', 'docid': 146524, 'uri': 'http://repository.lppm.unila.ac.id/id/document/146524', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 32308, 'language': 'en', 'mime_type': 'application/pdf'}]",,pub,['FH1'],article,disk0/00/03/23/08,1970-01-01 00:00:00.000002019,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">maroniunila@gmail.com</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None}}]",The Existence of Regulatory Sandbox to Encourage the Growth of Financial Technology in Indonesia,Hasil Penilaian Sejawat Sebidang atau Peer Review,['K1'],2021-06-08 08:21:33,archive,show,6,"The Existence of Regulatory Sandbox to Encourage the
Growth of Financial Technology in Indonesia",32308,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2021-12-30 10:08:16,2021-12-30 10:08:16,807,FALSE,http://repository.lppm.unila.ac.id/id/eprint/37513,public,"[{'files': [{'hash_type': 'MD5', 'mtime': '2021-12-30 07:18:41', 'hash': '8ab6a3e8e089e96f6a1c87b4bc6f91ec', 'filename': 'The_Existence_of.pdf', 'fileid': 428613, 'mime_type': 'application/pdf', 'filesize': 3520121, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/428613', 'objectid': 158452}], 'main': 'The_Existence_of.pdf', 'docid': 158452, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158452', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 37513, 'language': 'en', 'mime_type': 'application/pdf'}]","<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Fakultas Hukum Universitas Lampung</font></font>",pub,['FH1'],article,disk0/00/03/75/13,1970-01-01 00:00:00.000002019,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">maroniunila@gmail.com</font></font>'}]","<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Fiat Justicia Jurnal Ilmu Hukum Fakultas Hukum Universitas Lampung</font></font>",Hasil Chcek Similarity,['K1'],2021-12-30 10:08:16,archive,show,6,"The Existence of Regulatory Sandbox to Encourage the
Growth of Financial Technology in Indonesia",37513,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">1978-5186</font></font>",,,,,,,,,,,,,,,,,,,,,,,,,,
8,2022-02-11 01:06:06,2022-02-11 01:06:06,807,FALSE,http://repository.lppm.unila.ac.id/id/eprint/39112,public,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/440966', 'objectid': 160404, 'filename': 'Reviewer The Existence.pdf', 'hash': '887c5779587477f2dcba909c25409f05', 'mtime': '2022-02-10 02:06:28', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 440966, 'filesize': 418278, 'datasetid': 'document'}], 'docid': 160404, 'main': 'Reviewer The Existence.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/160404', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 39112, 'language': 'en', 'mime_type': 'application/pdf'}]",Fakultas Hukum Unila,pub,['FH1'],article,disk0/00/03/91/12,1970-01-01 00:00:00.000002019,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">maroniunila@gmail.com</font></font>', 'name': {'lineage': None, 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",Juranl Fiat Justisia,Hasil Penilaian Sejawat Sebidang atau Peer Reviewe,['K1'],2022-02-11 01:06:06,archive,show,6,The Existence of Regulatory Sandbox to Encourage the Growth of Financial Technology in Indonesia,39112,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2021-04-15 10:25:48,2021-04-15 10:25:48,786,FALSE,http://repository.lppm.unila.ac.id/id/eprint/29357,public,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 29357, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43489', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/260128', 'objectid': 43489, 'hash_type': 'MD5', 'mtime': '2021-04-15 06:14:01', 'filename': 'BAHAN BUKU HUKUM ISLAM.pdf', 'hash': '1b021cda8a3a6a97eb53f6d4290ce7a5', 'fileid': 260128, 'mime_type': 'application/pdf', 'filesize': 1598931, 'datasetid': 'document'}], 'docid': 43489, 'main': 'BAHAN BUKU HUKUM ISLAM.pdf'}]",Graha Ilmu,pub,['FH1'],book_section,disk0/00/02/93/57,1970-01-01 00:00:00.000002019,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">nunungradliyah@yahoo.com</font></font>'}]",,,['K1'],2021-04-15 10:25:48,archive,show,7,Hukum Islam (dilengkapi dengan Kompilasi HukumIslam),29357,,,Hukum Islam (dilengkapi dengan Kompilasi HukumIslam),,257.0,,,,,,,,,,,,,,,,,,,,,,
