,title,rev_number,metadata_visibility,status_changed,eprint_status,subjects,eprintid,ispublished,publisher,documents,uri,full_text_status,refereed,lastmod,userid,pagerange,datestamp,publication,creators,issn,dir,date,type,divisions,abstract,book_title,pages,event_title,event_type,pres_type,id_number,patent_applicant,date_type
0,Analysis Of Effective Criminal Sanctions Corporations As Criminal Actors Of Corruption,6,show,2021-03-18 07:11:07,archive,['K1'],28468,pub,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">klibel</font></font>","[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42516', 'docid': 42516, 'main': 'Analysis.pdf', 'files': [{'datasetid': 'document', 'filesize': 130177, 'fileid': 252872, 'mime_type': 'application/pdf', 'mtime': '2021-03-18 06:06:22', 'hash_type': 'MD5', 'hash': '5ffe64beefd4e92818e01d51b2d731fe', 'filename': 'Analysis.pdf', 'objectid': 42516, 'uri': 'http://repository.lppm.unila.ac.id/id/file/252872'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 28468, 'placement': 1, 'security': 'public'}]",http://repository.lppm.unila.ac.id/id/eprint/28468,public,FALSE,2021-03-18 07:11:07,836,126-130,2021-03-18 07:11:07,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Jurnal Internasional Bisnis, Ekonomi dan Hukum</font></font>","[{'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]","<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">2289-1552</font></font>",disk0/00/02/84/68,2021-04-01 00:00:00.000000000,article,['FH1'],,,,,,,,,
1,Analysis Of Effective Criminal Sanctions Corporations As Criminal Actors Of Corruption,6,show,2021-03-25 02:37:51,archive,['K1'],28553,pub,klibel,"[{'placement': 1, 'security': 'public', 'eprintid': 28553, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 42611, 'uri': 'http://repository.lppm.unila.ac.id/id/file/253471', 'mime_type': 'application/pdf', 'fileid': 253471, 'filename': 'IJBEL24_538-2.pdf', 'hash': 'e0820cce2735918dfeedbdd730570c96', 'hash_type': 'MD5', 'mtime': '2021-03-25 02:16:33', 'datasetid': 'document', 'filesize': 1236190}], 'docid': 42611, 'main': 'IJBEL24_538-2.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42611', 'pos': 1, 'format': 'text'}]",http://repository.lppm.unila.ac.id/id/eprint/28553,public,FALSE,2021-03-25 02:37:51,836,126-130,2021-03-25 02:37:51,"International Journal of Business, Economics and Law","[{'name': {'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",2289-1552,disk0/00/02/85/53,2021-04-01 00:00:00.000000000,article,['FH1'],Hasil Check Similarity,,,,,,,,
2,Analysis Of Effective Criminal Sanctions Corporations As Criminal Actors Of Corruption,6,show,2021-04-01 02:00:27,archive,['K1'],28812,pub,KLIBEL,"[{'placement': 1, 'security': 'public', 'eprintid': 28812, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'datasetid': 'document', 'filesize': 609312, 'fileid': 255612, 'mime_type': 'application/pdf', 'mtime': '2021-04-01 01:39:21', 'hash_type': 'MD5', 'hash': '25403459668d0262286cfb2d9a627785', 'filename': 'Analysis of Effective.pdf', 'objectid': 42905, 'uri': 'http://repository.lppm.unila.ac.id/id/file/255612'}], 'docid': 42905, 'main': 'Analysis of Effective.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42905', 'pos': 1, 'format': 'text'}]",http://repository.lppm.unila.ac.id/id/eprint/28812,public,FALSE,2021-04-01 02:00:27,836,,2021-04-01 02:00:27,"International Journal of Business, Economics and Law","[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None}}]",,disk0/00/02/88/12,2021-04-01 00:00:00.000000000,article,['FH1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,,,,,,,,
3,"THE CORRUPTION IN INDONESIA: THE 
IMPORTANCE OF ASSET RECOVERY IN RESTORING 
STATE FINANCES",6,show,2021-08-01 13:37:34,archive,['K1'],33276,pub,JLERI,"[{'eprintid': 33276, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'The-corruption-in-indonesia-1544-0044-24-7-758.pdf', 'docid': 152074, 'files': [{'fileid': 394332, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-07-30 03:08:17', 'hash': '587c1f1246b0b5a03aad41acd44b43f0', 'filename': 'The-corruption-in-indonesia-1544-0044-24-7-758.pdf', 'datasetid': 'document', 'filesize': 341900, 'objectid': 152074, 'uri': 'http://repository.lppm.unila.ac.id/id/file/394332'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/152074', 'rev_number': 1}]",http://repository.lppm.unila.ac.id/id/eprint/33276,public,FALSE,2021-08-01 13:37:34,807,,2021-08-01 13:37:34,"Journal of Legal, Ethical and Regulatory Issues","[{'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">maroniunila@gmail.com</font></font>'}]",,disk0/00/03/32/76,1970-01-01 00:00:00.000002021,article,['FH1'],,,,,,,,,
4,The Corruption In Indonesia: The Importance Of Asset Recovery In Restoring State Finances,6,show,2021-08-18 06:07:59,archive,['K1'],33465,pub,JLERI,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 33465, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/153296', 'rev_number': 1, 'docid': 153296, 'main': 'Review The Coor.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/396934', 'objectid': 153296, 'filesize': 339454, 'datasetid': 'document', 'mtime': '2021-08-18 02:06:39', 'hash_type': 'MD5', 'filename': 'Review The Coor.pdf', 'hash': '19363a80043365403ead1f1fe1a5325b', 'fileid': 396934, 'mime_type': 'application/pdf'}]}]",http://repository.lppm.unila.ac.id/id/eprint/33465,public,FALSE,2021-08-18 06:07:59,807,,2021-08-18 06:07:59,"Journal of Legal, Ethical and Regulatory Issues","[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">maroniunila@gmail.com</font></font>'}]",,disk0/00/03/34/65,1970-01-01 00:00:00.000002021,article,['FH1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,,,,,,,,
5,The Corruption In Indonesia: The Importance Of Asset Recovery In Restoring State Finances,6,show,2021-10-18 08:43:26,archive,['K1'],34548,pub,JLERI,"[{'files': [{'filesize': 2272389, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2021-10-18 03:02:00', 'filename': 'LEGAL_ETHICAL_AND_REGULATORY.pdf', 'hash': '096e687b1bb006e88143c9f00d72a56b', 'fileid': 406220, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/406220', 'objectid': 155087}], 'main': 'LEGAL_ETHICAL_AND_REGULATORY.pdf', 'docid': 155087, 'uri': 'http://repository.lppm.unila.ac.id/id/document/155087', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 34548, 'mime_type': 'application/pdf', 'language': 'en'}]",http://repository.lppm.unila.ac.id/id/eprint/34548,public,FALSE,2021-10-18 08:43:26,807,,2021-10-18 08:43:26,"Journal of Legal, Ethical and Regulatory Issues","[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">maroniunila@gmail.com</font></font>', 'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,disk0/00/03/45/48,1970-01-01 00:00:00.000002021,article,['FH1'],Hasil Check Similarity,,,,,,,,
6,The Court's Authority Over Cash Payment And Consignment On Land Acquisition For Development For Public Interest In Lampung Province,6,show,2021-04-13 08:04:36,archive,['K1'],29306,pub,KLIBEL,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/259720', 'objectid': 43426, 'hash': 'f99500566e767b77ba953e831a1b1c29', 'filename': 'Review The Courts.pdf', 'mtime': '2021-04-13 04:37:31', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 259720, 'filesize': 399994, 'datasetid': 'document'}], 'docid': 43426, 'main': 'Review The Courts.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43426', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 29306, 'mime_type': 'application/pdf', 'language': 'en'}]",http://repository.lppm.unila.ac.id/id/eprint/29306,public,FALSE,2021-04-13 08:04:36,769,,2021-04-13 08:04:36,"International Journal of Business, Economics and Law","[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">upikhamidah21@gmail.com</font></font>', 'name': {'lineage': None, 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,disk0/00/02/93/06,2021-04-01 00:00:00.000000000,article,['FH1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,,,,,,,,
7,Distribution of Land Bank Assets Post Application of the Copyration Law in Realizing Equality Development in Indonesia,6,show,2021-12-06 07:03:51,archive,['K1'],37167,pub,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Penerbit Cendekia Timur Tengah, Dubai, Uni Emirat Arab</font></font>","[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 37167, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158071', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/425963', 'objectid': 158071, 'filename': 'Review Distribution.pdf', 'hash': 'bfe74bf7eb1c01a0c1f4962603c1c5c4', 'hash_type': 'MD5', 'mtime': '2021-12-06 04:39:52', 'mime_type': 'application/pdf', 'fileid': 425963, 'filesize': 810320, 'datasetid': 'document'}], 'main': 'Review Distribution.pdf', 'docid': 158071}]",http://repository.lppm.unila.ac.id/id/eprint/37167,public,FALSE,2021-12-06 07:03:51,769,,2021-12-06 07:03:51,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Jurnal Internasional Sarjana Hukum, Kejahatan dan Keadilan</font></font>","[{'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]","<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">2617-3484 (Online)</font></font>",disk0/00/03/71/67,1970-01-01 00:00:00.000002021,article,['FH1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,,,,,,,,
8,Does International Criminal Court have Jurisdiction over the Destruction of Cultural Property by the Islamic State of Irac and Syria?,6,show,2021-10-25 03:18:51,archive,['K1'],34584,pub,Universitas Udayana,"[{'eprintid': 34584, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Does.pdf', 'docid': 155136, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/406483', 'objectid': 155136, 'filesize': 374164, 'datasetid': 'document', 'mtime': '2021-10-22 09:04:14', 'hash_type': 'MD5', 'filename': 'Does.pdf', 'hash': '7f475b05b553f1f9f9c153f0dfd9058d', 'fileid': 406483, 'mime_type': 'application/pdf'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/155136', 'rev_number': 1}]",http://repository.lppm.unila.ac.id/id/eprint/34584,public,FALSE,2021-10-25 03:18:51,276,,2021-10-25 03:18:51,Jurnal Magister Hukum Udayana,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None}}]",,disk0/00/03/45/84,1970-01-01 00:00:00.000002021,article,['FH1'],Hasil Penialian Sejawat Sebidang atau Peer Review,,,,,,,,
9,Eksistensi kearifan lokal dalam penyelesaian perkara anak pada sistem hukum pidana Indonesia,7,show,2021-12-13 09:39:08,archive,['K1'],37289,pub,PUSAKA MEDIA Anggota IKAPI,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 37289, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158193', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/426811', 'objectid': 158193, 'filesize': 847576, 'datasetid': 'document', 'mtime': '2021-12-13 08:49:31', 'hash_type': 'MD5', 'filename': 'Reviewer Eksistensi.pdf', 'hash': 'fc436194b5a6f595a3584434b1f2a223', 'fileid': 426811, 'mime_type': 'application/pdf'}], 'main': 'Reviewer Eksistensi.pdf', 'docid': 158193}]",http://repository.lppm.unila.ac.id/id/eprint/37289,public,FALSE,2021-12-13 09:39:08,873,,2021-12-13 09:39:08,,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">erna.dewi@fh.unila.ac.id</font></font>'}]",,disk0/00/03/72/89,1970-01-01 00:00:00.000002021,book_section,['FH1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,Eksistensi kearifan lokal dalam penyelesaian perkara anak pada sistem hukum pidana Indonesia,,,,,,,
