,subjects,status_changed,eprint_status,rev_number,metadata_visibility,title,eprintid,datestamp,userid,lastmod,uri,full_text_status,ispublished,documents,divisions,type,date,dir,creators,refereed,publication,date_type,id_number,patent_applicant,abstract,publisher,issn,number,related_url,volume,official_url,pres_type,event_type,event_title,book_title,pagerange,corp_creators
0,['K1'],2022-11-09 07:36:37,archive,7,show,SOSIALISASI HIRARKI NORMA HUKUM INDONESIA UNTUK MENINGKATKAN KESADARAN HUKUM SISWA DI MAN 1 BANDAR LAMPUNG,46387,2022-11-09 07:36:37,1065,2022-11-09 07:36:37,http://repository.lppm.unila.ac.id/id/eprint/46387,public,submitted,"[{'main': 'Hukum PKM Unggulan Lap.pdf', 'docid': 185265, 'files': [{'datasetid': 'document', 'filesize': 1522997, 'fileid': 512063, 'mime_type': 'application/pdf', 'mtime': '2022-11-09 07:28:05', 'hash_type': 'MD5', 'hash': '7ff80592ca30cc7fc8de68260a7ca8a1', 'filename': 'Hukum PKM Unggulan Lap.pdf', 'objectid': 185265, 'uri': 'http://repository.lppm.unila.ac.id/id/file/512063'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/185265', 'rev_number': 1, 'eprintid': 46387, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",['FH1'],image,1970-01-01 00:00:00.000002022,disk0/00/04/63/87,"[{'id': None, 'name': {'given': 'Arif Firmansyah', 'lineage': None, 'honourific': None, 'family': 'Ade'}}, {'id': 'maliciaevendia@yahoo.com', 'name': {'given': 'Evendia', 'honourific': None, 'family': 'Malicia', 'lineage': None}}, {'name': {'given': 'yuswanto', 'family': 'yuswanto', 'honourific': None, 'lineage': None}, 'id': 'yuswanto.1962@fh.unila.ac.id'}]",,,,,,,,,,,,,,,,,,
1,['K1'],2023-04-13 05:07:36,archive,6,show,SINERGITAS DINAS KELAUTAN DAN PERIKANAN PROVINSI LAMPUNG BERSAMA NELAYAN MUARA TABULIH KABUPATEN PESISIR BARAT DALAM PERLINDUNGAN HABITAT PENYU,50479,2023-04-13 05:07:36,18897,2023-04-13 05:07:36,http://repository.lppm.unila.ac.id/id/eprint/50479,public,pub,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190185', 'rev_number': 1, 'main': 'SINERGITAS DINAS KELAUTAN.pdf', 'docid': 190185, 'files': [{'objectid': 190185, 'uri': 'http://repository.lppm.unila.ac.id/id/file/544621', 'mime_type': 'application/pdf', 'fileid': 544621, 'filename': 'SINERGITAS DINAS KELAUTAN.pdf', 'hash': '0f74bed323432c938e9adc8835710763', 'hash_type': 'MD5', 'mtime': '2023-04-13 04:02:04', 'datasetid': 'document', 'filesize': 9703497}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 50479, 'security': 'public', 'placement': 1}]",['FH1'],article,1970-01-01 00:00:00.000002022,disk0_bak/00/05/04/79,"[{'id': 'aisyahhkm@gmail.com', 'name': {'given': 'Aisyah', 'family': 'Aisyah Muda Cemerlang', 'honourific': None, 'lineage': None}}, {'id': 'siswanto_heni@gmail.com2', 'name': {'family': 'Heni Siswanto', 'honourific': None, 'lineage': None, 'given': 'Heni Siswanto'}}]",TRUE,https://pak.unila.ac.id/dosen/file_penelitian/15598,,,,,,,,,,,,,,,,
2,['K1'],2023-04-14 02:13:40,archive,7,show,The Synergy Of Lampung Provincial Marine And Fishery Services With Muara Tabulih Fisheries In West Coast District In Protection Of Turtle Habitat,50498,2023-04-14 02:13:40,18897,2023-04-14 02:13:40,http://repository.lppm.unila.ac.id/id/eprint/50498,public,pub,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 50498, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190201', 'main': 'The Synergy Of Lampung.pdf', 'docid': 190201, 'files': [{'objectid': 190201, 'uri': 'http://repository.lppm.unila.ac.id/id/file/544742', 'datasetid': 'document', 'filesize': 2256406, 'fileid': 544742, 'mime_type': 'application/pdf', 'mtime': '2023-04-13 05:54:04', 'hash_type': 'MD5', 'filename': 'The Synergy Of Lampung.pdf', 'hash': 'c2882153c6697cb3e7d49a45d1f62293'}]}]",['FH1'],patent,1970-01-01 00:00:00.000002022,disk0_bak/00/05/04/98,"[{'name': {'lineage': None, 'family': 'Aisyah Muda Cemerlang', 'honourific': None, 'given': 'Aisyah'}, 'id': 'aisyahhkm@gmail.com'}, {'id': 'siswanto_heni@gmail.com2', 'name': {'given': 'Heni Siswanto', 'family': 'Heni Siswanto', 'honourific': None, 'lineage': None}}]",,,published,EC00202272805,Fakultas Hukum Universitas lampung,,,,,,,,,,,,,
3,['K1'],2023-04-11 07:51:37,archive,6,show,"The Synergy of Lampung
Provincial Marine and Fishery
Services with Muara Tabulih
Fisheries in West Coast District
in Protection of Turtle Habitat",50253,2023-04-11 07:51:37,18897,2023-04-11 07:51:37,http://repository.lppm.unila.ac.id/id/eprint/50253,public,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 50253, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189951', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'objectid': 189951, 'uri': 'http://repository.lppm.unila.ac.id/id/file/542944', 'fileid': 542944, 'mime_type': 'application/pdf', 'mtime': '2023-04-11 07:45:05', 'hash_type': 'MD5', 'hash': '5aa77132873026729fc2da615ff121fe', 'filename': 'The Synergy of Lampung Provincial Marine and Fishery.pdf', 'datasetid': 'document', 'filesize': 896328}], 'docid': 189951, 'main': 'The Synergy of Lampung Provincial Marine and Fishery.pdf'}]",['FH1'],article,1970-01-01 00:00:00.000002022,disk0_bak/00/05/02/53,"[{'name': {'lineage': None, 'family': 'Aisyah Muda Cemerlang', 'honourific': None, 'given': 'Aisyah'}, 'id': 'aisyahhkm@gmail.com'}, {'name': {'family': 'Heni Siswanto', 'honourific': None, 'lineage': None, 'given': 'Heni Siswanto'}, 'id': 'siswanto_heni@gmail.com2'}]",FALSE,ATLANTIS PRESS,,,,Hasil Check Similarity,ATLANTIS PRESS,,,,,,,,,,,
4,['K1'],2023-04-11 08:05:09,archive,6,show,"The Synergy of Lampung
Provincial Marine and Fishery
Services with Muara Tabulih
Fisheries in West Coast District
in Protection of Turtle Habitat",50261,2023-04-11 08:05:09,18897,2023-04-11 08:05:09,http://repository.lppm.unila.ac.id/id/eprint/50261,public,pub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189958', 'pos': 1, 'format': 'text', 'files': [{'objectid': 189958, 'uri': 'http://repository.lppm.unila.ac.id/id/file/543005', 'datasetid': 'document', 'filesize': 896328, 'mime_type': 'application/pdf', 'fileid': 543005, 'hash': '5aa77132873026729fc2da615ff121fe', 'filename': 'The Synergy.pdf', 'mtime': '2023-04-11 07:53:23', 'hash_type': 'MD5'}], 'main': 'The Synergy.pdf', 'docid': 189958, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 50261}]",['FH1'],article,1970-01-01 00:00:00.000002022,disk0_bak/00/05/02/61,"[{'id': 'aisyahhkm@gmail.com', 'name': {'given': 'Aisyah', 'lineage': None, 'family': 'Aisyah Muda Cemerlang', 'honourific': None}}, {'id': 'siswanto_heni@gmail.com2', 'name': {'honourific': None, 'family': 'Heni Siswanto', 'lineage': None, 'given': 'Heni Siswanto'}}]",FALSE,ATLANTIS PRESS,,,,Hasil Check Similarity,ATLANTIS PRESS,,,,,,,,,,,
5,['K1'],2022-10-03 01:37:32,archive,7,show,"Juri Event ""NLDC INDONSIA X APLIKASI MYLAWYER : LEGAL COMPETITION 2022"" Kompetisi Debat Hukum Nasional",45423,2022-10-03 01:37:32,276,2022-10-03 01:37:32,http://repository.lppm.unila.ac.id/id/eprint/45423,public,submitted,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/167415', 'format': 'text', 'pos': 1, 'files': [{'objectid': 167415, 'uri': 'http://repository.lppm.unila.ac.id/id/file/487911', 'mime_type': 'application/pdf', 'fileid': 487911, 'filename': 'TOR.pdf', 'hash': 'b2797c1e57fd0dfa09b804b564eedede', 'hash_type': 'MD5', 'mtime': '2022-10-03 00:25:09', 'datasetid': 'document', 'filesize': 2940273}], 'main': 'TOR.pdf', 'docid': 167415, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 45423}]",['FH1'],image,1970-01-01 00:00:00.000002022,disk0/00/04/54/23,"[{'name': {'lineage': None, 'family': 'Bayu sujadmiko', 'honourific': None, 'given': 'bayu.sujadmiko@fh.unila.ac.id'}}]",,,,,,,,,,,,,,,,,,
6,['K1'],2022-10-03 01:36:45,archive,7,show,"Narasumber dalam Kegiatan Diskusi Terbatas dengan tema ""Kebutuhan Masyarakat Khususnya Provinsi Lampung atas Pengaturan terkait Hukum Perdata Intrenasional""",45365,2022-10-03 01:36:45,276,2022-10-03 01:36:45,http://repository.lppm.unila.ac.id/id/eprint/45365,public,submitted,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 45365, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/167351', 'rev_number': 1, 'main': 'Fasilitasi Narasumber.pdf', 'docid': 167351, 'files': [{'objectid': 167351, 'uri': 'http://repository.lppm.unila.ac.id/id/file/487617', 'datasetid': 'document', 'filesize': 3282732, 'mime_type': 'application/pdf', 'fileid': 487617, 'hash': 'ae7deacb98cd767f4f10dec3738f1cbf', 'filename': 'Fasilitasi Narasumber.pdf', 'hash_type': 'MD5', 'mtime': '2022-09-29 00:34:22'}]}]",['FH1'],image,2022-05-01 00:00:00.000000000,disk0/00/04/53/65,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Bayu sujadmiko', 'given': 'bayu.sujadmiko@fh.unila.ac.id'}}]",,,,,,,,,,,,,,,,,,
7,['K1'],2022-10-03 01:37:28,archive,7,show,Narasumber dalam Kegiatan Workshop Perumusan RPS Berbasis Case Method,45422,2022-10-03 01:37:28,276,2022-10-03 01:37:28,http://repository.lppm.unila.ac.id/id/eprint/45422,public,submitted,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/487904', 'objectid': 167414, 'mtime': '2022-10-03 00:19:16', 'hash_type': 'MD5', 'hash': 'e41ae19cd702babaf1412856b64017bb', 'filename': 'Workshop Rencana Pembelajaran.pdf', 'fileid': 487904, 'mime_type': 'application/pdf', 'filesize': 3461712, 'datasetid': 'document'}], 'docid': 167414, 'main': 'Workshop Rencana Pembelajaran.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/167414', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 45422, 'mime_type': 'application/pdf', 'language': 'en'}]",['FH1'],image,1970-01-01 00:00:00.000002022,disk0/00/04/54/22,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Bayu sujadmiko', 'given': 'bayu.sujadmiko@fh.unila.ac.id'}}]",,,,,,,,,,,,,,,,,,
8,['K1'],2022-10-03 01:36:41,archive,7,show,Narasumber dalam kegiatan Focus Group Discussion (FGD) Potensi Tindak Pidana terkait Pencatutan Indentitas Anggota Masyarakat sebagai Anggota Partai Politik,45343,2022-10-03 01:36:41,276,2022-10-03 01:36:41,http://repository.lppm.unila.ac.id/id/eprint/45343,public,submitted,"[{'docid': 167328, 'main': 'Akademisi.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/487512', 'objectid': 167328, 'mtime': '2022-09-28 00:09:34', 'hash_type': 'MD5', 'filename': 'Akademisi.pdf', 'hash': '7fd6fe0b9f440c6f35f62abc873136ed', 'fileid': 487512, 'mime_type': 'application/pdf', 'filesize': 1690224, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/167328', 'rev_number': 1, 'eprintid': 45343, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",['FH1'],image,1970-01-01 00:00:00.000002022,disk0/00/04/53/43,"[{'name': {'family': 'Bayu sujadmiko', 'honourific': None, 'lineage': None, 'given': 'bayu.sujadmiko@fh.unila.ac.id'}}]",,,,,,,,,,,,,,,,,,
9,['K1'],2022-10-03 01:36:53,archive,7,show,"Pameteri dalam Kegiatan Latihan Kader II (Internasional Training) dengan tema ""Optimalisasi Pendidikan dalam Manghadapi Bonus Demografi 2045""",45366,2022-10-03 01:36:53,276,2022-10-03 01:36:53,http://repository.lppm.unila.ac.id/id/eprint/45366,public,submitted,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/167352', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'filename': 'internmadeatre.pdf', 'hash': 'd0c8da460cffcfe92e3c6f5edc6ce47d', 'hash_type': 'MD5', 'mtime': '2022-09-29 00:36:13', 'mime_type': 'application/pdf', 'fileid': 487624, 'filesize': 974285, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/487624', 'objectid': 167352}], 'docid': 167352, 'main': 'internmadeatre.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 45366}]",['FH1'],image,2022-08-01 00:00:00.000000000,disk0/00/04/53/66,"[{'name': {'given': 'bayu.sujadmiko@fh.unila.ac.id', 'honourific': None, 'family': 'Bayu sujadmiko', 'lineage': None}}]",,,,,,,,,,,,,,,,,,
