,lastmod,userid,datestamp,ispublished,documents,publisher,full_text_status,uri,refereed,type,divisions,publication,creators,issn,dir,date,eprint_status,status_changed,subjects,title,rev_number,metadata_visibility,eprintid,corp_creators,number,id_number,abstract,official_url,date_type,projects,pagerange,funders,related_url,volume,pres_type,event_title,event_type,book_title
0,2022-04-01 01:03:28,707,2022-04-01 01:03:28,pub,"[{'main': 'fiat justisia tahun 2011.pdf', 'docid': 162294, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/454785', 'objectid': 162294, 'filename': 'fiat justisia tahun 2011.pdf', 'hash': 'e29d0471dcdc9811cbc16c41a7afedd8', 'hash_type': 'MD5', 'mtime': '2022-03-31 06:50:16', 'mime_type': 'application/pdf', 'fileid': 454785, 'filesize': 2709602, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162294', 'eprintid': 40905, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",Fakultas Hukum,public,http://repository.lppm.unila.ac.id/id/eprint/40905,FALSE,article,['FH2'],Fiat Justisia,"[{'name': {'family': 'APRILIANTI', 'honourific': None, 'lineage': None, 'given': 'APRILIANTI'}}]",1978-5186,disk0/00/04/09/05,2011-01-01 00:00:00.000000000,archive,2022-04-01 01:03:28,['K1'],Fidusia sebagai Lembaga Jaminan Menurut Undang-undang Nomor 42 tahun 1999,6,show,40905,,,,,,,,,,,,,,,
1,2022-03-31 06:46:08,707,2022-03-31 06:46:08,pub,"[{'eprintid': 40901, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'main': 'jurnal ilmu hukum tahun 2011.pdf', 'docid': 162290, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/454758', 'objectid': 162290, 'filesize': 2691690, 'datasetid': 'document', 'mtime': '2022-03-31 04:21:14', 'hash_type': 'MD5', 'hash': '0ad13714a9ecc420f93de63deb40facc', 'filename': 'jurnal ilmu hukum tahun 2011.pdf', 'fileid': 454758, 'mime_type': 'application/pdf'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/162290', 'rev_number': 1}]",FH Unila,public,http://repository.lppm.unila.ac.id/id/eprint/40901,FALSE,article,['FH2'],Fiat Justisia,"[{'name': {'honourific': None, 'family': 'APRILIANTI', 'lineage': None, 'given': 'APRILIANTI'}}]",,disk0/00/04/09/01,1970-01-01 00:00:00.000002011,archive,2022-03-31 06:46:08,['K1'],Perjanjian Sewa guna usaha antara Lessee dan Lessor,6,show,40901,,,,,,,,,,,,,,,
2,2019-01-28 08:22:21,940,2019-01-28 08:22:21,pub,"[{'files': [{'objectid': 23664, 'uri': 'http://repository.lppm.unila.ac.id/id/file/98438', 'fileid': 98438, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-01-28 06:29:54', 'hash': '5cd2f05810bd24d7f776a01930660d25', 'filename': 'JURNAL PRAEVIA, Vol 5 No. 2, Juli-des 2011_2011-1-1.pdf', 'datasetid': 'document', 'filesize': 1920803}], 'docid': 23664, 'main': 'JURNAL PRAEVIA, Vol 5 No. 2, Juli-des 2011_2011-1-1.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23664', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 10650, 'language': 'en', 'mime_type': 'application/pdf'}]",Program Pascasarjana Program Magister Hukum FH Unila,public,http://repository.lppm.unila.ac.id/id/eprint/10650,TRUE,article,['FH2'],Praevia,"[{'id': None, 'name': {'family': 'Afriza', 'honourific': None, 'lineage': None, 'given': 'rahmai'}}, {'name': {'honourific': None, 'family': 'Yuswanto', 'lineage': None, 'given': 'yuswanto'}, 'id': None}, {'id': 'fxsmj.unila@gmail.com', 'name': {'family': 'Sumarja', 'honourific': None, 'lineage': None, 'given': 'FX'}}]",1907-8714,disk0/00/01/06/50,2011-07-01 00:00:00.000000000,archive,2019-01-28 08:22:21,['K1'],Penetapan Dismissal dan Pemeriksaan Persiapan dalam Proses Beracara di Pengadilan tata Usaha negara,6,show,10650,"['Magister Ilmu Hukum Unila', 'Fakultas Hukum Universitas Lampung', 'Fakultas Hukum Universitas Lampung']",2.0,940.0,"The research studies about dismissal arrangement and the investigation of the preparation of judicial procedure at PTUN. The research uses normative and empirical jurisdiction. the result of research indicates that dismissal process is done by accepted accusation file. The file is given to the vice clerk of court the it is given to the PTUN head through the clerk of court. The head of court then investigates the administrative accusation to khow whether the accusation can be accepted or rejected.
Key words: arrangement, dismissal, investigation",http://repository.lppm.unila.ac.id,published,['---'],161-172,['---'],[{'url': 'http://repository.lppm.unila.ac.id'}],5.0,,,,
3,2022-07-22 01:04:35,900,2022-07-22 01:04:35,pub,"[{'files': [{'mime_type': 'application/pdf', 'fileid': 475127, 'hash': '3fbeadefbc15db52b286c9534cebfca4', 'filename': 'Pembangunan Hukum.pdf', 'mtime': '2022-07-21 01:20:47', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 6640645, 'objectid': 165475, 'uri': 'http://repository.lppm.unila.ac.id/id/file/475127'}], 'main': 'Pembangunan Hukum.pdf', 'docid': 165475, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165475', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 43540, 'language': 'en', 'mime_type': 'application/pdf'}]",,public,http://repository.lppm.unila.ac.id/id/eprint/43540,FALSE,conference_item,['FH2'],,"[{'name': {'lineage': None, 'family': 'Diah Gustiniati Maulani', 'honourific': None, 'given': 'Diah Gustiniati Maulani'}}]",,disk0/00/04/35/40,1970-01-01 00:00:00.000002011,archive,2022-07-22 01:04:35,['K1'],Diversi dan Restorative Justice dalam Persepektif Penyelesaian Perkara Anak yang Berkonflik dengan Hukum,7,show,43540,,,,,,,,,,,,paper,Prosiding Seminar Nasional,conference,
4,2022-07-21 01:14:50,900,2022-07-21 01:14:50,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 43532, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/165468', 'rev_number': 1, 'docid': 165468, 'main': 'Hukum Penitensia.pdf', 'files': [{'fileid': 475052, 'mime_type': 'application/pdf', 'mtime': '2022-07-21 00:17:04', 'hash_type': 'MD5', 'filename': 'Hukum Penitensia.pdf', 'hash': '5109d90d790b0558deaf8da72e3173b3', 'datasetid': 'document', 'filesize': 16206408, 'objectid': 165468, 'uri': 'http://repository.lppm.unila.ac.id/id/file/475052'}]}]",Universitas Lampung,public,http://repository.lppm.unila.ac.id/id/eprint/43532,FALSE,book_section,['FH2'],,"[{'name': {'family': 'Diah Gustiniati Maulani', 'honourific': None, 'lineage': None, 'given': 'Diah Gustiniati Maulani'}}]",,disk0/00/04/35/32,1970-01-01 00:00:00.000002011,archive,2022-07-21 01:14:50,['K1'],Hukum Penintesia dan Sistem Pemasyarakatan di Indonesia,7,show,43532,,,,,,,,,,,,,,,Hukum Penintesia dan Sistem Pemasyarakatan di Indonesia
5,2022-07-21 01:15:03,900,2022-07-21 01:15:03,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 43538, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/165474', 'rev_number': 1, 'docid': 165474, 'main': 'Prosiding Seminar.pdf', 'files': [{'objectid': 165474, 'uri': 'http://repository.lppm.unila.ac.id/id/file/475093', 'fileid': 475093, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-07-21 01:10:51', 'filename': 'Prosiding Seminar.pdf', 'hash': 'fdbd8d55ba516d73148fc03fbab49562', 'datasetid': 'document', 'filesize': 4927400}]}]",,public,http://repository.lppm.unila.ac.id/id/eprint/43538,FALSE,conference_item,['FH2'],,"[{'name': {'given': 'Diah Gustiniati Maulani', 'lineage': None, 'family': 'Diah Gustiniati Maulani', 'honourific': None}}]",,disk0/00/04/35/38,1970-01-01 00:00:00.000002011,archive,2022-07-21 01:15:03,['K1'],Perspektif Pembinaan Narapidana Tindak Pidana Korupsi di Indonesia,7,show,43538,,,,,,,,,,,,paper,Prosiding Seminar,conference,
6,2022-07-21 01:15:00,900,2022-07-21 01:15:00,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 43537, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 165473, 'uri': 'http://repository.lppm.unila.ac.id/id/file/475086', 'datasetid': 'document', 'filesize': 8050113, 'mime_type': 'application/pdf', 'fileid': 475086, 'filename': 'Jurnal Praevia Ilmu Hukum.pdf', 'hash': '1c6c40f6fcbbfdc8e59c5f7f9ddb1b8e', 'hash_type': 'MD5', 'mtime': '2022-07-21 01:01:19'}], 'main': 'Jurnal Praevia Ilmu Hukum.pdf', 'docid': 165473, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165473', 'pos': 1, 'format': 'text'}]",Program Pascasarjana Program Magister Hukum FH Unila,public,http://repository.lppm.unila.ac.id/id/eprint/43537,FALSE,article,['FH2'],Praevia,"[{'name': {'lineage': None, 'family': 'Diah Gustiniati Maulani', 'honourific': None, 'given': 'Diah Gustiniati Maulani'}}]",1907-8714,disk0/00/04/35/37,1970-01-01 00:00:00.000002011,archive,2022-07-21 01:15:00,['K1'],Pidana Penjara Seumur Hidup dalm Sistem Pemasyarakatan,6,show,43537,,,,,,,,,,,,,,,
7,2022-10-07 03:47:28,970,2022-10-07 03:47:28,pub,"[{'security': 'public', 'placement': 1, 'eprintid': 45587, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'hash': '40453fde8dc330eca458d0f9900e03a6', 'filename': '2022-10-07-09-34-50-01.pdf', 'mtime': '2022-10-07 02:40:36', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 506009, 'filesize': 898551, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/506009', 'objectid': 184378}], 'main': '2022-10-07-09-34-50-01.pdf', 'docid': 184378, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184378', 'format': 'text', 'pos': 1}]",Fakultas Hukum,public,http://repository.lppm.unila.ac.id/id/eprint/45587,FALSE,article,['FH2'],Fiat Justisia,"[{'id': 'melly.aida@fh.unila.ac.id', 'name': {'given': 'Melly Aida', 'lineage': None, 'honourific': None, 'family': 'Melly Aida'}}]",1978-5186,disk0/00/04/55/87,1970-01-01 00:00:00.000002011,archive,2022-10-07 03:47:28,['K1'],Perkembangan Konseptual Unsur-unsur Kejahatan Berat Terhadap Kemanusiaan dalam Hukum Humaniter,6,show,45587,,,,,,,,,,,,,,,
8,2019-01-28 08:21:57,940,2019-01-28 08:21:57,pub,"[{'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en', 'eprintid': 10641, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23653', 'docid': 23653, 'main': 'Praevia_Vol.5 No. 1 Januari-Juni 2011_asli.docx', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/98360', 'objectid': 23653, 'filesize': 62498, 'datasetid': 'document', 'hash': 'a08a654071807c4904c89b097629253c', 'filename': 'Praevia_Vol.5 No. 1 Januari-Juni 2011_asli.docx', 'mtime': '2019-01-25 09:17:57', 'hash_type': 'MD5', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'fileid': 98360}]}]",Program Pascasarjana Program Magister Hukum FH Unila,public,http://repository.lppm.unila.ac.id/id/eprint/10641,TRUE,article,['FH2'],Praevia,"[{'id': 'fxsmj.unila@gmail.com', 'name': {'honourific': None, 'family': 'Sumarja', 'lineage': None, 'given': 'FX'}}]",1907-8714,disk0/00/01/06/41,2011-01-01 00:00:00.000000000,archive,2019-01-28 08:21:57,['K1'],PENGATURAN PENGUASAAN TANAH HAK  MILIK BAGI ORANG ASING DALAM PENGEMBANGAN WISATA PANTAI DI LAMPUNG BARAT,6,show,10641,['Fakultas Hukum Universitas Lampung'],1.0,940.0,"This research is to indicate the causal factor of prohibitive regulation about the authority of land property ownership by foreigners/strangers is not effective, and the concept of law policy for the regulation of an authority of land property ownership especially seashore area in developing coast tourism object in west Lampung Regency.The methodology of research is normative and empirical research. The result of research is found that the prohibitive regulation about the authority of land property ownership by foreigners/strangers is not complete and can not solve the cases of the authority of land property ownership by foreigners . It was caused both law factor and social and economic factors. The exact concept that can be applied toward an authority of land property ownership by foreigner is proprietary rights on the land concession rights.
Key words : land concession rights, stranger/foreigner, seashore",http://repository.lppm.unila.ac.id,published,['Dipa Unila'],1-16,['Universitas Lampung'],[{'url': 'http://repository.lppm.unila.ac.id'}],5.0,,,,
9,2019-01-28 08:22:02,940,2019-01-28 08:22:02,pub,"[{'main': 'Praevia Vol.5 No. 1 Januari-Juni 2011_Scan.pdf', 'docid': 23654, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/98366', 'objectid': 23654, 'mtime': '2019-01-25 09:23:12', 'hash_type': 'MD5', 'hash': '1fe62dd326ad3ae2bee4c0e5d07560ab', 'filename': 'Praevia Vol.5 No. 1 Januari-Juni 2011_Scan.pdf', 'fileid': 98366, 'mime_type': 'application/pdf', 'filesize': 1961794, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/23654', 'rev_number': 1, 'eprintid': 10642, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",Program Pascasarjana Program Magister Hukum FH Unila,public,http://repository.lppm.unila.ac.id/id/eprint/10642,TRUE,article,['FH2'],Praevia,"[{'name': {'given': 'FX', 'family': 'Sumarja', 'honourific': None, 'lineage': None}, 'id': 'fxsmj.unila@gmail.com'}]",1907-8714,disk0/00/01/06/42,2011-01-01 00:00:00.000000000,archive,2019-01-28 08:22:02,['K1'],PENGATURAN PENGUASAAN TANAH HAK  MILIK BAGI ORANG ASING DALAM PENGEMBANGAN WISATA PANTAI DI LAMPUNG BARAT,6,show,10642,['Fakultas Hukum Universitas Lampung'],1.0,940.0,"This research is to indicate the causal factor of prohibitive regulation about the authority of land property ownership by foreigners/strangers is not effective, and the concept of law policy for the regulation of an authority of land property ownership especially seashore area in developing coast tourism object in west Lampung Regency.The methodology of research is normative and empirical research. The result of research is found that the prohibitive regulation about the authority of land property ownership by foreigners/strangers is not complete and can not solve the cases of the authority of land property ownership by foreigners . It was caused both law factor and social and economic factors. The exact concept that can be applied toward an authority of land property ownership by foreigner is proprietary rights on the land concession rights.
Key words : land concession rights, stranger/foreigner, seashore",http://repository.lppm.unila.ac.id,published,['Dipa Unila'],1-16,['Universitas Lampung'],[{'url': 'http://repository.lppm.unila.ac.id'}],5.0,,,,
