,publisher,documents,ispublished,refereed,full_text_status,uri,userid,lastmod,datestamp,date,dir,type,editors,divisions,title,metadata_visibility,rev_number,eprint_status,status_changed,subjects,eprintid,isbn,abstract,event_type,event_title,pres_type,creators,monograph_type,event_dates,event_location,projects,date_type,corp_creators,pagerange,funders,official_url,related_url,issn,publication,number,volume,book_title
0,Justice Publisher,"[{'security': 'public', 'placement': 1, 'eprintid': 5875, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'filesize': 2440572, 'datasetid': 'document', 'filename': 'prosiding Seri Diskusi MIH 2017.pdf', 'hash': '039dc0051767d4e15f782b7652cc1b11', 'mtime': '2017-11-17 05:46:44', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 54739, 'uri': 'http://repository.lppm.unila.ac.id/id/file/54739', 'objectid': 18796}], 'main': 'prosiding Seri Diskusi MIH 2017.pdf', 'docid': 18796, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18796', 'rev_number': 1, 'format': 'text', 'pos': 1}]",pub,FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/5875,276,2017-11-17 05:56:02,2017-11-17 05:56:02,1970-01-01 00:00:00.000002017,disk0/00/00/58/75,book,"[{'name': {'given': 'Bayu', 'lineage': None, 'honourific': None, 'family': 'Sujadmiko'}, 'id': 'bayu.sujadmiko@fh.unila.ac.id'}]",['FH2'],Prosiding Seri Diskusi,show,7,archive,2017-11-17 05:56:02,['K1'],5875,9786021071568.0,,,,,,,,,,,,,,,,,,,,
1,,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161092', 'rev_number': 1, 'docid': 161092, 'main': 'Nonpenal_Effort_in_Addressing_Illegal_Fishing_in_t.pdf', 'files': [{'filename': 'Nonpenal_Effort_in_Addressing_Illegal_Fishing_in_t.pdf', 'hash': '138ae6bbbe63293d4cdace0c6c6cbbb0', 'hash_type': 'MD5', 'mtime': '2022-02-25 06:17:29', 'mime_type': 'application/pdf', 'fileid': 446258, 'filesize': 4822997, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/446258', 'objectid': 161092}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 39813, 'security': 'public', 'placement': 1}]",pub,FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/39813,318,2022-02-25 10:03:43,2022-02-25 10:03:43,1970-01-01 00:00:00.000002017,disk0/00/03/98/13,conference_item,,['FH2'],Nonpenal Effort In Addressing Illegal Fishing In The Lampung Province,show,7,archive,2022-02-25 10:03:43,['K1'],39813,,Hasil Check Similarity,conference,Proceeding of International Conference 2nd SHIELD 2017 Bandar Lampung,other,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">mayashafira@fh.unila.ac.id</font></font>'}]",,,,,,,,,,,,,,,
2,Justice Publisher/Fakultas Hukum Universitas Lampung,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190182', 'rev_number': 1, 'main': 'MONOGRAF PDF SEMINAR PEREMPUAN DAN   ANAK.pdf', 'docid': 190182, 'files': [{'datasetid': 'document', 'filesize': 5665632, 'fileid': 544599, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-04-13 03:51:35', 'filename': 'MONOGRAF PDF SEMINAR PEREMPUAN DAN   ANAK.pdf', 'hash': '6a28f94bc68033b47592c896e71dbb18', 'objectid': 190182, 'uri': 'http://repository.lppm.unila.ac.id/id/file/544599'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 50476, 'placement': 1, 'security': 'public'}]",pub,,public,http://repository.lppm.unila.ac.id/id/eprint/50476,230,2023-04-13 05:08:02,2023-04-13 05:08:02,1970-01-01 00:00:00.000002017,disk0_bak/00/05/04/76,monograph,,['FH2'],MEMBANGUN BUDAYA ADIL GENDER DAN RAMAH ANAK,show,7,archive,2023-04-13 05:08:02,['K1'],50476,,,,,,"[{'id': 'ahmad.syofyan@fh.unila.ac.id', 'name': {'given': 'Ahmad S', 'family': 'Ahmad Syofyan', 'honourific': None, 'lineage': None}}]",documentation,,,,,,,,,,,,,,
3,Perpustakaan Nasional : Katalog Dalam Terbitan (KDT),"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/616835', 'objectid': 251894, 'filesize': 6532600, 'datasetid': 'document', 'filename': 'EDITOR GABUNG PENGESAHAN.pdf', 'hash': '6737997faa38898bf1808352aba6e5a8', 'hash_type': 'MD5', 'mtime': '2023-05-29 07:43:00', 'mime_type': 'application/pdf', 'fileid': 616835}], 'docid': 251894, 'main': 'EDITOR GABUNG PENGESAHAN.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/251894', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 52056, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,,public,http://repository.lppm.unila.ac.id/id/eprint/52056,230,2023-05-29 09:38:54,2023-05-29 09:38:54,1970-01-01 00:00:00.000002017,disk0_bak/00/05/20/56,monograph,,['FH2'],MEMBANGUN BUDAYA ADIL GENDER DAN RAMAH ANAK,show,7,archive,2023-05-29 09:38:54,['K1'],52056,,,,,,"[{'name': {'family': 'Ahmad Syofyan', 'honourific': None, 'lineage': None, 'given': 'Ahmad S'}, 'id': 'ahmad.syofyan@fh.unila.ac.id'}]",other,,,,,,,,,,,,,,
4,,"[{'eprintid': 39329, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 160612, 'main': 'Reviewer Nonpenal.pdf', 'files': [{'mtime': '2022-02-15 09:07:36', 'hash_type': 'MD5', 'hash': 'e1b570e14a9341e62f7090a2031a1ef6', 'filename': 'Reviewer Nonpenal.pdf', 'fileid': 442477, 'mime_type': 'application/pdf', 'filesize': 371516, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/442477', 'objectid': 160612}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160612', 'rev_number': 1}]",pub,FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/39329,318,2022-02-16 01:16:18,2022-02-16 01:16:18,1970-01-01 00:00:00.000002017,disk0/00/03/93/29,conference_item,,['FH2'],Developing Criminal Policy on Illegal Fishing Counter-measures under the New Normal Order in Indonesia: A Non-penal Perspective,show,8,archive,2022-02-16 01:16:18,['K1'],39329,,Hasil Penilaian Sejawat Sebidang atau Peer Review,conference,Proceeding ICETLAWBE 2020,paper,"[{'id': 'mayashafira@fh.unila.ac.id', 'name': {'lineage': None, 'family': 'Maya Shafira', 'honourific': None, 'given': 'Maya Shafira'}}]",,,,,,,,,,,,,,,
5,,"[{'security': 'public', 'placement': 1, 'eprintid': 38849, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 159990, 'uri': 'http://repository.lppm.unila.ac.id/id/file/438770', 'fileid': 438770, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-02-02 05:38:14', 'filename': 'Prosiding 2nd shield FINALl.pdf', 'hash': 'd98b60152c83cb62451ea19991f403a0', 'datasetid': 'document', 'filesize': 12626315}], 'docid': 159990, 'main': 'Prosiding 2nd shield FINALl.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159990', 'format': 'text', 'pos': 1}]",pub,FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/38849,318,2022-02-02 07:18:35,2022-02-02 07:18:35,1970-01-01 00:00:00.000002017,disk0/00/03/88/49,conference_item,,['FH2'],Nonpenal Effort In Addressing Illegal Fishing In The Lampung Province,show,7,archive,2022-02-02 07:18:35,['K1'],38849,,,conference,Proceeding of International Conference 2nd SHIELD 2017,paper,"[{'name': {'given': 'Maya Shafira', 'lineage': None, 'honourific': None, 'family': 'Maya Shafira'}, 'id': 'mayashafira@fh.unila.ac.id'}]",,,,,,,,,,,,,,,
6,,"[{'files': [{'datasetid': 'document', 'filesize': 1615735, 'mime_type': 'application/pdf', 'fileid': 141519, 'filename': 'Melly Aida, Prosiding How Far is The Precautionary Principle.pdf', 'hash': 'eb29c699597d56250be9192c4dfc46b6', 'mtime': '2019-11-15 08:40:57', 'hash_type': 'MD5', 'objectid': 29678, 'uri': 'http://repository.lppm.unila.ac.id/id/file/141519'}], 'docid': 29678, 'main': 'Melly Aida, Prosiding How Far is The Precautionary Principle.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/29678', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 16599, 'language': 'en', 'mime_type': 'application/pdf'}]",pub,FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/16599,970,2019-11-18 07:20:39,2019-11-18 07:20:39,2017-09-01 00:00:00.000000000,disk0/00/01/65/99,conference_item,,['FH2'],How Far Is The Precautionary Principle Considered In The Benefits Of Genetically Modified Organisms World Wide?,show,7,archive,2019-11-18 07:20:39,['K1'],16599,,,conference,Proceedings International Conference 2nd SHIELD 2017 University Of Lampung,paper,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Melly Aida', 'given': 'Melly Aida'}}]",,18-20 September 2017,Bandar Lampung,,,,,,,,,,,,
7,,"[{'docid': 19433, 'main': 'Prosiding 2nd shield 7-2-2018-Marjo_1.pdf', 'files': [{'filesize': 3705841, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2018-02-15 08:40:33', 'filename': 'Prosiding 2nd shield 7-2-2018-Marjo_1.pdf', 'hash': '5bd3a2f6afccc51ae30a8d6c332400c4', 'fileid': 60088, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/60088', 'objectid': 19433}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19433', 'rev_number': 1, 'eprintid': 6489, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/6489,940,2018-02-20 04:35:24,2018-02-20 04:35:24,2017-09-01 00:00:00.000000000,disk0/00/00/64/89,conference_item,,['FH2'],CHAOS OF FOREST RESOURCE ACCESS REGULATION: STUDY ON MORO-MORO FARMERS AT REGISTER 45 LAMPUNG,show,7,archive,2018-02-20 04:35:24,['KZ'],6489,,"One of the problems of farmers in Indonresia is the limited availability of agricultural land. Through various regulations, the government gives farmers hope for the availability of agricultural land, through the land levy, land use permits or partnerships with forest management right holders. For decades the Moro-Moro farmers have struggled to gain access to forest resources (farmland) legally, in Register 45 Sungai Buaya Mesuji Lampung. This study will examine forest resource access regulations and their implementation in Register 45 Sungai Buaya Mesuji Lampung.
The approach that used in this research is socio-legal. Socio-legal is a study that combines the study of doctrinal law with social studies. Legislation can be categorized properly and well if the substance is able to accommodate as much as possible the aspirations, interests and needs of the community. So the analysis is not only based on normative rules but also the social context. The result of the research shows that the regulation of forest resource access model in register 45 Lampung to farmer of Moro-Moro is partnership. Partnerships offered by forest management right
holders are considered have not been able to providewelfare to farmers, considering that the types of plants have been determined and in the process of the partnership, the dialogical space is still very poorly done by forest managers. In addition, the area of farmland is getting narrower, because it must be planted with hard plants. However, it is necessary to trials the forest resource access model by means of the partnership, even though it is possible to use another access model.

Keywords: Regulation, Implementation, Access of Forest Resources, Moro-Moro",conference,International Conference 2nd SHIELD 2017,paper,"[{'id': 'fxsmj.unila@gmail.com', 'name': {'family': 'Sumarja', 'honourific': None, 'lineage': None, 'given': 'FX'}}]",,18-20 September 2017,"Universitas Lampung, Bandarlampung",['Seminar Internasional'],published,['Universitas Lampung'],208-215,['Universitas Lampung'],,,,,,,
8,,"[{'files': [{'fileid': 60067, 'mime_type': 'application/pdf', 'mtime': '2018-02-15 06:04:12', 'hash_type': 'MD5', 'hash': '5817076ad3a5e6fc3e7b3709166db222', 'filename': 'Buku Monograf Semnas_Perjanjian Perkawinan_okt2017.pdf', 'datasetid': 'document', 'filesize': 497458, 'objectid': 19429, 'uri': 'http://repository.lppm.unila.ac.id/id/file/60067'}], 'docid': 19429, 'main': 'Buku Monograf Semnas_Perjanjian Perkawinan_okt2017.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19429', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 6486, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/6486,940,2018-02-20 04:35:09,2018-02-20 04:35:09,2017-10-01 00:00:00.000000000,disk0/00/00/64/86,conference_item,,['FH2'],Perjanjian Perkawinan: Perspektif Kepemilikan Hak Milik atas Tanah,show,8,archive,2018-02-20 04:35:09,['KZ'],6486,,"Sampai dengan akhir tahun 2016, seorang Warga Negara Indonesia (WNI) yang melakukan perkawinan campuran (WNI menikah dengan Warga Negara Asing/WNA), meskipun statusnya tetap sebagai WNI kehilangan kesempatan mendapatkan hak milik atas tanah, jika sebelum melakukan pernikahan tidak membuat perjanjian perkawinan pemisahan harta. Berbeda dengan masa sekarang, WNI yang telah melakukan perkawinan
campuran, namun sebelumnya tidak membuat perjanjian perkawinan pemisahan harta, terbuka kesempatan mendapatkan hak milik atas tanah, dengan cara membuat perjanjian
perkawinan pemisahan harta dalam bentuk akta notaris dan melakukan pencatatan laporan perjanjian perkawinan kepada instansi catatan sipil. Perjanjian perkawinan dapat
dilakukan sebelum, pada saat atau selama perkawinan berlangsung.

Kata kunci: Perjanjian perkawinan, perkawinan campuran, hak milik atas tanah",conference,Seminar Nasional Membangun Budaya Adil Gender dan Ramah Anak,paper,"[{'name': {'family': 'Sumarja', 'honourific': None, 'lineage': None, 'given': 'FX'}, 'id': 'fxsmj.unila@gmail.com'}]",,17 Oktober 2017,Balai Keratun Komplek Pemda Provinsi Lampung,,published,['Universitas Lampung'],137-149,,http://repository.lppm.unila.ac.id/id/eprint/6486,[{'url': 'http://repository.lppm.unila.ac.id/id/eprint/6486'}],,,,,
9,International Knowledge Sharing Platfrom,"[{'docid': 30457, 'main': 'Local_Regulation_Design_on_the_Protection_and_Empo.pdf', 'files': [{'objectid': 30457, 'uri': 'http://repository.lppm.unila.ac.id/id/file/146801', 'datasetid': 'document', 'filesize': 3049062, 'fileid': 146801, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-12-17 08:07:15', 'filename': 'Local_Regulation_Design_on_the_Protection_and_Empo.pdf', 'hash': '8b42323ceebad8376efb0dec92dc7aad'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30457', 'eprintid': 17345, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",pub,FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/17345,888,2019-12-18 08:03:07,2019-12-18 08:03:07,1970-01-01 00:00:00.000002017,disk0/00/01/73/45,article,,['FH2'],Local Regulation Design on the Protection and Empowerment of the Farmer Based on Law as a Tool of Social Empowering,show,7,archive,2019-12-18 08:03:07,"['K1', 'KD']",17345,,Hasil Similarity Check,,,,"[{'name': {'family': 'Yulia Neta', 'honourific': None, 'lineage': None, 'given': 'Yulia'}, 'id': 'yulia.neta@fh.unila.ac.id'}]",,,,,,,,,,,2225-0565,Journal Developing Country Studies,10.0,7.0,
