,place_of_pub,official_url,subjects,abstract,eprint_status,projects,date_type,eprintid,number,ispublished,publisher,datestamp,lastmod,date,pages,id_number,divisions,book_title,editors,series,type,rev_number,volume,metadata_visibility,title,status_changed,isbn,full_text_status,uri,refereed,documents,pagerange,userid,dir,funders,publication,creators,pres_type,event_type,event_title,issn,related_url,corp_creators,department,institution,monograph_type,event_location,event_dates
0,Bandar Lampung,http://repository.lppm.unila.ac.id/,['K1'],"Menanggapi fenomena dampak pembangunan hukum akibat Covid-19 tersebut, Mahasiswa Program Magister Ilmu Hukum Universitas Lampung Angkatan 2020 pada bulan Maret 2021 mengadakan kegiatan “Call Of Paper Seri Diskusi Mahasiswa Magister Ilmu Hukum Universitas Lampung Angkatan 2020, dengan mengambil tema Pengembanan Hukum di Masa Pademi” guna mengumpulkan berbagai artikel ilmiah yang kemudian disusun dalam dua buah buku. Salah satu bukunya berisi 19 naskah diberi judul “Kebijakan Hukum Di Masa Pandemi Covid-19”. Kegiatan tersebut bertujuan untuk menumbuhkan minat mahasiswa dalam mengkritisi kebijakan pemerintah di bidang hukum, termasuk menuangkan analisis dan pendapat hukumnya guna mendapatkan solusi terhadap persoalan-persoalan hukum dalam situasi Covid-19. Selain itu, kegiatan ini juga bertujuan untuk meningkatkan kualitas publikasi karya ilmiah dan akreditasi Program Magister Ilmu Hukum Universitas Lampung menjadi Unggul.",archive,['Seri Diskusi 1 Mahasiswa Magister Ilmu Hukum Unila'],published,51061,1,pub,Pusaka Media,2023-05-04 07:46:14,2023-05-04 07:46:14,2021-06-01 00:00:00.000000000,1.0,1.0,['FH2'],Kebijakan Hukum Di Masa Pandemi Covid-19,"[{'name': {'given': 'FX', 'family': 'Sumarja', 'honourific': None, 'lineage': None}, 'id': 'fxsmj.unila@gmail.com'}]",1,book_section,8,1,show,Kebijakan Hukum Di Masa Pandemi Covid-19,2023-05-04 07:46:14,---,public,http://repository.lppm.unila.ac.id/id/eprint/51061,TRUE,"[{'main': 'Kebijakan Hukum Di Masa Pandemi Covid-19 New (Juni 2021)_compressed-dikompresi-dikompresi.pdf', 'docid': 190776, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/549093', 'objectid': 190776, 'filesize': 2244078, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2023-05-04 07:01:04', 'filename': 'Kebijakan Hukum Di Masa Pandemi Covid-19 New (Juni 2021)_compressed-dikompresi-dikompresi.pdf', 'hash': 'c5006a11dd77acff81fd65c548683f26', 'fileid': 549093, 'mime_type': 'application/pdf'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190776', 'rev_number': 1, 'eprintid': 51061, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",1-294,940,disk0_bak/00/05/10/61,['Magister Ilmu Hukum Unila'],,,,,,,,,,,,,
1,,,['K1'],Hasil Check Similarity,archive,,,29061,,pub,KLIBEL,2021-04-09 04:25:22,2021-04-09 04:25:22,2021-04-01 00:00:00.000000000,,,['FH2'],,,,article,6,,show,The Court's Authority Over Cash Payment And Consignment On Land Acquisition For Development For Public Interest In Lampung Province,2021-04-09 04:25:22,,public,http://repository.lppm.unila.ac.id/id/eprint/29061,FALSE,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43175', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/257820', 'objectid': 43175, 'hash': '97c43d2a6b48347a2e9c2ca8efe43222', 'filename': 'THE_COURT_S_AUTHORITY.pdf', 'hash_type': 'MD5', 'mtime': '2021-04-09 04:07:52', 'mime_type': 'application/pdf', 'fileid': 257820, 'filesize': 1626804, 'datasetid': 'document'}], 'docid': 43175, 'main': 'THE_COURT_S_AUTHORITY.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 29061}]",,769,disk0/00/02/90/61,,"International Journal of Business, Economics and Law","[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None}}]",,,,,,,,,,,
2,,,['K1'],,archive,,,29309,,pub,KLIBEL,2021-04-13 08:04:43,2021-04-13 08:04:43,2021-04-01 00:00:00.000000000,,,['FH2'],,,,article,6,,show,The Court's Authority Over Cash Payment And Consignment On Land Acquisition For Development For Public Interest In Lampung Province,2021-04-13 08:04:43,,public,http://repository.lppm.unila.ac.id/id/eprint/29309,FALSE,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 29309, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43429', 'docid': 43429, 'main': 'IJBEL24-555 UPIK H.pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 259738, 'hash': '8621e602e3041da82547b1bc2f0aaf4b', 'filename': 'IJBEL24-555 UPIK H.pdf', 'hash_type': 'MD5', 'mtime': '2021-04-13 04:48:22', 'datasetid': 'document', 'filesize': 134270, 'objectid': 43429, 'uri': 'http://repository.lppm.unila.ac.id/id/file/259738'}]}]",67-71,769,disk0/00/02/93/09,,"International Journal of Business, Economics and Law","[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">upikhamidah21@gmail.com</font></font>'}]",,,,,,,,,,,
3,,,['K1'],Hasil Peneilaian Sejawat Sebidang atau Peer Review,archive,,,34841,,pub,KLIBEL,2021-11-02 08:45:57,2021-11-02 08:45:57,1970-01-01 00:00:00.000002021,,,['FH2'],,,,article,6,,show,The Court's Authority Over Cash Payment And Consignment On Land Acquisition For Development For Public Interest In Lampung Province,2021-11-02 08:45:57,,public,http://repository.lppm.unila.ac.id/id/eprint/34841,FALSE,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/155524', 'rev_number': 1, 'main': 'the.pdf', 'docid': 155524, 'files': [{'mime_type': 'application/pdf', 'fileid': 408505, 'filename': 'the.pdf', 'hash': '6846bffd79213f0aba580357a4a61a9e', 'mtime': '2021-11-02 07:10:45', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 419533, 'objectid': 155524, 'uri': 'http://repository.lppm.unila.ac.id/id/file/408505'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 34841, 'placement': 1, 'security': 'public'}]",,769,disk0/00/03/48/41,,"International Journal of Business, Economics and Law","[{'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,,,,,,,,,,
4,,,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,archive,,,39333,,pub,,2022-02-16 01:16:24,2022-02-16 01:16:24,1970-01-01 00:00:00.000002021,,,['FH2'],,,,conference_item,7,,show,Destructive Fishing Treatment Policy Based on Community Supervision in Lampung Province,2022-02-16 01:16:24,,public,http://repository.lppm.unila.ac.id/id/eprint/39333,FALSE,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/160616', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'fileid': 442503, 'mime_type': 'application/pdf', 'mtime': '2022-02-15 09:27:08', 'hash_type': 'MD5', 'hash': 'c2a6d79b4c1cb6a3d17f06772aae9e40', 'filename': 'Reviewer Destructive.pdf', 'datasetid': 'document', 'filesize': 369726, 'objectid': 160616, 'uri': 'http://repository.lppm.unila.ac.id/id/file/442503'}], 'docid': 160616, 'main': 'Reviewer Destructive.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 39333}]",,318,disk0/00/03/93/33,,,"[{'name': {'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">mayashafira@fh.unila.ac.id</font></font>'}]",paper,conference,Proceeding ICETLAWBE 2020,,,,,,,,
5,,,['K1'],Hasil Check Similarity,archive,,,37118,,pub,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Penerbit Cendekia Timur Tengah, Dubai, Uni Emirat Arab</font></font>",2021-12-03 01:06:48,2021-12-03 01:06:48,1970-01-01 00:00:00.000002021,,,['FH2'],,,,article,6,,show,Distribution of Land Bank Assets Post Application of the Copyration Law in Realizing Equality Development in Indonesia,2021-12-03 01:06:48,,public,http://repository.lppm.unila.ac.id/id/eprint/37118,FALSE,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/158029', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'mime_type': 'application/pdf', 'fileid': 425549, 'filename': 'Distribution_of_Land_Bank_Assets_Post_Application_.pdf', 'hash': 'b6bf9f436231631ee5683222145198a4', 'hash_type': 'MD5', 'mtime': '2021-12-02 06:42:26', 'datasetid': 'document', 'filesize': 2247735, 'objectid': 158029, 'uri': 'http://repository.lppm.unila.ac.id/id/file/425549'}], 'main': 'Distribution_of_Land_Bank_Assets_Post_Application_.pdf', 'docid': 158029, 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 37118}]",,769,disk0/00/03/71/18,,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Jurnal Internasional Sarjana Hukum, Kejahatan dan Keadilan</font></font>","[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,,,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">2617-3484 (Online)</font></font>",,,,,,,
6,,,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,archive,,,39367,,pub,PUSAKA MEDIA Anggota IKAPI No. 008/LPU/2020,2022-02-16 01:17:09,2022-02-16 01:17:09,2021-11-01 00:00:00.000000000,,,['FH2'],ENDEKATAN HUKUM HUMANIS BERBASIS PANCASILA DALAM PENEGAKAN HUKUM TERHADAP ANAK PELAKU TINDAK PIDANA EXTRA ORDINARY,,,book_section,7,,show,ENDEKATAN HUKUM HUMANIS BERBASIS PANCASILA DALAM PENEGAKAN HUKUM TERHADAP ANAK PELAKU TINDAK PIDANA EXTRA ORDINARY,2022-02-16 01:17:09,,public,http://repository.lppm.unila.ac.id/id/eprint/39367,FALSE,"[{'placement': 1, 'security': 'public', 'eprintid': 39367, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 160649, 'uri': 'http://repository.lppm.unila.ac.id/id/file/442730', 'fileid': 442730, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-02-16 00:39:39', 'hash': '9ebcd68f080206673d303896604265b3', 'filename': 'REVIEW PENDEKATAN.pdf', 'datasetid': 'document', 'filesize': 558154}], 'main': 'REVIEW PENDEKATAN.pdf', 'docid': 160649, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160649', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",,114,disk0/00/03/93/67,,,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">rini.fathonah@fh.unila.ac.id</font></font>'}]",,,,,,,,,,,
7,,,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,archive,,,39368,,pub,IJBEL,2022-02-16 01:17:10,2022-02-16 01:17:10,1970-01-01 00:00:00.000002021,,,['FH2'],,,,article,6,,show,Formulation Of Diversion In National And International Law  Instruments,2022-02-16 01:17:10,,public,http://repository.lppm.unila.ac.id/id/eprint/39368,FALSE,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160650', 'rev_number': 1, 'docid': 160650, 'main': 'REVIEW FORMULATION.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/442736', 'objectid': 160650, 'hash_type': 'MD5', 'mtime': '2022-02-16 00:43:57', 'hash': '8c793216f7a187eb0d9879ab7ef3d454', 'filename': 'REVIEW FORMULATION.pdf', 'fileid': 442736, 'mime_type': 'application/pdf', 'filesize': 597862, 'datasetid': 'document'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 39368, 'security': 'public', 'placement': 1}]",,114,disk0/00/03/93/68,,"International Journal of Business, Economics and Law","[{'name': {'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">rini.fathonah@fh.unila.ac.id</font></font>'}]",,,,,,,,,,,
8,,,['K1'],Hasil Chcek Similarity,archive,,,39670,,pub,IJBEL,2022-02-21 07:39:22,2022-02-21 07:39:22,1970-01-01 00:00:00.000002021,,,['FH2'],,,,article,6,,show,Formulation Of Diversion In National And International Law  Instruments,2022-02-21 07:39:22,,public,http://repository.lppm.unila.ac.id/id/eprint/39670,FALSE,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 39670, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160947', 'docid': 160947, 'main': 'FORMULATION_OF_DIVERSION_IN_NATIONAL_AND_INTERNATI.pdf', 'files': [{'objectid': 160947, 'uri': 'http://repository.lppm.unila.ac.id/id/file/445144', 'datasetid': 'document', 'filesize': 1792853, 'mime_type': 'application/pdf', 'fileid': 445144, 'filename': 'FORMULATION_OF_DIVERSION_IN_NATIONAL_AND_INTERNATI.pdf', 'hash': 'e9c1258d691431eaa2a820d38eaba02c', 'hash_type': 'MD5', 'mtime': '2022-02-21 06:09:48'}]}]",,114,disk0/00/03/96/70,,"nternational Journal of Business, Economics and Law","[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">rini.fathonah@fh.unila.ac.id</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None}}]",,,,,,,,,,,
9,,,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,archive,,,39324,,pub,"Ministry of Research, Technology, and Higher Education of the Republic of Indonesia,",2022-02-16 01:16:09,2022-02-16 01:16:09,1970-01-01 00:00:00.000002021,,,['FH2'],,,,article,6,,show,Illegal Fishing: Optimalisasi Kebijakan Penegakan Hukum Pidana Sebagai Primum Remedium,2022-02-16 01:16:09,,public,http://repository.lppm.unila.ac.id/id/eprint/39324,FALSE,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/160607', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/442446', 'objectid': 160607, 'filename': 'Reviewer Illegal.pdf', 'hash': '95bd5247ea91c8369aa12d6d7fb0e8a5', 'mtime': '2022-02-15 08:49:46', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 442446, 'filesize': 403833, 'datasetid': 'document'}], 'docid': 160607, 'main': 'Reviewer Illegal.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 39324}]",,318,disk0/00/03/93/24,,Jurnal Wawasan Yuridika,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">mayashafira@fh.unila.ac.id</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,,,,,,,,,,
