,eprintid,status_changed,eprint_status,subjects,abstract,title,rev_number,metadata_visibility,type,divisions,publication,creators,issn,dir,date,userid,lastmod,datestamp,ispublished,documents,publisher,uri,full_text_status,refereed,book_title
0,50783,2023-04-27 06:15:35,archive,['K1'],Hasil Check Similarity,Principles of Islamic Sharia Economic Law in Facing the Challenges of Global Competition,6,show,article,['FH2'],American Journal of Humanities and Social Sciences Research (AJHSSR),"[{'name': {'given': 'APRILIANTI', 'lineage': None, 'family': 'APRILIANTI', 'honourific': None}}, {'name': {'given': 'Kasmawati', 'family': 'Kasmawati', 'honourific': None, 'lineage': None}}]",2378-703X,disk0_bak/00/05/07/83,2023,707,2023-04-27 06:15:35,2023-04-27 06:15:35,pub,"[{'main': 'Principles of Islamic Sharia Economic.pdf', 'docid': 190491, 'files': [{'objectid': 190491, 'uri': 'http://repository.lppm.unila.ac.id/id/file/547063', 'mime_type': 'application/pdf', 'fileid': 547063, 'filename': 'Principles of Islamic Sharia Economic.pdf', 'hash': '0bf2e1ef9b450ed76d971acb7537aa0f', 'hash_type': 'MD5', 'mtime': '2023-04-27 04:51:08', 'datasetid': 'document', 'filesize': 1650056}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190491', 'eprintid': 50783, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",AJHSSR,http://repository.lppm.unila.ac.id/id/eprint/50783,public,FALSE,
1,51952,2023-05-22 06:18:34,archive,['K1'],,EKSISTENSI DAN PENGARUH PEMBERI BANTUAN HUKUM DALAM MEMBERIKAN PELAYANAN HUKUM PIDANA KEPADA ORANG MISKIN SECARA GRATIS,6,show,article,['FH2'],EKSISTENSI DAN PENGARUH PEMBERI BANTUAN HUKUM DALAM MEMBERIKAN PELAYANAN HUKUM PIDANA KEPADA ORANG MISKIN SECARA GRATIS,"[{'id': 'budi.rizki@fh.unila.ac.id', 'name': {'given': 'Husin', 'lineage': None, 'honourific': None, 'family': 'Budi Rizki'}}]",,disk0_bak/00/05/19/52,2023,292,2023-05-22 06:18:34,2023-05-22 06:18:34,submitted,"[{'placement': 1, 'security': 'public', 'eprintid': 51952, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/615548', 'objectid': 251306, 'filesize': 1043512, 'datasetid': 'document', 'filename': 'Penelitian Dasar 2023.pdf', 'hash': 'f982b1db63f5ed2d7773c38df96e726d', 'mtime': '2023-05-22 06:02:24', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 615548}], 'main': 'Penelitian Dasar 2023.pdf', 'docid': 251306, 'uri': 'http://repository.lppm.unila.ac.id/id/document/251306', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",LPPM UNILA,http://repository.lppm.unila.ac.id/id/eprint/51952,public,FALSE,
2,51968,2023-05-23 09:44:49,archive,['K1'],,SISTEM PERADILAN PIDANA DI INDONESIA,9,show,book_section,['FH2'],,"[{'name': {'given': 'Husin', 'honourific': None, 'family': 'Budi Rizki', 'lineage': None}, 'id': 'budi.rizki@fh.unila.ac.id'}]",,disk0_bak/00/05/19/68,2023,292,2023-05-23 09:44:49,2023-05-23 09:44:49,pub,"[{'files': [{'objectid': 251392, 'uri': 'http://repository.lppm.unila.ac.id/id/file/615738', 'datasetid': 'document', 'filesize': 322056, 'fileid': 615738, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-05-23 03:37:58', 'filename': 'Buku- SPP.pdf', 'hash': '6cd6b50de8a3a64315823c565546cb4a'}], 'docid': 251392, 'main': 'Buku- SPP.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/251392', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 51968, 'mime_type': 'application/pdf', 'language': 'en'}]",Heroes FC,http://repository.lppm.unila.ac.id/id/eprint/51968,public,FALSE,SISTEM PERADILAN PIDANA DI INDONESIA
3,50995,2023-05-03 06:57:34,archive,['K1'],Hasil Check Similarity,REGULATION OF NON-PHYSICAL SEXUAL VIOLENCE IN INDONESIA (ANALYSIS OF LAW NUMBER 12 OF 2022 CONCERNING SEXUAL VIOLENCE),6,show,article,['FH2'],International Journal of Advanced Research (IJAR),"[{'id': 'dona.raisa@fh.unila.ac.id', 'name': {'lineage': None, 'family': 'Dona', 'honourific': None, 'given': 'Raisa Monica'}}]",,disk0_bak/00/05/09/95,2023,37,2023-05-03 06:57:34,2023-05-03 06:57:34,pub,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/190705', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/548588', 'objectid': 190705, 'filesize': 1511438, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2023-05-03 03:35:16', 'hash': 'a18aa462e79624dea41464615f3b965a', 'filename': 'REGULATION OF NON-PHYSICAL SEXUAL VIOLENCE IN INDONESIA.pdf', 'fileid': 548588, 'mime_type': 'application/pdf'}], 'main': 'REGULATION OF NON-PHYSICAL SEXUAL VIOLENCE IN INDONESIA.pdf', 'docid': 190705, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 50995}]",IJAR,http://repository.lppm.unila.ac.id/id/eprint/50995,public,FALSE,
4,50991,2023-05-03 06:57:15,archive,['K1'],,Pembangunan Dan Pemberdayaan Masyarakat Desa Melalui Badan Usaha Milik Desa (Bumdes,7,show,book_section,['FH2'],,"[{'name': {'lineage': None, 'family': 'Kasmawati', 'honourific': None, 'given': 'Kasmawati'}}]",,disk0_bak/00/05/09/91,2023,61,2023-05-03 06:57:15,2023-05-03 06:57:15,pub,"[{'docid': 190702, 'main': 'Dinamika Hk.pdf', 'files': [{'objectid': 190702, 'uri': 'http://repository.lppm.unila.ac.id/id/file/548564', 'mime_type': 'application/pdf', 'fileid': 548564, 'hash': '056881a53fb0d66ba930e6c5f0a6307a', 'filename': 'Dinamika Hk.pdf', 'mtime': '2023-05-03 03:26:32', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 4875694}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190702', 'rev_number': 1, 'eprintid': 50991, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",PUSAKA MEDIA Anggota IKAPI No. 008/LPU/2020,http://repository.lppm.unila.ac.id/id/eprint/50991,public,FALSE,DINAMIKA PEMBARUAN HUKUM
5,50989,2023-05-03 06:57:07,archive,['K1'],,Pendirian Badan Usaha Milik Desa (Bumdes) Untuk Mewujudkan Kemandirian Ekonomi Dan Kesejahteraan Masyarakat Desa,7,show,book_section,['FH2'],,"[{'name': {'honourific': None, 'family': 'Kasmawati', 'lineage': None, 'given': 'Kasmawati'}}]",,disk0_bak/00/05/09/89,2023,61,2023-05-03 06:57:07,2023-05-03 06:57:07,pub,"[{'eprintid': 50989, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 190700, 'main': 'Hk Pidana Perdata.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/548550', 'objectid': 190700, 'hash': '573f1488ac2075b9b3b5d59c3b96a6fe', 'filename': 'Hk Pidana Perdata.pdf', 'mtime': '2023-05-03 03:24:47', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 548550, 'filesize': 2285590, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190700'}]",PUSAKA MEDIA Anggota IKAPI No. 008/LPU/2020,http://repository.lppm.unila.ac.id/id/eprint/50989,public,FALSE,GAGASAN PEMBAHARUAN HUKUM PIDANA DAN PERDATA
6,50993,2023-05-03 06:57:22,archive,['K1'],,Pertimbangan Hakim Dalam Menentukan Besarnya Pembayaran Uang Pengganti Dalam Perkara Tindak Pidana Korupsi Mewujudkan Keadilan Berdasarkan Pancasila,7,show,book_section,['FH2'],,"[{'name': {'lineage': None, 'family': 'Kasmawati', 'honourific': None, 'given': 'Kasmawati'}}]",,disk0_bak/00/05/09/93,2023,61,2023-05-03 06:57:22,2023-05-03 06:57:22,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 50993, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/548575', 'objectid': 190704, 'filesize': 4512764, 'datasetid': 'document', 'filename': 'HK. PANCA.pdf', 'hash': 'ff53951194dcbab76713444ea092437e', 'mtime': '2023-05-03 03:28:03', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 548575}], 'main': 'HK. PANCA.pdf', 'docid': 190704, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190704', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",PUSAKA MEDIA Anggota IKAPI No. 008/LPU/2020,http://repository.lppm.unila.ac.id/id/eprint/50993,public,FALSE,HUKUM PANCASILA DAN GLOBALISASI
7,50980,2023-05-03 06:52:32,archive,['K1'],Hasil Check Korespondensi,Urgency of Protection of Intellectual Property Rights in the Era of Economic Globalization,6,show,article,['FH2'],International Journal of Social Science And Human Research,"[{'name': {'lineage': None, 'family': 'Kasmawati', 'honourific': None, 'given': 'Kasmawati'}}]","ISSN(print): 2644-0679, ISSN(online): 2644-0695",disk0_bak/00/05/09/80,2023,61,2023-05-03 06:52:32,2023-05-03 06:52:32,pub,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/548494', 'objectid': 190692, 'filesize': 934849, 'datasetid': 'document', 'hash': '2fe9f358b13c7d6a3d209b3847930d5d', 'filename': 'Korespondesi Kasma.pdf', 'mtime': '2023-05-03 02:52:33', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 548494}], 'main': 'Korespondesi Kasma.pdf', 'docid': 190692, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190692', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 50980, 'language': 'en', 'mime_type': 'application/pdf'}]",International Journal of Social Science And Human Research,http://repository.lppm.unila.ac.id/id/eprint/50980,public,FALSE,
8,51345,2023-05-10 03:36:47,archive,['K1'],Hasil Check Similarity,Legal Protection And Regulation Of Telemedicine Health Service Users In The Era Of Globalization,6,show,article,['FH2'],"International Journal of Current Researches in Sciences, Social Sciences and Languages,","[{'name': {'honourific': None, 'family': 'Kasmawati', 'lineage': None, 'given': 'Kasmawati'}}, {'name': {'given': 'Eka Rusmawati', 'lineage': None, 'family': 'Dianne', 'honourific': None}}]",,disk0_bak/00/05/13/45,2023,61,2023-05-10 03:36:47,2023-05-10 03:36:47,pub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/248084', 'format': 'text', 'pos': 1, 'files': [{'filesize': 4722480, 'datasetid': 'document', 'mtime': '2023-05-10 03:30:49', 'hash_type': 'MD5', 'hash': '3db3f97f2adab301d61cbf13294a6d2e', 'filename': 'Legal Protection And Regulation.pdf', 'fileid': 608278, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/608278', 'objectid': 248084}], 'main': 'Legal Protection And Regulation.pdf', 'docid': 248084, 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 51345}]",IJCRSSSL,http://repository.lppm.unila.ac.id/id/eprint/51345,public,FALSE,
9,51129,2023-05-08 02:03:47,archive,['K1'],Hasil Check Similarity,Urgency of Protection of Intellectual Property Rights in the Era of Economic Globalization,6,show,article,['FH2'],International Journal of Social Science And Human Research,"[{'id': None, 'name': {'given': 'Kasmawati', 'honourific': None, 'family': 'Kasmawati', 'lineage': None}}, {'id': 'iwiranata@yahoo.com', 'name': {'given': 'gede', 'family': 'I Gede AB Wiranata', 'honourific': None, 'lineage': None}}]","ISSN(print): 2644-0679, ISSN(online): 2644-0695",disk0_bak/00/05/11/29,2023,61,2023-05-08 02:03:47,2023-05-08 02:03:47,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 51129, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190847', 'docid': 190847, 'main': 'Urgency of Protection of Intellectual Property.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/549638', 'objectid': 190847, 'hash_type': 'MD5', 'mtime': '2023-05-06 01:38:30', 'hash': 'f16b6bf3140cee49bca2310c935b83ff', 'filename': 'Urgency of Protection of Intellectual Property.pdf', 'fileid': 549638, 'mime_type': 'application/pdf', 'filesize': 2003574, 'datasetid': 'document'}]}]",International Journal of Social Science And Human Research,http://repository.lppm.unila.ac.id/id/eprint/51129,public,FALSE,
