,event_type,rev_number,metadata_visibility,title,subjects,status_changed,eprint_status,event_title,eprintid,full_text_status,uri,refereed,ispublished,pres_type,documents,datestamp,pagerange,lastmod,userid,date,dir,creators,divisions,type,publisher,corp_creators,issn,publication,abstract,number,keywords,volume,official_url,date_type,event_location,event_dates,pages,contact_email,editors,isbn,place_of_pub,related_url,funders,projects,id_number
0,conference,7,show,Globalisasi dan Pembaharuan Sistem Hukum Perkawinan Indonesia (Pendekatan Hukum Islam),['K1'],2019-08-01 07:37:09,archive,Prosiding Seminar Nasional Laboratorium Hukum Fakultas Hukum Universitas Lampung,13491,public,http://repository.lppm.unila.ac.id/id/eprint/13491,FALSE,pub,paper,"[{'files': [{'objectid': 26500, 'uri': 'http://repository.lppm.unila.ac.id/id/file/117970', 'fileid': 117970, 'mime_type': 'application/pdf', 'mtime': '2019-07-10 04:32:20', 'hash_type': 'MD5', 'filename': 'amnawati prosiding (Globalisasi dan Pembaharuan Sistem Hukum Pe.pdf', 'hash': 'd46f00f8ecf53490d3634917718dec24', 'datasetid': 'document', 'filesize': 1363203}], 'docid': 26500, 'main': 'amnawati prosiding (Globalisasi dan Pembaharuan Sistem Hukum Pe.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26500', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 13491, 'language': 'en', 'mime_type': 'application/pdf'}]",2019-08-01 07:37:09,179-186,2019-08-01 07:37:09,955,2011-05-01 00:00:00.000000000,disk0/00/01/34/91,"[{'name': {'given': 'S.H., M.H', 'lineage': None, 'honourific': None, 'family': 'Amnawaty'}, 'id': 'amnawaty@yahoo.com'}]",['FH3'],conference_item,,,,,,,,,,,,,,,,,,,,,
1,,6,show,Peran Kecamatan Sebagai Perangkat Daerah Dalam Pelayanan Pertanahan (Studi pada Kecamatan Tanjung Karang Timur),['K1'],2019-08-08 02:38:23,archive,,13753,public,http://repository.lppm.unila.ac.id/id/eprint/13753,TRUE,pub,,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26764', 'main': 'peerreview upik peran kecamatan.pdf', 'docid': 26764, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/119923', 'objectid': 26764, 'filename': 'peerreview upik peran kecamatan.pdf', 'hash': '41279b6e44824e733971260acad460ff', 'mtime': '2019-08-08 02:09:14', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 119923, 'filesize': 318996, 'datasetid': 'document'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 13753, 'security': 'public', 'placement': 1}]",2019-08-08 02:38:23,,2019-08-08 02:38:23,769,2011-05-01 00:00:00.000000000,disk0/00/01/37/53,"[{'name': {'given': 'Upik', 'lineage': None, 'family': 'Hamidah', 'honourific': None}}]",['FH3'],article,Fakultas Hukum Universitas Lampung,['Universitas Lampung'],1978-5186,Fiat Justicia Jurnal Ilmu Hukum Fakultas Hukum Universitas Lampung,Hasil penilaian sejawat sebidang atau peer review,,,,,,,,,,,,,,,,
2,,6,show,Fungsionalisasi Hukum Dalam Masyarakat,['K1'],2018-10-26 10:03:36,archive,,8754,public,http://repository.lppm.unila.ac.id/id/eprint/8754,FALSE,pub,,"[{'docid': 21839, 'main': 'Fungsionalisasi-Hk-dlm-Masyarakat_Maroni.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2018-08-28 07:23:36', 'filename': 'Fungsionalisasi-Hk-dlm-Masyarakat_Maroni.pdf', 'hash': 'e3d349a049b98aab2a8bec9d4fcb53e8', 'fileid': 85309, 'mime_type': 'application/pdf', 'filesize': 5401258, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/85309', 'objectid': 21839}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21839', 'eprintid': 8754, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2018-10-26 10:03:36,1213-1239,2018-10-26 10:03:36,807,2011-10-01 00:00:00.000000000,disk0/00/00/87/54,"[{'name': {'given': 'Maroni', 'honourific': None, 'family': 'Maroni', 'lineage': None}, 'id': 'maroniunila@gmail.com'}]",['FH3'],article,Fakultas Hukum Universitas Pasundan,['Universitas Pasundan'],0853-7100,Ilmu Hukum Litigasi,"Semua masyarakat membutuhkan hukum yang sesuai dengan atmosfirnya. Bangsa Indonesia yang besifat komunal, tentunya model hukumnya tidak bisa disamakan dengan model hukum bangsa belanda (eropa) yang besifat individual. Carut marutnya kehidupan hukum di Indonesia saat ini karena adanya ketidakcocokan hukum yang berlaku sebagai produk cara berpikir doctrinal warisan colonial belanda. Permasalahan dalam tulisan ini yaitu bagaimanakah menjadi hukum yang berfungsi bagi masyarakat, seperti berfungsinya oxygen bagi manusia. Hasil kajiannya bahwa agar hukum dapat menjawab kepentingan masyarakatnya, maka hukum paling tidak dapat berfungsi sebagai : (1) bagian dari system control ;(2) alat penyelesaian sengketa ;(3) fungsi redistribusi atau fungsi rekayasa sosial. Dalam kaitannya dengan kepentingan hukum bangsa Indonesia, maka system hukum harus bersifat humanistic berdasarkan pancasila.",2.0,"Hukum, Masyarakat, dan Fungsi Hukum",12,http://journal.unpas.ac.id/index.php/litigasi/issue/archive?issuesPage=3#issues,published,,,,,,,,,,,
3,,6,show,"PANCASILA SEBAGAI MARGIN OF APPRECIATION PEMBANGUNAN
 HUKUM DI INDONESIA",['K1'],2018-10-26 10:08:55,archive,,8757,public,http://repository.lppm.unila.ac.id/id/eprint/8757,FALSE,pub,,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 8757, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21842', 'format': 'text', 'pos': 1, 'files': [{'mime_type': 'application/pdf', 'fileid': 85328, 'hash': '470b2237e1d7dcd748788eb60e5c12e4', 'filename': 'Pancasila-sebagai-margin-of-appreciation_maroni.pdf', 'mtime': '2018-08-28 08:16:57', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 5562739, 'objectid': 21842, 'uri': 'http://repository.lppm.unila.ac.id/id/file/85328'}], 'docid': 21842, 'main': 'Pancasila-sebagai-margin-of-appreciation_maroni.pdf'}]",2018-10-26 10:08:55,129-140,2018-10-26 10:08:55,807,2011-05-01 00:00:00.000000000,disk0/00/00/87/57,"[{'id': 'maroniunila@gmail.com', 'name': {'family': 'Maroni', 'honourific': None, 'lineage': None, 'given': 'Maroni'}}]",['FH3'],article,Fakultas Hukum Universitas Lampung,['Fakultas Hukum Universitas Lampung'],978-979-632-004-2,Pembangunan Hukum : Mewujudkan Agenda Reformasi Di era Globalisasi,"Sistem hukum suatu bangsa tidak dapat dilepaskan dari konteks manusianya Karen ahukum ada dan diperuntukan untuk kehidupan manusia, bangsa Indonesia hendak membangun sistem hukum yang berkarakterristik Indonesia ( system hukum pancasila), maka bangsa Indonesia dituntut untuk mengartikan tidak hanya terpaku dengan kerja logika-dedukatif semata yang masuk ranaj legalistic-dogmatik dan empiric-positivistik, melainkan juga untuk manusia dan masyarakat (logika-induktif). Pancasila sebagai ‘ margin of appreciation’ yaitu usaha untuk selalu menempatkan ideology Negara pancasila sebagi acuan atau rujukan dalam setiap langkah hukum, seperti proses pembuatan undang-undangan, proses penegakan hukum, penanaman kesadaran hukum rakyat, bahkan dalam penerapan uji materiil?(judicial review) yang dilakukan oleh mahkamah konstitusi.",,"Pembangunan hukum, Pancasila",,http://www.fh.unila.ac.id,published,,,,,,,,,,,
4,conference,7,show,Pembaharuan Pajak Daerah dalam Rangka Meningkatkan Pendpatan Asli Daerah,['K1'],2019-08-01 07:37:11,archive,Prosiding Penerbit Raboratorium Fakultas Hukum Unila,13658,public,http://repository.lppm.unila.ac.id/id/eprint/13658,FALSE,pub,paper,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 13658, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26671', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'filesize': 1352649, 'datasetid': 'document', 'filename': 'Nurmayani (Prosiding) Pembaharuan Pajak Daerah dalam Rangka Meningkatkan Pendapatan Asli Daerah.pdf', 'hash': 'e8bad14e189c215011128cc168a583ee', 'mtime': '2019-07-25 03:50:38', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 119198, 'uri': 'http://repository.lppm.unila.ac.id/id/file/119198', 'objectid': 26671}], 'docid': 26671, 'main': 'Nurmayani (Prosiding) Pembaharuan Pajak Daerah dalam Rangka Meningkatkan Pendapatan Asli Daerah.pdf'}]",2019-08-01 07:37:11,151-158,2019-08-01 07:37:11,921,2011-05-01 00:00:00.000000000,disk0/00/01/36/58,"[{'name': {'lineage': None, 'family': 'Nurmayani', 'honourific': None, 'given': 'Nurmayani'}}]",['FH3'],conference_item,,,,,,,,,,,Bandar Lampung,,,,,,,,,,
5,,6,show,pelaksanaan pemungutan pajak hotel dan kontribusinya terhadap pendapatan asli daerah kota bandar lampung,['K1'],2019-08-05 04:31:56,archive,,13710,public,http://repository.lppm.unila.ac.id/id/eprint/13710,TRUE,pub,,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 13710, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26721', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'hash': 'f45c97d2086994fee17fd8b0a30eab43', 'filename': 'peerreview pelaksanaan pemungutan.pdf', 'hash_type': 'MD5', 'mtime': '2019-08-05 04:15:06', 'mime_type': 'application/pdf', 'fileid': 119623, 'filesize': 253796, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/119623', 'objectid': 26721}], 'main': 'peerreview pelaksanaan pemungutan.pdf', 'docid': 26721}]",2019-08-05 04:31:56,,2019-08-05 04:31:56,921,1970-01-01 00:00:00.000002011,disk0/00/01/37/10,"[{'name': {'given': 'Nurmayani', 'lineage': None, 'family': 'Nurmayani', 'honourific': None}}]",['FH3'],article,Fakultas Hukum Universitas Lampung,['Universitas Lampung'],1978-5186,Fiat Justicia Jurnal Ilmu Hukum Fakultas Hukum Universitas Lampung,,,,,,published,,,,,,,,,,,
6,conference,7,show,pembaharuan pajak daerah dalam rangka meningkatkan pendapatan asli daerah,['K1'],2019-08-05 04:33:37,archive,Seminar nasional fakultas hukum universitas lampng,13711,public,http://repository.lppm.unila.ac.id/id/eprint/13711,TRUE,pub,paper,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 13711, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26722', 'main': 'peerreview pembharuan pajak.pdf', 'docid': 26722, 'files': [{'filename': 'peerreview pembharuan pajak.pdf', 'hash': 'ebbf4997a02b2d1cd95fbb6e9842f325', 'mtime': '2019-08-05 04:22:21', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 119630, 'filesize': 255217, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/119630', 'objectid': 26722}]}]",2019-08-05 04:33:37,,2019-08-05 04:33:37,921,1970-01-01 00:00:00.000002011,disk0/00/01/37/11,"[{'name': {'given': 'Nurmayani', 'honourific': None, 'family': 'Nurmayani', 'lineage': None}}]",['FH3'],conference_item,,['Universitas Lampung'],,,,,,,,published,,mei 2011,,,,,,,,,
7,,7,show,Hukum Humaniter Internasional,['K1'],2018-05-28 03:59:48,archive,,6919,public,http://repository.lppm.unila.ac.id/id/eprint/6919,TRUE,pub,,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 6919, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19892', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'fileid': 63453, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-05-21 07:04:46', 'filename': 'Scan Buku Hukum Humaniter.pdf', 'hash': '9972b5ce6ecb94d2445079edc47a6fa0', 'datasetid': 'document', 'filesize': 34833772, 'objectid': 19892, 'uri': 'http://repository.lppm.unila.ac.id/id/file/63453'}], 'main': 'Scan Buku Hukum Humaniter.pdf', 'docid': 19892}]",2018-05-28 03:59:48,,2018-05-28 03:59:48,282,2011-09-01 00:00:00.000000000,disk0/00/00/69/19,"[{'name': {'lineage': None, 'family': 'Putri', 'honourific': None, 'given': 'Ria Wierma'}}]",['FH3'],book,Universitas Lampung,['Universitas Lampung'],,,Buku ini merupakan buku teks untuk mata kuliah wajib hukum humaniter yang memberikan deskripsi mendasar mengenai hukum humaniter internasional yang berlaku.,,,,,published,,,93.0,riawierma.putri@fh.unila.ac.id,"[{'name': {'given': 'Heryandi', 'family': 'Heryandi', 'honourific': None, 'lineage': None}, 'id': 'heryandi.1962@fh.unila.ac.id'}]",978-602-7509-05-4,Bandar Lampung,,,,
8,,6,show,Kompetensi Hakim Konstitusi dalam Penafsiran Konstitusi,['K1'],2019-08-25 17:08:00,archive,,13925,public,http://repository.lppm.unila.ac.id/id/eprint/13925,TRUE,pub,,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 13925, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26959', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/121412', 'objectid': 26959, 'hash_type': 'MD5', 'mtime': '2019-08-23 02:35:47', 'filename': '2011 11 Kompetensi Hakim Konstitusi dalam Penafsiran Konstitusi (Studi Kasus Makna Pasal 24C Ayat (1) UUD 1945 dalam hal SKLN, Jurnal Konstitusi.pdf', 'hash': '57dbfcf57d088a59e1badea575550c75', 'fileid': 121412, 'mime_type': 'application/pdf', 'filesize': 234562, 'datasetid': 'document'}], 'docid': 26959, 'main': '2011 11 Kompetensi Hakim Konstitusi dalam Penafsiran Konstitusi (Studi Kasus Makna Pasal 24C Ayat (1) UUD 1945 dalam hal SKLN, Jurnal Konstitusi.pdf'}]",2019-08-25 17:08:00,69-85,2019-08-25 17:08:00,235,2011-11-01 00:00:00.000000000,disk0/00/01/39/25,"[{'id': 'zulkarnain.ridlwan@fh.unila.ac.id', 'name': {'honourific': None, 'family': 'Ridlwan', 'lineage': None, 'given': 'Zulkarnain'}}]",['FH3'],article,Pusat Kajian Konstitusi dan Peraturan Perundang-undangan FH Unila,,,Jurnal Konstitusi,"Tujuan  penulisan  ini  adalah  untuk  menegaskan  kewenangan  menafsirkan  ketentuan 
konstitusi oleh  Mahmakah  Konstitusi  (MK) dengan  mengambil  studi  kasus  pada Sengketa 
Kewenangan Lembaga Negara  (SKLN)  dalam  ketentuan Pasal  24C  ayat  (1)  UUD  1945.
Berdasarkan  pada  metode  penulisan  hukum  normatif  dan  mengamati  kenyataan dalam 
perkembangan ketatanegaraan  Indonesia,  disimpulkan  bahwa  kewenangan  menafsirkan 
konstitusi hendaknya diserahkan  kepada  MK sesuai  dengan politik  hukum  dibentuknya  MK
baik dalam Perdebatan Perubahan UUD 1945 maupun dalam Undang-Undang MK Nomor 24 
Tahun  2003.  MK  dibentuk sebagai  lembaga  penafsir  konstitusi  guna  menghindari  makna 
ganda  atas  suatu  ketentuan  konstitusi.  Untuk  menjalankan  kewenangan  penafsiran  yang 
strategis tersebut,  diperlukan  prasyarat  berupa  ketersediaan  sumber  daya  manusia  hakim 
konstitusi yang memiliki kredibilitas, profesionalitas, dan integritas. Terpenuhinya prasyarat 
tersebut,  menjadi  jaminan  penafsiran  konstitusi  yang  benar  guna  menegakkan  hukum  dan 
mewujudkan keadilan.",2.0,,III,,published,,,,,,,,,,,
9,,6,show,Model Pengawasan Pemilukada Berbasis Pelibatan Masyarakat,['K1'],2019-08-25 17:06:54,archive,,13924,public,http://repository.lppm.unila.ac.id/id/eprint/13924,TRUE,pub,,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26957', 'pos': 1, 'format': 'text', 'files': [{'objectid': 26957, 'uri': 'http://repository.lppm.unila.ac.id/id/file/121401', 'datasetid': 'document', 'filesize': 177386, 'mime_type': 'application/pdf', 'fileid': 121401, 'hash': '6cddf311bb0dd92404a89646e3c28a39', 'filename': '2011 06 Model Pengawasan Pilkada, Jurnal Konsitusi.pdf', 'hash_type': 'MD5', 'mtime': '2019-08-23 02:25:42'}], 'docid': 26957, 'main': '2011 06 Model Pengawasan Pilkada, Jurnal Konsitusi.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 13924}]",2019-08-25 17:06:54,37-56,2019-08-25 17:06:54,235,2011-06-01 00:00:00.000000000,disk0/00/01/39/24,"[{'id': 'zulkarnain.ridlwan@fh.unila.ac.id', 'name': {'honourific': None, 'family': 'Ridlwan', 'lineage': None, 'given': 'Zulkarnain'}}]",['FH3'],article,Pusat Kajian Konstitusi dan Peraturan Perundang-undangan FH Unila,,,Jurnal Konstitusi,"The  purpose  of  this  paper  is  to  propose  an  alternative  model  of  regional head 
election supervision. The method used in this paper is normative research method,
descriptively.  By  analyzing  the  model  of  election  monitoring  in  Indonesia  ever 
valid,  it  is  worth  to  apply  for regional  head electoral  supervision  model-based  of 
community  involvement,  especially  the  voters.  People  is  positioned  as  the 
spearhead  of  supervision  while  coordinating  with  the  regulatory  agency  that  is 
formal in terms of administrative compliance.",1.0,,III,,published,,,,,,,,,,,
