,creators,dir,type,divisions,publisher,documents,ispublished,uri,full_text_status,lastmod,userid,datestamp,eprintid,title,metadata_visibility,rev_number,eprint_status,status_changed,abstract,subjects,refereed,monograph_type,publication,issn,official_url,volume,pres_type,event_title,event_type,event_location,event_dates,succeeds,editors,isbn,date_type,corp_creators,pagerange,keywords,related_url,number,book_title,pages,place_of_pub,institution,department,contributors,referencetext,id_number,contact_email,series
0,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Abdul Mutolib', 'given': 'Mutolib, Abdul'}, 'id': None}, {'id': None, 'name': {'given': 'Rahmat, Ali', 'lineage': None, 'family': 'Ali Rahmat', 'honourific': None}}, {'name': {'family': 'Helvi Yanfika', 'honourific': None, 'lineage': None, 'given': 'HY'}, 'id': 'helviyanfika@yahoo.co.id'}, {'id': None, 'name': {'given': 'IL', 'lineage': None, 'honourific': None, 'family': 'Indah Listiana'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Rudy', 'given': 'Rudy'}, 'id': 'rudy.1981@fh.unila.ac.id'}, {'id': None, 'name': {'given': 'YH', 'lineage': None, 'honourific': None, 'family': 'Yoyon Haryanto'}}]",disk0/00/04/15/66,other,['FH3'],IOP Conference: Earth and Environment Science (Ulicoste 2020),"[{'files': [{'mtime': '2022-05-10 16:14:04', 'hash_type': 'MD5', 'hash': 'dba335935cb2bbabe11c623a946c673c', 'filename': 'Mutolib_2021_IOP_Conf._Ser.__Earth_Environ._Sci._739_012041 (1).pdf-RudyRudy.pdf', 'fileid': 460040, 'mime_type': 'application/pdf', 'filesize': 861509, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/460040', 'objectid': 163226}], 'docid': 163226, 'main': 'Mutolib_2021_IOP_Conf._Ser.__Earth_Environ._Sci._739_012041 (1).pdf-RudyRudy.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/163226', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 41566, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,http://repository.lppm.unila.ac.id/id/eprint/41566,public,2022-05-11 01:29:14,347,2022-05-11 01:29:14,41566,"Hasil Similarity_Level of income, knowledge, and impact of climate change on fishing household in Limau Subdistrict, Tanggamus Regency",show,8,archive,2022-05-11 01:29:14,"Hasil Similarity Prosiding Level of income, knowledge, and impact of climate change on fishing household in Limau Subdistrict, Tanggamus Regency",['K1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[{'id': None, 'name': {'family': 'Abdul Mutolib', 'honourific': None, 'lineage': None, 'given': 'Mutolib, Abdul'}}, {'name': {'given': 'Rahmat, Ali', 'honourific': None, 'family': 'Ali Rahmat', 'lineage': None}, 'id': None}, {'id': 'helviyanfika@yahoo.co.id', 'name': {'given': 'Helvi', 'lineage': None, 'family': 'Yanfika', 'honourific': None}}, {'name': {'family': 'Listiana', 'honourific': None, 'lineage': None, 'given': 'Indah'}, 'id': 'indahlistiana@yahoo.com'}, {'id': 'rudy.1981@fh.unila.ac.id', 'name': {'given': 'Rudy', 'lineage': None, 'honourific': None, 'family': 'Rudy'}}, {'id': None, 'name': {'lineage': None, 'family': 'Yoyon Haryanto', 'honourific': None, 'given': 'YH'}}]",disk0/00/04/14/65,other,['FH3'],IOP Conference: Earth and Environment Science (Ulicoste 2020),"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 41465, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163099', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'objectid': 163099, 'uri': 'http://repository.lppm.unila.ac.id/id/file/459276', 'mime_type': 'application/pdf', 'fileid': 459276, 'hash': 'fa73a306870539dfa5dd87a53df61e59', 'filename': 'Lembar Penilaian Level Of Income Knowledge and Impact Change on Fishing Household in Limau Subdistrict Tanggamus Regency.pdf', 'hash_type': 'MD5', 'mtime': '2022-04-26 14:45:33', 'datasetid': 'document', 'filesize': 2477734}], 'main': 'Lembar Penilaian Level Of Income Knowledge and Impact Change on Fishing Household in Limau Subdistrict Tanggamus Regency.pdf', 'docid': 163099}]",pub,http://repository.lppm.unila.ac.id/id/eprint/41465,public,2022-04-27 00:59:56,347,2022-04-27 00:59:56,41465,"Hasil review_Level Of income, knowledge, and impact of climate change on fishing household in Limau Subdistrict,Tanggamus Regency",show,8,archive,2022-04-27 00:59:56,"Hasil review Prosiding Level Of income, knowledge, and impact of climate change on fishing household in Limau Subdistrict,Tanggamus Regency",['K1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[{'name': {'given': 'Arif Firmansyah', 'lineage': None, 'family': 'Ade', 'honourific': None}}]",disk0/00/01/53/29,book,['FH3'],AURA PRESS,"[{'placement': 1, 'security': 'public', 'eprintid': 15329, 'language': 'en', 'mime_type': 'image/png', 'files': [{'objectid': 28458, 'uri': 'http://repository.lppm.unila.ac.id/id/file/131940', 'mime_type': 'image/png', 'fileid': 131940, 'hash': 'b1b1a1db75596b3cf965eec85e4cae7d', 'filename': 'Cover Buku Kewarganegaraan.png', 'hash_type': 'MD5', 'mtime': '2019-11-04 07:21:52', 'datasetid': 'document', 'filesize': 219139}], 'docid': 28458, 'main': 'Cover Buku Kewarganegaraan.png', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28458', 'pos': 1, 'format': 'image'}]",pub,http://repository.lppm.unila.ac.id/id/eprint/15329,public,2019-11-04 07:48:22,1153,2019-11-04 07:48:22,15329,Hukum Kewarganegaraan,show,7,archive,2019-11-04 07:48:22,,['K1'],FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[{'name': {'given': 'Arif Firmansyah', 'lineage': None, 'honourific': None, 'family': 'Ade'}}]",disk0/00/01/53/24,book,['FH3'],AURA PRESS,"[{'eprintid': 15324, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Buku Lembaga Perwakilan_compressed.pdf', 'docid': 28452, 'files': [{'objectid': 28452, 'uri': 'http://repository.lppm.unila.ac.id/id/file/131888', 'datasetid': 'document', 'filesize': 675755, 'fileid': 131888, 'mime_type': 'application/pdf', 'mtime': '2019-11-04 07:16:33', 'hash_type': 'MD5', 'filename': 'Buku Lembaga Perwakilan_compressed.pdf', 'hash': '41da39692cc18b5b6972ae7717d49f3b'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28452', 'rev_number': 1}]",pub,http://repository.lppm.unila.ac.id/id/eprint/15324,public,2019-11-04 07:51:24,1153,2019-11-04 07:51:24,15324,Lembaga Perwakilan,show,7,archive,2019-11-04 07:51:24,,['K1'],FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Ade', 'given': 'Arif Firmansyah'}}]",disk0/00/01/36/57,monograph,['FH3'],Graha Ilmu,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 13657, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26670', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/119191', 'objectid': 26670, 'hash_type': 'MD5', 'mtime': '2019-07-23 12:34:42', 'filename': 'Buku Ade.pdf', 'hash': 'eb0a9d98ae87f489c3260d41c1e4d62d', 'fileid': 119191, 'mime_type': 'application/pdf', 'filesize': 878722, 'datasetid': 'document'}], 'docid': 26670, 'main': 'Buku Ade.pdf'}]",pub,http://repository.lppm.unila.ac.id/id/eprint/13657,public,2019-08-01 07:29:37,1153,2019-08-01 07:29:37,13657,"Pergeseran Pola Perlindungan Hukum dalam Pengadaan
Tanah Untuk Kepentingan Umum",show,7,archive,2019-08-01 07:29:37,,['K1'],,working_paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Ade', 'given': 'Arif Firmansyah'}}]",disk0/00/01/53/27,book,['FH3'],Graha Ilmu,"[{'placement': 1, 'security': 'public', 'eprintid': 15327, 'language': 'en', 'mime_type': 'image/png', 'files': [{'hash': '3f65b32c24ad5d17733ac32aa7a8f72d', 'filename': 'Cover Buku Pergeseran PH.png', 'mtime': '2019-11-04 07:20:49', 'hash_type': 'MD5', 'mime_type': 'image/png', 'fileid': 131919, 'filesize': 259840, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/131919', 'objectid': 28457}], 'main': 'Cover Buku Pergeseran PH.png', 'docid': 28457, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28457', 'pos': 1, 'format': 'image'}]",pub,http://repository.lppm.unila.ac.id/id/eprint/15327,public,2019-11-04 07:48:38,1153,2019-11-04 07:48:38,15327,Pergeseran Pola Perlindungan Hukum dalam Pengadaan Tanah untuk Kepentingan Umum,show,7,archive,2019-11-04 07:48:38,,['K1'],TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[{'name': {'family': 'Ade', 'honourific': None, 'lineage': None, 'given': 'Arif Firmansyah'}}]",disk0_bak/00/05/12/76,other,['FH3'],Kementerian Hukum dan HAM RI,"[{'files': [{'filename': '5. Sertifikat Hak Cipta Buku Pergeseran Pola Perlindungan Hukum.pdf', 'hash': '1bd4645962e2efd5b58528377c4962dc', 'hash_type': 'MD5', 'mtime': '2023-05-09 03:07:58', 'mime_type': 'application/pdf', 'fileid': 550791, 'filesize': 769693, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/550791', 'objectid': 191047}], 'docid': 191047, 'main': '5. Sertifikat Hak Cipta Buku Pergeseran Pola Perlindungan Hukum.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/191047', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 51276, 'language': 'en', 'mime_type': 'application/pdf'}]",pub,http://repository.lppm.unila.ac.id/id/eprint/51276,public,2023-05-09 03:09:36,1153,2023-05-09 03:09:36,51276,Sertifikat Hak Cipta Nomor: EC00202002846 Buku Pergeseran Pola Perlindungan Hukum Dalam Pengadaan Tanah Untuk Kepentingan Umum,show,7,archive,2023-05-09 03:09:36,,['K1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[{'name': {'family': 'Ade', 'honourific': None, 'lineage': None, 'given': 'Arif Firmansyah'}}]",disk0_bak/00/05/12/78,other,['FH3'],Kementerian Hukum dan HAM RI,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/191048', 'rev_number': 1, 'main': '7. Sertifikat Hak Cipta Buku Hukum Kewarganegaraan.pdf', 'docid': 191048, 'files': [{'hash': 'cdb7ce8b5226d6dd45fcb8eca0ba9d99', 'filename': '7. Sertifikat Hak Cipta Buku Hukum Kewarganegaraan.pdf', 'hash_type': 'MD5', 'mtime': '2023-05-09 03:10:20', 'mime_type': 'application/pdf', 'fileid': 550812, 'filesize': 769697, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/550812', 'objectid': 191048}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 51278, 'placement': 1, 'security': 'public'}]",pub,http://repository.lppm.unila.ac.id/id/eprint/51278,public,2023-05-09 04:06:29,1153,2023-05-09 04:06:29,51278,Sertifikat Hak Cipta Nomor: EC00202003394 Buku Hukum Kewarganegaraan,show,7,archive,2023-05-09 04:06:29,,['K1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[{'name': {'given': 'Arif Firmansyah', 'lineage': None, 'family': 'Ade', 'honourific': None}}]",disk0_bak/00/05/12/80,other,['FH3'],Kementerian Hukum dan HAM RI,"[{'security': 'public', 'placement': 1, 'eprintid': 51280, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'filename': '16. Sertifikat Hak Cipta Buku Hukum Pemerintahan Desa.pdf', 'hash': '78064c08c3f7bfcbda555dafc64c775f', 'hash_type': 'MD5', 'mtime': '2023-05-09 03:14:50', 'mime_type': 'application/pdf', 'fileid': 550826, 'filesize': 2069436, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/550826', 'objectid': 191050}], 'main': '16. Sertifikat Hak Cipta Buku Hukum Pemerintahan Desa.pdf', 'docid': 191050, 'uri': 'http://repository.lppm.unila.ac.id/id/document/191050', 'rev_number': 1, 'format': 'text', 'pos': 1}]",pub,http://repository.lppm.unila.ac.id/id/eprint/51280,public,2023-05-09 04:06:37,1153,2023-05-09 04:06:37,51280,Sertifikat Hak Cipta Nomor: EC00202162923 Buku Hukum Pemerintahan Desa,show,7,archive,2023-05-09 04:06:37,,['K1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Ade', 'given': 'Arif Firmansyah'}}]",disk0_bak/00/05/12/79,other,['FH3'],Kementerian Hukum dan HAM RI,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/191049', 'rev_number': 1, 'main': '15. Sertifikat Hak Cipta Buku Perancangan Peraturan.pdf', 'docid': 191049, 'files': [{'filesize': 2069262, 'datasetid': 'document', 'hash': '580aca12c482648b8c2215709e1a2488', 'filename': '15. Sertifikat Hak Cipta Buku Perancangan Peraturan.pdf', 'mtime': '2023-05-09 03:13:29', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 550819, 'uri': 'http://repository.lppm.unila.ac.id/id/file/550819', 'objectid': 191049}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 51279, 'security': 'public', 'placement': 1}]",pub,http://repository.lppm.unila.ac.id/id/eprint/51279,public,2023-05-09 04:06:35,1153,2023-05-09 04:06:35,51279,Sertifikat Hak Cipta Nomor: EC00202162925 Buku Perancangan Peraturan Perundang-Undangan,show,7,archive,2023-05-09 04:06:35,,['K1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
