,title,official_url,volume,rev_number,metadata_visibility,eprint_status,status_changed,subjects,abstract,eprintid,date_type,ispublished,number,documents,publisher,uri,full_text_status,refereed,corp_creators,lastmod,userid,datestamp,pagerange,publication,issn,creators,dir,date,contact_email,type,divisions,related_url,contributors,pres_type,event_dates,event_type,event_title,event_location,id_number,referencetext,keywords,place_of_pub
0,"PERAN EMOSI DALAM MEMENGARUHI KEPUASAN DAN
INTENSI WORD-OF-MOUTH KONSUMEN
PRODUK JASA SALON RAMBUT DI BANDAR LAMPUNG",http://jurnal.fisip.unila.ac.id/index.php/sosiologi/issue/current,20.0,6,show,archive,2019-08-01 07:27:14,['H1'],"The objective of this research is to analyze the emotional effect on consumer satisfaction and word of mouth intention in hair industry context. Emotions component are positive and negative affect. Positive affectivity refers to positive emotions and expression, including cheerfulness, pride, enthusiasm, energy, and joy. Negative affectivity is negative emotions and expression, which includes sadness, disgust, lethargy, fear, and distress. Using AMOS and field study to examine hipotheses model which is developed from previous study. Study results show that positive and negative affect that play a large role in consumer buying decision. Positive Affect have positive and significant effect on consumer satisfaction and word of mouth intention. However, Negative Affect have negative effect on consumer satisfactiion. In Contrast, Negative effect have positive effect on word of mouth intention. Moreover, Consumer satisfaction have greater contribution in expalining consumer WOM intention. The findings shows that it is important for practical implication to emphasize customer satisfaction as a strategic lever for enhancing business performance is a widespread business practice.",13417,published,pub,2.0,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/26429', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'filesize': 694973, 'datasetid': 'document', 'mtime': '2019-06-18 01:54:36', 'hash_type': 'MD5', 'hash': '107948a52b21a0b491893bc752932c38', 'filename': '524-1212-1-PB.pdf', 'fileid': 117483, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/117483', 'objectid': 26429}], 'docid': 26429, 'main': '524-1212-1-PB.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 13417}]",Jurusan Sosiologi FISIP UNILA,http://repository.lppm.unila.ac.id/id/eprint/13417,public,TRUE,['Administrasi Bisnis'],2019-08-01 07:27:14,545,2019-08-01 07:27:14,127-140,Jurnal Sosiologi,2549-7235,"[{'id': 'suprihatin.ali@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Ali', 'lineage': None, 'given': 'Suprihatin'}}]",disk0/00/01/34/17,1970-01-01 00:00:00.000002018,suprihatin.ali@fisip.unila.ac.id,article,['FISIP1'],,,,,,,,,,,
1,"Penilaian Rekan Sejawat : Land of Hope and Land of the Lost Study of Power Relations and Local Wisdom Ethnic Lampung, Sumatra, Indonesia",,,7,show,archive,2022-07-19 06:43:19,['H1'],,43389,,pub,,"[{'docid': 165262, 'main': 'Land of Hope and Land of the Lost Study of Power Relations and Local Wisdom Ethnic Lampung, Sumatra, Indonesia.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/473836', 'objectid': 165262, 'filename': 'Land of Hope and Land of the Lost Study of Power Relations and Local Wisdom Ethnic Lampung, Sumatra, Indonesia.pdf', 'hash': '2900f0a18173d637e5c4557513605d7e', 'hash_type': 'MD5', 'mtime': '2022-07-19 02:12:24', 'mime_type': 'application/pdf', 'fileid': 473836, 'filesize': 394162, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165262', 'rev_number': 1, 'eprintid': 43389, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",IJMMU,http://repository.lppm.unila.ac.id/id/eprint/43389,public,,,2022-07-19 06:43:19,370,2022-07-19 06:43:19,,,,"[{'id': 'bartovenvivit@gmail.com.', 'name': {'lineage': None, 'family': 'Bartoven Vivit Nurdin', 'honourific': None, 'given': 'Bartoven'}}, {'name': {'honourific': None, 'family': 'Damayanti', 'lineage': None, 'given': 'Damayanti'}, 'id': None}]",disk0/00/04/33/89,1970-01-01 00:00:00.000002018,,other,['FISIP1'],,,,,,,,,,,
2,"ANALISIS STRATEGI 
E
-
PROMOTION JASA MA
K
E
-
UP 
ARTIST  MELALUI INSTGRAM
(Studi Pada Chels Makeup artist di Bandar Lampung)",https://jurnal.polibatam.ac.id/index.php/JABA,2.0,8,show,archive,2019-04-05 08:05:23,['H1'],"This study aims to analyze the e
-
promotion strategy carried out by chels.makeupartist through 
instragam. 
. The 
research  method  that  used    is  qualitative  research  with  content  analysis  approach  model  and  the  main  data 
source  in  this  study  is  Instagram.   
The  findings  in  this  study  are  the  promotional  strategies  conducted  by
chels.makeupartist  are  social  media  strategies,  especially  Instagram.  In  this  social  media  strategy  it  contains 
advertising,  publicity  and  sales  promotions  for  either  the  services  or  goods  offered.  The  promotion  is  done  by 
displaying the portfolio of serv
ices that have been done on the Instagram account they have.
Keywords:
e
-
promotion,
make up artist, 
Instagram
,
e
-
marketing",10794,published,pub,2.0,"[{'docid': 23807, 'main': '933-Article Text-3690-1-10-20190212.pdf', 'files': [{'filesize': 855350, 'datasetid': 'document', 'mtime': '2019-02-20 03:37:24', 'hash_type': 'MD5', 'filename': '933-Article Text-3690-1-10-20190212.pdf', 'hash': 'a270fa4fe42fd5f7a997a6d82f9fa123', 'fileid': 99471, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/99471', 'objectid': 23807}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23807', 'rev_number': 1, 'eprintid': 10794, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",Center Of Research and Community Service Politeknik Negeri Batam,http://repository.lppm.unila.ac.id/id/eprint/10794,public,TRUE,"['ilmu administrasi bisnis', 'ilmu administrasi bisnis', 'ilmu administrasi bisnis']",2019-04-05 08:05:23,370,2019-04-05 08:05:23,101-111,JURNAL OF APPLIED BUSINESS ADMINISTRATION (JABA),eISSN:2548-9909,"[{'name': {'family': 'Damayanti', 'honourific': None, 'lineage': None, 'given': '-'}, 'id': 'dame.suzuka@gmail.com'}, {'id': None, 'name': {'given': 'Mediya', 'honourific': None, 'family': 'Destalia', 'lineage': None}}, {'id': 'shalie1974@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Ali', 'given': 'Suprihatin'}}]",disk0/00/01/07/94,2018-09-30 00:00:00.000000000,damayanti.1981@fisip.unila.ac.id,article,['FISIP1'],"[{'type': 'author', 'url': 'https://jurnal.polibatam.ac.id/index.php/JABA/article/view/933'}]","[{'name': {'lineage': None, 'family': 'damayanti', 'honourific': None, 'given': 'damayanti'}, 'id': 'dame.suzuka@gmail.com', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'name': {'given': 'suprihatin', 'family': 'ali', 'honourific': None, 'lineage': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': None}, {'id': None, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'mediya', 'honourific': None, 'family': 'destalia', 'lineage': None}}]",,,,,,,,,
3,ANALYSIS OF MAKE-UP ARTIST SERVICE E-PROMOTION STRATEGIES THROUGH INSTAGRAM,http://iicis.fisip.unila.ac.id/,,13,show,archive,2018-11-14 02:49:27,['H1'],"This study aims to analyze the e-promotion strategy carried out by chels.makeupartist through instragam. . The research method that used  is qualitative research with content analysis approach model and the main data source in this study is Instagram.   The findings in this study are the promotional strategies conducted by chels.makeupartist are social media strategies, especially Instagram. In this social media strategy it contains advertising, publicity and sales promotions for either the services or goods offered. The promotion is done by displaying the portfolio of services that have been done on the Instagram account they have.",4147,completed,unpub,,"[{'format': 'text', 'pos': 1, 'formatdesc': 'Draft Artikel IICIS', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21929', 'docid': 21929, 'main': 'artikel jurnal internasional 2018.doc', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/85922', 'objectid': 21929, 'hash_type': 'MD5', 'mtime': '2018-09-30 07:56:45', 'hash': 'd95b91533c202c241f899b51ba29e911', 'filename': 'artikel jurnal internasional 2018.doc', 'fileid': 85922, 'mime_type': 'application/msword', 'filesize': 125952, 'datasetid': 'document'}], 'language': 'en', 'mime_type': 'application/msword', 'content': 'presentation', 'eprintid': 4147, 'security': 'public', 'placement': 1}, {'files': [{'datasetid': 'document', 'filesize': 2226309, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'fileid': 92649, 'hash': 'e709da2a5e9cd4d9fbb3ee07230fe0c2', 'filename': 'ARTIKEL IICIS DAMAYANTI.docx', 'mtime': '2018-11-13 01:28:08', 'hash_type': 'MD5', 'objectid': 22825, 'uri': 'http://repository.lppm.unila.ac.id/id/file/92649'}], 'docid': 22825, 'main': 'ARTIKEL IICIS DAMAYANTI.docx', 'uri': 'http://repository.lppm.unila.ac.id/id/document/22825', 'rev_number': 1, 'pos': 2, 'format': 'text', 'placement': 2, 'security': 'public', 'eprintid': 4147, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en'}]",,http://repository.lppm.unila.ac.id/id/eprint/4147,public,TRUE,"['ilmu administrasi bisnis', 'ILmu Administrasi Bisnis', 'Ilmu Administrasi Bisnis']",2018-11-14 02:49:28,370,2018-11-14 02:49:27,,,,"[{'name': {'lineage': None, 'family': 'Damayanti', 'honourific': None, 'given': '-'}, 'id': 'dame.suzuka@gmail.com'}, {'name': {'given': 'Mediya', 'lineage': None, 'honourific': None, 'family': 'Destalia'}, 'id': None}, {'id': 'shalie1974@gmail.com', 'name': {'given': 'Suprihatin', 'honourific': None, 'family': 'Ali', 'lineage': None}}]",disk0/00/00/41/47,2018-09-09 00:00:00.000000000,,conference_item,['FISIP1'],,"[{'type': 'http://www.loc.gov/loc.terms/relators/PRF'}, {'type': 'http://www.loc.gov/loc.terms/relators/PRF'}, {'type': 'http://www.loc.gov/loc.terms/relators/PRF'}]",paper,9-10 September 2018,conference,International Indonesia Conference on Interdisciplinary Studies  (IICIS),Novotel Bandar Lampung,,,,
4,ANALISIS STRATEGI E - PROMOTION JASA MA K E - UP ARTIST MELALUI INSTGRAM (Studi Pada Chels Makeup artist di Bandar Lampung),,,7,show,archive,2020-10-27 02:15:57,['AC'],Peer Review,24382,published,pub,,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/38109', 'rev_number': 1, 'main': 'reviewer unang analisis strategi e-promotion jasa.pdf', 'docid': 38109, 'files': [{'fileid': 221797, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-10-27 01:37:31', 'hash': '83e35e4f9b9647d69a28f531bcf04c7b', 'filename': 'reviewer unang analisis strategi e-promotion jasa.pdf', 'datasetid': 'document', 'filesize': 1213006, 'objectid': 38109, 'uri': 'http://repository.lppm.unila.ac.id/id/file/221797'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 24382, 'placement': 1, 'security': 'public'}]",Unila,http://repository.lppm.unila.ac.id/id/eprint/24382,public,,,2020-10-27 02:15:57,117,2020-10-27 02:15:57,,,,"[{'id': None, 'name': {'given': '-', 'family': 'Damayanti', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Mediya', 'lineage': None, 'family': 'Destalia', 'honourific': None}, 'id': 'mediya.destalia@fisip.unila.ac.id'}, {'name': {'given': 'Suprihatin', 'lineage': None, 'family': 'Ali', 'honourific': None}, 'id': None}, {'name': {'given': 'Unang Mulkhan', 'lineage': None, 'family': 'Mulkhan', 'honourific': None}, 'id': 'mulkhan2010@gmail.com'}]",disk0/00/02/43/82,1970-01-01 00:00:00.000002018,,other,['FISIP1'],,,,,,,,,,,
5,ANALISIS STRATEGI E-PROMOTION JASA MAKE-UP ARTIST MELALUI INSTGRAM (Studi Pada Chels Makeup artist di Bandar Lampung),https://jurnal.polibatam.ac.id,2.0,11,show,archive,2019-02-25 09:20:44,['H1'],"This study aims to analyze the e-promotion strategy carried out by chels.makeupartist through instragam. . The research method that used is qualitative research with content analysis approach model and the main data source in this study is Instagram. The findings in this study are the promotional strategies conducted by chels.makeupartist are social media strategies, especially Instagram. In this social media strategy it contains advertising, publicity and sales promotions for either the services or goods offered. The promotion is done by displaying the portfolio of services that have been done on the Instagram account they have.

Keywords: e-promotion, make up artist, Instagram, e-marketing",10826,published,unpub,2.0,"[{'docid': 23839, 'main': 'artikel 2019.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2019-02-22 07:23:20', 'hash': 'd3b60f23e090bf454547e149ca21d3e3', 'filename': 'artikel 2019.pdf', 'fileid': 99704, 'mime_type': 'application/pdf', 'filesize': 4316646, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/99704', 'objectid': 23839}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23839', 'eprintid': 10826, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",Center for Research and Community Services Politeknik Negeri Batam,http://repository.lppm.unila.ac.id/id/eprint/10826,public,FALSE,"['UNILA', 'UNILA', 'UNILA']",2019-02-25 09:20:44,545,2019-02-25 09:20:44,101-111,Journal of Applied Business Administration,2548-9909,"[{'name': {'given': '.', 'honourific': None, 'family': 'Damayanti', 'lineage': None}}, {'name': {'given': 'Suprihatin', 'lineage': None, 'honourific': None, 'family': 'Ali'}}, {'name': {'given': 'Mediya', 'lineage': None, 'family': 'Destalia', 'honourific': None}}]",disk0/00/01/08/26,2018-09-01 00:00:00.000000000,,article,['FISIP1'],[{'url': 'https://jurnal.polibatam.ac.id'}],,,,,,,,,,
6,Reviewer : ANALISIS STRATEGI E-PROMOTION JASA MAKE-UP ARTIST MELALUI INSTGRAM (Studi Pada Chels Makeup artist di Bandar Lampung),,,8,show,archive,2022-07-19 06:43:26,"['H1', 'HB']",,43390,,pub,,"[{'eprintid': 43390, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 165261, 'main': 'ANALISIS STRATEGI E-PROMOTION JASA MAKE-UP ARTIST MELALUI INSTGRAM (Studi Pada Chels Makeup artist di Bandar Lampung).pdf', 'files': [{'filesize': 441498, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2022-07-19 02:06:49', 'hash': '1feb3bebf77a58a595441af14cefb9d6', 'filename': 'ANALISIS STRATEGI E-PROMOTION JASA MAKE-UP ARTIST MELALUI INSTGRAM (Studi Pada Chels Makeup artist di Bandar Lampung).pdf', 'fileid': 473829, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/473829', 'objectid': 165261}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165261', 'rev_number': 1}]",Politeknik Negeri Malang,http://repository.lppm.unila.ac.id/id/eprint/43390,public,,,2022-07-19 06:43:26,370,2022-07-19 06:43:26,,,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Damayanti', 'given': 'Damayanti'}, 'id': None}, {'name': {'honourific': None, 'family': 'suprihatin', 'lineage': None, 'given': 'ali'}, 'id': 'suprihati.ali@fisip.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Mediya Destalia', 'lineage': None, 'given': 'Mediya'}, 'id': 'mediya.destalia@fisip.unila.ac.id'}]",disk0/00/04/33/90,1970-01-01 00:00:00.000002018,,other,['FISIP1'],,,,,,,,,,,
7,PENERAPAN SOCIOPRENEUR PADA INDUSTRI TAHU DI KELURAHAN GANJAR AGUNG KOTA METRO,http://garuda.ristekbrin.go.id/documents/detail/1099937,9.0,7,show,archive,2020-07-17 03:44:18,['H1'],"Sosial enterpreneur atau dikenal dengan sociopreneur merupakan membangun usaha berbasis kegiatan sosial. Berdasarkan hasil penelitian dapat diketahui bahwa usaha atau bisnis pembuatan tahu di kelurahan Ganjaragung merupakan salah satu bentuk sociopreneur. Dalam hasil wawancara para pengusaha tahu telah mempekerjakan masyarakat sekitar dalam pembuatan tahu. Selain itu, dalam memperhatikan lingkungan pra produsen telah mengolah sisa hasil olahan tahu. Salah satu hasil olahan limbah cair yaitu nata de soya yang benilai ekonomi dan kualitas tinggi. Sedangkan limbah padat dimanfaatkan sebagai pakan ternak&nbsp; bagi masyarakat sekitar.",23233,published,pub,1.0,,Fisip Unila,http://repository.lppm.unila.ac.id/id/eprint/23233,none,TRUE,,2020-07-17 03:44:18,162,2020-07-17 03:44:18,51-56,Administratio : Jurnal Ilmiah Administrasi Publik dan Pembangunan,e-issn 2548-6977,"[{'name': {'lineage': None, 'family': 'Destalia', 'honourific': None, 'given': 'Mediya'}, 'id': 'mediya.destalia@fisip.unila.ac.id'}]",disk0/00/02/32/33,1970-01-01 00:00:00.000002018,,article,['FISIP1'],[{'url': 'http://garuda.ristekbrin.go.id/documents/detail/1099937'}],,,,,,,,,,
8,"FAKTOR-FAKTOR YANG MEMENGARUHI MINAT
MAHASISWA ADMINITRASI BISNIS MEMILIH
KONSENTRASI KEUANGAN BISNIS",,,8,show,archive,2020-02-25 04:08:52,['H1'],"Penelitian ini bertujuan untuk menguji pengaruh motivasi kualitas, karir, ekonomi,
dan mencari ilmu terhadap minat mahasiswa mengikuti konsentrasi keuangan.
Peneliti menggunakan teknik regresi linier berganda untuk menguji data penelitian
dengan SPSS. Hasil analisis dari penelitian ini menunjukan motivasi karir,
motivasi kualitas, motivasi ekonomi, dan motivasi mencari ilmu secara bersamasama
berpengaruh terhadap minat mahasiswa akuntansi untuk mengikuti
kosentrasi keuangan, sedangkan pada uji parsial variable yang tidak memengaruhi
minat adalah motivasi ekonomi. Secara keseluruhan hasil penelitian ini
menunjukan bahwa motivasi seorang mahasiswa juga dapat dipengaruhi oleh
tekanan atau fakta terbaru yang menyangkut pendidikan yang akan ditempuh.
Perubahan perkembangan pasar tenaga kerja terkait akan merubah motivasi
mahasiswa kearah yang berbeda.",18163,,unpub,,"[{'files': [{'datasetid': 'document', 'filesize': 956791, 'fileid': 152977, 'mime_type': 'application/pdf', 'mtime': '2020-02-23 17:27:33', 'hash_type': 'MD5', 'hash': 'a7120a69c6e33d1c047885786aa0b58b', 'filename': 'Laporan PENELITIAN FISIP 2018 Mediya.pdf', 'objectid': 31303, 'uri': 'http://repository.lppm.unila.ac.id/id/file/152977'}], 'main': 'Laporan PENELITIAN FISIP 2018 Mediya.pdf', 'docid': 31303, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31303', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 18163, 'mime_type': 'application/pdf', 'language': 'en'}]",,http://repository.lppm.unila.ac.id/id/eprint/18163,public,,"['Ilmu Administrasi Bisnis, FISIP, Unila', 'Ilmu Administrasi Bisnis, FISIP, Unila', 'Ilmu Administrasi Bisnis, FISIP, Unila', 'Ilmu Administrasi Bisnis, FISIP, Unila']",2020-02-25 04:08:52,162,2020-02-25 04:08:52,,,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Destalia', 'given': 'Mediya'}, 'id': 'mediya.destalia@fisip.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Efendi', 'lineage': None, 'given': 'Ahmad'}, 'id': None}, {'name': {'given': 'Unang Mulkhan', 'lineage': None, 'honourific': None, 'family': 'Mulkhan'}, 'id': 'mulkhan2010@gmail.com'}, {'id': 'rifaiunila@gmail.com', 'name': {'given': 'Ahmad', 'lineage': None, 'honourific': None, 'family': ""Rifa'i""}}]",disk0/00/01/81/63,1970-01-01 00:00:00.000002018,,experiment,['FISIP1'],,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,,,,,,,,
9,Faktor- faktor yang mempengaruhi minat mahasiswa adminitrasi bisnis memilih konsentrasi keuangan bisnis,,,7,show,archive,2020-10-27 02:16:16,['AC'],peer review,24388,published,pub,,"[{'files': [{'datasetid': 'document', 'filesize': 910480, 'fileid': 221839, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-10-27 01:57:29', 'filename': 'reviewer unang faktor-faktor.pdf', 'hash': 'd7d8b50a0ecadfc3fbe93f282b0f571e', 'objectid': 38115, 'uri': 'http://repository.lppm.unila.ac.id/id/file/221839'}], 'docid': 38115, 'main': 'reviewer unang faktor-faktor.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/38115', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 24388, 'mime_type': 'application/pdf', 'language': 'en'}]",Unila,http://repository.lppm.unila.ac.id/id/eprint/24388,public,,,2020-10-27 02:16:16,117,2020-10-27 02:16:16,,,,"[{'id': 'mediya.destalia@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Destalia', 'lineage': None, 'given': 'Mediya'}}, {'id': None, 'name': {'family': 'Efendi', 'honourific': None, 'lineage': None, 'given': 'Ahmad'}}, {'name': {'given': 'Unang Mulkhan', 'lineage': None, 'family': 'Mulkhan', 'honourific': None}, 'id': 'mulkhan2010@gmail.com'}, {'id': 'rifaiunila@gmail.com', 'name': {'honourific': None, 'family': ""Rifa'i"", 'lineage': None, 'given': 'Ahmad'}}]",disk0/00/02/43/88,1970-01-01 00:00:00.000002018,,other,['FISIP1'],,,,,,,,,,,
