,number,ispublished,publisher,documents,full_text_status,uri,refereed,lastmod,userid,pagerange,datestamp,publication,creators,issn,date,dir,type,divisions,official_url,title,rev_number,volume,metadata_visibility,status_changed,eprint_status,related_url,subjects,abstract,eprintid,date_type,corp_creators,referencetext,contact_email,keywords,contributors,place_of_pub,editors,book_title,pages,isbn,pres_type,event_title,event_location,event_dates,event_type,series,id_number
0,1,pub,Jurusan Administrasi Negara FISIP Unila dan Persadi Lampung,"[{'eprintid': 4598, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 17505, 'main': 'Eko Budi Sulistio_Administratio Vol 8 No 1.pdf', 'files': [{'datasetid': 'document', 'filesize': 2695459, 'mime_type': 'application/pdf', 'fileid': 45223, 'filename': 'Eko Budi Sulistio_Administratio Vol 8 No 1.pdf', 'hash': 'c5885a9ca91acafa5bc05315e3524797', 'mtime': '2017-11-03 23:05:51', 'hash_type': 'MD5', 'objectid': 17505, 'uri': 'http://repository.lppm.unila.ac.id/id/file/45223'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17505'}]",public,http://repository.lppm.unila.ac.id/id/eprint/4598,TRUE,2017-11-16 03:15:48,612,99-107,2017-11-16 03:15:48,Jurnal Ilmiah Administrasi Publik dan Pembangunan ADMINISTRATIO,"[{'id': 'serli.ani@fisip.unila.ac.id', 'name': {'given': 'Serli', 'family': 'Ani', 'honourific': None, 'lineage': None}}, {'name': {'lineage': None, 'family': 'Sulistio', 'honourific': None, 'given': 'Eko Budi'}, 'id': 'ekobudi.sulistio@fisip.unila.ac.id'}]",2087-0825,2017-01-01 00:00:00.000000000,disk0/00/00/45/98,article,['FISIP2'],http://jurnal.fisip.unila.ac.id/index.php/administratio,"IMPLEMENTASI PROGRAM JARING (JANGKAU, SINERGI, DAN GUIDELINE) DALAM MENINGKATKAN KESEJAHTERAAN MASYARAKAT NELAYAN DI PROVINSI LAMPUNG TAHUN 2016",6,8,show,2017-11-16 03:15:48,archive,[{'url': 'http://jurnal.fisip.unila.ac.id/index.php/administratio'}],['H1'],"Penelitian ini mencoba untuk menggambarkan bagaimana program bersih program di Lampung. Penelitian ini didukung oleh lingkungan alam yang tidak menentu, tingkat pendidikan nelayan rendah, pola hidup nelayan, pemasaran tertangkap. Penelitian ini menggunakan pendekatan model van Meter dan Van Horn yang terdiri dari Standard and Policy Goals, Resources, Relationship Among the Organization, Karakteristik Agen Pelaksana, Kondisi Sosial, Ekonomi dan Politik dan Disposisi Pelaksana. Metode yang digunakan dalam penelitian ini adalah deskriptif kualitatif. Teknik pengumpulan data yang digunakan adalah wawancara, observasi dan dokumentasi. Selanjutnya untuk melihat pemanfaatan peraturan tersebut, penelitian ini menggunakan teknik triangulasi. Hasilnya adalah bahwa program bersih sudah cukup efektif meski ada sedikit kendala dan masalah dalam praktik. Dengan menggunakan pendekatan van meter dan van horn, dapat dianalisis bahwa pelaksanaan program bersih telah berjalan sebagaimana mestinya, walaupun masih ada beberapa indikator yang tidak didasarkan pada situasi di lapangan.Dibutuhkan standar kebijakannya yang lebih jelas dan terperinci, perlu adanya peningkatan sumber daya manusia dan keuangan, perlu adanya perluasan, semestinya dilakukan komunikasi dan dialog antara pemangku kepentingan dan tokoh masyarakat nelayan atau masyarakat agar tidak memberatkan negatif tentang program bersih.",4598,published,,,,,,,,,,,,,,,,,
1,1,pub,Jurusan Administrasi Negara FISIP Unila dan Persadi Lampung,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 5518, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18457', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'filesize': 2695459, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2017-11-14 14:49:35', 'hash': 'c5885a9ca91acafa5bc05315e3524797', 'filename': 'Eko Budi Sulistio_Administratio Vol 8 No 1.pdf', 'fileid': 51780, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/51780', 'objectid': 18457}], 'docid': 18457, 'main': 'Eko Budi Sulistio_Administratio Vol 8 No 1.pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/5518,TRUE,2017-11-16 04:55:18,612,99-107,2017-11-16 04:55:18,Jurnal Ilmiah Administrasi Publik dan Pembangunan ADMINISTRATIO,"[{'id': 'serli.ani@fisip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Ani', 'given': 'Serli'}}, {'id': 'ekobudi.sulistio@fisip.unila.ac.id', 'name': {'given': 'Eko Budi', 'lineage': None, 'honourific': None, 'family': 'Sulistio'}}]",2087-0825,2017-01-01 00:00:00.000000000,disk0/00/00/55/18,article,['FISIP2'],http://jurnal.fisip.unila.ac.id/index.php/administratio,"IMPLEMENTASI PROGRAM JARING (JANGKAU, SINERGI, DAN GUIDELINE) DALAM MENINGKATKAN KESEJAHTERAAN MASYARAKAT NELAYAN DI PROVINSI LAMPUNG TAHUN 2016",6,8,show,2017-11-16 04:55:18,archive,"[{'url': 'http://jurnal.fisip.unila.ac.id/index.php/administratio', 'type': 'pub'}]",['HV'],"Penelitian ini mencoba untuk menggambarkan bagaimana program bersih program di Lampung. Penelitian ini didukung oleh lingkungan alam yang tidak menentu, tingkat pendidikan nelayan rendah, pola hidup nelayan, pemasaran tertangkap. Penelitian ini menggunakan pendekatan model van Meter dan Van Horn yang terdiri dari Standard and Policy Goals, Resources, Relationship Among the Organization, Karakteristik Agen Pelaksana, Kondisi Sosial, Ekonomi dan Politik dan Disposisi Pelaksana. Metode yang digunakan dalam penelitian ini adalah deskriptif kualitatif. Teknik pengumpulan data yang digunakan adalah wawancara, observasi dan dokumentasi. Selanjutnya untuk melihat pemanfaatan peraturan tersebut, penelitian ini menggunakan teknik triangulasi. Hasilnya adalah bahwa program bersih sudah cukup efektif meski ada sedikit kendala dan masalah dalam praktik. Dengan menggunakan pendekatan van meter dan van horn, dapat dianalisis bahwa pelaksanaan program bersih telah berjalan sebagaimana mestinya, walaupun masih ada beberapa indikator yang tidak didasarkan pada situasi di lapangan.Dibutuhkan standar kebijakannya yang lebih jelas dan terperinci, perlu adanya peningkatan sumber daya manusia dan keuangan, perlu adanya perluasan, semestinya dilakukan komunikasi dan dialog antara pemangku kepentingan dan tokoh masyarakat nelayan atau masyarakat agar tidak memberatkan negatif tentang program bersih.",5518,published,"['Universitas Lampung', 'Universitas Lampung']","Abidin, Said Zainal. 2012. Kebijakan Publik, Jakarta : Salemba Humanika.
----------, 2004. Kebijakan Publik, Jakarta : Yayasan Pancur Siwah.
Agustino. 2008. Memahami ilmu politik. Bandung: AIPI.
Dunn, William. 2003. Pengantar Analisis Kebijakan Publik, Yogyakarta: UGM Press.
Herdiansyah, Haris. 2010. Metodologi Penelitian Kualitatif untuk Ilmu-Ilmu Sosial. Jakarta: Salemba Humanika
Mardianto, Prof. Dr. Ir. Totok, M.S,dkk. 2013. Pemberdayaan Masyarakat Dalam Perspektif Kebijakan Publik. Bandung: Alfabeta
Milles, M.B. and Huberman, M.A. 1984. Qualitative Data Analysis. London: sage Publication
Moloeng, Lexy J. 2011. Metode Penelitian Kualitatif. Bandung: PT Remaja Rosdakarya.
Nugroho, D. Riant. 2008. Public Policy, Jakarta: PT Elex Media Komputindo. Kelompok Gramedia.
Subarsono, AG. 2010. Analisis Kebijakan Publik (Konsep, Teori dan Aplikasi). Cetakan V Desember 2010, Yogyakarta; Pustaka Pelajar.
Sugiyono. 2014. Metode Penelitian Kuantitatif Kualitatif, Bandung: Alfabeta.
Suharno. 2013. Dasar-Dasar Kebijakan Publik: Kajian Proses dan Analisa Kebijakan, Yogyakarta: Penerbit Ombak.
Suharto, Edi. 2010. Analisis Kebijakan Publik Panduan Praktis Mengkaji Masalah dan Kebijakan Sosial, Bandung: Alfabeta
Sulistio, Eko Budi. 2013. Buku Ajar Kebijakan Publik (Public Policy): Kerangka Dasar Studi Kebijakan Publik.
Sulistiyani, Ambar Teguh, 2004. Kemitraan dan Model-Model Pemberdayaan. Yogyakarta: Gova Media. 
Wahab, Solichin Abdul. 2004. Analisis Kebijakan Dari Formulasi Kebijakan Implementasi Kebijakan Negara, Jakarta: Bumi Aksara.
Winarno, Budi. 2012. Kebijakan Publik: Teori, Proses dan Studi Kasus, Yogyakarta:C A P S.
Undang-Undang Nomor 7 Tahun 2016 Tentang Perlindungan dan Pemberdayaan Nelayan
Undang-Undang Nomor 45 Tahun 2009 Tentang Perikanan
Undang – undang Nomor 21 Tahun 2011 Tentang Otoritas Jasa Keuangan
DkpLampung.hol.es/sejaraj/dinas-Kelautan-dan-Perikanan-provinsi-Lampung.diaksestanggal22Oktober2016)
http://dhizzztie.wordpress.com/2011/05/09/kehidupan-masyarakat-pesisir-Lampung.diakses12Oktober2016)
http://seputarLampung.co.id/program-jaring-untuk-pengembangan-kelautan-dan-perikanan/diakses5/10/2015:16.00)
www.ojk.go.id/kanal/perbankan/tentangperbankan/pages/tugas.aspx.diaksestanggal12Oktober2016)

PesisirLampung.blogspot.co.id/2011/05/potensi-sumber-daya-alam-pesisir.html?m=1. diakses tanggal 12 Oktober 2016",ekobudi.sulistio@fisip.unila.ac.id,"implementasi, program bersih, kesejahteraan, komunitas nelayan",,,,,,,,,,,,,
2,1,pub,Jurusan Administrasi Negara FISIP UNS Surakarta,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/129285', 'objectid': 28127, 'hash_type': 'MD5', 'mtime': '2019-11-02 05:33:54', 'filename': 'Jurnal Ilmiah Nasional (Kontroversi Implementasi Kebijakan Penenggalaman Kapal dlm Rangka Pemberantasan Illegal  2017 Sindung).pdf', 'hash': '8d2d4adc8c69390c8297502abcb1b9fe', 'fileid': 129285, 'mime_type': 'application/pdf', 'filesize': 513547, 'datasetid': 'document'}], 'docid': 28127, 'main': 'Jurnal Ilmiah Nasional (Kontroversi Implementasi Kebijakan Penenggalaman Kapal dlm Rangka Pemberantasan Illegal  2017 Sindung).pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28127', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 14996, 'language': 'en', 'mime_type': 'application/pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/14996,TRUE,2019-11-04 03:15:43,572,1-15,2019-11-04 03:15:43,Spirit Publik,"[{'name': {'given': 'Dedy', 'lineage': None, 'honourific': None, 'family': 'Dedy Hermawan'}, 'id': 'dedy.hermawan@fisip.unila.ac.id'}]",1907-0489,2017-04-05 00:00:00.000000000,disk0/00/01/49/96,article,['FISIP2'],https://jurnal.uns.ac.id/,Kontroversi Implementasi Kebijakan Penenggalaman Kapal dalam Rangka Pemberantasan Illegal Fishing di Indonesia,6,12,show,2019-11-04 03:15:43,archive,,['JA'],Hasil Penilaian Peer Review/Teman Sejawat,14996,published,['Universitas Lampung'],,,,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],,,,,,,,,,,,
3,,pub,Universitas Terbuka,"[{'docid': 28128, 'main': 'Jurnal Ilmiah Nasional (Membangun Partisipasi Publik Berbasis Perilaku Studi Kasus di Propinsi Lampung  2019 Sindung).pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/129291', 'objectid': 28128, 'hash_type': 'MD5', 'mtime': '2019-11-02 05:38:13', 'filename': 'Jurnal Ilmiah Nasional (Membangun Partisipasi Publik Berbasis Perilaku Studi Kasus di Propinsi Lampung  2019 Sindung).pdf', 'hash': 'e72000eeb8bc726efdbd676ae6362224', 'fileid': 129291, 'mime_type': 'application/pdf', 'filesize': 467779, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28128', 'rev_number': 1, 'eprintid': 14997, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/14997,TRUE,2019-11-04 03:15:57,572,1-20,2019-11-04 03:15:57,Karya Ilmiah,"[{'name': {'lineage': None, 'family': 'Dedy Hermawan', 'honourific': None, 'given': 'Dedy'}, 'id': 'dedy.hermawan@fisip.unila.ac.id'}]",978-602-392-217-8,2017-11-04 00:00:00.000000000,disk0/00/01/49/97,article,['FISIP2'],,Membangun Partisipasi Publik Berbasis Perilaku Studi Kasus di Propinsi Lampung,6,,show,2019-11-04 03:15:57,archive,,['JA'],Hasil Penilaian Peer Review/Teman Sejawat,14997,published,['Universitas Lampung'],,,,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],,,,,,,,,,,,
4,1,pub,Universitas Terbuka,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 14983, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/28112', 'rev_number': 1, 'docid': 28112, 'main': 'Book Chapter (Membangun Partisipasi Publik Berbasis Perilaku) 2017.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/129182', 'objectid': 28112, 'hash_type': 'MD5', 'mtime': '2019-11-02 04:04:37', 'filename': 'Book Chapter (Membangun Partisipasi Publik Berbasis Perilaku) 2017.pdf', 'hash': '496d7ed7bcf6fa28ec344e79ffb082d7', 'fileid': 129182, 'mime_type': 'application/pdf', 'filesize': 296304, 'datasetid': 'document'}]}]",public,http://repository.lppm.unila.ac.id/id/eprint/14983,TRUE,2019-11-04 03:17:25,572,35-54,2019-11-04 03:17:25,,"[{'name': {'family': 'Dedy Hermawan', 'honourific': None, 'lineage': None, 'given': 'Dedy'}, 'id': 'dedy.hermawan@fisip.unila.ac.id'}, {'name': {'family': 'Simon', 'honourific': None, 'lineage': None, 'given': 'Sembiring'}, 'id': None}]",,2017-11-01 00:00:00.000000000,disk0/00/01/49/83,book_section,['FISIP2'],https://www.ut.ac.id/,"Membangun Partisipasi Publik Berbasis Perilaku:
Studi Kasus di Provinsi Lampung",9,1,show,2019-11-04 03:17:25,archive,,['JA'],"Berbagai  program  partisipasi  tersebut  menunjukkan  gejala  yang 
berbeda, termasuk memunculkan partisipasi semu, partisipasi administratif 
atau bahkan gagal mengadakan partisipasi (Muslim, 2017). Hal itu sekaligus 
mengindikasikanterjadinya  perbedaan  antara  partisipasi  organik  (usaha 
endogen  oleh  aktivis  masyarakat  untuk  menghasilkan  perubahan)  dan 
partisipasi yang diinduksi (upaya berskala besar untuk merancang partisipasi 
 tingkat lokal melalui program dan proyek)(Mansuri & Rao, 2012). Dalam 
konteks  lain,  partisipasi  yang  terjadi  juga  nampak  masih  belum  mampu 
menguatkan  relasi  antara  agensi  kolektif  dan  kapabilitas  kolektif  yang 
menggerakkan  kelompok  sasaran  program  untuk  melaksanakan  proses 
partisipasi (Pelenca, Bassile, & Ceruti, 2015).",14983,published,['Universitas Lampung'],,,,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],"Program Ilmu Administrasi Negara, FISIP, UNILA","[{'id': 'yulianto@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Yulianto', 'lineage': None, 'given': 'Yulianto'}}, {'id': 'sindungharyanto@yahoo.co.id', 'name': {'family': 'Sindung Haryanto', 'honourific': None, 'lineage': None, 'given': 'Sindung'}}]",Book Chapter,1.0,978-602-392-217-8,,,,,,,
5,,pub,,"[{'eprintid': 14991, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Pengabdian UNS Prosiding 2017.pdf', 'docid': 28121, 'files': [{'filesize': 1127526, 'datasetid': 'document', 'mtime': '2019-11-02 04:40:18', 'hash_type': 'MD5', 'hash': 'e38eb729df2c56a451edb15fa0354453', 'filename': 'Pengabdian UNS Prosiding 2017.pdf', 'fileid': 129245, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/129245', 'objectid': 28121}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28121', 'rev_number': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/14991,TRUE,2019-11-04 03:17:40,572,10-24,2019-11-04 03:17:40,,"[{'id': 'dedy.hermawan@fisip.unila.ac.id', 'name': {'family': 'Dedy Hermawan', 'honourific': None, 'lineage': None, 'given': 'Dedy'}}, {'name': {'honourific': None, 'family': 'Simon', 'lineage': None, 'given': 'Sembiring'}, 'id': None}, {'id': None, 'name': {'given': 'Mulyana', 'lineage': None, 'honourific': None, 'family': 'Nana'}}]",,2017-10-21 00:00:00.000000000,disk0/00/01/49/91,conference_item,['FISIP2'],http://.uph.edu,Peningkatan Kapasitas Sekretaris Desa Dalam Manajemen Layanan Administrasi Desa di Kecamatan Padang Cermin Kabupaten Pasawaran,9,,show,2019-11-04 03:17:40,archive,,['JA'],"Kapasitas Sekretaris Desa merupakan hal penting yang harus terkondisikan dalam pelaksanaan Undang-Undang No.6 Tahun 2014 tentang Desa, dikarenakan sekretaris Desa merupakan aparatur utama dalam pemerintahan desa yang mengelola layanan Administrasi desa.",14991,published,['Universitas Lampung'],,,,,,,,,,paper,KONFERENSI NASIONAL PENGABDIAN KEPADA MASYARAKAT DAN CORPORATE SOCIAL RESPONSIBILITY PkM-CSR 2017,Solo,19-21 Oktober 2017,conference,,
6,,pub,,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17144', 'pos': 1, 'format': 'text', 'files': [{'mtime': '2017-11-01 04:22:13', 'hash_type': 'MD5', 'hash': '85fbed51b0018df065629dd17e008ed2', 'filename': 'Sefila 2017 (2).doc', 'fileid': 42792, 'mime_type': 'application/msword', 'filesize': 107008, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/42792', 'objectid': 17144}], 'docid': 17144, 'main': 'Sefila 2017 (2).doc', 'language': 'en', 'mime_type': 'application/msword', 'placement': 1, 'security': 'public', 'eprintid': 4254}]",public,http://repository.lppm.unila.ac.id/id/eprint/4254,TRUE,2017-11-10 15:27:41,63,332-345,2017-11-10 15:27:41,PROSIDING : MEMBANGUN ETIKA SOSIAL POLITIK MENUJU MASYARAKAT YANG BERKEADILAN,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Devi Yulianti', 'given': 'Devi'}, 'id': 'devi.yulianti@fisip.unila.ac.id'}]",978-979-95174-9-4,2017-10-18 00:00:00.000000000,disk0/00/00/42/54,conference_item,['FISIP2'],,PELAYANAN AKTA KELAHIRAN PADA DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KABUPATEN LAMPUNG TENGAH SEBAGAI BENTUK KINERJA YANG MENCERMINKAN ETIKA PUBLIK,10,,show,2017-11-10 15:27:41,archive,,['H1'],"Akta kelahiran adalah dokumen administratif yang harus dimiliki oleh semua anak yang merupakan tugas pemerintah untuk memenuhinya. Tugas ini dilaksanakan oleh Dinas Kependudukan dan Catatan Sipil. Di Kabupaten Lampung Tengah, pemerintah kabupaten ini melihat kebijakan berupa surat edara MA yang dikeluarkan pada tanggal 1 Mei 2013 sebagai landasan pelaksanaan. Pada proses pelaksanaan program pelayanan publik ditemui berbagai masalah yang brdampak pada kinerja program. Hubungan antara pelayanan dan etika yaitu dengan melihat pada korupsi dan konflik kepentingan yang ada pada proses pelaksanaan pelayanan. Elit pemerintah menyalahgunakan keweangannya dalam hal pelaksanan tugas pelayanan publik, (OECD, 2008). Penelitian ini menggunakan pendekatan kualitatif dengan tipe deskriptif. Teknik pengumpulan data yang digunakan adalah wawancara, dokumentasi dan observasi. Sedangkan teknik analisis data yang digunakan adalah reduksi data, pemaparan dan penarikan kesimpulan. Teknik keabsahan data menggunakan triangulasi. Hasil penelitian menunjukkan bahwa pelaksanaan program pelayanan akta kelahiran di Kabupaten Lampung Barat belum berhasil dilihat dari input, proses dan outputnya.",4254,published,,,,,,,,,,,paper,SEMINAR NASIONAL FISIP UNILA 2017,Swiss Bell Hotel Bandarlampung,18 Oktober 2017,conference,,
7,,inpress,,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17146', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/42803', 'objectid': 17146, 'filesize': 72704, 'datasetid': 'document', 'mtime': '2017-11-01 04:29:52', 'hash_type': 'MD5', 'hash': 'b821efb5eb53ab424577eb27f1d367ee', 'filename': 'Full Paper for The 2nd SHIELD Conference.doc', 'fileid': 42803, 'mime_type': 'application/msword'}], 'docid': 17146, 'main': 'Full Paper for The 2nd SHIELD Conference.doc', 'mime_type': 'application/msword', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 4257}]",public,http://repository.lppm.unila.ac.id/id/eprint/4257,TRUE,2017-11-10 15:27:50,63,,2017-11-10 15:27:50,,"[{'id': 'dian.kagungan@fisip.unila.ac.id', 'name': {'family': 'Dian Kagungan', 'honourific': None, 'lineage': None, 'given': 'Dian'}}, {'id': 'devi.yulianti@fisip.unila.ac.id', 'name': {'lineage': None, 'family': 'Devi Yulianti', 'honourific': None, 'given': 'Devi'}}]",,2017-09-18 00:00:00.000000000,disk0/00/00/42/57,conference_item,['FISIP2'],,The Capacity Development Policy For Apparatus Through New Government Partnership Cooperation In Lampung To Obtain Optimum Public Service,7,,show,2017-11-10 15:27:50,archive,,['H1'],"One of the problems faced by new autonomous regions is low institutional capacity and poor quality of apparatus resources, portraits of apparatus resource management performance still indicate that conditions are not yet optimal. The government apparatus is still given ""label"" lazy and slow in giving the service and so on (Efendi, 2011). The method used in this study was descriptive qualitative, the location of this study was in Pesawaran and Pringsewu. The daata collection techniques were conducted through interviews, documentation, obfuscation and FGD. Data analysis technique was done by reduction, data display and conclusion. The validity technique was done by negative case analysis and triangulation.
The conclusions of this study were that the efforts to improve the capacity of human resources, especially the government apparatus, through coaching and development in the form of upgrading, training and others had long been done in Pesawaran but the results could  only be seen quantitatively and still difficult to see qualitatively. The efforts were done through education and training, establishing cooperation institutions in Pesawaran both in Lampung and outside Lampung.
The suggestions are: (i) The Government should  be more proactive and creative in establishing cooperation with Regency/City/Province, both in Lampung and outside Lampung (ii) It is necessary to develop complete normative material on the aspects of innovative government assessment (inter-regional cooperation policy through the enhancement/capacity building of the apparatus in order to make this Regulation The legal basis for the implementation of innovative government model in New Autonomous Region (DOB).",4257,published,,,,,,,,,,,paper,The 2nd SHIELD CONFERENCE 2017,AULA FAKULTAS PERTANIAN UNILA,18-20 September 2017,conference,,
8,,pub,,"[{'main': 'Full Paper for The 2nd SHIELD Conference.doc', 'docid': 21162, 'files': [{'fileid': 81127, 'mime_type': 'application/msword', 'hash_type': 'MD5', 'mtime': '2018-06-28 06:06:50', 'filename': 'Full Paper for The 2nd SHIELD Conference.doc', 'hash': 'b821efb5eb53ab424577eb27f1d367ee', 'datasetid': 'document', 'filesize': 72704, 'objectid': 21162, 'uri': 'http://repository.lppm.unila.ac.id/id/file/81127'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21162', 'eprintid': 8144, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/msword'}]",public,http://repository.lppm.unila.ac.id/id/eprint/8144,TRUE,2018-06-28 07:00:51,508,161-167,2018-06-28 07:00:51,proceeding The 2nd SHIELD,"[{'id': 'dian.kagungan@fisip.unila.ac.id', 'name': {'given': 'Dian', 'lineage': None, 'honourific': None, 'family': 'Dian Kagungan'}}, {'id': 'devi.yulianti@fisip.unila.ac.id', 'name': {'given': 'Devi', 'honourific': None, 'family': 'Devi Yulianti', 'lineage': None}}]",ISBN : 978-602-61299-9-4,1970-01-01 00:00:00.000002017,disk0/00/00/81/44,article,['FISIP2'],,The Capacity Development Policy For Apparatus Through New Government Partnership Cooperation In Lampung To Obtain Optimum Public Service,6,,show,2018-06-28 07:00:51,archive,,['H1'],"One of the problems faced by new autonomous regions is low institutional capacity and poor quality of apparatus resources, portraits of apparatus resource management performance still indicate that conditions are not yet optimal. The government apparatus is still given ""label"" lazy and slow in giving the service and so on (Efendi, 2011). The method used in this study was descriptive qualitative, the location of this study was in Pesawaran and Pringsewu. The daata collection techniques were conducted through interviews, documentation, obfuscation and FGD. Data analysis technique was done by reduction, data display and conclusion. The validity technique was done by negative case analysis and triangulation.
The conclusions of this study were that the efforts to improve the capacity of human resources, especially the government apparatus, through coaching and development in the form of upgrading, training and others had long been done in Pesawaran but the results could  only be seen quantitatively and still difficult to see qualitatively. The efforts were done through education and training, establishing cooperation institutions in Pesawaran both in Lampung and outside Lampung.
The suggestions are: (i) The Government should  be more proactive and creative in establishing cooperation with Regency/City/Province, both in Lampung and outside Lampung (ii) It is necessary to develop complete normative material on the aspects of innovative government assessment (inter-regional cooperation policy through the enhancement/capacity building of the apparatus in order to make this Regulation The legal basis for the implementation of innovative government model in New Autonomous Region (DOB).",8144,,,,,,,,,,,,,,,,,,
9,,pub,aura,"[{'eprintid': 6839, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': 'Buku Referensi_Kota Layak Anak Yang  Berkelanjutan.pdf', 'docid': 19814, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/62923', 'objectid': 19814, 'mtime': '2018-04-30 04:38:48', 'hash_type': 'MD5', 'hash': '145ea1610f689891837e44da9f751727', 'filename': 'Buku Referensi_Kota Layak Anak Yang  Berkelanjutan.pdf', 'fileid': 62923, 'mime_type': 'application/pdf', 'filesize': 2288151, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19814', 'rev_number': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/6839,TRUE,2018-04-30 09:08:19,345,,2018-04-30 09:08:19,,"[{'name': {'lineage': None, 'family': 'Duadji,Noverman', 'honourific': None, 'given': 'Noverman'}, 'id': 'novermanduadji@yahoo.co.id'}, {'name': {'lineage': None, 'family': 'Tresiana,Novita', 'honourific': None, 'given': 'Novita'}, 'id': 'novitatresiana@yahoo.co.id'}]",,2017-10-01 00:00:00.000000000,disk0/00/00/68/39,book,['FISIP2'],,Kota Layak Anak Yang Berkelanjutan,7,,show,2018-04-30 09:08:19,archive,,['H1'],"Perspektif SDGs dalam membangun kabupaten/kota layak anak mencoba melihat integrasi komitmen dan sumberdaya pemerintah, masyarakat dan swasta yang terencana dan menyeluruh untuk memenuhi hak-hak anak",6839,published,['universitas lampung'],,,,,bandar lampung,,,,978-602-6739-650,,,,,,cetakan 1,
