,date_type,eprintid,abstract,subjects,status_changed,eprint_status,metadata_visibility,rev_number,volume,title,divisions,type,dir,date,issn,creators,publication,pagerange,datestamp,userid,lastmod,refereed,full_text_status,uri,documents,publisher,number,ispublished,event_title,event_location,event_type,event_dates,corp_creators,pres_type,official_url,related_url,contributors,id_number,referencetext,contact_email,succeeds,place_of_pub,isbn,pages,book_title,editors,patent_applicant,funders,series
0,published,21166,"Masalah sengketa tanah yang masih banyak terjadi di masyarakat adalah pengakuan tanah oleh
masyarakat secara historis akibat masih kurangnya pemahaman masyarakat tentang pentingnya
sertipikat tanah dan kurangnya kepastian hukum yang sah mengenai hak-hak atas kepemilikan tanah
bagi masyarakat. Karena itu, pemerintah melalui kementerian ATR/ BPN meluncurkan kebijakan
tentang percepatan pendaftaran tanah sistematis lengkap yang tertuang dalam peraturan Menteri
ATR/ BPN No. 6 Tahun 2018 dengan tujuan percepatan sertipikasi seluruh bidang tanah di Indonesia
yang belum memiliki sertipikat dan mencegah sengketa serta konflik pertanahan. Penelitian ini
dilakukan untuk mendapatkan gambaran tentang pencapaian efektivitas BPN kabupaten Lampung
Tengah dalam upaya mengurangi, mencegah konflik pertanahan dalam mewujudkan good governance
melalui program Pendaftaran Tanah Sistematis Lengkap (PTSL) di Kecamatan Bangun Rejo. Penelitian
ini ditinjau dengan menggunakan pendekatan gabungan menurut S. B. Hari Lubis dan Martani Huseini
untuk mendapatkan gambaran tentang pencapaian pelaksanaan dan target sertipikasi, pencapaian
sumber serta proses dan koordinasi pelaksana program PTSL. Jenis penelitian ini adalah penelitian
deskriptif dengan menggunakan pendekatan kualitatif dan menggunakan metode pengumpulan data
melalui observasi, wawancara dan dokumentasi serta menggunakan keabsahan data yang diperiksa
dengan menggunakan metode triangulasi dan kecukupan referensial. Secara menyeluruh pelaksanaan
program PTSL di Kecamatan Bangun Rejo oleh BPN Kabupaten Lampung Tengah terlaksana dengan
baik melihat pencapaian penerbitan sertipikat pada program PTSL 2018 di Kecamatan Bangun Rejo,
pemanfaatan SDM dan Non SDM yang sangat baik serta proses dan koordinasi pelaksana sesuai alur
koordinasi dalam pelaksanaan program PTSL 2018 di Kecamatan Bangun Rejo",['H1'],2020-05-30 08:25:22,archive,show,6,1,"IMPLEMENTASI PROGRAM PENDAFTARAN TANAH SISTEMATIS LENGKAP
DI KECAMATAN BANGUN REJO KABUPATEN LAMPUNG TENGAH",['FISIP2'],article,disk0/00/02/11/66,1970-01-01 00:00:00.000002019,2714-7673,"[{'id': None, 'name': {'lineage': None, 'family': 'Adensyah', 'honourific': None, 'given': 'Binter'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Hermawan', 'given': 'Dedy'}, 'id': 'hermawan.dedy@yahoo.com'}, {'id': 'devi.yulianti@fisip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Yulianti', 'given': 'Devi'}}]","Administrativa: Jurnal Birokrasi, Kebijakan dan Pelayanan Publik",55-62,2020-05-30 08:25:22,63,2020-05-30 08:25:22,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/21166,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 21166, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34548', 'main': 'Implementasi Program Pendaftaran Tanah Sistematis Lengkap Di Kecamatan Bangun Rejo Kabupaten Lampung Tengah.pdf', 'docid': 34548, 'files': [{'filename': 'Implementasi Program Pendaftaran Tanah Sistematis Lengkap Di Kecamatan Bangun Rejo Kabupaten Lampung Tengah.pdf', 'hash': '11df4b65fe436228ed213bd6565542c3', 'hash_type': 'MD5', 'mtime': '2020-05-30 08:07:31', 'mime_type': 'application/pdf', 'fileid': 197180, 'filesize': 486827, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/197180', 'objectid': 34548}]}]",Jurusan Administrasi Negara,1,pub,,,,,,,,,,,,,,,,,,,,,
1,published,40543,"Pulau pasaran memiliki potensi ekonomi yang tinggi dan dikenal sebagai salah satu
wilayah penghasil ikan teri terbesar di Provinsi Lampung. Potensi tersebut belum
terkelola dengan baik terutama dalam mengorganisasi para pengolah ikan. Penelitian ini
bertujuan untuk memperoleh gambaran pemberdayaan masyarakat pesisir dan
teridentifikasi kendala yang dihadapi dalam pemberdayaan masyarakat pesisir melalui
pengembangan klaster ikan. Penelitian ini menggunakan tipe penelitian deskriptif dengan
pendekatan kualitatif. Hasil penelitian menunjukan bahwa pemberdayaan masyarakat
melalui pengembangan klaster ikan di Pulau Pasaran belum maksimal karena tidak ada
upaya yang bersifat pemeliharaan klaster ikan di Pulau Pasaran untuk selanjutnya. faktor
yang menjadi kendala yaitu, sulitnya merubah pola pikir dan paradigma komunitas
sasaran, Adanya keterbatasan dana, dan Tingkat pendidikan rendah
Kata kunci : pemberdayaan masyarakat pesisir, pengembangan klaster ikan",['H1'],2022-03-30 01:06:38,archive,show,9,,Pemberdayaan Masyarakat Pesisisr Melalui Pengembangan Klaster Ikan di Pulau Pasaran Kota Bandar Lampung,['FISIP2'],conference_item,disk0/00/04/05/43,2019-08-08 00:00:00.000000000,,"[{'name': {'given': 'Ali', 'lineage': None, 'family': 'Ali Imron', 'honourific': None}, 'id': None}, {'id': 'dewie.brima@fisip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Dewie Brima Atika', 'given': 'DW Atika'}}, {'id': None, 'name': {'given': 'EB Sulistio', 'lineage': None, 'family': 'Eko Budi Sulistio', 'honourific': None}}]",,113-120,2022-03-30 01:06:38,127,2022-03-30 01:06:38,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/40543,"[{'docid': 161868, 'main': '14 Imron, Atika dkk.pdf', 'files': [{'fileid': 451748, 'mime_type': 'application/pdf', 'mtime': '2022-03-25 09:38:17', 'hash_type': 'MD5', 'filename': '14 Imron, Atika dkk.pdf', 'hash': '6a914d7af58e75c3e2fce6abdcf635b6', 'datasetid': 'document', 'filesize': 1017454, 'objectid': 161868, 'uri': 'http://repository.lppm.unila.ac.id/id/file/451748'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/161868', 'rev_number': 2, 'eprintid': 40543, 'placement': 1, 'security': 'public', 'language': 'id', 'mime_type': 'application/pdf', 'content': 'published'}]",,,pub,"Seminar Nasional SEFILA 3  Tahun 2019 ""Agenda Baru Pembangunan Indonesia Berbasis Local Knowledge",Bandar Lampung,conference,8 Agustus 2019,"['Universitas Lampung', 'Universitas Lampung']",paper,,,,,,,,,,,,,,,
2,published,12840,"The purpose of this study was to determine the performance of
Lampung University employees, through leadership style and work motivation.
This study used a correlational quantitative approach. The population of this
study was all employees of education staff at the General and Financial
Devision at Lampung University of 110 people. Samples were taken
purposively, as many as 53 employees. Data was collected using survey
methods. The data were analyzed by simple and multiple linear regression with
the help of SPSS 17.0 statistical software. Based on the results of testing the
hypothesis of the influence of leadership style on employee performance, the
results of t-count of 2.374 and t-table of 1.67655 were obtained. Furthermore,
the motivation variables on employee performance, the results of t-count were
7.283 and t-table was 1.67655. Simultaneous testing or jointly obtained results
of F-count statistics of 40,288 and F-table 3.18. The results of the analysis can
be concluded that employee performance at the General and Financial Bureau
of Lampung University is influenced by motivation.",['AI'],2019-05-14 03:02:36,archive,show,7,13,"KINERJA PEGAWAI UNIVERSITAS LAMPUNG DITINJAU DARI GAYA
KEPEMIMPINAN DAN MOTIVASI KERJA",['FISIP2'],article,disk0/00/01/28/40,2019-04-01 00:00:00.000000000,p-ISSN: 1978-2098; e-ISSN: 2407-8557,"[{'name': {'family': 'Apandi', 'honourific': None, 'lineage': None, 'given': '.'}, 'id': None}, {'name': {'lineage': None, 'honourific': None, 'family': 'Yulianto', 'given': 'Yulianto'}, 'id': 'yulianto@fisip.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Rosalia', 'lineage': None, 'given': 'Feni'}, 'id': None}]",CENDEKIA,19-32,2019-05-14 03:02:36,1043,2019-05-14 03:02:36,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/12840,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 12840, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/25824', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/113250', 'objectid': 25824, 'filename': 'ok2.pdf', 'hash': '6c2a0d97c561df4a392ec6c8d1de7db4', 'hash_type': 'MD5', 'mtime': '2019-05-14 02:47:39', 'mime_type': 'application/pdf', 'fileid': 113250, 'filesize': 290221, 'datasetid': 'document'}], 'main': 'ok2.pdf', 'docid': 25824}]",,1,pub,,,,,,,,,,,,,,,,,,,,,
3,,16590,"Village financial reporting is a form of accountability and transparency which is a necessity for the village apparatus. Based on information obtained, in Bay Bahuga Subdistrict, Way Kanan District, Lampung Province, many village officials who did not understand in the preparation of village financial reports were good and right so sending reports to the sub-district was often late. This is a problem that is the starting point for the implementation of this activity. The methods used in this activity are lectures and group discussions. Based on the results of the pre-test and post-test, the participants' understanding of village financial reporting was 23.67%.",['H1'],2019-11-18 07:20:34,archive,show,7,,Peningkatan Kapasitas Perangkat Desa Dalam Penyusunan Laporan Keuangan Desa Se-Kecamatan Buay Bahuga Kabupaten Way Kanan,['FISIP2'],conference_item,disk0/00/01/65/90,2019-01-01 00:00:00.000000000,,"[{'id': 'dewie.brimaatika@fisip.unila.ac.id', 'name': {'given': 'Dewie', 'honourific': None, 'family': 'Atika', 'lineage': None}}, {'name': {'lineage': None, 'family': 'Prihantika', 'honourific': None, 'given': 'Ita'}, 'id': 'itaprihantika@fisip.unila.ac.id'}, {'id': 'rahayu.sulistiowati@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Sulistiowati', 'lineage': None, 'given': 'Rahayu'}}]",,178-183,2019-11-18 07:20:34,307,2019-11-18 07:20:34,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/16590,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/29663', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 399625, 'fileid': 141453, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-11-15 08:07:59', 'filename': 'Atika_semteks.pdf', 'hash': '154380987466a76f481071aaa12fb85e', 'objectid': 29663, 'uri': 'http://repository.lppm.unila.ac.id/id/file/141453'}], 'main': 'Atika_semteks.pdf', 'docid': 29663, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 16590}]",,,pub,SEMINAR NASIONAL PENERAPAN IPTEKS “Peran Penelitian Pertanian Untuk Mendukung Pengembangan Teknologi Pertanian Berbasis Sumber Daya Lokal dan Pemberdayaan Masyarakat”,"Bukti Randu Hotel and Resort, Bandarlampung",conference,08 Oktober 2018,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",paper,https://jurnal.polinela.ac.id/index.php/SEMTEKS/article/view/1214,,,,,,,,,,,,,,
4,published,45928,"Tourism is currently one of the mainstay driving the village economy. The tourism
potential in a village will certainly bring economic benefits if managed properly. One model
of tourism development that is suitable to be managed in rural areas is community-based
tourism. This community-based tourism model can provide various benefits, besides
increasing income it can also support environmentally sound development, preservation of
local culture, community empowerment and even distribution of community income. Pekon
Pardasuka is one of the villages in the Pardasuka sub-district of Pringsewu district wanting
to increase the village's original income through the tourism sector but does not yet
understand how to form / develop tourism suitable to the conditions of the village, therefore a
training on community-based tourism.",['H1'],2022-10-25 02:43:33,archive,show,7,,"PELATIHAN TENTANG PARIWISATA BERBASIS MASYARAKAT
DI PEKON PARDASUKA, KECAMATAN PARDASUKA,

KABUPATEN PRINGSEWU",['FISIP2'],article,disk0/00/04/59/28,1970-01-01 00:00:00.000002019,978-623-90328-2-1,"[{'name': {'given': 'Dewie', 'lineage': None, 'honourific': None, 'family': 'Atika'}, 'id': 'dewie.brimaatika@fisip.unila.ac.id'}, {'name': {'given': 'Rahayu', 'lineage': None, 'honourific': None, 'family': 'Sulistiowati'}, 'id': 'rahayu.sulistiowati@fisip.unila.ac.id'}, {'id': 'indrie02@gmail.com', 'name': {'given': 'Susana Indriati', 'lineage': None, 'family': 'Caturiani', 'honourific': None}}, {'name': {'given': 'Ani Agus', 'family': 'Puspawati', 'honourific': None, 'lineage': None}, 'id': 'ani_wardianto@yahoo.co.id'}]",Prosiding SNPPM UM Meto Ke-1 Tahun 2019 (https://snppm.ummetro.ac.id),348-353,2022-10-25 02:43:33,590,2022-10-25 02:43:33,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/45928,"[{'docid': 184740, 'main': 'Cek Similarity SNPPM pelatihan CBT pardasuka 2019.pdf(1).pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 508599, 'filename': 'Cek Similarity SNPPM pelatihan CBT pardasuka 2019.pdf(1).pdf', 'hash': 'bbdf5b5f2211b1d4128fcceeaca0cf99', 'hash_type': 'MD5', 'mtime': '2022-10-24 10:32:59', 'datasetid': 'document', 'filesize': 504187, 'objectid': 184740, 'uri': 'http://repository.lppm.unila.ac.id/id/file/508599'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184740', 'rev_number': 1, 'eprintid': 45928, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",Lembaga Penelitian UM Metro,,pub,,,,,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",,http://repository.lppm.unila.ac.id/id/eprint/21374,"[{'url': 'http://repository.lppm.unila.ac.id/id/eprint/21374', 'type': 'pub'}]",,,,,,,,,,,,,
5,,45682,"Tourism is currently one of the mainstay driving the village economy. The tourism
potential in a village will certainly bring economic benefits if managed properly. One model
of tourism development that is suitable to be managed in rural areas is community-based
tourism. This community-based tourism model can provide various benefits, besides
increasing income it can also support environmentally sound development, preservation of
local culture, community empowerment and even distribution of community income. Pekon
Pardasuka is one of the villages in the Pardasuka sub-district of Pringsewu district wanting
to increase the village's original income through the tourism sector but does not yet
understand how to form / develop tourism suitable to the conditions of the village, therefore a
training on community-based tourism.
Keyword: community-based tourism",['H1'],2022-10-14 01:20:05,archive,show,8,,"PELATIHAN TENTANG PARIWISATA BERBASIS MASYARAKAT
DI PEKON PARDASUKA, KECAMATAN PARDASUKA,
KABUPATEN PRINGSEWU",['FISIP2'],conference_item,disk0/00/04/56/82,1970-01-01 00:00:00.000002019,,"[{'id': 'dewie.brimaatika@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Atika', 'lineage': None, 'given': 'Dewie'}}, {'id': 'rahayu.sulistiowati@fisip.unila.ac.id', 'name': {'given': 'Rahayu', 'honourific': None, 'family': 'Sulistiowati', 'lineage': None}}, {'id': 'indrie02@gmail.com', 'name': {'honourific': None, 'family': 'Caturiani', 'lineage': None, 'given': 'Susana Indriati'}}, {'name': {'given': 'Ani Agus', 'family': 'Puspawati', 'honourific': None, 'lineage': None}, 'id': 'ani_wardianto@yahoo.co.id'}]",,348-353,2022-10-14 01:20:05,590,2022-10-14 01:20:05,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/45682,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/184488', 'rev_number': 1, 'main': 'PELATIHAN TENTANG PARIWISATA BERBASIS MASYARAKAT.pardasuka.pdf', 'docid': 184488, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/506719', 'objectid': 184488, 'hash': 'c71fc1a59bcad1540a5545d37c6fd505', 'filename': 'PELATIHAN TENTANG PARIWISATA BERBASIS MASYARAKAT.pardasuka.pdf', 'hash_type': 'MD5', 'mtime': '2022-10-13 17:19:47', 'mime_type': 'application/pdf', 'fileid': 506719, 'filesize': 475672, 'datasetid': 'document'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 45682, 'placement': 1, 'security': 'public'}]",,,pub,Seminar Peneletian dan pengabdian masyarakat SNPPM Univ Muhamadiyah metro,metro,conference,2019,"['universitas lampung', 'Universitas lampung', 'Universitas lampung', 'Universitas Lampung']",paper,https://prosiding.ummetro.ac.id/index.php/snppm,[{'url': 'https://prosiding.ummetro.ac.id/index.php/snppm'}],,,,,,,,,,,,,
6,published,21901,"This paper examines the pre-placement governance of Indonesia Overseas Migrant Workers (OMW). The pre-placement is one part of the deployment placement cycle. The other part is placement and post-placement. In pre-placement, village is the first government institution that process them. Ideally, the government manages these migrations so that they are protected and successful. Nevertheless, the village cannot prevent OMW candidates from departing abroad without through government procedures. There is a way between ideal and not good, it is good enough way. Overseas Migrant Workers originate from Cianjur, one of the regencies in West Java Province, Indonesia. Most of them are married women and work as domestic helpers in families in Middle Eastern countries, especially Saudi Arabia. Their motivation for working abroad is to have a better life. This study is a qualitative research. Informant interview results is primary data complemented observation and utilization of related documents. Finaly, this paper shows circular road for protecting migrant worker and their family.",['HN'],2020-06-04 20:56:57,archive,show,7,6,“Circular Road” as Good Enough Way: Learning from Indonesia in Protection of Overseas Migrant Workers in the Area of Origin,['FISIP2'],article,disk0/00/02/19/01,2019-11-01 00:00:00.000000000,2225-7225,"[{'name': {'given': 'Susana Indriyati', 'honourific': None, 'family': 'Caturiani', 'lineage': None}, 'id': 'Indrie02@gmail.com'}, {'name': {'honourific': None, 'family': 'Nugroho', 'lineage': None, 'given': 'Bernardus Yuliarto'}, 'id': None}, {'name': {'lineage': None, 'honourific': None, 'family': 'Kasim', 'given': 'Azhar'}, 'id': None}]",International Journal of Management and Administrative Sciences (IJMAS),12-24,2020-06-04 20:56:57,170,2020-06-04 20:56:57,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/21901,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/35319', 'rev_number': 2, 'main': 'IJMAS-6607-2019.pdf', 'docid': 35319, 'files': [{'objectid': 35319, 'uri': 'http://repository.lppm.unila.ac.id/id/file/202344', 'mime_type': 'application/pdf', 'fileid': 202344, 'filename': 'IJMAS-6607-2019.pdf', 'hash': '52b4f05cd517e15ec05330eab8299862', 'mtime': '2020-06-04 17:17:51', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 870629}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 21901, 'placement': 1, 'security': 'public'}]",Pakistan Society of Business and Management Research,7,pub,,,,,,,https://www.ijmas.org,"[{'url': 'https://www.ijmas.org/6-7/IJMAS-6607-2019.pdf', 'type': 'pub'}]",,,,,,,,,,,,,
7,published,14992,Hasil Penilaian Peer Review/ Teman Sejawat,['HF'],2019-11-04 03:14:45,archive,show,11,1,Capitalism and Corporate In Lampung Local Politics,['FISIP2'],article,disk0/00/01/49/92,2019-03-05 00:00:00.000000000,2460-7350,"[{'id': 'dedy.hermawan@fisip.unila.ac.id', 'name': {'given': 'Dedy', 'lineage': None, 'honourific': None, 'family': 'Dedy Hermawan'}}]",KomunItas International Journal,,2019-11-04 03:14:45,572,2019-11-04 03:14:45,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/14992,"[{'docid': 28123, 'main': 'Jurnal Ilmiah Nasional (Capitalism and Corporate In Lampung Local Politics 2018 Sindung)-digabungkan.pdf', 'files': [{'datasetid': 'document', 'filesize': 569313, 'mime_type': 'application/pdf', 'fileid': 129258, 'hash': '55e2adea44aa16d359b5ab7cefe78a93', 'filename': 'Jurnal Ilmiah Nasional (Capitalism and Corporate In Lampung Local Politics 2018 Sindung)-digabungkan.pdf', 'mtime': '2019-11-02 05:02:43', 'hash_type': 'MD5', 'objectid': 28123, 'uri': 'http://repository.lppm.unila.ac.id/id/file/129258'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28123', 'eprintid': 14992, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",Universitas Negeri Semarang,11,pub,,,,,['Universitas Lampung'],,http://journal.unnes.ac.id,,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],,,,,,,,,,,,
8,published,14994,Hasil Penilaian Peer Review/Teman Sejawat,['HF'],2019-11-04 03:15:16,archive,show,6,4,Distribute Politics and Manipulative In Local Election,['FISIP2'],article,disk0/00/01/49/94,2019-07-07 00:00:00.000000000,2477-80060,"[{'id': 'dedy.hermawan@fisip.unila.ac.id', 'name': {'given': 'Dedy', 'lineage': None, 'honourific': None, 'family': 'Dedy Hermawan'}}]",Jurnal Politik Indonesia,1-10,2019-11-04 03:15:16,572,2019-11-04 03:15:16,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/14994,"[{'docid': 28125, 'main': 'Jurnal Ilmiah Nasional (Distribute Politics and Manipulative In Local Election 2019 Sindung).pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/129271', 'objectid': 28125, 'filename': 'Jurnal Ilmiah Nasional (Distribute Politics and Manipulative In Local Election 2019 Sindung).pdf', 'hash': 'd0669682b7df3a2aea3b1db4c376efd7', 'mtime': '2019-11-02 05:25:12', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 129271, 'filesize': 543890, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/28125', 'rev_number': 1, 'eprintid': 14994, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",Universitas Negeri Semarang,2,pub,,,,,['Universitas Lampung'],,http://journal.unnes.ac.id,,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],,,,,,,,,,,,
9,published,21156,"United Nations has been changed Millennium Development Goals (MDGs) into Sustainable Development Goals (SDGs). This change has been strengthening human development as one of SDGs pillar beside economic development, ecology development, and institutional development. One of the global instruments to explain human development is the Human Development Index (HDI). Today, one of academic debate surrounding the HDI is what is the determinant of HDI. Based on secondary data in Central Lampung District, Lampung Province, Indonesia, this paper attempt to examine the relationship between independent variables (RLS, HLS, AHH, and PKP) and IPM as the dependent variable. The result shows that RLS, HLS, AHH, and PKP have a positive relationship with IPM. However, each variable has a different effect on IPM. We find that RLS and HLS is the most significant contributor for the IPM. We discuss the theoretical and practical implication this finding in the context of Lampung Province and Central Lampung District.",['JC'],2020-05-30 06:40:43,archive,show,8,7,"Determinan Indeks Pembangunan Manusia Di Kabupaten Lampung Tengah, Provinsi Lampung, Indonesia",['FISIP2'],article,disk0/00/02/11/56,2019-06-30 00:00:00.000000000,ISSN : 2598-4039 (Online) ISSN : 2302-2231 (Print),"[{'name': {'lineage': None, 'honourific': None, 'family': 'Dedy Hermawan', 'given': 'Dedy'}, 'id': 'dedy.hermawan@fisip.unila.ac.id'}, {'name': {'given': 'Yulianto', 'honourific': None, 'family': 'Yulianto', 'lineage': None}, 'id': 'yulianto@fisip.unila.ac.id'}, {'id': 'gezalian@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Alamsyah', 'given': 'Alamsyah'}}]",Jurnal Administrasi Negara Sawala,48-66,2020-05-30 06:40:43,572,2020-05-30 06:40:43,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/21156,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 21156, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34538', 'docid': 34538, 'main': 'Jurnal Sawala 2019 Dedy, Yulianto dan Alamsyah.pdf', 'files': [{'filesize': 858640, 'datasetid': 'document', 'hash': '02f9855bf333dbf1f120665da6bb2982', 'filename': 'Jurnal Sawala 2019 Dedy, Yulianto dan Alamsyah.pdf', 'hash_type': 'MD5', 'mtime': '2020-05-30 06:17:28', 'mime_type': 'application/pdf', 'fileid': 197104, 'uri': 'http://repository.lppm.unila.ac.id/id/file/197104', 'objectid': 34538}]}, {'language': 'en', 'mime_type': 'text/html', 'eprintid': 21156, 'placement': 2, 'security': 'public', 'pos': 2, 'format': 'text', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34539', 'docid': 34539, 'main': 'index.html', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/197112', 'objectid': 34539, 'filename': 'index.html', 'hash': '0d9363caa68f0efb2179d69b058af555', 'hash_type': 'MD5', 'mtime': '2020-05-30 06:19:24', 'mime_type': 'text/html', 'fileid': 197112, 'filesize': 21475, 'datasetid': 'document'}]}]",Prodi Administrasi Negara FISIP Universitas Serang Raya,1,pub,,,,,,,https://e-jurnal.lppmunsera.org/index.php/Sawala/issue/view/158,,,,,,,,,,,,,,
