,number,ispublished,documents,full_text_status,uri,refereed,lastmod,userid,datestamp,publication,creators,dir,date,type,divisions,title,volume,rev_number,metadata_visibility,eprint_status,status_changed,subjects,abstract,eprintid,date_type,official_url,id_number,publisher,related_url,contact_email,issn,pagerange,corp_creators,referencetext,event_type,event_title,pres_type
0,2.0,pub,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 18026, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32950', 'main': '8. Ari D Reviewer Local Autonomy.pdf', 'docid': 32950, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/185919', 'objectid': 32950, 'filesize': 675384, 'datasetid': 'document', 'mtime': '2020-05-15 07:27:48', 'hash_type': 'MD5', 'filename': '8. Ari D Reviewer Local Autonomy.pdf', 'hash': '63ac180ef623bf5241da0af25720a57d', 'fileid': 185919, 'mime_type': 'application/pdf'}]}]",public,http://repository.lppm.unila.ac.id/id/eprint/18026,TRUE,2020-05-15 07:27:48,7,2020-02-18 01:54:37,Goverment and Politics,"[{'name': {'given': 'Ari', 'honourific': None, 'family': 'Darmastuti', 'lineage': None}}]",disk0/00/01/80/26,1970-01-01 00:00:00.000002014,article,['FISIP3'],local autonomy and inter sector performance based governance in lampung province,5.0,7,show,archive,2020-02-18 01:54:37,['AC'],Hasil Penilaian Sejawat Sebidang Atau Peer Review Karya Ilmiah: Jurnal Ilmiah Nasional Akreditasi,18026,published,,,,,,,,,,,,
1,,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 18038, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31173', 'main': '8. Similarity -Local_Autonomy_and_Inter_Sector_Performance_Based.pdf', 'docid': 31173, 'files': [{'objectid': 31173, 'uri': 'http://repository.lppm.unila.ac.id/id/file/152056', 'datasetid': 'document', 'filesize': 1758781, 'mime_type': 'application/pdf', 'fileid': 152056, 'hash': 'f27d08e268337e9419be0b18fd64ce51', 'filename': '8. Similarity -Local_Autonomy_and_Inter_Sector_Performance_Based.pdf', 'hash_type': 'MD5', 'mtime': '2020-02-18 01:38:27'}]}]",public,http://repository.lppm.unila.ac.id/id/eprint/18038,TRUE,2020-02-18 01:53:40,880,2020-02-18 01:53:40,Goverment and Politics,"[{'name': {'family': 'Darmastuti', 'honourific': None, 'lineage': None, 'given': 'Ari'}}]",disk0/00/01/80/38,1970-01-01 00:00:00.000002014,article,['FISIP3'],local autonomy and inter sector performance based governance in lampung province,,6,show,archive,2020-02-18 01:53:40,['AC'],Similarity,18038,published,,,,,,,,,,,,
2,3.0,pub,"[{'main': 'Peta Kekuatan Politik Partai-partai Islam.pdf', 'docid': 31463, 'files': [{'datasetid': 'document', 'filesize': 3932308, 'mime_type': 'application/pdf', 'fileid': 154103, 'filename': 'Peta Kekuatan Politik Partai-partai Islam.pdf', 'hash': '860192cb931eec4013022c082cc10335', 'hash_type': 'MD5', 'mtime': '2020-02-28 15:10:31', 'objectid': 31463, 'uri': 'http://repository.lppm.unila.ac.id/id/file/154103'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31463', 'rev_number': 1, 'eprintid': 18312, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/18312,TRUE,2020-03-03 09:10:30,813,2020-03-03 09:10:30,Jurnal Islam & Demokrasi,"[{'id': 'hertanto.1960@fisip.unila.ac.id', 'name': {'given': 'Hertanto', 'honourific': None, 'family': 'Hertanto', 'lineage': None}}]",disk0/00/01/83/12,2014-04-01 00:00:00.000000000,article,['FISIP3'],"PETA KEKUATAN POLITIK PARTAI-PARTAI ISLAM: 
PERSAINGAN DAN KOALISI DALAM PEMILU DI LAMPUNG",1.0,6,show,archive,2020-03-03 09:10:30,['JQ'],"ABSTRACT


Islamic parties had triumphed in the trajectory of politics in Indonesia, especially in the 1955 election. Entering the authoritarian New Order era, the Islamic party that begins a drastic decline from the 1971 election and subsequent elections (1977-1997). This study aims to explain the map strength, competition, and cooperation (coalition) of Islamist parties in the elections, presidential elections, and local elections in Lampung post-New Order. The results showed a tendency of Islamic parties do not have high competitiveness compared with nationalist parties in the Parliament election results of 1999 and 2004 elections. This weakness was not supported by the ability of legislative representatives as members of legislative quality. In terms of cohesiveness as a collective force, Islamic parties have not been able to be a balancing force and alternatives. Patterns coalition of Islamic parties in the 2004 presidential election and the 2005 local elections in Lampung is still varied and consideration is political interest, not similarities party ideology and vision. This phenomenon indicates the prominence of narrow pragmatism aspect to pursue short-term goals.

Keywords: Political Map, the Islamic Party, Competition, Coalition, Elections",18312,published,https://fisip.unand.ac.id/en/alumni/data-alumni/tahun-2019/item/135-jurnal-islam-demokrasi-ilmu-politik,75171266.0,"Jurusan Ilmu Politik, Fakultas Ilmu Sosial dan Ilmu Politik, Universitas Andalas","[{'type': 'pub', 'url': 'https://fisip.unand.ac.id/en/alumni/data-alumni/tahun-2019/item/135-jurnal-islam-demokrasi-ilmu-politik'}]",jurnal.islamdemokrasi.@gmail.com,2252-7842,31-46,,,,,
3,,pub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31584', 'format': 'text', 'pos': 1, 'files': [{'mime_type': 'application/pdf', 'fileid': 154986, 'hash': '6e6e03c4ab268848676567dfb1e04619', 'filename': 'RIDHO.pdf', 'hash_type': 'MD5', 'mtime': '2020-03-07 13:40:09', 'datasetid': 'document', 'filesize': 338016, 'objectid': 31584, 'uri': 'http://repository.lppm.unila.ac.id/id/file/154986'}], 'main': 'RIDHO.pdf', 'docid': 31584, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 18429}]",public,http://repository.lppm.unila.ac.id/id/eprint/18429,TRUE,2020-03-12 02:24:24,813,2020-03-12 02:24:24,Lampung Post,"[{'id': 'hertanto.1960@fisip.unila.ac.id', 'name': {'lineage': None, 'family': 'Hertanto', 'honourific': None, 'given': 'Hertanto'}}]",disk0/00/01/84/29,2014-08-27 00:00:00.000000000,article,['FISIP3'],RIDHO DAN GELOMBANG PEMILUKADA 1,,7,show,archive,2020-03-12 02:24:24,['JS'],"ABSTRAK

Muhammad Ridho Ficardo adalah gubernur baru Lampung (2014) yang fenomenal karena masih muda (33 tahun) dan “anak bawang pendatang baru” di kancah politik elit Lampung. Lebih menarik lagi bahwa pilkada di Lampung tahun 2015 adalah gelombang pertama pilkada di bawah kepemimpinan Gubernur Ridho Ficardo. Stabilitas politik, keamanan, dan netralitas gubernur serta jajaran birokrasinya merupakan batu ujian pertama bagi Gubernur Ridho dalam menyambut gelombang pertama pilkada kabupaten/kota di Lampung pada awal pemerintahannya. Banyak harapan masyarakat yang digantungkan kepada gubernur baru untuk meningkatkan kesejahteraan dan demokrasi lokal yang kondusif dan berkualitas. Kemampuan mengelola dua perkara di atas akan menjadi salah satu tabungan bagi “track record”nya dalam menapaki karier politiknya yang masih terbentang luas dan panjang untuk menuju peringkat yang lebih tinggi dan cemerlang.",18429,published,https://lampungpost.id/blog/category/kolom/opini/,721773888.0,"Harian Umum ""Lampung Post""","[{'type': 'pub', 'url': 'https://lampungpost.id/blog/category/kolom/opini/'}]",redaksi@lampungpost.co.id,1234,4-4,,,,,
4,,pub,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/154964', 'objectid': 31580, 'filename': 'STRATEGI DAN MUSLIHAT DALAM PEMILU (KADA).pdf', 'hash': '0ee6f52cf6adc81fb95aee116ee269e0', 'mtime': '2020-03-07 05:54:21', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 154964, 'filesize': 548852, 'datasetid': 'document'}], 'main': 'STRATEGI DAN MUSLIHAT DALAM PEMILU (KADA).pdf', 'docid': 31580, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31580', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 18425, 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/18425,TRUE,2020-03-11 04:53:01,813,2020-03-11 04:53:01,Lampung Post,"[{'name': {'given': 'Hertanto', 'lineage': None, 'family': 'Hertanto', 'honourific': None}, 'id': 'hertanto.1960@fisip.unila.ac.id'}]",disk0/00/01/84/25,2014-01-09 00:00:00.000000000,article,['FISIP3'],STRATEGI DAN MUSLIHAT DALAM PEMILU/KADA,,6,show,archive,2020-03-11 04:53:01,['JF'],"ABSTRAK

Strategi adalah suatu cara untuk mengalahkan lawan atau mencapai tujuan. Strategi ini biasanya mengacu pada rencana yang komprehensif atau berjangka panjang yang mencakup berbagai gerakan yang langsung diarahkan untuk mencapai tujuan yang menyeluruh. Dalam pemilu, strategi digunakan sebagai cara bertindak yang bersifat persuasif dari individu aktivis politik, kelompok, atau partai politik untuk mempengaruhi pemilih dalam usaha memenangkan pemilihan. Dalam negara demokratis, strategi pemenangan pemilu ini mesti dijalankan dalam konteks yang fair play sesuai batasan perundang-undangan yang berlaku. Berbeda dengan strategi, taktik dalam prakteknya lebih mengarah kepada segala tindakan muslihat dan seluk beluk untuk mempengaruhi sikap (pendirian) orang lain tanpa disadari atau memanipulasi orang. Inilah perbedaan penting antara strategi perang dan strategi politik, di mana politik berlangsung dalam kepastian hukum. Bahkan hukum adalah salah satu sumber yang bisa digunakan dalam mencapai tujuan politik. Di samping itu dalam perjuangan politik, hasil akhir yang dicapai adalah merima kekalahan dengan lapang dada atau mendapatkan kemenangan secara beradab. Bukan suatu penaklukan, penyerahan, atau bahkan membunuh dan menghancurkan lawan seperti dalam perang.",18425,published,https://lampungpost.id/,721773888.0,"Harian Umum ""Lampung Post""","[{'type': 'pub', 'url': 'https://lampungpost.id/blog/category/kolom/opini/'}]",redaksi@lampungpost.co.id,1234,12-12,,,,,
5,,pub,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166659', 'docid': 166659, 'main': 'PETA PARPOL ISLAM_JID_Unand_2014.pdf.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/483389', 'objectid': 166659, 'filesize': 679065, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2022-09-05 07:11:04', 'filename': 'PETA PARPOL ISLAM_JID_Unand_2014.pdf.pdf', 'hash': '9bf7610d08b41470c8506fe031750009', 'fileid': 483389, 'mime_type': 'application/pdf'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 44771, 'placement': 1, 'security': 'public'}]",public,http://repository.lppm.unila.ac.id/id/eprint/44771,,2022-09-05 10:00:13,813,2022-09-05 10:00:13,,"[{'name': {'honourific': None, 'family': 'Hertanto', 'lineage': None, 'given': 'Hertanto'}, 'id': 'hertanto.1960@fisip.unila.ac.id'}]",disk0/00/04/47/71,1970-01-01 00:00:00.000002014,other,['FISIP3'],"Similirity : PETA KEKUATAN POLITIK PARTAIPARTAI ISLAM:
PERSAINGAN DAN KOALISI DALAM PEMILU DI LAMPUNG",,9,show,archive,2022-09-05 10:00:13,['JC'],,44771,,,,Universitas Andalas,,,,,,,,,
6,,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 18431, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'datasetid': 'document', 'filesize': 232897, 'mime_type': 'application/pdf', 'fileid': 154999, 'hash': 'deeb5f5ab9a5442dbe22366944fa9f7c', 'filename': 'TAHUN POLITIK.pdf', 'hash_type': 'MD5', 'mtime': '2020-03-07 14:01:47', 'objectid': 31586, 'uri': 'http://repository.lppm.unila.ac.id/id/file/154999'}], 'docid': 31586, 'main': 'TAHUN POLITIK.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31586', 'pos': 1, 'format': 'text'}]",public,http://repository.lppm.unila.ac.id/id/eprint/18431,TRUE,2020-03-12 03:57:43,813,2020-03-12 03:57:43,Radar Lampung,"[{'name': {'given': 'Hertanto', 'honourific': None, 'family': 'Hertanto', 'lineage': None}, 'id': 'hertanto.1960@fisip.unila.ac.id'}]",disk0/00/01/84/31,2014-02-03 00:00:00.000000000,article,['FISIP3'],TAHUN POLITIK DAN MEDIA MASSA DI LAMPUNG,,6,show,archive,2020-03-12 03:57:43,['JF'],"ABSTRAK

Tahun politik adalah tahun di mana akan ada peristiwa-peristiwa politik penting pada tingkat nasional maupun daerah. Pada tahun politik 2014 ini di Lampung akan berlangsung tiga arena pemilihan umum (pemilu), yaitu pemilihan Gubernur Lampung, pemilu legislatif, dan pemilu presiden. Sebagaimana umumnya terjadi, setiap menjelang pemilu maka dinamika, tensi, dan suhu politik mulai meningkat dan mulailah wabah konflik internal dan antarpartai politik mulai berjangkit. Pemilu 2014 sebagai sebuah peristiwa demokrasi, pasti membuat media massa saling berlomba menyajikan berita dan liputan politik terbaiknya. Harapannya, media massa hendaknya mampu menjadi bagian penting dari demokrasi dengan mengambil fungsi posisi sebagai gerakan pencerdasan politik yang mencerahkan dalam proses pendidikan demokrasi di Lampung. Media massa memiliki peran yang cukup penting di dalam proses demokratisasi lokal pada era reformasi. Bahkan, media massa yang sebelumnya menjadi obyek kontrol dari pemerintah, telah memiliki andil yang cukup besar bagi penyebaran gagasan dan gerakan tentang pentingnya mengakhiri pemerintahan yang otoriter.",18431,published,https://radarlampung.co.id/?s=penerbit+radar+lampung,721782306.0,Radar Group,"[{'type': 'pub', 'url': 'https://radarlampung.co.id/?s=penerbit+radar+lampung'}]",admin@radarlampung.co.id,,N4-N4,,,,,
7,2.0,pub,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34626', 'docid': 34626, 'main': 'PERGESERAN_PARADIGMA_DAN_JEBAKAN_PENDEKA.pdf', 'files': [{'filesize': 394729, 'datasetid': 'document', 'filename': 'PERGESERAN_PARADIGMA_DAN_JEBAKAN_PENDEKA.pdf', 'hash': 'd825d1d3a49f4ff751bc2d70d85f7ffe', 'mtime': '2020-05-31 01:52:37', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 197660, 'uri': 'http://repository.lppm.unila.ac.id/id/file/197660', 'objectid': 34626}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 21229, 'security': 'public', 'placement': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/21229,FALSE,2020-05-31 02:18:41,284,2020-05-31 02:18:41,Jurnal Ilmiah Administrasi Publik dan Pembangunan,"[{'name': {'given': 'Budi', 'lineage': None, 'family': 'Kurniawan', 'honourific': None}, 'id': 'budi.kurniawan@fisip.unila.ac.id'}]",disk0/00/02/12/29,1970-01-01 00:00:00.000002014,article,['FISIP3'],PERGESERAN PARADIGMA DAN JEBAKAN PENDEKATAN OLD-INSTITUTIONALISM DALAM STUDI POLITIK DAN PEMERINTAHAN DI UNIVERSITAS LAMPUNG,5.0,10,show,archive,2020-05-31 02:18:41,['JC'],"The main purpose of this research is to identify the position of political studies in the Department of Government, the University of Lampung (Unila) in the middle of trend and the paradigm shifts in political science. The methodology used is qualitative research with content (simple quantitative data) and discourse analyses. The primary data are 80 undergraduate students' theses that are collected randomly. This research concludes that there is a fallacy in the meaning of politics among students perception. The politics means
the study of political party, voting behaviour and election. In contrast,according to the students' point if views, the study of government is the study of state institutions with the old-institutionalism approach.",21229,published,,,,,,,114-121,,,,,
8,,pub,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27229', 'docid': 27229, 'main': '16.pdf', 'files': [{'fileid': 123255, 'mime_type': 'application/pdf', 'mtime': '2019-09-12 04:50:54', 'hash_type': 'MD5', 'filename': '16.pdf', 'hash': '0a74e502be55ad533a9641f3d967b36f', 'datasetid': 'document', 'filesize': 229619, 'objectid': 27229, 'uri': 'http://repository.lppm.unila.ac.id/id/file/123255'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 14188, 'placement': 1, 'security': 'public'}]",public,http://repository.lppm.unila.ac.id/id/eprint/14188,,2019-10-17 01:04:05,681,2019-10-17 01:04:05,,"[{'name': {'given': 'Maulana', 'lineage': None, 'honourific': None, 'family': 'Mukhlis'}, 'id': 'maulanamukhlis1978@gmail.com'}]",disk0/00/01/41/88,1970-01-01 00:00:00.000002014,other,['FISIP3'],Analisis isu kebijakan dalam pengembangan kelembagaan pemerintah (studi di BP4K kabupaten pesawaran),,7,show,archive,2019-10-17 01:04:05,['AC'],Sejawat Sebidang peer review,14188,published,,,DIPA Fisip Unila,,,,,,,,,
9,,unpub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 18410, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31561', 'main': 'Laporan DIPA FISIP 2015.pdf', 'docid': 31561, 'files': [{'datasetid': 'document', 'filesize': 780663, 'fileid': 154849, 'mime_type': 'application/pdf', 'mtime': '2020-03-06 04:38:04', 'hash_type': 'MD5', 'hash': '6a171e5ae39763c6d71ab864f83b1bd6', 'filename': 'Laporan DIPA FISIP 2015.pdf', 'objectid': 31561, 'uri': 'http://repository.lppm.unila.ac.id/id/file/154849'}]}]",public,http://repository.lppm.unila.ac.id/id/eprint/18410,,2020-03-06 05:50:00,681,2020-03-06 05:50:00,,"[{'name': {'honourific': None, 'family': 'Mukhlis', 'lineage': None, 'given': 'Maulana'}, 'id': 'maulanamukhlis1978@gmail.com'}, {'id': 'symakhya@yahoo.com', 'name': {'given': 'syarief', 'lineage': None, 'honourific': None, 'family': 'makhya'}}, {'name': {'given': 'PIPING SETIA', 'lineage': None, 'family': 'PRIANGGA', 'honourific': None}, 'id': None}]",disk0/00/01/84/10,1970-01-01 00:00:00.000002014,other,['FISIP3'],ANALISIS ISU KEBIJAKAN DALAM PENGEMBANGAN KELEMBAGAAN PEMERINTAH  (Studi Di BP4K Kabupaten Pesawaran),,9,show,archive,2020-03-06 05:50:00,['H1'],"Dalam rangka mengatasi persoalan pelayanan publik, pemerintah daerah dihadapkan pada keterbatasan sumberdaya. Dilihat dari perspektif peran dan fungsi pemerintah, maka semakin meluas apapun berbagai isu-isu kebijakan publik seyogyanya harus bisa diatasi dan dipecahkan oleh pemerintah sehingga masyarakat memperoleh kepuasan atas pelayanan yang diberikan oleh kelembagaan pemerintah daerah. Salah satu urusan wajib pemerintah daerah adalah sektor pertanian, termasuk perikanan dan kehutanan. Sektor ini terbukti dapat diandalkan dalam menghadapi krisis ekonomi di Indonesia. 
Penelitian ini hendak menjawab pertanyaan tentang isu-isu kebijakan publik apa yang berkembang pada kelembagaan pemerintah (dalam hal ini BP4K Kabupaten Pesawaran), keterbatasan apa yang dihadapi oleh lembaga tersebut dalam mengatasi isu-isu kebijakan publik dan pelayanan publik, serta rekomendasi kebijakan seperti apa yang bisa mengantisipasi dan mengatasi berbagai persoalan isu-isu kebijakan yang dialami oleh BP4K Kabupaten Pesawaran di masa mendatang. 
Hasil penelitian menunjukkan bahwa isu strategis dan/atau permasalahan yang dihadapi oleh BP3K di Kabupaten Pesawaran secara umum terdiri atas 7 (tujuh) aspek mulai aspek kelembagaan penyuluh dan kelompok tani, aspek penyuluh, aspek petani, aspek kerja sama, aspek sarana prasarana, aspek penyelenggaraan penyuluhan, dan aspek pembiayaan. Sedangkan isu kebijakan dalam pengorganisasian kelembagaan penyuluhan pertanian yang dijumpai pada kegiatan penyuluhan pertanian termasuk peran Pemerintah Daerah Kabupaten Pesawaran dalam aspek kelembagaan mencakup (1) Dalam kelembagaan BP4K, meskipun seharusnya sudah ada keterpaduan, namun masih ada pemisahan antara sektor perkebunan, perikanan, kehutanan, dan tanaman pangan sehingga pola koordinasi belum berjalan baik. (2) BP4K Kabupaten Pesawaran belum optimal dalam memberikan dukungan regulasi (keputusan bupati), dukungan anggaran maupun dukungan instrumen yang dibutuhkan oleh BP3K dalam pelaksanaan penyuluhan maupun penilaian kelompok tani dan/atau gabungan kelompok tani. (3) Kelembagaan petani di tingkat desa juga masih terpecahpecah ke dalam sektor tertentu (kehutanan misalnya), padahal idealnya sektor tersebut adalah seksi atau bagian atau sub-bidang dari kelompok tani.",18410,published,,,Universitas Lampung,,,,,"['Jurusan Ilmu Pemerintahan FISIP Universitas Lampung', 'Jurusan Ilmu Pemerintahan FISIP Universitas Lampung', 'Jurusan Ilmu Pemerintahan FISIP Universitas Lampung']",,,,
