,documents,publisher,number,ispublished,refereed,full_text_status,uri,lastmod,userid,datestamp,creators,issn,publication,dir,date,type,divisions,title,official_url,metadata_visibility,volume,rev_number,related_url,status_changed,eprint_status,abstract,subjects,eprintid,date_type,isbn,place_of_pub,pages,book_title,pagerange,referencetext,corp_creators,id_number,editors,institution,department,monograph_type,succeeds,contact_email,pres_type,event_type,event_dates,event_location,event_title,note,keywords,contributors,funders
0,"[{'files': [{'filename': '7. Peer Review JurNas Terakreditasi IPSR.pdf', 'hash': '8e6f816e8c2d687e0d0bd21b3ed67f8c', 'mtime': '2019-11-06 15:45:20', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 135843, 'filesize': 1383054, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/135843', 'objectid': 28925}], 'docid': 28925, 'main': '7. Peer Review JurNas Terakreditasi IPSR.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28925', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 15825, 'mime_type': 'application/pdf', 'language': 'en'}]",Universitas Negeri Semarang,2.0,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/15825,2019-11-07 04:36:04,680,2019-11-07 04:36:04,"[{'name': {'given': 'Robi', 'lineage': None, 'honourific': None, 'family': 'Cahyadi'}, 'id': 'robi_ck@yahoo.com'}]","2477-8060, 2503-4456",Distributive Politics and Manipulative Policy in Local Election,disk0/00/01/58/25,1970-01-01 00:00:00.000002019,article,['FISIP3'],Peer Review Jurnal Nasional Terakreditasi IPSR,https://journal.unnes.ac.id/nju/index.php/jpi/article/view/19122,show,4,6,[{'url': 'https://journal.unnes.ac.id/nju/index.php/jpi/article/view/19122'}],2019-11-07 04:36:04,archive,"Peer Review, Penilaian Rekan Sejawat",['JA'],15825,published,,,,,,,,,,,,,,,,,,,,,,,
1,"[{'files': [{'datasetid': 'document', 'filesize': 1342044, 'mime_type': 'application/pdf', 'fileid': 135835, 'hash': 'b081afe94df874ff3e5ab1ccdf3145f9', 'filename': '6. Peer Review JurNas Terakreditasi Komunitas, Maret 2019.pdf', 'hash_type': 'MD5', 'mtime': '2019-11-06 15:37:18', 'objectid': 28924, 'uri': 'http://repository.lppm.unila.ac.id/id/file/135835'}], 'docid': 28924, 'main': '6. Peer Review JurNas Terakreditasi Komunitas, Maret 2019.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28924', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 15823, 'mime_type': 'application/pdf', 'language': 'en'}]",Unversitas Negeri Semarang,1.0,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/15823,2019-11-07 04:36:01,680,2019-11-07 04:36:01,"[{'id': 'robi_ck@yahoo.com', 'name': {'honourific': None, 'family': 'Cahyadi', 'lineage': None, 'given': 'Robi'}}]",2460-7320,Capitalism and Corporate in Lampung Local Politics,disk0/00/01/58/23,2019-03-01 00:00:00.000000000,article,['FISIP3'],Peer Review Jurnal Nasional Terakreditasi KOMUNITAS,https://journal.unnes.ac.id/nju/index.php/komunitas/article/view/13161,show,11,6,[{'url': 'https://journal.unnes.ac.id/nju/index.php/komunitas/article/view/13161'}],2019-11-07 04:36:01,archive,Peer Review ; Penilaian Rekan Sejawat,['JA'],15823,published,,,,,,,,,,,,,,,,,,,,,,,
2,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/28930', 'rev_number': 3, 'pos': 1, 'format': 'text', 'files': [{'filesize': 18944093, 'datasetid': 'document', 'filename': '1. Buku Political Economy, Cek Similarity 20.pdf', 'hash': 'c77ab34a25768b9345c7f98917b9a897', 'hash_type': 'MD5', 'mtime': '2019-11-06 16:28:02', 'mime_type': 'application/pdf', 'fileid': 135875, 'uri': 'http://repository.lppm.unila.ac.id/id/file/135875', 'objectid': 28930}], 'main': '1. Buku Political Economy, Cek Similarity 20.pdf', 'docid': 28930, 'content': 'published', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 15830}]",Aura Publisher,,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/15830,2020-03-12 03:39:51,680,2019-11-07 04:38:04,"[{'id': 'robi_ck@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Cahyadi', 'given': 'Robi'}}]",,,disk0/00/01/58/30,1970-01-01 00:00:00.000002019,book_section,['FISIP3'],SIMILARITY CHECK RESULT BUKU POLITICAL ECONOMY,http://aura-publishing.com/category/buku-baru-2/,show,1,9,,2019-11-07 04:38:04,archive,SIMILARITY INDEX,['JC'],15830,published,978-623-211-058-8,Bandar Lampung,162.0,"Political Economy,",1-162,,,,,,,,,,,,,,,,,,
3,"[{'security': 'public', 'placement': 1, 'eprintid': 13485, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'mtime': '2019-07-05 14:27:17', 'hash_type': 'MD5', 'hash': 'c284c37594c476a30f117d045c261297', 'filename': 'Jurnal Integratas KPK 2019.pdf', 'fileid': 117924, 'mime_type': 'application/pdf', 'filesize': 787781, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/117924', 'objectid': 26495}], 'docid': 26495, 'main': 'Jurnal Integratas KPK 2019.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26495', 'rev_number': 1, 'format': 'text', 'pos': 1}]",KPK RI,1.0,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/13485,2019-07-16 03:14:42,680,2019-07-16 03:14:42,"[{'name': {'lineage': None, 'family': 'Cahyadi', 'honourific': None, 'given': 'Robi'}, 'id': 'robi_ck@yahoo.com'}, {'name': {'honourific': None, 'family': 'Hermawan', 'lineage': None, 'given': 'Dedy'}, 'id': 'hermawan.dedy@yahoo.com'}]",2615-7977,Jurnal Antikorupsi INTEGRITAS KPK RI,disk0/00/01/34/85,2019-06-26 00:00:00.000000000,article,['FISIP3'],Strategi Sosial Pencegahan Politik Uang di Indonesia,https://jurnal.kpk.go.id/index.php/integritas/article/view/338/70,show,5,7,"[{'type': 'pub', 'url': 'https://jurnal.kpk.go.id/index.php/integritas/article/view/338/70'}]",2019-07-16 03:14:42,archive,"Abstrak
Politik uang dalampemilihan umum dan pemilihan lokal merupakan fenomena yang marak terjadi dalam demokrasi prosedural di Indonesia, terutama sejak pemilihanlangsung tahun 2004.  Pemilih  sudah  sangat  faham  dengan  istilah money  politicsdan  juga  tidak  sungkan untuk   menerima   pemberian   dalam   bentuk   uang   dan   barang.   Tulisan   ini   mencoba menawarkan  upaya  untuk  mencegah  praktik  politik  uang  dilhat  dari  sisi  sosiologis  dan psikologis  pemilih,  dengan  memberikan  pemahaman dari  sisi  kognitif  dan  afektif untuk menanamkan   dalam   benak   pemilih   bahwa   politik   uang   adalah   sebuah   kejahatan   dan pelanggaran   etika   serta   moral   yang   mendasar.    Pemilih dalam praktikpemilu   dapatdipengaruhi   pilihannya   jika   diberi   bantuan   barang   atau   pemberianuang.Relasi   atau hubungan  antara  kandidat  dan  pemilih  terjadi  dalam  hal  pembelian  suara,  penyediaan layanan  dan  aktivitas  pribadi,  penyediaan  barang,  pemberian proyek,  kecurangan  pemilu,penampilan  identitas  dan penggalangan  danapara  kandidat  calon  kepala  daerah.Modal sosial   pemilih   serta   kearifan   lokal   diseluruh   daerah   ditanah   air   diharapkan   dapat mereduksi praktik politik uang.
Kata kunci:Modal Sosial, Kearifan Lokal, Politik Uang",['JF'],13485,published,,,,,29-41,,,,,,,,,,,,,,,,,,
4,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/25939', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/114163', 'objectid': 25939, 'hash_type': 'MD5', 'mtime': '2019-05-16 02:06:21', 'hash': '6733ae49cd1454d083346dd9a407012e', 'filename': 'Jurnal Komunitas, March 2019 RcK.pdf', 'fileid': 114163, 'mime_type': 'application/pdf', 'filesize': 302384, 'datasetid': 'document'}], 'main': 'Jurnal Komunitas, March 2019 RcK.pdf', 'docid': 25939, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 12956}]",Universitas Negeri Semarang,1.0,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/12956,2019-05-16 03:37:32,680,2019-05-16 03:37:32,"[{'name': {'given': 'Robi', 'lineage': None, 'honourific': None, 'family': 'Cahyadi'}, 'id': 'robi_ck@yahoo.com'}, {'id': 'hermawan.dedy@yahoo.com', 'name': {'honourific': None, 'family': 'Hermawan', 'lineage': None, 'given': 'Dedy'}}, {'name': {'given': 'Himawan', 'honourific': None, 'family': 'Indrajat', 'lineage': None}, 'id': None}, {'id': None, 'name': {'given': 'Budi', 'lineage': None, 'family': 'Kurniawan', 'honourific': None}}]",p-ISSN 2086 - 5465,"Jurnal Komunitas, International Journal of Indonesian Society and Culture",disk0/00/01/29/56,2019-03-30 00:00:00.000000000,article,['FISIP3'],Capitalism and Corporate in Lampung Local Politics,https://journal.unnes.ac.id/nju/index.php/komunitas/article/view/13161,show,11,6,[{'url': 'https://journal.unnes.ac.id/nju/index.php/komunitas/article/view/13161'}],2019-05-16 03:37:32,archive,"ABSTRACT
 
State and company / corporation in the context of governance are two of the three fundamental pillars of democratic development in addition to the market . The relation of both, in the context of Lampung's local politics is object to study, in particular the company /SGC. This research was conducted in May 2014. The study used a qualitative research type, which saw most of the intrinsic social life, with in-depth interviews with personalities and selected informants. The approach used in this study is the approach of critical social science (CSS), which saw social science as a process of critical inquiry phenomenon. The results showed that in Lampung local election at 2014 ago, there were strong relations between the corporation / company in the case of the Sugar Group Company (SGC) in the Lampung Governor  candidates. SGC is serving as a source of funding for the campaign of the election for the last governor election in 2014. SGC does it as a way of business development.",['JS'],12956,published,,,,,22-31,"BOOKS AND JOURNAL
 
Aspinall, Edward. 2013. "" Victory of Capital "". Prism. 32 (1): 20-34.
             
Budiarjo, Miriam. 2008. Basics of Political Science . PT Gramedia Main Library : Jakarta
 
Choirudin, Achmad. 2013. "" Indonesian Capitalism at the Crossroads "". Prism. 32 (1): 121-129.
 
Hadiz, Vedi. 2013. "" The Rise of Capital "". Prism. 32 (1): 3-19.
 
Hiariej, Eric. 2003. ""Marxist State Theory"". Journal of Social and Political Sciences. 7 (2): 261-282.
 
Hiariej, Eric. 2006. ""Development of State Capitalism in Indonesia"". Journal of Social and Political Sciences. 10 (2): 91-120.
 
McIntyre, Andrew. 2007. Indonesia: Democracy and The Promise of Good Governance . Institute of Southeast Asian Studies: Singapo re . .
 
Miles, Mattew B and AM, Huberman. 1992. Qualitative Data Analysis. University of Indonesia Press. Jakarta.
 
Neuman, Lawrence. 2006. Social Research Methods. University of Wisconsin at Whitewater: USA
 
Pratikno. 2005. "" Good Governance and Governability "". Journal of Social and Political Sciences. 8 (3): 231-248.
 
 
 
REGULATIONS
 
Law No. 23 of 201 4 concerning Regional Government .
 
Law No 3 2 Year 200 concerning Regional Government.
 
Law No. 5 1960 concerning Basic Agrarian Basic Regulations (UUPA).
 
Government Regulation No. 40 of 1996 on leasehold, Right to Bang unan, and Right of Use of Land
 
 
ONLINE ARTICLES
 
Barenscoot and Purba (2014) accessed May 25, 2014 from http://www.insideindonesia.org/pe milu-lampung-yang-lapis-gula",,,,,,,,,,,,,,,,,
5,"[{'files': [{'objectid': 149701, 'uri': 'http://repository.lppm.unila.ac.id/id/file/389028', 'datasetid': 'document', 'filesize': 710263, 'mime_type': 'application/pdf', 'fileid': 389028, 'filename': 'jurnal.pdf', 'hash': 'bb91ffa8a4624f8abe35cac32cc4156f', 'hash_type': 'MD5', 'mtime': '2021-06-25 04:36:19'}], 'main': 'jurnal.pdf', 'docid': 149701, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/149701', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 32855, 'mime_type': 'application/pdf', 'language': 'en'}]","Jurnal Komunitas, International Journal of Indonesian Society and Culture,",,pub,,public,http://repository.lppm.unila.ac.id/id/eprint/32855,2021-06-25 05:37:55,284,2021-06-25 05:37:55,"[{'name': {'given': 'Robi', 'honourific': None, 'family': 'Cahyadi', 'lineage': None}, 'id': 'robi_ck@yahoo.com'}, {'name': {'given': 'Dedy', 'lineage': None, 'honourific': None, 'family': 'Hermawan'}, 'id': 'dedy.hermawan@fisip.unila.ac.id'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Indrajat', 'given': 'Himawan'}, 'id': None}, {'id': 'budi.kurniawan@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Kurniawan', 'lineage': None, 'given': 'Budi'}}]",,,disk0/00/03/28/55,1970-01-01 00:00:00.000002019,other,['FISIP3'],"Penilaian Teman Sejawat: Capitalism and Corporate in Lampung Local Politics. Jurnal Komunitas, International Journal of Indonesian Society and Culture, 11 (1). pp. 22-31. ISSN p-ISSN 2086 - 5465",https://journal.unnes.ac.id/nju/index.php/komunitas/article/view/13161,show,,7,[{'url': 'http://repository.lppm.unila.ac.id/12956/'}],2021-06-25 05:37:55,archive,"ABSTRACT State and company / corporation in the context of governance are two of the three fundamental pillars of democratic development in addition to the market . The relation of both, in the context of Lampung's local politics is object to study, in particular the company /SGC. This research was conducted in May 2014. The study used a qualitative research type, which saw most of the intrinsic social life, with in-depth interviews with personalities and selected informants. The approach used in this study is the approach of critical social science (CSS), which saw social science as a process of critical inquiry phenomenon. The results showed that in Lampung local election at 2014 ago, there were strong relations between the corporation / company in the case of the Sugar Group Company (SGC) in the Lampung Governor candidates. SGC is serving as a source of funding for the campaign of the election for the last governor election in 2014. SGC does it as a way of business development.",['JA'],32855,published,,,,,,,,,,,,,,,,,,,,,,,
6,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28950', 'pos': 1, 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'fileid': 136017, 'hash': '67efd09ccbf6d2315c26743077ca8bc3', 'filename': '6. JurNas Terakreditasi Komunitas; March 2019, Cek Similarity 14.pdf', 'hash_type': 'MD5', 'mtime': '2019-11-07 03:10:57', 'datasetid': 'document', 'filesize': 5151962, 'objectid': 28950, 'uri': 'http://repository.lppm.unila.ac.id/id/file/136017'}], 'docid': 28950, 'main': '6. JurNas Terakreditasi Komunitas; March 2019, Cek Similarity 14.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 15850}]",Universitas Negeri Semarang,1.0,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/15850,2019-11-07 04:37:54,680,2019-11-07 04:37:54,"[{'id': 'robi_ck@yahoo.com', 'name': {'honourific': None, 'family': 'Cahyadi', 'lineage': None, 'given': 'Robi'}}, {'name': {'given': 'Dedy', 'lineage': None, 'honourific': None, 'family': 'Hermawan'}, 'id': 'hermawan.dedy@yahoo.com'}, {'name': {'given': 'Himawan', 'lineage': None, 'family': 'Indrajat', 'honourific': None}, 'id': None}, {'name': {'family': 'Kurniawan', 'honourific': None, 'lineage': None, 'given': 'Budi'}, 'id': None}]",2460-7350,KomunItas International Journal,disk0/00/01/58/50,2019-03-01 00:00:00.000000000,article,['FISIP3'],"Similarity Check Result ""Capitalism and Corporate in Lampung Local Politics""",https://journal.unnes.ac.id/nju/index.php/komunitas/article/view/13161,show,11,8,[{'url': 'https://journal.unnes.ac.id/nju/index.php/komunitas/article/view/13161'}],2019-11-07 04:37:54,archive,Similarity Index,['JA'],15850,published,,,,,,,,,,,,,,,,,,,,,,,
7,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36152', 'main': 'BBB. Metagovernance on Disasaster  Similarity.pdf', 'docid': 36152, 'files': [{'objectid': 36152, 'uri': 'http://repository.lppm.unila.ac.id/id/file/207981', 'datasetid': 'document', 'filesize': 2607016, 'fileid': 207981, 'mime_type': 'application/pdf', 'mtime': '2020-06-19 03:48:10', 'hash_type': 'MD5', 'hash': 'ab4c7b6ae10d9e3d0e7f3b6e2e020e61', 'filename': 'BBB. Metagovernance on Disasaster  Similarity.pdf'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 22681, 'placement': 1, 'security': 'public'}]",ICONSIER,,pub,,public,http://repository.lppm.unila.ac.id/id/eprint/22681,2020-06-19 03:59:36,7,2020-06-19 03:59:36,"[{'name': {'lineage': None, 'family': 'Darmastuti', 'honourific': None, 'given': 'Ari'}}]",,,disk0/00/02/26/81,1970-01-01 00:00:00.000002019,other,['FISIP3'],Metagovernance on Disaster: Learning from Lampung Tsunami in Indonesia,,show,,7,,2020-06-19 03:59:36,archive,Similarity,['AC'],22681,published,,,,,,,,,,,,,,,,,,,,,,,
8,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30998', 'rev_number': 1, 'main': '2. Similarity Dr. Ari D Membangun_Demokrasi_Melalui_Pengembangan_Jaringan_.pdf', 'docid': 30998, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/150577', 'objectid': 30998, 'filesize': 2548619, 'datasetid': 'document', 'hash': '807d21a4a83011e9e6a8e20d271e1f0b', 'filename': '2. Similarity Dr. Ari D Membangun_Demokrasi_Melalui_Pengembangan_Jaringan_.pdf', 'hash_type': 'MD5', 'mtime': '2020-02-04 09:21:16', 'mime_type': 'application/pdf', 'fileid': 150577}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 17877, 'placement': 1, 'security': 'public'}]",Balitbangda Provinsi Lampung,,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/17877,2020-02-05 04:10:48,880,2020-02-05 04:10:48,"[{'name': {'lineage': None, 'family': 'Darmastuti', 'honourific': None, 'given': 'Ari'}}]",,,disk0/00/01/78/77,1970-01-01 00:00:00.000002019,book_section,['FISIP3'],membangun demokrasi melalui pengembangan jaringan dukungan bagi pemberdayaan politik perempuan,,show,,7,,2020-02-05 04:10:48,archive,Similarity,['AC'],17877,published,,,,membangun demokrasi melalui pengembangan jaringan dukungan bagi pemberdayaan politik perempuan,,,,,,,,,,,,,,,,,,,
9,"[{'files': [{'datasetid': 'document', 'filesize': 723627, 'fileid': 208203, 'mime_type': 'application/pdf', 'mtime': '2020-06-22 01:47:27', 'hash_type': 'MD5', 'filename': 'BB1 Metagovernance on Disaster Reviewer.pdf', 'hash': 'b5e0b43fc4adaf09a95d49eb90163204', 'objectid': 36181, 'uri': 'http://repository.lppm.unila.ac.id/id/file/208203'}], 'docid': 36181, 'main': 'BB1 Metagovernance on Disaster Reviewer.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36181', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 22678, 'language': 'en', 'mime_type': 'application/pdf'}]",ICONSIER,,pub,,public,http://repository.lppm.unila.ac.id/id/eprint/22678,2020-06-27 04:02:41,7,2020-06-19 03:59:19,"[{'name': {'family': 'Darmastuti', 'honourific': None, 'lineage': None, 'given': 'Ari'}, 'id': None}, {'name': {'given': 'Feni', 'lineage': None, 'honourific': None, 'family': 'Rosalia'}, 'id': 'feni.rosalia@fisip.unila.ac.id'}]",,,disk0/00/02/26/78,1970-01-01 00:00:00.000002019,other,['FISIP3'],Metagovernance on Disaster: Learning from Lampung Tsunami in Indonesia,,show,,10,,2020-06-19 03:59:19,archive,peer review,['AC'],22678,published,,,,,,,,,,,,,,,,,,,,,,,
