,subjects,abstract,status_changed,eprint_status,rev_number,metadata_visibility,title,eprintid,datestamp,corp_creators,userid,lastmod,uri,full_text_status,refereed,ispublished,publisher,documents,divisions,type,dir,publication,issn,creators,number,date_type,volume,official_url,related_url,book_title,pagerange,pres_type,event_location,event_title,event_type,event_dates,contributors,place_of_pub,id_number,contact_email,funders,pages,isbn,editors
0,['H1'],"Ketahanan Nasional akan tangguh jika di topang dengan Ketahanan Daerah yang tangguh, dan Ketahanan
Daerah akan tangguh jika di dukung dengan Ketahanan Individu. Ketahanan individu pada mahaiswa sangat
dibutuhkan dan mutlak, karena ketahanan individu pada mahasiswa identik dengan soft skill. Kemampuan
akademik (hard skills) yang tinggi tetap harus memperhatikan kecakapan dalam hal nilai-nilai yang melekat
pada seseorang atau sering dikenal dengan aspek soft skills. Kemampuan ini dapat disebut juga dengan
kemampuan non teknis yang tentunya memiliki peran tidak kalah pentingnya dengan kemampuan akademik.
Terdapat empat variabel yang diujicobakan yakni a) integritas; b) Kemampuan menghadapi perubahan; c)
Kepemimpinan; d) kemampuan berkomunikasi. Sedangkan methode yang digunakan adalah deskripstif
kuantitatif dengan menggunakan angket tertutup dan menggunakan skala likert untuk menemukan sikap
persetujuan yang kemudian di sajikan secara tabulasi. Hasil yang di dapat bahwa pada variabel integritas dan
kepemimpinan terpahami dengan baik khususnya yang mahasiswa eksak di banding sosial.
Kata Kunci: Ketahanan Individu, Soft skill.",2018-07-04 07:31:10,archive,6,show,"TINGKAT KETAHANAN INDIVIDU MAHASISWA UNILA PADA
ASPEK SOFT SKILL
(Studi pada mahasiswa Fakultas Ilmu Sosial dan Politik, dan Faklutas Kedokteran, Unila)",8454,2018-07-04 07:31:10,['FISIP Unila'],401,2018-07-04 07:31:10,http://repository.lppm.unila.ac.id/id/eprint/8454,public,TRUE,pub,Jurusan Matematika FMIPA Unila,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 8454, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21489', 'format': 'text', 'pos': 1, 'files': [{'fileid': 83230, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-07-04 06:34:38', 'filename': 'Prosiding Semnas Metode penelitian kuantitatif FMIPA Unila.pdf', 'hash': 'a5d1a328ced71356b942641c3e1f08f1', 'datasetid': 'document', 'filesize': 432776, 'objectid': 21489, 'uri': 'http://repository.lppm.unila.ac.id/id/file/83230'}], 'main': 'Prosiding Semnas Metode penelitian kuantitatif FMIPA Unila.pdf', 'docid': 21489}]",['FISIP3'],article,disk0/00/00/84/54,Prosiding Seminar Nasional METODE KUANTITATIF 2017,978-602-98559-3-7,"[{'id': 'ptjbudiono@gmail.com', 'name': {'family': 'Budiono', 'honourific': None, 'lineage': None, 'given': 'Pitojo'}}, {'name': {'family': 'Rosalia', 'honourific': None, 'lineage': None, 'given': 'Feni'}, 'id': None}]",,,,,,,,,,,,,,,,,,,,
1,['JA'],,2022-11-02 05:40:17,archive,7,show,HAKI : Ekologi Politik dan Pemerintahan,46185,2022-11-02 05:40:17,,680,2022-11-02 05:40:17,http://repository.lppm.unila.ac.id/id/eprint/46185,public,,pub,KEMENKUMHAM RI,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 46185, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/185076', 'rev_number': 1, 'docid': 185076, 'main': 'sertifikat_HAKI Ekologi Pol Pem RcK.pdf', 'files': [{'datasetid': 'document', 'filesize': 2055522, 'mime_type': 'application/pdf', 'fileid': 510618, 'hash': 'a8a30648a1dc6d4687feb6ab4261f365', 'filename': 'sertifikat_HAKI Ekologi Pol Pem RcK.pdf', 'hash_type': 'MD5', 'mtime': '2022-11-02 01:47:11', 'objectid': 185076, 'uri': 'http://repository.lppm.unila.ac.id/id/file/510618'}]}]",['FISIP3'],other,disk0/00/04/61/85,,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Cahyadi', 'given': 'Robi'}, 'id': 'robi_ck@yahoo.com, robi.cahyadi@fisip.unila.ac.id'}]",,,,,,,,,,,,,,,,,,,,
2,['JA'],,2022-11-02 05:40:15,archive,7,show,HAKI : Etika Politik dan Pemerintahan,46184,2022-11-02 05:40:15,,680,2022-11-02 05:40:15,http://repository.lppm.unila.ac.id/id/eprint/46184,public,,pub,KEMENKUMHAM RI,"[{'placement': 1, 'security': 'public', 'eprintid': 46184, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'filesize': 2055237, 'datasetid': 'document', 'filename': 'sertifikat_HAKI Etika Pol Pem RcK.pdf', 'hash': '5d4e673be01eb9c3578e0055934c06cf', 'hash_type': 'MD5', 'mtime': '2022-11-02 01:42:40', 'mime_type': 'application/pdf', 'fileid': 510611, 'uri': 'http://repository.lppm.unila.ac.id/id/file/510611', 'objectid': 185075}], 'docid': 185075, 'main': 'sertifikat_HAKI Etika Pol Pem RcK.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/185075', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",['FISIP3'],other,disk0/00/04/61/84,,,"[{'id': 'robi_ck@yahoo.com, robi.cahyadi@fisip.unila.ac.id', 'name': {'family': 'Cahyadi', 'honourific': None, 'lineage': None, 'given': 'Robi'}}]",,,,,,,,,,,,,,,,,,,,
3,"['JA', 'JC']",Peer Review : Penilaian Rekan Sejawat,2019-11-07 04:35:39,archive,7,show,Peer Review Jurnal Nasional TerAkreditasi JSP UGM; Piil Pesenggiri (2017),15818,2019-11-07 04:35:39,,680,2019-11-07 04:35:39,http://repository.lppm.unila.ac.id/id/eprint/15818,public,TRUE,pub,JSP UGM 2017,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/28920', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'hash': 'af24363a1dbd29bf7180ce849848d341', 'filename': '2. Peer Review JurNasTerakreditasi JSP UGM.pdf', 'mtime': '2019-11-06 15:01:32', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 135801, 'filesize': 1347184, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/135801', 'objectid': 28920}], 'main': '2. Peer Review JurNasTerakreditasi JSP UGM.pdf', 'docid': 28920, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 15818}]",['FISIP3'],article,disk0/00/01/58/18,"Piil Pesenggiri, A Concept of Political Power In Lampung Culture",,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Cahyadi', 'given': 'Robi'}, 'id': 'robi_ck@yahoo.com'}]",,,,,,,,,,,,,,,,,,,,
4,['H1'],,2022-10-17 06:19:34,archive,7,show,Political Economy Of Development From Global To Indonesian Context :A Review Of Literature,45745,2022-10-17 06:19:34,,680,2022-10-17 06:19:34,http://repository.lppm.unila.ac.id/id/eprint/45745,public,,pub,KEMENKUMHAM RI,"[{'eprintid': 45745, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'sertifikat_HAKI Political Economy.pdf', 'docid': 184559, 'files': [{'objectid': 184559, 'uri': 'http://repository.lppm.unila.ac.id/id/file/507192', 'mime_type': 'application/pdf', 'fileid': 507192, 'hash': '42a6dfedb2bad1f8d9cb605e99e8fcbd', 'filename': 'sertifikat_HAKI Political Economy.pdf', 'mtime': '2022-10-17 04:42:46', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 2056123}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184559', 'rev_number': 1}]",['FISIP3'],other,disk0/00/04/57/45,,,"[{'id': 'robi_ck@yahoo.com', 'name': {'honourific': None, 'family': 'Cahyadi', 'lineage': None, 'given': 'Robi'}}]",,,,,,,,,,,,,,,,,,,,
5,['H1'],Similarity Index,2019-11-07 04:37:40,archive,6,show,"Similarity Check Result Paper ""Piil Pesenggiri",15831,2019-11-07 04:37:40,,680,2019-11-07 04:37:40,http://repository.lppm.unila.ac.id/id/eprint/15831,public,TRUE,pub,University of Gadjah Mada,"[{'files': [{'filesize': 6651765, 'datasetid': 'document', 'filename': '2. JurNas Terakreditasi JSP UGM 2017, Cek Similarity 6.pdf', 'hash': '02a503e4e28380569dd2e3b7a6d93472', 'hash_type': 'MD5', 'mtime': '2019-11-06 16:50:02', 'mime_type': 'application/pdf', 'fileid': 135882, 'uri': 'http://repository.lppm.unila.ac.id/id/file/135882', 'objectid': 28931}], 'main': '2. JurNas Terakreditasi JSP UGM 2017, Cek Similarity 6.pdf', 'docid': 28931, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28931', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 15831, 'mime_type': 'application/pdf', 'language': 'en'}]",['FISIP3'],article,disk0/00/01/58/31,JSP UGM,1410-4946,"[{'id': 'robi_ck@yahoo.com', 'name': {'lineage': None, 'family': 'Cahyadi', 'honourific': None, 'given': 'Robi'}}]",1.0,published,21,https://jurnal.ugm.ac.id/jsp/article/view/28702,[{'url': 'https://jurnal.ugm.ac.id/jsp/article/view/28702'}],,,,,,,,,,,,,,,
6,['H1'],-,2019-12-26 05:05:43,archive,7,show,Desentralisai atau resentralisasi,17398,2019-12-26 05:05:43,['universitas lampung'],880,2019-12-26 05:05:43,http://repository.lppm.unila.ac.id/id/eprint/17398,public,FALSE,pub,bulaksumur empat,"[{'files': [{'mtime': '2019-12-26 03:54:31', 'hash_type': 'MD5', 'filename': '3a. Ari D- Desentralisasi-ari nov 2019.pdf', 'hash': '3ec5a4e9905d45f0f62ff491da39d35a', 'fileid': 147229, 'mime_type': 'application/pdf', 'filesize': 3963112, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/147229', 'objectid': 30524}], 'docid': 30524, 'main': '3a. Ari D- Desentralisasi-ari nov 2019.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30524', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 17398, 'mime_type': 'application/pdf', 'language': 'en'}]",['FISIP3'],book_section,disk0/00/01/73/98,,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Darmastuti', 'given': 'Ari'}}]",,,1-133,,,desentralisasi atau resentralisasi,,,,,,,,,,,,,,
7,['H1'],,2022-10-26 01:59:52,archive,7,show,Distribution Patterns and Factors Affecting the Selection of the Destination Country of Indonesian Migrant Workers of Lampung,45967,2022-10-26 01:59:52,,880,2022-10-26 01:59:52,http://repository.lppm.unila.ac.id/id/eprint/45967,public,,pub,Atlantis Press,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184784', 'main': 'Distribution Patterns and Factors.pdf', 'docid': 184784, 'files': [{'objectid': 184784, 'uri': 'http://repository.lppm.unila.ac.id/id/file/508931', 'mime_type': 'application/pdf', 'fileid': 508931, 'filename': 'Distribution Patterns and Factors.pdf', 'hash': 'fd001684fcd0ad9169e0b233faaaec0d', 'hash_type': 'MD5', 'mtime': '2022-10-25 07:39:44', 'datasetid': 'document', 'filesize': 333657}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 45967, 'security': 'public', 'placement': 1}]",['FISIP3'],other,disk0/00/04/59/67,,,"[{'name': {'given': 'Ari', 'lineage': None, 'honourific': None, 'family': 'Darmastuti'}}]",,,,,,,,,,,,,,,,,,,,
8,['AC'],Similarity,2020-02-18 01:54:22,archive,7,show,ETNISITAS DANB PERAN POLITIK PEREMPUAN ( Studi Komparasi Hambatan Sosio-Kultural Peran Politik Perempuan pada Komunitas Etnik Jawa dan Semedo),18041,2020-02-18 01:54:22,,880,2020-02-18 01:54:22,http://repository.lppm.unila.ac.id/id/eprint/18041,public,,pub,Universitas Lampung,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/31176', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/152076', 'objectid': 31176, 'mtime': '2020-02-18 01:48:23', 'hash_type': 'MD5', 'filename': '17. Similarity - Etnisitas_dan_Peran_Politik_Perempuan.pdf', 'hash': '531dff5802354ce578ca5d31ee8b392a', 'fileid': 152076, 'mime_type': 'application/pdf', 'filesize': 11982302, 'datasetid': 'document'}], 'main': '17. Similarity - Etnisitas_dan_Peran_Politik_Perempuan.pdf', 'docid': 31176, 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 18041}]",['FISIP3'],other,disk0/00/01/80/41,,,"[{'name': {'honourific': None, 'family': 'Darmastuti', 'lineage': None, 'given': 'Ari'}}]",,published,,,,,,,,,,,,,,,,,,
9,['AC'],Similarity,2020-02-05 04:04:23,archive,6,show,"Flooding in a city of migrants: ethnicity and entitlement in Bandar Lampung, Indonesia",17882,2020-02-05 04:04:23,,880,2020-02-05 04:04:23,http://repository.lppm.unila.ac.id/id/eprint/17882,public,TRUE,pub,,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 17882, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31005', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'objectid': 31005, 'uri': 'http://repository.lppm.unila.ac.id/id/file/150616', 'datasetid': 'document', 'filesize': 7171480, 'mime_type': 'application/pdf', 'fileid': 150616, 'hash': '872f6fe4ebc4f743427dff7ac000526f', 'filename': '5. Similarity Dr. Ari D Flooding_in_the_City_of_Immigrants_Elmhirst_and_Da.pdf', 'hash_type': 'MD5', 'mtime': '2020-02-05 02:23:07'}], 'docid': 31005, 'main': '5. Similarity Dr. Ari D Flooding_in_the_City_of_Immigrants_Elmhirst_and_Da.pdf'}]",['FISIP3'],article,disk0/00/01/78/82,Political Ecologies. Routledge.,,"[{'name': {'family': 'Darmastuti', 'honourific': None, 'lineage': None, 'given': 'Ari'}}]",,published,,,,,,,,,,,,,,,,,,
