,type,divisions,issn,creators,publication,date,dir,userid,lastmod,datestamp,pagerange,publisher,documents,ispublished,refereed,uri,full_text_status,eprintid,date_type,related_url,status_changed,eprint_status,abstract,subjects,title,official_url,metadata_visibility,rev_number,id_number,number,contributors,corp_creators,projects,contact_email,funders,volume,place_of_pub,pages,editors,series,isbn,pres_type,event_type,event_dates,event_title,event_location,referencetext
0,article,['FISIP4'],978-602-0860-114,"[{'name': {'given': 'Windah', 'family': 'Andi', 'honourific': None, 'lineage': None}}]",Proceeding of International Conference 1st SHIELD 2016,2016-11-02 00:00:00.000000000,disk0/00/00/33/92,281,2017-06-12 02:31:10,2017-06-12 02:31:10,364-376,Post Graduate Program University of Lampung Institute of Research and Community Service,"[{'main': 'ShieldProceeding.pdf', 'docid': 3263, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/23530', 'objectid': 3263, 'filesize': 23708329, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2017-06-05 07:06:06', 'hash': 'bab80d18eda9e4b4f9482c0af42298d5', 'filename': 'ShieldProceeding.pdf', 'fileid': 23530, 'mime_type': 'application/pdf'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3263', 'eprintid': 3392, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",pub,FALSE,http://repository.lppm.unila.ac.id/id/eprint/3392,public,3392,completed,[{'url': 'http://shield.unila.ac.id/ShieldProceeding.pdf'}],2017-06-12 02:31:10,archive,"One of controversial new media entities is Wikileaks. Posting a huge number of confidential documents regarding newsworthy public figures and governments, Wikileaks is claimed to generate major impacts to related countries such as Africa, the U.S, Western Europe and Indonesia. The continuing controversy around Wikileaks also reflects the role of its founder in the networked public sphere, Julian Assange. This article is aimed to comprehend the role of individual in globalized world, especially by studying the case of Julian Assange and Wikileaks. The article is divided in three parts. Firstly, it explains background as well as global controversy surrounding Wikileaks and its spokesman, Julian Assange. Secondly, it identifies the areas that Assange have directly impacted, especially in terms of participation, journalism practice and privacy. Finally, it reflects on Assange’s role in the globalized media economy, particularly drawing on his background as an Australian. It is found that the website mainly focused on whistle blowing actions, using insider’s evidences such as documents, cables and videos. It is also found that the website’s anonymous method contribute to increase citizen’s participation. At the same time, Assange through Wikileaks has brought a new form of journalism, medium for everyone‘s voice where the non-professionals with valuable information are endorsed with opportunity in informing the public like proficient journalists. Wikileaks has changed the way journalist approach their information source especially investigative journalism, due to its tightly embodied hactivism culture. Months or even years spent for conventional investigative journalists to verify the information can be substituted just by a simple click on the net. Wikileaks has also impacted the idea of government transparency. Because of Wikileaks’ whistle-blowing’s actions, now many governments are being stricter in disseminating their valuable information. Assange’s roles in the media economy are also shaped by Australia’s standpoint in globalized world",['HE'],"Reflecting the Role of Individual in Globalized World: 
A Study Case on Julian Assange and Wikileaks",http://shield.unila.ac.id/,show,7,,,,,,,,,,,,,,,,,,,
1,article,['FISIP4'],9786027413900,"[{'id': 'andi.windah@fisip.unila.ac.id', 'name': {'lineage': None, 'family': 'Andi', 'honourific': None, 'given': 'Windah'}}]",Proceeding of International Conference of Communication Industry and Community,2016-03-03 00:00:00.000000000,disk0/00/00/33/96,281,2017-06-12 02:30:56,2017-06-12 02:30:56,38-49,Fakultas Ilmu Komunikasi Universitas Tarumanegara,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/23507', 'objectid': 3258, 'filesize': 9976151, 'datasetid': 'document', 'filename': 'ICCIC-English_NoCopy.pdf', 'hash': '86e10d0197c377774922fe598c973d27', 'mtime': '2017-06-05 06:46:29', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 23507}], 'docid': 3258, 'main': 'ICCIC-English_NoCopy.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/3258', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 3396, 'language': 'en', 'mime_type': 'application/pdf'}]",pub,FALSE,http://repository.lppm.unila.ac.id/id/eprint/3396,public,3396,completed,[{'url': 'http://iccic.untar.ac.id/wp-content/uploads/2016/03/ICCIC-English_NoCopy.pdf'}],2017-06-12 02:30:56,archive,"Indonesia is being listed among top five leading countries of social media users, noted by more than 88 million of audience in Internet with 81 % of them accessing new social media more than 1 hour in a day. YouTube, for example, has become one of the major platforms for many Indonesians to share videos of private moments, interact with each other or perform lip-synced which the latter activity apparently generates some uprising phenomenon of instant star. Not so long ago, Indonesians were being astounded by one of the INP (now a former officer) member who became a YouTube sensation, Norman Kamaru. Disseminated thorough social networking sites like any other viral video, this video reached millions of Indonesian online communities. One of the sounding themes in that bearing impression was some people considered his video has humanized reputation of the INP amidst all the cases that appear to discredit this Indonesian army force. 
The purpose of this essay is to elaborate how Norman’s video may promote a better reputation for Indonesia National Police among Indonesian society and how YouTube may possibly allow that to be happening. The first section describes about the video and how it becomes successful in gaining attention of Indonesians, while second section notes problems related to the reputation of The INP. The third section analyses how Norman’s video might improve the INP’s reputation. Finally, the essay’s last section addresses the potency of YouTube as a platform to support INP’s public relation campaigns by comparing YouTube to other PR tools. It is found that YouTube has brought videos of members of The INP to the attention Indonesian online communities. With rapid-fire delivery and acrid commentary, the videos enclose several public relation potencies related to the INP’s effort in revitalizing its reputation. In other word, the video’s high exposure and feedback is not only offers a better opportunity for INP to get closer to its public, it’s also confirms YouTube is a noteworthy platform for image building.      
Keywords: YouTube, viral video, public relations",['HE'],"Six Minutes Fame in YouTube:
Eyeing Reputation of the Indonesian National Police 
Through Norman Kamaru’s Viral Video",http://iccic.untar.ac.id/,show,6,,,,,,,,,,,,,,,,,,,
2,other,['FISIP4'],,"[{'id': 'nina.yudha@fisip.unila.ac.id', 'name': {'given': 'Nina Yudha', 'lineage': None, 'family': 'Aryanti', 'honourific': None}}]",,1970-01-01 00:00:00.000002016,disk0/00/01/82/95,595,2020-02-28 05:12:20,2020-02-28 05:12:20,,Prosiding Seminar Nasional Komunikasi,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 18295, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31449', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/154006', 'objectid': 31449, 'filename': 'Akses Remaja.pdf', 'hash': 'c37d94bf462a8bc323a1ffe7f3b6d0d3', 'mtime': '2020-02-28 04:59:09', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 154006, 'filesize': 570211, 'datasetid': 'document'}], 'main': 'Akses Remaja.pdf', 'docid': 31449}]",pub,,http://repository.lppm.unila.ac.id/id/eprint/18295,public,18295,published,,2020-02-28 05:12:20,archive,Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah: Prosiding dan Makalah yang Dipresentasikan,['AC'],AKSES REMAJA PADA TELEVISI LOKAL DI LAMPUNG SEBAGAI MEDIA INFORMASI DAN HIBURAN DENGAN KONTEN KEDAERAHAN,,show,7,,,,,,,,,,,,,,,,,,,
3,other,['FISIP4'],,"[{'name': {'honourific': None, 'family': 'Aryanti', 'lineage': None, 'given': 'Nina Yudha'}, 'id': 'nina.yudha@fisip.unila.ac.id'}]",,1970-01-01 00:00:00.000002016,disk0/00/01/82/94,595,2020-02-28 05:12:11,2020-02-28 05:12:11,,Prosiding Seminar Nasional Komunikasi,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31448', 'format': 'text', 'pos': 1, 'files': [{'datasetid': 'document', 'filesize': 528431, 'fileid': 153999, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-02-28 04:53:17', 'hash': '559eb980592bd267935fc93ef2e1d843', 'filename': 'Komunikasi Antar Pribadi.pdf', 'objectid': 31448, 'uri': 'http://repository.lppm.unila.ac.id/id/file/153999'}], 'main': 'Komunikasi Antar Pribadi.pdf', 'docid': 31448, 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 18294}]",pub,,http://repository.lppm.unila.ac.id/id/eprint/18294,public,18294,published,,2020-02-28 05:12:11,archive,HAsil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah: Prosiding dan Makalah yang Dipresentasikan,['AC'],Komunikasi Antar Pribadi dan Akses Media Dalam Mendukung Kompetensi Informasi Pangan Bagi Masyarakat Lampung,,show,7,,,,,,,,,,,,,,,,,,,
4,article,['FISIP4'],978-602-60412-0-3,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Aryanti', 'given': 'Nina Yudha'}, 'id': 'nina.aryayudha@gmail.com'}, {'name': {'given': 'Yaktiworo', 'lineage': None, 'honourific': None, 'family': 'Indriyani'}, 'id': 'yakti_indriani@yahoo.com'}, {'name': {'given': 'Hestin', 'lineage': None, 'family': 'Oktiani', 'honourific': None}, 'id': 'hestinoktiani@gmail.com'}]",Prosiding Akselerasi Pembangunan Masyarakat Lokal Melalui Komunikasi dan Teknologi Komunikasi,1970-01-01 00:00:00.000002016,disk0/00/00/30/85,595,2017-06-07 08:45:36,2017-06-07 08:45:36,115-124,"Jurusan Ilmu Komunikasi, FISIP, Universitas Lampung","[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2975', 'rev_number': 1, 'docid': 2975, 'main': '226-369-1-PB.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/21409', 'objectid': 2975, 'filename': '226-369-1-PB.pdf', 'hash': '026117e374215cc1a82dc27e2a76e3df', 'mtime': '2017-06-02 06:27:40', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 21409, 'filesize': 560907, 'datasetid': 'document'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 3085, 'security': 'public', 'placement': 1}, {'placement': 2, 'security': 'public', 'eprintid': 3085, 'language': 'en', 'mime_type': 'text/html', 'files': [{'objectid': 2976, 'uri': 'http://repository.lppm.unila.ac.id/id/file/21415', 'datasetid': 'document', 'filesize': 14032, 'mime_type': 'text/html', 'fileid': 21415, 'filename': 226, 'hash': '2c8fb48b1792037159cc5c0b95c2f17d', 'mtime': '2017-06-02 06:28:29', 'hash_type': 'MD5'}], 'docid': 2976, 'main': 226, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2976', 'pos': 2, 'format': 'text'}]",pub,FALSE,http://repository.lppm.unila.ac.id/id/eprint/3085,public,3085,published,"[{'url': 'http://jurnal.fisip.unila.ac.id/index.php/prosidingkom/article/view/226', 'type': 'org'}]",2017-06-07 08:45:36,archive,"Rendahnya IPM Provinsi Lampung berkaitan dengan rendahnya kualitas indikator IPM yaitu hidup sehat, standar hidup layak dan pengetahuan. Salah satu keterkaitan SDM dengan IPM dapat dilihat dari keterkaitan antara keersediaan dan kualitas pangan di masyarakat.
Penelitian ini bertujuan untuk mengetahui dan menjelaskan komunikasi yang dilakukan oleh masyarakat perkotaan dan perdesaan serta akses terhadap media massa dalam mendukung kompetensi pangan. Penelitian ini menggunakan metode deskriptif kuantitatif, dengan subyek penelitian yaitu rumah tangga di perkotaan dan perdesaan di Provinsi Lampung. Hasil penelitian menunjukkan bahwa komunikasi antar pribadi di masyarakat dan media massa memiliki peran yang moderat dalam mendukung kompetensi bidang pangan. Kompetensi informasi pangan didukung oleh beberapa interaksi responden dengan: (1) teman/ tetangga, (2) tokoh masyarakat, tenaga kesehatan/ tenaga pendidik, (3) pertemuan di sekitar tempat tinggal, (4) media massa. Komunikasi antarpribadi memiliki peranan yang lebih tinggi dibandingkan media massa dalam beberapa hal, yaitu informasi tentang: (1) sumber ide pangan, (2) jenis pangan, (3) cara pengolahan pangan, (4) pola makan sehat, (5) komposisi gizi seimbang, (6) makanan bermutu. Selain itu, media massa memiliki dalam memberikan informasi pangan yang aman. Dukungan komunikasi antarpribadi berimbang dengan media massa dalam memberikan dukungan terhadap informasi tentang gizi pangan.",['H1'],KOMUNIKASI ANTARPRIBADI DAN AKSES MEDIA DALAM MENDUKUNG KOMPETENSI INFORMASI PANGAN BAGI MASYARAKAT LAMPUNG,http://jurnal.fisip.unila.ac.id/index.php/prosidingkom/article/view/226,show,16,978-602-60412-0-3,1.0,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]","['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']","['Jurusan Ilmu Komunikasi, FISIP, Universitas Lampung']",nina.aryayudha@gmail.com,"['Jurusan Ilmu Komunikasi, FISIP, Universitas Lampung']",1.0,,,,,,,,,,,
5,article,['FISIP4'],978-602-60412-0-3,"[{'id': 'ahmad.rudy@unila.ac.id', 'name': {'family': 'Fardiyan', 'honourific': None, 'lineage': None, 'given': 'Ahmad Rudy'}}]",Prosiding Seminar Nasional Komunikasi: Akselerasi Pembangunan Masyarakat Lokal Melalui Komunikasi dan Teknologi Informasi,2016-11-01 00:00:00.000000000,disk0/00/00/29/80,34,2017-06-07 09:27:05,2017-06-07 09:27:05,331-337,Jurusan Ilmu Komunikasi - FISIP Unila,"[{'main': 'archive', 'docid': 2865, 'files': [{'objectid': 2865, 'uri': 'http://repository.lppm.unila.ac.id/id/file/20610', 'datasetid': 'document', 'filesize': 5946, 'fileid': 20610, 'mime_type': 'text/html', 'hash_type': 'MD5', 'mtime': '2017-06-02 03:23:49', 'hash': '2f0a26022fc0832a78aab6c5967e1ebc', 'filename': 'archive'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/2865', 'rev_number': 3, 'eprintid': 2980, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'text/html', 'content': 'published'}]",pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/2980,public,2980,,,2017-06-07 09:27:05,archive,"Internet usage has been necessity and helpfull in daily modern activities. However, the benefits of using internet is equal to the risk of it own. The world of cyber created by internet, is borderless. This, allow the citizen of cyber (netizen) to do either goodthings or badthings that can not or impossible to achieve in the real world. Many cases in these terms across countries make this type of crime become more complex to anticipates. The differences of law and attention between countries about this phenomena, make it even worse. At this point, the moral become significant to control “life” in cyberspace. The unique characteristic of cyberworld doesn’t change the view of values, ethics, and etiquette of life within. Cyberethics as a part of ethic studies, proposes guidelines of values so the opportunity and advantages that provided by internet can be use for good purpose on human being.","['BJ', 'HN']",Etika Siber dan Signifikansi Moral Dunia Maya,http://jurnal.fisip.unila.ac.id/index.php/prosidingkom,show,13,,,,,,,,,,,,,,,,,,,
6,book,['FISIP4'],,"[{'name': {'lineage': None, 'family': 'Ibrahim', 'honourific': None, 'given': 'Besar'}, 'id': 'ibrahim.besar@fisip.unila.ac.id'}]",,2016-11-01 00:00:00.000000000,disk0/00/01/03/76,211,2019-01-02 08:01:24,2019-01-02 08:01:24,,Pustaka Nusantara,"[{'language': 'id', 'mime_type': 'application/pdf', 'content': 'published', 'eprintid': 10376, 'placement': 1, 'security': 'validuser', 'pos': 1, 'format': 'text', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23391', 'formatdesc': 'KOMUNIKASI ANTAR ETNIK TEORI DAN PRAKTEK', 'docid': 23391, 'main': 'buku_Ibrahim_Besar.pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 96594, 'hash': '18b559a2dfd020e483da7b485f101e55', 'filename': 'buku_Ibrahim_Besar.pdf', 'mtime': '2018-11-24 03:59:02', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 525154, 'objectid': 23391, 'uri': 'http://repository.lppm.unila.ac.id/id/file/96594'}]}]",pub,FALSE,http://repository.lppm.unila.ac.id/id/eprint/10376,restricted,10376,published,,2019-01-02 08:01:24,archive,"ABSTRACT

This study identify and examines the social communication that occurs in the pre and post-conflict processes. The problems in this research are the communication behaviour between Bali and Lampung ethnic in the process of reconciliation. 

This study refer to the phenomenology theory by Alfred Schutz, the social action theory by Weber, symbolic interaction by Herbert Blumer, and the construction of social reality by Peter L. Berger. This study used a case study approach with qualitative methods. Informants selected purposively and directly experience the incident and has capability to revive his/her communication experience. Data collected techniques using interviews, observation and document review. The procedure of data analysis through data reduction, data presentation and verification / conclusion

The causes of the conflicts are: the introverted attitude of Balinese communities; youth delinquency; arrogant; moneylenders practice; lack of tolerance; jealousy; provocateurs; past experience and forcefully of government apparatus; and labeling of Balinese.

Basically the communication between Balinese and Lampung ethnic was running well related to the process of reconsilitiation. Nonetheless communication process still have various constraints according to the most informants. There are anxiety of Balinese ethnic to socialize caused by trauma and fear lead the mistrust of communication between Balinese and the government. According to those communication experiences suspected there are vulnerability on the peace process. 

Key word:	social communication; conflict; reconciliation; Bali and Lampung ethnic",['H1'],KOMUNIKASI ANTAR ETNIK TEORY DAN PRAKTEK,,show,8,,1.0,"[{'id': 'ibrahim.besar@fisip.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/RES', 'name': {'given': 'Besar', 'family': 'Ibrahim', 'honourific': None, 'lineage': None}}]",['Pustaka Nusantara'],,,,1.0,"Lampung, Indonesia",101.0,"[{'id': 'pustaka_nusantara@yahoo.com', 'name': {'given': 'Hidayatullah', 'honourific': None, 'family': 'M.', 'lineage': None}}]",Buku Referensi,978-602-60776-3-9,,,,,,
7,article,['FISIP4'],1411-0040,"[{'id': 'ibrahim.besar@fisip.unila.ac.id', 'name': {'given': 'Besar', 'honourific': None, 'family': 'Ibrahim', 'lineage': None}}]",Sosiologi: Jurnal Ilmiah Kajian Ilmu Sosial dan Ilmu Budaya,2016-03-01 00:00:00.000000000,disk0/00/01/03/75,211,2019-01-02 07:56:22,2019-01-02 07:56:22,29-34,Universitas Lampung,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 10375, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23390', 'docid': 23390, 'main': 'Jurnal_Sosiologi2016.pdf', 'files': [{'objectid': 23390, 'uri': 'http://repository.lppm.unila.ac.id/id/file/96587', 'datasetid': 'document', 'filesize': 77964, 'mime_type': 'application/pdf', 'fileid': 96587, 'hash': 'dbdfdf62800ef29b20e5f478aa2a5f08', 'filename': 'Jurnal_Sosiologi2016.pdf', 'mtime': '2018-11-23 08:50:46', 'hash_type': 'MD5'}]}]",pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/10375,public,10375,published,,2019-01-02 07:56:22,archive,"Penelitian ini bertujuan menganalisis kredibilitas pendamping terhadap prilaku anak-anak jalanan dalam aktifitasnya di jalanan melalui perubahan sikap anak-anak jalanan di lingkungan jalanan maupun dalam kehidupan sosial masyarakat. Metode penelitian yang yang digunakan yakni survey eksplanotari. Unit sampling adalah anak-anak jalanan yang telah mendapatkan penyuluhan dan bimbingan sosial dirumah Singgah Yayasan Masyarakat Sehat, Yayasa Bina Budaya Bangsa dan Saudara Sejiwa. Teknik sampling yang digunakan adalah Cluster Sampling Sedangkan sample 100 anak yang dipilih melalui cara acak sederhana (Random Sampling) Teknik Analisis data yang digunakan adalah teknik analisis jalur (Path Analisis). Hasil Penelitian ini menyimpulkan bahwa dari empat hipotesis yang di uji menunjukkan signifikan, pengaruh X1 terhadap Y1 secara parsial adalah signifikan dengan pengaruh sebesar 48,5%, pengaruh X2 terhadap Y1 secara parsial adalah signifikan dengan pengaruh sebesar 35,9% sedangkan pengaruh X1, X2 dan X3 terhadap Y1 (sikap) secara simultan sebesar 81,3%. Pengaruh Y1 (sikap) terhadap Y2 (perilaku) sebesar 65,3% dan yang relatif signifikan, pengaruh X1 terhadap Y1 dengan pengaruh sebesar 65,3% dan X1, X2, X3 dan Y1 secara simultan 18,09%. Hasil penelitian menunjukkan bahwa kredibilitas pendamping (keahlian, kepercayaan dan dinamisme) dalam penyuluhan dan bimbingan sosial anak jalanan di kota Bandung, pendamping sebagai komunikator memiliki tingkat kredibilitas yang relatif tinggi dalam merubah sikap dan perilaku anak jalanan sebagai komunikan. Rekomendasi diharapkan segenap lapisan masyarakat, instansi terkaitdan pendamping diharapkan lebih intropeksi diri dalam menangani anak-anak jalanan sehingga dalam menatap masa depan yang cerah dapat lebih terlaksana dengan baik.

Kata kunci: Kredibilitas, pendamping, sikap, perilaku, anak jalanan",['HT'],Pengaruh Kredibilitas Pendamping Terhadap Sikap dan Perilaku Anak-Anak Jalanan Di Kota Bandung,http://jurnal.fisip.unila.ac.id/index.php/sosiologi,show,6,,1.0,"[{'name': {'lineage': None, 'family': 'Ibrahim', 'honourific': None, 'given': 'Besar'}, 'id': 'ibrahim.besar@fisip.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/RTH'}]",['Sosiologi FISIP Universitas Lampung'],,,,18.0,,,,,,,,,,,
8,conference_item,['FISIP4'],,"[{'name': {'given': 'Besar', 'family': 'Ibrahim', 'honourific': None, 'lineage': None}, 'id': 'ibrahim.besar@fisip.unila.ac.id'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Anna', 'given': 'Gustina Zainal'}, 'id': 'anna.gustina@fisip.unila.ac.id'}]",,2016-10-17 00:00:00.000000000,disk0/00/01/03/78,211,2019-01-02 07:59:48,2019-01-02 07:59:48,367-373,,"[{'files': [{'datasetid': 'document', 'filesize': 324355, 'mime_type': 'application/pdf', 'fileid': 96613, 'filename': 'Prosiding_IBrahim-2016.pdf', 'hash': '83cffd312f8b0d1b02c956441cf257c5', 'hash_type': 'MD5', 'mtime': '2018-11-24 04:38:56', 'objectid': 23394, 'uri': 'http://repository.lppm.unila.ac.id/id/file/96613'}], 'main': 'Prosiding_IBrahim-2016.pdf', 'docid': 23394, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23394', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 10378, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,FALSE,http://repository.lppm.unila.ac.id/id/eprint/10378,public,10378,published,,2019-01-02 07:59:48,archive,"Tujuan penelitian ini adalah untuk mengetahui peran public relations dalam membangun 
citra Perusahaan Listrik Negara cabang Kota Bandar Lampung. Penelitian ini 
mengunakan metode deskriptif kuantitatif dengan mengambil 100 sampel pelanggan 
Perusahaan Listrik Negara di Bandar Lampung.
Berdasarkan Hasil penelitian diketahui bahwa PLN cabang Bandar Lampungsebagai 
perusahaan berskala nasional yang bergerak dalam pelayanan dan jasa berusaha 
memenuhi kebutuhan listrik masyarakat dengan lebih baik. Tapi pada kenyataannya, 
masih terdapat kendala yang dilatarbelakangi oleh kurangnya pasokan listrik, terutama 
pada saat kemarau. Berdasarkan analisis yang dilaksanakan peneliti, bahwa peranan 
Public relations PLN cabang kota Bandar Lampung mampu meningkatkan citra 
perusahaan dengan memberikan pelayanan yang profesional. Berdasarkan teori 
Model/Citra dikatakan bahwa citra itu merupakan serangkaian pengetahuan, pengertian 
dan perilaku komunikasi yang terekam dalam pengalaman, emosi, dan penilaian yang 
diorganisasikan oleh individu sehingga dapat diyakini kebenarannya.
Public relations PLN cabang Bandar Lampung memiliki tugas dan peran penting dalam
membina hubungan yang harmonis antara perusahaan dengan pihak internal maupun 
eksternal. Dengan pihak internal perusahaan diharapkan mampu membangun suatu 
kerjasama dan menciptakan atmosfir di lingkungan karyawan yang kondusif. Sedang 
dengan pihak internal perusahaan diharapkan dapat memberikan pelayanan yang 
optimal dan mampu berfungsi membagun komunikasi sehingga tercipta jembatan 
penghubung yang kokoh antara perusahaan dengan masyarakat sebagai konsumen. 
Key words:, public relations, citra",['H1'],PERAN PUBLIC RELATIONS DALAM MEMBANGUN CITRA PERUSAHAAN LISTRIK NEGARA DI KOTA BANDAR LAMPUNG,http://jurnal.fisip.unila.ac.id/index.php/prosidingkom/article/view/302,show,8,,,"[{'id': 'ibrahim.besar@fisip.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/RTH', 'name': {'given': 'Besar', 'honourific': None, 'family': 'Ibrahim', 'lineage': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Anna', 'given': 'Gustina Zainal'}, 'id': 'anna.gustina@fisip.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/RTM'}]",['Ilmu Komunikasi FISIP UNILA'],,,,,,,,,,keynote,conference,17 Oktober 2016,"Seminar Nasional Komunikasi ""Akselerasi Pembangunan Masyarakat Lokal Melalui Komunikasi dan Teknologi Informasi""",Bandarlampung,
9,article,['FISIP4'],2252-4592,"[{'id': 'ibrahim.besar@fisip.unila.ac.id', 'name': {'given': 'Besar', 'lineage': None, 'family': 'Ibrahim', 'honourific': None}}, {'id': 'hartoyo.1960@fisip.unila.ac.id', 'name': {'given': 'Hartoyo', 'lineage': None, 'honourific': None, 'family': 'Hartoyo'}}]",Jurnal Communio,2016-01-05 00:00:00.000000000,disk0/00/01/03/79,211,2019-01-02 07:56:24,2019-01-02 07:56:24,824-832,Jurusan Ilmu Komunikasi FISIP Universitas Nusa Cendana Kupang,"[{'files': [{'filename': 'Ibrahim_jurnal_Communio-2016.pdf', 'hash': '33d89c37498a13d1fc33e34c9e90e609', 'mtime': '2018-11-24 05:49:24', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 96620, 'filesize': 821168, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/96620', 'objectid': 23395}], 'main': 'Ibrahim_jurnal_Communio-2016.pdf', 'docid': 23395, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23395', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 10379, 'language': 'en', 'mime_type': 'application/pdf'}]",inpress,FALSE,http://repository.lppm.unila.ac.id/id/eprint/10379,public,10379,,,2019-01-02 07:56:24,archive,"Provinsi Lampung’s society is a pluralistic society, composed of various social groups with a diverse socio-cultural backgrounds. Some conflicts have occurred, among them is ""Bungkuk"" conflicts.
The study aims to: (1) the network between actors in conflict resolution (2). Strategy management of harmonious relationship among groups.
This research is a case study and qualitative analytical descriptiveby using in-depth study as well as the subjective-objective approach. This research was conducted in District Jabung, East Lampung Regency. Data were collected by interview, observation and documentation, as well as qualitatively analyzed descriptively.
Results of the study are:(1) Effective conflict management will be integrally performed involving several elements such as security forces (TNIand Polri), district, regency officers, the traditional leaders, community leaders and youth leaders. The conflict resolution terminated by mutual agreement by signing a peace treaty; (2) In the case of Bungkuk conflict, there are three models of management of harmonious relationship among Lampung ethnic with newcomer ethnic (Java) which is effectively done,namely the cultural approach to physical education, education and the arts. The traditional model through bonds between the traditional leaders, community leaders and youth leaders. Territorial models via securing the main areas of potential conflict that lies along the road connecting the village of bungkuk and Sumber Rejo.",['H1'],"SISTEM PENGELOLAAN KEHARMONISAN SOSIAL PASCA KONFLIK DESA BUNGKUK, KECAMATAN JABUNG, LAMPUNG TIMUR",https://jikomundana.wordpress.com,show,7,,1.0,"[{'type': 'http://www.loc.gov/loc.terms/relators/RTH', 'id': 'ibrahim.besar@fisip.unila.ac.id', 'name': {'family': 'Ibrahim', 'honourific': None, 'lineage': None, 'given': 'Besar'}}, {'name': {'honourific': None, 'family': 'Hartoyo', 'lineage': None, 'given': 'Hartoyo'}, 'id': 'hartoyo.1960@fisip.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/RTM'}]",['Jurusan Ilmu Komunikasi FISIP Universitas Nusa Cendana Kupang'],,,,5.0,,,,,,,,,,,
