,title,official_url,metadata_visibility,rev_number,related_url,eprint_status,status_changed,abstract,subjects,eprintid,date_type,publisher,documents,ispublished,refereed,full_text_status,uri,corp_creators,userid,lastmod,datestamp,creators,issn,publication,id_number,dir,date,type,divisions,number,pagerange,volume,contributors,contact_email,referencetext,place_of_pub,isbn,funders,pages,projects,thesis_type,institution,department,thesis_name,keywords,pres_type,event_location,event_title,event_dates,event_type,editors,book_title,note,patent_applicant
0,Dokter Layanan Primer,http://www.lampost.co/mobile/berita-dokter-layanan-primer,show,26,[{'url': 'http://www.lampost.co/mobile/berita-dokter-layanan-primer'}],archive,2017-06-07 09:16:41,-,['R1'],2888,published,Harian Lampung post,"[{'placement': 2, 'security': 'public', 'eprintid': 2888, 'mime_type': 'image/png', 'language': 'en', 'files': [{'objectid': 2772, 'uri': 'http://repository.lppm.unila.ac.id/id/file/19896', 'datasetid': 'document', 'filesize': 1205985, 'mime_type': 'image/png', 'fileid': 19896, 'filename': 'Screenshot_2017-06-02-06-13-03.png', 'hash': '59e89a58b7ada312226b63ad51bc6d64', 'mtime': '2017-06-01 23:15:43', 'hash_type': 'MD5'}], 'main': 'Screenshot_2017-06-02-06-13-03.png', 'docid': 2772, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2772', 'pos': 2, 'format': 'image'}]",pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/2888,['Universitas Lampung'],540,2017-06-07 09:16:41,2017-06-07 09:16:41,"[{'id': 't_a_larasati@yahoo.co.id', 'name': {'lineage': None, 'honourific': None, 'family': '-', 'given': 'TA Larasati'}}]",-,Dokter Layanan Primer,-,disk0/00/00/28/88,2016-09-21 00:00:00.000000000,article,['FK1'],,,,,,,,,,,,,,,,,,,,,,,,,
1,Aktifitas Musa Paradisiaca Dalam Terapi Diare Akut Pada Anak,,show,11,,archive,2017-06-07 09:16:01,"Tanaman obat telah digunakan sebagai bentuk alternatif dari perawatan kesehatan. Pisang (Musa paradisiaca) merupakan
salah satu tanaman obat yang paling sering digunakan. Pisang (Musa paradisiaca) memiliki efek potensial terhadap
penyembuhan pada banyak penyakit, terutama penyakit gastrointestinal. Diare merupakan salah satu contoh penyakit
yang bisa disembuhkan dengan Musa paradisiaca. Diare merupakan salah satu penyebab kematian paling sering di dunia
pada anak-anak di bawah usia 5 tahun. Penyakit ini disebabkan oleh berbagai etiologi, seperti patogen, perubahan
metabolik, subtansi dan intoksikasi. Beberapa penelitian menunjukkan bahwa waktu pemulihan pasien diare yang
mengonsumsi diet dengan pisang lebih cepat dibanding pasien yang tidak mengonsumsi diet dengan pisang. Musa
paradisiaca bisa menyembuhkan diare dengan aktivitas dari kandungan karbohidratnya. Kandungan karbohidrat yang
resisten terhadap kadar amilase yang tinggi akan berperan dalam resistensi terhadap hidrolisis di usus. Ketika tiba di kolon,
kandungan karbohidrat tersebut difermentasi oleh mikroflora kolon menjadi short chain fatty acids (SCFAs) yang
menstimulasi absorpsi garam dan air. Di sisi lain, Musa paradisiaca bisa mengurangi diare dengan menormalisasi fungsi
usus. Kandungan pektin dalam Musa paradisiaca akan mengabsorpsi air dalam jumlah besar untuk menormalisasi
pergerakan usus. Simpulan: Pisang (Musa paradisiaca) dapat menjadi alternatif terapi diare pada anak di bawah usia lima
tahun karena mempunyai kandungan fitokemikal alami, aktivitas farmakologis, dan aktivitas antibakteri",['R1'],2352,published,FK Unila dan IDI WIlayah Lampung,"[{'eprintid': 2352, 'placement': 1, 'security': 'public', 'language': 'id', 'mime_type': 'application/pdf', 'content': 'published', 'main': 'Artikel.pdf', 'docid': 2229, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/16307', 'objectid': 2229, 'filesize': 4025739, 'datasetid': 'document', 'filename': 'Artikel.pdf', 'hash': 'a18a5f14b6bd6684a4f6d8c79d92e7f6', 'mtime': '2017-05-31 03:29:22', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 16307}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/2229', 'rev_number': 2}]",pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/2352,['University of Lampung'],540,2017-06-07 09:16:01,2017-06-07 09:16:01,"[{'id': 't_a_larasati@yahoo.co.id', 'name': {'lineage': None, 'honourific': None, 'family': '-', 'given': 'TA Larasati'}}, {'name': {'lineage': None, 'family': '-', 'honourific': None, 'given': 'WA Hardita'}, 'id': None}, {'name': {'family': '-', 'honourific': None, 'lineage': None, 'given': 'IK Dewi'}, 'id': None}]",2527-3612,JK Unila Edisi Khusus PEPKI VIII,,disk0/00/00/23/52,2016-10-01 00:00:00.000000000,article,['FK1'],2,424-427,1,,,,,,,,,,,,,,,,,,,,,,
2,Seorang Perempuan Usia 35 Tahun dengan Pre-eklampsia Berat dan Parsial HELLP Sindrom,http://jurnal.fk.unila.ac.id/index.php/Medula/article,show,7,"[{'url': 'http://jurnal.fk.unila.ac.id/index.php/Medula/article', 'type': 'author'}]",archive,2017-06-02 03:13:39,"Angka kejadian pre-eklampsia berat di Indonesia berkisar 3-10% dan merupakan penyebab dari 30-40% kematian perinatal.
Pre-eklampsia menggeser perdarahan yang menjadi penyebab utama kematian maternal. Pre-eklampsia adalah terjadinya
peningkatan tekanan darah lebih dari 140/90 mmHg, edema, dan proteinuria. Pre-eklampsia berat merupakan risiko yang
dapat membahayakan ibu serta janin. Sampai saat ini terjadinya pre-eklampsia berat belum diketahui sebabnya, tetapi preeklampsia
berat dapat terjadi pada kelompok tertentu yaitu mereka yang mempunyai predisposisi usia muda, kehamilan
pertama, keturunan, riwayat pre-eklampsia, dan gaya hidup. Pengobatan pasien pre-eklampsia berat dan untuk mencegah komplikasi dapat menggunakan MgSO4 dan antihipertensi nifedipin. Penatalaksanaan HELLP syndrome pada pasien preeklampsia berat dapat dipertimbangkan dengan pemberian kortikosteroid.",['RG'],2493,published,,"[{'security': 'public', 'placement': 1, 'eprintid': 2493, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 2368, 'uri': 'http://repository.lppm.unila.ac.id/id/file/17211', 'datasetid': 'document', 'filesize': 520036, 'mime_type': 'application/pdf', 'fileid': 17211, 'filename': 'angga_alpiansyah_2017_01_22_00_51_13_018.pdf', 'hash': '35bf5b57a248ba810880ca1934b0541d', 'hash_type': 'MD5', 'mtime': '2017-05-31 06:21:15'}], 'main': 'angga_alpiansyah_2017_01_22_00_51_13_018.pdf', 'docid': 2368, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2368', 'format': 'text', 'pos': 1}]",pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/2493,,556,2017-06-02 03:13:39,2017-06-02 03:13:39,"[{'id': 'agungprasetyayoga@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Agung', 'given': 'Made'}}, {'name': {'given': 'Rodiani', 'family': 'Rodiani', 'honourific': None, 'lineage': None}, 'id': 'rodianimoekroni@gmail.com'}]",2339-1227,J Medula Unila,,disk0/00/00/24/93,2016-12-18 00:00:00.000000000,article,['FK1'],1,72-76,6,,,,,,,,,,,,,,,,,,,,,,
3,Pengaruh Obat Golongan Antipiretik dan Antibiotik Terhadap Peningkatan Angka Kejadian STEVEN-JOHNSON SYNDROME Di RSUD Dr. Abdul Moeloek Bandar Lampung,,show,6,,archive,2017-05-31 02:49:36,"Steven-Johnson Syndrome adalah bentuk penyakit mukokutan dengan tanda dan gejala sistemik yang dari ringan sampai berat berupa lesi target dengan bentuk yang tidak teratur, disertai makula , vesikel, bula dan purpura yang tersebar luas terutama rangka tubuh. Ruam kulit awalnya berupa makula yang berkembang menjadi papul, vesikel, bula, plak urtikaria atau eritema konfluens. Pada bagian tengah lesi ini biasanya bersifat vesikular, purpurik, atau nekrotik. Lesi tipikal biasanya berbentuk target yang biasanya berbentu ktarget yang bersifat patogmonik untuk lesi awal SJS. Namun, berbeda dengan eritema multiforme, lesi ini hanya memiliki dua zona warna. Lesi bagian inti dapat bersifat vesikular, purpura atau nekrotik, sedangkan ona yang mengelilinginya berupa makula eritem.Steven-Johnson Syndrome disebabkan oleh reaksi hipersensitivitas yang >50% adalah alergi obat. di SMF Penyakit Kulit dan Kelamin RSUD Dr. Abdul Moeloek Bandar Lampung, telah dirawat 26 pasien SSJ yang terdiri atas 11 orang (42,3%) laki-laki dan 15 orang (57,7%) perempuan dengan usia termuda 11 tahun dan tertua 53 tahun. Pada beberapa pasien ditemukan penyebab terjadinya Steven-Johnson Syndrome dikarenakan pemberian beberapa jenis obat, terkhususnya merupakan obat golongan antipiretik dan golongan antibiotik.

Kata kunci: Steven-Johnson Syndrome, Prevalensi, Peningkatan Angka Kejadian, Obat golongan antipiretik, Obat golongan antibotik",['RM'],2183,,Juke Unila,"[{'docid': 2075, 'main': 'Pengaruh  Antipiretik dan Antibiotik  SJS Di RSUDAM.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/15144', 'objectid': 2075, 'filesize': 516270, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2017-05-30 09:44:41', 'filename': 'Pengaruh  Antipiretik dan Antibiotik  SJS Di RSUDAM.pdf', 'hash': '118a352dc4f9a99bd80efb116f9deb06', 'fileid': 15144, 'mime_type': 'application/pdf'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2075', 'eprintid': 2183, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/2183,,151,2017-05-31 02:49:36,2017-05-31 02:49:36,"[{'id': None, 'name': {'family': 'Agusmansyah', 'honourific': None, 'lineage': None, 'given': 'Satya'}}, {'id': 'asepsukohar@gmail.com', 'name': {'honourific': None, 'family': 'Sukohar', 'lineage': None, 'given': 'Asep'}}]",2337-3776,Majority,,disk0/00/00/21/83,2016-12-01 00:00:00.000000000,article,['FK1'],5,144-149,5,,,,,,,,,,,,,,,,,,,,,,
4,otal Knee Arthroplasty pada Rheumatoid Arthritis,https://jkb.ub.ac.id/index.php/jkb/issue/view/64/showToc,show,7,,archive,2020-06-08 05:36:14,"Lutut adalah salah satu sendi yang paling sering terkena rheumatoid arthritis (RA). Total knee arthroplasty (TKA)
merupakan intervensi yang paling sukses mengurangi nyeri lutut dan meningkatkan fungsi lutut pada RA stadium lanjut.
Kami laporkan kasus tiga pasien wanita dengan kerusakan lutut berat akibat RA sekunder yang dikelola dengan fixedbearing
prosthesis
Zimmer's NexGen.
Pasien
pertama
adalah seorang
wanita
berusia 45 tahun
yang
menderita
RA pada
kedua
lutut
dengan
Knee
society
score
(KSS)
pada
lutut
kanan
40
dan
pada
lutut
kiri
38.
Pasien
kedua
adalah
seorang

wanita
berusia
46
tahun
yang
menderita
RA
pada
lutut
kiri
dengan
KSS
50.
Pasien
ketiga,
wanita
berusia
35
tahun
dengan

KSS
40.
Setelah
melakukan
TKA,
skor
KSS
pasien
pertama
meningkat
menjadi
77
pada
kedua
lutut.
Demikian
juga
pada

pasien
kedua
dan
ketiga,
skor
KSS
menjadi
70.
Dari
kasus
ini
dapat
disimpulkan
bahwa
TKA
meningkatkan
fungsi
secara

keseluruhan
serta
kualitas
hidup
pasien
dengan
RA
lutut.
Kata Kunci: Lutut, rheumatoid arthritis, total knee arthroplasty",['RF'],22080,,Fakultas Kedokteran Universitas Brawijaya,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/35476', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 978685, 'mime_type': 'application/pdf', 'fileid': 203463, 'filename': '1388-6420-5-PB.pdf', 'hash': 'ea2e028780462a2db0abe54a6af2105f', 'mtime': '2020-06-08 04:32:22', 'hash_type': 'MD5', 'objectid': 35476, 'uri': 'http://repository.lppm.unila.ac.id/id/file/203463'}], 'main': '1388-6420-5-PB.pdf', 'docid': 35476, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 22080}]",pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/22080,['Universitas Lampung'],285,2020-06-08 05:36:14,2020-06-08 05:36:14,"[{'id': 'ahmad.fauzi@fk.unila.ac.id', 'name': {'given': 'Fauzi', 'lineage': None, 'family': 'Ahmad', 'honourific': None}}]",2338-0772,Jurnal Kedokteran Brawijaya,,disk0/00/02/20/80,2016-08-01 00:00:00.000000000,article,['FK1'],2,179-184,29,,,,,,,,,,,,,,,,,,,,,,
5,Penatalaksanaan Skabies pada Anak Usia 1 Tahun,,show,8,"[{'url': 'http://jukeunila.com/category/medula/', 'type': 'pub'}]",archive,2017-06-02 12:00:47,"Skabies merupakan penyakit kulit akibat infestasi tungau Sarcoptes scabiei. Penyakit skabies dapat menyerang anak dan
dewasa. Pada kasus ini penyakit skabies terjadi pada anak N, perempuan, 1 tahun, datang dengan keluhan gatal pada tubuh
sejak 2 bulan lalu. Berdasarkan anamnesis gatal dirasakan terutama pada malam hari di daerah  sela jari tangan,
pergelangan tangan,  bawah perut, dan tungkai. Anggota keluarga lainnya yang tinggal serumah juga memiliki keluhan yang
serupa yaitu ibu pasien. Status dermatologik ditemukan pada seluruh tubuh terutama di daerah interdigitalis, antebrachii,
dibawah umbilicus, dan pedis. Terdapat papul multipel berukuran milier warna kulit sebagian eritematosa. Selain itu juga
terdapat pustul, erosi, dan ekskoriasi yang ditutupi krusta merah kehitaman. Tidak dilakukan pemeriksaan penunjang pada
pasien. Tatalaksana yang diberikan pada pasien yaitu edukasi dan medikamentosa salep 24. Aspek internal dan lingkungan
yang mungkin berpengaruh pada perkembangan skabies pada pasien adalah higienitas personal dan lingkungan yang
kurang.","['RA0421', 'RL']",2777,published,fakultas kedokteran universitas lampung,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 2777, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2632', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'objectid': 2632, 'uri': 'http://repository.lppm.unila.ac.id/id/file/18977', 'datasetid': 'document', 'filesize': 533758, 'mime_type': 'application/pdf', 'fileid': 18977, 'hash': '13510af9e7d47ec2a178cbcc3d9d94ce', 'filename': 'Aini_Putri__Betta_Kurniawan_2016_05_31_17_00_19_182.pdf', 'hash_type': 'MD5', 'mtime': '2017-06-01 07:31:48'}], 'main': 'Aini_Putri__Betta_Kurniawan_2016_05_31_17_00_19_182.pdf', 'docid': 2632}]",pub,FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/2777,,421,2017-06-02 12:00:47,2017-06-02 12:00:47,"[{'name': {'lineage': None, 'family': 'Aini', 'honourific': None, 'given': 'Putri'}, 'id': 'ainiputriwirman@yahoo.com'}, {'name': {'given': 'Kurniawan', 'lineage': None, 'honourific': None, 'family': 'Betta'}, 'id': 'betta.fkunila@gmail.com'}]",2339-1227,"MEDULA, medicalprofession journal of lampung university",,disk0/00/00/27/77,2016-05-01 00:00:00.000000000,article,['FK1'],1,6-9,5,,,,,,,,,,,,,,,,,,,,,,
6,Korelasi Perilaku Konsumsi Buah dan Sayur Serta Status Gizi Dengan Kadar Kolesterol Total Pada Pasien Poliklinik Universitas Lampung,,show,6,,archive,2016-09-01 01:18:46,"Coronary heart disease is a type of heart disease that is most common. The disease attacks the blood vessels and can cause a heart attack. Heart attacks are caused by clogged arteries by the delivery of oxygen and nutrients to the heart diseases can affect any part of the heart. High cholesterol and obesity are risk factors for coronary heart disease. Obesity is often associated with dyslipidemia including an increase in LDL cholesterol and low HDL cholesterol. This research is an analytic observational study with cross sectional approach on 89 patients who came to the clinic Unila June to October 2015, more than 18 years old and do not suffer from chronic infectious diseases and malignancies. Samples were taken by consecutive sampling. The behavior of fruit and vegetable consumption is obtained with the results of the questionnaire. The nutritional status was assessed using anthropometric measurements using body mass index (BMI). Total cholesterol obtained from the results of laboratory tests. The results showed that the average respondent had behavioral research subjects fruit and vegetable consumption is less (53.97), the nutritional status of obese (BMI 25) and moderately high cholesterol levels (197 mg / dl). There is a significant negative correlation between the consumption of fruits and vegetables with high levels of total cholesterol (r = -0.833; p <0.05) and a significant positive correlation between nutritional status and total cholesterol (r = 0.866; p <0.05).

Keywords: fruit and vegetable consumption, nutritional status, total cholesterol, Unila clinic patients",['R1'],501,published,,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 501, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/418', 'rev_number': 1, 'main': 'DIA_JKUnila_2016.pdf', 'docid': 418, 'files': [{'objectid': 418, 'uri': 'http://repository.lppm.unila.ac.id/id/file/2669', 'datasetid': 'document', 'filesize': 184697, 'fileid': 2669, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2016-08-31 04:21:55', 'hash': '745097914fb2641e0a6d2012e91f9a65', 'filename': 'DIA_JKUnila_2016.pdf'}]}]",pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/501,,183,2016-09-01 01:18:46,2016-09-01 01:18:46,"[{'name': {'given': 'Dian Isti', 'family': 'Angraini', 'honourific': None, 'lineage': None}, 'id': 'riditie@gmail.com'}]",,JK Unila,,disk0/00/00/05/01,1970-01-01 00:00:00.000002016,article,['FK1'],1,38-43,1,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],,,,,,,,,,,,,,,,,,,,,
7,Korelasi Aktifitas Fisik dan Jumlah Gigi Berfungsi dengan Kadar Gula Darah Sewaktu pada Pasien Poliklinik Universitas Lampung,http://fk.unila.ac.id/jkunila/,show,8,,archive,2017-05-31 06:18:43,"Faktor risiko penyakit degeneratif di antaranya hipertensi, diabetes melitus, dan kanker sangat berkaitan dengan pola hidup yang dijalani seseorang. Asupan makan inadekuat, aktifitas fisik yang kurang, stres emosial, dan status gizi berlebih merupakan contoh faktor risiko penyakit degeneratif. Asupan makan inadekuat juga bisa dipengaruhi dengan adanya gangguan pengunyahan akibat masalah gigi mulut. Tujuan penelitian ini untuk mengetahui korelasi aktifitas fisik dan jumlah gigi berfungsi dengan kadar gula darah sewaktu. Penelitian ini merupakan penelitian observasional analitik dengan pendekatan cross sectional pada 89 orang pasien yang datang ke poliklinik Unila pada bulan Juni sampai Oktober 2015, berusia lebih dari 18 tahun dan tidak menderita penyakit infeksi kronis serta keganasan. Sampel diambil secara consecutive sampling. Aktifitas fisik didapatkan dengan hasil kuesioner 24 h recall of physical activity. Jumlah gigi berfungsi dinilai dengan pemeriksaan gigi dan mulut menggunakan indeks DMF-T. Kadar glukosa darah sewaktu didapatkan dari hasil pemeriksaan laboratorium. Hasil penelitian menunjukkan bahwa responden rata-rata subyek penelitian memiliki aktifitas fisik ringan (1,62), jumlah gigi berfungsi baik (29,2) dan kadar glukosa darah sewaktu dalam batas normal (163,3 mg/dl). Terdapat korelasi negatif yang bermakna antara aktifitas fisik dengan kadar glukosa darah sewaktu (r=-0,28; p<0,05) dan korelasi yang tidak bermakna antara jumlah gigi berfungsi dengan kadar glukosa darah sewaktu (r=0,058; p>0,05). Simpulan: aktifitas fisik berkorelasi negatif dengan kadar glukosa darah sewaktu dan jumlah gigi berfungsi tidak berkorelasi.",['RZ'],2256,published,"VOLUME 1, NOMOR 2, OKTOBER TAHUN 2016","[{'main': 'Artikel.pdf', 'docid': 2143, 'files': [{'mime_type': 'application/pdf', 'fileid': 15640, 'hash': '3a6c7fb12fa2ba59649de4e2dd18350e', 'filename': 'Artikel.pdf', 'hash_type': 'MD5', 'mtime': '2017-05-30 20:49:42', 'datasetid': 'document', 'filesize': 4405791, 'objectid': 2143, 'uri': 'http://repository.lppm.unila.ac.id/id/file/15640'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2143', 'eprintid': 2256, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/2256,,183,2017-05-31 06:18:43,2017-05-31 06:18:43,"[{'name': {'given': 'Dian Isti', 'family': 'Angraini', 'honourific': None, 'lineage': None}, 'id': 'riditie@gmail.com'}, {'name': {'honourific': None, 'family': 'Wijaya', 'lineage': None, 'given': 'Sofyan Mussabiq'}, 'id': None}]",2527-3612,JK Unila JURNAL KEDOKTERAN UNIVERSITAS LAMPUNG,,disk0/00/00/22/56,2016-10-01 00:00:00.000000000,article,['FK1'],2,215-219,1,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,,,,,,,,,,,,,,,,,,,,
8,Filariasis: Pencegahan Terkait Faktor Risiko,http://jukeunila.com/category/majority/,show,8,"[{'url': 'http://jukeunila.com/category/majority/', 'type': 'author'}]",archive,2017-05-30 06:49:05,"Abstrak
Filariasis adalah penyakit menular yang disebabkan oleh cacing Filaria sp. yang menyerang saluran dan kelenjar getah
bening. Gejala klinis terdiri dari gejala akut (limfadenitis, limfangitis, adenolimfangitis, demam, sakit kepala, serta abses)
dan gejala kronik (limfedema, lymph scrotum, kiluri, dan hidrokel). Penyakit ini diperkirakan dapat menyerang 1.1 milyar 
penduduk, terutama di daerah tropis seperti Indonesia, dan beberapa daerah subtropis. Di Indonesia, filariasis paling sering
disebabkan oleh tiga spesies, yaitu Wuchereria Bancrofti, Brugia Malayi, dan Brugia Timori. Jumlah kasus yang dilaporkan 
meningkat dari 6.571 kasus pada tahun 2002 menjadi 14.932 kasus pada tahun 2014. Penularan filariasis terjadi apabila ada
lima unsur utama sebagai sumber penular yaitu reservoir (manusia dan hewan), parasit (cacing), vektor (nyamuk), host
(manusia yang rentan), dan lingkungan (fisik, biologik, ekonomi dan social budaya). Faktor risiko yang memicu filariasis
antara lain adalah manusia (umur, jenis kelamin, imunitas, ras), nyamuk (perilaku, frekuensi menggigit, siklus gonotrofik),
lingkungan (fisik, biologi, ekonomi dan sosial budaya), dan agen (cacing filaria). Pencegahan filariasis secara umum dapat
dilakukan dengan cara edukasi (penyuluhan), identifikasi vektor (waktu dan tempat menggigit), pengendalian vektor
(perubahan konstruksi lingkungan), serta pengobatan yang dapat dilakukan secara masal maupun individu.",['R1'],1993,published,Juke Unila,"[{'placement': 1, 'security': 'public', 'eprintid': 1993, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/14154', 'objectid': 1904, 'mtime': '2017-05-30 05:20:23', 'hash_type': 'MD5', 'hash': '680dcb4e7fe6398b5b4fb8c25569939f', 'filename': '0-COVER-DEPAN.pdf', 'fileid': 14154, 'mime_type': 'application/pdf', 'filesize': 57924, 'datasetid': 'document'}], 'main': '0-COVER-DEPAN.pdf', 'docid': 1904, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1904', 'rev_number': 1, 'pos': 1, 'format': 'text'}, {'files': [{'mime_type': 'application/pdf', 'fileid': 14169, 'filename': 'Hanna,Anindita,MajoritySep16.pdf', 'hash': '37480e07c2fd3e2e08b50116abdf8b14', 'mtime': '2017-05-30 05:26:13', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 2821491, 'objectid': 1908, 'uri': 'http://repository.lppm.unila.ac.id/id/file/14169'}], 'docid': 1908, 'main': 'Hanna,Anindita,MajoritySep16.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/1908', 'rev_number': 1, 'format': 'text', 'pos': 2, 'security': 'public', 'placement': 2, 'eprintid': 1993, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/1993,,157,2017-05-30 06:49:05,2017-05-30 06:49:05,"[{'name': {'lineage': None, 'family': 'Anindita', 'honourific': None, 'given': 'Anindita'}, 'id': 'anindita014@yahoo.co.id'}, {'id': 'hanna_dr@yahoo.com', 'name': {'honourific': None, 'family': 'Mutiara', 'lineage': None, 'given': 'Hanna'}}]",2337-3776,Majority,,disk0/00/00/19/93,2016-09-01 00:00:00.000000000,article,['FK1'],3,11-16,5,,hanna_dr@yahoo.com,,,,,,,,,,,,,,,,,,,,
9,Seorang Perempuan Berusia 60 Tahun dengan Delusional Parasitosis,http://jukeunila.com/medical-profession-journal-of-lampung/,show,6,"[{'type': 'author', 'url': 'http://jukeunila.com/medical-profession-journal-of-lampung/'}]",archive,2017-05-31 04:50:56,"Delusional  parasitosis  adalah  salah  satu  gangguan  psikokutaneus,  yaitu  kondisi  dimana  pasien  mengalami  delusi  bahwa 
tubuh mereka diserang organisme hidup. Pasien  perempuan berusia  60 tahun datang dengan keluhan lecet disertai gatal di 
wajah,  kedua  tangan,  perut,  dan  kedua  kaki  sejak  3  bulan  yang  lalu.  Pasien  mengatakan  bahwa  rasa  gatal  yang  dialaminya
 
disebabkan  oleh  binatang  yang  ia  yakini  hinggap  di  kulitnya.  Pada  status  dermatologis,  didapatkan  pada  regio  facialis  area 
nasolabial,  brachii  dextra  et  sinistra,  antebrachii  dextra  et  sinistra,  abdomen  anterior,  dan  cruris  dextra  et  sinistra 
ditemukan  effloresensi  berupa  eksoriasi,  erosi,  dan  krusta  multipel  diskret  berukuran  lentikuler  hingga  numular  berbentuk 
ireguler  berbatas  tegas, 
serta  tampak  likenifikasi  pada  sebagian  bekas  luka  yang  telah  mengering.  Diagnosis  pada  pasien  ini 
adalah  delusional  parasitosis.  Terapi  yang  diberikan  berupa  edukasi  tentang  penyakit  pasien,  cetirizine  1x10  mg,  pimozide 
1x1 mg, asam fusidat krim 2%, hidrokortison krim 1%, dan merujuk pasien ke dokter psikiatri.",['R1'],2222,published,FK Unila,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2113', 'rev_number': 1, 'main': '2.Hanna,Magista,Medula Agust 2016.pdf', 'docid': 2113, 'files': [{'datasetid': 'document', 'filesize': 2146493, 'fileid': 15389, 'mime_type': 'application/pdf', 'mtime': '2017-05-30 14:28:48', 'hash_type': 'MD5', 'hash': 'b905bec6fe92967afe499b17620c4824', 'filename': '2.Hanna,Magista,Medula Agust 2016.pdf', 'objectid': 2113, 'uri': 'http://repository.lppm.unila.ac.id/id/file/15389'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 2222, 'security': 'public', 'placement': 1}]",pub,FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/2222,,157,2017-05-31 04:50:56,2017-05-31 04:50:56,"[{'id': 'gista.307@gmail.com', 'name': {'given': 'Magista,Vivi', 'honourific': None, 'family': 'Anisa', 'lineage': None}}, {'id': 'hanna_dr@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Mutiara', 'given': 'Hanna'}}]",2339-1227,medical profession journal of lampung university,,disk0/00/00/22/22,2016-08-01 00:00:00.000000000,article,['FK1'],2,48-52,5,,hanna_dr@yahoo.com,,,,,,,,,,,,,,,,,,,,
