,type,divisions,creators,dir,lastmod,userid,pagerange,datestamp,documents,pres_type,ispublished,refereed,uri,full_text_status,eprintid,event_title,date_type,event_location,related_url,status_changed,eprint_status,abstract,subjects,official_url,title,event_dates,metadata_visibility,rev_number,event_type,number,publisher,publication,issn,volume,id_number,isbn
0,conference_item,['FKIP11'],"[{'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Achmad Pratikno', 'given': 'Pratikno'}}, {'id': 'herpratiwi.1964@fkip.unila.ac.id', 'name': {'family': 'Herpratiwi', 'honourific': None, 'lineage': None, 'given': 'Herpratiwi'}}]",disk0/00/00/88/03,2018-10-29 04:17:14,863,31-42,2018-10-29 04:17:14,"[{'eprintid': 8803, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'id', 'main': 'Prosiding HEPI 2016.pdf', 'docid': 21883, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/85617', 'objectid': 21883, 'mtime': '2018-09-07 06:57:03', 'hash_type': 'MD5', 'filename': 'Prosiding HEPI 2016.pdf', 'hash': '2776e1a25a3f81eee8b66581d6314ff4', 'fileid': 85617, 'mime_type': 'application/pdf', 'filesize': 2116924, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21883'}]",paper,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/8803,public,8803,Seminar Nasional HEPI,completed,Bandar Lampung,[{'url': 'http://www.hepilampung.blogspot.com'}],2018-10-29 04:17:14,archive,"Masalah penelitian ini adalah tidak sesuai rasio media belajar dengan jumlah siswa, kurang dikenalnya wawasan mutu dan ekonomi, serta tidak mengacu pembelajaran industri. Penelitian ini bertujuan untuk mengembangkan model hipotetik media simulator kelistrikan otomotif di sekolah menengah kejuruan. Langkah penelitian melalui tiga tahap, yaitu; (1) penilaian kondisi pembelajaran faktual dan konseptual, (2) pengembangan model hipotetik media pembelajaran desain simulator otomotif, dan (3) dihasilkan model hipotetik pengembangan media pembelajaran simulator kelistrikan otomotif di sekolah menengah kejujuran. Hasil penelitian ini adalah model hipotetik media simulator kelistrikan otomotif yang berisi petunjuk penggunaan dan media simulator pembelajaran, yang langkah-langkahnya; a) menyusun rancangan pembelajaran berdasarkan standar kompetensi, b) penggunaan media simulator sesuai indikator pencapaian kompetensi, c) mengevaluasi sistem pembelajaran bermedia simulator.",['L1'],http://www.hepilampung.blogspot.com,Pengembangan Model Hipotetik Media Simulator Kelistrikan Otomotif di SMK Kabupaten Pringsewu,10 September 2016,show,8,conference,,,,,,,
1,article,['FKIP11'],"[{'name': {'given': 'Niken', 'lineage': None, 'family': 'Berta Niken Dianingrum', 'honourific': None}, 'id': None}, {'id': 'herpratiwi.1964@fkip.unila.ac.id', 'name': {'given': 'Herpratiwi', 'lineage': None, 'family': 'Herpratiwi', 'honourific': None}}, {'id': 'sugeng.sutiarso@fkip.unila.ac.id', 'name': {'given': 'Sugeng', 'honourific': None, 'family': 'Sutiarso', 'lineage': None}}]",disk0/00/01/74/12,2020-02-17 03:40:48,863,71-76,2020-02-17 03:40:48,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 17412, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30538', 'pos': 1, 'format': 'text', 'files': [{'objectid': 30538, 'uri': 'http://repository.lppm.unila.ac.id/id/file/147336', 'mime_type': 'application/pdf', 'fileid': 147336, 'hash': 'bb30f284aa1e0a31747ea6aa498de8d0', 'filename': 'N0906027176.pdf', 'hash_type': 'MD5', 'mtime': '2019-12-26 05:30:37', 'datasetid': 'document', 'filesize': 278549}], 'main': 'N0906027176.pdf', 'docid': 30538}]",,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/17412,public,17412,,,,,2020-02-17 03:40:48,archive,"The aim of this research is to develop the Students worksheet based on CTL learning models and test it to the experts and students. The problems of this research are the number of students cannot master the material well, the teaching and learning is teacher centered, the students have lacks motivation, and students just have guidance book from library. Based on the result of checking the document found the effect of students failure was the material teaching. Because of it, researcher developed the students worksheet based CTL learning model. The method used was research and development. Based on the recapitulation results of the students' perception questionnaire towards the LKPD based CTL learning models developed, the total percentage obtained by 95% which stated that LKPD was perceived very well by students.
Key words: CTL, LKPD, and Development.",['L1'],http://www.iosrjournals.org,"The Development of Student worksheets Based on Contextual Teaching and Learning toOvercome the Problems in Teaching 
Mathematics at Elementary SchoolGrade 5 of Pringsewu",,show,7,,6.0,IOSR Journal of Research & Method in Education (IOSR-JRME),IOSR Journal of Research & Method in Education (IOSR-JRME),2320–1959,9.0,,
2,conference_item,['FKIP11'],"[{'name': {'honourific': None, 'family': 'Bujang Rahman', 'lineage': None, 'given': 'Rahman'}, 'id': None}, {'id': 'herpratiwi.1964@fkip.unila.ac.id', 'name': {'given': 'Herpratiwi', 'family': 'Herpratiwi', 'honourific': None, 'lineage': None}}, {'name': {'given': 'MULYANTO W', 'honourific': None, 'family': 'MULYANTO WIDODO', 'lineage': None}, 'id': 'mulyanto.widodo@gmail.com'}]",disk0/00/00/88/10,2018-10-29 04:18:06,863,94-94,2018-10-29 04:18:06,"[{'main': 'ICTLHE2011.pdf', 'docid': 21890, 'files': [{'filesize': 3410672, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2018-09-07 09:09:32', 'filename': 'ICTLHE2011.pdf', 'hash': '0b4c72c2d7e0041b2e6d3ae12cf8284a', 'fileid': 85669, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/85669', 'objectid': 21890}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/21890', 'rev_number': 1, 'eprintid': 8810, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",paper,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/8810,public,8810,International Conference on Teaching and Learning in Higher Education,completed,Melaka,[{'url': 'http://www.ictlhe.com'}],2018-10-29 04:18:06,archive,"The aims of this research are to determine: (1) interaction between initial capabilities through the written and oral journals toward students' learning achievement, (2) differences in learning achievement of students who use written and verbal journals in learning process, (3) differences in learning achievement of students who have high initial abilities using written and spoken journals. and (4) differences in learning achievement of students who have low entry using oral and written journals in learning process. The research used a quasi experimental approach to the design of non equivalent control group design. The independent variable is the learning journal, the variable attribute is the initial ability, and the dependent variable is academic achievement. The study is conducted in the department of health and sport Faculty of Teacher and Education of Lampung University. The sample was determined by purposive sampling technique. data were collected by using test instruments. Data were analyzed by using 2x2 factorial analyses. The result showed that (1) there is an interaction between early/initial abilities through oral and written journal of the students' learning achievement (p-value 0.050), (2) the average of students learning achievement using written journals is higher than those who use oral journals with different values-average 3.73. (3) The average in learning achievement of students who have high entry using written journal is higher than using oral journal with a value of 4.058 and the average difference is 8.13. (4) the average in learning students' achievement of students who have low entry using oral journals is higher than those who using written journal and the average difference is 0.667.",['L1'],http://www.ictlhe.com,The Effect of Journal Toward Students' Learning Achievement at Department Health and Sport Faculty of Teacher and Education of Lampung University,21-23 November 2011,show,7,conference,,,,,,,
3,other,['FKIP11'],"[{'name': {'given': 'CE', 'lineage': None, 'family': 'Chandra Ertikanto', 'honourific': None}, 'id': None}, {'id': 'herpratiwi.1964@fkip.unila.ac.id', 'name': {'given': 'Herpratiwi', 'honourific': None, 'family': 'Herpratiwi', 'lineage': None}}, {'id': None, 'name': {'given': 'Yuniarti', 'lineage': None, 'honourific': None, 'family': 'Tina'}}, {'id': None, 'name': {'lineage': None, 'family': 'andrian saputra', 'honourific': None, 'given': 'saputra'}}]",disk0/00/02/20/96,2020-06-09 01:11:28,863,,2020-06-09 01:11:28,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 22096, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35495', 'pos': 1, 'format': 'text', 'files': [{'filesize': 348084, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2020-06-08 08:07:51', 'hash': 'db7513971e3a4e23c2b801be5ef594a3', 'filename': '1. Development & Evalualition ..., Chandra, Her Checker.pdf', 'fileid': 203582, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/203582', 'objectid': 35495}], 'main': '1. Development & Evalualition ..., Chandra, Her Checker.pdf', 'docid': 35495}]",,pub,,http://repository.lppm.unila.ac.id/id/eprint/22096,public,22096,,,,,2020-06-09 01:11:28,archive,"A teacher training program, named Model-Supported Scientific Inquiry Training Program (MSSITP) has been successfully developed to improve the inquiry skills of Indonesian elementary teachers. The skills enhanced by MSSITP are defining problems, formulating hypotheses, planning and doing investigations, drawing conclusions, and communicating the results. This teacher training program was evaluated by 48 teachers selected by stratified random sampling technique from 48 elementary schools in Bandar Lampung City, Lampung Province, Indonesia. The program was designed to follow Bandura’s stages of social learning: attention,
retention, production, and motivation. The impact of MSSITP was evaluated in three ways. First, by analyzing the improvements of inquiry skills compared to conventional SITP through pretest and posttest control group design. Second, by using an inquiry questionnaire to describe teachers’ perceptions of inquiry learning. Last, by using a response instrument to elicit teachers’ opinions of the program. The results indicate a significant difference (sig 0.00) in teachers’ skills acquired from the two different training programs. Mean posttest scores, varying from 34.7 to 56.9 for the control group and 58.3 to 98.6 for the experimental
group, confirmed the effectiveness of MSSITP.",['L1'],,Development and Evaluation of a Model-Supported Scientific Inquiry Training Program for Elementary Teachers in Indonesia,,show,7,,,International Journal of Instruction,,,,,
4,article,['FKIP11'],"[{'name': {'family': 'Chandra Ertikanto', 'honourific': None, 'lineage': None, 'given': 'CE'}, 'id': None}, {'name': {'given': 'Herpratiwi', 'honourific': None, 'family': 'Herpratiwi', 'lineage': None}, 'id': 'herpratiwi.1964@fkip.unila.ac.id'}, {'name': {'given': 'saputra', 'honourific': None, 'family': 'andrian saputra', 'lineage': None}, 'id': None}]",disk0/00/00/87/79,2018-10-26 10:09:12,863,93-108,2018-10-26 10:09:12,"[{'security': 'public', 'placement': 1, 'eprintid': 8779, 'content': 'published', 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'filesize': 785345, 'datasetid': 'document', 'hash': 'fedc269eaa8644d836ce90d0bd72885c', 'filename': 'iji_2017_3_7.pdf', 'mtime': '2018-08-31 21:12:07', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 85450, 'uri': 'http://repository.lppm.unila.ac.id/id/file/85450', 'objectid': 21859}], 'main': 'iji_2017_3_7.pdf', 'docid': 21859, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21859', 'rev_number': 3, 'format': 'text', 'pos': 1}]",,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/8779,public,8779,,completed,,[{'url': 'http://www.e-iji.net/dosyalar/iji_2017_3_7.pdf'}],2018-10-26 10:09:12,archive,"A teacher training program, named Model-Supported Scientific Inquiry Training Program (MSSITP) has been successfully developed to improve the inquiry skills of Indonesian elementary teachers. The skills enhanced by MSSITP are defining problems, formulating hypotheses, planning and doing investigations, drawing conclusions, and communicating the results. This teacher training program was evaluated by 48 teachers selected by stratified random sampling technique from 48 elementary schools in Bandar Lampung City, Lampung Province, Indonesia. The program was designed to follow Bandura’s stages of social learning: attention, retention, production, and motivation. The impact of MSSITP was evaluated in three ways. First, by analyzing the improvements of inquiry skills compared to conventional SITP through pretest and posttest control group design. Second, by using an inquiry questionnaire to describe teachers’ perceptions of inquiry learning. Last, by using a response instrument to elicit teachers’ opinions of the program. The results indicate a significant difference (sig 0.00) in teachers’ skills acquired from the two different training programs. Mean posttest scores, varying from 34.7 to 56.9 for the control group and 58.3 to 98.6 for the experimental group, confirmed the effectiveness of MSSITP.",['L1'],http://www.e-iji.net,Development and Evaluationof a Model- Supported  Scientific  Inquiry Training Program for Elementary Teachers in Indonesia,,show,13,,3.0,Faculty of Education Eskisehir Osmangazi University.,International Journal of Instruction,p-ISSN: 1694-609X,10.0,doi,
5,other,['FKIP11'],"[{'id': None, 'name': {'family': 'Dinda', 'honourific': None, 'lineage': None, 'given': 'Dinda'}}, {'name': {'honourific': None, 'family': 'Alben Ambarita', 'lineage': None, 'given': 'Alben'}, 'id': 'alben_ambarita57@yahoo.com'}, {'name': {'lineage': None, 'family': 'Herpratiwi', 'honourific': None, 'given': 'Herpratiwi'}, 'id': 'herpratiwi.1964@fkip.unila.ac.id'}]",disk0/00/03/85/02,2022-01-27 08:01:06,863,,2022-01-27 08:01:06,"[{'security': 'public', 'placement': 1, 'eprintid': 38502, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'fileid': 436041, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-01-27 05:05:19', 'filename': 'Similarity_Pengembangan LKPD Matematika Berbasis PBL untuk Peningkatan Kemampuan Pemecahan Masalah di Sekolah Dasar_2.pdf', 'hash': '1d71971c3b38cd1686694da607849079', 'datasetid': 'document', 'filesize': 2575064, 'objectid': 159612, 'uri': 'http://repository.lppm.unila.ac.id/id/file/436041'}], 'docid': 159612, 'main': 'Similarity_Pengembangan LKPD Matematika Berbasis PBL untuk Peningkatan Kemampuan Pemecahan Masalah di Sekolah Dasar_2.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159612', 'format': 'text', 'pos': 1}]",,pub,,http://repository.lppm.unila.ac.id/id/eprint/38502,public,38502,,,,,2022-01-27 08:01:06,archive,"Tujuan penelitian ini adalah mengembangkan LKPD berbasis PBL yang efektif dalam meningkatkan kemampuan pemecahan masalah pada pembelajaran matematika peserta didik kelas V SD/MI. Penelitian pengembangan ini mengikuti enam tahap metode Borg and Gall. Populasi penelitian adalah seluruh peserta didik kelas V Madrasah Ibtidaiyah Negeri Kota Metro, Lampung. Sampel penelitian adalah seluruh peserta didik kelas VA MIN 3 Metro sebanyak 25 peserta didik. Data penelitian diperoleh melalui observasi, angket, dokumentasi, dan tes hasil belajar. Hasil penelitian menunjukkan bahwa produk LKPD berbasis PBL efektif dalam meningkatkan kemampuan pemecahan masalah pada pembelajaran matematika kelas V SD/MI dengan perolehan n-gain sebesar 0,63 ternormalisasi pada klasifikasi sedang dan tingkat efektivitas pada kategori efekti",['L1'],,Similaritas_Pengembangan LKPD Matematika Berbasis PBL untuk Peningkatan Kemampuan Pemecahan Masalah di Sekolah Dasar,,show,7,,,Basicedu,,,,,
6,other,['FKIP11'],"[{'id': None, 'name': {'given': 'Dinda', 'honourific': None, 'family': 'Dinda', 'lineage': None}}, {'name': {'family': 'Alben Ambarita', 'honourific': None, 'lineage': None, 'given': 'Alben'}, 'id': 'alben_ambarita57@yahoo.com'}, {'name': {'given': 'Herpratiwi', 'lineage': None, 'honourific': None, 'family': 'Herpratiwi'}, 'id': 'herpratiwi.1964@fkip.unila.ac.id'}, {'id': 'nurhanurawati94@gmail.com', 'name': {'given': 'Nurhanurawati', 'honourific': None, 'family': 'Nurhanurawati', 'lineage': None}}]",disk0/00/03/85/26,2022-01-27 11:51:17,863,,2022-01-27 11:51:17,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 38526, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159634', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/436230', 'objectid': 159634, 'filesize': 3205055, 'datasetid': 'document', 'mtime': '2022-01-27 09:20:24', 'hash_type': 'MD5', 'filename': 'pengembangan LKPD Matematika.....pdf', 'hash': 'd20eb6cd38901e613a49cdbcad730d66', 'fileid': 436230, 'mime_type': 'application/pdf'}], 'docid': 159634, 'main': 'pengembangan LKPD Matematika.....pdf'}]",,unpub,,http://repository.lppm.unila.ac.id/id/eprint/38526,public,38526,,,,,2022-01-27 11:51:17,archive,"Tujuan penelitian ini adalah mengembangkan LKPD berbasis PBL yang efektif dalam meningkatkan kemampuan pemecahan masalah pada pembelajaran matematika peserta didik kelas V SD/MI. Penelitian pengembangan ini mengikuti enam tahap metode Borg and Gall. Populasi penelitian adalah seluruh peserta didik kelas V Madrasah Ibtidaiyah Negeri Kota Metro, Lampung. Sampel penelitian adalah seluruh peserta didik kelas VA MIN 3 Metro sebanyak 25 peserta didik. Data penelitian diperoleh melalui observasi, angket, dokumentasi, dan tes hasil belajar. Hasil penelitian menunjukkan bahwa produk LKPD berbasis PBL efektif dalam meningkatkan kemampuan pemecahan masalah pada pembelajaran matematika kelas V SD/MI dengan perolehan n-gain sebesar 0,63 ternormalisasi pada klasifikasi sedang dan tingkat efektivitas pada kategori efektif",['L1'],,PeerReview_Pengembangan LKPD Matematika Berbasis PBL untuk Peningkatan Kemampuan Pemecahan Masalah di Sekolah Dasar,,show,7,,,PeerReview,,,,,
7,article,['FKIP11'],"[{'id': None, 'name': {'given': 'Dinda', 'family': 'Dinda', 'honourific': None, 'lineage': None}}, {'id': 'alben_ambarita57@yahoo.com', 'name': {'lineage': None, 'family': 'Alben Ambarita', 'honourific': None, 'given': 'Alben'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Herpratiwi', 'given': 'Herpratiwi'}, 'id': 'herpratiwi.1964@fkip.unila.ac.id'}, {'id': 'nurhanurawati94@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Nurhanurawati', 'given': 'Nurhanurawati'}}]",disk0/00/03/57/22,2021-11-10 02:55:43,863,,2021-11-10 02:55:43,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 35722, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/156656', 'format': 'text', 'pos': 1, 'files': [{'objectid': 156656, 'uri': 'http://repository.lppm.unila.ac.id/id/file/415500', 'fileid': 415500, 'mime_type': 'application/pdf', 'mtime': '2021-11-10 02:26:02', 'hash_type': 'MD5', 'filename': '1439-5408-1-PB (3).pdf', 'hash': '4c7f3c75b8e2810636072cb43f8198c3', 'datasetid': 'document', 'filesize': 318050}], 'docid': 156656, 'main': '1439-5408-1-PB (3).pdf'}]",,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/35722,public,35722,,,,,2021-11-10 02:55:43,archive,"Tujuan penelitian ini adalah mengembangkan LKPD berbasis PBL yang efektif dalam meningkatkan kemampuan pemecahan masalah pada pembelajaran matematika peserta didik kelas V SD/MI. Penelitian pengembangan ini mengikuti enam tahap metode Borg and Gall. Populasi penelitian adalah seluruh peserta
didik kelas V Madrasah Ibtidaiyah Negeri Kota Metro, Lampung. Sampel penelitian adalah seluruh peserta didik kelas VA MIN 3 Metro sebanyak 25 peserta didik. Data penelitian diperoleh melalui observasi, angket, dokumentasi, dan tes hasil belajar. Hasil penelitian menunjukkan bahwa produk LKPD berbasis PBL efektif dalam meningkatkan kemampuan pemecahan masalah pada pembelajaran matematika kelas V SD/MI dengan perolehan n-gain sebesar 0,63 ternormalisasi pada klasifikasi sedang dan tingkat efektivitas pada kategori efektif.",['L1'],,Pengembangan LKPD Matematika Berbasis PBL untuk Peningkatan Kemampuan Pemecahan Masalah di Sekolah Dasar,,show,6,,,Elementary Teacher Educatin Departement University of Pahlawan Tuanku Tambusai,Jurnal Basicedu Journal of Elementary Education,2580-1147,,,
8,conference_item,['FKIP11'],"[{'id': None, 'name': {'given': 'Yulianti', 'family': 'Dwi Yulianti', 'honourific': None, 'lineage': None}}, {'id': 'herpratiwi.1964@fkip.unila.ac.id', 'name': {'given': 'Herpratiwi', 'lineage': None, 'family': 'Herpratiwi', 'honourific': None}}, {'name': {'honourific': None, 'family': 'Sultan Djasmi', 'lineage': None, 'given': 'Sultan'}, 'id': None}]",disk0/00/00/88/08,2018-10-29 04:18:03,863,65-72,2018-10-29 04:18:03,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 8808, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21888', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/85655', 'objectid': 21888, 'filesize': 2917398, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2018-09-07 08:21:16', 'filename': 'Prosiding ITEC 2013.pdf', 'hash': '6dc5779d3c3b866016f0b563d0f35a4e', 'fileid': 85655, 'mime_type': 'application/pdf'}], 'docid': 21888, 'main': 'Prosiding ITEC 2013.pdf'}]",paper,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/8808,public,8808,International Teacher Education Conference,completed,Bandar Lampung,[{'url': 'http://www.publikasi.ilmiah.FKIPUnila.ac.id'}],2018-10-29 04:18:03,archive,"The aim of this study was to produce a training device of writing scientific papers on the basis of learning in accordance with the needs and characteristics of elementary school teachers in the Province of Lampung. The product of developing training device included 1) learning media, 2) teaching materials of scientific writing, and 3) teachers activity sheet in writing scientific paper on the basic of learning. The method used in this development research was R & D model which consisted of, the stages of searching and collecting information, planning, and developing the format of the initial product. The subjects were the teachers of elementary schools in South Lampung, Pesawaran, Bandar Lampung, and Central Lampung in 2012-2013 academic years. The study was conducted from november 2012 to may 2013. The result of this study were 1) draft of instructional media in the form of examples of scientific work about CAR (classroom action research), 2) draft of scientific paper teaching materials for individual learning, and 3) draft of teachers' activity sheets for individual learning.",['L1'],http://www.publikasi.ilmiah.FKIPUnila.ac.id,Developing Training Device of Scientific Writing on the Basic of Learning for Elementary School Teachers in Lampung,30 juni - 3 juli 2013,show,7,conference,,,,,,,
9,article,['FKIP11'],"[{'name': {'given': 'H', 'lineage': None, 'family': 'Heldawati', 'honourific': None}, 'id': 'heldawatisalsabila@gmail.com'}, {'id': 'mnurwahidin@yahoo.co.id', 'name': {'given': 'MN', 'family': 'Muhammad Nurwahidin', 'honourific': None, 'lineage': None}}, {'id': 'SafiraShodiq@yahoo.com', 'name': {'honourific': None, 'family': 'Dwi Yulianti', 'lineage': None, 'given': 'DY'}}]",disk0/00/04/67/54,2022-11-21 01:08:46,559,2407-2425,2022-11-21 01:08:46,"[{'eprintid': 46754, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': '2793.pdf', 'docid': 185671, 'files': [{'mtime': '2022-11-19 15:35:39', 'hash_type': 'MD5', 'filename': '2793.pdf', 'hash': '2e3a04a834a26545b53be49ab8bfad04', 'fileid': 514851, 'mime_type': 'application/pdf', 'filesize': 1177466, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/514851', 'objectid': 185671}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/185671', 'rev_number': 1}]",,pub,TRUE,http://repository.lppm.unila.ac.id/id/eprint/46754,public,46754,,,,,2022-11-21 01:08:46,archive,"Rendahnya Kurangnya engagement siswa 
selama fase pelatihan di kelas XI IPA SMA Negeri 7 
Bandar Lampung memiliki andil terhadap hasil belajar 
matematikanya. Murid tidak berpartisipasi aktif dalam 
pelatihan di kelas dengan berinteraksi dengan guru atau 
siswa lain. Pelatihan tipe TGT merupakan komponen 
cara belajar kooperatif yang sederhana pelaksanaannya, 
menarik, dan menyenangkan bagi siswa. Ini menyangkut
siswa yang berpartisipasi dalam kegiatan pelatihan , 
siswa yang bertindak jadi tutor sebaya, dan permainan 
disertakan. Melalui model pelatihan kooperatif TGT, 
kajian ini bertujuan guna meningkatkan prestasi siswa 
dan acara terkait pelatihan .36 siswa berpartisipasi pada 
kajian tindakan kelas ini. Tes dan nontes adalah dua jenis 
metode pengumpulan data. Tes meliputi item untuk 
turnamen, sedangkan non-tes memuat observasi, 
wawancara, dan dokumentasi. Untuk setiap siklus, 
analisa deskriptif kualitatif dipakai untuk menguji hasil 
pengamatan, dan analisa deskriptif kuantitatif dipakai 
untuk menguji hasil. Setiap siklus dari turnamen 
Penelitian ini memakai tiga siklus. Dengan 
memperhatikan hasil penelitian, model pelatihan 
kooperatif Team Games Tournament dapat 
menumbuhkan kegiatan siswa dan hasil belajar 
matematika. Hal ini diperliatkan pada penumbuhan
acara siswa: pada siklus I , skor komulatif acara adalah 
61,115 yang termasuk dalam kategori baik; pada siklus II 
meningkat dari 7.944 jadi 69.059 dengan kategori baik; 
dan pada siklus III naik lagi dari 8.410 jadi 77.469 yang 
termasuk dalam kategori baik. Rata-rata hasil belajar 
pada siklus I adalah 71.441, dan terdapat 16 orang yang 
menggapai skor KKM dan 18 orang yang belum 
menggapai skor KKM. Selain itu, terjadi penumbuhan 
hasil belajar. Pada siklus II meningkat jadi 79.028 
terdapat 23 orang yang menggapai skor ketuntasan 
minimal dan 13 orang yang belum menggapai skorketuntasan minimal, dan pada siklus III meningkat jadi 
82,5 yaitu terdapat 30 orang yang menggapai skor KKM 
hanya 6 orang yang belum menggapai skor ketuntasan 
minimal. Dengan kata lain indikator keberhasilan 
penelitian dengan target acara siswa dalam pelatihan 
harus tergolong baik dan 83,3 % telah menggapai skor 
KKM (N ≥ 76) sudah tercapai.
Keywords: 
Aktifitas belajar, Hasil 
belajar, TGT(Team Group 
Turnamen)",['T1'],,"UPAYA MENINGKATKAN AKTIVITAS DAN HASIL BELAJAR MATEMATIKA MELALUI 
MODEL PELATIHAN KOOPERATIF TIPE TGT (TEAM GAMES TOURNAMENT)",,show,6,,12.0,,Jurnal Pendidikan Dasar Dan Sosial Humaniora,,1.0,,
