,date_type,eprintid,volume,rev_number,metadata_visibility,official_url,title,subjects,abstract,status_changed,eprint_status,date,dir,id_number,publication,creators,issn,divisions,type,uri,full_text_status,refereed,number,ispublished,documents,publisher,datestamp,pagerange,lastmod,userid,succeeds,related_url,event_type,event_title,pres_type,corp_creators,patent_applicant
0,published,23288,Vol. 8,5,show,http://www.academypublication.com/tpls/,LANGUAGE LEARNING STRATEGIES BASED ON GENDER,['LB2300'],"Gender as an individual characteristic has been proved to affect the use of strategies in learning a foreign language but how gender affects the use of strategies in learning a local language where the people in the community speak an national language is not explored yet.   Some studies show that female students employed language learning strategies more often than male students (Oxford & Nyikos, 1989; Awang Hashim & Syed Sahil, 1994;  Green and Oxford, 1995; Dreyer & Oxford, 1999). The present study was aimed to identify how gender affects the use of strategies in learning a local language in the environment where people in the country have a national language. A Non–probability sampling was used to collect data. With the Cronbach Alphas ranging from .79 to 82, mean scores of the use of language learning strategies the male and female students reported using were compared. In the present study it was found that metacognitive strategies were the strategies mostly used by female students and cognitive strategeis were the strategies mostly used by male students. This means that male students are likely to be more dependent on memorization than female students. Cognitive strategies which are characterized at least with memorization or rote learning in the present study tend to be used by male students.",2020-07-22 01:16:12,archive,2018-11-01 00:00:00.000000000,disk0/00/02/32/88,doi.org/10.17507/tpls.0811.19,Theory and Practice in Language Studies,"[{'id': 'dulifarida@gmail.com', 'name': {'honourific': None, 'family': 'Ariyani', 'lineage': None, 'given': 'Farida'}}, {'id': '.', 'name': {'lineage': None, 'honourific': None, 'family': 'Rusminto', 'given': 'N E'}}, {'id': 'bambang_setiyadi76@yahoo.co.id', 'name': {'given': 'Ag. Bambang', 'lineage': None, 'honourific': None, 'family': 'Setiyadi'}}]",1799-2591,['FKIP14'],article,http://repository.lppm.unila.ac.id/id/eprint/23288,public,TRUE,No. 1,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 23288, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36859', 'pos': 1, 'format': 'text', 'files': [{'objectid': 36859, 'uri': 'http://repository.lppm.unila.ac.id/id/file/213142', 'mime_type': 'application/pdf', 'fileid': 213142, 'hash': 'aac0994dbda871c0550ffd18fd74604f', 'filename': 'artikel.pdf', 'hash_type': 'MD5', 'mtime': '2020-07-21 09:45:18', 'datasetid': 'document', 'filesize': 690308}], 'docid': 36859, 'main': 'artikel.pdf'}, {'files': [{'objectid': 36860, 'uri': 'http://repository.lppm.unila.ac.id/id/file/213145', 'datasetid': 'document', 'filesize': 7263860, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'fileid': 213145, 'filename': 'similarity index -LANGUAGE LEARNING STRATEGIES BASED ON GENDER.docx', 'hash': 'ef57b26430c13a8d89c040b35311aa97', 'mtime': '2020-07-21 09:46:16', 'hash_type': 'MD5'}], 'main': 'similarity index -LANGUAGE LEARNING STRATEGIES BASED ON GENDER.docx', 'docid': 36860, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36860', 'rev_number': 1, 'pos': 2, 'format': 'text', 'placement': 2, 'security': 'public', 'eprintid': 23288, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en'}]",Academy Publication,2020-07-22 01:16:12,1524- 1529,2020-07-22 01:16:12,1088,,,,,,,
1,published,26610,Vol. 8,7,show,http://www.academypublication.com/tpls/,LANGUAGE LEARNING STRATEGIES BASED ON GENDER,['LB2300'],"Gender as an individual characteristic has been proved to affect the use of strategies in learning a foreign language but how gender affects the use of strategies in learning a local language where the people in the community speak an national language is not explored yet.   Some studies show that female students employed language learning strategies more often than male students (Oxford & Nyikos, 1989; Awang Hashim & Syed Sahil, 1994;  Green and Oxford, 1995; Dreyer & Oxford, 1999). The present study was aimed to identify how gender affects the use of strategies in learning a local language in the environment where people in the country have a national language. A Non–probability sampling was used to collect data. With the Cronbach Alphas ranging from .79 to 82, mean scores of the use of language learning strategies the male and female students reported using were compared. In the present study it was found that metacognitive strategies were the strategies mostly used by female students and cognitive strategeis were the strategies mostly used by male students. This means that male students are likely to be more dependent on memorization than female students. Cognitive strategies which are characterized at least with memorization or rote learning in the present study tend to be used by male students.",2020-11-22 11:40:06,archive,2018-11-01 00:00:00.000000000,disk0/00/02/66/10,doi.org/10.17507/tpls.0811.19,Theory and Practice in Language Studies,"[{'id': 'dulifarida@gmail.com', 'name': {'family': 'Ariyani', 'honourific': None, 'lineage': None, 'given': 'Farida'}}, {'id': '.', 'name': {'given': 'N E', 'lineage': None, 'honourific': None, 'family': 'Rusminto'}}, {'id': 'bambang_setiyadi76@yahoo.co.id', 'name': {'given': 'Ag. Bambang', 'lineage': None, 'family': 'Setiyadi', 'honourific': None}}]",1799-2591,['FKIP14'],article,http://repository.lppm.unila.ac.id/id/eprint/26610,public,TRUE,No. 1,pub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40555', 'pos': 2, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 645405, 'mime_type': 'application/pdf', 'fileid': 239201, 'hash': '5f45d98291f3563fa6fa5f758e4fab61', 'filename': '9. article-Language Learning Strategies Based On Gender.pdf', 'hash_type': 'MD5', 'mtime': '2020-11-22 07:57:22', 'objectid': 40555, 'uri': 'http://repository.lppm.unila.ac.id/id/file/239201'}], 'docid': 40555, 'main': '9. article-Language Learning Strategies Based On Gender.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 2, 'security': 'public', 'eprintid': 26610}, {'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/239203', 'objectid': 40556, 'filesize': 698610, 'datasetid': 'document', 'filename': '9. Review-LANGUAGE LEARNING STRATEGIES BASED ON GENDER.pdf', 'hash': 'a30433c4e07bae94874a40b603559d85', 'hash_type': 'MD5', 'mtime': '2020-11-22 07:57:41', 'mime_type': 'application/pdf', 'fileid': 239203}], 'docid': 40556, 'main': '9. Review-LANGUAGE LEARNING STRATEGIES BASED ON GENDER.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40556', 'pos': 3, 'format': 'text', 'placement': 3, 'security': 'public', 'eprintid': 26610, 'mime_type': 'application/pdf', 'language': 'en'}, {'format': 'text', 'pos': 4, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40557', 'rev_number': 1, 'main': '9. similarity index- LANGUAGE LEARNING STRATEGIES BASED ON GENDER.pdf', 'docid': 40557, 'files': [{'fileid': 239205, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-11-22 07:57:56', 'filename': '9. similarity index- LANGUAGE LEARNING STRATEGIES BASED ON GENDER.pdf', 'hash': '6db533ac6b3715f5c6918ba6e14a81c0', 'datasetid': 'document', 'filesize': 1786241, 'objectid': 40557, 'uri': 'http://repository.lppm.unila.ac.id/id/file/239205'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 26610, 'security': 'public', 'placement': 4}]",Academy Publication,2020-11-22 11:40:06,1524- 1529,2020-11-22 11:40:06,1088,10460.0,,,,,,
2,published,47340,6,8,show,http://jurnal.fkip.unila.ac.id/index.php /BINDO1/article/view/15418/11262,KESANTUNAN IMPERATIF GURU BAHASA INDONESIA DALAM PEMBELAJARAN DI KELAS VII SMP,['L1'],"Masalah dalam penelitian ini adalah kesantunan imperatif oleh guru bahasa Indonesia dalam pembelajaran di kelas VII SMPN 1 Bandar Lampung tahun pelajaran 2017/2018.
Penelitian bertujuan untuk mendeskripsikan kesantunan linguistik dan kesantunan pragmatik imperatif yang digunakan guru bahasa Indonesia dalam pembelajaran di kelas VII SMPN 1 Bandar Lampung tahun pelajaran 2017/2018. Penelitian ini menggunakan metode deskriptif kualitatif. Analisis data dilakukan dengan analisis heuristik. Hasil penelitian menunjukkan bahwa guru menggunakan bentuk kesantunan linguistik imperatif dan kesantunan pragmatik imperatif. Kesantunan linguistik ditandai dengan ungkapan penanda kesantunan tolong, silakan, ayo, coba dan harap, sedangkan
kesantunan pragmatik sebagai ekspresi berbagai tindak tutur dengan dua bentuk tuturan, yaitu tuturan deklaratif dan tuturan interogatif. Tuturan deklaratif dapat dibedakan
menjadi makna imperatif suruhan, ajakan, persilaan, dan larangan, sedangkan tuturan interogatif dapat dibedakan menjadi makna imperatif perintah, ajakan, dan larangan.",2022-12-20 08:40:24,archive,2018-05-21 00:00:00.000000000,disk0/00/04/73/40,http://dx.doi.org/10.23960/Kata,JURNAL KATA,"[{'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Desi Septiani', 'given': 'Desi'}}, {'name': {'lineage': None, 'family': 'Sumarti', 'honourific': None, 'given': 'Sumarti'}, 'id': 'gragemarti@yahoo.co.id'}, {'name': {'given': 'Nurlaksana eko', 'lineage': None, 'family': 'Nurlaksana eko', 'honourific': None}, 'id': None}]",2338-8153,['FKIP14'],article,http://repository.lppm.unila.ac.id/id/eprint/47340,public,FALSE,3,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 47340, 'content': 'published', 'language': 'id', 'mime_type': 'application/pdf', 'files': [{'fileid': 519541, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-12-20 03:21:24', 'filename': '15418-34522-1-PB.pdf', 'hash': '6a083c69e462264965e096b8c0dc714e', 'datasetid': 'document', 'filesize': 300332, 'objectid': 186365, 'uri': 'http://repository.lppm.unila.ac.id/id/file/519541'}], 'docid': 186365, 'main': '15418-34522-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/186365', 'rev_number': 2, 'formatdesc': 'Artikel', 'pos': 1, 'format': 'text'}, {'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186366', 'formatdesc': 'Uji Turnitin', 'pos': 2, 'format': 'text', 'files': [{'hash': '7eeb43dcc2d1fcd1af0b3dbef5beb5aa', 'filename': 'Uji Turnitin_KESANTUNAN IMPERATIF GURU BAHASA INDONESIA  DALAM PEMBELAJARAN DI KELAS VII SMP.pdf', 'hash_type': 'MD5', 'mtime': '2022-12-20 03:21:51', 'mime_type': 'application/pdf', 'fileid': 519543, 'filesize': 2759315, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/519543', 'objectid': 186366}], 'main': 'Uji Turnitin_KESANTUNAN IMPERATIF GURU BAHASA INDONESIA  DALAM PEMBELAJARAN DI KELAS VII SMP.pdf', 'docid': 186366, 'mime_type': 'application/pdf', 'language': 'id', 'placement': 2, 'security': 'public', 'eprintid': 47340}]",Pendidikan Bahasa dan Sastra Indonesia,2022-12-20 08:40:24,1-12,2022-12-20 08:40:24,709,,"[{'type': 'pub', 'url': 'http://jurnal.fkip.unila.ac.id/index.php /BINDO1/article/view/15418/11262'}]",,,,,
3,published,10444,,7,show,,"PELATIHAN PENGEMBANGAN KEGIATAN PEMBELAJARAN
BAHASA INDONESIA BERBASIS HIGHER ORDER THINGKING SKILSS
(HOTS) BAGI GURU-GURU DI KABUPATEN PRINGSEWU",['L1'],"Masalah dalam kegiatan ini adalah (1) mengkaji ulang pengertian hakikat pembelajaran bahasa Indonesia, kurikulum,
komponen-komponen pembelajaran dan terkhususkan model-model pembelajaran bahasa Indonesia; (2) mempertegas
tujuan materi komponen pembelajaran bahasa Indonesia; (3) melakukan penganalisisan terhadap tahapan kegiatan
pembelajaran bahasa Indonesia yang berbasis high order thinking skills (hots). dan (4)mempraktikkan penerapan
komponen pembelajaran bahasa Indonesia berbasis high order thinking skills (hots). Setelah berakhirnya kegiatan
pelatihan, para guru bahasa diharapkan dapat menginformasikan hakikat pembelajaran, kurikulum, komponenkomponen
pembelajaran dan terkhususkan model-model pembelajaran; merincikan tujuan materi komponen
pembelajaran pada model-model pembelajaran; menentukan langkah-langkah penganalisisan terhadap kegiatan
pembelajaran yang berbasis high order thinking skills (hots);mengaplikasikan komponen pembelajaran komponen
pembelajaran pada berbasis high order thingking skilss (hots). Hasil dari kegiatan ini adalah para guru dapat
menunjukkan pemahaman tentang hakikat pembelajaran yang berbasis high order thingking skilss (hots) yang
diaktualisasikan dalam penyusunan komponen pembelajaran pada RPP (Rencana Program Pembelajaran).
Kata Kunci: pembelajaran bahasa Indonesia, HOTS",2019-01-02 08:01:19,archive,1970-01-01 00:00:00.000002018,disk0/00/01/04/44,,,"[{'id': 'ekasupono@gmail.com', 'name': {'given': 'Sofia Agustina', 'family': 'Eka', 'honourific': None, 'lineage': None}}, {'id': '.', 'name': {'lineage': None, 'honourific': None, 'family': 'Rusminto', 'given': 'N E'}}, {'name': {'honourific': None, 'family': 'Sunarti', 'lineage': None, 'given': 'Iing'}, 'id': 'iing_sunarti@yahoo.com'}, {'name': {'honourific': None, 'family': 'Sumarti', 'lineage': None, 'given': 'Sumarti'}, 'id': 'gragemarti@yahoo.co.id'}]",,['FKIP14'],conference_item,http://repository.lppm.unila.ac.id/id/eprint/10444,public,TRUE,,pub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23463', 'format': 'text', 'pos': 1, 'files': [{'hash_type': 'MD5', 'mtime': '2018-11-28 08:16:32', 'hash': 'e10a0228b016bf45f1f809acef4e5429', 'filename': 'Abstrak Seminar PKM 2018.pdf', 'fileid': 97053, 'mime_type': 'application/pdf', 'filesize': 2398369, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/97053', 'objectid': 23463}], 'docid': 23463, 'main': 'Abstrak Seminar PKM 2018.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 10444}]",,2019-01-02 08:01:19,70-70,2019-01-02 08:01:19,97,,,conference,Kumpulan abstrak Seminar Nasional Hasil-Hasil Pengabdian Kepada Masyarakat 2018,paper,['Universitas Lampung'],
4,,10898,,9,show,,"Pelatihan Keterampilan Speaking Bahasa Inggris Menggunakan Mind Mapping
bagi Siswa SMAN 1 Kotagajah.",['L1'],"Abstract — This English speaking training through mind mapping plays an important role in order to provide
insight and knowledge and sharpen the courage of high school students to speak in English. This community
service was aimed at making students of SMAN 1 Kotagajah improve their English speaking skill and have the
courage to speak in English. The procedures for dealing with the training included a pre-test, discussion on
theories, practices, and a post-test as an instrument which was used to look at if there was a difference before
and after the training was conducted. The results showed that there was a difference in the results of students’
speaking comprehension and courage before and after the training was conducted. The pre-test result showed
that they were afraid, nervous, and unconfident when speaking in English (76.5%), and the rest (23.5%) were
not. Besides that, only 19.1% of the participants had heard the term mind map, and the rest (80.9%) had never
heard the term. Meanwhile, the post-test result showed that 54.4% of the participants stated that they were still
afraid and unconfident in speaking English, and the rest (45.6%) stated otherwise. Besides that, 97.1% knew
the term mind map and stated that learning using mind map was very interesting (39.7%) and interesting
(58.8%). After practicing or simulating speaking English using mind map, they stated that the mind map made
them more courageous and confident in speaking English (94.1%). Thus, it can be said that learning to speak
English using mind map can increase students' courage and confidence in speaking English even though there
are still many grammatical errors. However, through this training the participants can, at least, use English as a
means of communication and convey messages properly.
Keywords— English, high school students, mind mapping, speaking, training",2019-04-09 02:28:43,archive,2018-12-01 00:00:00.000000000,disk0/00/01/08/98,,,"[{'id': 'gputrawan08@gmail.com', 'name': {'given': 'G.', 'lineage': None, 'honourific': None, 'family': 'Eka Putrawan'}}, {'name': {'lineage': None, 'family': 'Riadi', 'honourific': None, 'given': 'Bambang'}, 'id': 'bambangriadi.br@gmail.com'}, {'name': {'given': 'Albet', 'family': 'Albet Maydiantoro', 'honourific': None, 'lineage': None}, 'id': 'albet.maydiantoro@fkip.unila.ac.id'}, {'id': 'riyanhidayat28@gmail.com', 'name': {'family': 'Hidayatullah', 'honourific': None, 'lineage': None, 'given': 'Riyan'}}]",,['FKIP14'],conference_item,http://repository.lppm.unila.ac.id/id/eprint/10898,public,TRUE,,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 10898, 'mime_type': 'text/html', 'language': 'en', 'files': [{'objectid': 23907, 'uri': 'http://repository.lppm.unila.ac.id/id/file/100193', 'datasetid': 'document', 'filesize': 137312, 'mime_type': 'text/html', 'fileid': 100193, 'hash': '5d3ea6b6f28eed6d67a70b32e2a5c155', 'filename': 'view', 'mtime': '2019-03-10 14:21:08', 'hash_type': 'MD5'}], 'main': 'view', 'docid': 23907, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23907', 'rev_number': 3, 'formatdesc': 'Prodising Hasil PKM 2018', 'pos': 1, 'format': 'text'}]",,2019-04-09 02:28:43,,2019-04-09 02:28:43,1136,,,other,Seminar hasil-hasil pengabdian 2018,paper,,
5,published,38552,,7,show,https://iosrjournals.org/iosr-jrme/papers/Vol-8%20Issue-5/Version-5/A0805050109.pdf,"The Development Student Worksheet (Lkpd) Of Writting
Procedure Text Based Mind MAPP For Junior High School","['L1', 'LB1501', 'LC5201']","The research is based on the finding of problems in the learning of procedural texts in class VII of
Junior High School of state 07 Metro city ((SMP Negeri 07 Kota Metro) is the students have not achieved the
learning objectives in accordance with the basic competencies of learning to write the prescribed procedure
text. In accordance with the problems, the research were formulated purposes of the research are : 1)
Characteristics of student worksheet (LKPD) of writing procedure text based mind map, 2) Feasibility of
student worksheet (LKPD) of writing procedure text based mind map, and 3). Effectiveness of student
worksheet (LKPD) of writing procedure text based mind map. This research using Research and Development
(R & D) method. The research instrument used was the Likert scale, and also a questionnaire that was arranged
based of procedure text theory.. The research subject consisted of material experts, media experts, and
practitioners and students. Analysis of the feasibility test data using descriptive quantitative analysis and Ngain. The results showed that: 1) the characteristics of the LKPD characteristics of writing a mind map-based
procedure text that is a design that has an attractive color combination, material or content using mind
mapping further enhances the ability to think systematically, structurally, and creatively, as well as the tasks
and activities of students in of student worksheet (LKPD) of writing procedure text based mind map compiled
by paying attention to the level of difficulty, 2) the characteristics of student worksheet (LKPD) of writing
procedure text based mind map has very good feasibility in terms of design / graphics, language, and content,
3) of student worksheet (LKPD) of writing procedure text based mind map has effectiveness in the medium or
sufficient category. This can be seen from the statistical analysis of the average N- (gain). In total or the overall
average value of N- (gain) obtained from the effectiveness test on a large scale is 0.39 and is in the sufficient
category. The conclusion of the value of effectiveness is also supported by the difference in pre-test and post-test
average values, namely at the time of pretest of 77 and at posttest of 86, thus increasing the score by 9",2022-01-28 01:15:16,archive,2018-10-01 00:00:00.000000000,disk0/00/03/85/52,,,"[{'id': None, 'name': {'lineage': None, 'family': 'Erma', 'honourific': None, 'given': 'Noverda'}}, {'id': 'gragemarti@yahoo.co.id', 'name': {'given': 'Sumarti', 'family': 'Sumarti', 'honourific': None, 'lineage': None}}, {'name': {'lineage': None, 'family': 'Samhati', 'honourific': None, 'given': 'Siti'}, 'id': 'samhati.siti@gmail.com'}]",,['FKIP14'],other,http://repository.lppm.unila.ac.id/id/eprint/38552,public,,,pub,"[{'eprintid': 38552, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'docid': 159659, 'main': 'Jurn.Internasional The Development.pdf', 'files': [{'objectid': 159659, 'uri': 'http://repository.lppm.unila.ac.id/id/file/436422', 'datasetid': 'document', 'filesize': 1774611, 'fileid': 436422, 'mime_type': 'application/pdf', 'mtime': '2022-01-25 13:18:21', 'hash_type': 'MD5', 'hash': '55c5a4e85ad91109d5975483dd7a12c1', 'filename': 'Jurn.Internasional The Development.pdf'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159659', 'rev_number': 2}]",IOSR Journal of Research & Method in Education (IOSR-JRME),2022-01-28 01:15:16,,2022-01-28 01:15:16,538,38339.0,,,,,,
6,published,47343,6,8,show,http://jurnal.fkip.unila.ac.id/index.php/BINDO1/article/view/16580/11893,Ragam Bahasa dalam Acara Talk Show Mata Najwa Periode Januari 2017 dan Implikasinya dalam Pembelajaran Bahasa Indonesia di SMA,['L1'],"Penelitian ini bertujuan untuk mendeskripsikan ragam bahasa dalam acara talk show Mata Najwa periode Januari 2017 dan mengetahui implikasinya dalam pembelajaran Bahasa Indonesia di SMA. Penelitian ini menggunakan desain deskriptif kualitaf. Sumber data pada penelitian ini adalah percakapan pembawa acara dan bintang tamu dalam acara tersebut, datanya adalah percakapan yang mengandung ragam bahasa antara pembawa acara dan bintang tamu. Berdasarkan hasil analisis data ditemukan ragam bahasa dalam acara talk show Mata Najwa periode Januari 2017 berdasarkan empat segi adalah sebagai berikut (1) segi penutur meliputi dialek, kolokial, jargon (2) segi pemakaian termasuk dalam ragam jurnalistik (3) segi keformalan formal, usaha, santai (4) segi sarana termasuk dalam ragam lisan. Hasil penelitian ini diimplikasikan
dalam pembelajaran bahasa Indonesia KD 3.13 dan 4.13 tentang mengembangkan permasalahan/isu dari berbagai sudut pandang yang dilengkapi argumen dalam berdebat untuk SMA kelas X semester genap.",2022-12-20 08:40:29,archive,2018-09-04 00:00:00.000000000,disk0/00/04/73/43,http://dx.doi.org/10.23960/Kata,JURNAL KATA,"[{'id': None, 'name': {'given': 'Miko', 'family': 'Miko Hidayat', 'honourific': None, 'lineage': None}}, {'id': None, 'name': {'lineage': None, 'family': 'Nurlaksana eko', 'honourific': None, 'given': 'Nurlaksana eko'}}, {'id': 'mulyanto.widodo@gmail.com', 'name': {'given': 'MULYANTO W', 'family': 'MULYANTO WIDODO', 'honourific': None, 'lineage': None}}]",2338-8153,['FKIP14'],article,http://repository.lppm.unila.ac.id/id/eprint/47343,public,FALSE,4,pub,"[{'mime_type': 'application/pdf', 'language': 'id', 'content': 'published', 'eprintid': 47343, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186368', 'formatdesc': 'Artikel', 'docid': 186368, 'main': '16580-37258-1-PB.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/519558', 'objectid': 186368, 'filesize': 260515, 'datasetid': 'document', 'filename': '16580-37258-1-PB.pdf', 'hash': '9e5171a14db5995f38ce3d50f8b29912', 'hash_type': 'MD5', 'mtime': '2022-12-20 03:30:50', 'mime_type': 'application/pdf', 'fileid': 519558}]}, {'files': [{'hash_type': 'MD5', 'mtime': '2022-12-20 03:31:19', 'filename': 'Uji Turnitin_Ragam Bahasa dalam Acara Talk Show Mata Najwa Periode Januari 2017 danImplikasinya dalam Pembelajaran Bahasa Indonesia di SMA.pdf', 'hash': '117697b57f195d2274496db701902437', 'fileid': 519562, 'mime_type': 'application/pdf', 'filesize': 1969857, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/519562', 'objectid': 186370}], 'docid': 186370, 'main': 'Uji Turnitin_Ragam Bahasa dalam Acara Talk Show Mata Najwa Periode Januari 2017 danImplikasinya dalam Pembelajaran Bahasa Indonesia di SMA.pdf', 'formatdesc': 'Uji Turnitin', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186370', 'format': 'text', 'pos': 2, 'security': 'public', 'placement': 2, 'eprintid': 47343, 'mime_type': 'application/pdf', 'language': 'id'}]",Pendidikan Bahasa dan Sastra Indonesia,2022-12-20 08:40:29,1-8,2022-12-20 08:40:29,709,,"[{'type': 'pub', 'url': 'http://jurnal.fkip.unila.ac.id/index.php/BINDO1/article/view/16580/11893'}]",,,,,
7,,10869,19,14,show,http://jurnal.fkip.unila.ac.id,Pemahaman Guru Bahasa Indonesia SMA di Kabupaten Mesuji terhadap Kurikulum 2013 Edisi Revisi,['L1'],"The purpose of this study is to describe the understanding of high school Indonesian teachers in Mesuji District towards the revised edition 2013 curriculum. The method used in this research is descriptive evaluative. The results of questionnaires from 27 respondents indicate that teachers 'understanding of Permendikbud in 2016 number 20 with Good category dominates by almost 50%, teachers' understanding of Permendikbud in 2016 number 21 with Good and Simple dominate by 50% at Permendikbud 2016 number 22 with the category of Good dominate with the amount more than 50%, then the teacher's understanding of Permendikbud year 2016 number 23 with Good category dominate with amount more than 50%. The results can be concluded that the level of understanding of high school Indonesian language teacher in Mesuji District to the curriculum 2013 edition of the revision has been qualified.",2019-04-08 02:39:04,archive,1970-01-01 00:00:00.000002018,disk0/00/01/08/69,,AKSARA,"[{'id': 'munaris_labib@yahoo.co.id', 'name': {'given': 'Munaris', 'honourific': None, 'family': 'Munaris', 'lineage': None}}, {'name': {'given': 'Bambang', 'family': 'Riadi', 'honourific': None, 'lineage': None}, 'id': 'bambangriadi.br@gmail.com'}]",1411-20151,['FKIP14'],article,http://repository.lppm.unila.ac.id/id/eprint/10869,public,TRUE,1,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 10869, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'fileid': 100008, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-03-01 09:53:42', 'hash': '0db3b6d1e05ac2ae0c6acdcc8b3727a9', 'filename': 'Kurtilas.pdf', 'datasetid': 'document', 'filesize': 117410, 'objectid': 23879, 'uri': 'http://repository.lppm.unila.ac.id/id/file/100008'}], 'docid': 23879, 'main': 'Kurtilas.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/23879', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",Jurusan Pendidikan Bahasa dan Seni FKIP Universitas Lampung,2019-04-08 02:39:04,,2019-04-08 02:39:04,1189,,[{'url': 'http://jurnal.fkip.unila.ac.id/index.php/aksara'}],,,,,
8,submitted,10983,,7,show,,Surat Pencatatan Ciptaan,['PL'],,2019-03-26 01:12:37,archive,2018-09-01 00:00:00.000000000,disk0/00/01/09/83,116239,,"[{'name': {'given': 'Kahfie', 'family': 'Nazaruddin', 'honourific': None, 'lineage': None}, 'id': 'kahfienazaruddin@gmail.com'}]",,['FKIP14'],patent,http://repository.lppm.unila.ac.id/id/eprint/10983,public,,,pub,"[{'docid': 23982, 'main': 'sertifikat_EC00201826132.pdf', 'files': [{'fileid': 100688, 'mime_type': 'application/pdf', 'mtime': '2019-03-22 03:12:56', 'hash_type': 'MD5', 'filename': 'sertifikat_EC00201826132.pdf', 'hash': '25a149404a8e315c02a41451f83b09b1', 'datasetid': 'document', 'filesize': 768680, 'objectid': 23982, 'uri': 'http://repository.lppm.unila.ac.id/id/file/100688'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23982', 'eprintid': 10983, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",,2019-03-26 01:12:37,,2019-03-26 01:12:37,346,,,,,,,Lembaga Penelitian dan Pengabdian Kepada Masyarakat Universitas Lampung
9,submitted,10982,,8,show,,Surat Pencatatan Ciptaan,['PL'],,2019-03-26 01:12:47,archive,2018-09-01 00:00:00.000000000,disk0/00/01/09/82,EC00201826132,,"[{'id': 'kahfienazaruddin@gmail.com', 'name': {'given': 'Kahfie', 'lineage': None, 'honourific': None, 'family': 'Nazaruddin'}}]",,['FKIP14'],patent,http://repository.lppm.unila.ac.id/id/eprint/10982,public,,,pub,"[{'security': 'public', 'placement': 1, 'eprintid': 10982, 'mime_type': 'application/pdf', 'language': 'id', 'files': [{'filesize': 768680, 'datasetid': 'document', 'mtime': '2019-03-22 02:42:04', 'hash_type': 'MD5', 'hash': '25a149404a8e315c02a41451f83b09b1', 'filename': 'sertifikat_EC00201826132.pdf', 'fileid': 100684, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/100684', 'objectid': 23981}], 'docid': 23981, 'main': 'sertifikat_EC00201826132.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/23981', 'rev_number': 2, 'format': 'text', 'pos': 1}]",,2019-03-26 01:12:47,,2019-03-26 01:12:47,346,,,,,,,Lembaga Penelitian dan Pengabdian Kepada Masyarakat Universitas Lampung
