,datestamp,userid,lastmod,full_text_status,uri,refereed,ispublished,number,documents,publisher,divisions,type,dir,publication,creators,issn,subjects,abstract,status_changed,eprint_status,related_url,rev_number,volume,metadata_visibility,title,eprintid,date_type,isbn,pages,book_title,pagerange,official_url,contributors,event_location,event_title,event_dates,event_type,pres_type,monograph_type,succeeds,corp_creators,place_of_pub
0,2020-11-12 05:56:18,3012,2020-11-12 05:56:18,public,http://repository.lppm.unila.ac.id/id/eprint/25036,TRUE,pub,2.0,"[{'main': 'Artikel Cerita Rakyat Lampung.pdf', 'docid': 38815, 'files': [{'datasetid': 'document', 'filesize': 327837, 'mime_type': 'application/pdf', 'fileid': 226733, 'filename': 'Artikel Cerita Rakyat Lampung.pdf', 'hash': 'cea1e0ea7c2b9a6d4683b25262768618', 'mtime': '2020-11-12 04:45:45', 'hash_type': 'MD5', 'objectid': 38815, 'uri': 'http://repository.lppm.unila.ac.id/id/file/226733'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/38815', 'rev_number': 1, 'eprintid': 25036, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",Departemen Jurusan Pendidikan Bahasa Daerah dan Forum Komunikasi MGMP Bahasa Daerah Jawa Barat,['FKIP14'],article,disk0/00/02/50/36,Lokabasa,"[{'id': '.', 'name': {'lineage': None, 'honourific': None, 'family': 'Agustina', 'given': 'Eka Sofia'}}, {'name': {'given': 'Farida', 'lineage': None, 'family': 'Ariyani', 'honourific': None}, 'id': 'dulifarida@gmail.com'}, {'name': {'lineage': None, 'family': 'Sarjinah', 'honourific': None, 'given': 'Zamzanah'}, 'id': None}, {'id': 'rian.andri@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Rian Andri', 'honourific': None, 'given': 'Prasetya'}}]",2338-6193,['PN'],"Segala hal yang berkaitan dengan asal mula kehidupan sebuah wilayah tidak bisa lepas dari kehidupan para Leluhurnya yang terceritakan dari “mulut ke mulut” dan dari generasi ke generasi. Sayangnya, tidak semua wilayah di provinsi Lampung terkait dengan cerita lisan para leluhur sebuah wilayah terdokumentasikan secara tertulis sehingga bisa dijadikan dokumen dan sumber belajar dari generasi ke generasi. Terkait dengan hal itu, peneliti merasa penting untuk memfokuskan pada cerita rakyat Lampung di Kampung Tua Negara Batin Kecamatan Negara Batin Kabupaten Way Kanan. Penelitian ini menghasilkan cerita rakyat Lampung di Kampung Tua Negara Batin yang menampilkan tokoh Pangiran Menang Jagat dan Minak Kemala sebagai Nini Puyang yang mempengaruhi krakteristik kehidupan mata pencaharian, sosial, dan budaya,
Kata Kunci: cerita rakyat Lampung; folklor.",2020-11-12 05:56:18,archive,[{'url': 'https://ejournal.upi.edu/index.php/lokabasa/article/view/28911/pdf'}],8,11.0,show,"Cerita Rakyat Lampung Di Kampung Tua Negara Batin
Kecamatan Negara Batin Kabupaten Way Kanan
Provinsi Lampung",25036,,,,,,,,,,,,,,,,
1,2017-06-12 02:41:08,500,2017-06-12 02:41:08,public,http://repository.lppm.unila.ac.id/id/eprint/3322,FALSE,pub,,"[{'security': 'public', 'placement': 1, 'eprintid': 3322, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 3217, 'uri': 'http://repository.lppm.unila.ac.id/id/file/23086', 'datasetid': 'document', 'filesize': 2471301, 'fileid': 23086, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2017-06-04 14:07:01', 'hash': 'cba8a82040e79e03864dea127a25f278', 'filename': 'Sastra Ekologis.pdf'}], 'docid': 3217, 'main': 'Sastra Ekologis.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3217', 'format': 'text', 'pos': 1}]",CAPS (Center For Academic Publishing Service),['FKIP14'],book_section,disk0/00/00/33/22,,"[{'name': {'given': 'Farida', 'lineage': None, 'family': 'Ariyani', 'honourific': None}, 'id': 'dulifarida@gmail.com'}, {'id': '.', 'name': {'given': 'Eka Sofia', 'honourific': None, 'family': 'Agustina', 'lineage': None}}]",,['L1'],"Masyarakat asli Lampung  terdiri atas dua kelompok masyarakat adat yaitu Jurai Pepadun dan Jurai Saibatin.  Orang Lampung  jurai Pepadun pada umumnya bermukim di sepanjang aliran sungai yang bermuara ke Laut Jawa dan orang Lampung jurai Saibatin bermukim di pesisir pantai dan di sepanjang aliran sungai yang bermuara  ke Samudera Indonesia.  Dalam bertutur orang Saibatin berdialek A, sedangkan orang Pepadun berdialek O, akan tetapi tidak semua orang Pepadun yang berdialek O.  Dalam pelaksanaan berkehidupan sosial, masyarakat adat Lampung sangat menjujung tinggi falsafah Piil Pesenggiri, yang terdiri atas,  bejuluk beadek, nemui nyimah, nengah nyappur, dan sakai sambayan.  Pemaknaa Piil pesenggiri dikaji berdasarkan pemilahan kata piil dan pesenggiri. Piil artinya “rasa malu” atau “rasa harga diri”, sedangkan, Pesenggiri berarti “pantang mundur”.

Representasi penyetiaan pada falsafah yang dipegang teguh dalam rangkaian acara adat Lampung  diberi nama musok.  Kegiatan musok bagi masyarakat Lampung Tulang Bawang ini  merupakan salah satu bagian dari acara pernikahan secara adat.  Acara suapan alias musok lazimnya pada masyarakat Lampung Tulang Bawang dinamakan acara tendih selou. Makna dari keseluruhan rangkaian adat ini adalah perkawinan secara adat yaitu mempelai 	wanita duduk bersila dan ujung lutut sebelah kanannya harus ditidih oleh ujung lutut sebelah kiri mempelai pria. Dalam melakukan musok tersebut diiringi dengan bebandung yang merupakan salah satu bentuk sastra lisan yang ada di Lampung.  Bebandung berisi syair-syair yang penuh nasihat yang disampaikan kepada mempelai dengan tujuan untuk menghilangkan rasa canggung atau asing dalam keluarga.  


Kata Kunci: Bebandung, tardisi musok, adat Lampung.",2017-06-12 02:41:08,archive,,8,,show,"BEBANDUNG  PADA TRADISI MUSOK DALAM MASYARAKAT
ADAT LAMPUNG:TULANG BAWANG",3322,published,(10) 602-9324-79-9,245.0,"Sastra Ekologis, Teori dan Praktik Pengkajian",229-244,,,,,,,,,,,
2,2017-03-20 13:49:56,2,2017-03-20 13:49:56,public,http://repository.lppm.unila.ac.id/id/eprint/1462,TRUE,pub,1.0,"[{'security': 'public', 'placement': 1, 'eprintid': 1462, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'filename': 'Potret Perencanaan Pembelajaran Bahasa dan Sastra Indonesia berdasarkan Kurikulum 2013.pdf', 'hash': '524a6666cd1fa53478ff848fe29537d7', 'hash_type': 'MD5', 'mtime': '2017-03-20 08:33:31', 'mime_type': 'application/pdf', 'fileid': 9927, 'filesize': 4937802, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/9927', 'objectid': 1336}], 'main': 'Potret Perencanaan Pembelajaran Bahasa dan Sastra Indonesia berdasarkan Kurikulum 2013.pdf', 'docid': 1336, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1336', 'format': 'text', 'pos': 1}]",Unit Database dan Publikasi Ilmiah FKIP Unila kerjasama dengan Ikatan Sarjana Pendidikan Indonesia (ISPI),['FKIP14'],article,disk0/00/00/14/62,Jurnal Pendidikan Progresif,"[{'id': 'ekasupono@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Eka', 'given': 'Sofia Agustina'}}]",2087-9849,['L1'],"Abstrak: Potret Perencanaan Pembelajaran Bahasa dan Sastra Indonesia Berdasarkan Kurikulum 2013 di SMP Bandar Lampung. Permasalahan dalam penelitian ini adalah perencanaan pembelajaran Bahasa Indonesia berdasarkan Kurikulum 2013 di Sekolah Menegah Pertama Kota Bandarlampung. Perencanaan yang dimaksud dalam penelitian ini adalah dokumen Rencana Pelaksanaan Pembelajaran (RPP). Metode yang digunakan adalah deskripsi-analisis. Berdasarkan jumlah SMP di Bandarlampung 143 sekolah, Sekolah Menengah Pertama yang telah melaksanakan Kurikulum 2013 berjumlah 6, tiga SMP Negeri (SMPN 1, SMPN2, dan SMPN 13) sedangkan SMP Swasta (SMP Dharma Bangsa, Global Surya, dan SMP Tunas Mekar, sedangkan selebihnya belum melaksanakan Kurikulum 2013. Berdasarkan hasil analisis, menunjukkan bahwa 8,33% SMP Negeri telah menggunakan RPP Kurikulum , sednagkan 91,67% belum menggunakan. Selanjutnya, SMP Swasta yang telah menggunakan Kurikulum 2013 baru 2,80% dan yang belum menggunakan 97,2%. Secara keseluruhan, SMP di Bandarlampung yang melaksanakan RPP 2013 adalah 11,13% dan 88,87% yang belum menggunakan RPP berkurikulum 2013. Berkaitan dengan hal itu, pencapaian ideal rumusan Rencana Pelaksanaan Pembelajaran Bahasa Indonesia berbasis 2013 di SMP sudah pada taraf 88,87%, dengan ketidakidealan dengan konsep yang ada 11,13%.

Kata kunci: kurikulum 2013, perencanaan pmbelajaran bahasa indonesia, potret",2017-03-20 13:49:56,archive,[{'url': 'http://jurnal.fkip.unila.ac.id/index.php/jpp'}],6,4.0,show,POTRET PERENCANAAN PEMBELAJARAN BAHASA DAN SASTRA INDONESIA BERDASARKAN KURIKULUM 2013,1462,published,,,,1-131,http://jurnal.fkip.unila.ac.id/index.php/jpp,,,,,,,,,,
3,2023-05-12 09:29:31,18901,2023-05-12 09:29:31,public,http://repository.lppm.unila.ac.id/id/eprint/51507,TRUE,submitted,,"[{'main': 'penelitian Bu Eka Sofia.pdf', 'docid': 248934, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/610156', 'objectid': 248934, 'filesize': 2880699, 'datasetid': 'document', 'filename': 'penelitian Bu Eka Sofia.pdf', 'hash': 'eda1f4228a2225e252593ea723ea6ddc', 'hash_type': 'MD5', 'mtime': '2023-05-12 07:41:41', 'mime_type': 'application/pdf', 'fileid': 610156}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/248934', 'eprintid': 51507, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",ICOPE 2022 Committee,['FKIP14'],article,disk0_bak/00/05/15/07,"""NATIONAL CURRICULUM FOR INDONESIAN COURSES IN THE PERSPECTIVE OF THE REGIONAL LANGUAGE CURRICULUM""","[{'id': 'ekasupono@gmail.com', 'name': {'honourific': None, 'family': 'Eka', 'lineage': None, 'given': 'Sofia Agustina'}}, {'id': 'atik.kartika@fkip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Atik Kartika', 'given': 'Atik K'}}, {'name': {'family': 'Siska Meirita, S.Pd., M.Pd', 'honourific': None, 'lineage': None, 'given': 'Siska'}, 'id': 'siska.meirita@fkip.unila.ac.id'}]",,['L1'],"Pelaksanan kurikulum di Indonesia telah berjalan sejak tahun 1964. Terhitung sampai tahun 2022
kurikulum di Indonesia sudah mengalami 12 kali penyempurnaan. Fungsi kurikulum sebagai alat
ukur untuk pencapaian tujuan pendidikan, serta pedoman bagi pendidik dan peserta didik dalam
proses belajar mengajar. Pendidikan di Indonesia memiliki perbedaan dengan bangsa dan negara lain
yang memiliki falsafah berbeda dengan bangsa Indonesia, dari segi ideologi, maupun kebudayaan.
Kurikulum yang berkualitas merupakan kurikulum yang dapat berguna bagi peserta didik. Sistem
pendidikan di Indonesia saat ini menggunakan Kurikulum 2013 sebagai penyempurna dari
kurikulum sebelumnya. Secara nasional disebut dengan kurikulum nasional. Kurikulum nasional
adalah kurikulum berbasis pengembangan atau potensi daerah, yang mencakup kekhasan atau
kondisi masing- masing sekolah. Kurikulum tersebut dioperasionalkan dalam kurikulum mata
pelajaran, termasuk dalam hal ini adalah kurikulum mata pelajaran bahasa Indonesia. Dalam aturan
kurikulum nasional terdapat kurikulum daerah untuk merepresentasikan mata pelajaran muatan lokal.
Muatan lokal di sini adalah mata pelajaran bahasa daerah.
Tingkat Kesiapterapan Teknologi (TKT) dalam penelitian ini berada pada level 1 sampai dengan 3,
dengan luaran yaitu tersusunnya hasil kajian dari menggali, menganalisis, menginventarisasi, dan
mendokumentasikan dalam bentuk suplemen bahan ajar dan referensi, serta publikasi jurnal
terindeks internasional yang menunjukkan bagaimana struktur Kurikulum Nasional Bahasa
Indonesia menjadi paramater penyusunan kurikulum bahasa daerah.
Kata Kunci: kurikulum nasional, bahasa Indonesia, bahasa daerah",2023-05-12 09:29:31,archive,,6,,show,"KURIKULUM NASIONAL MATA PELAJARAN BAHASA INDONESIA DALAM
PRESFEKTIF KURIKULUM BAHASA DAERAH",51507,submitted,,,,,,"[{'name': {'given': 'Sofia Agustina', 'family': 'Eka Sofia Agustina', 'honourific': None, 'lineage': None}, 'id': 'ekasupono@gmail.com', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'name': {'given': 'Atik K', 'lineage': None, 'family': 'Atik Kartika', 'honourific': None}, 'id': 'atik.kartika@fkip.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'id': 'siska.meirita@fkip.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'lineage': None, 'honourific': None, 'family': 'Siska Meirita', 'given': 'Siska'}}]",,,,,,,,,
4,2020-11-23 01:03:14,97,2020-11-23 01:03:14,public,http://repository.lppm.unila.ac.id/id/eprint/26626,TRUE,pub,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/40602', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'filesize': 80264, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2020-11-22 12:57:20', 'hash': '7839b1fc342e15f506593d16ed39400c', 'filename': 'abstrak prosiding UPGRIS-converted (1).pdf', 'fileid': 239441, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/239441', 'objectid': 40602}], 'docid': 40602, 'main': 'abstrak prosiding UPGRIS-converted (1).pdf', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 26626}]",,['FKIP14'],conference_item,disk0/00/02/66/26,,"[{'id': 'farida.ariyani@fkip.unila.ac.id', 'name': {'given': 'Farida', 'lineage': None, 'family': 'Farida Ariyani', 'honourific': None}}, {'name': {'family': 'Eka Sofia Agustina', 'honourific': None, 'lineage': None, 'given': 'Eka Sofia'}, 'id': 'eka.sofiaagustina@fkip.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Siska Mega Diana', 'lineage': None, 'given': 'Siska'}, 'id': 'siskamegadiana1@gmail.com'}]",,['PI'],"Kampung Tua Negara Batin is one of the areas in Lampung province that still upholds the noble values of the cultural traditions of its ancestors and keeps the oral tradition passed down from generation to generation. The focus of this research study is the oral tradition in Betimbang tradition. This study aims to describe the oral traditions contained in the Betimbang traditional procession in indigenous peoples in Kampung Tua Negara Batin, Way Kanan Regency, and benefits in documenting the oral traditions of the ancestors and adding references in cultural studies and oral literature in Lampung. This qualitative research implemented a data collection process to data analysis and it was approached by several cultural analysis models. The results indicate that the Betimbang tradition begins with the form of the Betimbang traditional ceremony, the function of the Betimbang traditional ceremony, and the symbolic meaning of the Betimbang traditional ceremony. This Betimbang tradition represents the sustainability of the ecological culture of the indigenous people in Kampung Tua Negara Batin, Way Kanan Regency in spite of the fact that all the ritual processes followed the health protocol in the new normal. All of these stages are inseparable from the ecology of oral literature and have the meaning that the newborn baby (grandson) is a legitimate heir in kepunyimbangan and as a bind of the next ritual procession.",2020-11-23 01:03:14,archive,,8,,show,The Ecology of Oral Literature in Betimbang Tradition of Indigenous People in Kampung Tua Way Kanan Lampung,26626,published,,,,,http://conference.upgris.ac.id/index.php/sndbsbdp/issue/view/17,,UPGRIS Semarang,"Seminar Nasional Bahasa, Sastra, Budaya Daerah dan Pembelajarannya",25 Agustus 2020,conference,paper,,,,
5,2022-01-26 10:03:16,521,2022-01-26 10:03:16,public,http://repository.lppm.unila.ac.id/id/eprint/38349,,pub,,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159424', 'docid': 159424, 'main': 'faktor-faktor sosial yang menentukan pemilihan sapaan Bahasa Lampung Dialek Pubian(2).pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 434792, 'hash': '64cc17988969bb2b14dfa19cacce9a59', 'filename': 'faktor-faktor sosial yang menentukan pemilihan sapaan Bahasa Lampung Dialek Pubian(2).pdf', 'hash_type': 'MD5', 'mtime': '2022-01-25 15:02:45', 'datasetid': 'document', 'filesize': 1399010, 'objectid': 159424, 'uri': 'http://repository.lppm.unila.ac.id/id/file/434792'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 38349, 'placement': 1, 'security': 'public'}]",UPI Press,['FKIP14'],other,disk0/00/03/83/49,,"[{'id': 'iingsunarti58@gmail.com', 'name': {'honourific': None, 'family': 'Iing', 'lineage': None, 'given': 'Sunarti'}}]",,['L1'],Review faktor-faktor sosial yang menentukan pemilihan sapaan Bahasa Lampung Dialek Pubian(2),2022-01-26 10:03:16,archive,,7,,show,Review faktor-faktor sosial yang menentukan pemilihan sapaan Bahasa Lampung Dialek Pubian(2),38349,,,,,,,,,,,,,,,,
6,2021-11-01 01:08:58,1014,2021-11-01 01:08:58,public,http://repository.lppm.unila.ac.id/id/eprint/34754,TRUE,pub,,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/155421', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/407805', 'objectid': 155421, 'hash': 'a6e30ff053b636ee7c1d972479303944', 'filename': '25-Article Text-338-2-10-20210816.pdf', 'mtime': '2021-10-31 16:38:44', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 407805, 'filesize': 798722, 'datasetid': 'document'}], 'docid': 155421, 'main': '25-Article Text-338-2-10-20210816.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 34754}]",,['FKIP14'],article,disk0/00/03/47/54,INTERNATIONAL JOURNAL OF EDUCATIONAL STUDIES IN SOCIAL SCIENCES,"[{'name': {'given': 'Isnawati', 'honourific': None, 'family': 'Isnawati', 'lineage': None}}, {'name': {'lineage': None, 'family': 'Dwi', 'honourific': None, 'given': 'Yulianti'}}, {'name': {'given': 'Samhati', 'honourific': None, 'family': 'Siti', 'lineage': None}}]",,['L1'],"The concern in this study is children's inability to solve primary school math problems, with a goal to establish how students' capacity to solve mathematical problems in primary school and to describe the best method or learning model for delivering materials for the circumference and area of parallelograms and triangles using a problem-based learning model with portfolio assessment. This studi is qualitative in nature, employing a total of 30 elementary school chosen through a random sampling technique. The results showed that the problem based learning model based on the portfolio assessment was suitable for use in elementary school mathematics learning compared to conventional learning approaches because students were more active in participating in learning and the teacher was only a facilitator.",2021-11-01 01:08:58,archive,,12,,show,Portfolio assessment as a problem based learning model to help elementary school students’ deal with Mathematics,34754,,,,,,,,,,,,,,,,
7,2019-05-02 04:15:39,346,2019-05-02 04:15:39,public,http://repository.lppm.unila.ac.id/id/eprint/10984,,unpub,,"[{'main': 'Metafiksionalitas Novel Trilogi Soekram Sapardi Djoko Damono 21-Mar-2019 05-43-57.pdf', 'docid': 23984, 'files': [{'mime_type': 'application/pdf', 'fileid': 100705, 'filename': 'Metafiksionalitas Novel Trilogi Soekram Sapardi Djoko Damono 21-Mar-2019 05-43-57.pdf', 'hash': '397547eb62bad07423a76d027f8f82ca', 'hash_type': 'MD5', 'mtime': '2019-03-22 03:35:15', 'datasetid': 'document', 'filesize': 41562241, 'objectid': 23984, 'uri': 'http://repository.lppm.unila.ac.id/id/file/100705'}], 'format': 'text', 'pos': 1, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23984', 'eprintid': 10984, 'security': 'public', 'placement': 1, 'language': 'id', 'mime_type': 'application/pdf'}]",Lembaga Penelitian dan Pengabdian Kepada Masyarakat Universitas Lampung,['FKIP14'],monograph,disk0/00/01/09/84,,"[{'name': {'given': 'Kahfie', 'honourific': None, 'family': 'Nazaruddin', 'lineage': None}, 'id': 'kahfie.nazaruddin@fkip.unila.ac.id'}]",,['PL'],,2019-05-02 04:15:39,archive,,8,,show,Metafiksionalitas Novel Trilogi Soekram Sapardi Djoko Damono,10984,,,,,,,,,,,,,project_report,,,
8,2019-03-15 02:53:59,346,2019-03-15 02:53:59,public,http://repository.lppm.unila.ac.id/id/eprint/10843,TRUE,pub,,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23857', 'pos': 1, 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2019-02-26 10:40:16', 'filename': 'Waktu, Dosa, dan Satire 25-Feb-2019 23-38-11.pdf', 'hash': '2e260f4511f3b3f8b12f2102a1fd3a7a', 'fileid': 99850, 'mime_type': 'application/pdf', 'filesize': 8322446, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/99850', 'objectid': 23857}], 'docid': 23857, 'main': 'Waktu, Dosa, dan Satire 25-Feb-2019 23-38-11.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 10843}]",Jurusan Pendidikan Bahasa dan Seni FKIP Universitas Lampung,['FKIP14'],article,disk0/00/01/08/43,AKSARA,"[{'id': 'kahfienazaruddin@gmail.com', 'name': {'given': 'Kahfie', 'lineage': None, 'honourific': None, 'family': 'Nazaruddin'}}]",1411-20151,['PL'],"Keberadaan manusia dalam matra waktu menghadirkan dosa. Pemaknaan dekonstruktif terhadap sajak ""Sebuah Restoran, Moskwa"" karya W.S. Rendra memperlihatkan bahwa kehadiran itu ternyata problematis karena ada kontradiksi mengenai titik awal keberdosaan aku-lirik sajak itu. Dengan demikian, tidak dapat ditarik simpulan tegas bilamana dosa terjadi. 
Kata Kunci: Dekonstruksi, pembacaan dekonstruktif, ketakterbacaan, keterbacaan, logosentrisme, waktu, dosa, satire",2019-03-15 02:53:59,archive,,6,,show,"Waktu, Dosa, dan Satire dalam Sajak ""Sebuah Restoran, Moskwa"" W.S. Rendra: Suatu Pemaknaan Dekonstruktif",10843,,,,,,,,,,,,,,,,
9,2019-05-02 04:15:04,346,2019-05-02 04:15:04,public,http://repository.lppm.unila.ac.id/id/eprint/10980,,submitted,,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23979', 'pos': 1, 'format': 'text', 'files': [{'filesize': 57594218, 'datasetid': 'document', 'mtime': '2019-03-21 09:30:22', 'hash_type': 'MD5', 'hash': 'fe1f3f88d119d6af17d7b910206c7171', 'filename': 'LAPORAN PENELITIAN DOSEN SENIORPEMAHAMAN GURU BAHASA INDONESIA SMA DI KABUPATEN MESUJI TERHADAP KURIKULUM 2013 EDISI REVISI.pdf', 'fileid': 100670, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/100670', 'objectid': 23979}], 'docid': 23979, 'main': 'LAPORAN PENELITIAN DOSEN SENIORPEMAHAMAN GURU BAHASA INDONESIA SMA DI KABUPATEN MESUJI TERHADAP KURIKULUM 2013 EDISI REVISI.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 10980}]",Jurusan Pendidikan Bahasa dan Seni FKIP Universitas Lampung,['FKIP14'],monograph,disk0/00/01/09/80,,"[{'id': 'kahfie.nazaruddin@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Nazaruddin', 'honourific': None, 'given': 'Kahfie'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Hilal', 'given': 'Iqbal'}, 'id': None}, {'id': 'munaris_labib@yahoo.co.id', 'name': {'given': 'Munaris', 'lineage': None, 'family': 'Munaris', 'honourific': None}}, {'id': 'bambangriadi.br@gmail.com', 'name': {'family': 'Riadi', 'honourific': None, 'lineage': None, 'given': 'Bambang'}}]",,['PL'],"Penelitian ini bertujuan mendeskripsikan pemahaman guru Bahasa Indonesia SMA di Kabupaten Mesuji mengenai Kurikulum 2013, dengan menggunakan metode deskriptif evaluatif dan instrumen pengumpulan data angket dan dokumentasi. Simpulan penelitian adalah sebagai berikut. (1) Pemahaman guru tentang Permendikbud No. 20/2016 tergolong baik dan cukup. (2) Pemahaman guru tentang Permendikbud No. 21/2016 tergolong baik dan cukup, tetapi terdapat guru yang pemahamannya kurang. (3) Pemahaman guru tentang Permendikbud No. 22/2016 tergolong baik, tetapi terdapat beberapa guru yang pemahamannya cukup. (4) Pemahaman guru tentang Permendikbud No. 23/2016 tergolong baik, tetapi beberapa guru masih kurang memahaminya.",2019-05-02 04:15:04,archive,,7,,show,Pemahaman Guru Bahasa Indonesia SMA di Kabupaten Mesuji Terhadap Kurikulum 2013 Edisi Revisi,10980,,,,,,,,,,,,,project_report,,,
