,userid,lastmod,datestamp,documents,ispublished,number,refereed,full_text_status,uri,type,divisions,creators,issn,publication,dir,status_changed,eprint_status,abstract,subjects,official_url,title,metadata_visibility,volume,rev_number,eprintid,publisher,date_type,related_url,pagerange,contributors,corp_creators,pres_type,event_type,event_dates,event_title,event_location,id_number,contact_email,isbn,place_of_pub,keywords,referencetext
0,956,2019-04-09 03:37:25,2019-04-09 03:37:25,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23899', 'format': 'text', 'pos': 1, 'files': [{'fileid': 100150, 'mime_type': 'application/pdf', 'mtime': '2019-03-08 03:08:10', 'hash_type': 'MD5', 'hash': '4c4e98d134695da8384d9ddcfbeb181a', 'filename': '3712-Article Text-6328-1-10-20170902.pdf', 'datasetid': 'document', 'filesize': 454167, 'objectid': 23899, 'uri': 'http://repository.lppm.unila.ac.id/id/file/100150'}], 'docid': 23899, 'main': '3712-Article Text-6328-1-10-20170902.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 10893}]",pub,1.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/10893,article,['FKIP15'],"[{'name': {'honourific': None, 'family': 'Arwin Subakti', 'lineage': None, 'given': 'AS'}, 'id': 'arwinsurbakti@yahoo.com'}]",2327-2600,IJEEM: Indonesian Journal of Environmental Education and Management,disk0/00/01/08/93,2019-04-09 03:37:25,archive,"This study aims to determine the effect of outdoor strategies and knowledge biodiversity toward new paradigm environmental (NEP). The method used in this study is an experiment with 2 x 2 factorial design.  The study population was student senior high school Bandarlampung, numbered 64 student. Data analysis technique used is the Two-Way Analysis of Variance followed by Tukkey test.  The findings of this study include: 1. There is the NEP of the student were taught with strategy outdoor in TNWK and strategy outdoor in around school. 2. The participants biodiversity who knowledge higher outdoor strategy in TNWK and strategy outdoor around school, who were no taught with the NEP. 3. The participants biodiversity knowledge lower with outdoor in strategy TNWK and strategy outdoor around school, who were taught for the NEP. 4. There is no positive interaction influence between outdoor in strategy TNWK and strategy outdoor around school. Based on these findings we can conclude that there is no extension strategies are most effective, depending on background knowledge biodiversitas of student.",['Q1'],http://journal.unj.ac.id/unj/index.php/ijeem/article/view/3712,STRATEGY OUTDOOR AND KNOWLLEDGE BIODIVERSITY TOWARD NEW RARADIGM ENVIRONMENT SECONDARY STUDENT BANDARLAMPUNG,show,2.0,6,10893,,,,,,,,,,,,,,,,,
1,986,2023-05-09 03:06:01,2023-05-09 03:06:00,"[{'placement': 1, 'security': 'public', 'eprintid': 51251, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 191022, 'uri': 'http://repository.lppm.unila.ac.id/id/file/550597', 'fileid': 550597, 'mime_type': 'application/pdf', 'mtime': '2023-05-08 21:27:12', 'hash_type': 'MD5', 'hash': 'dab9f03846255657aff630f2c5ae5e5e', 'filename': 'Turnitin_Zahra.pdf.pdf', 'datasetid': 'document', 'filesize': 24577045}], 'docid': 191022, 'main': 'Turnitin_Zahra.pdf.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/191022', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",unpub,,,public,http://repository.lppm.unila.ac.id/id/eprint/51251,other,['FKIP15'],"[{'id': 'nenihasnunidah@gmail.com', 'name': {'lineage': None, 'family': 'Hasnunidah', 'honourific': None, 'given': 'Neni'}}, {'name': {'lineage': None, 'family': 'Sikumbang', 'honourific': None, 'given': 'Darlen'}, 'id': None}]",,,disk0_bak/00/05/12/51,2023-05-09 03:06:00,archive,,['L1'],,Check Smilarity: Pengaruh Model Pembelajaran Argument-Driven Inquiry (ADI) dan Gender Terhadap Keterampilan Argumentasi,show,,7,51251,"Faculty of Teacher Training and Education, University of Lampung",,,,,,,,,,,,,,,,
2,391,2019-05-14 08:03:48,2019-05-14 08:03:48,"[{'eprintid': 12595, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': '16686-37439-1-PB.pdf', 'docid': 25576, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/111645', 'objectid': 25576, 'filesize': 372858, 'datasetid': 'document', 'filename': '16686-37439-1-PB.pdf', 'hash': '0f115f2d2fea073cb7aaf8f04b5ef57a', 'mtime': '2019-05-10 07:28:04', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 111645}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/25576'}]",pub,,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/12595,article,['FKIP15'],"[{'id': 'nenihasnunidah@gmail.com', 'name': {'given': 'Neni', 'lineage': None, 'honourific': None, 'family': 'Hasnunidah'}}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Sikumbang', 'given': 'Darlen'}}]",2621-5594,Jurnal Bioterdidik: Wahana Ekspresi Ilmiah,disk0/00/01/25/95,2019-05-14 08:03:48,archive,"Penelitian ini bertujuan untuk mengetahui signifikansi pengaruh model pembelajaran Argument Driven Inquiry (ADI), kemampuan akademik,  dan interaksi model pembelajaran dengan kemampuan akademik pada pembelajaran struktur dan fungsi tumbuhan terhadap keterampilan berpikir kritis siswa. Sampel penelitian adalah siswa kelas VIII.1 dan VIII.2 yang diambil dengan teknik cluster random sampling Penelitian ini merupakan kuasi eksperimen dengan Pretest Postes Non Equivalent Control Group Design.  Instrumen yang digunakan dalam penelitian ini adalah tes keterampilan berpikir kritis. Analisis data dengan uji Ancova dan BNT masing-masing pada taraf nyata 5 %. Hasil penelitian menunjukkan bahwa model pembelajaran ADI, kemampuan akademik, dan interaksi antara model pembelajaran dan kemampuan akademik berpengaruh signifikan terhadap keterampilan berpikir kritis siswa dengan nilai signifikansi masing-masing adalah 0,000; 0,021; 0,014.",['L1'],,Pengaruh Argument-Driven Inquiry Terhadap Keterampilan Berpikir Kritis Siswa Berkemampuan Akademik Berbeda,show,,7,12595,Prodi Pendidikan Biologi FKIP Unila,,,,,,,,,,,,,,,,
3,986,2023-05-09 03:06:03,2023-05-09 03:06:03,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/191021', 'rev_number': 1, 'main': 'Turnitin-Yulia Artanti.pdf.pdf', 'docid': 191021, 'files': [{'filesize': 358327, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2023-05-08 21:24:31', 'hash': '3aa1fa77d145c0c47c6a5942e88aa422', 'filename': 'Turnitin-Yulia Artanti.pdf.pdf', 'fileid': 550588, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/550588', 'objectid': 191021}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 51250, 'placement': 1, 'security': 'public'}]",unpub,,,public,http://repository.lppm.unila.ac.id/id/eprint/51250,other,['FKIP15'],"[{'id': 'nenihasnunidah@gmail.com', 'name': {'honourific': None, 'family': 'Hasnunidah', 'lineage': None, 'given': 'Neni'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Yolida', 'given': 'Berti'}, 'id': 'bertiyolida@yahoo.com'}]",,,disk0_bak/00/05/12/50,2023-05-09 03:06:03,archive,,['L1'],,Check Similarity: PENGEMBANGAN PENUNTUN PRAKTIKUM MAKHLUK HIDUP DAN LINGKUNGAN DENGAN MODEL ARGUMENT DRIVEN INQUIRY,show,,9,51250,"Faculty of Teacher Training and Education, University of Lampung",,,,,,,,,,,,,,,,
4,8634,2021-06-04 01:37:15,2021-06-04 01:37:15,"[{'placement': 1, 'security': 'public', 'eprintid': 31986, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'fileid': 378533, 'mime_type': 'application/pdf', 'mtime': '2021-06-03 21:17:52', 'hash_type': 'MD5', 'hash': 'c6d73fe5747e308d99d8d802f558d04c', 'filename': 'Kwangsan Artikel Naya Nadya.pdf', 'datasetid': 'document', 'filesize': 1263515, 'objectid': 144936, 'uri': 'http://repository.lppm.unila.ac.id/id/file/378533'}], 'main': 'Kwangsan Artikel Naya Nadya.pdf', 'docid': 144936, 'uri': 'http://repository.lppm.unila.ac.id/id/document/144936', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",pub,2.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/31986,article,['FKIP15'],"[{'name': {'lineage': None, 'honourific': None, 'family': 'Inayah Syar', 'given': 'Nur'}, 'id': None}, {'name': {'honourific': None, 'family': 'Meriza', 'lineage': None, 'given': 'Nadya'}, 'id': 'nadya.meriza@fkip.unila.ac.id'}]",2622-4283,"Jurnal Teknologi Pendidikan, KWANGSAN",disk0/00/03/19/86,2021-06-04 01:37:15,archive,"he teaching and learning process is built on three
interaction aspects such as the interaction among the
teachers, students, and learning sources. To ease this
process, the teacher can make their own teaching material
that will be used in learning process. This research aims to
develop weather theme students’ book by using Four Steps
Teaching Material Development (4STMD) method. The
research method used was Research and Development
(R&D). This students’ book consists of 5 sub-themes such
as substance characteristics, interaction of organisms and
their environment, temperature and heat, pollution and
global warming. This book was developed by using 4STMD
method through four stages such as selection,
structurization, characterization, and didactic reduction.
The feasibility test results show that the student book has
complete material based on basic competencies and
indicators, has accurate, actual and integrated material.
Besides the student’s book that was developed also has
aspects of legibility, language rules and language logic that
is appropriate, presented attractively and has a layout and
design that is feasible to be used. Overall the students’
perception on the usage and result of this students’ book
development is positive.",['L1'],https://doi.org/10.31800/jtp.kw.v8n2.p190--212,"PENGEMBANGAN BUKU SISWA BERTEMA
CUACA MENGGUNAKAN METODE FOUR
STEPS TEACHING MATERIAL DEVELOPMENT",show,8.0,7,31986,https://jurnalkwangsan.kemdikbud.go.id/index.php/jurnalkwangsan/article/view/233,published,"[{'type': 'pub', 'url': 'https://doi.org/10.31800/jtp.kw.v8n2.p190--212'}]",190-120,,,,,,,,,,,,,
5,513,2023-02-23 01:38:06,2023-02-23 01:38:06,"[{'eprintid': 48516, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'main': '17480-39578-2-PB.pdf', 'docid': 187812, 'files': [{'objectid': 187812, 'uri': 'http://repository.lppm.unila.ac.id/id/file/529230', 'datasetid': 'document', 'filesize': 211145, 'fileid': 529230, 'mime_type': 'application/pdf', 'mtime': '2023-02-22 15:26:57', 'hash_type': 'MD5', 'filename': '17480-39578-2-PB.pdf', 'hash': 'cf8e51aa13ec1d4cf33c5992333ae3d2'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187812'}]",pub,3.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/48516,article,['FKIP15'],"[{'name': {'given': 'Tri', 'honourific': None, 'family': 'Jalmo', 'lineage': None}, 'id': 'jalmotri@yahoo.com'}, {'id': None, 'name': {'given': 'Dwi', 'honourific': None, 'family': 'Fitriyani', 'lineage': None}}, {'id': 'bertiyolida@yahoo.com', 'name': {'honourific': None, 'family': 'Yolida', 'lineage': None, 'given': 'Berti'}}]",2621-5594,Jurnal Bioterdidik: Wahana Ekspresi Ilmiah,disk0_bak/00/04/85/16,2023-02-23 01:38:06,archive,"The Use of Problem Base Learning Model to Enhance Students
Collaboration and High Order Thinking Skill. This study aims to determine the
use of problem based learning (PBL) model to enhance students collaboration
and high order thinking skill. 56 students from two classes was used as sample
using purposive sampling technique. Quasi experimental design with pretestpostest

control group was used in this research. Collaboration skills data were
measured using observation sheets which were analyzed by calculating the
average value. Data of high order thinking skill were measured using test
instrument analyzed by calculating N-gain and T-test. The result of collaboration
and high order thinking data analysis were obtained from experimental class that
were higher than the control class. The result showed that problem based lerning
(PBL) model can improved collaboration and high order thinking skill of student.

Keywords : collaboration, high order thinking, problem based learning",['L1'],,"Penggunaan Problem Based Learning untuk Meningkatkan
Keterampilan Kolaborasi Dan Berpikir Tingkat Tinggi",show,7.0,6,48516,Prodi Pendidikan Biologi FKIP Unila,published,,,,,,,,,,,,,,,
6,696,2017-07-20 09:08:09,2017-07-20 09:08:09,"[{'docid': 3544, 'main': '11. M. Sobran Jamil dkk Kandungan Klorofil Planlet Vanili.pdf', 'files': [{'fileid': 25699, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2017-07-18 00:22:25', 'filename': '11. M. Sobran Jamil dkk Kandungan Klorofil Planlet Vanili.pdf', 'hash': '3d1de46efa387d0efd8ae9515f199a54', 'datasetid': 'document', 'filesize': 667562, 'objectid': 3544, 'uri': 'http://repository.lppm.unila.ac.id/id/file/25699'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3544', 'eprintid': 3683, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",pub,,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/3683,article,['FKIP15'],"[{'id': 'muhammad.sobran@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Jamil', 'given': 'M. Sobran'}}, {'id': 'endang_nurcahyani@yahoo.com', 'name': {'given': 'Endang', 'honourific': None, 'family': 'Nurcahyani', 'lineage': None}}, {'name': {'given': 'Zulkifli', 'lineage': None, 'honourific': None, 'family': 'Zulkifli'}, 'id': None}]",978-602-70530-2-1,Prosiding Seminar Nasional Swasembada Pangan Polinela Bandar Lampung,disk0/00/00/36/83,2017-07-20 09:08:09,archive,"A Study of the content of Chlorophyll a, b and the total on vanilla which was swlwcted in vitro by adding up polyethylene glycol (PEG) 6000 to MS medium at various consentrations of 5%, 10%, 15%, and 20% had been conducted at the Laboratory of Tissue Culture, MIPA
faculty, Biology Department, Lampung University, on January to March 2015. At experiment was arranged in a complete random design with six replication. The analysis of variance and BNT test were evaluated in real level of 5%. The calculation and extraction of chlorophyll were conducted by using Harborn (1987) method. This experiment used aceton 80% as solution. The absorbent was measured by using spectrophotometer Shimudzu in 646 and 663 wave length.The result showed that the content of chlorophyll a and b and the total on vanilla planlet were decreased. The content of Chlorophyll a and total of the MS medium
which were treated by 5% to 20% concentrations of PEG 6000 was decreased compared to the control. As for the b chlorophyll, only medium with 15% and 20% threatment were
decreased compared to the control.",['QK'],,Kandungan Klorofil Planlet Vanili (Vanilla planifolia Andrews) Hasil Seleksi Ketahanan terhadap Cekaman Kekeringan secara In Vitro,show,,6,3683,Politeknik Negeri Bandar Lampung,published,,68-72,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]","['Jurusan Biologi Fakultas MIPA Unila', 'Jurusan Biologi Fakultas MIPA Unila', 'Jurusan Biologi Fakultas MIPA Unila']",,,,,,,,,,,
7,8634,2021-06-04 01:37:18,2021-06-04 01:37:18,"[{'placement': 1, 'security': 'public', 'eprintid': 31987, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en', 'files': [{'hash_type': 'MD5', 'mtime': '2021-06-03 21:31:45', 'hash': '6c7fca768dcbd65126e7980eb3550ba9', 'filename': '2318-6787-2-RV cek 2021.docx', 'fileid': 378557, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'filesize': 395641, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/378557', 'objectid': 144947}], 'main': '2318-6787-2-RV cek 2021.docx', 'docid': 144947, 'uri': 'http://repository.lppm.unila.ac.id/id/document/144947', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",submitted,,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/31987,article,['FKIP15'],"[{'id': 'wisnu.juli@fkip.unila.ac.id', 'name': {'family': 'Juli Wiono', 'honourific': None, 'lineage': None, 'given': 'Wisnu'}}, {'id': 'yanti19730310@gmail.com', 'name': {'family': 'Pramudiyanti', 'honourific': None, 'lineage': None, 'given': 'Pramudiyanti'}}, {'id': 'nadya.meriza@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Meriza', 'lineage': None, 'given': 'Nadya'}}]",2684-7604,Bioedusiana,disk0/00/03/19/87,2021-06-04 01:37:18,archive,"Kualitas pertanyaan dapat menggambarkan perkembangan tingkat berpikir seseorang. Kegiatan menanya juga merupakan indikasi bahwa seorang peserta didik terlibat secara aktif dalam proses pembelajaran. Tujuan penelitian ini adalah untuk menggambarkan profil kualitas pertanyaan mahasiswa rumpun ilmu pengetahuan alam ditinjau dari pengalaman belajar. Penelitian ini menggunakan metode deskriptif karena bertujuan untuk menggambarkan profil subyek penelitian. Instrumen penelitian berupa angket pengalaman belajar dan matriks pertanyaan. Angket pengalaman belajar digunakan untuk mengungkap gambaran pengalaman belajar mahasiswa selama perkuliahan. Sedangkan, matriks pertanyaan digunakan untuk mengukur tingkat berpikir pada setiap pertanyaan yang dibuat oleh mahasiswa. Populasi penelitian ini adalah seluruh mahasiswa di Jurusan Pendidikan Matematika dan Ilmu Pengetahuan Alam yang telah mengikuti perkuliahan Biologi Dasar. Analisis data menggunakan regresi sederhana menunjukkan bahwa pengalaman belajar mahasiswa tidak berpengaruh secara signifikan terhadap kualitas pertanyaan mahasiswa. Masing-masing program studi memiliki skor t hitung sebesar 0,120 (Pendidikan kimia); 1,341 (Pendidikan fisika); dan 0,578 (Pendidikan biologi). Seluruh skor t hitung bernilai lebih kecil daripada t tabel. Kondisi ini diduga kuat karena fase kegiatan inti pada proses perkuliahan tidak berjalan dengan baik. Berdasarkan analisis data ditemukan bahwa fase kegiatan inti memiliki skor terendah 67,33 yang bermakna cukup.  


Kata kunci: Kualitas pertanyaan; Pengalaman belajar; Ilmu pengetahuan alam.

Abstract
The quality of the question can describe the development of a person's thinking level. The questioning activity is also an indication that a student is actively involved in the learning process. The purpose of this study was to describe the quality profile of the students' questions from a natural science family in terms of their learning experience. This study uses a descriptive method because it aims to describe the profile of research subjects. The research instrument was a learning experience questionnaire and a question matrix. Learning experience questionnaires are used to reveal a picture of student learning experiences during lectures. Meanwhile, the question matrix is used to measure the level of thinking on each question made by students. The population of this study were all students in the Mathematics and Natural Sciences Education Department who had attended Basic Biology courses. Data analysis using simple regression shows that student learning experience does not significantly influence the quality of student questions. Each study program has a t score of 0.120 (chemistry education); 1,341 (Physics education); and 0.578 (Biology education). The entire t score is less than the t table. This condition is strongly suspected because the core activity phase of the lecture process did not go well. Based on the data analysis, it was found that the core activity phase had the lowest score of 67.33 which was significant.

Keywords: Quality questions; Learning experience; Natural Science.",['L1'],http://jurnal.unsil.ac.id/index.php/bioed,"Analisis Kualitas Pertanyaan Mahasiswa Calon Guru Rumpun Ilmu Pengetahuan Alam Ditinjau dari Pengalaman Belajar 

Quality Analysis of Student Questions for Prospective of Natural Sciences Teachers Reviewed from Learning Experience",show,,6,31987,Universitas Siliwangi,submitted,,,,,,,,,,,,,,,
8,513,2021-05-30 15:24:40,2021-05-30 15:24:40,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 31285, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/141392', 'format': 'text', 'pos': 1, 'files': [{'objectid': 141392, 'uri': 'http://repository.lppm.unila.ac.id/id/file/370802', 'fileid': 370802, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-05-29 06:51:13', 'hash': '20956b8a6c3c20e83b9ddb848e7488a5', 'filename': 'Psychology Berlian NM pdf.pdf', 'datasetid': 'document', 'filesize': 338696}], 'main': 'Psychology Berlian NM pdf.pdf', 'docid': 141392}]",unpub,,FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/31285,conference_item,['FKIP15'],"[{'name': {'lineage': None, 'family': 'Marpaung', 'honourific': None, 'given': 'Rini Rita'}, 'id': 'ritamarpaung15@yahoo.co.id'}, {'id': None, 'name': {'family': 'Mahardhika', 'honourific': None, 'lineage': None, 'given': 'Berlian Nursyanti'}}, {'id': 'bertiyolida@yahoo.com', 'name': {'family': 'Yolida', 'honourific': None, 'lineage': None, 'given': 'Berti'}}, {'id': None, 'name': {'given': 'Bayu', 'honourific': None, 'family': 'Saputra', 'lineage': None}}, {'id': 'ismirakhmawati@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Rakhmawati', 'given': 'Ismi'}}]",,,disk0/00/03/12/85,2021-05-30 15:24:40,archive,"One of the factors of the low scientific literacy of students is influenced by the learning model used during the learning process. This study aims to determine the effect of the problem based learning (PBL) model using vee diagrams on environmental pollution material on students' scientific literacy skills. The sample consisted of 68 students, consisting of class VII 1 and VII 3 who were selected by purposive sampling technique. The research data were obtained from test questions and response questionnaires, the data were analyzed using the independent sample t-test. The results showed the average N-gain of science literacy abilities of students in the experimental class (0.48 ± 0.16) with ""moderate"" criteria and the control class (0.23 ± 0.13) with ""low"" criteria. This shows that learning using the PBL model using vee diagrams has a better effect on increasing students' scientific literacy skills. The results of the questionnaire response analysis had an average percentage was 88.8%.","['L1', 'LB1603']",,The Effect of Guided Inquiry Model with Vee Diagrams to Students Scientific Literacy In The Junior High School 1 Pesawaran,show,,9,31285,,,,,,,paper,conference,16-17 Oktober 2020,"ICOPE 2020, October 16-17, Indonesia",Bandar Lampung,,,,,,
9,391,2019-05-14 08:04:55,2019-05-14 08:04:55,"[{'eprintid': 12609, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': '17042-38305-1-PB.pdf', 'docid': 25593, 'files': [{'hash': 'ba3942cd9db6d8cf16ab886aa9308929', 'filename': '17042-38305-1-PB.pdf', 'hash_type': 'MD5', 'mtime': '2019-05-10 07:46:40', 'mime_type': 'application/pdf', 'fileid': 111735, 'filesize': 527427, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/111735', 'objectid': 25593}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/25593', 'rev_number': 1}]",pub,,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/12609,article,['FKIP15'],"[{'name': {'given': 'Rini Rita', 'family': 'Marpaung', 'honourific': None, 'lineage': None}, 'id': 'ritamarpaung15@yahoo.co.id'}, {'name': {'given': 'Darlen', 'lineage': None, 'family': 'Sikumbang', 'honourific': None}, 'id': None}]",2621-5594,Jurnal Bioterdidik: Wahana Ekspresi Ilmiah,disk0/00/01/26/09,2019-05-14 08:04:55,archive,"Penelitian ini bertujuan mengetahui efektivitas formasi tempat duduk U, chevron dan teater terhadap hasil belajar peserta didik. Pengambilan sampel menggunakan teknik purposive sampling yaitu kelas XI MIA 1 (eksperimen I, formasi U), XI MIA 2 (eksperimen II, formasi chevron), dan XI MIA 3 (kontrol, formasi teater). Desain penelitian ini adalah pretes-postes non ekuivalen. Pengukuran efektivitas pada aspek kognitif berdasarkan perbedaan N-gain, sedangkan perhitungan aspek afektif dan psikomotorik berdasarkan tafsir indeks prestasi kualitatif. Hasil menunjukkan bahwa nilai rata-rata N-gain, aspek afektif dan psikomotik kelas eksperimen I lebih tinggi dari pada kelas eksperimen II dan kelas kontrol. Dengan demikian, terdapat perbedaan efektivitas dari ketiga formasi tempat duduk dengan formasi U yang paling efektif daripada formasi chevron dan teater.",['L1'],,Efektivitas Formasi Tempat Duduk Tipe U dan Chevron terhadap Hasil Belajar Peserta Didik,show,,7,12609,Prodi Pendidikan Biologi FKIP Unila,,,,,,,,,,,,,,,,
