,datestamp,pagerange,lastmod,userid,refereed,uri,full_text_status,pres_type,documents,ispublished,divisions,type,dir,date,creators,abstract,subjects,related_url,eprint_status,status_changed,metadata_visibility,event_type,rev_number,title,official_url,event_dates,date_type,eprintid,event_title,event_location,issn,publication,corp_creators,publisher,number,volume,contributors,id_number
0,2020-06-11 03:53:02,288-297,2020-06-11 03:53:02,2810,TRUE,http://repository.lppm.unila.ac.id/id/eprint/22245,public,paper,"[{'main': 'Prosiding Semnas 28 Sep 2019_Rev_Artikel_frida Destini.pdf', 'docid': 35663, 'files': [{'objectid': 35663, 'uri': 'http://repository.lppm.unila.ac.id/id/file/204664', 'mime_type': 'application/pdf', 'fileid': 204664, 'filename': 'Prosiding Semnas 28 Sep 2019_Rev_Artikel_frida Destini.pdf', 'hash': '7f7720a75300e428b303fb7860a3e1fe', 'mtime': '2020-06-11 03:37:18', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 389912}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/35663', 'rev_number': 1, 'eprintid': 22245, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",pub,['FKIP19'],conference_item,disk0/00/02/22/45,2019-09-28 00:00:00.000000000,"[{'name': {'lineage': None, 'family': 'Destini', 'honourific': None, 'given': 'Frida'}, 'id': 'frida.destini@fkip.unila.ac.id'}]","Era revolusi industri 4.0 menuntut anak mampu beradaptasi menghadapi persaingan global. Kecakapan hidup pada era globalisasi tidak hanya dipandang dari nilai akademik atau hasil belajarnya saja, tetapi juga dinilai dari bagaimana seseorang tersebut mampu memecahkan masalah-masalah kehidupan yang akan datang. Salah satu persiapan menghadapi era tersebut adalah siswa memiliki kemampuan pemecahan masalah. Pada kenyataanya pembelajaran matematika di SD yang mengembangkan kemampuan masalah masih belum maksimal. Hal ini karena kurangnya perhatian guru dalam pengembangan kemampuan pemecahan masalah dalam proses pembelajaran. Maka dari itu diperlukan pendekatan
pembelajaran yang mengintegrasikan pengetahuan, keterampilan dan pengalaman anak sehingga siswa terlibat aktif dalam proses memecahkan masalah. Salah satu pendekatan pembelajaran yang dapat mengembangkan kemampuan pemecahan masalah yaitu dengan menggunakan pendekatan matematika realistic. Tujuan penelitian ini untuk mengetahui pengaruh penerapan pendekatan matematika
realistic terhadap kemampuan pemecahan masalah siswa kelas V Sekolah Dasar di Tangerang. Jenis penelitian ini adalah experiment dengan menggunakan teknik simple random sampling yang telah dilakukan kepada 60 siswa. Pengambilan data diperoleh melalui tes dan dianalisis dengan uji Independent Samples Test, uji Mann Whitney-U dan analisis deskriptif. Hasil penelitian menunjukan bahwa pendekatan matematika realistik dapat mengembangkan kemampuan pemecahan masalah siswa dari pada yang diajarkan menggunakan metode konvensional dan  terdapat pengaruh interaksi antara penerapan pendekatan matematika realistik terhadap kemampuan pemecahan masalah.
Kata kunci: Pendekatan Matematika Realistik, Pemecahan Masalah,Sekolah Dasar",['LB1501'],[{'url': 'https://drive.google.com/file/d/1gGQkWMPQTDG6o7Ik71Ktty0U02o0TPfc/view'}],archive,2020-06-11 03:53:02,show,conference,7,"PENGGUNAAN PENDEKATAN RME TERHADAP KEMAMPUAN
PEMECAHAN MASALAH SISWA",http://semnaspend.fkip.unila.ac.id/2019/08/14/prosiding/,28 September 2019,published,22245,Seminar Nasional Pendidikan FKIP 2019,FKIP Universitas Lampung,,,,,,,,
1,2020-06-24 01:37:03,65-73,2020-06-24 01:37:03,758,TRUE,http://repository.lppm.unila.ac.id/id/eprint/22729,public,,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36231', 'main': '8__The_Development_of_Student_Worksheets_in_the_Pr.pdf', 'docid': 36231, 'files': [{'mime_type': 'application/pdf', 'fileid': 208582, 'filename': '8__The_Development_of_Student_Worksheets_in_the_Pr.pdf', 'hash': '9b0edc35f67624c2713b1b20445f03f5', 'mtime': '2020-06-23 08:46:12', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 2820157, 'objectid': 36231, 'uri': 'http://repository.lppm.unila.ac.id/id/file/208582'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 22729, 'security': 'public', 'placement': 1}]",pub,['FKIP19'],article,disk0/00/02/27/29,1970-01-01 00:00:00.000002019,"[{'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Fifi', 'given': 'Astuti'}}, {'name': {'lineage': None, 'family': 'Alben Ambarita', 'honourific': None, 'given': 'Alben'}, 'id': 'alben_ambarita57@yahoo.com'}, {'name': {'honourific': None, 'family': 'Lilik', 'lineage': None, 'given': 'LS'}, 'id': 'lilik.sabdaningtyas@fkip.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Darsono', 'lineage': None, 'given': 'Darsono'}, 'id': 'darsono.1954@fkip.unila.ac.id'}]","The purpose of this research and development is to produce student worksheets in the Project Based Learning
model oriented project assessment that are suitable for use in learning, and to know the difference in learning
outcomes between students using student worksheets in the Project Based Learning model oriented project
assessment with do not use student worksheets in the Project Based Learning model oriented project assessment
in thematic learning in fourth grade of elementary school. This type of research is research and development
referring to the theory of Borg and Gall. The population of the study was 151 students of fourth grade of
elementary school, and the sample was determined by purposive sampling as many as 20 students. The data was
collected through observation sheets, questionnaires, and test questions. The test instrument that used fulfills the
validity and reliability, taking into account the level of difficulty, and the power of the different questions. The
data analysis technique used t test. The results of the validation of the student worksheets in the Project Based
Learning model oriented project assessment conducted by material experts, media experts, and linguists who
were suitable to be used in learning. The results of the study showed that the student worksheets in the Project
Based Learning model oriented project assessment of the project tcount = 2,838 > ttable = 1,697. It means there are
differences in learning outcomes between students who use student worksheets in the Project Based Learning
model oriented project assessment with with do not use student worksheets in the Project Based Learning model
oriented project assessment.","['L1', 'LB1501', 'LC5201']",,archive,2020-06-24 01:37:03,show,,8,"The Development of Student Worksheets in the Project Based
Learning Model Oriented Project Assessment in the Thematic
Learning in Fourth Grade of Elementary School",http://www.iiste.org,,published,22729,,,2222-288X,Journal of Education and Practice,"['Faculty of Teacher Training and Education, University of Lampung']",Journal of Education and Practice,17.0,10.0,,
2,2020-06-24 01:37:10,,2020-06-24 01:37:10,758,,http://repository.lppm.unila.ac.id/id/eprint/22730,public,,"[{'docid': 36232, 'main': '8__The_Development_of_Student_Worksheets_in_the_Pr.pdf', 'files': [{'filesize': 2820157, 'datasetid': 'document', 'mtime': '2020-06-23 08:49:45', 'hash_type': 'MD5', 'hash': '9b0edc35f67624c2713b1b20445f03f5', 'filename': '8__The_Development_of_Student_Worksheets_in_the_Pr.pdf', 'fileid': 208595, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/208595', 'objectid': 36232}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36232', 'eprintid': 22730, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,['FKIP19'],other,disk0/00/02/27/30,1970-01-01 00:00:00.000002019,"[{'id': None, 'name': {'lineage': None, 'family': 'Fifi', 'honourific': None, 'given': 'Astuti'}}, {'id': 'alben_ambarita57@yahoo.com', 'name': {'honourific': None, 'family': 'Alben Ambarita', 'lineage': None, 'given': 'Alben'}}, {'id': 'lilik.sabdaningtyas@fkip.unila.ac.id', 'name': {'given': 'LS', 'lineage': None, 'family': 'Lilik', 'honourific': None}}, {'id': 'darsono.1954@fkip.unila.ac.id', 'name': {'given': 'Darsono', 'honourific': None, 'family': 'Darsono', 'lineage': None}}]","The purpose of this research and development is to produce student worksheets in the Project Based Learning
model oriented project assessment that are suitable for use in learning, and to know the difference in learning
outcomes between students using student worksheets in the Project Based Learning model oriented project
assessment with do not use student worksheets in the Project Based Learning model oriented project assessment
in thematic learning in fourth grade of elementary school. This type of research is research and development
referring to the theory of Borg and Gall. The population of the study was 151 students of fourth grade of
elementary school, and the sample was determined by purposive sampling as many as 20 students. The data was
collected through observation sheets, questionnaires, and test questions. The test instrument that used fulfills the
validity and reliability, taking into account the level of difficulty, and the power of the different questions. The
data analysis technique used t test. The results of the validation of the student worksheets in the Project Based
Learning model oriented project assessment conducted by material experts, media experts, and linguists who
were suitable to be used in learning. The results of the study showed that the student worksheets in the Project
Based Learning model oriented project assessment of the project tcount = 2,838 > ttable = 1,697. It means there are
differences in learning outcomes between students who use student worksheets in the Project Based Learning
model oriented project assessment with with do not use student worksheets in the Project Based Learning model
oriented project assessment","['L1', 'LB1501', 'LC5201']",,archive,2020-06-24 01:37:10,show,,9,"The Development of Student Worksheets in the Project Based
Learning Model Oriented Project Assessment in the Thematic
Learning in Fourth Grade of Elementary School",http://www.iiste.org,,published,22730,,,,,"['Faculty of Teacher Training and Education, University of Lampung']",Journal of Education and Practice,,,,
3,2020-06-23 08:44:38,,2020-06-23 08:44:38,758,,http://repository.lppm.unila.ac.id/id/eprint/22725,public,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/36227', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'fileid': 208543, 'mime_type': 'application/pdf', 'mtime': '2020-06-23 08:34:06', 'hash_type': 'MD5', 'hash': '34af6abd54d654011d0181c48ed908a4', 'filename': '5__The_Development_of_Higher_Order_Thinking_Skills.pdf', 'datasetid': 'document', 'filesize': 1651562, 'objectid': 36227, 'uri': 'http://repository.lppm.unila.ac.id/id/file/208543'}], 'main': '5__The_Development_of_Higher_Order_Thinking_Skills.pdf', 'docid': 36227, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 22725}]",pub,['FKIP19'],other,disk0/00/02/27/25,1970-01-01 00:00:00.000002019,"[{'id': None, 'name': {'family': 'Komang', 'honourific': None, 'lineage': None, 'given': 'Okayana'}}, {'name': {'given': 'Suntoro', 'family': 'Irawan', 'honourific': None, 'lineage': None}, 'id': None}, {'name': {'given': 'LS', 'honourific': None, 'family': 'Lilik', 'lineage': None}, 'id': 'lilik.sabdaningtyas@fkip.unila.ac.id'}, {'id': 'darsono.1954@fkip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Darsono', 'given': 'Darsono'}}]","This study was aimed at developing a higher order thinking skills (HOTS)-based test instrument that is empirically
and theoretically feasible for elementary school integrated thematic learning. This study was conducted through a
Research and Development methodology (Borg & Gall, 1983) to a population of an elementary school fourthgrade students in Central Lampung by using a purposive sampling. A total of 64 participants took part in this study. The data were collected through questionnaires and tests. The results show that the test instrument developed was theoretically feasible with an average expert score of 90.14. This fell into very good category and was empirically feasible. A total of 29 questions were valid and internally consistent with a moderate level of difficulty,good discrimination power, and good distractor.","['L1', 'LB1501', 'LC5201']",,archive,2020-06-23 08:44:38,show,,9,"The Development of Higher Order Thinking Skills-Based
Assessment Instrument for Elementary School Integrated Thematic Learning",http://www.iiste.org,,published,22725,,,,,"['Faculty of Teacher Training and Education, University of Lampung']",Journal of Education and Practice,,,,
4,2020-06-24 01:37:20,,2020-06-24 01:37:20,758,,http://repository.lppm.unila.ac.id/id/eprint/22731,public,,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 22731, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/36233', 'rev_number': 1, 'main': '9__The_Development_of_Integrative_Thematic_Learnin.pdf', 'docid': 36233, 'files': [{'datasetid': 'document', 'filesize': 2386527, 'fileid': 208604, 'mime_type': 'application/pdf', 'mtime': '2020-06-23 08:53:30', 'hash_type': 'MD5', 'filename': '9__The_Development_of_Integrative_Thematic_Learnin.pdf', 'hash': 'dde928de9f2c440b73d1918d76d31687', 'objectid': 36233, 'uri': 'http://repository.lppm.unila.ac.id/id/file/208604'}]}]",pub,['FKIP19'],other,disk0/00/02/27/31,1970-01-01 00:00:00.000002019,"[{'name': {'given': 'LS', 'lineage': None, 'honourific': None, 'family': 'Lilik'}, 'id': 'lilik.sabdaningtyas@fkip.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Alben Ambarita', 'lineage': None, 'given': 'Alben'}, 'id': 'alben_ambarita57@yahoo.com'}]","The purpose of this research and development is to develop and describe the feasibility and effectiveness of developing integrative thematic learning tools based on Problem Based Learning in improving students' critical thinking. This type of research is research and development that refers to Borg and Gall theory. The population of this study was the fourth-grade students of elementary schools in Argomulyo Village, Banjit District, and the sample was determined by a purposive sampling of 27 students. Data were collected through observation sheets,
questionnaires, and test questions. The test instrument that used able to fulfills validity and reliability, taking into
account the level of difficulty, and the different power of the questions. The data analysis technique used is then-Gain test to determine its effectiveness. The results of validating thematic learning tools based on Problem Based Learning are done by curriculum experts and learning experts. The results showed that the product development of integrated thematic learning tools based on Problem Based Learning produced is effective for use in the learning process for fourth-grade students. This is proved by the increase in student learning outcomes and students' critical thinking skills after using an integrative thematic learning tool based on Problem Based
Learning.","['L1', 'LB1501', 'LC5201']",,archive,2020-06-24 01:37:20,show,,9,"The Development of Integrative Thematic Learning Tools Based
on Problem Based Learning to Improve Critical Thinking of
Students in Fourth Grade in Elementary School",http://www.iiste.org,,published,22731,,,,,"['Faculty of Teacher Training and Education, University of Lampung']",Journal of Education and Practice,,,,
5,2022-09-12 04:13:06,14-22,2022-09-12 04:13:06,25561,TRUE,http://repository.lppm.unila.ac.id/id/eprint/44898,public,,"[{'eprintid': 44898, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': '3827-13435-1-PB.pdf', 'docid': 166813, 'files': [{'filesize': 184706, 'datasetid': 'document', 'mtime': '2022-09-11 06:49:05', 'hash_type': 'MD5', 'hash': '36d8447a7172ebe149e9d4846d6c8473', 'filename': '3827-13435-1-PB.pdf', 'fileid': 484440, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/484440', 'objectid': 166813}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166813', 'rev_number': 1}]",pub,['FKIP19'],article,disk0/00/04/48/98,2019-07-01 00:00:00.000000000,"[{'id': 'deviyanti.pangestu@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Pangestu', 'lineage': None, 'given': 'Deviyanti'}}]","The purpose of this study (1) to find out the relevance of the curriculum model development of Elementary School Teacher Education with the Elementary School curriculum, (2) to produce a level of improvement in courses that have relevance to the Elementary School curriculum, 3) produce textbooks. the method used in this study is Research and Development. Data collection used questionnaire. The results of the study showed that the average score of elementary school teacher's pedagogical competence was included in the excellent category as well as teacher professionalism. The average score was included in the excellent category. The pedagogical abilities and professional abilities of teachers in relation to the relevance of the Elementary School Teacher Education curriculum with the curriculum in Elementary Schools are related in the excellent categories.",['L1'],,archive,2022-09-12 04:13:06,show,,17,EVALUATIVE STUDY RELEVANCE OF CURRICULUM DEVELOPMENT MODEL OF ELEMENTARY SCHOOL TEACHER EDUCATION WITH ELEMENTARY SCHOOL CURRICULUM,http://ejournal.radenintan.ac.id/index.php/terampil/article/view/3827,,published,44898,,,2355-1925,Jurnal Pendidikan dan Pembelajaran Dasar,,Jurnal Terampil,1.0,6.0,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Pangestu', 'given': 'Deviyanti'}, 'id': 'deviyanti.pangestu@fkip.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",
6,2020-06-17 06:10:08,,2020-06-17 06:10:08,758,,http://repository.lppm.unila.ac.id/id/eprint/22540,public,,"[{'placement': 1, 'security': 'public', 'eprintid': 22540, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 35997, 'uri': 'http://repository.lppm.unila.ac.id/id/file/206710', 'fileid': 206710, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-06-17 05:46:05', 'hash': 'aa5ae7d3829c88dfcb224e839b3aa37c', 'filename': '04 THE DEV OF ASESSMENT.pdf', 'datasetid': 'document', 'filesize': 756622}], 'docid': 35997, 'main': '04 THE DEV OF ASESSMENT.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35997', 'pos': 1, 'format': 'text'}]",unpub,['FKIP19'],other,disk0/00/02/25/40,1970-01-01 00:00:00.000002019,"[{'id': 'undangros@yahoo.com', 'name': {'given': 'Undang', 'honourific': None, 'family': 'Rosidin', 'lineage': None}}, {'name': {'given': 'Riswanti', 'family': 'Rini', 'honourific': None, 'lineage': None}, 'id': None}]",,"['L1', 'LB1501', 'LC5201']",,archive,2020-06-17 06:10:08,show,,9,The Development of Assessment Instruments Based on Multiple Intelligence in Elementary School,,,,22540,,,,,"['Jurusan Pendidikan MIPA FKIP Unila', 'Jurusan Ilmu Pendidikan FKIP Unila']",FKIP Unila,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/REV'}, {'type': 'http://www.loc.gov/loc.terms/relators/REV'}]",
7,2020-06-17 03:29:40,,2020-06-17 03:29:40,758,,http://repository.lppm.unila.ac.id/id/eprint/22523,public,,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35979', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/206593', 'objectid': 35979, 'hash': '7000836709615fc86452e68291f99f1e', 'filename': '01 THE DEV OF CRIT THINKING.pdf', 'mtime': '2020-06-17 03:14:39', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 206593, 'filesize': 761930, 'datasetid': 'document'}], 'docid': 35979, 'main': '01 THE DEV OF CRIT THINKING.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 22523}]",unpub,['FKIP19'],other,disk0/00/02/25/23,1970-01-01 00:00:00.000002019,"[{'id': 'undangros@yahoo.com', 'name': {'given': 'Undang', 'family': 'Rosidin', 'honourific': None, 'lineage': None}}, {'id': None, 'name': {'given': 'Riswanti', 'family': 'Rini', 'honourific': None, 'lineage': None}}]",,['LB1501'],,archive,2020-06-17 03:29:40,show,,9,The Development of Ciritcal Thinking Assessment Instrument on Elementary Scool,,,,22523,,,,,"['Jurusan Pendidikan MIPA FKIP Unila', 'Jurusan Ilmu Pendidikan FKIP Unila']",FKIP Unila,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/REV'}, {'type': 'http://www.loc.gov/loc.terms/relators/REV'}]",
8,2020-06-17 06:09:55,,2020-06-17 06:09:55,758,,http://repository.lppm.unila.ac.id/id/eprint/22542,public,,"[{'docid': 35999, 'main': '06 DEV OF DESC.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/206730', 'objectid': 35999, 'filesize': 767841, 'datasetid': 'document', 'hash': '9b96d34f177249822087a052c82ea0e7', 'filename': '06 DEV OF DESC.pdf', 'mtime': '2020-06-17 05:51:45', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 206730}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35999', 'rev_number': 1, 'eprintid': 22542, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",unpub,['FKIP19'],other,disk0/00/02/25/42,1970-01-01 00:00:00.000002019,"[{'name': {'lineage': None, 'family': 'Rosidin', 'honourific': None, 'given': 'Undang'}, 'id': 'undangros@yahoo.com'}, {'name': {'lineage': None, 'family': 'Rini', 'honourific': None, 'given': 'Riswanti'}, 'id': None}]",,"['L1', 'LB', 'LB1501', 'LC', 'LC5201']",,archive,2020-06-17 06:09:55,show,,11,Development of Description Test Instruments Based Saintific  Approach to Measure Ability to Create Critical Participants in Class V Basic School,,,,22542,,,,,"['Jurusan Pendidikan MIPA FKIP Unila', 'Jurusan Ilmu Pendidikan FKIP Unila']",FKIP Unila,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/REV'}, {'type': 'http://www.loc.gov/loc.terms/relators/REV'}]",
9,2020-06-17 06:10:15,,2020-06-17 06:10:15,758,,http://repository.lppm.unila.ac.id/id/eprint/22543,public,,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/206741', 'objectid': 36000, 'filename': '07 DEV OF INSTRUMENT.pdf', 'hash': '9feb0959c0d6887f88140aa3c6966a09', 'hash_type': 'MD5', 'mtime': '2020-06-17 05:54:15', 'mime_type': 'application/pdf', 'fileid': 206741, 'filesize': 765609, 'datasetid': 'document'}], 'main': '07 DEV OF INSTRUMENT.pdf', 'docid': 36000, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36000', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 22543, 'language': 'en', 'mime_type': 'application/pdf'}]",unpub,['FKIP19'],other,disk0/00/02/25/43,1970-01-01 00:00:00.000002019,"[{'id': 'undangros@yahoo.com', 'name': {'lineage': None, 'family': 'Rosidin', 'honourific': None, 'given': 'Undang'}}, {'id': None, 'name': {'family': 'Rini', 'honourific': None, 'lineage': None, 'given': 'Riswanti'}}]",,"['L1', 'LB1501', 'LC5201']",,archive,2020-06-17 06:10:15,show,,9,Development of Instrument Test on Mathematical Literature Learning in Elementary School,,,,22543,,,,,"['Jurusan Pendidikan MIPA FKIP Unila', 'Jurusan Ilmu Pendidikan FKIP Unila']",FKIP Unila,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/REV'}, {'type': 'http://www.loc.gov/loc.terms/relators/REV'}]",
