,datestamp,lastmod,userid,full_text_status,uri,documents,ispublished,divisions,type,id_number,dir,date,creators,patent_applicant,subjects,succeeds,eprint_status,status_changed,metadata_visibility,rev_number,title,date_type,eprintid,abstract,volume,official_url,pagerange,corp_creators,refereed,number,publisher,publication,issn,pages,series,book_title,isbn,related_url,contributors,place_of_pub,pres_type,event_location,event_title,event_dates,event_type
0,2021-05-24 01:32:16,2021-05-24 01:32:16,815,public,http://repository.lppm.unila.ac.id/id/eprint/30424,"[{'docid': 136830, 'main': 'sertifikat_EC00202046872-Syarifuddin_dahlan.pdf', 'files': [{'objectid': 136830, 'uri': 'http://repository.lppm.unila.ac.id/id/file/360599', 'datasetid': 'document', 'filesize': 769992, 'fileid': 360599, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-02-16 05:26:07', 'filename': 'sertifikat_EC00202046872-Syarifuddin_dahlan.pdf', 'hash': 'e3268f7cf63479bda7c138313204fd45'}], 'format': 'text', 'pos': 1, 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/136830', 'eprintid': 30424, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'ie'}, {'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/360621', 'objectid': 136837, 'filesize': 1564260, 'datasetid': 'document', 'hash': '0e08ff895da47bba4d98dfb0f93c6362', 'filename': 'Nilai review HKI_Konseling Individual....pdf', 'mtime': '2021-05-21 09:49:53', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 360621}], 'main': 'Nilai review HKI_Konseling Individual....pdf', 'docid': 136837, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/136837', 'format': 'text', 'pos': 7, 'security': 'public', 'placement': 7, 'eprintid': 30424, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,['FKIP2'],patent,219423,disk0/00/03/04/24,2020-11-06 00:00:00.000000000,"[{'id': 'syarifuddin.d@fkip.unila.ac.id', 'name': {'given': 'Syarifuddin', 'family': 'Dahlan', 'honourific': None, 'lineage': None}}]",EC00202046872,['L1'],27905.0,archive,2021-05-24 01:32:16,show,6,Konseling Individual: Konsep dan Aplikasi,published,30424,,,,,,,,,,,,,,,,,,,,,,
1,2021-04-15 10:24:39,2021-04-15 10:24:39,815,public,http://repository.lppm.unila.ac.id/id/eprint/29336,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 29336, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43457', 'docid': 43457, 'main': '5292-Article Text-22069-1-10-20201221.pdf', 'files': [{'objectid': 43457, 'uri': 'http://repository.lppm.unila.ac.id/id/file/259954', 'datasetid': 'document', 'filesize': 459103, 'fileid': 259954, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-04-13 02:41:18', 'filename': '5292-Article Text-22069-1-10-20201221.pdf', 'hash': 'f01a515a73260f09fec32a02f0d1856f'}]}, {'format': 'text', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43458', 'rev_number': 2, 'docid': 43458, 'main': 'Artikel CJES.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-04-13 02:41:52', 'hash': '616e00dad9fe182e42bf14943b24787d', 'filename': 'Artikel CJES.pdf', 'fileid': 259955, 'mime_type': 'application/pdf', 'filesize': 2640517, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/259955', 'objectid': 43458}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 29336, 'security': 'public', 'placement': 2}, {'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 29336, 'security': 'public', 'placement': 3, 'format': 'text', 'pos': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43459', 'rev_number': 1, 'docid': 43459, 'main': 'Improve student career certainty using self-information A career counseling in the school.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/259957', 'objectid': 43459, 'mtime': '2021-04-14 23:42:31', 'hash_type': 'MD5', 'filename': 'Improve student career certainty using self-information A career counseling in the school.pdf', 'hash': '31773e69494f3db8fd7fdc30cd58383b', 'fileid': 259957, 'mime_type': 'application/pdf', 'filesize': 3007980, 'datasetid': 'document'}]}]",pub,['FKIP2'],article,,disk0/00/02/93/36,2020-12-01 00:00:00.000000000,"[{'name': {'family': 'Dahlan', 'honourific': None, 'lineage': None, 'given': 'Syarifuddin'}, 'id': 'syarifuddin.d@fkip.unila.ac.id'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Idris', 'given': 'Evalia'}, 'id': 'evaliaidris64@gmail.com'}, {'id': 'ekobkum@gmail.com', 'name': {'family': 'Susanto', 'honourific': None, 'lineage': None, 'given': 'Eko'}}]",,['LB'],29298.0,archive,2021-04-15 10:24:39,show,5,Improve student career certainty using self-information: A career counseling in the school,published,29336,"This study aims to examine the effectiveness of counseling interventions using self-information to increase student career
certainty. This study was conducted with a quasi-experimental pre-test–post-test non-equivalent group design. The number
of subjects was 94 high school students, out of which 44 were male and 50 were female; the experimental group consisted of
39 people and the control group consisted of 55 people. The Self-information used in this study was provided through the
Self-Directed Career Exploration Inventory, while research data was obtained through the Career Plan Certainty Scale. The
results showed that career counseling services using self-information were effective in helping high school students to
increase their career choice certainty. The mean score of the students of the specialization group in the experimental group
increased and was significantly different from the mean score of the students in the control group. In addition, the mean
score for the study plans of male and female students was not significantly different.

Keywords: Career certainty, self-information, career counseling, career intervention.",15.0,http://www.cjes.eu/,1480-1494,['Fakultas Keguruan dan Ilmu Pendidikan Universitas Lampung'],TRUE,6.0,Birlesik Dunya Yenilik Arastirma ve yayincilik Merkezi,Cypriot Journal of Educational Sciences,1305-905X 13059076,,,,,,,,,,,,
2,2021-04-19 01:25:02,2021-04-19 01:25:02,815,public,http://repository.lppm.unila.ac.id/id/eprint/29434,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/43575', 'rev_number': 3, 'pos': 1, 'format': 'text', 'files': [{'objectid': 43575, 'uri': 'http://repository.lppm.unila.ac.id/id/file/260757', 'datasetid': 'document', 'filesize': 459103, 'mime_type': 'application/pdf', 'fileid': 260757, 'hash': 'f01a515a73260f09fec32a02f0d1856f', 'filename': '5292-Article Text-22069-1-10-20201221.pdf', 'hash_type': 'MD5', 'mtime': '2021-04-13 02:41:18'}], 'docid': 43575, 'main': '5292-Article Text-22069-1-10-20201221.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 29434}, {'eprintid': 29434, 'security': 'public', 'placement': 2, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Artikel CJES.pdf', 'docid': 43576, 'files': [{'datasetid': 'document', 'filesize': 2640517, 'fileid': 260758, 'mime_type': 'application/pdf', 'mtime': '2021-04-13 02:41:52', 'hash_type': 'MD5', 'hash': '616e00dad9fe182e42bf14943b24787d', 'filename': 'Artikel CJES.pdf', 'objectid': 43576, 'uri': 'http://repository.lppm.unila.ac.id/id/file/260758'}], 'format': 'text', 'pos': 2, 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43576'}, {'docid': 43578, 'main': 'Improve_student_career_certainty_using_self_inform_compressed_compressed.pdf', 'files': [{'filesize': 1354087, 'datasetid': 'document', 'mtime': '2021-04-17 09:04:16', 'hash_type': 'MD5', 'filename': 'Improve_student_career_certainty_using_self_inform_compressed_compressed.pdf', 'hash': 'e633ece9ed5b28cac74a3c64e215953f', 'fileid': 260762, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/260762', 'objectid': 43578}], 'format': 'text', 'pos': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43578', 'rev_number': 1, 'eprintid': 29434, 'security': 'public', 'placement': 3, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,['FKIP2'],article,,disk0/00/02/94/34,2020-12-01 00:00:00.000000000,"[{'id': 'syarifuddin.d@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Dahlan', 'honourific': None, 'given': 'Syarifuddin'}}, {'name': {'given': 'Evalia', 'lineage': None, 'family': 'Idris', 'honourific': None}, 'id': 'evaliaidris64@gmail.com'}, {'id': 'ekobkum@gmail.com', 'name': {'given': 'Eko', 'honourific': None, 'family': 'Susanto', 'lineage': None}}]",,['LB'],29349.0,archive,2021-04-19 01:25:02,show,6,Improve student career certainty using self-information: A career counseling in the school,published,29434,"This study aims to examine the effectiveness of counseling interventions using self-information to increase student career
certainty. This study was conducted with a quasi-experimental pre-test–post-test non-equivalent group design. The number
of subjects was 94 high school students, out of which 44 were male and 50 were female; the experimental group consisted of
39 people and the control group consisted of 55 people. The Self-information used in this study was provided through the
Self-Directed Career Exploration Inventory, while research data was obtained through the Career Plan Certainty Scale. The
results showed that career counseling services using self-information were effective in helping high school students to
increase their career choice certainty. The mean score of the students of the specialization group in the experimental group
increased and was significantly different from the mean score of the students in the control group. In addition, the mean
score for the study plans of male and female students was not significantly different.

Keywords: Career certainty, self-information, career counseling, career intervention.",15.0,http://www.cjes.eu/,1480-1494,['Fakultas Keguruan dan Ilmu Pendidikan Universitas Lampung'],TRUE,6.0,Birlesik Dunya Yenilik Arastirma ve yayincilik Merkezi,Cypriot Journal of Educational Sciences,1305-905X 13059076,,,,,,,,,,,,
3,2021-04-15 10:24:43,2021-04-15 10:24:43,815,public,http://repository.lppm.unila.ac.id/id/eprint/29338,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43463', 'main': '125937552.pdf', 'docid': 43463, 'files': [{'datasetid': 'document', 'filesize': 351067, 'mime_type': 'application/pdf', 'fileid': 259967, 'hash': 'fe07e129a12e68b034104d6d58c7288b', 'filename': '125937552.pdf', 'mtime': '2021-04-14 23:54:54', 'hash_type': 'MD5', 'objectid': 43463, 'uri': 'http://repository.lppm.unila.ac.id/id/file/259967'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 29338, 'placement': 1, 'security': 'public'}, {'files': [{'filesize': 2751927, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2021-04-14 23:55:25', 'hash': '7bd8119723a4a99aa6f11dca62e1acab', 'filename': 'Prosiding ICOPE.pdf', 'fileid': 259969, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/259969', 'objectid': 43464}], 'main': 'Prosiding ICOPE.pdf', 'docid': 43464, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43464', 'rev_number': 1, 'pos': 2, 'format': 'text', 'placement': 2, 'security': 'public', 'eprintid': 29338, 'mime_type': 'application/pdf', 'language': 'en'}, {'docid': 43465, 'main': 'Analysis of Mathematical Communication Skills of Junior High School Students Reviewed from Gender and School Origin(1).pdf', 'files': [{'filesize': 1507344, 'datasetid': 'document', 'mtime': '2021-04-14 23:56:00', 'hash_type': 'MD5', 'hash': 'decf3f97f6571a1f1feda0b672109bf0', 'filename': 'Analysis of Mathematical Communication Skills of Junior High School Students Reviewed from Gender and School Origin(1).pdf', 'fileid': 259971, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/259971', 'objectid': 43465}], 'pos': 3, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/43465', 'rev_number': 1, 'eprintid': 29338, 'placement': 3, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",pub,['FKIP2'],book_section,,disk0/00/02/93/38,1970-01-01 00:00:00.000002020,"[{'name': {'lineage': None, 'family': 'Hayati', 'honourific': None, 'given': 'Puji'}, 'id': None}, {'name': {'lineage': None, 'family': 'Sutiarso', 'honourific': None, 'given': 'Sugeng'}, 'id': 'sugeng.sutiarso@fkip.unila.ac.id'}, {'name': {'given': 'Syarifuddin', 'lineage': None, 'honourific': None, 'family': 'Dahlan'}, 'id': 'syarifuddin.d@fkip.unila.ac.id'}]",,['LB'],,archive,2021-04-15 10:24:43,show,10,"Analysis of Mathematical Communication Skills of
Junior High School Students Reviewed from Gender 
and School Origin",published,29338,"This study aims to analyze and describe the
mathematical communication skills of junior high school
students reviewed from gender and school origin. This
reaserch is a qualitative descriptive study, with the subject
of the study being the eighth grade students of Pasir Sakti
State 2 Junior High School, which subject of study eight
students, namely 4 students from State elementary schools
(2 males and 2 females) and 4 students from Private
elementary  schools (2 males and 2 females). The data
collection technique was mathematical communication
skills tests used the data presentation material consisting
two questions. The research data was collected by
researchers directly. Technique of data analysis in this
study are Data Reduction, Data Display, and Conclusions
Drawing/Verification. The results showed: The
mathematical communication skills of junior high school
students overall are (1) The ability of female students
were higher than male students with a difference of
11.11%. (2) The ability of students from public
elementary schools were higher than students from
private elementary schools with a difference of 2.78%. (3)
The ability of students in Drawing aspect were higher
than Written Text aspect, and Mathematical Expression
aspect. 
Keywords: mathematical communication skills, gender,
school origin",422.0,https://www.atlantis-press.com/proceedings/icope-19/sessions/3311,147-151,['Fakultas Keguruan dan Ilmu Pendidikan Universitas Lampung'],TRUE,,Atlantis Press SARL,"Advances in Social Science, Education and Humanities Research",978-94-6252-938-0/ 2352-5398,6.0,"Advances in Social Science, Education and Humanities Research",Proceedings of the International Conference on Progressive Education (ICOPE 2019),978-94-6252-938-0,,,,,,,,
4,2023-01-30 04:34:21,2023-01-30 04:34:21,20,public,http://repository.lppm.unila.ac.id/id/eprint/48162,"[{'files': [{'objectid': 187394, 'uri': 'http://repository.lppm.unila.ac.id/id/file/526453', 'mime_type': 'image/jpeg', 'fileid': 526453, 'filename': 'Karakteristik konselor pada calon konselor berdasarkan perbedaan kelompok gender.jpeg', 'hash': '72e06995f10656b13479858f2b6ae22b', 'hash_type': 'MD5', 'mtime': '2023-01-30 02:42:51', 'datasetid': 'document', 'filesize': 130985}], 'main': 'Karakteristik konselor pada calon konselor berdasarkan perbedaan kelompok gender.jpeg', 'docid': 187394, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187394', 'rev_number': 1, 'format': 'image', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 48162, 'language': 'en', 'mime_type': 'image/jpeg'}]",pub,['FKIP2'],other,,disk0_bak/00/04/81/62,2020-09-01 00:00:00.000000000,"[{'id': 'shinta.mayasari@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Mayasari', 'honourific': None, 'given': 'Shinta'}}]",,['L1'],,archive,2023-01-30 04:34:21,show,7,ARAKTERISTIK KONSELOR PADA CALON KONSELOR BERDASARKAN PERBEDAAN KELOMPOK GENDER,published,48162,"Konselor yang berkualitas akan menentukan keberhasilan proses konseling. Tiga karakteristik yang diperlukan dan menentukan kualitas konselor, yaitu: (1) congruence (otentik), (2) unconditional positive regard (penerimaan), dan (3) empathy (empati). Penelitian ini bertujuan untuk melihat gambaran karakteristik konselor berdasarkan kelompok gender. Sampel penelitian merupakan 68 mahasiswa calon konselor yang dibagi berdasarkan kelompok gender. Alat ukur menggunakan tes karakteristik konselor yang dikembangkan dengan menggunakan pernyataan kontroversial dengan alternatif jawaban skala Likert. Hasil penelitian menemukan ada perbedaan yang signifikan dalam karakteristik konselor pada mahasiswa program studi bimbingan dan konseling berdasarkan perbedaan kelompok gender. Ada perbedaan yang signifikan antara kebutuhan pengembangan program pendidikan dan pelatihan konselor yang efektif bagi mahasiswa laki-laki dan perempuan. Pengembangan karakteristik congruence lebih dibutuhkan untuk mahasiswa laki-laki, sementara mahasiswa perempuan pada karakteristik unconditional positive regard. Jumlah sampel yang lebih besar diperlukan untuk meningkatkan heterogenitas, dan melakukan wawancara tambahan secara individual untuk memperdalam diskusi.


Kata kunci: karakteristik konselor, gender, pengukuran empati, instrumen psikologi.",,http://ejurnalmalahayati.ac.id/index.php/PSIKOLOGI/article/view/3023,,,,,Jurnal Psikologi Malahayati,,,,,,,,,,,,,,
5,2021-06-04 01:37:24,2021-06-04 01:37:24,20,none,http://repository.lppm.unila.ac.id/id/eprint/31991,,pub,['FKIP2'],article,,disk0/00/03/19/91,1970-01-01 00:00:00.000002020,"[{'name': {'lineage': None, 'family': 'Mayasari', 'honourific': None, 'given': 'Shinta'}, 'id': 'shinta.mayasari@fkip.unila.ac.id'}]",,['BF'],,archive,2021-06-04 01:37:24,show,8,COUNSELOR CHARACTERISTIC AMONG CANDIDATED COUNSELOR BASED ON GENDER GROUP DIFFERENCES,published,31991,"A qualified counselor will determine the success of the counseling process. Three characteristics are needed and determine the quality of a counselor, namely: (1) congruence (authentic), (2) unconditional positive regard (acceptance), and (3) empathy (empathy). This study aims to describe the characteristics of counselors based on gender groups. The research sample consisted of 68 prospective counselor students who were divided into gender groups. The measuring instrument uses a counselor characteristic test developed using controversial statements with alternative Likert scale answers. The results of the study found that there were significant differences in the characteristics of counselors among students of the guidance and counseling study program based on differences in gender groups. There is a significant difference between the need to develop educational programs and effective counselor training for male and female students. The development of congruence characteristics is more needed for male students, while female students on the characteristics of unconditional positive regard. A larger sample size is needed to increase heterogeneity, and additional interviews are conducted individually to deepen the discussion.",2.0,http://ejurnalmalahayati.ac.id/index.php/PSIKOLOGI/article/view/3023,,['Universitas Lampung'],TRUE,2.0,Universitas Malahayati,Jurnal Psikologi Malahayati,,,,,,"[{'url': 'http://ejurnalmalahayati.ac.id/index.php/PSIKOLOGI/article/view/3023', 'type': 'pub'}]","[{'name': {'given': 'shinta', 'family': 'mayasari', 'honourific': None, 'lineage': None}}]",,,,,,
6,2023-01-30 10:47:37,2023-01-30 10:47:37,20,public,http://repository.lppm.unila.ac.id/id/eprint/48186,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 48186, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187421', 'format': 'text', 'pos': 1, 'files': [{'hash': '99e0e4fe54e704b607135fb3f7845630', 'filename': 'karakteristik konselor.pdf', 'mtime': '2023-01-30 08:18:05', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 526648, 'filesize': 1543186, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/526648', 'objectid': 187421}], 'docid': 187421, 'main': 'karakteristik konselor.pdf'}]",pub,['FKIP2'],other,,disk0_bak/00/04/81/86,2020-09-01 00:00:00.000000000,"[{'name': {'given': 'Shinta', 'lineage': None, 'honourific': None, 'family': 'Mayasari'}, 'id': 'shinta.mayasari@fkip.unila.ac.id'}]",,['L1'],,archive,2023-01-30 10:47:37,show,7,KARAKTERISTIK KONSELOR PADA CALON KONSELOR BERDASARKAN PERBEDAAN KELOMPOK GENDER,published,48186,"A qualified counselor will determine the success of the counseling process. Three characteristics are needed and determine the quality of a counselor, namely: (1) congruence (authentic), (2) unconditional positive regard (acceptance), and (3) empathy (empathy). This study aims to describe the characteristics of counselors based on gender groups. The research sample consisted of 68 prospective counselor students who were divided into gender groups. The measuring instrument uses a counselor characteristic test developed using controversial statements with alternative Likert scale answers. The results of the study found that there were significant differences in the characteristics of counselors among students of the guidance and counseling study program based on differences in gender groups. There is a significant difference between the need to develop educational programs and effective counselor training for male and female students. The development of congruence characteristics is more needed for male students, while female students on the characteristics of unconditional positive regard. A larger sample size is needed to increase heterogeneity, and additional interviews are conducted individually to deepen the discussion.
Key words: counselor characteristics, gender, measurement of emphaty, psychological instrument.",,http://ejurnalmalahayati.ac.id/index.php/PSIKOLOGI/article/view/3023,,,,,Jurnal Psikologi Malahayati,,,,,,,,,,,,,,
7,2023-02-02 07:51:37,2023-02-02 07:51:37,20,public,http://repository.lppm.unila.ac.id/id/eprint/48262,"[{'main': '3 Karakteristik konselor.pdf', 'docid': 187522, 'files': [{'mime_type': 'application/pdf', 'fileid': 527254, 'filename': '3 Karakteristik konselor.pdf', 'hash': '1ec774a0635aaa71f93c591be6207c7b', 'hash_type': 'MD5', 'mtime': '2023-02-02 03:18:45', 'datasetid': 'document', 'filesize': 1372250, 'objectid': 187522, 'uri': 'http://repository.lppm.unila.ac.id/id/file/527254'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/187522', 'rev_number': 1, 'eprintid': 48262, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",pub,['FKIP2'],other,,disk0_bak/00/04/82/62,1970-01-01 00:00:00.000002020,"[{'name': {'given': 'Shinta', 'lineage': None, 'family': 'Mayasari', 'honourific': None}, 'id': 'shinta.mayasari@fkip.unila.ac.id'}]",,['L1'],,archive,2023-02-02 07:51:37,show,7,KARAKTERISTIK KONSELOR PADA CALON KONSELOR BERDASARKAN PERBEDAAN KELOMPOK GENDER,published,48262,"A qualified counselor will determine the success of the counseling process. Three characteristics are needed and determine the quality of a counselor, namely: (1) congruence (authentic), (2) unconditional positive regard (acceptance), and (3) empathy (empathy). This study aims to describe the characteristics of counselors based on gender groups. The research sample consisted of 68 prospective counselor students who were divided into gender groups. The measuring instrument uses a counselor characteristic test developed using controversial statements with alternative Likert scale answers. The results of the study found that there were significant differences in the characteristics of counselors among students of the guidance and counseling study program based on differences in gender groups. There is a significant difference between the need to develop educational programs and effective counselor training for male and female students. The development of congruence characteristics is more needed for male students, while female students on the characteristics of unconditional positive regard. A larger sample size is needed to increase heterogeneity, and additional interviews are conducted individually to deepen the discussion.",,http://ejurnalmalahayati.ac.id/index.php/PSIKOLOGI/article/view/3023,,,,,Jurnal Psikologi Malahayati,,,,,,,,,http://ejurnalmalahayati.ac.id/index.php/PSIKOLOGI/article/view/3023,,,,,
8,2023-02-03 02:41:01,2023-02-03 02:41:01,20,public,http://repository.lppm.unila.ac.id/id/eprint/48276,"[{'eprintid': 48276, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 187542, 'main': 'korespondensi malahayati.pdf', 'files': [{'datasetid': 'document', 'filesize': 1130998, 'fileid': 527374, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-02-02 13:41:19', 'filename': 'korespondensi malahayati.pdf', 'hash': '8ccb5d591219d8f0046ff4bff5f4cd84', 'objectid': 187542, 'uri': 'http://repository.lppm.unila.ac.id/id/file/527374'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187542'}]",pub,['FKIP2'],other,,disk0_bak/00/04/82/76,1970-01-01 00:00:00.000002020,"[{'name': {'honourific': None, 'family': 'Mayasari', 'lineage': None, 'given': 'Shinta'}, 'id': 'shinta.mayasari@fkip.unila.ac.id'}]",,['L1'],,archive,2023-02-03 02:41:01,show,7,KARAKTERISTIK KONSELOR PADA CALON KONSELOR BERDASARKAN PERBEDAAN KELOMPOK GENDER,published,48276,"A qualified counselor will determine the success of the counseling process. Three characteristics are needed and determine the quality of a counselor, namely: (1) congruence (authentic), (2) unconditional positive regard (acceptance), and (3) empathy (empathy). This study aims to describe the characteristics of counselors based on gender groups. The research sample consisted of 68 prospective counselor students who were divided into gender groups. The measuring instrument uses a counselor characteristic test developed using controversial statements with alternative Likert scale answers. The results of the study found that there were significant differences in the characteristics of counselors among students of the guidance and counseling study program based on differences in gender groups. There is a significant difference between the need to develop educational programs and effective counselor training for male and female students. The development of congruence characteristics is more needed for male students, while female students on the characteristics of unconditional positive regard. A larger sample size is needed to increase heterogeneity, and additional interviews are conducted individually to deepen the discussion.",,http://ejurnalmalahayati.ac.id/index.php/PSIKOLOGI/article/view/3023,,,,,Jurnal Psikologi Malahayati,,,,,,,,,http://ejurnalmalahayati.ac.id/index.php/PSIKOLOGI/article/view/3023,,,,,
9,2021-05-30 15:36:17,2021-05-30 15:36:17,2786,public,http://repository.lppm.unila.ac.id/id/eprint/31391,"[{'placement': 1, 'security': 'public', 'eprintid': 31391, 'content': 'published', 'mime_type': 'text/html', 'language': 'en', 'files': [{'objectid': 141870, 'uri': 'http://repository.lppm.unila.ac.id/id/file/371873', 'fileid': 371873, 'mime_type': 'text/html', 'hash_type': 'MD5', 'mtime': '2021-05-30 12:20:33', 'filename': 110561, 'hash': '9602e092abcd117a5bba8c31c6feb71b', 'datasetid': 'document', 'filesize': 51418}], 'main': 110561, 'docid': 141870, 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/141870', 'pos': 1, 'format': 'text'}]",pub,['FKIP2'],article,https://doi.org/10.24036/0202093110561-0-00,disk0/00/03/13/91,2020-09-30 00:00:00.000000000,"[{'id': 'mujiyati@fkip.unila.ac.id', 'name': {'given': 'Mujiyati', 'family': 'Mujiyati', 'honourific': None, 'lineage': None}}, {'id': 'shinta.mayasari@fkip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Mayasari', 'given': 'Shinta'}}, {'id': 'sofwan@konselor.org', 'name': {'family': 'Adiputra', 'honourific': None, 'lineage': None, 'given': 'Sofwan'}}]",,['L1'],,archive,2021-05-30 15:36:17,show,7,A comparison of accountability models in school counseling programs,published,31391,"The purpose of this study is to analyze the strengths and weaknesses of each accountability evaluation model, in order to make counseling programs easier for counselors to carry out. The method used was qualitative research, which focuses on meanings, definitions, characteristics, symbols and explanations of the concepts learned. The research data was collected through literature reviews and document analysis. In this study, descriptive document analysis methods were also used in data measurement. Descriptive analysis method aims to test the facts and meanings of a research systematically. This model was formed based on different initial goals in the implementation of counseling services. Moreover, Accountability Evaluation Models of School Counseling Program has each of its advantages and disadvantages. The counselor should choose part of the models which is appropriate to the situation and easy to implement in the school, in order for the implementation processes of the institution counseling program to be measured and planned in the future.",9.0,http://ejournal.unp.ac.id/index.php/konselor/article/view/110561,117-124,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Muhammadiyah Pringsewu']",TRUE,3.0,Universitas Negeri Padang,Konselor,2541-5948,,,,,"[{'url': 'http://ejournal.unp.ac.id/index.php/konselor/article/view/110561', 'type': 'pub'}]",,,,,,,
