,rev_number,event_type,metadata_visibility,event_dates,official_url,title,subjects,abstract,eprint_status,status_changed,event_location,date_type,event_title,eprintid,full_text_status,uri,refereed,ispublished,pres_type,documents,datestamp,lastmod,userid,date,dir,creators,divisions,type,volume,related_url,issn,publication,publisher,number,contributors,pagerange,id_number,corp_creators,referencetext,contact_email,keywords,funders
0,7,conference,show,16-17 October 2020,https://eudl.eu/proceedings/ICOPE/2020,"A Meta-Analysis: Utilization of E-Learning Interactive
Media In Improving The Quality of Mathematical 
Learning",['L1'],"E-learning is a learning and knowledge tools which are carried out using computers or other electronic devices. This article is a study of several studies that discuss the use of e-learning interactive media as learning media in improving the quality of mathematics learning. This study uses a Meta-Analysis research design. In this
research the database searching for international journals using semantic scholars and in searching for national journals using the search database google scholar. The studies to be included in the meta-analysis are determined based on 6 criteria and took 12 journal
articles divided by 8 international journals and 4 national journals for sample in this study. Research results state that the use of e-learning media has a good impact on student learning. The benefits of using e-learning media as a learning tool where learning
will become more interesting and can help students absorb the subject matter in more depth so that the quality of mathematics learning can be improved by using e-learning
media.",archive,2021-05-29 00:35:12,University of Lampung,published,International Conference on Progressive Education (ICOPE 2020) dengan tema “Exploring the New Era of Education”,31185,public,http://repository.lppm.unila.ac.id/id/eprint/31185,TRUE,pub,paper,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 31185, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/140929', 'rev_number': 1, 'main': 'eai.16-10-2020.2305190 (1).pdf', 'docid': 140929, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/369759', 'objectid': 140929, 'mtime': '2021-05-28 12:30:55', 'hash_type': 'MD5', 'hash': '5cec571c6d4f79515a6e9a4e408b5e71', 'filename': 'eai.16-10-2020.2305190 (1).pdf', 'fileid': 369759, 'mime_type': 'application/pdf', 'filesize': 146926, 'datasetid': 'document'}]}]",2021-05-29 00:35:12,2021-05-29 00:35:12,548,1970-01-01 00:00:00.000002020,disk0/00/03/11/85,"[{'name': {'honourific': None, 'family': 'Al Farisyi', 'lineage': None, 'given': 'Salman'}, 'id': None}, {'name': {'lineage': None, 'honourific': None, 'family': 'Noer', 'given': 'Sri Hastuti'}, 'id': 'hastuti_noer@yahoo.com'}]",['FKIP22'],conference_item,,,,,,,,,,,,,,
1,6,,show,,http://journal.uin-alauddin.ac.id/index.php/Mapan/article/view/13348/pdf,MATHEMATICAL COMMUNICATION SKILLS BASED ON GENDER,['LB1603'],"This study was aimed to describe the mathematical communication skill of eighthgrade students of SMP IT Insan Mulia of Batanghari based on gender in solving
questions about circle material. The subjects of this study consisted of 21 male and 21 female students. The research method used is descriptive qualitative. The data
collection instrument used in this study is the mathematical communication skill test. The mathematical communication skill test instrument consists of three questions in the form of an essay. The results showed that in general, the mathematical communication skills of male and female students are in a low category. The low ability of students' mathematical communication is due to a weak understanding of concepts, not understanding the usefulness of mathematical symbols, and students' unfamiliarity in working on problems. Male and female students have different mathematical communication skills. Female students have better communication skills than male students in conveying ideas to provide an explanation on each indicator of the mathematical communication skills test.",archive,2021-03-29 08:01:45,,published,,28633,public,http://repository.lppm.unila.ac.id/id/eprint/28633,TRUE,pub,,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/254071', 'objectid': 42692, 'filesize': 909736, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2021-03-28 14:25:31', 'filename': 'JURNAL_7 Sugeng Sutiarso.pdf', 'hash': '9df37b9539c0090ff4d33797392a449e', 'fileid': 254071, 'mime_type': 'application/pdf'}], 'docid': 42692, 'main': 'JURNAL_7 Sugeng Sutiarso.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42692', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 28633, 'mime_type': 'application/pdf', 'language': 'en'}]",2021-03-29 08:01:45,2021-03-29 08:01:45,864,2020-12-01 00:00:00.000000000,disk0/00/02/86/33,"[{'name': {'given': 'Dimas', 'lineage': None, 'honourific': None, 'family': 'Alfarisyi'}, 'id': 'dimas.alfarisyi38@gmail.com'}, {'id': 'sugeng.sutiarso@fkip.unila.ac.id', 'name': {'given': 'Sugeng', 'lineage': None, 'honourific': None, 'family': 'Sutiarso'}}]",['FKIP22'],article,8.0,[{'url': 'http://journal.uin-alauddin.ac.id/index.php/Mapan/article/view/13348/pdf'}],2581-172X,MaPan : Jurnal Matematika dan Pembelajaran,UIN Alauddin Makasar,2.0,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'dimas.alfarisyi38@gmail.com', 'name': {'lineage': None, 'family': 'Alfarisyi', 'honourific': None, 'given': 'Dimas'}}, {'name': {'lineage': None, 'family': 'sutiarso', 'honourific': None, 'given': 'sugeng'}, 'type': 'http://www.loc.gov/loc.terms/relators/THS', 'id': 'sugeng.sutiarso@fkip.unila.ac.id'}]",300-314,,,,,,
2,6,,show,,https://j-cup.org/index.php/cendekia/article/view/343,"PENGEMBANGAN STRATEGI PEMBELAJARAN KONTEKSTUAL
UNTUK MENINGKATKAN KEMAMPUAN REPRESENTASI  
MATEMATIS SISWA",['LB1603'],"This study aims to produce a development product in the form of a contextual learning development design and
learning tools (syllabus, lesson plans, student worksheet, and mathematical representation ability tests) that are valid and practical to improve students' mathematical representation skills. This research is a Research and Development (R&D). The R&D stage starts from research and information-collecting, planning, developing
preliminary of product. This research was conducted at SMP Al-Huda Jatiagung South Lampung in the odd
semester of the 2020/2021 school year. The subjects in this study consisted of 2 experts (design, material, and
media) validation tests, 2 teachers and 5 practitioner test students (responses), and 14 students who tested the
mathematical representation ability test analysis. The research data were obtained from interviews, expert
validation questionnaires, teacher and student practitioner questionnaires, and students' mathematical
representation ability tests. The development of contextual learning and learning tools is valid according to experts, and practical according to teachers and students. The results of expert validation tests on product development get a mean score 85.30% with valid criteria, and the results of the teacher practitioner test of the learning device got a mean score of 82.25% with practical criteria, and the results of the mean score of student assessments on LKPD were 79.80% with practical criteria.",archive,2020-11-16 01:25:40,,published,,25167,public,http://repository.lppm.unila.ac.id/id/eprint/25167,TRUE,pub,,"[{'docid': 38947, 'main': '2020_S3_Cendekia_Anngota21_NOP.pdf', 'files': [{'objectid': 38947, 'uri': 'http://repository.lppm.unila.ac.id/id/file/227645', 'fileid': 227645, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-11-13 14:23:35', 'filename': '2020_S3_Cendekia_Anngota21_NOP.pdf', 'hash': '35a268bd7f1c8c5cb35cbc1031b59e1d', 'datasetid': 'document', 'filesize': 911469}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38947', 'eprintid': 25167, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",2020-11-16 01:25:40,2020-11-16 01:25:40,864,2020-11-01 00:00:00.000000000,disk0/00/02/51/67,"[{'name': {'given': 'Esty Pramitasari', 'lineage': None, 'family': 'Ambarwati', 'honourific': None}, 'id': 'estypramitasari.ambarwati@gmail.com'}, {'id': 'sugeng.sutiarso@fkip.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Sutiarso', 'given': 'Sugeng'}}, {'id': 'hastuti_noer@yahoo.com', 'name': {'given': 'Sri Hastuti', 'lineage': None, 'family': 'Noer', 'honourific': None}}]",['FKIP22'],article,4.0,"[{'url': 'https://j-cup.org/index.php/cendekia/article/view/343', 'type': 'pub'}]",2579-9258,Jurnal Cendekia: Jurnal Pendidikan Matematika,Universitas Pahlawan Tuanku Tambusai,2.0,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'estypramitasari.ambarwati@gmail.com', 'name': {'family': 'Ambarwati', 'honourific': None, 'lineage': None, 'given': 'Esty Pramitasari'}}, {'name': {'given': 'sugeng', 'lineage': None, 'family': 'sutiarso', 'honourific': None}, 'type': 'http://www.loc.gov/loc.terms/relators/THS', 'id': 'sugeng.sutiarso@fkip.unila.ac.id'}, {'name': {'family': 'noer', 'honourific': None, 'lineage': None, 'given': 'sri hastuti'}, 'type': None, 'id': 'hastuti_noer@yahoo.com'}]",1011-1022,,,,,,
3,7,conference,show,16 JANUARI 2020,http://semnaspend.fkip.unila.ac.id/2019/08/14/prosiding/,EFEKTIVITAS MODEL PEMBELAJARAN ALQURUN TERHADAP KEMAMPUAN REPRESENTASI  MATEMATIS SISWA,['L1'],Penelitian eksperimen semu ini bertujuan untuk mengetahui efektivitas pembelajaran Alqurun Teaching Model ditinjau dari kemampuan representasi matematis siswa. Populasi dalam penelitian ini adalah seluruh siswa kelas VIII SMP Negeri 12 Bandarlampung semester ganjil tahun pelajaran 2019/2020 yang terdistribusi dalam 9 kelas yaitu dari kelas VIII A hingga VIII I. Sampel penelitian ini adalah siswa kelas VIII B dan VIII C yang dipilih dengan menggunakan teknik cluster random sampling. Desain penelitian ini adalah posttest only control group design. Data penelitian diperoleh melalui tes kemampuan representasi matematis siswa berbentuk uraian. Berdasarkan analisis data menggunakan uji-t dan uji proporsi dengan,archive,2020-06-02 01:02:29,LAMPUNG,published,SEMINAR NASIONAL PENDIDIKAN FKIP UNILA 2020,21380,public,http://repository.lppm.unila.ac.id/id/eprint/21380,TRUE,pub,paper,"[{'security': 'public', 'placement': 1, 'eprintid': 21380, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'filesize': 319857, 'datasetid': 'document', 'hash': '35413b206ca46e1b36db8eb94f1621d8', 'filename': 'PROSIDING SEMNAS FKIP 2020_Nursella_Widyastuti-compressed.pdf', 'mtime': '2020-06-01 14:02:33', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 198716, 'uri': 'http://repository.lppm.unila.ac.id/id/file/198716', 'objectid': 34779}], 'main': 'PROSIDING SEMNAS FKIP 2020_Nursella_Widyastuti-compressed.pdf', 'docid': 34779, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34779', 'rev_number': 1, 'format': 'text', 'pos': 1}]",2020-06-02 01:02:29,2020-06-02 01:02:29,1140,1970-01-01 00:00:00.000002020,disk0/00/02/13/80,"[{'name': {'honourific': None, 'family': 'Aulia', 'lineage': None, 'given': 'Nur Sella'}, 'id': None}, {'id': 'sugeng.sutiarso@fkip.unila.ac.id', 'name': {'given': 'Sugeng', 'lineage': None, 'honourific': None, 'family': 'Sutiarso'}}, {'name': {'given': 'Widyastuti', 'honourific': None, 'family': 'Widyastuti', 'lineage': None}, 'id': 'widyaa58@gmail.com'}]",['FKIP22'],conference_item,,,,,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",123-131,,,,,,
4,6,,show,,,"Pengaruh Model Pembelajaran Berbasis Masalah Ditinjau Dari
Kemampuan Representasi Matematis Siswa",['L1'],"Pengaruh Model Pembelajaran Berbasis Masalah Ditinjau Dari Kemampuan Representasi Matematis Siswa. Penelitian eksperimen semu ini bertujuan untuk mengetahui pengaruh model pembelajaran berbasis masalah terhadap kemampuan representasi matematis siswa. Populasi penelitian ini adalah seluruh siswa kelas VIII SMP Negeri 9 Bandarlampung tahun pelajaran 2019/2020 sebanyak 244 siswa yang terdistribusi ke dalam 8 kelas. Melalui
teknik cluster random sampling 2 kelas diambil sebagai sampel yaitu kelas VIII H sebanyak 30 siswa dan VIII G sebanyak 30 siswa. Penelitian ini menggunakan the randomized posttest only control design. Analisis data penelitian ini menggunakan uji",archive,2020-06-02 14:12:26,,published,,21532,public,http://repository.lppm.unila.ac.id/id/eprint/21532,TRUE,pub,,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 21532, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34929', 'rev_number': 1, 'docid': 34929, 'main': 'DARYONO.pdf', 'files': [{'objectid': 34929, 'uri': 'http://repository.lppm.unila.ac.id/id/file/199727', 'datasetid': 'document', 'filesize': 306359, 'fileid': 199727, 'mime_type': 'application/pdf', 'mtime': '2020-06-02 14:01:18', 'hash_type': 'MD5', 'hash': '09dc94d70ffbd0ed8f90465805aba950', 'filename': 'DARYONO.pdf'}]}]",2020-06-02 14:12:26,2020-06-02 14:12:26,403,2020-06-02 00:00:00.000000000,disk0/00/02/15/32,"[{'name': {'honourific': None, 'family': 'Daryono', 'lineage': None, 'given': 'Daryono'}, 'id': 'kenncell155@gmail.com'}, {'id': 'hastuti_noer@yahoo.com', 'name': {'honourific': None, 'family': 'Noer', 'lineage': None, 'given': 'Sri Hastuti'}}, {'id': 'pentatito.gunowibowo@fkip.unila.ac.id', 'name': {'family': 'Gunowibowo', 'honourific': None, 'lineage': None, 'given': 'Pentatito'}}]",['FKIP22'],article,,,2715 – 856X,Jurnal Pendidikan Matematika,FKIP Unila,,,,,,,,,
5,6,,show,,https://www.atlantis-press.com/proceedings/icope-19/125937564,The Analysis of Students’ Mathematical Critical Thinking Skills in Terms of Gender,['L1'],"This study aims to analyze the students’ mathematical critical thinking skills in the circle material. The method used in this study is descriptive. The technique of collecting data through a test of critical thinking skills consisting of 2 items of the essay. The research subjects were the VIII grade students’ of SMP Negeri 3 Bandar Lampung, totaling 106 students consisting of 53 male students and 53 female students. The results showed that the percentage of male students' critical thinking skills indicators achievement was better than the female students. The results show that there is a need for innovation that can make learning effective in facilitating the critical thinking skills of male and female students.
 
Keyword: mathematical critical thinking skills",archive,2020-06-08 01:24:12,,published,,22043,public,http://repository.lppm.unila.ac.id/id/eprint/22043,TRUE,pub,,"[{'eprintid': 22043, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 35446, 'main': 'Proceeding2019_Siti Fauziah.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-06-06 09:52:07', 'filename': 'Proceeding2019_Siti Fauziah.pdf', 'hash': '9db0f17f2aff88fdff4a0e7fe5ee5da3', 'fileid': 203238, 'mime_type': 'application/pdf', 'filesize': 566508, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/203238', 'objectid': 35446}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35446'}]",2020-06-08 01:24:12,2020-06-08 01:24:12,55,2020-03-25 00:00:00.000000000,disk0/00/02/20/43,"[{'name': {'honourific': None, 'family': 'Fauziah', 'lineage': None, 'given': 'Siti'}, 'id': 'fauziahsiti972@gmail.com'}, {'id': None, 'name': {'family': 'Caswita', 'honourific': None, 'lineage': None, 'given': 'Caswita'}}]",['FKIP22'],article,422.0,,2352-5398,"Advances in Social Science, Education and Humanities Research (ASSEHR)",Atlantis Press,,,127-131,,,,,,
6,6,,show,,http://jurnal.fkip.unila.ac.id/index.php/MTK/index,Peningkatan Pemahaman Konsep Mahasiswa pada Teori Bahasa dan Automata Melalui Strategi MURDER,['L1'],"This study aims to describe the improvement of student’s conceptual understanding in
Language and Automata theory through MURDER strategy. The population of this study
were students of STMIK Tunas Bangsa in academic year 2019/2020 who studied the
course of Language and Automata theory. Sample randomly choosed from students who
have low mathematical abilities. Data were collected through conceptual understanding
test instrument in essay form. Based on data analyzed using Wilcoxon test at 5%
significant level, it was concluded that MURDER strategy improved student’s conceptual
understanding in low category.",archive,2020-11-17 06:37:34,,published,,25785,public,http://repository.lppm.unila.ac.id/id/eprint/25785,TRUE,pub,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/39573', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'datasetid': 'document', 'filesize': 243660, 'mime_type': 'application/pdf', 'fileid': 232007, 'filename': '20985-49201-1-PB (1).pdf', 'hash': '3c2fdc541dbde963f1edf233c5032681', 'hash_type': 'MD5', 'mtime': '2020-11-17 06:12:58', 'objectid': 39573, 'uri': 'http://repository.lppm.unila.ac.id/id/file/232007'}], 'docid': 39573, 'main': '20985-49201-1-PB (1).pdf', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 25785}]",2020-11-17 06:37:34,2020-11-17 06:37:34,1140,2020-06-30 00:00:00.000000000,disk0/00/02/57/85,"[{'name': {'given': 'Muhammad', 'lineage': None, 'family': 'Ferdiansyah', 'honourific': None}, 'id': 'vei_aja@yahoo.com'}, {'id': 'widyaa58@gmail.com', 'name': {'given': 'Widyastuti', 'honourific': None, 'family': 'Widyastuti', 'lineage': None}}]",['FKIP22'],article,8.0,[{'url': 'http://jurnal.fkip.unila.ac.id/index.php/MTK/article/view/20985/pdf'}],2338-1183,Jurnal Pendidikan Matematika Unila,FKIP Universitas Lampung,2.0,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",100-109,http://dx.doi.org/10.23960/mtk/v8i2.pp100-109,,,,,
7,10,conference,show,26-27 Oktober 2019,https://www.atlantis-press.com/proceedings/icope-19/125937552,Analysis of Mathematical Communication Skills of  Junior High School Students Reviewed from Gender  and School Origin,['LB1603'],"This study aims to analyze and describe the mathematical communication skills of junior high school students reviewed from gender and school origin. This reaserch is a qualitative descriptive study, with the subject of the study being the eighth grade students of Pasir Sakti State 2 Junior High School, which subject of study eight students, namely 4 students from State elementary schools (2 males and 2 females) and 4 students from Private elementary  schools (2 males and 2 females). The data collection technique was mathematical communication skills tests used the data presentation material consisting two questions. The research data was collected by researchers directly. Technique of data analysis in this study are Data Reduction, Data Display, and Conclusions Drawing/Verification. The results showed: The mathematical communication skills of junior high school students overall are (1) The ability of female students were higher than male students with a difference of 11.11%. (2) The ability of students from public elementary schools were higher than students from private elementary schools with a difference of 2.78%. (3) The ability of students in Drawing aspect were higher than Written Text aspect, and Mathematical Expression aspect.",archive,2020-05-18 02:36:27,Hotel bukit Randu Lampung,published,International Conference on Progressive Education (ICOPE 2019) dengan tema “Education in the Era of Industrial Revolution 4.0”,19863,public,http://repository.lppm.unila.ac.id/id/eprint/19863,TRUE,pub,paper,"[{'eprintid': 19863, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'content': 'published', 'main': 'conference puji sugeng.pdf', 'docid': 33166, 'files': [{'filesize': 351067, 'datasetid': 'document', 'mtime': '2020-05-17 07:47:20', 'hash_type': 'MD5', 'hash': 'fe07e129a12e68b034104d6d58c7288b', 'filename': 'conference puji sugeng.pdf', 'fileid': 188012, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/188012', 'objectid': 33166}], 'pos': 1, 'format': 'text', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33166'}]",2020-05-18 02:36:27,2020-05-18 02:36:27,864,2020-03-25 00:00:00.000000000,disk0/00/01/98/63,"[{'id': 'pujihayati99@gmail.com', 'name': {'given': 'Puji', 'lineage': None, 'honourific': None, 'family': 'Hayati'}}, {'name': {'lineage': None, 'family': 'Sutiarso', 'honourific': None, 'given': 'Sugeng'}, 'id': 'sugeng.sutiarso@fkip.unila.ac.id'}, {'id': 'syarif.dahlan@yahoo.co.id', 'name': {'given': 'Syarifuddin', 'lineage': None, 'honourific': None, 'family': 'Dahlan'}}]",['FKIP22'],conference_item,,,,,,,"[{'name': {'given': 'Puji', 'family': 'Hayati', 'honourific': None, 'lineage': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'pujihayati99@gmail.com'}, {'id': 'sugeng.sutiarso@fkip.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Sugeng', 'honourific': None, 'family': 'Sutiarso', 'lineage': None}}, {'name': {'given': 'Syarifuddin', 'lineage': None, 'family': 'Dahlan', 'honourific': None}, 'id': 'syarif.dahlan@yahoo.co.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",147-151,,['Universitas Lampung'],,,,
8,7,conference,show,16 JANUARI 2020,http://semnaspend.fkip.unila.ac.id/2019/08/14/prosiding/,KEMAMPUAN REPRESENTASI MATEMATIS SISWA  DENGAN MENGGUNAKAN MODEL PEMBELAJARAN ALQURUN,['L1'],"Penelitian ini bertujuan untuk mengetahui efektivitas pembelajaran alqurun teaching model ditinjau dari kemampuan representasi matematis siswa. Populasi penelitian ini adalah seluruh siswa kelas VIII SMP Negeri 2 Terusan Nunyai, Kabupaten Lampung Tengah semester ganjil tahun pelajaran 2019/2020 yang terdistribusi dalam 4 kelas. Sampel pada penelitian ini adalah siswa kelas VIIIA dan VIIIB yang dipilih dengan menggunakan teknik cluster random sampling. Desain penelitian ini ialah the randomized posttest-only control group design.  Data penelitian diperoleh melalui tes kemampuan representasi matematis siswa. Dengan menggunakan uji-t dengan α = 0,05 dan uji proporsi. Hasil uji hipotesis menunjukkan peningkatan kemampuan representasi matematis siswa pada kelas alqurun teaching model lebih tinggi daripada siswa pada kelas konvensional, tetapi proporsi siswa dengan kemampuan representasi matematis dengan nilai minimum 72 tidak lebih dari 60% jumlah siswa yang mengikuti alqurun teaching model. Berdasarkan hasil analisis tersebut diperoleh kesimpulan bahwa alqurun teaching model tidak efektif ditinjau dari kemampuan representasi matematis siswa.",archive,2020-06-02 01:02:34,LAMPUNG,published,SEMINAR NASIONAL PENDIDIKAN FKIP UNILA 2020,21381,public,http://repository.lppm.unila.ac.id/id/eprint/21381,TRUE,pub,paper,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/34780', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'hash': 'c1157122777a65c45832c80f238b3386', 'filename': 'PROSIDING SEMNAS FKIP 2020_Ria_Widyastuti-compressed.pdf', 'mtime': '2020-06-01 14:07:16', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 198723, 'filesize': 322151, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/198723', 'objectid': 34780}], 'main': 'PROSIDING SEMNAS FKIP 2020_Ria_Widyastuti-compressed.pdf', 'docid': 34780, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 21381}]",2020-06-02 01:02:34,2020-06-02 01:02:34,1140,1970-01-01 00:00:00.000002020,disk0/00/02/13/81,"[{'id': None, 'name': {'given': 'Ria', 'family': 'Hidayani', 'honourific': None, 'lineage': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Widyastuti', 'given': 'Widyastuti'}, 'id': 'widyaa58@gmail.com'}, {'name': {'lineage': None, 'family': 'Sutiarso', 'honourific': None, 'given': 'Sugeng'}, 'id': 'sugeng.sutiarso@fkip.unila.ac.id'}]",['FKIP22'],conference_item,,,,,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",149-158,,,,,,
9,7,,show,,https://doi.org/10.31004/cendekia.v4i2,"PENGEMBANGAN PBM DENGAN TAHAPAN TPS UNTUK
MENINGKATKAN KEMAMPUAN BERPIKIR REFLEKTIF
MATEMATIS DAN SELF- EFFICACY SISWA",['LB1501'],"This study generally uses the R & D procedure from Borg and Gall (1983: 775) which uses 7 out of 10 stages. Inparticular, the learning design uses the learning design development model according to Branch (2009: 17) withanalysis, design, development, implementation, and evaluation (ADDIE) stages which aim to find out how the
results of PBM model development are, and their effectiveness on the ability to think reflective mathematicallyand student self-efficacy. The subjects of this study were students of class VIII SMPN 20 Bandar Lampung forthe 2019/2020 academic year. The research data were obtained through a mathematical reflective thinking testand a self-efficacy scale. The data analysis technique used the t test and N-gain. The results of this studynamely (1) a preliminary study showed the need to develop problem-based learning that focused on the needsand difficulties in high-order thinking of students facilitated by LKPD. (2) learning development has a validcategory, learning tools that also have a valid category, namely syllabus, lesson plans, and student worksheetwith an average percentage of 80.11%, (3) the practicality and attractiveness of the development has a practical
category with an average percentage 84.8% and interesting category 83.43%, and (4) The results of theeffectiveness test showed that the PBM developed with TPS was effective in improving students' mathematicalreflective thinking skills with an average N-gain of 0.502. PBM developed with the TPS stage shows that it ismore effective than mathematical reflective thinking skills and student self-efficacy with learning that does nouse the developed PBM.",archive,2021-06-03 06:40:07,,published,,31853,public,http://repository.lppm.unila.ac.id/id/eprint/31853,FALSE,pub,,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 31853, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/144252', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/377128', 'objectid': 144252, 'hash': '6aef58905ff6987ee5ffc21a044b4efb', 'filename': '321-indri CK.pdf', 'mtime': '2021-06-03 05:54:05', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 377128, 'filesize': 661693, 'datasetid': 'document'}], 'main': '321-indri CK.pdf', 'docid': 144252}]",2021-06-03 06:40:07,2021-06-03 06:40:07,548,2020-11-02 00:00:00.000000000,disk0/00/03/18/53,"[{'name': {'given': 'Indri Cahya', 'honourific': None, 'family': 'Kusuma', 'lineage': None}, 'id': None}, {'name': {'lineage': None, 'honourific': None, 'family': 'Noer', 'given': 'Sri Hastuti'}, 'id': 'hastuti_noer@yahoo.com'}, {'name': {'given': 'Caswita', 'family': 'Caswita', 'honourific': None, 'lineage': None}, 'id': None}]",['FKIP22'],article,4.0,,2579-9258,Jurnal Cendekia: Jurnal Pendidikan Matematika,Universitas Pahlawan Tuanku Tambusai,2.0,,870-885,,"['Program Pasca Sarjana Pendidikan Matematika, Universitas Lampung', 'Program Pasca Sarjana Pendidikan Matematika, Universitas Lampung', 'Program Pasca Sarjana Pendidikan Matematika, Universitas Lampung']",,,,
