,eprintid,eprint_status,status_changed,subjects,abstract,title,official_url,rev_number,metadata_visibility,place_of_pub,type,divisions,creators,dir,date,corp_creators,userid,lastmod,datestamp,ispublished,publisher,documents,full_text_status,uri,issn,publication,pagerange,refereed,number,contributors,date_type,volume,succeeds,contact_email,isbn,related_url,pages,series,editors,id_number
0,47029,archive,2022-11-30 04:06:57,['LB1501'],"Tujuan penelitian ini adalah untuk memberikan mengetahui pengaruh 
literacy digital terhadap perilaku sosial anak usia dini. Penelitian ini 
diharapkan mampu memberikan kontribusi yang positif dan berbeda 
bagi pembelajaran di pendidikan anak usia dini khususnya pembelajaran 
sosial untuk anak usia dini. Sebuah model pengembangan pembelajaran 
kempauan sosial yang mampu memberikan warna berbeda dalam proses 
pembelajaran sosial secara menyeluruh, menyenangkan dan sesuai 
dengan tahap usia perkembangan anak usia dini yang mengaitkan 
dengan berbagai aspek perkembangan lain. Penelitian ini menggunakan 
pendekatan kuantitatif, dengan desain penelitian regresi sederhana. 
Subyek penelitian ini adalah 23 guru yang memiliki anak usia 4-6 tahun 
untuk mendapatkan gambaran pengaruh literacy digital terhadap 
perilaku sosial anak. Hasil penelitian menunjukan bahwa literasi digital
berpengaruh positif dan signifikan terhadap perilaku sosial anak usia 
dini. Artinya, literasi digital dapat memprediksikan perilaku sosial pada 
anak usia dini. Literasi digital memberikan sumbangan efektif sebesar 
12,7% terhadap perilaku sosial anak usia dini.","Turnitin_PENGARUH DIGITAL LITERASI TERHADAP PERILAKU 
SOSIAL ANAK USIA DINI",https://journalfai.unisla.ac.id/index.php/jce/article/view/1084,7,show,Lamongan,other,['FKIP23'],"[{'name': {'honourific': None, 'family': 'DRUPADI', 'lineage': None, 'given': 'RIZKY DRUPADI'}, 'id': 'rizky.drupadi@fkip.unila.ac.id'}]",disk0/00/04/70/29,2022-09-12 00:00:00.000000000,['Universitas Lampung'],1243,2022-11-30 04:06:57,2022-11-30 04:06:57,pub,Universitas Islam Lamongan,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 47029, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185970', 'docid': 185970, 'main': 'turnitin_literasi.pdf', 'files': [{'fileid': 516875, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-11-29 16:49:13', 'filename': 'turnitin_literasi.pdf', 'hash': '2cd1e2cdf532c300943b71d4d66b20e6', 'datasetid': 'document', 'filesize': 2372404, 'objectid': 185970, 'uri': 'http://repository.lppm.unila.ac.id/id/file/516875'}]}]",public,http://repository.lppm.unila.ac.id/id/eprint/47029,,,,,,,,,,,,,,,,
1,45034,archive,2022-09-20 04:01:39,"['L1', 'LB1501']","Tujuan penelitian ini adalah untuk memberikan mengetahui pengaruh 
literacy digital terhadap perilaku sosial anak usia dini. Penelitian ini 
diharapkan mampu memberikan kontribusi yang positif dan berbeda 
bagi pembelajaran di pendidikan anak usia dini khususnya pembelajaran 
sosial untuk anak usia dini. Sebuah model pengembangan pembelajaran 
kempauan sosial yang mampu memberikan warna berbeda dalam proses 
pembelajaran sosial secara menyeluruh, menyenangkan dan sesuai 
dengan tahap usia perkembangan anak usia dini yang mengaitkan 
dengan berbagai aspek perkembangan lain. Penelitian ini menggunakan 
pendekatan kuantitatif, dengan desain penelitian regresi sederhana. 
Subyek penelitian ini adalah 23 guru yang memiliki anak usia 4-6 tahun 
untuk mendapatkan gambaran pengaruh literacy digital terhadap 
perilaku sosial anak. Hasil penelitian menunjukan bahwa literasi digital
berpengaruh positif dan signifikan terhadap perilaku sosial anak usia 
dini. Artinya, literasi digital dapat memprediksikan perilaku sosial pada 
anak usia dini. Literasi digital memberikan sumbangan efektif sebesar 
12,7% terhadap perilaku sosial anak usia dini.","PENGARUH DIGITAL LITERASI TERHADAP PERILAKU 
SOSIAL ANAK USIA DINI",http://journalfai.unisla.ac.id/index.php/JCE,8,show,,article,['FKIP23'],"[{'id': 'rizky.drupadi@fkip.unila.ac.id', 'name': {'family': 'DRUPADI', 'honourific': None, 'lineage': None, 'given': 'RIZKY DRUPADI'}}, {'name': {'lineage': None, 'family': 'Nawangsasi', 'honourific': None, 'given': 'Devi'}, 'id': 'devinawangsasi@gmail.com'}, {'name': {'given': 'Nia', 'honourific': None, 'family': 'Fatmawati', 'lineage': None}, 'id': 'fatmawati_nia@fkip.unila.ac.id'}, {'name': {'given': 'Sugiana', 'honourific': None, 'family': 'Sugiana', 'lineage': None}, 'id': 'sugiana@fkip.unila.ac.id'}]",disk0/00/04/50/34,2022-09-01 00:00:00.000000000,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",1243,2022-09-20 04:01:39,2022-09-20 04:01:39,pub,Universitas Islam Lamongan,"[{'eprintid': 45034, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': '1084-2459-1-PB.pdf', 'docid': 166953, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/485465', 'objectid': 166953, 'mtime': '2022-09-20 02:27:26', 'hash_type': 'MD5', 'filename': '1084-2459-1-PB.pdf', 'hash': '42ae55fd36e85b204a3a8254304825be', 'fileid': 485465, 'mime_type': 'application/pdf', 'filesize': 238754, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166953', 'rev_number': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/45034,2620-3278,JCE (Journal of Childhood Education),249-265,TRUE,2.0,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],published,6.0,,,,,,,,
2,47011,archive,2022-11-30 04:03:15,['LB1501'],"Tujuan penelitian ini adalah untuk memberikan mengetahui pengaruh 
literacy digital terhadap perilaku sosial anak usia dini. Penelitian ini 
diharapkan mampu memberikan kontribusi yang positif dan berbeda 
bagi pembelajaran di pendidikan anak usia dini khususnya pembelajaran 
sosial untuk anak usia dini. Sebuah model pengembangan pembelajaran 
kempauan sosial yang mampu memberikan warna berbeda dalam proses 
pembelajaran sosial secara menyeluruh, menyenangkan dan sesuai 
dengan tahap usia perkembangan anak usia dini yang mengaitkan 
dengan berbagai aspek perkembangan lain. Penelitian ini menggunakan 
pendekatan kuantitatif, dengan desain penelitian regresi sederhana. 
Subyek penelitian ini adalah 23 guru yang memiliki anak usia 4-6 tahun 
untuk mendapatkan gambaran pengaruh literacy digital terhadap 
perilaku sosial anak. Hasil penelitian menunjukan bahwa literasi digital
berpengaruh positif dan signifikan terhadap perilaku sosial anak usia 
dini. Artinya, literasi digital dapat memprediksikan perilaku sosial pada 
anak usia dini. Literasi digital memberikan sumbangan efektif sebesar 
12,7% terhadap perilaku sosial anak usia dini","Reviewer_PENGARUH DIGITAL LITERASI TERHADAP PERILAKU 
SOSIAL ANAK USIA DINI",https://journalfai.unisla.ac.id/index.php/jce/article/view/1084,8,show,Lamongan,other,['FKIP23'],"[{'name': {'given': 'RIZKY DRUPADI', 'lineage': None, 'family': 'DRUPADI', 'honourific': None}, 'id': 'rizky.drupadi@fkip.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Nawangsasi', 'honourific': None, 'given': 'Devi'}, 'id': 'devinawangsasi@gmail.com'}, {'id': 'fatmawati_nia@fkip.unila.ac.id', 'name': {'family': 'Fatmawati', 'honourific': None, 'lineage': None, 'given': 'Nia'}}, {'id': 'sugiana@fkip.unila.ac.id', 'name': {'given': 'Sugiana', 'lineage': None, 'honourific': None, 'family': 'Sugiana'}}]",disk0/00/04/70/11,2022-09-12 00:00:00.000000000,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",1243,2022-11-30 04:03:15,2022-11-30 04:03:15,pub,Universitas Islam Lamongan,"[{'docid': 185953, 'main': 'Literasi digital gabung final_reviewer.pdf', 'files': [{'datasetid': 'document', 'filesize': 683856, 'mime_type': 'application/pdf', 'fileid': 516763, 'hash': '7e09804972fb671a34fb7d5ceba11a82', 'filename': 'Literasi digital gabung final_reviewer.pdf', 'hash_type': 'MD5', 'mtime': '2022-11-29 13:23:29', 'objectid': 185953, 'uri': 'http://repository.lppm.unila.ac.id/id/file/516763'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185953', 'eprintid': 47011, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/47011,,,,,,,published,,,,,,,,,
3,47006,archive,2022-11-30 04:02:09,['LB1501'],"Tujuan penelitian ini adalah untuk memberikan mengetahui pengaruh 
literacy digital terhadap perilaku sosial anak usia dini. Penelitian ini 
diharapkan mampu memberikan kontribusi yang positif dan berbeda 
bagi pembelajaran di pendidikan anak usia dini khususnya pembelajaran 
sosial untuk anak usia dini. Sebuah model pengembangan pembelajaran 
kempauan sosial yang mampu memberikan warna berbeda dalam proses 
pembelajaran sosial secara menyeluruh, menyenangkan dan sesuai 
dengan tahap usia perkembangan anak usia dini yang mengaitkan 
dengan berbagai aspek perkembangan lain. Penelitian ini menggunakan 
pendekatan kuantitatif, dengan desain penelitian regresi sederhana. 
Subyek penelitian ini adalah 23 guru yang memiliki anak usia 4-6 tahun 
untuk mendapatkan gambaran pengaruh literacy digital terhadap 
perilaku sosial anak. Hasil penelitian menunjukan bahwa literasi digital
berpengaruh positif dan signifikan terhadap perilaku sosial anak usia 
dini. Artinya, literasi digital dapat memprediksikan perilaku sosial pada 
anak usia dini. Literasi digital memberikan sumbangan efektif sebesar 
12,7% terhadap perilaku sosial anak usia dini.","reviewer_PENGARUH DIGITAL LITERASI TERHADAP PERILAKU 
SOSIAL ANAK USIA DINI",https://journalfai.unisla.ac.id/index.php/jce/article/view/1084,5,show,Lamongan,other,['FKIP23'],"[{'name': {'family': 'DRUPADI', 'honourific': None, 'lineage': None, 'given': 'RIZKY DRUPADI'}, 'id': 'rizky.drupadi@fkip.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Nawangsasi', 'honourific': None, 'given': 'Devi'}, 'id': 'devinawangsasi@gmail.com'}, {'id': 'fatmawati_nia@fkip.unila.ac.id', 'name': {'given': 'Nia', 'family': 'Fatmawati', 'honourific': None, 'lineage': None}}, {'id': 'sugiana@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Sugiana', 'lineage': None, 'given': 'Sugiana'}}]",disk0/00/04/70/06,2022-09-12 00:00:00.000000000,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",1243,2022-11-30 04:02:09,2022-11-30 04:02:09,pub,Universitas Islam Lamongan,"[{'files': [{'datasetid': 'document', 'filesize': 683856, 'mime_type': 'application/pdf', 'fileid': 516739, 'hash': '7e09804972fb671a34fb7d5ceba11a82', 'filename': 'Literasi digital gabung final_reviewer.pdf', 'mtime': '2022-11-29 13:08:55', 'hash_type': 'MD5', 'objectid': 185948, 'uri': 'http://repository.lppm.unila.ac.id/id/file/516739'}], 'main': 'Literasi digital gabung final_reviewer.pdf', 'docid': 185948, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185948', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 47006, 'language': 'en', 'mime_type': 'application/pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/47006,,,,,,,published,,47000.0,,,,,,,
4,46958,archive,2023-01-12 09:21:58,['L1'],"This research was motivated by necessary to analyze the extent which the perspectives of teachers and parents on 
learning mathematics in the first grade of elementary school during school from home at the covid-19 pandemic. The purpose of the study to see the process of implementing mathematics learning during the pandemic-19 period and to explore deeper information about respondents' perspectives on learning mathematics during school from home. The subjects in this study are the teachers and parents of early students at the State Elementary School 10 Metro Timur, Metro City, Lampung. The method used in this research is descriptive qualitative. Data obtained through observation and interviews. Based on the results of the study, information was obtained that teachers and parents had clashes in interpreting and implementing mathematics learning in lower classes during school from home. In addition, various obstacles experienced by teachers and parents were also found in the implementation of mathematics learning for children in early grades during School From Home.",Perspectives of Teachers and Parents on Mathematics Learning in Early Grades Student During School From Home,https://kalaharijournals.com/ijme-vol7-issue-jan2022part2.php,10,show,,article,['FKIP23'],"[{'name': {'given': 'Nia', 'honourific': None, 'family': 'Fatmawati', 'lineage': None}, 'id': 'fatmawati_nia@fkip.unila.ac.id'}, {'name': {'family': 'Herman', 'honourific': None, 'lineage': None, 'given': 'Tatang'}, 'id': 'tatangherman@upi.edu'}, {'id': 'kisno@metrouniv.ac.id', 'name': {'given': 'Kisno', 'honourific': None, 'family': 'Kisno', 'lineage': None}}]",disk0/00/04/69/58,2022-01-01 00:00:00.000000000,,1171,2023-01-12 09:21:58,2023-01-12 09:21:58,pub,Kalahari Journal,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/185896', 'rev_number': 2, 'formatdesc': 'Artikel_Perspectives of Teachers and Parents on Mathematics Learning in Early Grades Student During School From Home', 'pos': 1, 'format': 'text', 'files': [{'filename': 'IJME_Vol7.1_630.pdf', 'hash': 'ed9f5dfc962972d6e763691e7200b416', 'mtime': '2022-11-27 21:23:28', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 516288, 'filesize': 252778, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/516288', 'objectid': 185896}], 'main': 'IJME_Vol7.1_630.pdf', 'docid': 185896, 'content': 'published', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 46958}]",public,http://repository.lppm.unila.ac.id/id/eprint/46958,0974-5823,International Journal of Mechanical Engineering,6224-6229,TRUE,14.0,,published,7.0,,,,,,,,
5,42989,archive,2022-07-06 07:41:07,"['L1', 'LB1501', 'LC5201']",,"Syarat2 tambahan Revisi Usul Guru Besar an,. Dr. Een Yayah Haenila",,5,show,,other,['FKIP23'],"[{'name': {'given': 'Een Yayah', 'family': 'Haenilah', 'honourific': None, 'lineage': None}, 'id': 'eenhaenilah@gmail.com'}]",disk0/00/04/29/89,2022-06-06 00:00:00.000000000,,1020,2022-07-06 07:41:07,2022-07-06 07:41:07,unpub,FKIP Universitas Lampung,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 42989, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164809', 'rev_number': 3, 'main': 'Bukti Koresponding Author _ Literature Review of Good Teachers The Attributes and Gaps of Indonesian Teachers as a Profession.pdf', 'docid': 164809, 'files': [{'objectid': 164809, 'uri': 'http://repository.lppm.unila.ac.id/id/file/470620', 'fileid': 470620, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-06-22 09:19:03', 'hash': 'e19cdc2b6d96647cf06192e05795e92c', 'filename': 'Bukti Koresponding Author _ Literature Review of Good Teachers The Attributes and Gaps of Indonesian Teachers as a Profession.pdf', 'datasetid': 'document', 'filesize': 618113}]}, {'eprintid': 42989, 'placement': 2, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': 'SURAT Pengantar usul GB_EEN YH.pdf', 'docid': 164810, 'files': [{'filename': 'SURAT Pengantar usul GB_EEN YH.pdf', 'hash': 'b9b6dc3c209463f5e90033aa7a6a3047', 'mtime': '2022-07-06 02:29:09', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 470621, 'filesize': 283294, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/470621', 'objectid': 164810}], 'pos': 2, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/164810', 'rev_number': 2}, {'eprintid': 42989, 'security': 'public', 'placement': 4, 'mime_type': 'application/pdf', 'language': 'en', 'main': 'Surat Penolakan.pdf', 'docid': 164811, 'files': [{'datasetid': 'document', 'filesize': 406635, 'fileid': 470622, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-07-06 02:29:18', 'filename': 'Surat Penolakan.pdf', 'hash': 'f9a8723e95bfb2c2892d7ac49fd2112b', 'objectid': 164811, 'uri': 'http://repository.lppm.unila.ac.id/id/file/470622'}], 'format': 'text', 'pos': 4, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164811', 'rev_number': 2}, {'pos': 5, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164812', 'docid': 164812, 'main': 'Surat Klarifikasi.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/470626', 'objectid': 164812, 'filesize': 645804, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2022-07-06 03:49:39', 'hash': 'dbb2e3e064ab7700f9775b464c0c9be2', 'filename': 'Surat Klarifikasi.pdf', 'fileid': 470626, 'mime_type': 'application/pdf'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 42989, 'placement': 5, 'security': 'public'}]",public,http://repository.lppm.unila.ac.id/id/eprint/42989,,,,,,,,,42984.0,,,,,,,
6,40024,archive,2022-03-09 06:41:52,['L1'],,Literature Review of Good Teachers: The Attributes and Gaps of Indonesian Teachers as a Profession,https://www.richtmann.org/journal/index.php/ajis/article/view/12877,6,show,,article,['FKIP23'],"[{'id': 'eenhaenilah@gmail.com', 'name': {'given': 'Een Yayah', 'lineage': None, 'honourific': None, 'family': 'Haenilah'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Hariri', 'given': 'Hasan'}, 'id': 'hasan.hariri@staff.unila.ac.id'}, {'name': {'given': 'Ridwan', 'honourific': None, 'family': 'Ridwan', 'lineage': None}, 'id': None}, {'id': None, 'name': {'family': 'Ochayi', 'honourific': None, 'lineage': None, 'given': 'Onojah Amos'}}, {'name': {'given': 'Albet', 'lineage': None, 'honourific': None, 'family': 'Maydiantoro'}, 'id': 'albet.maydiantoro@fkip.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Zainaro', 'honourific': None, 'given': 'M. Arifki'}, 'id': None}, {'name': {'honourific': None, 'family': 'Bolado', 'lineage': None, 'given': 'John Rainer T.'}, 'id': None}, {'id': None, 'name': {'honourific': None, 'family': 'Kesuma', 'lineage': None, 'given': 'Tubagus Ali Rachman Puja'}}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Tusianah', 'given': 'Rias'}}, {'id': None, 'name': {'honourific': None, 'family': 'Isnainy', 'lineage': None, 'given': 'Usastiawaty C.A.S.'}}]",disk0/00/04/00/24,2022-03-01 00:00:00.000000000,,1020,2022-03-09 06:41:52,2022-03-09 06:41:52,pub,richtmann,"[{'eprintid': 40024, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 161314, 'main': '12877-Article Text-45617-1-10-20220305 cover + isi .pdf', 'files': [{'filename': '12877-Article Text-45617-1-10-20220305 cover + isi .pdf', 'hash': '661d8fb422d142ef7379b38d482ea57a', 'mtime': '2022-03-09 02:28:40', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 447792, 'filesize': 1568354, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/447792', 'objectid': 161314}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/161314', 'rev_number': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/40024,E-ISSN: 2281-4612 /ISSN:2281-3993,Academic Journal of Interdisciplinary Studies,175-191,TRUE,2.0,,,11.0,,eenhaenilah@gmail.com,,,,,,
7,43840,archive,2022-08-03 01:21:53,['L1'],"Masalah dalam penelitian ini yaitu sikap anak yang menunjukkan masih mementingkan 
dirinya sendiri. Penelitian ini bertujuan untuk menganalisis hubungan kelekatan antara kelekatan ibu 
dengan kecerdasan sosial emosional anak usia 5 – 6 tahun. Penelitian ini menggunakan jenis 
penelitian kuantitatif dengan metode korelasional. Sampel penelitian diambil menggunakan teknik 
random sampling atau teknik acak sebanyak 130 responden di Taman Kanak – kanak (TK) 
Kecamatan Kalianda Kabupaten Lampung Selatan Provinsi Lampung. Teknik pengumpulan data 
yang digunakan yaitu angke. Analisis data yang digunakan yaitu analisis korelasi Product Moment. 
Hasil Penelitian menunjukkan adanya korelasi sebesar 0,762 yang artinya terdapat hubungan yang 
kuat antara kelekatan ibu dengan kecerdasan sosial emosional anak usia 5 – 6 tahun.","Pentingnya Kelekatan Ibu dalam Membangun Kecerdasan Sosial 
Emosional Anak Usia 5 – 6 Tahun",http://jurnal.fkip.unila.ac.id/index.php/PAUD/article/view/23743,9,show,,article,['FKIP23'],"[{'id': None, 'name': {'given': 'Vivi', 'lineage': None, 'family': 'Irzalinda', 'honourific': None}}, {'id': 'arisofia76@gmail.com', 'name': {'honourific': None, 'family': 'Sofia', 'lineage': None, 'given': 'Ari'}}, {'name': {'given': 'Ayu Lestari', 'lineage': None, 'family': 'Erika', 'honourific': None}, 'id': None}]",disk0/00/04/38/40,2022-04-01 00:00:00.000000000,,35,2022-08-03 01:21:53,2022-08-03 01:21:53,pub,Program Studi PGPAUD Unila,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165798', 'main': 'Jurnal Pendidikan Anak Vol. 8 No. 1 April Tahun 2022 sinta 4.pdf', 'docid': 165798, 'files': [{'objectid': 165798, 'uri': 'http://repository.lppm.unila.ac.id/id/file/477457', 'mime_type': 'application/pdf', 'fileid': 477457, 'hash': '0394d2aeedc6bb986ebb34a37b1028ad', 'filename': 'Jurnal Pendidikan Anak Vol. 8 No. 1 April Tahun 2022 sinta 4.pdf', 'hash_type': 'MD5', 'mtime': '2022-08-02 15:48:53', 'datasetid': 'document', 'filesize': 287410}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 43840, 'placement': 1, 'security': 'public'}]",public,http://repository.lppm.unila.ac.id/id/eprint/43840,2580-9504,Jurnal Pendidikan Anak,,TRUE,1.0,,,8.0,,,,,,,,
8,41947,archive,2022-05-30 01:45:27,['L1'],"Penelitian ini bertujuan untuk mendeskripsikan pengetahuan guru PAUD tentang metode bercakap- cakap pada pembelajaran di PAUD. Populasi penelitian ini, yaitu seluruh guru TK di Kecamatan
Labuhan Ratu dengan jumlah gurusebanyak 94 guru, sampel penelitian dihitung menggunakan rumus
Slovin dengan hasil 48 guru, kemudian peneliti menggunakan teknik sampling area, sebagai teknik
pengambilan sampel. Sebanyak 48 guru perwakilan dari masing-masing kelurahan yang ada di
Kecamatan Labuhan Ratu, seperti Kelurahan Labuhan Ratu, Kelurahan Labuhan Ratu Raya,
Kelurahan Kampung Baru, Kelurahan Kampung Baru Raya, Kelurahan Kota Sepang dan Kelurahan
Sepang Jaya. Teknik pengumpulan data yang digunakan yaitu berupa tes dan dokumen. Sedangkan
analisis data yang digunakan yaitu analisis deskriptif. Hasil penelitian menunjukkan bahwa sebanyak
34% guru berada pada tingkatan sangat paham, 39% guru berada pada tingakatan paham, 18% guru
kurang paham dan 9% guru yang tidak paham metode bercakap-cakap. Data hasil penelitian ini,
dapat digunakan oleh Pemerintah, khususnya dalam bidang pendidikan, sebagai bahan evaluasi
mengenai penerapan metode pembelajaran di sekolah.",Pengetahuan Guru Pendidikan Anak Usia Dini tentang Metode Bercakap-Cakap pada Pembelajaran di PAUD,http://ejournal.uin-suska.ac.id/index.php/KINDERGARTEN,7,show,,article,['FKIP23'],"[{'name': {'lineage': None, 'honourific': None, 'family': 'Mohammad', 'given': 'Thobi'}, 'id': None}, {'id': None, 'name': {'given': 'Rini', 'lineage': None, 'honourific': None, 'family': 'Riswanti'}}, {'name': {'honourific': None, 'family': 'ULWAN SYAFARUDIN', 'lineage': None, 'given': 'Ulwan'}, 'id': 'ulwansyafrudin23@gmail.com'}, {'id': 'arisofia76@gmail.com', 'name': {'given': 'Ari', 'family': 'Sofia', 'honourific': None, 'lineage': None}}, {'id': None, 'name': {'family': 'Rizky', 'honourific': None, 'lineage': None, 'given': 'Drupadi'}}]",disk0/00/04/19/47,2022-04-01 00:00:00.000000000,,35,2022-05-30 01:45:27,2022-05-30 01:45:27,pub,PS PIAUD FKIP UIN Suska Riau,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/163627', 'rev_number': 1, 'main': 'KINDERGARTEN_Vol. 5, No.2 April 2022.pdf', 'docid': 163627, 'files': [{'fileid': 462774, 'mime_type': 'application/pdf', 'mtime': '2022-05-28 02:38:27', 'hash_type': 'MD5', 'filename': 'KINDERGARTEN_Vol. 5, No.2 April 2022.pdf', 'hash': '64c2846382123ce3ce2e24a4a2a23573', 'datasetid': 'document', 'filesize': 234202, 'objectid': 163627, 'uri': 'http://repository.lppm.unila.ac.id/id/file/462774'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 41947, 'placement': 1, 'security': 'public'}]",public,http://repository.lppm.unila.ac.id/id/eprint/41947,2621-0770,KINDERGARTEN (journal of islamic early childhood)                                             education),145-155,TRUE,1.0,,,5.0,,,,,,,,
9,50333,archive,2023-04-12 07:40:19,['L1'],-,Kreativitas Tanpa Batas dengan STEAM dan LOOSE PARTS,,9,show,Cianjur Bandung,book,['FKIP23'],"[{'name': {'given': 'Devi', 'lineage': None, 'family': 'Nawangsasi', 'honourific': None}, 'id': 'devinawangsasi@gmail.com'}]",disk0_bak/00/05/03/33,2022-12-01 00:00:00.000000000,['CV Mulya Bookstore'],19931,2023-04-12 07:40:19,2023-04-12 07:40:19,pub,CV Mulya Bookstore,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190032', 'pos': 1, 'format': 'text', 'files': [{'objectid': 190032, 'uri': 'http://repository.lppm.unila.ac.id/id/file/543512', 'datasetid': 'document', 'filesize': 390436, 'mime_type': 'application/pdf', 'fileid': 543512, 'hash': '3c4842d99c9ca832bd8e3a5d3937465d', 'filename': 'Buku Devi.pdf', 'mtime': '2023-04-11 19:28:04', 'hash_type': 'MD5'}], 'main': 'Buku Devi.pdf', 'docid': 190032, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 50333}]",public,http://repository.lppm.unila.ac.id/id/eprint/50333,,,,TRUE,1.0,"[{'type': 'http://www.loc.gov/loc.terms/relators/BKP', 'id': 'devinawangsasi@gmail.com', 'name': {'given': 'Devi', 'honourific': None, 'family': 'Nawangsasi', 'lineage': None}}]",published,1.0,,,978-623-6953-99-0,[{'type': 'pub'}],112.0,Kreativitas Tanpa Batas dengan STEAM  dan LOOSE PARTS,"[{'name': {'honourific': None, 'family': 'Andari', 'lineage': None, 'given': 'An An'}}]",
