,documents,refereed,full_text_status,uri,userid,pagerange,issn,creators,publication,dir,title,metadata_visibility,volume,rev_number,related_url,status_changed,publisher,number,ispublished,contributors,lastmod,corp_creators,datestamp,date,type,divisions,official_url,eprint_status,abstract,subjects,eprintid,date_type,id_number,patent_applicant
0,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/138288', 'objectid': 29255, 'mtime': '2019-11-12 10:28:06', 'hash_type': 'MD5', 'filename': '4419-11809-1-PB (1).pdf', 'hash': 'a0436bcf13d5453409fddb6d1c16c02b', 'fileid': 138288, 'mime_type': 'application/pdf', 'filesize': 730684, 'datasetid': 'document'}], 'main': '4419-11809-1-PB (1).pdf', 'docid': 29255, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29255', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 16158, 'mime_type': 'application/pdf', 'language': 'en'}]",TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/16158,1246,221-240,2052-2857,"[{'id': 'febrianakhoiriah@gmail', 'name': {'lineage': None, 'honourific': None, 'family': 'Febriana Khoiriyah', 'given': 'Febriana Khoiriyah'}}, {'id': 'ardianfahri156@gmail', 'name': {'given': 'Ardian Fahri', 'lineage': None, 'family': 'Ardian Fahri', 'honourific': None}}, {'id': 'bimobramantio47@gmail.com', 'name': {'given': 'Bimo Bramantio', 'honourific': None, 'family': 'Bimo Bramantio', 'lineage': None}}, {'name': {'lineage': None, 'family': 'Sumargono', 'honourific': None, 'given': 'Sumargono'}, 'id': 'sumargono.1988@fkip.unila.ac.id'}]","Jurnal Sejarah dan Pembelajarannya ""Agastya""",disk0/00/01/61/58,Sejarah Toponimi Daerah Transmigrasi Provinsi Lampung Melalui Tuturan Tradisi Lisan,show,9,24,"[{'type': 'author', 'url': 'http://e-journal.unipma.ac.id/index.php/JA/article/view/4419/2255'}]",2019-11-14 10:14:59,Program Studi Pendidikan Sejarah Fakultas Keguruan dan Ilmu Pendidikan Universitas PGRI Madiun,2,pub,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Febriana Khoiriyah', 'given': 'Febriana Khoiriyah'}, 'id': 'febrianakhoiriah@gmail', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'name': {'given': 'Ardian Fahri', 'lineage': None, 'family': 'Ardian Fahri', 'honourific': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'ardianfahri156@gmail'}, {'id': 'bimobramantio47@gmail.com', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'lineage': None, 'honourific': None, 'family': 'Bimo Bramantio', 'given': 'Bimo Bramantio'}}, {'name': {'lineage': None, 'family': 'Sumargono', 'honourific': None, 'given': 'Sumargono'}, 'id': 'sumargono.1988@fkip.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",2019-11-14 10:14:59,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",2019-11-14 10:14:59,1970-01-01 00:00:00.000002019,article,['FKIP24'],http://e-journal.unipma.ac.id/index.php/JA/article/view/4419/2255,archive,"Program transmigrasi di Provinsi Lampung membawa pengaruh dalam penamaan tempat di wilayah transmigrasi Lampung. Penelitian ini bertujuan untuk mengetahui sejarah penamaan daerah transmigrasi di Provinsi Lampung yang masih menggunakan unsur nama daerah asal transmigran/memiliki kesamaan dengan nama tempat di luar Provinsi Lampung. Adapun hal yang teramati adalah Sejarah asal-usul dan makna toponimi (penamaan) desadesa transmigrasi di Lampung masih menggunakan nama daerah asal transmigran terdahulu yang diwariskan melalui tuturan tradisi lisan antar generasi. Penelitian ini menggunakan metode penelitian historis pendekatan kualitatif. Tahapan penelitian ini: (1). Heuristik. (2). Kritik eksternal dan internal. (3). Interpretasi. (4). Historiografi. Teknik pengumpulan data dengan Kepustakaan, Wawancara, dan Observasi. Teknik sampel menggunakan pusposive sampling dengan kuesioner yang sudah diuji menggunakan triangulasi sumber (observasi, wawancara, dan dokumen). Hasil penelitian menunjukkan bahwa pengambilan toponimi wilayah transmigrasi di provinsi Lampung mayoritas menggunakan nama daerah asal transmigran yang memiliki makna dan nilai-nilai sejarah. Desa-desa yang termasuk dalam hasil penelitian, yaitu Pekon Sukamulya: kebahagiaan yang membawa kemuliaan, Desa Bandung Baru: genangan air yang luas di tempat baru, Desa Siliwangi: pengganti prabu Siliwangi di Kabupaten Pringsewu. Desa Margorejo: jalan kemakmuran, Desa Sidodadi: Bisa menjadi desa yang maju di Kabupaten Lampung Selatan. Desa Wonosari: Inti Hutan, Desa Totoharjo; Ketentraman Kabupaten Lampung Timur. Desa Tatakarya: tertata rapi, Dusun Wonogiri: hutan di gunung Kabupaten Lampung Utara. Kampung Badransari: keindahan yang sejati, Kampung Tanggulangin: penghalang angin Kabupaten Lampung Tengah. Desa Rantau Tijang Ciparai: genangan air yang banyak ikan Parainya Kabupaten Tanggamus. Kampung Tanjungrejo: pusat ketentraman Kabupaten Waykanan. Kata Kunci: Sejarah, Toponimi, Transmigrasi, Lampung",['LA'],16158,published,,
1,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/140758', 'objectid': 29568, 'hash_type': 'MD5', 'mtime': '2019-11-14 19:20:13', 'filename': '7572-22730-1-PB (1).pdf', 'hash': '2199f3d788b93601c30464ca1d51dcf4', 'fileid': 140758, 'mime_type': 'application/pdf', 'filesize': 911922, 'datasetid': 'document'}], 'docid': 29568, 'main': '7572-22730-1-PB (1).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/29568', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 16482, 'mime_type': 'application/pdf', 'language': 'en'}]",TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/16482,582,74-83,1979-9993,"[{'name': {'given': 'Susanto', 'lineage': None, 'family': 'Henry', 'honourific': None}, 'id': 'henry.susanto@fkip.unila.ac.id'}]",ANALISIS KEPEMIMPINAN SISWA DALAM PENERAPAN MEDIA PERMAINAN MONOPOLI DAN SIMULASI PADA PEMBELAJARAN SEJARAH,disk0/00/01/64/82,ANALISIS KEPEMIMPINAN SISWA DALAM PENERAPAN MEDIA PERMAINAN MONOPOLI DAN SIMULASI PADA PEMBELAJARAN SEJARAH,show,13,6,"[{'url': 'http://journal2.um.ac.id/index.php/sejarah-dan-budaya/index.', 'type': 'pub'}]",2019-11-15 02:35:24,"Sejarah dan Budaya : Jurnal Sejarah, Budaya, dan Pengajarannya",1,pub,,2019-11-15 02:35:24,,2019-11-15 02:35:24,2019-06-30 00:00:00.000000000,article,['FKIP24'],http://journal2.um.ac.id/index.php/sejarah-dan-budaya/index.,archive,"This research focuses on monopoly and simulation game media applications. The aim is to make classroom historical learning more meaningful and attractive to students. Research method used in this study is qualitative. Data collection techniques are carried out through interviews, observation, and documentation. The study resulted show that monopoly and simulation game media increases students interest in material from history and student leadership, judging from the indicators by: responsibility, love the fatherland, courage, and keeping promise.
KEYWORDS
leadership, game media, learning history",['L1'],16482,published,,
2,"[{'eprintid': 17199, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'main': 'Prosiding Semnas - Hutan Ulun Saibatin.pdf', 'docid': 30298, 'files': [{'objectid': 30298, 'uri': 'http://repository.lppm.unila.ac.id/id/file/145812', 'datasetid': 'document', 'filesize': 1807414, 'mime_type': 'application/pdf', 'fileid': 145812, 'hash': 'ca31eb8631f74f9ad59c6928b700fd6d', 'filename': 'Prosiding Semnas - Hutan Ulun Saibatin.pdf', 'hash_type': 'MD5', 'mtime': '2019-11-28 20:14:35'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30298'}]",TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/17199,1246,95-105,9786239056551,"[{'id': 'henry.susanto@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Henry', 'lineage': None, 'given': 'Susanto'}}, {'name': {'lineage': None, 'family': 'Anisa', 'honourific': None, 'given': 'Septianingrum'}, 'id': 'anisa.septianingrum@fkip.unila.ac.id'}, {'id': 'sumargono.1988@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'sumargono', 'honourific': None, 'given': 'Sumargono'}}]","PROSIDING SEMINAR NASIONAL "" Revitalisasi Nilai Budaya dan Sejarah Bahari Banten Sebagai National Character Building""",disk0/00/01/71/99,HUTAN LAHAN ULUN SAIBATIN BUDAYA PEREKONOMIAN MASYARAKAT LOKAL DI PESISIR BARAT LAMPUNG,show,-,8,"[{'url': 'https://osf.io/jnfmw/download/?format=pdf', 'type': 'pub'}]",2020-02-14 07:04:34,Media Edukasi Indonesia (Anggota IKAPI),-,pub,,2020-02-14 07:04:34,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",2020-02-14 07:04:34,2019-04-01 00:00:00.000000000,article,['FKIP24'],https://osf.io/jnfmw/download/?format=pdf,archive,"The purpose of this study was to understand Saibatin‘s culture perspective from West Lampung regarding forests related to the agricultural system, the causes of forest destruction in Bukit Barisan Selatan National Park, and the goverment‘s respone to efforts to save forests in Bukit Barisan Selatan National Park. This study uses qualitative methods that refer to an ethnographic writing. Operasional technical uses a genetic structuralism approach. The result: (1) the damage to the Bukit Barisan Selatan National Park forest was not caused by the economic activities of the ulun Saibatin community or the HPH businessmen; (2) forest damage caused by the law on forestry in West Lampung is not adhered to the evidence that there are many forest looting activities; and (3) the problem of unemployment of people living in forest conversion areas needs to be addressed immediately. 
Keyword: culture, economic activity, forest destruction, ulun Saibatin.",['HC'],17199,published,,
3,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 16533, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29610', 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 2460906, 'fileid': 141077, 'mime_type': 'application/pdf', 'mtime': '2019-11-15 03:58:29', 'hash_type': 'MD5', 'filename': 'Prosiding Semnas Sejarah Bahari Banten.pdf', 'hash': '93d5dfa74a196aff2fd9f990d101be68', 'objectid': 29610, 'uri': 'http://repository.lppm.unila.ac.id/id/file/141077'}], 'main': 'Prosiding Semnas Sejarah Bahari Banten.pdf', 'docid': 29610}]",TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/16533,582,,-,"[{'id': 'henry.susanto@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Henry', 'honourific': None, 'given': 'Susanto'}}, {'name': {'family': 'Sumargono', 'honourific': None, 'lineage': None, 'given': 'Sumargono'}, 'id': 'sumargono.1988@fkip.unila.ac.id'}]",-,disk0/00/01/65/33,HUTAN LAHAN ULUN SAIBATIN BUDAYA PEREKONOMIAN MASYARAKAT LOKAL DI PESISIR BARAT LAMPUNG,show,-,9,,2019-11-18 05:08:19,-,-,pub,,2019-11-18 05:08:19,,2019-11-18 05:08:19,1970-01-01 00:00:00.000002019,article,['FKIP24'],http://www.untirta.ac.id,archive,"The purpose of this study was to understand Saibatin‘s culture perspective from West Lampung regarding forests related to the agricultural system, the causes of forest destruction in Bukit Barisan Selatan National Park, and the goverment‘s respone to efforts to save forests in Bukit Barisan Selatan National Park. This study uses qualitative methods that refer to an ethnographic writing. Operasional technical uses a genetic structuralism approach. The result: (1) the damage to the Bukit Barisan Selatan National Park forest was not caused by the economic activities of the ulun Saibatin community or the HPH businessmen; (2) forest damage caused by the law on forestry in West Lampung is not adhered to the evidence that there are many forest looting activities; and (3) the problem of unemployment of people living in forest conversion areas needs to be addressed immediately.
Keyword: culture, economic activity, forest destruction, ulun Saibatin","['L1', 'LA']",16533,,,
4,"[{'placement': 1, 'security': 'public', 'eprintid': 16433, 'content': 'published', 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 29531, 'uri': 'http://repository.lppm.unila.ac.id/id/file/140145', 'fileid': 140145, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-11-14 09:29:44', 'hash': '4a2cf8ea0bb190543a23512a83136cf4', 'filename': '11448-Article Text-28169-4-10-20191101.pdf', 'datasetid': 'document', 'filesize': 712244}], 'docid': 29531, 'main': '11448-Article Text-28169-4-10-20191101.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/29531', 'rev_number': 2, 'pos': 1, 'format': 'text'}]",TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/16433,2778,1-23,2301 – 461X,"[{'id': 'nur.indahlestari@fkip.unila.ac.id', 'name': {'family': 'Lestari', 'honourific': None, 'lineage': None, 'given': 'Nur Indah'}}]",Dinamika Pelajaran Sejarah Indonesia dalam Kurikulum 2013 pada Jenjang SMK/MAK,disk0/00/01/64/33,Dinamika Pelajaran Sejarah Indonesia dalam Kurikulum 2013 pada Jenjang SMK/MAK,show,Vol 8,7,"[{'url': 'http://journal.unj.ac.id/unj/index.php/jps/article/view/11448', 'type': 'pub'}]",2019-11-14 10:34:57,Program Magister Sejarah UNJ,No.2,pub,,2019-11-14 10:34:57,,2019-11-14 10:34:57,2019-07-02 00:00:00.000000000,article,['FKIP24'],http://journal.unj.ac.id/unj/index.php/jps/article/view/11448,archive,"Abstract: This study aims to explain the dynamics of Indonesian History subject in the 2013 Curriculum at Vocational High School. Implementation of the 2013 Curriculum, the Indonesian History subject had a special place at the Vocational High School level. But, revision of 2013 Curriculum effected on the existence of Indonesian History subject in Vocational High School. This study used a library research method that used library resources in research without field research. The results showed that Indonesian History subject at the beginning of the 2013 Curriculum implementation got allocation 216 hours for six semester in 10th, 11th, and 12th grade. Decreased to 144 hours for four semester in 10th and 11th grade after revised in 2016, and decreased again to 108 hours of time allocation for two semester only in 10th grade in 2017 and changing nomenclature from Indonesian History become History.

Keywords: 2013 Curriculum, Indonesian History Subject, Vocational High School",['HN'],16433,published,,
5,"[{'docid': 33419, 'main': '2108-7513-1-PB.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/189682', 'objectid': 33419, 'filesize': 336197, 'datasetid': 'document', 'mtime': '2020-05-19 05:10:14', 'hash_type': 'MD5', 'hash': 'f8d97ddb150a1b830959289feac1c446', 'filename': '2108-7513-1-PB.pdf', 'fileid': 189682, 'mime_type': 'application/pdf'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33419', 'rev_number': 1, 'eprintid': 20081, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/20081,1246,243-258,2442-8728,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Lisnawati', 'given': 'Lisnawati'}, 'id': 'uktylisna97@gmail.com'}, {'name': {'lineage': None, 'family': 'Siti', 'honourific': None, 'given': 'Rohmayani'}, 'id': 'sitirohma98@gmail.com'}, {'name': {'given': 'Masdi', 'honourific': None, 'family': 'Masdi', 'lineage': None}, 'id': 'masdi4767@gmail.com'}, {'id': 'sumargono.1988@fkip.unila.ac.id', 'name': {'given': 'Sumargono', 'lineage': None, 'honourific': None, 'family': 'Sumargono'}}]",Historia ( Jurnal Program Studi Pendidikan Sejarah),disk0/00/02/00/81,Kartu Kuartet Boelang (Boedaya Lampung) sebagai Media Edukasi Budaya Lokal di SMPN Bandarlampung,show,7,6,"[{'type': 'pub', 'url': 'http://ojs.fkip.ummetro.ac.id/index.php/sejarah/article/view/2108'}]",2020-05-19 06:41:03,Program Studi Pendidikan Sejarah Universitas Muhammadiyah Metro,2,pub,,2020-05-19 06:41:03,['Universitas Lampung'],2020-05-19 06:41:03,2019-12-04 00:00:00.000000000,article,['FKIP24'],http://ojs.fkip.ummetro.ac.id/index.php/sejarah/article/view/2108,archive,"Tujuan Penelitian ini adalah pengembangan media pembelajaran Seni Budaya yang sesuai dengan kebutuhan guru dan siswa dalam kegiatan pembelajaran di kelas. Salah satunya pengembangan perminan kartu Kuartet Boelang (Boedaya Lampung) sebagai media edukasi budaya lokal di SMPN Bandar Lampung. Metode penelitian yang digunakan dalam penelitian ini yaitu penelitian pengembangan atau Research & Development (R&D) yang mengacu pada model pengembangan menurut Thiagarajan yang telah dimodifikasi. Sumber data dikumpulkan dengan melakukan wawancara, tes, observasi, dan dokumentasi. Uji Keefektifan produk dilakukan menggunakan metode eksperimen. Sekolah SMP Negeri 22 Bandar Lampung dipilih sebagai tempat penelitian. Sebagai kelompok eksperimen dipilih kelas VIII H dan kelas VIII F sebagai kelompok kontrol. Berdasarkan analisis uji keefektifan, hasil post test eksperimen (menggunakan media yang dikembangkan) hasil analisis SPSS 16 diketahui signifikan pada 0,000 < 0,05 yang berarti ada perbedaan yang signifikan antara kelas eksperimen dan kelas kontrol setelah diberi perlakuan. Karena rerata nilai test prestasi kelas eksperimen (kelompok yang dikenai media pembelajaran yang dikembangkan) = 84, 15 > rerata nilai tes hasil belajar kelas kontrol (kelompok yang dikenai power point) = 74,91 sehingga dapat disimpulkan bahwa media yang dikembangkan lebih efektif digunakan sebagai media edukasi budaya lokal bagi peserta didik.
Kata Kunci: Pengembangan Media Pembelajaran, Kuartet Boelang.",['L1'],20081,published,,
6,"[{'security': 'public', 'placement': 1, 'eprintid': 17484, 'mime_type': 'inode/x-empty', 'language': 'en', 'files': [{'objectid': 30611, 'uri': 'http://repository.lppm.unila.ac.id/id/file/147848', 'datasetid': 'document', 'filesize': 0, 'fileid': 147848, 'mime_type': 'inode/x-empty', 'mtime': '2020-01-05 11:38:50', 'filename': '7. IJMMU Vol. 6 No. 6 2019.pdf'}], 'main': '7. IJMMU Vol. 6 No. 6 2019.pdf', 'docid': 30611, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30611', 'format': 'text', 'pos': 1}]",TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/17484,2784,487-496,2364-5369,"[{'name': {'given': 'Maskun', 'honourific': None, 'family': 'Maskun', 'lineage': None}, 'id': None}, {'id': 'rinaldo.adipratama@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Pratama', 'honourific': None, 'given': 'Rinaldo Adi'}}, {'id': 'sumargono.1988@fkip.unila.ac.id', 'name': {'given': 'Sumargono', 'lineage': None, 'honourific': None, 'family': 'Sumargono'}}]",International Journal of Multicultural and Multireligious Understanding,disk0/00/01/74/84,Implementation of Character Education in Historical Learning in the Industrial Revolution Era 4.0,show,6,6,,2020-02-17 03:43:17,University of Hamburg,6,pub,,2020-02-17 03:43:17,,2020-02-17 03:43:17,2019-12-29 00:00:00.000000000,article,['FKIP24'],https://ijmmu.com/index.php/ijmmu/article/view/1241,archive,"This study aims to determine the implementation of character education that is applied in history learning in high schools in Bandar Lampung. The method used in this research is qualitative. The results show that character education is very important to be applied to the subjects of history in the era of the industrial revolution 4.0. The history teacher has implemented and integrated character education in teaching and learning activities in the classroom. Teaching preparation starts from the planning in the form of lesson plans that contain lesson values that will be inserted in the teaching material of history, at the implementation stage the teacher has strengthened and instilled character values in students and at the final stage of learning, namely the assessment process, at this stage educators have developed test instruments that contain character values not only emphasize cognitive aspects.",['LA'],17484,published,,
7,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 17524, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30652', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/148118', 'objectid': 30652, 'filename': '7. IJMMU Vol. 6 No. 6 Dec 2019.pdf', 'hash': '9df8b6db33d7cfe205c620c126e89a6b', 'hash_type': 'MD5', 'mtime': '2020-01-08 05:37:49', 'mime_type': 'application/pdf', 'fileid': 148118, 'filesize': 541768, 'datasetid': 'document'}], 'docid': 30652, 'main': '7. IJMMU Vol. 6 No. 6 Dec 2019.pdf'}]",TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/17524,2784,487-496,2364-5369,"[{'name': {'given': 'Maskun', 'honourific': None, 'family': 'Maskun', 'lineage': None}, 'id': 'maskun.1959@fkip.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Pratama', 'honourific': None, 'given': 'Rinaldo Adi'}, 'id': 'rinaldo.adipratama@fkip.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Sumargono', 'lineage': None, 'given': 'Sumargono'}, 'id': 'sumargono.1988@fkip.unila.ac.id'}]",International Journal of Multicultural and Multireligious Understanding,disk0/00/01/75/24,Implementation of Character Education in Historical Learning in the Industrial Revolution Era 4.0,show,6,6,[{'type': 'pub'}],2020-02-17 03:46:27,University of Hamburg,6,pub,,2020-02-17 03:46:27,,2020-02-17 03:46:27,2019-12-29 00:00:00.000000000,article,['FKIP24'],https://ijmmu.com/index.php/ijmmu/article/view/1241,archive,"This study aims to determine the implementation of character education that is applied in history learning in high schools in Bandar Lampung. The method used in this research is qualitative. The results show that character education is very important to be applied to the subjects of history in the era of the industrial revolution 4.0. The history teacher has implemented and integrated character education in teaching and learning activities in the classroom. Teaching preparation starts from the planning in the form of lesson plans that contain lesson values that will be inserted in the teaching material of history, at the implementation stage the teacher has strengthened and instilled character values in students and at the final stage of learning, namely the assessment process, at this stage educators have developed test instruments that contain character values not only emphasize cognitive aspects.",['LA'],17524,published,,
8,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 20111, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33449', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'filesize': 541768, 'datasetid': 'document', 'mtime': '2020-05-19 06:55:34', 'hash_type': 'MD5', 'hash': '9df8b6db33d7cfe205c620c126e89a6b', 'filename': '1241-3759-1-PB.pdf', 'fileid': 189902, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/189902', 'objectid': 33449}], 'main': '1241-3759-1-PB.pdf', 'docid': 33449}]",TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/20111,1246,487-496,2364-5369,"[{'id': 'maskun.1959@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Maskun', 'honourific': None, 'given': 'Maskun'}}, {'name': {'given': 'Adi Pratama', 'lineage': None, 'honourific': None, 'family': 'Rinaldo'}, 'id': 'rinaldo.adipratama@fkip.unila.ac.id'}, {'id': 'sumargono.1988@fkip.unila.ac.id', 'name': {'given': 'Sumargono', 'honourific': None, 'family': 'Sumargono', 'lineage': None}}]",International Journal of Multicultural and Multireligious Understanding,disk0/00/02/01/11,Implementation of Character Education in Historical Learning in the Industrial Revolution Era 4.0,show,6,7,"[{'url': 'https://ijmmu.com/index.php/ijmmu/article/view/1241', 'type': 'pub'}]",2020-05-19 13:56:28,International Journal of Multicultural and Multireligious Understanding,6,pub,,2020-05-19 13:56:28,['Universitas Lampung'],2020-05-19 13:56:28,2019-12-29 00:00:00.000000000,article,['FKIP24'],https://ijmmu.com/index.php/ijmmu/article/view/1241,archive,"This study aims to determine the implementation of character education that is applied in history learning in high schools in Bandar Lampung. The method used in this research is qualitative. The results show that character education is very important to be applied to the subjects of history in the era of the industrial revolution 4.0. The history teacher has implemented and integrated character education in teaching and learning activities in the classroom. Teaching preparation starts from the planning in the form of lesson plans that contain lesson values that will be inserted in the teaching material of history, at the implementation stage the teacher has strengthened and instilled character values in students and at the final stage of learning, namely the assessment process, at this stage educators have developed test instruments that contain character values not only emphasize cognitive aspects.
Keywords: Character Education; History Learning; Lesson Plan; Good Value",['L1'],20111,published,,
9,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/197923', 'objectid': 34666, 'filesize': 541768, 'datasetid': 'document', 'hash': '9df8b6db33d7cfe205c620c126e89a6b', 'filename': '1241-3759-1-PB.pdf', 'mtime': '2020-05-31 06:57:13', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 197923}], 'main': '1241-3759-1-PB.pdf', 'docid': 34666, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34666', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 21269, 'mime_type': 'application/pdf', 'language': 'en'}]",TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/21269,669,487-496,2364-5369,"[{'name': {'lineage': None, 'family': 'Maskun', 'honourific': None, 'given': 'Maskun'}, 'id': 'maskun.1959@fkip.unila.ac.id'}, {'id': 'rinaldo.adipratama@fkip.unila.ac.id', 'name': {'family': 'Rinaldo', 'honourific': None, 'lineage': None, 'given': 'Adi Pratama'}}, {'name': {'family': 'Sumargono', 'honourific': None, 'lineage': None, 'given': 'Sumargono'}, 'id': 'sumargono.1988@fkip.unila.ac.id'}]",International Journal of Multicultural and Multireligious Understanding,disk0/00/02/12/69,Implementation of Character Education in Historical Learning in the Industrial Revolution Era 4.0,show,6,6,"[{'type': 'pub', 'url': 'https://ijmmu.com/index.php/ijmmu/article/view/1241'}]",2020-05-31 07:52:50,International Journal of Multicultural and Multireligious Understanding,6,pub,,2020-05-31 07:52:50,['Universitas Lampung'],2020-05-31 07:52:50,2019-12-01 00:00:00.000000000,article,['FKIP24'],https://ijmmu.com/index.php/ijmmu/article/view/1241,archive,"This study aims to determine the implementation of character education that is applied in history learning in high schools in Bandar Lampung. The method used in this research is qualitative. The results show that character education is very important to be applied to the subjects of history in the era of the industrial revolution 4.0. The history teacher has implemented and integrated character education in teaching and learning activities in the classroom. Teaching preparation starts from the planning in the form of lesson plans that contain lesson values that will be inserted in the teaching material of history, at the implementation stage the teacher has strengthened and instilled character values in students and at the final stage of learning, namely the assessment process, at this stage educators have developed test instruments that contain character values not only emphasize cognitive aspects.
Keywords: Character Education; History Learning; Lesson Plan; Good Value",['LA'],21269,published,,
