,eprintid,date_type,official_url,title,rev_number,volume,metadata_visibility,eprint_status,status_changed,subjects,abstract,publication,issn,creators,date,dir,id_number,type,divisions,ispublished,number,publisher,documents,uri,full_text_status,refereed,lastmod,userid,pagerange,datestamp,succeeds,thesis_type,institution,department,thesis_name,place_of_pub,patent_applicant,isbn,pages,related_url,projects,funders,editors
0,31572,published,https://ijcsrr.org/single-view/?id=3356&pid=3267,Principals Role in Inclusive Education: A Literature Review,7,3.0,show,archive,2021-06-02 01:04:04,['L1'],"The research objective of this article is to determine (1) what leadership style does the principal apply? (2) What strategy did the principal use? (3) What affects the leadership style and strategy of the principal in carrying out inclusive education? Using the search and review method of articles, the review process begins with the search engine, Google Scholar and DOAJ, to search for articles with keywords. The results of the review show that (1) principals adopt different leadership styles and (2) principals implement various strategies. (3) The factors that influence the various styles and strategies are diverse resources, government policies, and local values.

Keywords: education inclusive in the world, principalship",International Journal of Current Science Research and Review,2581-8341,"[{'id': None, 'name': {'family': 'Afrianti', 'honourific': None, 'lineage': None, 'given': 'Lilis'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Ridwan', 'given': 'Ridwan'}, 'id': 'ridwanrosidimuawi@gmail.com'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Hariri', 'given': 'Hasan'}, 'id': 'hasan.hariri@staff.unila.ac.id'}, {'id': None, 'name': {'lineage': None, 'family': 'Riswanti', 'honourific': None, 'given': 'Rini'}}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Sowiyah', 'given': 'Sowiyah'}}]",2020-12-30 00:00:00.000000000,disk0/00/03/15/72,10.47191/ijcsrr/V3-i12-10,article,['FKIP5'],pub,12,IJCSRR,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 31572, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/142843', 'rev_number': 1, 'main': '2 ARTIKEL JURNAL INTERNASIONAL Afrianti&HAriri et al 12 2020 Principals Role.pdf', 'docid': 142843, 'files': [{'datasetid': 'document', 'filesize': 459843, 'mime_type': 'application/pdf', 'fileid': 374111, 'filename': '2 ARTIKEL JURNAL INTERNASIONAL Afrianti&HAriri et al 12 2020 Principals Role.pdf', 'hash': 'f88a5993bb6e59a10f49c867bffb773c', 'mtime': '2021-06-01 03:40:06', 'hash_type': 'MD5', 'objectid': 142843, 'uri': 'http://repository.lppm.unila.ac.id/id/file/374111'}]}]",http://repository.lppm.unila.ac.id/id/eprint/31572,public,TRUE,2021-06-02 01:04:04,214,271 -284,2021-06-02 01:04:04,,,,,,,,,,,,,
1,22979,published,https://www.rsisinternational.org/journals/ijriss/Digital-Library/volume-4-issue-2/28-31.pdf,University Management In Making Disability Friendly Campus,10,4.0,show,archive,2020-07-02 02:14:43,['L1'],"Abstract--- This study aims to analyze and describe academic
program planning, facilities and infrastructure in realizing
campus-friendly disabilities at UML, organizing academic
programs and facilities and infrastructure in creating disabilityfriendly

campuses in UML, implementing academic program,
facilities and infrastructure in realizing campus-friendly
disabilities in UML, evaluating  academic programs and facilities
and infrastructure in creating a disability friendly campus at
UML. The method used in this study is qualitative with a
phenomenological design. The informants were the rector, dean,
head of the PLB study program, lecturers, and students. The
results showed that planning academic programs in realizing
campus-friendly disabilities has (1) structure, (2) rules of task
completion, (3) plan of activities, and (4) objectives.
Infrastructure planning begins with determining when the
committee, needs analysis and preparation of a list of needs.
Organizing academic programs to prepare knowledge or insight
for all PLB students, both those with disabilities or those who are
unable to enter the world of inclusion after graduating from
UML.Organizing infrastructure through the stages of
procurement, and controlling / controlling facilities and
infrastructure. The implementation of the academic program
implements the Tri Dharma of Higher Education, the
maintenance of infrastructure is carried out by checking efforts
periodically once a year to prevent damage. Evaluation of
academic programs consists of several aspects as follows: 1)
Evaluation of learning outcomes; 2) Cumulative achievement
index every semester; 3) Final evaluation of the S1 program. The
evaluation of sarpras was carried out in accordance with Law
no.12/2012 of Higher Education and the Indonesian Higher
Education System regarding the characteristics of the
organization of tertiary education and management of tertiary
institutions where tertiary institutions have the right to nonacademic

autonomy (management): to improve the quality of
education; principles of good university governance: (1) regulate
the organization & make its own decisions; (2) management of
tablespoons; (3) asset management; (4) financial management. 
Key Words: Campus Friendly Disabilities, Management",International Journal of Research and Innovation in Social Science (IJRISS),2454-6186,"[{'id': None, 'name': {'given': 'Dina', 'family': 'Agustina', 'honourific': None, 'lineage': None}}, {'id': None, 'name': {'given': 'sowiyah', 'honourific': None, 'family': 'sowiyah', 'lineage': None}}, {'id': 'dhkarwan@yahoo.co.id', 'name': {'honourific': None, 'family': 'Karwan', 'lineage': None, 'given': 'Dedy H.'}}]",2020-02-01 00:00:00.000000000,disk0/00/02/29/79,,article,['FKIP5'],pub,2,www.rsisinternational.org,"[{'format': 'text', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36527', 'rev_number': 4, 'docid': 36527, 'main': 'Dina Agustina, Sowiyah, Deddy Hermanto Karwan 2020 Uni Management.pdf', 'files': [{'fileid': 210660, 'mime_type': 'application/pdf', 'mtime': '2020-07-01 19:12:44', 'hash_type': 'MD5', 'filename': 'Dina Agustina, Sowiyah, Deddy Hermanto Karwan 2020 Uni Management.pdf', 'hash': '7a9bd722c17e72302f8296c9968a4432', 'datasetid': 'document', 'filesize': 396708, 'objectid': 36527, 'uri': 'http://repository.lppm.unila.ac.id/id/file/210660'}], 'mime_type': 'application/pdf', 'language': 'en', 'content': 'published', 'eprintid': 22979, 'security': 'public', 'placement': 2}]",http://repository.lppm.unila.ac.id/id/eprint/22979,public,TRUE,2020-07-02 02:14:43,685,28-31,2020-07-02 02:14:43,22386.0,,,,,,,,,,,,
2,29956,completed,,Kepemimpinan Rektor Perempuan pada Perguruan Tinggi,7,,show,archive,2021-05-05 01:03:13,['L1'],,,,"[{'name': {'given': 'Dini', 'honourific': None, 'family': 'Cahyati', 'lineage': None}}]",1970-01-01 00:00:00.000002020,disk0/00/02/99/56,,thesis,['FKIP5'],unpub,,,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/134421', 'main': '12 Dini Cahyati p2.pdf', 'docid': 134421, 'files': [{'objectid': 134421, 'uri': 'http://repository.lppm.unila.ac.id/id/file/355094', 'mime_type': 'application/pdf', 'fileid': 355094, 'filename': '12 Dini Cahyati p2.pdf', 'hash': 'ce1505a1e7d4d549c6edca75128ffaf3', 'mtime': '2021-05-04 14:18:49', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 189201}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 29956, 'placement': 1, 'security': 'public'}]",http://repository.lppm.unila.ac.id/id/eprint/29956,public,,2021-05-05 01:03:13,214,,2021-05-05 01:03:13,,masters,Universitas Lampung,MAP,other,,,,,,,,
3,29963,completed,,Manajemen Kelas Inklusif (Studi Kasus di Pendidikan Anak Usia Dini Ceria Bandar Lampung).,7,,show,archive,2021-05-05 01:03:31,['L1'],,,,"[{'name': {'family': 'Dwansi', 'honourific': None, 'lineage': None, 'given': 'Ridha Mentari'}}]",1970-01-01 00:00:00.000002020,disk0/00/02/99/63,,thesis,['FKIP5'],unpub,,,"[{'docid': 134444, 'main': '19 Ridha Mentari Dwansi p2.pdf', 'files': [{'objectid': 134444, 'uri': 'http://repository.lppm.unila.ac.id/id/file/355160', 'mime_type': 'application/pdf', 'fileid': 355160, 'filename': '19 Ridha Mentari Dwansi p2.pdf', 'hash': '08c56d11513165cc65c95a80e2292f1e', 'hash_type': 'MD5', 'mtime': '2021-05-04 14:39:32', 'datasetid': 'document', 'filesize': 591855}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/134444', 'rev_number': 1, 'eprintid': 29963, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",http://repository.lppm.unila.ac.id/id/eprint/29963,public,,2021-05-05 01:03:31,214,,2021-05-05 01:03:31,,masters,Universitas Lampung,MAP,other,,,,,,,,
4,29784,completed,,Kepemimpinan Partisipatif Kepala PAUD IT Qurrota A’yun,7,,show,archive,2021-04-30 01:14:06,['L1'],,,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Erlinda', 'given': 'Elvira Putri'}}]",1970-01-01 00:00:00.000002020,disk0/00/02/97/84,,thesis,['FKIP5'],unpub,,,"[{'files': [{'mtime': '2021-04-29 10:14:50', 'hash_type': 'MD5', 'filename': '2 Tesis Elvira Putri Erlinda.pdf', 'hash': '63219a169632ba0decaf93288f50fdfc', 'fileid': 263562, 'mime_type': 'application/pdf', 'filesize': 175201, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/263562', 'objectid': 43987}], 'main': '2 Tesis Elvira Putri Erlinda.pdf', 'docid': 43987, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43987', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 29784, 'mime_type': 'application/pdf', 'language': 'en'}]",http://repository.lppm.unila.ac.id/id/eprint/29784,public,,2021-04-30 01:14:06,214,,2021-04-30 01:14:06,,masters,Universitas Lampung,MAP,other,,,,,,,,
5,24454,,,"Pendampingan Manajemen Peningkatan Mutu Layanan Guru Pada
Kompetensi Pedagogik (Panduan Komprehensif Pembinaan Guru)",9,,show,archive,2020-11-02 04:21:02,['L1'],,,,"[{'name': {'honourific': None, 'family': 'Haenilah', 'lineage': None, 'given': 'Een Yayah'}, 'id': 'eenhaenilah@gmail.com'}, {'id': 'ridwanrosidimuawi@gmail.com', 'name': {'given': 'Ridwan', 'honourific': None, 'family': 'Ridwan', 'lineage': None}}, {'name': {'lineage': None, 'family': 'Hariri', 'honourific': None, 'given': 'Hasan'}, 'id': 'hasan.hariri@staff.unila.ac.id'}, {'id': 'dhkarwan@yahoo.co.id', 'name': {'honourific': None, 'family': 'Karwan', 'lineage': None, 'given': 'Dedy H.'}}]",1970-01-01 00:00:00.000002020,disk0/00/02/44/54,"EC00202035582, 25 September 2020",other,['FKIP5'],pub,,Menkumham,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/222336', 'objectid': 38189, 'filesize': 773537, 'datasetid': 'document', 'hash': 'd3ab4ca5490b98a0ee61164234b5b543', 'filename': 'Hariri etal 2020 Haki sertifikat_EC00202035582 buku pendampingan.pdf', 'hash_type': 'MD5', 'mtime': '2020-11-01 17:30:42', 'mime_type': 'application/pdf', 'fileid': 222336}], 'main': 'Hariri etal 2020 Haki sertifikat_EC00202035582 buku pendampingan.pdf', 'docid': 38189, 'formatdesc': 'HAKI', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38189', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 24454, 'content': 'published', 'mime_type': 'application/pdf', 'language': 'en'}]",http://repository.lppm.unila.ac.id/id/eprint/24454,public,,2021-08-09 04:08:54,214,,2020-11-02 04:21:02,,,,,,Jakarta,,,,,,,
6,34014,published,,"Pendampingan Manajemen Peningkatan Mutu Layanan Guru pada
Kompetensi Pedagogik (Panduan Komprehensif Pembinaan Guru)",6,,show,archive,2021-09-21 00:57:12,['L1'],,,,"[{'name': {'given': 'Een Yayah', 'honourific': None, 'family': 'Haenilah', 'lineage': None}, 'id': 'eenhaenilah@gmail.com'}, {'name': {'given': 'Ridwan', 'family': 'Ridwan', 'honourific': None, 'lineage': None}, 'id': 'ridwanrosidimuawi@gmail.com'}, {'name': {'given': 'Hasan', 'lineage': None, 'family': 'Hariri', 'honourific': None}, 'id': 'hasan.hariri@staff.unila.ac.id'}, {'id': 'dhkarwan@yahoo.co.id', 'name': {'given': 'Dedy H.', 'lineage': None, 'honourific': None, 'family': 'Karwan'}}]",1970-01-01 00:00:00.000002020,disk0/00/03/40/14,EC00202035582,patent,['FKIP5'],pub,,,"[{'format': 'text', 'pos': 6, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154272', 'rev_number': 1, 'docid': 154272, 'main': 'HakiReviewPendpgn.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/401684', 'objectid': 154272, 'filesize': 928636, 'datasetid': 'document', 'hash': 'fa492d75b0dc7e9638f624c020d0b544', 'filename': 'HakiReviewPendpgn.pdf', 'hash_type': 'MD5', 'mtime': '2021-09-20 15:57:10', 'mime_type': 'application/pdf', 'fileid': 401684}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 34014, 'security': 'public', 'placement': 6}]",http://repository.lppm.unila.ac.id/id/eprint/34014,public,,2021-09-21 00:57:12,214,,2021-09-21 00:57:12,29335.0,,,,,,"Een Y. Haenilah, Ridwan, Hasan Hariri, Dedy H. Karwan",,,,,,
7,24640,published,https://iopscience.iop.org/article/10.1088/1742-6596/1655/1/012115,The Shaping of the Student Character Caring for the School Environment through the Green School Movement in SMP Negeri 2 Adiluwih,7,1655.0,show,archive,2020-11-09 09:03:48,['L1'],"The scope of the school environment includes the physical, mental, and social
environment. These three scopes are related to one another in shaping the character of students.
A healthy, good, and friendly school environment is an ideal condition for students' learning process in school. Education should be used as an effective means of forming attitudes and concerns for the environment, through intensive education. It is possible to improve the quality of students’ positive attitudes and behaviours towards the environment. The problem in this
study is how to shape the character and attitudes of students' concern for the school
environment and how to overcome existing obstacles. This study aims to understand and apply
the green school movement to the formation of environmental care characters from an early
age and inspire principals as school managers to create an environmentally and friendly school as school culture in SMP Negeri (State Junior High School) 2 Adiluwih. This research is a descriptive qualitative study using document study and observation to collect the data. The
results of this study are the school has efforts in implementing go green school program activities and integrating environmental materials in all subjects and have been included in each lesson plan and syllabus, self-development in daily activities. After implementing these program activities, students can care more about their environment. These program activities have contributed to making the SMP Negeri 2 Adiluwih win a national Adiwiyata (Green School) Award.",Journal of Physics: Conference Series,,"[{'id': None, 'name': {'given': 'Nur', 'lineage': None, 'honourific': None, 'family': 'Handayani'}}, {'id': 'hasan.hariri@staff.unila.ac.id', 'name': {'given': 'Hasan', 'honourific': None, 'family': 'Hariri', 'lineage': None}}, {'id': None, 'name': {'honourific': None, 'family': 'Sowiyah', 'lineage': None, 'given': 'Sowiyah'}}, {'id': 'ridwanrosidimuawi@gmail.com', 'name': {'lineage': None, 'family': 'Ridwan', 'honourific': None, 'given': 'Ridwan'}}]",1970-01-01 00:00:00.000002020,disk0/00/02/46/40,10.1088/1742-6596/1655/1/012115,article,['FKIP5'],pub,2020,IOP Publishing,"[{'main': 'Hariri Handayani Hariri Sowiyah Ridwan Nov 2020 The Shaping of the Student Character Caring.pdf', 'docid': 38382, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/223699', 'objectid': 38382, 'filesize': 1128274, 'datasetid': 'document', 'filename': 'Hariri Handayani Hariri Sowiyah Ridwan Nov 2020 The Shaping of the Student Character Caring.pdf', 'hash': 'ea1f1d5b7ebd97e78f1afb47c19771d1', 'mtime': '2020-11-07 08:09:08', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 223699}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/38382', 'rev_number': 2, 'eprintid': 24640, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'content': 'published'}]",http://repository.lppm.unila.ac.id/id/eprint/24640,public,TRUE,2020-11-09 09:03:48,214,12115,2020-11-09 09:03:48,,,,,,,,,,,,,
8,24453,published,,HAKI Pembuatan Keputusan Kepala Sekolah: Prediktor Kepuasan Kerja Guru dalam Memantapkan Komitmen Guru dan Meningkatkan Prestasi Siswa,8,,show,archive,2020-11-02 04:20:56,['L1'],,,,"[{'name': {'family': 'Hariri', 'honourific': None, 'lineage': None, 'given': 'Hasan'}, 'id': 'hasan.hariri@staff.unila.ac.id'}]",1970-01-01 00:00:00.000002020,disk0/00/02/44/53,"EC00202035584, 25 September 2020",other,['FKIP5'],pub,,Menkumham,"[{'language': 'en', 'mime_type': 'application/pdf', 'content': 'published', 'eprintid': 24453, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38188', 'formatdesc': 'HAKI', 'docid': 38188, 'main': 'Hariri Sep 2020 Haki sertifikat_EC00202035584 Pembuatan Keputusan.pdf', 'files': [{'objectid': 38188, 'uri': 'http://repository.lppm.unila.ac.id/id/file/222328', 'datasetid': 'document', 'filesize': 779024, 'mime_type': 'application/pdf', 'fileid': 222328, 'hash': '91d9062c8c99f18a6313648c5002f575', 'filename': 'Hariri Sep 2020 Haki sertifikat_EC00202035584 Pembuatan Keputusan.pdf', 'hash_type': 'MD5', 'mtime': '2020-11-01 17:24:26'}]}]",http://repository.lppm.unila.ac.id/id/eprint/24453,public,,2020-11-02 04:20:56,214,,2020-11-02 04:20:56,,,,,,Jakarta,,,,,,,
9,24447,published,https://goodwoodpub.com/index.php/ijfam/article/view/236,Leadership in a school context: how leadership styles are associated with leadership outcomes,7,2.0,show,archive,2020-11-02 04:19:23,['L1'],"Purpose: This paper aims at examining how principal leadership styles are associated with leadership outcomes in an Indonesian school context.
Research Methodology: Survey data were collected using MLQ 5X-Short and a demographic questionnaire completed by 475 teachers in 36 junior high schools in the Province of Lampung, Indonesia. With the help of SPSS version 22, the collected data were initially analyzed using descriptive statistics and then Pearson product-moment correlation.  
Results: Results show that transformational and transactional leadership styles are positively and significantly associated with the leadership outcomes, but the laissez-faire leadership style is negatively and significantly associated with the leadership outcomes.  
Limitations: This paper used a quantitative research approach and is acknowledged for being limited to using the survey questionnaire so that it could not explain why and how principal leadership styles affect such leadership outcomes.
Contribution: This paper theoretically and practically contributes to the body of knowledge, particularly concerning leadership styles and their outcomes.","International Journal of Financial, Accounting, and Management",2656-3355,"[{'id': 'hasan.hariri@staff.unila.ac.id', 'name': {'given': 'Hasan', 'lineage': None, 'family': 'Hariri', 'honourific': None}}]",1970-01-01 00:00:00.000002020,disk0/00/02/44/47,https://doi.org/10.35912/ijfam.v2i2.236,article,['FKIP5'],pub,2,Goodwood Publishing,"[{'eprintid': 24447, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'content': 'published', 'main': 'Hariri Sep 2020 Leadership in a school context IJFAM.pdf', 'docid': 38182, 'files': [{'filesize': 366159, 'datasetid': 'document', 'filename': 'Hariri Sep 2020 Leadership in a school context IJFAM.pdf', 'hash': '637ea1816cc1164dac51b9f6dbe1c6ad', 'hash_type': 'MD5', 'mtime': '2020-11-01 15:57:56', 'mime_type': 'application/pdf', 'fileid': 222282, 'uri': 'http://repository.lppm.unila.ac.id/id/file/222282', 'objectid': 38182}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38182', 'rev_number': 2}]",http://repository.lppm.unila.ac.id/id/eprint/24447,public,TRUE,2020-11-02 04:19:23,214,159-170,2020-11-02 04:19:23,,,,,,,,,,,,,
