,abstract,subjects,eprint_status,status_changed,metadata_visibility,volume,rev_number,official_url,title,eprintid,datestamp,lastmod,userid,refereed,uri,full_text_status,documents,publisher,ispublished,number,divisions,type,dir,date,creators,issn,publication,pagerange,date_type,corp_creators,id_number
0,"School-based management (SBM) is a management model that provides flexibility and freedom to schools that are 
expected to be able to manage and develop education with good education management in accordance with the potential, demands 
and needs that exist in schools. The management of SBM that occurs in school and community relations will provide a process of 
fostering and developing the personal growth of students so that it has an impact on improving the quality of schools. The problem 
is quite complex, one of which is the relationship between the school and the community.",['L1'],archive,2022-08-16 02:01:26,show,5,6,https://ijcsrr.org/single-view/?id=6772&pid=6617#article-content,"School and Community Relationship Management: 
  A Literature Review",44091,2022-08-16 02:01:26,2022-08-16 02:01:26,998,TRUE,http://repository.lppm.unila.ac.id/id/eprint/44091,public,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166095', 'format': 'text', 'pos': 1, 'files': [{'objectid': 166095, 'uri': 'http://repository.lppm.unila.ac.id/id/file/479432', 'datasetid': 'document', 'filesize': 177527, 'fileid': 479432, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-08-16 01:04:05', 'filename': '27-15-2022_ijcsrr_School and Community___Dr Riswanti Rini.pdf', 'hash': '6dc353de71e1d6c537955770389ce182'}], 'main': '27-15-2022_ijcsrr_School and Community___Dr Riswanti Rini.pdf', 'docid': 166095, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 44091}]",International Journal of Current Science Research and Review,pub,7.0,['FKIP5'],article,disk0/00/04/40/91,2022-07-22 00:00:00.000000000,"[{'name': {'given': 'Isyulianto', 'family': 'Andika Tua S', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Riswanti', 'lineage': None, 'honourific': None, 'family': 'Rini'}}]",2581-8341,International Journal of Current Science Research and Review,,,,
1,"engelolaan dokumen secara manual masih menjadi sarana utama dalam melaksanakan
tugas dan fungsinya pemerintah desa, padahal saran dan prasaran yang diberikan oleh pemerintah
pusat sudah memenuhi pengelolaan dokumen yang terintegrasi dengan teknologi maupun internet.
Pelibatan teknologi tersebut memberikan dampak yang signifikan dalam pelayanan publik, sistem
digitalisasi mampu meberikan kemudahan dalam kecepatan serta keamanan data. Tujuan dari
pengabdian ini adalah memberikan wawasan dan membekali pengetahun masyarakat secara teori
maupun praktik dalam pengelolaan dokumen secara digital. Pengelolaan data secara digital
memudahkan dari berbagai aspek palayanan yang diuraikan dalam pengabdian ini. Metode yang
digunakan dalam pelatihan ini pelatihan akan dilakukan melalui metode ceramah, simulasi, diskusi
dan praktik, dan latihan, tahap pertama pemaparan tentang pengelolaan dokumen seara digital,
kemudian dilanjutkan dengan praktik dan pendampingan. Evaluasi dilakukan diawal dan diakhir
kegiatan pelatihan, selanjutnya hasil tes dianalisis dan diperoleh ketercapaian pengabdian. Hasil
pelatihan dapat meningkatkan keterampilan dan pengetahuan perangkat desa, rata rata
peningkatan diperoleh sebesar 31,7%. Seluruh peserta mampu melakukan pengelolaan dokumen
secara digital yang melibatkan aplikasi perangkat lunak dan perangkat keras, serta mampu menjalan
salah satu ataupun secara kombinasi. Sebagai dampaknya adalah masyarakat memperoleh
manfaat pelayanan yang lebih baik dari sebelumnya. Salah satu kecamatan dipilih nantinya menjadi
contoh bagi desa lain yang akan melakukan pengelolaan digitalisasi dokumen",['L1'],archive,2023-04-18 01:03:20,show,3,6,https://sinergi.lppm.unila.ac.id/index.php/jsi/article/view/40,"Pelatihan Pengelolaan Dokumen Desa Secara
Digital di Kecamatan Mataram Baru Kabupaten
Lampung Timur",50626,2023-04-18 01:03:20,2023-04-18 01:03:20,998,TRUE,http://repository.lppm.unila.ac.id/id/eprint/50626,public,"[{'main': '40-Article Text-126-1-10-20220924_Pelatihan pengelolaan dokumen desa__.pdf', 'docid': 190327, 'files': [{'filesize': 391037, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2023-04-18 00:32:04', 'filename': '40-Article Text-126-1-10-20220924_Pelatihan pengelolaan dokumen desa__.pdf', 'hash': '30c7a8e3625ea9f8cfed1f168f8062b2', 'fileid': 545720, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/545720', 'objectid': 190327}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190327', 'eprintid': 50626, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",Lembaga Penelitian dan Pengabdian Kepada Masyarakat Universitas Lampung,pub,2.0,['FKIP5'],article,disk0_bak/00/05/06/26,2022-09-24 00:00:00.000000000,"[{'name': {'given': 'Hasan', 'honourific': None, 'family': 'Hariri', 'lineage': None}, 'id': 'hasan.hariri@staff.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Bujang Rahman', 'honourific': None, 'given': 'Rahman'}, 'id': None}, {'name': {'lineage': None, 'honourific': None, 'family': 'Riswanti', 'given': 'Rini'}, 'id': None}, {'id': None, 'name': {'lineage': None, 'family': 'bayu', 'honourific': None, 'given': 'syaputra'}}]",,Jurnal Sinergi,67-68,published,,
2,"Merebaknya kasus pandemi Corona Virus Disease 2019 (Covid-19) sejak  Desember  2019  sampai  saat  ini  mengharuskaan  semua proses  kegiatan  belajar  mengajar  bagi  peserta  didik  untuk sementara  waktu  dilakukan  di  rumah.  Hal  itu  perlu  dilakukan guna meminimalkan kontak fisik secara massal sehingga dapat memutus mata rantai penyebaran virus tersebut. Untuk mengisi kegiatan  belajar  mengajar   yang  harus  diselesaikan pada  tahun pelajaran  ini,  pemerintah  mengambil  kebijakan  pembelajaran dilakukan melalui pembelajaran jarak jauh dengan media daring (dalam jaringan), baik menggunakan ponsel, PC, maupun laptop. Pembelajaran  daring  yang  sudah  berjalan  membuat  guru  juga menimbulkan  stress  karena  banyaknya  kelas  dan  peserta  didik serta  tuntutan  dari  kondisi  atau  praksis  banyak  menimbulkan permasalahan. Dalam situasi darurat, guru harus bertindak cepat agar pembelajaran bisa berjalan efektif. Guru harus cepat dalam mengambil  tindakan  dan  mengelola  kelas  dalam  jarak jauh. Termasuk dalam mengelola materi dan tugas dalam durasi yang sangat pendek. Dalam jangka waktu yang tidak sebentar terdapat hambatan  yang  terjadi  baik  dari  sisi  guru  maupun  peserta didiknya.Pada saat mengalami stress, tanpa disadari tubuh akan melakukan  manajemen  stres.  Manajemen  dalam  menghadapi stres ini merupakan cara yang dilakukan agar kekebalan dirinya terhadap stres dapat ditingkatkan. Manajemen stres yang efektif akan  menghasilkan  adaptasi  menetap  sehingga  menimbulkan kebiasaan baru atau perbaikan dari situasi yang lama, sedangkan manajemen stres yang tidak efektif akan berakhir maladaptif yaitu perilaku yang menyimpang dan merugikan diri sendiri maupun orang lain",['L1'],archive,2023-04-17 09:26:15,show,3,6,http://e-jurnal.fkip.unila.ac.id/index.php/JPMIP/article/view/37,Manajemen Stres bagi Guru pada Masa Pandemi Covid-19,50613,2023-04-17 09:26:15,2023-04-17 09:26:15,998,TRUE,http://repository.lppm.unila.ac.id/id/eprint/50613,public,"[{'eprintid': 50613, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'main': '2-Article+Text-81-86-20221026_manajemen stres.pdf', 'docid': 190314, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/545613', 'objectid': 190314, 'hash': 'd0fb249428fe8d3aac3696402a497363', 'filename': '2-Article+Text-81-86-20221026_manajemen stres.pdf', 'mtime': '2023-04-17 06:56:31', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 545613, 'filesize': 209399, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190314', 'rev_number': 1}]",Ilmu Pendidikan Universitas Lampung,pub,2.0,['FKIP5'],article,disk0_bak/00/05/06/13,2022-07-13 00:00:00.000000000,"[{'name': {'given': 'Rini', 'lineage': None, 'family': 'Riswanti', 'honourific': None}}]",2963-105X,Jurnal Pengabdian Masyarakat Ilmu Pendidkan UNILA (JPMIP),67-68,published,,
3,"This article aims to find out how the principal's transformational leadership style improves teacher performance in
the 4.0 education era. This study uses a literature review method by examining national and international journal articles on
Google Scholar. The results of the literature review show that the principal's leadership style has a significant influence on teacher
performance. The influence of the principal's transformational leadership in improving teacher performance in the 4.0 education
era can be indicated from the following indicators: 1) principals foster self-confidence, motivation and high expectations to
achieve a vision of the future together, 2) principals set an example in school attendance , 3) principals become inspiration for
school members in improving competence, self-development, and performance, 4) principals become leaders who provide
knowledge and ways of thinking in finding information technology-based learning development strategies.",['L1'],archive,2023-03-09 06:39:25,show,5,8,http://www.ijcsrr.org/,Principal's Transformational Leadership in Education Era 4.0: A Literature Review,48883,2023-03-09 06:39:25,2023-03-09 06:39:25,998,TRUE,http://repository.lppm.unila.ac.id/id/eprint/48883,public,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 48883, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188322', 'pos': 1, 'format': 'text', 'files': [{'filesize': 639593, 'datasetid': 'document', 'hash': 'cb8f9b0101b339926c93e91568dca493', 'filename': 'ARTIKEL ISKANDAR.pdf', 'hash_type': 'MD5', 'mtime': '2023-03-09 04:21:26', 'mime_type': 'application/pdf', 'fileid': 532161, 'uri': 'http://repository.lppm.unila.ac.id/id/file/532161', 'objectid': 188322}], 'main': 'ARTIKEL ISKANDAR.pdf', 'docid': 188322}, {'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 48883, 'security': 'public', 'placement': 2, 'format': 'text', 'pos': 2, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188323', 'docid': 188323, 'main': 'ARTIKEL ISKANDAR.pdf', 'files': [{'hash': 'cb8f9b0101b339926c93e91568dca493', 'filename': 'ARTIKEL ISKANDAR.pdf', 'mtime': '2023-03-09 04:36:40', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 532163, 'filesize': 639593, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/532163', 'objectid': 188323}]}, {'security': 'public', 'placement': 3, 'eprintid': 48883, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/532165', 'objectid': 188324, 'filename': 'ARTIKEL ISKANDAR.pdf', 'hash': 'cb8f9b0101b339926c93e91568dca493', 'hash_type': 'MD5', 'mtime': '2023-03-09 04:36:50', 'mime_type': 'application/pdf', 'fileid': 532165, 'filesize': 639593, 'datasetid': 'document'}], 'main': 'ARTIKEL ISKANDAR.pdf', 'docid': 188324, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188324', 'format': 'text', 'pos': 3}]",IJCSRR,pub,,['FKIP5'],article,disk0_bak/00/04/88/83,2022-08-08 00:00:00.000000000,"[{'name': {'given': 'Riswanti', 'honourific': None, 'family': 'Riswanti Rini', 'lineage': None}}]",2581-8341,International Journal of Current Science Research and Review,2852-2860,published,,
4,"The principal as an educational leader in school institutions has an important role in advancing the educational
institutions he leads. The success or failure of educational institutions is strongly influenced by the ability of the principal as a leader
to be able to carry out his duties, one of which is helping teachers in improving their performance. The purpose of this study was to
determine the role of transformational leadership on teacher performance. This study uses a literature review. The result of this
discussion is the role of transformational leadership causes a teacher to work more enthusiastically and focused, so that the teaching
and learning process becomes transformative for every teacher.",['L1'],archive,2023-03-09 06:39:27,show,5,6,https://ijcsrr.org/wp-content/uploads/2022/11/05-05-2022.pdf,"Transformational Principal Leadership on Teacher Performance:
A Literature Review",48884,2023-03-09 06:39:27,2023-03-09 06:39:27,998,TRUE,http://repository.lppm.unila.ac.id/id/eprint/48884,public,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 48884, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188325', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'hash': '0cb1f259f13e840372b6a52a638399c1', 'filename': 'Jurnal Tika.pdf', 'mtime': '2023-03-09 04:43:59', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 532171, 'filesize': 180517, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/532171', 'objectid': 188325}], 'main': 'Jurnal Tika.pdf', 'docid': 188325}]",http://www.ijcsrr.org/,pub,,['FKIP5'],article,disk0_bak/00/04/88/84,2022-11-11 00:00:00.000000000,"[{'name': {'honourific': None, 'family': 'Riswanti Rini', 'lineage': None, 'given': 'Riswanti'}}]",2581-8341,nternational Journal of Current Science Research and Review,4106--4113,published,,
5,"Digital literacy is a media-based learning that combines education and technology with the hope that students can make the most of it. This requires learning skills, one of which is the ability to take the initiative to be responsible for learning materials, often called self-directed learning. The purpose of this study was to describe the effect of self-directed learning on students' level of digital literacy in online learning. This study used a quantitative approach with ex-post facto research type. The populations in this study were students of the University of Lampung with a sample of 947 taken using simple random sampling. The data collection instrument used was adapted from the Self Rating Scale of Self-Directed Learning (SRSSDL) and Digital Literacy Measurement (DLM). The data collected were analyzed using linear regression. The results showed the positive and significant effect of self-directed learning on the digital literacy level of students, with the contribution of 54.80%, and the rest was influenced by other factors that were not measured in this study. The effect also had a positive direction, which means that the higher the student's self-directed learning score, the better the digital literacy skills will be.",['L1'],archive,2022-04-26 03:06:59,show,15,6,https://www.e-iji.net/volumes/370-onlinefirst,The Effect of Self-Directed Learning on Students' Digital Literacy Levels in Online Learning,41420,2022-04-26 03:06:59,2022-04-26 03:06:59,998,TRUE,http://repository.lppm.unila.ac.id/id/eprint/41420,public,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163052', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/458918', 'objectid': 163052, 'mtime': '2022-04-26 02:46:06', 'hash_type': 'MD5', 'filename': 'iji_2022_3_18_(5).pdf', 'hash': '4772c0024d8a4666a50a4958e518fc6a', 'fileid': 458918, 'mime_type': 'application/pdf', 'filesize': 868503, 'datasetid': 'document'}], 'main': 'iji_2022_3_18_(5).pdf', 'docid': 163052, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 41420}]","Faculty of Education, Eskisehir Osmangazi University",pub,3.0,['FKIP5'],article,disk0/00/04/14/20,2022-07-01 00:00:00.000000000,"[{'id': None, 'name': {'honourific': None, 'family': 'Riswanti Rini', 'lineage': None, 'given': 'Riswanti'}}, {'name': {'given': 'Mujiyati', 'family': 'Mujiyati', 'honourific': None, 'lineage': None}, 'id': 'mujiyati@fkip.unila.ac.id'}, {'id': 'ismu.sukamto1101@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Ismu', 'lineage': None, 'given': 'Sukamto'}}, {'id': None, 'name': {'honourific': None, 'family': 'Hasan', 'lineage': None, 'given': 'Hariri'}}]",1694-609X,International Journal of Instruction,229-341,,['riswanti.rini@fkip.unila.ac.id'],
6,"Tujuan penelitian ini adalah mengetahui beberapa faktor internal yang berpengaruh 
terhadap literasi digital mahasiswa. Faktor-faktor yang difokuskan dalam penelitian 
ini adalah rasa ingin tahu dan determinasi diri. Metode yang digunakan adalah
penelitian kuantitatif dengan jumlah responden 656 mahasiswa dari beberapa 
perguruan tinggi di Indonesia. Teknik pengumpulan data menggunakan angket yang 
disusun ke dalam Google Form dan disesuaikan dengan indikator rasa ingin tahu, 
determinasi diri dan literasi digital. Teknik analisis data menggunakan uji statistik 
regeresi linier ganda dengan terlebih dahulu dilakukan uji asumsi klasik sebagai 
prasyarat. Hasil penelitian menunjukkan bahwa rasa ingin tahu dan determinasi diri 
berpengaruh positif dan signifikan terhadap literasi digital. Besar kontribusi yang 
dihasilkan yaitu 37,7% dan model persamaan regresi yaitu Y = 0,551X1 + 0,297X2+ 
55,268, di mana Y adalah literasi digital, X1 adalah rasa ingin tahu dan X2 adalah 
determinasi diri. Secara parsial baik rasa ingin tahu maupun determinasi diri juga 
berpengaruh signifikan terhadap literasi digital. Rasa ingin tahu memberikan 
kontribusi sebesar 35,1% sedangkan determinasi diri memberikan kontribusi 33,9%.
Penelitian selanjutnya dapat dilakukan untuk melihat pengaruh lain baik internal 
maupun eksternal terhadap literasi digital.",['L1'],archive,2022-10-31 02:52:44,show,10,6,https://journal.uny.ac.id/index.php/jamp/article/view/48774,Literasi Digital Mahasiswa Dan Faktor-Faktor Yang Berpengaruh,46110,2022-10-31 02:52:44,2022-10-31 02:52:44,998,TRUE,http://repository.lppm.unila.ac.id/id/eprint/46110,public,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184938', 'main': '48774-151848-1-PB_6.pdf', 'docid': 184938, 'files': [{'filename': '48774-151848-1-PB_6.pdf', 'hash': '8aaec0ea651952cae73f5c1cf4aac1a4', 'mtime': '2022-10-31 02:20:54', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 509997, 'filesize': 486169, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/509997', 'objectid': 184938}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 46110, 'placement': 1, 'security': 'public'}]",Faculty of Education Universitas Negeri Yogyakarta,pub,2.0,['FKIP5'],article,disk0/00/04/61/10,2022-09-30 00:00:00.000000000,"[{'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Riswanti Rini', 'given': 'Riswanti'}}, {'name': {'given': 'Suryadinata', 'lineage': None, 'honourific': None, 'family': 'Nurain'}, 'id': 'nurain.suryadinata@fkip.unila.ac.id'}, {'name': {'given': 'Efendi', 'lineage': None, 'honourific': None, 'family': 'Ujang'}, 'id': 'ujang.efendi@fkip.unila.ac.id'}]",2337-7895,Jurnal Akuntabilitas Manajemen Pendidikan,171-179,published,['riswanti.rini@fkip.unila.ac.id'],
7,"The purpose of this study was to analyze and describe the planning, organization, implementation and supervision of the Asesmen Nasional Berbasis Komputer (ANBK) at SMP Negeri 23 Krui, 3T regional schools (frontier, outermost and left behind). This research uses a qualitative approach with a case study research design. Data collection techniques using interviews, observation and document study. Sources of data from this study amounted to 8 people with key informants the principal, and the deputy head informant, 2 teachers, 2 students, school committees and school operators. Data analysis techniques were carried out by collecting data, reducing data, presenting data, and drawing conclusions. The research results show that: 1). Planning is done by containing 6 (six) elements, namely: the what, the why, the where, the when, the who, and the how. 2). The organization is carried out by establishing the ANBK committee, facilities and infrastructure in ANBK activities, and dividing the time for ANBK activities. 3). Implementation is carried out with motivation, leadership, staff arrangement and coordination. 4). Supervision is carried out to determine the supporting factors, inhibiting factors, efficiency, effectiveness and stakeholders. 
Keywords: Management, Asesmen Nasional Berbasis Komputer (ANBK), Regional School 3T (frontier, outermost and least behind)",['L1'],archive,2022-04-26 08:09:36,show,1,6,https://ijersc.org/index.php/go/article/view/263,"Management Of Asesmen Nasional Berbasis Komputer (Anbk) In Smp Negeri 23 Krui Regional School 3t (Frontier, Outermost Left Behind)",41448,2022-04-26 08:09:36,2022-04-26 08:09:36,998,TRUE,http://repository.lppm.unila.ac.id/id/eprint/41448,public,"[{'security': 'public', 'placement': 1, 'eprintid': 41448, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 163082, 'uri': 'http://repository.lppm.unila.ac.id/id/file/459130', 'fileid': 459130, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-04-26 06:48:03', 'filename': '263-Article Text-1891-1-10-20220211_(4)_management of asesmen__.pdf', 'hash': 'cff7334b6c8b2d08d4493f268045a033', 'datasetid': 'document', 'filesize': 278494}], 'docid': 163082, 'main': '263-Article Text-1891-1-10-20220211_(4)_management of asesmen__.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/163082', 'rev_number': 1, 'format': 'text', 'pos': 1}]",Cv. Inara,pub,1.0,['FKIP5'],article,disk0/00/04/14/48,2022-02-01 00:00:00.000000000,"[{'id': None, 'name': {'honourific': None, 'family': 'Sadita Wyddia', 'lineage': None, 'given': 'Shiura'}}, {'name': {'lineage': None, 'family': 'Riswanti Rini', 'honourific': None, 'given': 'Riswanti'}, 'id': None}, {'id': None, 'name': {'lineage': None, 'family': 'Hasan', 'honourific': None, 'given': 'Hariri'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Sowiyah', 'given': 'Sowiyah'}, 'id': 'sowi.unila@gmail.com'}]",: 2774-540,International Journal of Educational Research & Social Sciences,166-175,,['saditashiura21@gmail.com'],
8,"This article aims to find out how the principal's transformational leadership style improves teacher performance in 
the 4.0 education era. This study uses a literature review method by examining national and international journal articles on 
Google Scholar. The results of the literature review show that the principal's leadership style has a significant influence on teacher 
performance. The influence of the principal's transformational leadership in improving teacher performance in the 4.0 education 
era can be indicated from the following indicators: 1) principals foster self-confidence, motivation and high expectations to 
achieve a vision of the future together, 2) principals set an example in school attendance , 3) principals become inspiration for 
school members in improving competence, self-development, and performance, 4) principals become leaders who provide 
knowledge and ways of thinking in finding information technology-based learning development strategies.",['L1'],archive,2022-08-16 02:01:31,show,5,6,https://ijcsrr.org/single-view/?id=7035&pid=7006,"Principal's Transformational Leadership in Education Era 4.0: 
A Literature Review",44092,2022-08-16 02:01:31,2022-08-16 02:01:31,998,TRUE,http://repository.lppm.unila.ac.id/id/eprint/44092,public,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/479438', 'objectid': 166096, 'mtime': '2022-08-16 01:20:51', 'hash_type': 'MD5', 'filename': '07-02-2022_ijcsrr_Principal’s Transformational Leadership____Dr Riswanti Rini.pdf', 'hash': 'eb5deace116923b6f80816d78c14a80b', 'fileid': 479438, 'mime_type': 'application/pdf', 'filesize': 623634, 'datasetid': 'document'}], 'docid': 166096, 'main': '07-02-2022_ijcsrr_Principal’s Transformational Leadership____Dr Riswanti Rini.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166096', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 44092, 'language': 'en', 'mime_type': 'application/pdf'}]",International Journal of Current Science Research and Review,pub,8.0,['FKIP5'],article,disk0/00/04/40/92,2022-08-02 00:00:00.000000000,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Saputra', 'given': 'Iskandar'}}, {'name': {'given': 'Riswanti', 'lineage': None, 'family': 'Rini', 'honourific': None}}, {'name': {'lineage': None, 'family': 'Hariri', 'honourific': None, 'given': 'Hasan'}}]",2581-8341,International Journal of Current Science Research and Review,,,,
9,"Tujuan khusus yang akan dicapai dalam kegiatan ini adalah terlatihnya peersta memahami Konvensi hak anak melalui keluarga ramah ayak (KRA) dalam mewujudkan Kota Layak Anak (KLA) dan meningkatkan pemahaman konvensi hak anak KHA) dalam rangka percepatan terwujudnya Kelurahan Layak Anak. Strategi yang digunakan untuk mencapai tujuan tersebut adalah sesuai misi yang tertuang dalam Visi dan Misi Walikota Metro mengenai pencegahan kekerasan pada perempuan dan anak. Kegiatan ini dilaksanakan dalam rangka memberi penguatan dan pembekalan bagi Kader PKK, Kader Dasa Wisma, Kader Posyandu, dan Kader Forum Anak Kelurahan Ganjar Agung. Metro memiliki 22 kelurahan yang terdiri dari 13 PKK,  RT, dan Kelompok Dasa wisma yang membina 10-20 keluarga. Kelurahan Ganjar Agung terdiri dari 13 PKK RW.  Metode yang digunakan adalah sosialisasi, penugasan, praktik, diskusi kelompok, dan pendampingan dengan julah peserta 43 orang kader PKK, Dasa wisma. Dan kader Posyandu. Tempat Kegiatan di kantor Kelurahan Ganjar Agung, Kecamatan Metro Barat pada Hari Rabu, 6 Oktober 2021 dengan jumlah peserta 43 Orang. Hasil dari preetes dan postes pada aspek, terdapat kenaikan secara signifikan katerori berhasil. Pada pemahaman, terdapat kenaikan yang signifikan kategori Berhasil.","['L1', 'LA']",archive,2022-07-04 02:05:43,show,1,7,http://e-jurnal.fkip.unila.ac.id/index.php/nuwo/article/view/23,"Pelatihan Konvesi Hak Anak (KHA) bagi Pengurus Dasar Wisma 
  dalam Mewujudkan Keluarga Ramah Anak (KRA) Kelurahan 
  Ganjar Agung Kota Metro",42870,2022-07-04 02:05:43,2022-07-04 02:05:43,998,TRUE,http://repository.lppm.unila.ac.id/id/eprint/42870,public,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164618', 'docid': 164618, 'main': 'document_KHA_.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/469587', 'objectid': 164618, 'filename': 'document_KHA_.pdf', 'hash': 'c7ae2045b29f4f789c2be3d676460a7b', 'mtime': '2022-07-01 07:41:54', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 469587, 'filesize': 228143, 'datasetid': 'document'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 42870, 'security': 'public', 'placement': 1}]",FKIP Universitas Lampung,pub,1.0,['FKIP5'],article,disk0/00/04/28/70,1970-01-01 00:00:00.000002022,"[{'name': {'lineage': None, 'family': 'Sowiyah', 'honourific': None, 'given': 'Sowiyah'}}, {'name': {'given': 'Rahman', 'honourific': None, 'family': 'Bujang Rahman', 'lineage': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Karwan', 'given': 'Dedy Hermanto'}}, {'name': {'family': 'Riswanti', 'honourific': None, 'lineage': None, 'given': 'Rini'}}]",2829-5188,Nuwo Abdimas,64-69,published,,
