,subjects,abstract,status_changed,eprint_status,rev_number,volume,metadata_visibility,title,date_type,eprintid,datestamp,lastmod,userid,uri,full_text_status,refereed,number,ispublished,documents,publisher,divisions,type,dir,date,publication,issn,creators,pagerange,official_url,event_type,event_dates,event_title,event_location,pres_type,corp_creators,id_number,related_url,contributors,place_of_pub,succeeds,referencetext,note,keywords,contact_email
0,['L1'],"The Covid-19 pandemic has a major impact on various sectors, one of which is education. Educators are required to design learning media as an innovation by utilizing online media. Especially for educators, they are demanded to be creative in delivering material through online learning media. This also needs to be adjusted to the level of education in its needs. This is certainly not an easy thing, because the teacher is not fully prepared. Along with the development of technology in the era of the industrial revolution 4.0, Augmented Reality (AR) provides the widest possible opportunity for the involvement of students in conducting exploration, elaboration, and creativity in an integrative manner by bridging the virtual and real world in physical phenomena. Several recent studies or even in our previous research, only reviewed how general and general teacher perceptions of AR content in the media developed, but not yet at the stage of exploring student's intention and teacher beliefs about the potential of STEM-AR if applied. We used explanatory sequential mixed method design involving 195 teachers and 183 students in Lampung Province. The results show that the level of teacher belief and expectation on the application of STEM-AR in physics learning is also in a very high category. In addition, student's intention to learn with STEM-AR is in a high category which can be described from the aspects of interest, motivation, and commitment.",2020-11-20 04:38:27,archive,7,8.0,show,"Teacher’s belief, expectation, and student’s intention towards augmented reality in learning physics during the pandemic",published,26438,2020-11-20 04:38:27,2020-11-20 04:38:27,435,http://repository.lppm.unila.ac.id/id/eprint/26438,public,TRUE,2,pub,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40332', 'rev_number': 1, 'docid': 40332, 'main': '3. artikel-JPF.pdf', 'files': [{'objectid': 40332, 'uri': 'http://repository.lppm.unila.ac.id/id/file/238020', 'datasetid': 'document', 'filesize': 349982, 'fileid': 238020, 'mime_type': 'application/pdf', 'mtime': '2020-11-20 04:29:13', 'hash_type': 'MD5', 'hash': '937a2723c0048059e773cbd3aee5c8a3', 'filename': '3. artikel-JPF.pdf'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 26438, 'security': 'public', 'placement': 1}]",Universitas Lampung,['FKIP9'],article,disk0/00/02/64/38,2020-12-01 00:00:00.000000000,Jurnal Pembelajaran Fisika,2302-0105,"[{'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'family': 'Abdurrahman', 'honourific': None, 'lineage': None, 'given': 'Abdurrahman'}}, {'id': 'doniandra.fisika10@gmail.com', 'name': {'given': 'Doni', 'lineage': None, 'honourific': None, 'family': 'Andra'}}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Linda', 'given': 'Agustina'}}, {'id': 'novintanurulsari@fkip.unila.ac.id', 'name': {'given': 'Novinta', 'family': 'Nurulsari', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Hervin', 'lineage': None, 'honourific': None, 'family': 'Maulina'}, 'id': 'hervin.maulina@fkip.unila.ac.id'}, {'id': 'ismusukamto.11@gmail.com', 'name': {'honourific': None, 'family': 'Sukamto', 'lineage': None, 'given': 'Ismu'}}]",,,,,,,,,,,,,,,,,
1,['L1'],"This research aims to develop open ended-based worksheet in improving students' high-level thinking skills on static fluid materials. The method used in this research is Research and Development (R&D) with 3 steps namely, the initial stage, then the design and development of the product, and finally the product testing. The data analysis technique for product effectiveness is with the main field trials, namely (1) N-gain analysis, (2) paired t-test, (3) ANCOVA, and finally (4) effect size test. From the test results obtained information that conducted 10 students showed the results of the development worksheets obtained the average worth of development products by 90% this value is included in the very high category, while the student response of the average of 88% and also the readability response of 89% in the very high category. In the results of the n-gain analysis also show the value is0.70, that mean medium category. From the results of this study, it can be concluded that worksheets based on open ended can improve students' higher-order thinking skills. So, in further development we suggest that open ended-based on worksheet is not only applied to static fluid material, but also in other materials.",2020-11-16 01:25:02,archive,7,9.0,show,Development and Validation of Open Ended Based on Worksheet for Growing Higher Level Thinking Skills of Students,published,25161,2020-11-16 01:25:02,2020-11-16 01:25:02,435,http://repository.lppm.unila.ac.id/id/eprint/25161,public,TRUE,2,pub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38941', 'format': 'text', 'pos': 1, 'files': [{'objectid': 38941, 'uri': 'http://repository.lppm.unila.ac.id/id/file/227608', 'fileid': 227608, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-11-13 13:22:10', 'filename': 'EU-JER April 2020.pdf', 'hash': 'f2c0abb56471da99a620aeda48011376', 'datasetid': 'document', 'filesize': 960435}], 'main': 'EU-JER April 2020.pdf', 'docid': 38941, 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 25161}]",Eurasian Society of Educational Research,['FKIP9'],article,disk0/00/02/51/61,2020-04-01 00:00:00.000000000,European Journal of Educational Research,2165-8714,"[{'name': {'family': 'Abdurrahman', 'honourific': None, 'lineage': None, 'given': 'Abdurrahman'}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}, {'id': 'sunaryoromli@gmail.com', 'name': {'given': 'S', 'family': 'Romli', 'honourific': None, 'lineage': None}}, {'id': 'wayandistrik8@gmail.com', 'name': {'given': 'I Wayan', 'honourific': None, 'family': 'Distrik', 'lineage': None}}, {'id': 'kkartini.herlina@gmail.com', 'name': {'lineage': None, 'family': 'Herlina', 'honourific': None, 'given': 'Kartini'}}, {'name': {'lineage': None, 'family': 'Umam', 'honourific': None, 'given': 'Rofiqul'}, 'id': None}, {'id': None, 'name': {'family': 'Ramadhani', 'honourific': None, 'lineage': None, 'given': 'Rahmi'}}, {'name': {'given': 'Sri', 'lineage': None, 'honourific': None, 'family': 'Sumarni'}, 'id': None}]",445-455,https://www.eu-jer.com/development-and-validation-of-open-ended-based-on-worksheet-for-growing-higher-level-thinking-skills-of-students,,,,,,,,,,,,,,,
2,['L1'],". The objective of this research was to produce a valid and practical student worksheet
using Science Technology Engineering and Mathematics (STEM)-based multiple
representations and integrated with twenty first century learning in vibration and wave topic.
This research used Research and Development (R & D) method by following 4-D model steps.
15 sample students of grade XI were taken with random sampling. Research instruments were
validation sheets, student worksheet implementation observation sheets, and questionnaires.
Data were analyzed descriptively and qualitatively. The result showed that the student worksheet
by using STEM approach based on integrated multiple representations and integrated with
twenty first century learning was: 1) valid by content with average score of 85.41 and valid by
construct with average score of 83.88; 2) practical to use in vibrations and waves learning
materials and it was shown by average student worksheet implementation by above 80% and
86.66% positive students’ responses to the student worksheet.
Keyword: Student worksheet, STEM approach, multiple representations.",2021-11-14 02:08:26,archive,8,,show,The validity and practicality of the student worksheet using STEMbased multiple representations in physics learning,published,36720,2021-11-14 02:08:26,2021-11-14 02:08:26,706,http://repository.lppm.unila.ac.id/id/eprint/36720,public,TRUE,,pub,"[{'files': [{'mime_type': 'application/pdf', 'fileid': 422662, 'hash': 'e3f90d033bc079d185892e6bf4ad9c01', 'filename': 'Anggraeni_2021_J._Phys.__Conf._Ser._1796_012016 (1).pdf', 'mtime': '2021-11-14 00:10:43', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 619724, 'objectid': 157633, 'uri': 'http://repository.lppm.unila.ac.id/id/file/422662'}], 'docid': 157633, 'main': 'Anggraeni_2021_J._Phys.__Conf._Ser._1796_012016 (1).pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157633', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 36720, 'language': 'en', 'mime_type': 'application/pdf'}]",,['FKIP9'],conference_item,disk0/00/03/67/20,1970-01-01 00:00:00.000002020,Young Scholar Symposium on Science Education and Environment (YSSSEE) 2020,,"[{'name': {'given': 'AA', 'lineage': None, 'family': 'Anggraeni', 'honourific': None}, 'id': None}, {'id': 'wayandistrik8@gmail.com', 'name': {'honourific': None, 'family': 'Distrik', 'lineage': None, 'given': 'I Wayan'}}, {'id': 'undangros@yahoo.com', 'name': {'given': 'Undang', 'lineage': None, 'family': 'Rosidin', 'honourific': None}}]",,https://iopscience.iop.org/article/10.1088/1742-6596/1796/1/012016,conference,20-23 September 2020,Young Scholar Symposium on Science Education and Environment (YSSSEE),Bandar Lampung,paper,,,,,,,,,,
3,['L1'],"The purpose of thiis research is to develop multimedia with the STEM approach to stimulate HOTS on bioenergy and wind energy materials. The research and development (R&D) method uses the ADDIE design which consists of 5 step, namely: analysis, design, development, implementation, and evaluation. This article will only report the first two stages namely analysis and design. The instrument used was a product needs analysis questionnaire and a practitioner validation sheet using a Likert scale. The data source of the needs analysis phase is high school students and physics teachers in Lampung Province. Product design validation was carried out by professional physics-teacher teachers with a Masters in Physics Education qualification. Where data is collected via Google Form and analyzed using descriptive qualitative. The results showed that multimeEdia to stimulate HOTS on bioenergy and wind energy was needed in the field. Multimedia which has the potential to stimulate HOTS on bioenergy and wind energy materials consists of videos and simulation of bioenergy and wind energy plants that contain all STEM.

Keywords: bioenergy, multimedia, stimulating HOTS, STEM, wind energy",2021-05-30 15:26:57,archive,7,8.0,show,STEM-Based Multimedia Design for Stimulating HOTS in Theory Bioenergy and Wind Energy: Perception Physics Teacher,published,31315,2021-05-30 15:26:57,2021-05-30 15:26:57,1075,http://repository.lppm.unila.ac.id/id/eprint/31315,public,TRUE,2,pub,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 31315, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/141500', 'rev_number': 1, 'docid': 141500, 'main': 'Farah-AS-Vi 2020.pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 371046, 'filename': 'Farah-AS-Vi 2020.pdf', 'hash': 'f1bd9f1d477d195de4d39ba9b9c12ab3', 'mtime': '2021-05-29 14:59:14', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 549667, 'objectid': 141500, 'uri': 'http://repository.lppm.unila.ac.id/id/file/371046'}]}]",Universitas Lampung,['FKIP9'],article,disk0/00/03/13/15,1970-01-01 00:00:00.000002020,Jurnal Pembelajaran Fisika,2302-0105,"[{'name': {'given': 'Farah', 'family': 'Aulia', 'honourific': None, 'lineage': None}, 'id': None}, {'name': {'lineage': None, 'family': 'Suyatna', 'honourific': None, 'given': 'Agus'}, 'id': 'asuyatna@yahoo.com'}, {'id': 'viyanti.1980@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Viyanti', 'honourific': None, 'given': 'Viyanti'}}]",136-139,http://jurnal.fkip.unila.ac.id/index.php/JPF/article/view/21268,,,,,,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",http://dx.doi.org/10.23960/jpf.v8.n2.202001,"[{'type': 'pub', 'url': 'http://jurnal.fkip.unila.ac.id/index.php/JPF/article/view/21268'}]",,,,,,,
4,"['L1', 'LB1501', 'LC5201']",,2020-06-17 08:34:12,archive,9,,show,Construction A Simple Distillation Apparatus From Used Goods By Using Project-Based Learning.,,22570,2020-06-17 08:34:12,2020-06-17 08:34:12,624,http://repository.lppm.unila.ac.id/id/eprint/22570,public,,,unpub,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 22570, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36029', 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 739367, 'mime_type': 'application/pdf', 'fileid': 207009, 'hash': 'b928c0bc79b5a954d99c4afacb584ab9', 'filename': '06 CONSTRUCTION A SIMPLE.pdf', 'hash_type': 'MD5', 'mtime': '2020-06-17 07:31:57', 'objectid': 36029, 'uri': 'http://repository.lppm.unila.ac.id/id/file/207009'}], 'main': '06 CONSTRUCTION A SIMPLE.pdf', 'docid': 36029}]",FKIP Unila,['FKIP9'],other,disk0/00/02/25/70,1970-01-01 00:00:00.000002020,,,"[{'id': 'chansyanah.diawati@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Diawati', 'honourific': None, 'given': 'Chansyanah'}}, {'id': 'kadaritna@yahoo.com', 'name': {'given': 'Nina', 'lineage': None, 'honourific': None, 'family': 'Kadaritna'}}]",,,,,,,,"['Jurusan Pendidikan MIPA FKIP Unila', 'Jurusan Pendidikan MIPA FKIP Unila']",,,"[{'type': 'http://www.loc.gov/loc.terms/relators/REV'}, {'type': 'http://www.loc.gov/loc.terms/relators/REV'}]",,,,,,
5,"['L1', 'LB1501', 'LC5201']",,2020-06-17 08:34:48,archive,9,,show,"Improving The Students "" Creative Thinking Using Problem Based Worksheet on The Topic of Envirotment Pollution.",,22576,2020-06-17 08:34:48,2020-06-17 08:34:48,624,http://repository.lppm.unila.ac.id/id/eprint/22576,public,,,unpub,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 22576, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36035', 'rev_number': 1, 'main': '11 IMPROVING THE STUDENTS.pdf', 'docid': 36035, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/207061', 'objectid': 36035, 'filesize': 841775, 'datasetid': 'document', 'mtime': '2020-06-17 07:40:41', 'hash_type': 'MD5', 'filename': '11 IMPROVING THE STUDENTS.pdf', 'hash': '236bb1393b067c8da15ef81aa1ff2bbb', 'fileid': 207061, 'mime_type': 'application/pdf'}]}]",FKIP Unila,['FKIP9'],other,disk0/00/02/25/76,1970-01-01 00:00:00.000002020,,,"[{'name': {'lineage': None, 'family': 'Diawati', 'honourific': None, 'given': 'Chansyanah'}, 'id': 'chansyanah.diawati@fkip.unila.ac.id'}, {'id': 'kadaritna@yahoo.com', 'name': {'given': 'Nina', 'lineage': None, 'honourific': None, 'family': 'Kadaritna'}}]",,,,,,,,"['Jurusan Pendidikan MIPA FKIP Unila', 'Jurusan Pendidikan MIPA FKIP Unila']",,,"[{'type': 'http://www.loc.gov/loc.terms/relators/REV'}, {'type': 'http://www.loc.gov/loc.terms/relators/REV'}]",,,,,,
6,"['L1', 'LB1501', 'LC5201']",,2020-06-17 08:35:11,archive,9,,show,MENINGKATKAN KEMAMPUAN METAKOGNISI SISWA PADA PEMBELAJARAN FISIKA MENGGUNAKAN LEMBAR KERJA SISWA BERBASIS INKUIRI TERBIMBING,,22581,2020-06-17 08:35:11,2020-06-17 08:35:11,624,http://repository.lppm.unila.ac.id/id/eprint/22581,public,,,unpub,"[{'main': '14 MENINGKATKAN KEMAMPUAN METAKOGNISI.pdf', 'docid': 36040, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/207099', 'objectid': 36040, 'filesize': 779634, 'datasetid': 'document', 'mtime': '2020-06-17 07:46:32', 'hash_type': 'MD5', 'hash': 'c38749ef887f4b691dd8aaca7f01d16a', 'filename': '14 MENINGKATKAN KEMAMPUAN METAKOGNISI.pdf', 'fileid': 207099, 'mime_type': 'application/pdf'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36040', 'eprintid': 22581, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",FKIP Unila,['FKIP9'],other,disk0/00/02/25/81,1970-01-01 00:00:00.000002020,,,"[{'name': {'lineage': None, 'family': 'Diawati', 'honourific': None, 'given': 'Chansyanah'}, 'id': 'chansyanah.diawati@fkip.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Kadaritna', 'honourific': None, 'given': 'Nina'}, 'id': 'kadaritna@yahoo.com'}]",,,,,,,,"['Jurusan Pendidikan MIPA FKIP Unila', 'Jurusan Pendidikan MIPA FKIP Unila']",,,"[{'type': 'http://www.loc.gov/loc.terms/relators/REV'}, {'type': 'http://www.loc.gov/loc.terms/relators/REV'}]",,,,,,
7,"['L1', 'LB1501', 'LC5201']",,2020-06-17 08:35:02,archive,9,,show,"Using 5E Learning Cycle-Based Laboratory Activity in Improving Students ""Problem Solving Skills on Mixture Separation.",,22579,2020-06-17 08:35:02,2020-06-17 08:35:02,624,http://repository.lppm.unila.ac.id/id/eprint/22579,public,,,unpub,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 22579, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36038', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/207086', 'objectid': 36038, 'filesize': 780292, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2020-06-17 07:44:43', 'filename': '13 USING 5E LEARNING.pdf', 'hash': '13adf4afa40a2e33a27dcb8070af939e', 'fileid': 207086, 'mime_type': 'application/pdf'}], 'main': '13 USING 5E LEARNING.pdf', 'docid': 36038}]",FKIP Unila,['FKIP9'],other,disk0/00/02/25/79,1970-01-01 00:00:00.000002020,,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Diawati', 'given': 'Chansyanah'}, 'id': 'chansyanah.diawati@fkip.unila.ac.id'}, {'name': {'given': 'Nina', 'honourific': None, 'family': 'Kadaritna', 'lineage': None}, 'id': 'kadaritna@yahoo.com'}]",,,,,,,,"['Jurusan Pendidikan MIPA FKIP Unila', 'Jurusan Pendidikan MIPA FKIP Unila']",,,"[{'type': 'http://www.loc.gov/loc.terms/relators/REV'}, {'type': 'http://www.loc.gov/loc.terms/relators/REV'}]",,,,,,
8,['L1'],"- The purpose of this research was to describe the roles of HOTS-oriented creative inquiry learning
model in improving self-ef icacy and solving problem ability in physics problems to be seen from the gender of
senior high school students in Lampung province, Indonesia. This research used the static-group pretest-posttest
design. One hundred sixty-five students from five public Senior High Schools in Lampung province, Indonesia, were
taken as samples by using random cluster sampling. Problem-solving ability data were obtained from the essay test
by using a problem-solving ability survey (PSA), while data of students' self-ef icacy level toward physics subjects
were collected by using the physics self-ef icacy scale (PSES). The percentage of n-gain average determined the
improvements of self-ef icacy and problem-solving ability, dif erences between pretest and posttest, and dif erences
between male and female students' abilities were determined by using the Wilcoxon test. The correlation between
self-ef icacy and problem-solving ability was determined by using Spearman's' coef icient of correlation test. The
research result showed that there were significant improvements in self-ef icacy and problem-solving ability in
physics problems at a significance level of 0.05. The self-ef icacy and problem-solving ability of male students were
higher than female students. There was a correlation between students' self-ef icacy and problem-solving ability in
physics.",2020-11-19 11:33:05,archive,6,24.0,show,"The Role of Hots-Oriented Creative Inquiry
Model for Improving Self-Efficacy and
Physics Problem-Solving Ability
In Gender Perspectives",published,26204,2020-11-19 11:33:05,2020-11-19 11:33:05,706,http://repository.lppm.unila.ac.id/id/eprint/26204,public,TRUE,9,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 26204, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40090', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/236148', 'objectid': 40090, 'hash_type': 'MD5', 'mtime': '2020-11-19 04:10:34', 'filename': '18. PR290256 Wayan Distrik  dkk.pdf', 'hash': '1264a806fd257c7f511e7b9508c334db', 'fileid': 236148, 'mime_type': 'application/pdf', 'filesize': 229478, 'datasetid': 'document'}], 'main': '18. PR290256 Wayan Distrik  dkk.pdf', 'docid': 40090}]",Hampstead Psychological Associates,['FKIP9'],article,disk0/00/02/62/04,1970-01-01 00:00:00.000002020,international journal of psychosocial rehabilitation,1475-7192,"[{'id': 'wayandistrik8@gmail.com', 'name': {'family': 'Distrik', 'honourific': None, 'lineage': None, 'given': 'I Wayan'}}, {'name': {'given': 'Undang', 'lineage': None, 'honourific': None, 'family': 'Rosidin'}, 'id': 'undangros@yahoo.com'}, {'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'given': 'Abdurrahman', 'lineage': None, 'family': 'Abdurrahman', 'honourific': None}}]",,https://www.psychosocial.com/,,,,,,,,,,,,,,,
9,['L1'],"This study aims to design student worksheets with STEM 
approaches that accommodate student’s learning styles and initial
knowledge so that it has the potential to reduce differences in 
scientific reasoning and student argumentation performance on 
wind energy and water energy materials. The development model 
refers to the stage of the ADDIE model: Analyze, Design, 
Develop, and Implementation. The stages of development 
reported in this article are only the analysis and design stages. 
Needs analysis data obtained through questionnaire distribution, 
interviews, and document reviews sourced from high school 
students and teachers in Lampung. Data were analyzed using 
descriptive qualitative analysis. The results of this study are 
teachers and students need student worksheet designs that have 
the potential to reduce differences in scientific reasoning and 
student argumentation performance. Student worksheet designs 
have the potential to reduce differences in scientific reasoning and 
argumentation performance on wind and water energy materials 
that are developed using the PjBl (Project Based Learning) steps
and integrated of STEM (Science, Technology, Engineering, and 
Mathematics) to facilitate students doing problem-solving 
activities, gathering information, preparing project plans, making 
projects, and communicating. The results of the suitability of the 
activities in the student worksheets with the STEM approach 
obtained an average value of 4.3 and the effectiveness of the 
student worksheets with an average score of 4.3. Based on the 
results of the assessment, it shows that all components are 
assessed to get a score of 4.20-4.5, so the design of this student 
worksheet is declared very appropriate and can be used to 
accommodate learning styles and initial knowledge and reduce 
differences in scientific reasoning and argumentation 
performance.",2021-11-11 01:09:15,archive,6,48.0,show,Design of Student Worksheet to Accommodate Learning Style and Initial Knowledge and Reduce The Differences of Scientific Reasoning and Argumentation Performance,published,35731,2021-11-11 01:09:15,2021-11-11 01:09:15,679,http://repository.lppm.unila.ac.id/id/eprint/35731,public,TRUE,,pub,"[{'docid': 156671, 'main': 'Design of Student Worksheet to Accommodate Learning Style and, haza.pdf', 'files': [{'objectid': 156671, 'uri': 'http://repository.lppm.unila.ac.id/id/file/415573', 'mime_type': 'application/pdf', 'fileid': 415573, 'hash': '75875f2f3c126b5c83570e6f009be04d', 'filename': 'Design of Student Worksheet to Accommodate Learning Style and, haza.pdf', 'hash_type': 'MD5', 'mtime': '2021-11-10 03:01:54', 'datasetid': 'document', 'filesize': 321480}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/156671', 'rev_number': 1, 'eprintid': 35731, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",UNS,['FKIP9'],article,disk0/00/03/57/31,1970-01-01 00:00:00.000002020,ICLIQE 2020: Proceedings of the 4th International Conference on Learning Innovation and Quality EducationSeptember 2020 Article No.: 48Pages 1–7https://doi.org/10.1145/3452144.3453752,978-1-4503-7572-6,"[{'id': None, 'name': {'honourific': None, 'family': 'Haza Kurnia Dinatika', 'lineage': None, 'given': 'Haza'}}, {'name': {'family': 'Viyanti', 'honourific': None, 'lineage': None, 'given': 'Viyanti'}, 'id': 'viyanti.1980@fkip.unila.ac.id'}, {'name': {'family': 'Agus Suyatna', 'honourific': None, 'lineage': None, 'given': 'AS'}, 'id': None}]",1-7,https://dl.acm.org/doi/10.1145/3452144.3453752,,,,,,"['Viyanti', 'Agus Suyatna']",,,,,,,,,
