,related_url,status_changed,title,metadata_visibility,volume,rev_number,userid,pagerange,documents,refereed,uri,full_text_status,creators,issn,publication,dir,eprint_status,abstract,subjects,official_url,eprintid,date_type,corp_creators,lastmod,datestamp,publisher,number,ispublished,type,divisions,id_number,date,pres_type,event_title,event_location,event_dates,event_type,contributors
0,[{'url': 'https://iopscience.iop.org/article/10.1088/1742-6596/1796/1/012102/meta'}],2021-06-02 01:08:01,Facilitating student involvement in physics learning through worksheets assisted by augmented reality during the covid-19 pandemic: Analysis of teacher perceptions,show,1796.0,7,44,012102-1-012102-7,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 31624, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/143236', 'docid': 143236, 'main': 'Agustiana_2021_J._Phys.__Conf._Ser._1796_012102.pdf', 'files': [{'fileid': 374805, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-06-01 13:41:02', 'filename': 'Agustiana_2021_J._Phys.__Conf._Ser._1796_012102.pdf', 'hash': 'cf939077ff52bab619a710467baf1f05', 'datasetid': 'document', 'filesize': 722256, 'objectid': 143236, 'uri': 'http://repository.lppm.unila.ac.id/id/file/374805'}]}]",TRUE,http://repository.lppm.unila.ac.id/id/eprint/31624,public,"[{'name': {'honourific': None, 'family': 'Agustiana', 'lineage': None, 'given': 'Linda'}, 'id': None}, {'name': {'given': 'Abdurrahman', 'honourific': None, 'family': 'Abdurrahman', 'lineage': None}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}, {'id': 'doniandra.fisika10@gmail.com', 'name': {'given': 'Doni', 'family': 'Andra', 'honourific': None, 'lineage': None}}, {'name': {'lineage': None, 'family': 'Widyanti', 'honourific': None, 'given': 'Reny'}, 'id': None}, {'name': {'given': 'Maretha', 'honourific': None, 'family': 'Zahara', 'lineage': None}, 'id': None}]",Print : 1742-6588 Online : 1742-6596,Journal of Physics: Conference Series,disk0/00/03/16/24,archive,One of the obstacles faced in physics learning during the COYID-19 pandemic is the low students' involvement in the learning activities. This research was aimed to describe the views of Islamic school physics teachers on the importance of. Augmented Reality-assisted worksheet teaching materials in facilitating students' involvement in the learning process This research involved 31 Islamic high school physics teachers in Lampung Province. Indonesia. The explanatory design mixed methods were used in this research. The results showed that the Augmented Reality-assisted worksheet could increase potentially student involvement in physics learning diuing the pandemic by implementing a learning management system smted to students' learning needs and facilities. The results of this research also illustrated the importance of designing worksheets that support the effectiveness of online learning during the COYID-19 pandemic.,['L1'],https://iopscience.iop.org/journal/1742-6596,31624,published,['Universitas Lampung'],2021-06-02 01:08:01,2021-06-02 01:08:01,IOP Publishing,12102.0,pub,article,['FKIP9'],10.1088/1742-6596/1796/1/012102,1970-01-01 00:00:00.000002021,,,,,,
1,"[{'url': 'https://dl.acm.org/doi/10.1145/3452144.3453752', 'type': 'pub'}]",2021-11-06 13:59:48,"Design of Student Worksheet to Accommodate Learning Style and
Initial Knowledge and Reduce The Differences of Scientific 
Reasoning and Argumentation Performance",show,,8,1075,1-7,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 35330, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/156133', 'pos': 1, 'format': 'text', 'files': [{'filesize': 322930, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2021-11-06 12:42:21', 'hash': '1f1b48ab5c8d6aff0d0a841ce062a3d0', 'filename': 'Haza Vi AS Sep 2020 Article 48 ICLIQE-ACM Digital Library.pdf', 'fileid': 412336, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/412336', 'objectid': 156133}], 'main': 'Haza Vi AS Sep 2020 Article 48 ICLIQE-ACM Digital Library.pdf', 'docid': 156133}]",TRUE,http://repository.lppm.unila.ac.id/id/eprint/35330,public,"[{'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Dinantika', 'given': 'Haza Kurnia'}}, {'name': {'family': 'Viyanti', 'honourific': None, 'lineage': None, 'given': 'Viyanti'}, 'id': 'viyanti.1980@fkip.unila.ac.id'}, {'name': {'given': 'Agus', 'honourific': None, 'family': 'Suyatna', 'lineage': None}, 'id': 'asuyatna@yahoo.com'}]",,,disk0/00/03/53/30,archive,"This study aims to design student worksheets with STEM
approaches that accommodate student’s learning styles and initial knowledge so that it has the potential to reduce differences in scientific reasoning and student argumentation performance on wind energy and water energy materials. The development model refers to the stage of the ADDIE model: Analyze, Design, Develop, and Implementation. The stages of development reported in this article are only the analysis and design stages. Needs analysis data obtained through questionnaire distribution, interviews, and document reviews sourced from high school students and teachers in Lampung. Data were analyzed using descriptive qualitative analysis. The results of this study are teachers and students need student worksheet designs that have
the potential to reduce differences in scientific reasoning and student argumentation performance. Student worksheet designs have the potential to reduce differences in scientific reasoning and argumentation performance on wind and water energy materials that are developed using the PjBl (Project Based Learning) steps and integrated of STEM (Science, Technology, Engineering, and Mathematics) to facilitate students doing problem-solving activities, gathering information, preparing project plans, making
projects, and communicating. The results of the suitability of the activities in the student worksheets with the STEM approach obtained an average value of 4.3 and the effectiveness of the student worksheets with an average score of 4.3. Based on the results of the assessment, it shows that all components are  assessed to get a score of 4.20-4.5, so the design of this student worksheet is declared very appropriate and can be used to accommodate learning styles and initial knowledge and reduce differences in scientific reasoning and argumentation performance",['L1'],https://dl.acm.org/doi/10.1145/3452144.3453752,35330,published,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",2021-11-06 13:59:48,2021-11-06 13:59:48,,,pub,conference_item,['FKIP9'],,1970-01-01 00:00:00.000002021,paper,ICLIQE 2020: Proceedings of the 4th International Conference on Learning Innovation and Quality Education,Surakarta Indonesia,5 September 2020,conference,
2,"[{'type': 'pub', 'url': 'http://ejournal.radenintan.ac.id/index.php/IJSME/article/view/9017'}]",2021-11-06 14:00:57,"AUGMENTED REALITY-BASED STUDENT WORKSHEET TO STIMULATE
STUDENTS’ CRITICAL THINKING SKILLS",show,4.0,5,1075,118-133,,TRUE,http://repository.lppm.unila.ac.id/id/eprint/35346,none,"[{'name': {'given': 'Desmara Romy', 'honourific': None, 'family': 'Fendi', 'lineage': None}, 'id': None}, {'id': 'asuyatna@yahoo.com', 'name': {'lineage': None, 'family': 'Suyatna', 'honourific': None, 'given': 'Agus'}}, {'name': {'given': 'Abdurrahman', 'lineage': None, 'honourific': None, 'family': 'Abdurrahman'}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}]",2615-8639,Indonesian Journal of Science and Mathematics Education,disk0/00/03/53/46,archive,"Critical thinking skill which is one of the important abilities in the 21st century is important to be trained in learning. The purpose of this research is to develop an AR-based worksheet on dynamic electrical material that
is valid, practical, and effective to stimulate students’ critical thinking. The development model used the ADDIE model which consists of analysis, design, development, implementation, and evaluation steps. The product developed was tested for validation, practicality test, and
effectiveness test. The results of the validity test obtained a value of 81.80% with a valid category. The results of the practicality test obtained a percentage of 80.85% with good criteria. The results of the effectiveness
test showed an N-Gain value of 0.67 with the moderately effective category. From the average pretest and posttest scores, it can be seen that the posttest average score increased by 39.04 which indicates that the use of AR-based worksheets can improve students’ critical thinking. It can be concluded that AR-based worksheets on the concept of dynamic electricity developed are valid, practical, and effective to stimulate students’ critical thinking.",['L1'],http://ejournal.radenintan.ac.id/index.php/IJSME/article/view/9017,35346,published,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",2021-11-06 14:00:57,2021-11-06 14:00:57,Unit Riset dan Publikasi Ilmiah FTK UIN Raden Intan Lampung,2.0,pub,article,['FKIP9'],10.24042/ijsme.v4i2.9017,2021-07-31 00:00:00.000000000,,,,,,"[{'id': 'agus.suyatna@fkip.unila.ac.id', 'name': {'given': 'Agus', 'honourific': None, 'family': 'Suyatna', 'lineage': None}}]"
3,"[{'url': 'https://jurnal.iainponorogo.ac.id/index.php/insecta', 'type': 'pub'}]",2022-12-27 03:47:39,Developing Electronic Student Worksheet (E-Worksheet) Based Project Using Fliphtml5 to Stimulate Science Process Skills During the Covid-19 Pandemic,show,2.0,6,884,59-73,"[{'files': [{'objectid': 186541, 'uri': 'http://repository.lppm.unila.ac.id/id/file/520724', 'fileid': 520724, 'mime_type': 'application/pdf', 'mtime': '2022-12-27 03:16:36', 'hash_type': 'MD5', 'hash': '1f5b13d6a0339452902228617b35eac1', 'filename': '2555-9240-1-PB.pdf', 'datasetid': 'document', 'filesize': 413411}], 'docid': 186541, 'main': '2555-9240-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/186541', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 47485, 'language': 'en', 'mime_type': 'application/pdf'}]",TRUE,http://repository.lppm.unila.ac.id/id/eprint/47485,public,"[{'id': 'kkartini.herlina@gmail.com', 'name': {'lineage': None, 'family': 'Herlina', 'honourific': None, 'given': 'Kartini'}}]",2722-8509,Integrative Science Education and Teaching Activity Journal,disk0_bak/00/04/74/85,archive,"This research aims to develop a worthy (in terms of validity and practicality) Electronic Student Worksheets (E-Worksheet) based project using FlipHTML5 in light interference topic. E-Worksheet developed to stimulate student’s science process skills. This research used design and development research (DDR) which consisted of 4 stages, namely analysis, design, development, and evaluation. The results of the product validity were assessed by experts consisting of two high school physics teachers and a lecturer from the physics education department of the University of Lampung who got an average score of 3.56 with the very valid category. The E-Worksheet practicality in terms of the legibility, the student views that was completed by 9 students, and the teacher views that was completed by 5 high school physics teachers got an average percentage of 90% with the very practical category. These results showed that EWorksheet were valid and very practical to stimulate student’s science process skills. Based on teacher views, the E-Worksheet is very possible to be implemented in online and face-to-face learning especially in the covid-19 pandemic era. The E-Worksheet can be used as multimedia to support online learning.",['L1'],https://jurnal.iainponorogo.ac.id/index.php/insecta/article/view/2555/1641,47485,published,['Universitas Lampung'],2022-12-27 03:47:39,2022-12-27 03:47:39,"Jurusan Tadris IPA, Fakultas Tarbiyah dan Keguruan, IAIN Ponorogo.",1.0,pub,article,['FKIP9'],10.21154/insecta.v2i1.2555,2021-05-31 00:00:00.000000000,,,,,,
4,"[{'url': 'https://www.atlantis-press.com/proceedings/iceap-20', 'type': 'pub'}]",2022-12-27 03:47:35,Development of Collaboration and Communication Skills Assessments Based on Project Based Learning in Improving High School Students the Soft Skills,show,545.0,6,884,163-166,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/520733', 'objectid': 186543, 'filename': '125955877.pdf', 'hash': 'b0095762b8204e86761b9d8500844a75', 'mtime': '2022-12-27 03:29:02', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 520733, 'filesize': 292596, 'datasetid': 'document'}], 'main': '125955877.pdf', 'docid': 186543, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186543', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 47487, 'mime_type': 'application/pdf', 'language': 'en'}]",TRUE,http://repository.lppm.unila.ac.id/id/eprint/47487,public,"[{'name': {'given': 'Kartini', 'lineage': None, 'family': 'Herlina', 'honourific': None}, 'id': 'kartini.herlina@fkip.unila.ac.id'}]",2352-5398,Proceedings of the International Conference on Educational Assessment and Policy 2020,disk0_bak/00/04/74/87,archive,"This research aims to create collaboration and communication skills assessment tools based on project based learning in improving students' soft skills that are valid, practical and effective. This research design uses research and development method with Borg & Gall development model adapted into 7 development steps, namely: (1) Research and information  collection; (2) Planning; (3) Product develop Preliminary; (4) Preliminary Field Testing; (5) Main Product Revision; (6) Main Field Testing; (7) Operational Product Revision. This article is only reported until the Product develop Preliminary stage of developing the initial form of the product to be produced. Included  in this step are the preparation of supporting components, preparing guidelines and manuals, and evaluating the feasibility of supporting tools. The data collection used is a questionnaire with google form collected from high school physics teachers in Lampung. The data analysis used is qualitative descriptive  analysis. The results of this study are teachers in high school in Lampung province 75% have not used collaboration assessment instruments or communication.15% teachers already know the form of collaboration and communication assessment instruments but have not implemented them. Students have different learning abilities. Students who get low cognitive grades tend to be students who have good communication skills.90% of students tend to choose learning in practice rather than simply taking notes in class. Learning models suitable for the process of learning physics in order to improve collaboration (cooperation) and communication that is a project based learning mode l where this PJBL learning model students are required to create a project with a teamwork system in addition to improving collaboration and communication students this learning model can see soft skills possessed by students and can be developed. In this preliminary  study 100% of teachers in Lampung agreed if created and developed collaboration and communication learning assessment instruments in order to multiply or form soft skills of students",['L1'],https://www.atlantis-press.com/proceedings/iceap-20/125955877,47487,published,['Universitas Lampung'],2022-12-27 03:47:35,2022-12-27 03:47:35,ATLANTIS PRESS,,pub,article,['FKIP9'],10.2991/assehr.k.210423.082,2021-04-21 00:00:00.000000000,,,,,,
5,"[{'url': 'https://ppjp.ulm.ac.id/journal/index.php/bipf', 'type': 'pub'}]",2022-12-28 07:24:12,Development of Project Based e-Worksheet to Stimulate Scientific Creativity and Collaborative Skills,show,9.0,6,884,222-233,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186544', 'docid': 186544, 'main': 'document (2).pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/520746', 'objectid': 186544, 'filesize': 682151, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2022-12-27 03:47:44', 'filename': 'document (2).pdf', 'hash': '1a752eb9accbfa5d93185ca3bbbb011d', 'fileid': 520746, 'mime_type': 'application/pdf'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 47488, 'security': 'public', 'placement': 1}]",TRUE,http://repository.lppm.unila.ac.id/id/eprint/47488,public,"[{'id': 'kartini.herlina@fkip.unila.ac.id', 'name': {'given': 'Kartini', 'honourific': None, 'family': 'Herlina', 'lineage': None}}]",2337-604X,Berkala Ilmiah Pendidikan Fisika,disk0_bak/00/04/74/88,archive,"This study aimed to develop project-based e-worksheets using Fliphtml5 on light interference topic. This research used Design, Development, and Research (DDR) with the stages of analysis, design, development, and evaluation. To get a product that is feasible, this product must be valid and practical. Validity of the product’s design and construct was validated by 3 experts, indicating that the digital e-worksheet developed was categorized very valid with an average score of 3.44 and the practicality of the product in terms of the teacher’s and student’s responses with an average score of 85% was categorized very good. Based on the results of validity and practicality of product, it assumed that e-worksheet is feasible to stimulate students' science creativity and collaborative skills.",['L1'],https://ppjp.ulm.ac.id/journal/index.php/bipf/article/view/9938/pdf,47488,published,['Universitas Lampung'],2022-12-28 07:24:12,2022-12-28 07:24:12,"Fakultas Keguruan dan Pendidikan, Universitas Lampung Mangkurat.",2.0,pub,article,['FKIP9'],10.20527/bipf.v9i2.9938,2021-07-31 00:00:00.000000000,,,,,,
6,"[{'type': 'pub', 'url': 'http://jurnal.fkip.unila.ac.id/index.php/jpmipa'}]",2022-12-28 07:24:38,The Development of STEM-Integrated LOIS Learning Unit for Enhancing Student’s Direct Current Concept Understanding,show,22.0,6,884,23-34,"[{'files': [{'objectid': 186551, 'uri': 'http://repository.lppm.unila.ac.id/id/file/520793', 'mime_type': 'application/pdf', 'fileid': 520793, 'hash': 'c6f7b313d541b3933ff76edc0eeedd8b', 'filename': '4. 21801-53469-2-PB-erlita-abe.pdf', 'mtime': '2022-12-27 05:00:13', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 275864}], 'docid': 186551, 'main': '4. 21801-53469-2-PB-erlita-abe.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/186551', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 47495, 'mime_type': 'application/pdf', 'language': 'en'}]",TRUE,http://repository.lppm.unila.ac.id/id/eprint/47495,public,"[{'name': {'given': 'Kartini', 'honourific': None, 'family': 'Herlina', 'lineage': None}, 'id': 'kartini.herlina@fkip.unila.ac.id'}]",1411-2531,Jurnal Pendidikan MIPA,disk0_bak/00/04/74/95,archive,"This study developed the Science, Technology, Engineering & Mathematics (STEM)integrated Learning of Inquiry Sequences (LOIS) learning unit for students in understanding the direct current concept. Learning unit met the valid, practical, and effective criteria. The validity shows the
content validity & construct validity, the practicality shows the ease of use & positive  response  from students, the effectivity shows the achievement of learning objectives namely improvement in understanding the direct current concept. This study used a 4-D learning unit development model namely (define, design, development, and disseminate stages). This study was included in a quasi-experiment study with one group pretest and posttest design. Data were analyzed using descriptive analysis. Based on the results, the mean of content validity was 3.76 and construct validity was 3.75 with very valid criteria. Then, the mean of the learning unit implementation in class was 0.92 and a positive response from students in the class was 0.97 with
very practical criteria. Based on paired sample t-test (tcalculation = 23.291 > ttable = 2.03011) and the N-Gain value was 0.80 (high gain) showed that the LOIS learning implementation was effective to engage students in the classroom activities.",['L1'],http://jurnal.fkip.unila.ac.id/index.php/jpmipa/article/view/21801/pdf,47495,published,['Universitas Lampung'],2022-12-28 07:24:38,2022-12-28 07:24:38,"Jurusan Pendidikan MIPA, FKIP, Universitas Lampung",1.0,pub,article,['FKIP9'],/10.23960/jpmipa/v22i1.pp23-34,2021-03-25 00:00:00.000000000,,,,,,
7,"[{'url': 'https://jurnal.untirta.ac.id/index.php/Gravity', 'type': 'pub'}]",2022-12-28 07:24:36,The Development of m-LKPD Project-Based Assisted by Smart Apps Creator 3 to Stimulate Science Process Skills,show,7.0,7,884,51-60,"[{'files': [{'datasetid': 'document', 'filesize': 539581, 'mime_type': 'application/pdf', 'fileid': 520779, 'hash': '7e987b2896ce0874f42168c36372cfa3', 'filename': '11548-31574-1-PB.pdf', 'hash_type': 'MD5', 'mtime': '2022-12-27 04:51:34', 'objectid': 186550, 'uri': 'http://repository.lppm.unila.ac.id/id/file/520779'}], 'main': '11548-31574-1-PB.pdf', 'docid': 186550, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186550', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 47494, 'mime_type': 'application/pdf', 'language': 'en'}]",TRUE,http://repository.lppm.unila.ac.id/id/eprint/47494,public,"[{'name': {'given': 'Kartini', 'lineage': None, 'family': 'Herlina', 'honourific': None}, 'id': 'kartini.herlina@fkip.unila.ac.id'}]",2442-515X,Jurnal Ilmiah Penelitian dan Pembelajaran Fisika,disk0_bak/00/04/74/94,archive,"This research intends to develop m-LKPD (mobile lembar kerja peserta didik) based on a project assisted by smart apps creator 3 in the diffraction of light lesson validly and practically. m-LKPD develops to stimulate scientific processes skill as multimedia to support online learning in this Covid-19 pandemic. This research uses Design and Development Research (DDR), consisting of 4 stages: analysis, design, development, and evaluation. The instruments used in this research are interview guidelines, validation test questionnaire, practicality test questionnaire, teacher perception questionnaire, student response questionnaire, and assessment rubrics of scientific processes skill. The result of the validation test results 3,62, with a very valid category. The outcome of the practicality test is 90% as a percentage average, with a very practical as a category. The result of stimulating scientific processes skills through a small team test gets 88% as an average percentage with stimulated as a category. This shows that m-LKPD develops very valid and efficient ways to stimulate processes skills. Besides, m-LKPD creates the potential to be implemented in online learning and face-to-face learning, proven by students’ responses gaining 94% with very good as a category and teachers’ perceptions
that achieve 96% average percentage with very good as a category. Therefore, the developed m-LKPD can be used as multimedia to support online learning in this Covid-19 pandemic.",['L1'],https://jurnal.untirta.ac.id/index.php/Gravity/article/view/11548/7698,47494,published,['Universitas Lampung'],2022-12-28 07:24:36,2022-12-28 07:24:36,"Pendidikan Fisika, Fakultas Keguruan dan Ilmu Pendidikan, Universitas Sultan Ageng Tirtayasa.",2.0,pub,article,['FKIP9'],10.30870/gravity.v7i2.11548,2021-07-30 00:00:00.000000000,,,,,,
8,"[{'type': 'pub', 'url': 'https://iopscience.iop.org/journal/1742-6596'}]",2022-12-28 07:24:16,Preliminary Research: Developing Physics Electronic Student Worksheet Based on ExPRession Model with  the STEM Approach,show,1796.0,8,884,,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 47490, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186546', 'docid': 186546, 'main': 'Sari_2021_J._Phys.__Conf._Ser._1796_012080.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/520756', 'objectid': 186546, 'filename': 'Sari_2021_J._Phys.__Conf._Ser._1796_012080.pdf', 'hash': 'bc4361dfa65103267eefcb2a90f91701', 'hash_type': 'MD5', 'mtime': '2022-12-27 04:09:59', 'mime_type': 'application/pdf', 'fileid': 520756, 'filesize': 692998, 'datasetid': 'document'}]}]",TRUE,http://repository.lppm.unila.ac.id/id/eprint/47490,public,"[{'id': 'kartini.herlina@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Herlina', 'honourific': None, 'given': 'Kartini'}}]",1742-6588,Journal of Physics: Conference Series,disk0_bak/00/04/74/90,archive,"The media and teaching materials had been developed based on the needs of students and teachers who needed immediate and precise solutions. For this reason, this study aimed to analyze students' perspectives on physics learning and teachers' views on electronic student worksheets (e-LKPD) based on the ExPRession model with the STEM approach to see the opportunities for developing physics teaching materials, especially optical geometric. This study involved 102 high school students and 6 physics teachers in Lampung province. This study was a descriptive qualitative study with questionnaires and interviews as the research instruments. Based on the results of the analysis, it can be concluded that the electronic student worksheet based on the ExPRession model with the STEM approach needs to be developed to improve the communication and collaboration skills, especially in physics material.",['L1'],https://iopscience.iop.org/article/10.1088/1742-6596/1796/1/012080/pdf,47490,published,['Universitas Lampung'],2022-12-28 07:24:16,2022-12-28 07:24:16,IOP Publishing Ltd,1.0,pub,article,['FKIP9'],10.1088/1742-6596/1796/1/012080,2021-02-01 00:00:00.000000000,,,,,,
9,"[{'url': 'https://iopscience.iop.org/journal/1742-6596', 'type': 'pub'}]",2022-12-28 07:24:26,Standardized Physics Practice e-Assessment Instrument for Senior High School,show,1796.0,6,884,,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 47491, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186547', 'rev_number': 1, 'main': 'Purnomo_2021_J._Phys.__Conf._Ser._1796_012090.pdf', 'docid': 186547, 'files': [{'objectid': 186547, 'uri': 'http://repository.lppm.unila.ac.id/id/file/520767', 'datasetid': 'document', 'filesize': 502095, 'mime_type': 'application/pdf', 'fileid': 520767, 'hash': '8933df6b211deea2b3242a5c0fb23e81', 'filename': 'Purnomo_2021_J._Phys.__Conf._Ser._1796_012090.pdf', 'hash_type': 'MD5', 'mtime': '2022-12-27 04:25:55'}]}]",TRUE,http://repository.lppm.unila.ac.id/id/eprint/47491,public,"[{'name': {'family': 'Herlina', 'honourific': None, 'lineage': None, 'given': 'Kartini'}, 'id': 'kartini.herlina@fkip.unila.ac.id'}]",1742-6588,Journal of Physics: Conference Series,disk0_bak/00/04/74/91,archive,"COVID-19 pandemic has a major impact on the world of education. The existence of the coronavirus outbreak has hampered teaching and learning activities that usually take
place face-to-face and have now turned into distance learning (online). Online learning is inseparable from an assessment, both cognitive, affective, and psychomotor. Good assessment instruments will affect the results to be achieved. This study aims to analyze the e-assessment instrument for standardized physics practice exams in senior high school. The subjects of this study were 10 high school physics teachers with the selection using purposive. This research uses mixed methods, namely research by combining two forms of research, namely qualitative and quantitative research. The questionnaire was analyzed quantitatively, while the results of the questionnaire data were explained qualitatively. For data collection, the researcher provided
an online questionnaire for preliminary analysis related to the e-assessment of standardized physics practice exams in high schools in Lampung.",['L1'],https://iopscience.iop.org/article/10.1088/1742-6596/1796/1/012090/pdf,47491,published,['Universitas Lampung'],2022-12-28 07:24:26,2022-12-28 07:24:26,IOP Publishing Ltd,1.0,pub,article,['FKIP9'],10.1088/1742-6596/1796/1/012090,2021-02-01 00:00:00.000000000,,,,,,
