,number,ispublished,documents,full_text_status,uri,refereed,userid,lastmod,pagerange,datestamp,publication,creators,issn,dir,date,contact_email,type,divisions,title,rev_number,volume,metadata_visibility,status_changed,eprint_status,subjects,abstract,eprintid,date_type,publisher,id_number,official_url,related_url,corp_creators,contributors,projects,funders,pages,series,place_of_pub,isbn,event_title,event_location,event_type,event_dates,pres_type,keywords,patent_applicant,editors
0,1,pub,"[{'placement': 1, 'security': 'validuser', 'date_embargo': 2020, 'eprintid': 6038, 'content': 'published', 'language': 'id', 'mime_type': 'application/pdf', 'files': [{'objectid': 18954, 'uri': 'http://repository.lppm.unila.ac.id/id/file/55777', 'mime_type': 'application/pdf', 'fileid': 55777, 'hash': '74e6b50de9ca8b8640512b2f44db0fbf', 'filename': 'Jurnal Alfi H (1361-3136-1-PB).pdf', 'mtime': '2017-11-18 15:54:26', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 368026}], 'main': 'Jurnal Alfi H (1361-3136-1-PB).pdf', 'docid': 18954, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18954', 'rev_number': 2, 'pos': 1, 'format': 'text'}]",restricted,http://repository.lppm.unila.ac.id/id/eprint/6038,TRUE,949,2018-04-25 09:15:23,65-69,2018-04-25 09:15:23,Jurnal Teori dan Aplikasi Fisika,"[{'name': {'lineage': None, 'family': 'Hamidah', 'honourific': None, 'given': 'Alfi'}}, {'name': {'given': 'Pulung', 'honourific': None, 'family': 'Karo Karo', 'lineage': None}}, {'name': {'honourific': None, 'family': 'Joko  Suroto', 'lineage': None, 'given': 'Bambang'}}]",2549-1156,disk0/00/00/60/38,1970-01-01 00:00:00.000002017,alfihamidah7@gmail.com,article,['FMIPA1'],"Kajian Konduktivitas Listrik Zeolit pada Perlakuan Termal
150 ◦C, 250 ◦C, 350 ◦C dan Potensinya sebagai  Elektrode
Superkapasitor",7,5.0,show,2018-04-25 09:15:23,archive,['QC'],"Zeolite  based  silica rice husk  has been prepared and  analyzed with  thermal treatment 150 ◦ C,
250 ◦ C, and  350 ◦ C. This research  was conducted to study the effect of thermal treatment with a variety  temperature to particle  size and electrical conductivity of zeolite.  In thermal treatment at
350 ◦ C was obtained the smallest particle size, amounted to 15.396 µm, meanwhile the highest electrical conductivity values was  obtained at 250 ◦ C,amounted to 1.5540×10−4 S/cm.  This is caused by the  phase structure changes and  particle agglomeration. Based  on the  result of electrical conductivity values, zeolite  is included in semiconductor and  has  a potential as a supercapacitor electrode.",6038,published,,,,,,,,,,,,,,,,,,,,
1,1,pub,,none,http://repository.lppm.unila.ac.id/id/eprint/4198,TRUE,387,2017-11-02 03:07:58,25-30,2017-11-02 03:07:58,Jurnal Teori dan Aplikasi Fisika,"[{'name': {'honourific': None, 'family': 'Haryanto', 'lineage': None, 'given': 'Duwi'}, 'id': 'duwi@yahoo.com'}, {'name': {'family': 'Pauzi', 'honourific': None, 'lineage': None, 'given': 'Gurum A.'}, 'id': 'gurum4in@yahoo.com'}, {'id': 'amir.supriyanto@fmipa.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Supriyanto', 'given': 'Amir'}}]",2303-016X,disk0/00/00/41/98,2017-02-03 00:00:00.000000000,,article,['FMIPA1'],"Deteksi Letak Kebocoran Pipa Berdasarkan Analisis Debit
Air Menggunakan Teknologi Sensor Flowmeter Berbasis
TCP/IP",5,5.0,show,2017-11-02 03:07:58,archive,['QC'],"Pipeline leaks can cause major ﬁnancial losses for users of pipeline system. Perusahaan Daerah
Air Minum (PDAM) generally uses manual methods to detect leak location, such as by looking
puddle above the pipeline. The research proposed to produce a method that can detect pipeline
leak location quickly and accurately. The method use water ﬂow sensors that are placed before
and after the leak. The water ﬂow sensors are used to record data of the difference between
incoming and outgoing water ﬂow (DQ). The data are transmitted to a computer using a network
based on TCP/IP. The results showed that the smaller value of the difference between incoming
and outgoing water ﬂow (DQ), the farther distance leak location (X). If diameter hole (D) had
decreased by 43%, the value of the difference between incoming and outgoing water ﬂow (DQ)
would have decreased by 21%. Based on these results, the method for detecting pipeline leak
location with technology water ﬂow sensors can distinguish pipeline leak location quickly and
accurately.",4198,published,Jurusan Fisika FMIPA Universitas Lampung,E-ISSN 2549-1156.,http://jurnal.fmipa.unila.ac.id/index.php/jtaf/article/view/1355/1186,"[{'url': 'http://jurnal.fmipa.unila.ac.id/index.php/jtaf/article', 'type': 'author'}]",,,,,,,,,,,,,,,,
2,1,pub,"[{'eprintid': 1789, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 1652, 'main': 'aliran pipa.pdf', 'files': [{'filesize': 619059, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2017-05-29 03:42:11', 'filename': 'aliran pipa.pdf', 'hash': '55da2aecd7e03cd9dedc61e33b2fb054', 'fileid': 12425, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/12425', 'objectid': 1652}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1652'}]",public,http://repository.lppm.unila.ac.id/id/eprint/1789,TRUE,434,2017-05-29 05:53:11,25-30,2017-05-29 05:53:11,Jurnal Teori dan Aplikasi Fisika,"[{'id': 'duwi@yahoo.com', 'name': {'given': 'Duwi', 'lineage': None, 'honourific': None, 'family': 'Haryanto'}}, {'name': {'given': 'Gurum A.', 'honourific': None, 'family': 'Pauzi', 'lineage': None}, 'id': 'gurum4in@yahoo.com'}, {'id': 'amirsp@gmail.com', 'name': {'given': 'Amir', 'family': 'Supriyanto', 'honourific': None, 'lineage': None}}]",2303-016X,disk0/00/00/17/89,2017-01-01 00:00:00.000000000,,article,['FMIPA1'],Deteksi Letak Kebocoran Pipa Berdasarkan Analisis Debit Air Menggunakan Teknologi Sensor Flowmeter Berbasis TCP/IP,6,5.0,show,2017-05-29 05:53:11,archive,['QC'],"Pipeline leaks can cause major financial losses for the users of pipeline system. Perusahaan Daerah Air Minum (PDAM) generally uses manual methods to detect leak location, such as by looking puddle above the pipeline. The research proposed to produce a method that can detect pipeline leak location quickly and accurately. The method use water flow sensors that are placed before and after the leak. The water flow sensors are used to record data of the difference between incoming and outgoing water flow (ΔQ). The data are transmitted to a computer using a network based on TCP/IP. The results showed that the smaller value of the difference between incoming and outgoing water flow (ΔQ), the farther distance leak location (X). If diameter hole (D) had decreased by 43%, the value of the difference between incoming and outgoing water flow (ΔQ) would have decreased by 21%. Based on these results, the method for detecting pipeline leak location with technology water flow sensors can distinguish pipeline leak location quickly and accurately.",1789,published,Jurusan Fisika FMIPA Universitas Lampung,,http://jurnal.fmipa.unila.ac.id/index.php/jtaf,,"['Fisika FMIPA Unila', 'Fisika FMIPA Unila', 'Fisika FMIPA Unila']","[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,,,,,,,,,,,,,
3,,pub,"[{'eprintid': 7739, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'docid': 20786, 'main': 'BUKTI JURNAL.pdf', 'files': [{'datasetid': 'document', 'filesize': 345592, 'mime_type': 'application/pdf', 'fileid': 69441, 'hash': '9f042c92d46fb5de442b7b3b8515bfee', 'filename': 'BUKTI JURNAL.pdf', 'mtime': '2018-06-25 08:55:41', 'hash_type': 'MD5', 'objectid': 20786, 'uri': 'http://repository.lppm.unila.ac.id/id/file/69441'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/20786'}, {'files': [{'objectid': 20787, 'uri': 'http://repository.lppm.unila.ac.id/id/file/69445', 'fileid': 69445, 'mime_type': 'text/html', 'mtime': '2018-06-25 08:56:55', 'hash_type': 'MD5', 'hash': '50f3fd4d724897535c5d7ee9f1d230e6', 'filename': 25869928, 'datasetid': 'document', 'filesize': 14367}], 'main': 25869928, 'docid': 20787, 'uri': 'http://repository.lppm.unila.ac.id/id/document/20787', 'rev_number': 4, 'format': 'text', 'pos': 2, 'security': 'public', 'placement': 2, 'eprintid': 7739, 'content': 'published', 'mime_type': 'text/html', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/7739,FALSE,884,2018-06-26 02:42:36,53-59,2018-06-26 02:42:36,"Advances in Social Science, Education and Humanities Research (ASSEHR)","[{'id': 'el_qolibry2@yahoo.co.id', 'name': {'given': 'Kartini', 'honourific': None, 'family': 'Herlina', 'lineage': None}}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Nur', 'given': 'Muhamad'}}, {'name': {'given': 'Wahono', 'lineage': None, 'family': 'Widodo', 'honourific': None}, 'id': None}]",2352-5398,disk0/00/00/77/39,2017-01-01 00:00:00.000000000,,article,['FMIPA1'],"Development of Optics Learning Model to Build
Mental Models and Problem Solving Ability",8,57.0,show,2018-06-26 02:42:36,archive,['LB2300'],"One of the goals of physics instruction should be to
enable the students to solve problems in a flexibly way. This
requires the students to consider and to use multirepresentations as a natural part of the way they solve
problems. This paper presents the results of our research on the
development of optics learning model that was designed for the
purpose of building mental models and problem solving ability,
especially in the topic of light refraction. The learning model is
called “ExPRession” model, developed based on one model of
PBL namely the Illinois Mathematics and Science Academy
(IMSA) model. Furthermore, we integrated the Polya’s and
Heller & Heller problem solving strategies to IMSA PBL. We
implemented our model in a limited test that conducted to 16
students of the 5th semester in physics education at Lampung
University who were enrolled in an optics course. The learning
model was implemented in three topics such as rectilinear
propagation of light, refraction of light on a flat surface, and
refraction of light on a curved surface. The results showed that
“ExPRression” learning models could be categorized as “valid
in contents” and as “valid in constructions”, categorized as
""practical"", and categorized as “effective”. The developed
learning tools can be classified as a valid and could be used to
support the implementation of the ""Expression"" learning
model. The results in limited test showed that “ExPRression”
learning model was effective in building mental model and
improving aspects of problem solving ability.
Keywords—“ExPRession”model; problem solving ability;
mental model",7739,published,Atlantis Press,10.2991/icmsed-16.2017.12,https://www.atlantis-press.com/proceedings/icmsed-16/25869928,[{'url': 'https://www.atlantis-press.com/proceedings/icmsed-16/25869928'}],,[{'type': 'http://www.loc.gov/loc.terms/relators/ANM'}],,,,,,,,,,,,,,
4,1,pub,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 4203, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17097', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/42462', 'objectid': 17097, 'hash': 'da97b19c01a52f756489bc3c6f7092ee', 'filename': '1353-3123-1-PB.pdf', 'mtime': '2017-10-31 03:47:37', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 42462, 'filesize': 2520262, 'datasetid': 'document'}], 'main': '1353-3123-1-PB.pdf', 'docid': 17097}]",public,http://repository.lppm.unila.ac.id/id/eprint/4203,TRUE,387,2017-11-02 03:08:09,9-18,2017-11-02 03:08:09,Jurnal Teori dan Aplikasi Fisika,"[{'name': {'given': 'Irsan', 'family': 'Irsan', 'honourific': None, 'lineage': None}, 'id': None}, {'id': 'amir.supriyanto@fmipa.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Supriyanto', 'given': 'Amir'}}, {'id': 'arif.surtono@fmipa.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Surtono', 'given': 'Arif'}}]",2303-016X,disk0/00/00/42/03,2017-01-03 00:00:00.000000000,,article,['FMIPA1'],"Analisis Karakteristik Elektrik Limbah Kulit Singkong
(Manihot esculenta Crantz) sebagai Sumber Energi Listrik
Alternatif Terbarukan untuk Mengisi Baterai Telepon
Genggam",8,5.0,show,2017-11-02 03:08:09,archive,['QC'],"The electrical characteristics of cassava peeled could be determined by using electrode, a pair of
electrode that used in this research is Cu-Zn. The measurement of the electrical characteristics
of cassava peeled had been done using a 1.2 Watt LED load and when the load is released.
Varieties of cassava which used are White cassava, Genjah Urang cassava and Bassiro cassava.
Electrolyte cell that used consists of 20 cells, which were arranged in series with volume 200 ml
for one cell. The maximum voltage when the load is removed generated white cassava peeled
is 12.38 V, Genjah Urang cassava peel is 14.36 V, and Bassiro cassava peeled is 13.81 V. Type
of cassava peeled that has the best electrical characteristics to charge phone battery is Genjah
Urang cassava peeled. The test of cell phone battery charging had been done when cell phone
was empty or couldn’t be turned on and when cell phone battery had charged for two hours, it
made the cell phone on for 15 seconds after removed from the circuit.",4203,published,Jurusan Fisika FMIPA Universitas Lampung,E-ISSN 2549-1156.,http://jurnal.fmipa.unila.ac.id/index.php/jtaf/article/view/1353/1179,"[{'type': 'author', 'url': 'http://jurnal.fmipa.unila.ac.id/index.php/jtaf/index'}]",,,,,,,,,,,,,,,,
5,,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 10511, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'filesize': 1216154, 'datasetid': 'document', 'filename': 'Junaidi-2017-JNANOR.pdf', 'hash': '16c07a6c73054e11abadb702fd23950a', 'hash_type': 'MD5', 'mtime': '2019-01-02 06:38:55', 'mime_type': 'application/pdf', 'fileid': 97434, 'uri': 'http://repository.lppm.unila.ac.id/id/file/97434', 'objectid': 23526}], 'main': 'Junaidi-2017-JNANOR.pdf', 'docid': 23526, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23526', 'pos': 1, 'format': 'text'}]",public,http://repository.lppm.unila.ac.id/id/eprint/10511,TRUE,181,2019-01-02 07:59:45,174-180,2019-01-02 07:59:45,Journal of Nano Research,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Junaidi', 'given': 'Junaidi'}, 'id': 'junaidi.1982@fmipa.unila.ac.id'}]",1661-9897,disk0/00/01/05/11,1970-01-01 00:00:00.000002017,,article,['FMIPA1'],The Roles of Polyvinyl Alcohol (PVA) as the Capping Agent on the Polyol Method for Synthesizing Silver Nanowires,6,49.0,show,2019-01-02 07:59:45,archive,['QC'],"We report our investigation of roles of polyvinyl alcohol (PVA) as a high-performance capping agent in synthesizing silver nanowires (AgNWs) using polyol method. For this purpose, we varied the concentration of silver nitrate (AgNO ), from 0.3 M to 1.0 M, and molar ratios of [PVA:AgNO 3 3 ] from 2 to 6. The UV-vis spectra show the AgNWs growth optimally at a molar ratio of 4.5 with the absorbance peaks of 378 nm and 380 nm. Meanwhile, from XRD patterns, it was found that the crystal structure of the AgNWs can be identified as a face-centered cubic (fcc) with a lattice constant according to the spacing distance between the {111} planes of 4.087 Å. Finally, scanning electron microscopy (SEM) and transmission electron microscopy TEM images show the diameter and length of the AgNRs are 150 to 230 nm and 50 to 120 µm, respectively. These results show that the AgNWs synthesized using PVA having a long size.",10511,,Trans Tech Publications,,https://www.scientific.net/JNanoR.49.174,,,,,,,,,,,,,,,,,
6,1,pub,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17785', 'main': 'junaidi_jtaf_2017.pdf', 'docid': 17785, 'files': [{'datasetid': 'document', 'filesize': 3317731, 'mime_type': 'application/pdf', 'fileid': 47215, 'filename': 'junaidi_jtaf_2017.pdf', 'hash': 'dbb2f38f8395cad842f1dcd2b85b6b38', 'hash_type': 'MD5', 'mtime': '2017-11-08 07:28:29', 'objectid': 17785, 'uri': 'http://repository.lppm.unila.ac.id/id/file/47215'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 4862, 'security': 'public', 'placement': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/4862,TRUE,181,2017-11-16 02:26:03,97-102,2017-11-16 02:26:03,Jurnal Teori dan Aplikasi Fisika,"[{'id': 'junaidi.1982@fmipa.unila.ac.id', 'name': {'given': 'Junaidi', 'honourific': None, 'family': 'Junaidi', 'lineage': None}}]",2303-016X,disk0/00/00/48/62,1970-01-01 00:00:00.000002017,,article,['FMIPA1'],"Spektrofotometer UV-Vis untuk Estimasi Ukuran
Nanopartikel Perak",6,5.0,show,2017-11-16 02:26:03,archive,['QC'],"We present a simple technique to estimate the size of silver nanoparticles (AgNPs) based on uv-vis spectra computationally. To have the nanoparticles, the AgNPs colloid was prepared by chemical reduction technique using 40 mM of tri-sodium citrate dihydrate (Na-O)
and silver nitrate (AgNO3) at different concentrations of 2.5 and 5.0 mM. The colloid was then analyzed by using UV-Vis spectrophotometer. For comparison of the size estimation, a small amount of AgNPs was also analyzed using transmission electron microscopy (TEM). By ﬁtting the model and the UV-Vis spectra of these colloids, the set ﬁtting parameters can be obtained including the absorption coefﬁcient, the full width at half maximum (FWHM), the wavelength and absorbance of peaks. It is assumed that the shape of nanoparticle is spherical, so that its diameter can be estimated using the values of scattered absorbance and FWHM. Based on the model it is found that the size of AgNPs are (28 ±8) nm and (15 ±7) nm for samples prepared with concentration of 2.5 and 5.0 mM, respectively. On the other hand, from statistically estimation using images from TEM, it is found that the size of AgNPs are (17 ±4)nm and (8 ±3) nm for samples prepared with concentration of 2.5 and 5.0 mM, respectively. This discrepancy occurs may be due to non-homogenous of the particles. It indicates, however, this
computationally simple method can be used as a ﬁrst step to estimate size of the AgNPs colloid prior to measurement and calculation using advanced equipments and techniques.",4862,published,Jurusan Fisika FMIPA Universitas Lampung,,http://jurnal.fmipa.unila.ac.id/index.php/jtaf/article/view/1366/1181,,,,,,,,,,,,,,,,,
7,27,pub,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/17782', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'datasetid': 'document', 'filesize': 4861947, 'fileid': 47198, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2017-11-08 06:51:52', 'hash': 'fa3074440dda5bcb15b60f43b508ea1b', 'filename': 'JUNAIDI_IPII_2017.pdf', 'objectid': 17782, 'uri': 'http://repository.lppm.unila.ac.id/id/file/47198'}], 'main': 'JUNAIDI_IPII_2017.pdf', 'docid': 17782, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 4860}]",public,http://repository.lppm.unila.ac.id/id/eprint/4860,TRUE,181,2017-11-16 03:31:09,1-8,2017-11-16 03:31:09,Indian Journal of Science and Technology,"[{'name': {'honourific': None, 'family': 'Junaidi', 'lineage': None, 'given': 'Junaidi'}, 'id': 'junaidi.1982@fmipa.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Triyana', 'honourific': None, 'given': 'K'}, 'id': 'triyana@ugm.ac.id'}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Harsojo', 'given': 'H'}}, {'name': {'given': 'Edi', 'lineage': None, 'family': 'Suharyadi', 'honourific': None}, 'id': None}]",0974-5645,disk0/00/00/48/60,2017-07-15 00:00:00.000000000,,article,['FMIPA1'],"Controlling Shapes and Sizes of Synthesis Silver
Nanowires by Polyol Method using PolyvinylAlcohol and Polyvinyl Pyrrolidone",6,10.0,show,2017-11-16 03:31:09,archive,['QC'],"Background/Objectives: To synthesis silver nanowires with Polyvinyl Alcohol (PVA) and Polyvinyl Pyrrolidone (PVP)
as a capping agent by the polyol method. Methods/Statistical Analysis: Synthesis of silver nanowires was done by adding PVA and PVP for controlling of Multi-Twinned Particles seeds (MTPs) before grown to silver nanowires. The silver nanowires were characterized by UV-vis, SEM and XRD techniques. PVA and PVP is to be absorbed on the surface of the Ag seeds through Ag-O bond to form silver nanowires. Reaction time and temperature, as well as the kind of capping agent, affected the morphologies and sizes of the silver nanowires. Findings: The UV-vis spectra of silver nanowires show that the absorbance peaks at a wavelength of 350 to 390 nm. SEM images showed the selective absorption of PVA and PVP on
the side surfaces of {100} and {111} facets plays an important role in the growth of anisotropic silver nanostructures. The diameter and length of silver nanowires of PVA were (190 ± 10) nm and (80 ± 10) µm. The addition of PVP as a capping agent can decrease the diameter and length of silver nanowires about 100 nm and 10 to 20 µm, resfectively. XRD pattern of silver nanowires represented that the final product was highly crystallized. The crystal structurecan be identified as a
face-centered cubic (fcc) with lattice constant according to the spacing distance between the {111} planes was 4.1454 Å for PVA and 4.0756 Å for PVP. 
Applications/Improvements: PVA can be used as a capping agent for the synthesis of silver nanowires with high aspect ratio. The silver nanowires are synthesized with PVA longer than PVP.",4860,published,Informatics Publishing Limited,DOI: 10.17485/ijst/2017/v10i27/93895,http://www.indjst.org/index.php/indjst/article/view/93895/0,"[{'type': 'pub', 'url': 'http://www.indjst.org/index.php'}]",,,,,,,,,,,,,,,,
8,,pub,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17783', 'rev_number': 1, 'main': 'JUNAIDI_IPII_UNILA_2017.pdf', 'docid': 17783, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/47204', 'objectid': 17783, 'hash_type': 'MD5', 'mtime': '2017-11-08 07:09:37', 'filename': 'JUNAIDI_IPII_UNILA_2017.pdf', 'hash': 'e4e8c885a8de541ecc31153165e72947', 'fileid': 47204, 'mime_type': 'application/pdf', 'filesize': 4226375, 'datasetid': 'document'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 4861, 'security': 'public', 'placement': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/4861,TRUE,181,2017-11-16 03:31:22,174-180,2017-11-16 03:31:22,Journal of Nano Research,"[{'name': {'given': 'Junaidi', 'lineage': None, 'family': 'Junaidi', 'honourific': None}, 'id': 'junaidi.1982@fmipa.unila.ac.id'}, {'name': {'given': 'Kuwat', 'lineage': None, 'honourific': None, 'family': 'Triyana'}, 'id': None}, {'id': None, 'name': {'given': 'Edi', 'honourific': None, 'family': 'Suharyadi', 'lineage': None}}, {'name': {'given': 'H', 'family': 'Harsojo', 'honourific': None, 'lineage': None}, 'id': None}, {'id': None, 'name': {'given': 'LYL', 'lineage': None, 'family': 'Wu', 'honourific': None}}]",1661-9897,disk0/00/00/48/61,2017-09-13 00:00:00.000000000,,article,['FMIPA1'],"The Roles of Polyvinyl Alcohol (PVA) as the Capping Agent 
on the Polyol Method for Synthesizing Silver Nanowires",7,49.0,show,2017-11-16 03:31:22,archive,['QC'],"We report our investigation of roles of polyvinyl alcohol (PVA) as a high-performance
capping agent in synthesizing silver nanowires (AgNWs) using polyol method. For this purpose, we
varied the concentration of silver nitrate (AgNO
), from 0.3 M to 1.0 M, and molar ratios of
[PVA:AgNO
3
3
] from 2 to 6.  The UV-vis spectra show the AgNWs growth optimally at a molar ratio
of 4.5 with the absorbance peaks of 378 nm and 380 nm. Meanwhile, from XRD patterns, it was
found that the crystal structure of the AgNWs can be identified as a face-centered cubic (fcc) with a
lattice constant according to the spacing distance between the {111} planes of 4.087 Å. Finally,
scanning electron microscopy (SEM) and transmission electron microscopy TEM images show the
diameter and length of the AgNRs are 150 to 230 nm and 50 to 120 µm, respectively. These results
show that the AgNWs synthesized using PVA having a long size.",4861,published,Trans Tech Publications,doi:10.4028/www.scientific.net/JNanoR.49.174,https://www.scientific.net/JNanoR.49.174,,,,,,,,,,,,,,,,,
9,1,pub,"[{'files': [{'mime_type': 'application/pdf', 'fileid': 54606, 'filename': 'Jurnal Jennifer KP (1354-3130-1-PB).pdf', 'hash': 'd3d6842b25b4db35221d1d865089f626', 'mtime': '2017-11-17 04:01:28', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 377863, 'objectid': 18783, 'uri': 'http://repository.lppm.unila.ac.id/id/file/54606'}], 'docid': 18783, 'main': 'Jurnal Jennifer KP (1354-3130-1-PB).pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18783', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 5860, 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/5860,TRUE,949,2017-11-17 04:26:36,19-24,2017-11-17 04:26:36,Jurnal Teori dan Aplikasi Fisika,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Kapriati Pakpahan', 'given': 'Jennifer'}}, {'name': {'given': 'Pulung', 'honourific': None, 'family': 'Karo Karo', 'lineage': None}}, {'name': {'family': 'Joko Suroto', 'honourific': None, 'lineage': None, 'given': 'Bambang'}}]",,disk0/00/00/58/60,1970-01-01 00:00:00.000002017,pakpahanjennifer@yahoo.co.id,article,['FMIPA1'],"Studi Luas Permukaan Spesifik Zeolit Akibat Pengaruh
Mikrostruktur dan Potensinya Sebagai Elektrode
Superkapasitor",6,5.0,show,2017-11-17 04:26:36,archive,['QC'],"The synthesis of zeolite based rice husk silica by using sol-gel method with heat treatment 450oC, 550oC, dan 650oC has been investigated. This research was conducted to study the effect of particle size and pore size to specific surface area of zeolite. The characteristics of sample were observed byX-Ray Diffraction (XRD), Scanning Electron Microscopy (SEM), and specific surface area with Branauer Emmet Teller (BET). The research result showed that the structure was amorf with cristobalite, corundum, and delta-Al2O3 phase. The heat treatment of 450 C showed the smallest particle size amounted to 16.322 mm and the largest pore size amounted to 5.786 mm with the highest specific surface area amounted to 216.250 m2/g, so it is potential to be used as a super capacitor electrode",5860,published,,,,,,,,,,,,,,,,,,,,
