,date_type,eprintid,metadata_visibility,volume,rev_number,title,official_url,abstract,subjects,eprint_status,status_changed,id_number,date,dir,creators,issn,publication,divisions,type,refereed,uri,full_text_status,publisher,documents,number,ispublished,datestamp,pagerange,lastmod,userid,corp_creators,related_url,funders,contributors,isbn,place_of_pub,pages,pres_type,event_title,event_location,event_dates,event_type,referencetext,contact_email,keywords,projects
0,published,13320,show,6.0,7,Desain dan Realisasi Syringe Pump Menggunakan Motor Stepper Berbasis Arduino Sebagai Pengontrol Laju Aliran Fluida,http://jurnal.fmipa.unila.ac.id/jtaf/,"In this reasearch, an automatic Syringe pump was created which aims to develop the manufacture of syringe pumps using Arduino-based stepper motors. The method used in this study to regulate the rotation of the stepper motor is a full step method, with the tools and materials used are 147HS4401 stepper motors, Arduino Uno, threaded iron, seven segment, keypad 4×4, and other tools supporting. The working principle of the syringe pump is to push the injection stem (pluger) whose speed has been adjusted to the value of the flow rate. The speed of the flow rate is obtained by adjusting the delay time of the stepper motor. Syringe pump that has been made works in the flow rate range from 0.1 to 12 ml / hour with a volume range of 0.1–12 ml. The test results of the flow rate value are verified by looking at the volume of fluid coming out using a 0.02 ml scale measuring cup and 0.5 ml. The results of the tests show that the syringe pump has a high level of accuracy of 95.56% with an error value of 4.44%, so the syringe pump has been successfully realized and can be used in the medical or research fields.",['QC'],archive,2019-08-01 07:23:54,1353553260,2018-07-15 00:00:00.000000000,disk0/00/01/33/20,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Anggriani', 'given': 'Rani'}, 'id': 'ranianggriani1115@gmail.com'}, {'name': {'given': 'Arif', 'lineage': None, 'family': 'Surtono', 'honourific': None}, 'id': 'arif.surtono@fmipa.unila.ac.id'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Junaidi', 'given': 'Junaidi'}, 'id': 'junaidi.1982@fmipa.unila.ac.id'}]",2303-016X,Jurnal Teori dan Aplikasi Fisika,['FMIPA1'],article,TRUE,http://repository.lppm.unila.ac.id/id/eprint/13320,public,Jurusan Fisika FMIPA Universitas Lampung,"[{'eprintid': 13320, 'placement': 1, 'security': 'public', 'mime_type': 'text/html', 'language': 'id', 'content': 'published', 'main': 1786, 'docid': 26321, 'files': [{'filesize': 30333, 'datasetid': 'document', 'mtime': '2019-05-28 03:29:50', 'hash_type': 'MD5', 'hash': '265892b75f1f5cc0a060ba01184484c7', 'filename': 1786, 'fileid': 116715, 'mime_type': 'text/html', 'uri': 'http://repository.lppm.unila.ac.id/id/file/116715', 'objectid': 26321}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26321', 'rev_number': 3}]",2.0,pub,2019-08-01 07:23:55,175-180,2019-08-01 07:23:55,419,,,,,,,,,,,,,,,,
1,published,10040,show,20.0,6,"Rancang-bangun Pengendali OnOff Nebulizer                       
Berbasis Sensor Fotodioda, Komparator, dan Relay",http://ejurnal.mipa.unsri.ac.id/index.php/jps/article/view/493/468,"Nebulizer compressor has been realized. It utilizes photodiode, LED, comparator, and relay as a 
control on/off nebulizer. It stops working if the sensor detect asthma drug liquid running out. Relay will work if
it get input voltage 3 V (high) of comparator circuit which is used to control compressor. Reference voltage of
comparator is 2.98 V.",['QC'],archive,2018-11-16 03:02:01,,2018-01-01 00:00:00.000000000,disk0/00/01/00/40,"[{'id': None, 'name': {'given': 'Arta Bayti', 'lineage': None, 'honourific': None, 'family': 'Bonita'}}, {'name': {'lineage': None, 'family': 'Supriyanto', 'honourific': None, 'given': 'Supriyanto'}, 'id': 'r.supriyanto@fmipa.unila.ac.id'}, {'id': 'arif.surtono@fmipa.unila.ac.id', 'name': {'honourific': None, 'family': 'Surtono', 'lineage': None, 'given': 'Arif'}}]",2597-7059,Jurnal Penelitian Sains (JPS),['FMIPA1'],article,TRUE,http://repository.lppm.unila.ac.id/id/eprint/10040,public,Faculty of Mathematic and Natural Science Sriwijaya University,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 10040, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23059', 'docid': 23059, 'main': 'Rancang-bangun Pengendali OnOff Nebulizer_ArtaB_ArifS_AmirS.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2018-11-15 13:21:13', 'hash': '34d2ac93c2346ade778cadf7720b2e58', 'filename': 'Rancang-bangun Pengendali OnOff Nebulizer_ArtaB_ArifS_AmirS.pdf', 'fileid': 94293, 'mime_type': 'application/pdf', 'filesize': 473417, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/94293', 'objectid': 23059}]}]",1.0,pub,2018-11-16 03:02:01,10-13,2018-11-16 03:02:01,387,,,,,,,,,,,,,,,,
2,published,12961,show,6.0,6,"Pengaruh Konsentrasi Ekstrak Kulit Buah Maja (Aegle
Marmelos (l.) Corea) terhadap Laju Korosi Baja Karbon  
API 5L pada Medium NaCl 3% dan H
2
SO
4
 3%",,"Abstract. A study has been conducted on the extract concentration effect of Maja Peel as an inhibitor of low
carbon API 5L in corrosive medium of NaCl 3% and H
2
SO
4
 3%. The soaking process of low carbon API 5L
was done for 35 days with variation of addition inhibitor concentrations at 0%, 0,4%, 0,5%, 0,6%, 0,7%, and
0,8%. The testing of Corrosion rate is done by weight loss method. The results showed that the highest
corrosive rate in corrosive medium of NaCl 3% and H
2
SO
4 
3% was at 0% which is inhibitor concentration,
0,06 x 10
4
 mm/y and 16,55 x 10
4
 mm/yconcentration. Meanwhile, the lowest corrosion rate at 0.8% inhibitor
concentration for corrosive medium ofNaCl 3% and 0.5%for H
2
SO
4
3% corrosive medium. Hence, the
greatest effectiveness of corrosion occurs at the concentration of 0.8% in a corrosive medium of NaCl 3%
with effectiveness of  85,71% and 0.5% in corrosive medium of H
2
SO
4 
3% with the effectiveness of 79.35%.
The characterization result of X-Ray Diffraction (XRD) shows that the phase formed is pure Fe.
Characterization of Scanning Electron Microscopy (SEM) showed uneven clusters and smaller sizes, holes
and cracks also with less than 0.8% inhibitors for corrosive medium of NaCl 3% and 0.5% for corrosive
medium of H
2
SO
4
3% compared with 0% inhibitor of maja peel extract on corrosive medium ofNaCl 3% and
H
2
SO
4 
3%. Characterization of Energy Dispersive Spectroscopy (EDS) in samples with corrosive medium of
H
2
SO
4
3% obtained the element S (Sulfate).

Keywords: low carbon API 5L, the extract of maja peel, corrosion inhibitor, NaCl, and H
2
.",['QC'],archive,2019-05-16 03:37:34,,1970-01-01 00:00:00.000002018,disk0/00/01/29/61,"[{'name': {'family': 'Ginting', 'honourific': None, 'lineage': None, 'given': 'Ediman'}}, {'name': {'lineage': None, 'family': 'Karo Karo', 'honourific': None, 'given': 'Pulung'}}]",2303-016X,Jurnal Teori dan Aplikasi Fisika,['FMIPA1'],article,TRUE,http://repository.lppm.unila.ac.id/id/eprint/12961,public,Jurusan Fisika FMIPA Universitas Lampung,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 12961, 'uri': 'http://repository.lppm.unila.ac.id/id/document/25945', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'objectid': 25945, 'uri': 'http://repository.lppm.unila.ac.id/id/file/114196', 'datasetid': 'document', 'filesize': 892846, 'mime_type': 'application/pdf', 'fileid': 114196, 'hash': 'd9feb54b98a0b9a4ca408a1ca471a84e', 'filename': '1837-4338-1-PB_3.pdf', 'hash_type': 'MD5', 'mtime': '2019-05-16 03:00:55'}], 'main': '1837-4338-1-PB_3.pdf', 'docid': 25945}]",2.0,pub,2019-05-16 03:37:34,,2019-05-16 03:37:34,633,['Universitas Lampung'],,,,,,,,,,,,,,,
3,published,11470,show,6.0,6,PENGARUH KONSENTRASI NaOH PADA EKSTRAK NANOSILIKA BERBASIS BATU APUNG,https://jurnal.fmipa.unila.ac.id/jtaf/article/view/1846,"The investigation of effect NaOH in extracting nanosilika from pumice has been carried out. The aim of research is to study the effect of variation NaOH against the amount and chemical compositions of nanosilica extract results. The extraction process is carried out with NaOH, H2SO4 and HCl. Variations of NaOH used are 2.0 M, 2.5 M, 3.0 M, 3.5 M and 4.0 M. Pumice powder was calcined at 500°C for 4 hours and nanosilica powder was calcined at 800°C for 5.5 hours. Nanosilica was characterized by X-Ray Flouresence (XRF), X-Ray Diffractometer (XRD) and Transmission Electron Microscopy (TEM). The results of extraction increases with increasing of NaOH concentration. XRF analysis shows that the highest amorphous nanosilica was obtained in nanosilica of  NaOH 3.0 M. Difractogram XRD shows that pumice powder formed anorthite and albite phase and nanosilika 3.0 M NaOH has amorphous phase. Based on TEM result, the particle size of amorphous nanosilica NaOH 3.0 M is in the range of 8.8-19.5 nm and the average of particle size is (14.8 ± 3.07) nm",['QC'],archive,2019-05-02 04:10:45,,2018-07-01 00:00:00.000000000,disk0/00/01/14/70,"[{'id': None, 'name': {'given': 'Erika', 'lineage': None, 'honourific': None, 'family': 'Ginting'}}, {'name': {'given': 'Posman', 'honourific': None, 'family': 'Manurung', 'lineage': None}, 'id': 'reip65@yahoo.com'}, {'id': 'agus.riyanto@fmipa.unila.ac.id', 'name': {'family': 'Riyanto', 'honourific': None, 'lineage': None, 'given': 'Agus'}}]",2303-016X,Jurnal Teori dan Aplikasi Fisika,['FMIPA1'],article,TRUE,http://repository.lppm.unila.ac.id/id/eprint/11470,public,Jurusan Fisika FMIPA Universitas Lampung,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 11470, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24467', 'main': '1846-4349-1-PB_compressed.pdf', 'docid': 24467, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/104139', 'objectid': 24467, 'hash_type': 'MD5', 'mtime': '2019-05-01 03:16:34', 'hash': 'da8c916727c51c0258dd823fb8543c51', 'filename': '1846-4349-1-PB_compressed.pdf', 'fileid': 104139, 'mime_type': 'application/pdf', 'filesize': 132366, 'datasetid': 'document'}]}]",2.0,pub,2019-05-02 04:10:45,209-2017,2019-05-02 04:10:45,1168,['Universitas Lampung'],[{'url': 'https://jurnal.fmipa.unila.ac.id/jtaf/article/view/1846'}],,,,,,,,,,,,,,
4,published,12486,show,6.0,6,ANALISIS LAJU KOROSI ELEKTRODE BAHAN CuZn DENGAN METODE SACRIFICIAL ANODE PADA SISTEM ENERGI LISTRIK ALTERNATIF BERBASIS AIR LAUT,,"In this study, the addition of aluminum (Al) and magnesium (Mg) at the zinc (Zn) electrode as the sacrifice anode in an alternative sea-based electrical energy system was carried out. The sacrifice anode method is used as a way to prevent the corrosion of Zn electrodes. There are 3 types of electrode treatments, namely Cu-Zn, Cu-ZnAl, and Cu-ZnMg. The tool is designed to have 20 cells arranged in series and given a load of 3 Watt LED lights. Tool testing is carried out for 72 hours with electrolyte replacement every 24 hours. The measurement results showed that the Cu-ZnMg electrode produced the highest power output compared to the Cu-Zn and Cu-ZnAl electrodes. The maximum value of power from the Cu-ZnMg electrode is 125.71 mW while the electrodes of Cu-Zn and Cu-ZnAl have maximum power values of 49.49 mW and 52.48 mW respectively. The value of the intensity of the light generated from the instrument shows that the greater the power released, the higher the intensity of light. The lowest corrosion rate was generated by the Cu-ZnMg electrode of 0.079 mm/year after 72 hours of testing. This shows that the addition of sacrificial anode metal with a higher potential electrode value can produce higher and longer electrical energy and a lower corrosion rate",['QC'],archive,2019-05-14 02:03:04,http://dx.doi.org/10.23960%2Fjtaf.v6i2,2018-07-01 00:00:00.000000000,disk0/00/01/24/86,"[{'id': None, 'name': {'lineage': None, 'family': 'Kamalia', 'honourific': None, 'given': 'Latifah'}}, {'id': 'sri.wahyu@fmipa.unila.ac.id', 'name': {'given': 'SW', 'honourific': None, 'family': 'Suciyati', 'lineage': None}}, {'name': {'family': 'Gurum A. Pauzi', 'honourific': None, 'lineage': None, 'given': 'Gurum A.Pauzi'}, 'id': None}]",2303-016x,Jurnal Teori dan Aplikasi,['FMIPA1'],article,TRUE,http://repository.lppm.unila.ac.id/id/eprint/12486,none,Jurusan Fisika FMIPA Universitas Lampung,,2.0,pub,2019-05-14 02:03:04,249-256,2019-05-14 02:03:04,672,['universitas lampung'],[{'url': 'http://jurnal.fmipa.unila.ac.id/jtaf/'}],['Universitas Lampung'],"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,,,,,,,,,,,
5,,27079,show,1.0,6,Nanomaterial: Tinjauan Ilmu Masa Kini,https://www.andipublisher.com/,,['QC'],archive,2020-12-10 08:27:20,,2018-03-01 00:00:00.000000000,disk0/00/02/70/79,"[{'name': {'lineage': None, 'family': 'Manurung', 'honourific': None, 'given': 'Posman'}, 'id': 'reip65@yahoo.com'}]",,,['FMIPA1'],book,TRUE,http://repository.lppm.unila.ac.id/id/eprint/27079,none,Andi  Offset,,,pub,2020-12-10 08:27:20,,2020-12-10 08:27:20,781,,,,,9789792963687.0,Yogyakarta,210.0,,,,,,,,,
6,submitted,8984,show,,10,Initial Sticking Coefficient Attenuation of Gases in Carbon Monoxide Sensing on Pt80Au14Ti6,,"It has been proved that Pt80Au14Ti6 can give proper signals as a CO sensitive layer in air at room temperature. Unfortunately, there is no signal anymore from this sample, if it is kept in air more than 24 hours.  To find the way how to refresh the samples, etching the samples in dry etching technic solves this problem. The atmosphere testing also has been done in technic etcher chamber by keeping the samples separately in Ar, N2, CO, and O2 with pressure 1 atm for 24 hours without taking out the samples after etching process from the chamber. These experiments found that oxygen causes this loss signal problem. Based on some scientific reports, oxygen can diffuse up to 170 Angstrom under the Pt surface to be subsurface oxygen. This diffusion changes the surface structure of Pt(100)(1x1) to hex-Pt(100) which impacts the attenuating of the initial sticking coefficient of gases. Simulations which have been conducted in this research produced the attenuating factor, i.e., 1 − 0.00585 exp (5.76664Osub), where Osub is the concentration of subsurface oxygen.

Keywords: initial, sticking, coefficient, attenuation, gas",['QC'],archive,2018-11-02 01:53:12,,2018-09-01 00:00:00.000000000,disk0/00/00/89/84,"[{'id': 'roniyus.1977@fmipa.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Marjunus', 'given': 'Roniyus'}}]",,,['FMIPA1'],conference_item,FALSE,http://repository.lppm.unila.ac.id/id/eprint/8984,public,,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22244', 'rev_number': 1, 'docid': 22244, 'main': 'Full-paper-Roniyus Marjunus.pdf', 'files': [{'objectid': 22244, 'uri': 'http://repository.lppm.unila.ac.id/id/file/88298', 'datasetid': 'document', 'filesize': 859787, 'fileid': 88298, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-10-31 08:39:22', 'hash': '5e79c417730713bf5e88b703092528d1', 'filename': 'Full-paper-Roniyus Marjunus.pdf'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 8984, 'security': 'public', 'placement': 1}, {'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 2, 'eprintid': 8984, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22245', 'rev_number': 1, 'format': 'text', 'pos': 2, 'files': [{'datasetid': 'document', 'filesize': 512783, 'fileid': 88300, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-10-31 08:39:33', 'hash': '22fcd512b32351794f253e16a700cfa4', 'filename': 'Presentation at ICASMI 2018.pdf', 'objectid': 22245, 'uri': 'http://repository.lppm.unila.ac.id/id/file/88300'}], 'main': 'Presentation at ICASMI 2018.pdf', 'docid': 22245}, {'pos': 3, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/22246', 'rev_number': 1, 'docid': 22246, 'main': 'SERTIFIKAT ICASMI 2018 SEBAGAI PRESENTER        470.pdf', 'files': [{'objectid': 22246, 'uri': 'http://repository.lppm.unila.ac.id/id/file/88302', 'datasetid': 'document', 'filesize': 235877, 'fileid': 88302, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-10-31 08:39:45', 'hash': '970b0b5cffd43c0cd34321bc43be49da', 'filename': 'SERTIFIKAT ICASMI 2018 SEBAGAI PRESENTER        470.pdf'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 8984, 'placement': 3, 'security': 'public'}]",,submitted,2018-11-02 01:53:12,,2018-11-02 01:53:12,905,['University of Lampung'],,"['Ministry of Research, Technology and Higher Education of Republic of Indonesia', 'Universitaet der Bundeswehr Muenchen']",,,,,speech,The 2nd International Conference on Applied Sciences Mathematics and Informatics,"Hotel Horison, Bandar Lampung, Indonesia",9-11 Agustus 2018,conference,,,,
7,,12278,show,,8,"SINTESIS CaO/SiO
2
 DENGAN METODE SOL GEL DAN APLIKASINYA SEBAGAI KATALIS
REAKSI TRANSESTERIFIKASI MINYAK KELAPA",,"Dalam penelitian ini telah dilakukan sintesis CaO/SiO2 menggunakan batu kapur (CaCO) dan silika sekam padi. CaO/SiO2 disintesis dengan menvariasikan komposisi CaO terhadap silika yakni 5, 10, 15, 20, dan 25%. Sintesis dilakukan dengan metode sol gel dengan cara menambahkan sejumlah padatan CaCO2 yang telah terlebih dahulu dilarutkan dalam HNO3 10% hingga diperoleh komposisi CaO/SiO2 yang bervariasi. Selanjutnya masing-masing CaO/SiO2 dikalsinasi pada pada suhu 600 °C selama 6 jam. Untuk mengetahui aktivitas CaO/SiO2 sebagai katalis, kelima sampel diujikan dalam reaksi transesterifikasi minyak kelapa dengan metanol. Hasil penelitian mengindikasikan bahwa kelima sampel CaO/SiO2 mampu mengkonversi minyak kelapa menjadi campuran metil ester dan unjuk kerja terbaik ditunjukkan oleh katalis dengan kandungan CaO 25%, dengan tingkat konversi sebesar 93,1%. Selanjutnya katalis terbaik ini digunakan untuk mempelajari variabel reaksi yang dapat mempengaruhi tingkat konversi minyak kelapa. Kondisi optimum transesterifikasi adalah menggunakan perbandingan metanol terhadap minyak yakni 4:1, dengan jumlah katalis sebanyak 5% yang dilakukan selama 60 menit. Analisis GC-MS menunjukkan produk reaksi terdiri dari campuran metil ester yang sesuai dengan kandungan asam lemak dalam minyak kelapa dan komponen utamanya adalah metil laurat.",['QD'],archive,2019-05-09 08:24:21,,2018-11-13 00:00:00.000000000,disk0/00/01/22/78,"[{'name': {'honourific': None, 'family': 'Pandiangan', 'lineage': None, 'given': 'Kamisah Delilawati'}, 'id': 'kamisahdelilawati@yahoo.com'}, {'id': 'wasinton.simanjuntak@fmipa.unila.ac.id', 'name': {'given': 'Wasinton', 'family': 'Simanjuntak', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Heri', 'honourific': None, 'family': 'Satria', 'lineage': None}, 'id': 'heri.satria@fmipa.unila.ac.id'}, {'id': 'ilim@fmipa.unila.ac.id', 'name': {'lineage': None, 'family': 'Ilim', 'honourific': None, 'given': 'Ilim'}}, {'name': {'given': 'Aspita', 'lineage': None, 'honourific': None, 'family': 'Laila'}, 'id': None}]",,,['FMIPA1'],conference_item,FALSE,http://repository.lppm.unila.ac.id/id/eprint/12278,public,,"[{'docid': 25256, 'main': 'BukitRandu-kamisah.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2019-05-09 06:58:14', 'filename': 'BukitRandu-kamisah.pdf', 'hash': 'c9dff996d8799a2ffa41ac17a477c911', 'fileid': 109538, 'mime_type': 'application/pdf', 'filesize': 1306412, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/109538', 'objectid': 25256}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/25256', 'rev_number': 1, 'eprintid': 12278, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",,unpub,2019-05-09 08:24:21,,2019-05-09 08:24:21,761,,,,,,,,speech,Seminar Nasional Hasil-Hasil Pengabdian Kepada Masyarakat 2018,Hotel Bukit Randu Bandar Lampung,"Rabu, 14 November 2018",conference,,,,
8,published,11204,show,8.0,8,Desain dan Realisasi Akumulator Elektrolit Air Laut dengan Penambahan Sodium Bicarbonate (NaHCO3) sebagai Sumber Energi Alternatif,https://journal.unnes.ac.id/nju/index.php/jf/article/view/16982,"Research on the electrical characteristics of electrochemical cells with electrolyte of seawater with the addition of NaHCO
 using Cu-Zn electrodes was carried out. This electrochemical system is designed to be able to replace electrolyte sea water without making electrodes used directly exposed to air. Measurements of electrical characteristics include voltage, current, and power, and luminance produced by 1.2 watt LED loads. This study compared the electrical characteristics of electrochemical cells with and without the
addition of NaHCO3. Measurements are carried out for 5 days (120 hours) with electrolyte replacement every 24 hours. The results showed that the electrochemical system with the addition of NaHCO3 was able to turn on the LED for longer (5 days) compared to without the addition of NaHCO3 which was only able to turn on the LED for 3 days. The corrosion rate on Cu-Zn electrodes without the addition of NaHCO3 the longer it is used the greater, whereas with the addition of NaHCO  there is no corrosion.",['QC'],archive,2019-04-29 08:13:21,,2018-11-29 00:00:00.000000000,disk0/00/01/12/04,"[{'name': {'family': 'Pauzi', 'honourific': None, 'lineage': None, 'given': 'Gurum Ahmad'}, 'id': 'gurum.ahmadpauzi@fmipa.unila.ac.id'}, {'name': {'given': 'Randha Kentama', 'family': 'Arwaditha', 'honourific': None, 'lineage': None}, 'id': None}, {'id': 'amir.supriyanto@fmipa.unila.ac.id', 'name': {'given': 'Amir', 'family': 'Supriyanto', 'honourific': None, 'lineage': None}}, {'id': 'sri.wahyu@fmipa.unila.ac.id', 'name': {'given': 'SW', 'lineage': None, 'honourific': None, 'family': 'Suciyati'}}, {'name': {'given': 'Arif', 'honourific': None, 'family': 'Surtono', 'lineage': None}, 'id': 'arif.surtono@fmipa.unila.ac.id'}, {'name': {'given': 'Junaidi', 'lineage': None, 'honourific': None, 'family': 'Junaidi'}, 'id': 'junaidi.1982@fmipa.unila.ac.id'}, {'id': 'warsito@fmipa.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Warsito', 'given': 'Warsito'}}]",2088-1509,Jurnal Fisika,['FMIPA1'],article,TRUE,http://repository.lppm.unila.ac.id/id/eprint/11204,public,Jurusan Fisika Universitas Negeri Semarang,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 11204, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24204', 'main': '16982-41853-1-PB.pdf', 'docid': 24204, 'files': [{'objectid': 24204, 'uri': 'http://repository.lppm.unila.ac.id/id/file/102270', 'mime_type': 'application/pdf', 'fileid': 102270, 'filename': '16982-41853-1-PB.pdf', 'hash': '04034b01d4fc090b4718d29782ce09b7', 'mtime': '2019-04-18 06:41:52', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 504548}]}]",2.0,pub,2019-04-29 08:13:21,78-85,2019-04-29 08:13:21,387,,,,,,,,,,,,,,,,
9,published,9639,show,2.0,7,Improvement of Electrical Characteristics of Electrochemical Cells made from Sea Water Using Electroplating Method of Cu (Ag)-Zn Electrode as Renewable Energy Source,,"The electrical characterization research of electrochemical cell based seawater by using electroplating Cu-Zn electrode with Ag (Cu (Ag)-Zn) has been done. Measurement data is performed to determine the voltage at no load and with the 12 V 3W LED and lumination load. The measurement results were compared with electrochemical cells using Cu-Zn Electrodes without electroplating. Sea water that has been used has a salinity level of 3.5% which has three times the screening process. Measurement data has been taken every hour for 72 hours by refilling sea water every 24 hours. The average voltage drop for electrodes without electroplating is 0.03%, whereas for electrodes with electroplating is 0.01%. The lumination difference is up to 72 hours which is 4 times brighter than Cu-Zn without electroplating process.",['QC'],archive,2018-11-09 03:21:56,,2018-08-09 00:00:00.000000000,disk0/00/00/96/39,"[{'id': 'gurum.ahmadpauzi@fmipa.unila.ac.id', 'name': {'given': 'Gurum Ahmad', 'lineage': None, 'honourific': None, 'family': 'Pauzi'}}, {'id': 'ketrin.chintia@gmail.com', 'name': {'lineage': None, 'family': 'Riski', 'honourific': None, 'given': 'Ketrin Chintia'}}, {'name': {'family': 'Suciyati', 'honourific': None, 'lineage': None, 'given': 'SW'}, 'id': 'sri.wahyu@fmipa.unila.ac.id'}, {'name': {'given': 'Junaidi', 'family': 'Junaidi', 'honourific': None, 'lineage': None}, 'id': 'junaidi.1982@fmipa.unila.ac.id'}, {'id': 'arif.surtono@fmipa.unila.ac.id', 'name': {'given': 'Arif', 'honourific': None, 'family': 'Surtono', 'lineage': None}}, {'name': {'family': 'Supriyanto', 'honourific': None, 'lineage': None, 'given': 'Amir'}, 'id': 'amir.supriyanto@fmipa.unila.ac.id'}, {'id': 'warsito@fmipa.unila.ac.id', 'name': {'given': 'Warsito', 'lineage': None, 'honourific': None, 'family': 'Warsito'}}]",,The 2nd International Conference on Applied Sciences Mathematics and Informatics,['FMIPA1'],article,TRUE,http://repository.lppm.unila.ac.id/id/eprint/9639,public,,"[{'eprintid': 9639, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': 'icasmi2018Gurum.pdf', 'docid': 22663, 'files': [{'mtime': '2018-11-08 15:50:33', 'hash_type': 'MD5', 'hash': '6596d1d7962390f50d76b82067c2e23b', 'filename': 'icasmi2018Gurum.pdf', 'fileid': 91443, 'mime_type': 'application/pdf', 'filesize': 300376, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/91443', 'objectid': 22663}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22663'}]",1.0,submitted,2018-11-09 03:21:56,,2018-11-09 03:21:56,434,,,,[{'type': 'http://www.loc.gov/loc.terms/relators/CLL'}],,,,,,,,,"[1]	M. S. El-Sebaey, S. El-Din, M. Habib, and A. El-Hanafy, “An Experimental Study on a New Design of Double Slope Solar Still with External Flatted and Internal Parabolic Reflectors,” IOSR J. Mech. Civ. Eng., vol. 9, no. 6, pp. 40–54, 2013.
[2]	S. Barstow and A. Kabuth, “Assessing the global wave energy potential,” Proc. OMAE2010 29th, no. 2008, 2010.
[3]	G. A. Pauzi, E. Hudaya, A. Supriyanto, Warsito., and A. Surtono, “Analisis Karakteristik Elektrik Air Laut Sebagai Sumber Energi Listrik Terbarukan,” SN SMIAP Proceeding 2016, vol. 4, pp. 1–8, 2016.
[4]	G. A. Pauzi, A. Sa, D. Rahmayanti, N. Em, J. Prof, S. Brojonegoro, and N. Bandar, “Perhitungan Laju Korosi di dalam Larutan Air Laut dan Air Garam 3 % pada Paku dan Besi ASTM A36,” J. Ilm. Penelit. dan Pembelajaran Fis., vol. 1, no. 1, 2015.
[5]	L. Chen, H. J. A, L. Xu, and G. Lu, “Electrochemical Recovery of Copper from Spent Alkaline Etching Solutions,” Conf. Pap. Recycl. Waste treaIment Miner. Met. Prooesstng Tech. Econ. Asp. 16-20 June 2002 sweden, vol. 43, pp. 1–2, 2002.
[6]	L. Chen, H. Jing, L. Xu, and G. Lu, “Study on Non-Cyanide Silver Electroplating With Copper Substrate,” Adv. Mater. Res., pp. 2936–2939, 2012.
[7]	C. Cheng, T. Arunagiri, and O. Chyan, “Electrodeposition of Silver and Copper / Silver Multilayer on Ruthenium Substrate as a Potential New Metal Interconnect for Integrated Circuits,” Am. J. Undergrad. Res., vol. 2, no. 1, pp. 11–18, 2003.
[8]	X. M. Liu, S. L. Wu, P. K. Chu, C. Y. Chung, J. Zheng, and S. L. Li, “Effects of coating process on the characteristics of Ag – SnO 2 contact materials,” Elsevier J. Mater. Chem. Phys. 98 477–480, vol. 98, pp. 477–480, 2006.",gurum.ahmadpauzi@fmipa.unila.ac.id,"Sea Water, Electrochemical Cells, Cu (Ag) -Zn, Cu-Zn, electroplating",
