,projects,eprintid,date_type,official_url,title,rev_number,volume,metadata_visibility,status_changed,eprint_status,related_url,subjects,abstract,publication,creators,issn,date,dir,id_number,type,divisions,ispublished,number,publisher,full_text_status,uri,refereed,lastmod,userid,datestamp,pagerange,funders,documents,pres_type,event_title,event_location,event_dates,event_type,succeeds,monograph_type,contributors,contact_email,corp_creators,referencetext
0,"['Penelitian Hibah Disertasi Doktor Nomor 89/UN26/8/LPPM/2016, Tanggal 13 April 2016.']",4507,published,http://journal.ipb.ac.id/index.php/jfiti/index,Deteksi Odontoglossum ringspot virus pada Anggrek Asli Koleksi Kebun Raya di Indonesia,6,Vol 13,show,2017-11-16 03:00:53,archive,[{'url': 'http://journal.ipb.ac.id/index.php/jfiti/article/view/16358'}],"['QK', 'S1']","Native orchid is one of Indonesian natural resources which play important role as parental materials in breeding program. Virus infection is one of the limiting factors in the cultivation of orchid. The purpose of this study was to detect Odontoglossum ringspot virus (ORSV) from native orchid. Symptomatic orchids were collected from 5 botanical gardens, i.e. Bogor, Cibodas, Purwodadi, Balikpapan, and Enrekang Botanical Gardens. Detection and identification was conducted by serological method using ORSV specific antisera, followed by RT-PCR and DNA sequencing. The serological test showed that 5 samples gave positive reaction against ORSV antiserum, i.e. Phalaenopsis amboinensis (KRB2) and Phalaenopsis amabilis (KRB12) from Bogor Botanical Garden, Phalaenopsis amabilis (KRP18) and Dendrobium salacence (KRP20) from Purwodadi Botanical Garden, dan Phalaenopsis modesta J. J. Sm. (KRBp5) from Balikpapan Botanical Garden. RT-PCR of the 5 samples using specific primer of ORSV coat protein gene was successfully amplified fragment DNA with size ± 474 bp. Homology analysis of those 5 ORSV isolates showed the highest index similiarity of 99.8% with corresponding sequences from 14 other ORSV isolates. Phylogenetic analysis indicated that ORSV KRB2 and KRP18 isolates was clustered in a separate group far from ORSV isolates in other countries. This is the first report of ORSV infection on native orchids collection from 5 botanical gardens in Indonesia.",Jurnal Fitopatologi Indonesia,"[{'id': 'mahfutkariem@yahoo.com', 'name': {'lineage': None, 'family': '-', 'honourific': None, 'given': 'Mahfut'}}, {'name': {'honourific': None, 'family': 'Daryono', 'lineage': None, 'given': 'B.S.'}, 'id': 'bs_daryono@ayahoo.com'}, {'id': 'soesamto@faperta.ugm.ac.id', 'name': {'given': 'Susamto', 'lineage': None, 'family': 'Somowiyarjo', 'honourific': None}}]",0215-7950,2017-01-09 00:00:00.000000000,disk0/00/00/45/07,DOI: 10.14692/jfi.13.1.1–8,article,['FMIPA2'],pub,No.1,Perhimpunan Fitopatologi Indonesia,none,http://repository.lppm.unila.ac.id/id/eprint/4507,TRUE,2017-11-16 03:00:53,1126,2017-11-16 03:00:53,1-8,,,,,,,,,,,,,
1,"['Penelitian Hibah Disertasi Doktor Nomor 89/UN26/8/LPPM/2016, Tanggal 13 April 2016.']",4510,published,http://journal.ipb.ac.id/index.php/jfiti/index,Deteksi Odontoglossum ringspot virus pada Anggrek Asli Koleksi Kebun Raya di Indonesia,7,Vol 13,show,2017-11-16 03:01:17,archive,[{'url': 'http://journal.ipb.ac.id/index.php/jfiti/article/view/16358'}],"['QK', 'S1']","Native orchid is one of Indonesian natural resources which play important role as parental materials in breeding program. Virus infection is one of the limiting factors in the cultivation of orchid. The purpose of this study was to detect Odontoglossum ringspot virus (ORSV) from native orchid. Symptomatic orchids were collected from 5 botanical gardens, i.e. Bogor, Cibodas, Purwodadi, Balikpapan, and Enrekang Botanical Gardens. Detection and identification was conducted by serological method using ORSV specific antisera, followed by RT-PCR and DNA sequencing. The serological test showed that 5 samples gave positive reaction against ORSV antiserum, i.e. Phalaenopsis amboinensis (KRB2) and Phalaenopsis amabilis (KRB12) from Bogor Botanical Garden, Phalaenopsis amabilis (KRP18) and Dendrobium salacence (KRP20) from Purwodadi Botanical Garden, dan Phalaenopsis modesta J. J. Sm. (KRBp5) from Balikpapan Botanical Garden. RT-PCR of the 5 samples using specific primer of ORSV coat protein gene was successfully amplified fragment DNA with size ± 474 bp. Homology analysis of those 5 ORSV isolates showed the highest index similiarity of 99.8% with corresponding sequences from 14 other ORSV isolates. Phylogenetic analysis indicated that ORSV KRB2 and KRP18 isolates was clustered in a separate group far from ORSV isolates in other countries. This is the first report of ORSV infection on native orchids collection from 5 botanical gardens in Indonesia.",Jurnal Fitopatologi Indonesia,"[{'name': {'lineage': None, 'honourific': None, 'family': '-', 'given': 'Mahfut'}, 'id': 'mahfutkariem@yahoo.com'}, {'id': 'bs_daryono@ayahoo.com', 'name': {'lineage': None, 'family': 'Daryono', 'honourific': None, 'given': 'B.S.'}}, {'id': 'soesamto@faperta.ugm.ac.id', 'name': {'lineage': None, 'family': 'Somowiyarjo', 'honourific': None, 'given': 'Susamto'}}]",0215-7950,2017-01-09 00:00:00.000000000,disk0/00/00/45/10,DOI: 10.14692/jfi.13.1.1–8,article,['FMIPA2'],pub,No.1,Perhimpunan Fitopatologi Indonesia,public,http://repository.lppm.unila.ac.id/id/eprint/4510,TRUE,2017-11-16 03:01:17,1126,2017-11-16 03:01:17,1-8,"['Direktorat Riset dan Pengabdian Masyarakat (DRPM), Kementerian Riset Teknologi dan Pendidikan Tinggi']","[{'content': 'published', 'language': 'id', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 4510, 'formatdesc': 'Deteksi Odontoglossum ringspot virus pada Anggrek Asli Koleksi Kebun Raya di Indonesia', 'uri': 'http://repository.lppm.unila.ac.id/id/document/17414', 'rev_number': 6, 'format': 'text', 'pos': 1, 'files': [{'filesize': 316108, 'datasetid': 'document', 'filename': '16358-49234-1-PB.pdf', 'hash': '158a8cbc7e4259c33af736d52209051b', 'hash_type': 'MD5', 'mtime': '2017-11-03 11:02:18', 'mime_type': 'application/pdf', 'fileid': 44586, 'uri': 'http://repository.lppm.unila.ac.id/id/file/44586', 'objectid': 17414}], 'docid': 17414, 'main': '16358-49234-1-PB.pdf'}]",,,,,,,,,,,
2,,5468,published,http://fmipa.unila.ac.id,"Stomata Index, Clorophyll And Carbohydrate Content of F1 Tomato Plant
(Lycopersicum Esculentum Mill.) As a Result of 0,2 mT Magnetic Field
Induction and Infected bya Fusarium Oxysporum f.sp. Lycopersici",10,,show,2017-11-16 07:47:38,archive,,"['QK', 'S1']","Tomato (Lycopersicum esculentum Mill.) is one of the horticultural commodities which have high economic value for its utilization in the community. However,  tomato cultivation faces a lot of constrained, including  Fusarium oxysporum attact causes fusarium wilt disease.  From
previous research it is known that 0.2 mT magnetic field exposure on Fusarium oxysporum (Fox) infected tomato seeds produces tomato plants that can survive to grow so that the result is similar to plant growth from uninfected Fusarium sp. (control).  The purpose of this study was to investigate the resistance of F1 plants infected with Fusarium oxysporum f.sp. licopersici (Fol). The study was arranged factorially using a Completely Randomized Design (CRD) consisting of 2 factors an 4 replications. The first factor is the F1 tomato seeds (B) derived from plants whose seed is exposed to a magnetic field of 0.2 mT and infected by Fusarium sp. consists of:  M0F0, M0F60, M7F0, M7F60, M11F0, M11F60, M15F0, M15F60.  The second factor is infection of Fusarium oxysporum f.sp. Licopersici (F). The parameters tested were  stomata index as well as both chlorophyll  and carbohydrates content. The data obtained were analyzed using anova followed by the Fisher test at a = 5%.  The results showed that tomato plants originating from seeds exposed to magnetic fields can produce F1 seeds which also produce F1 tomato plants that can survive the infection of Fusarium oxysporum f.sp. Licopersici (Fol) which is indicated by stomata index, chlorophyll and carbohydrate content which is not significantly different than the three parameters in the control plants.",,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Agustrina', 'given': 'Rochmah'}, 'id': 'rochmah.agustrina@fmipa.unila.ac.id'}, {'name': {'given': 'Bambang', 'honourific': None, 'family': 'Irawan', 'lineage': None}, 'id': 'bambang.irawan@fmipa.unila.ac.id'}, {'name': {'given': 'Endang', 'family': 'Nurcahyani', 'honourific': None, 'lineage': None}, 'id': 'endang_nurcahyani@yahoo.com'}, {'name': {'given': 'Nasyiatul', 'family': 'Himmah', 'honourific': None, 'lineage': None}, 'id': None}]",,2017-07-13 00:00:00.000000000,disk0/00/00/54/68,,conference_item,['FMIPA2'],pub,,,public,http://repository.lppm.unila.ac.id/id/eprint/5468,FALSE,2017-11-16 07:47:38,737,2017-11-16 07:47:38,1-1,,"[{'eprintid': 5468, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'image/jpeg', 'docid': 18406, 'main': 'Nasya Poster -2017.jpg', 'files': [{'objectid': 18406, 'uri': 'http://repository.lppm.unila.ac.id/id/file/51455', 'fileid': 51455, 'mime_type': 'image/jpeg', 'mtime': '2017-11-14 05:02:09', 'hash_type': 'MD5', 'filename': 'Nasya Poster -2017.jpg', 'hash': 'b93c143a1da34dad1024f220c133a9f7', 'datasetid': 'document', 'filesize': 195984}], 'pos': 1, 'format': 'image', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18406'}]",speech,International Conference on Applied Sciences Mathemaics and Informatics,"Hotel Horizon, Bandar Lampung, Indonesia",13 - 15 Juli 2017,conference,,,,,,
3,,5453,published,http://fmipa.unila.ac.id,"Vegetative Growth of F1 Tomato Plant (Lycopersicum esculentum Mill.)  As a Result of 
0,2 mT Magnetic Field Induction and Infected by 
Fusarium oxysporum f.sp. Lycopersici",10,,show,2017-11-16 07:39:57,archive,,"['QK', 'S1']","The main problem in tomato cultivation is infection of pathogenic microbes causing disease, such as Fusarium oxysporum, fungus causing fusarium wilt that can cause death in plants. The results of previous research indicate that treatment with a 0.2 mT magnetic field on tomato seeds can cope with fusarium wilt disease attacks. The magnetic field is known to increase the vigor of sprouts and the growth of tomato plants. The purpose of this study was to determine whether the effect of 0.2 mT magnetic field on tomato seed infected by Fusarium oxysporum can be maintained in the F1 tomato seeds produced.  The study was arranged factorially using Completely Randomized Design (CRD) with two factors and 4 replications. The first factor is the type of F1 tomato seeds consist of: M0F0, M0F60, M7F0, M7F60, M11F0, M11F60, M15F
0, M15F. The second factor is infection of Fusarium oxysporum f.sp. Lycopersici (Fol). The measured vegetative growth parameters were plant length, plant dry weight, and root/shoot
ratio. The data obtained were analyzed using anova followed by Fisher test at a = 5%. The results showed that the significant differences in plant height and dry weight of plants as a result of seed treatment. Different roots/ratio responses were obtained from treatment of Fol infection.
 
Keywords: Lycopersicum esculentum Mill., Fusarium oxysporum f.sp. Lycopersici, plant  height, 
                   plant dry weight, root-shoot comparison.",,"[{'name': {'given': 'Rochmah', 'honourific': None, 'family': 'Agustrina', 'lineage': None}, 'id': 'rochmah.agustrina@fmipa.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Irawan', 'lineage': None, 'given': 'Bambang'}, 'id': 'bambang.irawan@fmipa.unila.ac.id'}, {'name': {'given': 'Endang', 'honourific': None, 'family': 'Nurcahyani', 'lineage': None}, 'id': 'endang_nurcahyani@yahoo.com'}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Jaratenghar', 'given': 'Ade Safitri'}}]",,2017-07-13 00:00:00.000000000,disk0/00/00/54/53,,conference_item,['FMIPA2'],pub,,,public,http://repository.lppm.unila.ac.id/id/eprint/5453,FALSE,2017-11-16 07:39:57,737,2017-11-16 07:39:57,1-1,,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18391', 'format': 'image', 'pos': 1, 'files': [{'objectid': 18391, 'uri': 'http://repository.lppm.unila.ac.id/id/file/51356', 'datasetid': 'document', 'filesize': 189698, 'mime_type': 'image/jpeg', 'fileid': 51356, 'filename': 'Ade Poster  -2017.jpg', 'hash': 'f80688e8ef045fea37b57cb1d987aeaa', 'mtime': '2017-11-14 03:57:06', 'hash_type': 'MD5'}], 'main': 'Ade Poster  -2017.jpg', 'docid': 18391, 'language': 'en', 'mime_type': 'image/jpeg', 'security': 'public', 'placement': 1, 'eprintid': 5453}]",poster,"International Conference on Apllied Sciences, Mathematics, and Informatics","Univrsitas Lampung, Bandarlampung, Indonesia",12-13 July 2017,conference,,,,,,
4,,5467,published,http://fmipa.unila.ac.id,"Production of F1 Tomato Plant (Lycopersicum esculentum Mill.)  As a Result of 0,2 mT Magnetic Field Induction and Infected by Fusarium oxysporum f.sp. Lycopersici",8,,show,2017-11-16 07:47:34,archive,,"['QK', 'S1']","Abstract.Tomato (Lycopersicum esculentum Mill.) is one of multipurpose vegetables that have high economic value. However, many tomato cultivation is constrained by Fusarium oxysporum, a fungus causing fusarium wilt that can cause plant death. The exposure of magnetic field to tomato seed is known to inhibit the attack power of fusarium wilt disease so that the plant can survive and its production is relatively high compared to the control plants. The purpose of
this study was to assess the productivity of F1 tomato plants from tomato seeds induced 0.2 mT magnetic field and infected with Fusarium oxysporum.  The study was arranged factorially using Completely Randomized Design (CRD) with two factors and 4 replications. The first factor is the type of F1 tomato seeds consist of: M0F0, M0F60, M7F0, M7F60, M11F0, M11F60, M15F0, M15F60. The second factor is infection of Fusarium oxysporum f.sp. Lycopersici (Fol). Productivity data obtained were analyzed using anova and continued by Fisher test at a = 5%.  The results showed that the productivity of FI tomato plants was similar to that of the parental plant, which was shown by the similarity in the rate of fruit formation, the number of fruits, the size and weight of the fruit, and the size of the 15 seeds both from large and from small fruits. The number of F1 tomato seeds from both large and small fruits has decreased as a result of treatment of Fol infection, whereas in the parental plants, the treatment of Fussarium oxysporum infection did not cause significant differences in the number of seeds of both large and small fruits.",,"[{'id': 'rochmah.agustrina@fmipa.unila.ac.id', 'name': {'given': 'Rochmah', 'family': 'Agustrina', 'honourific': None, 'lineage': None}}, {'name': {'lineage': None, 'family': 'Irawan', 'honourific': None, 'given': 'Bambang'}, 'id': 'bambang.irawan@fmipa.unila.ac.id'}, {'name': {'family': 'Nurcahyani', 'honourific': None, 'lineage': None, 'given': 'Endang'}, 'id': 'endang_nurcahyani@yahoo.com'}, {'name': {'given': 'Siti', 'honourific': None, 'family': 'Nurhayati', 'lineage': None}, 'id': None}]",,2017-07-15 00:00:00.000000000,disk0/00/00/54/67,,conference_item,['FMIPA2'],pub,,,public,http://repository.lppm.unila.ac.id/id/eprint/5467,FALSE,2017-11-16 07:47:34,737,2017-11-16 07:47:34,1-1,,"[{'mime_type': 'image/jpeg', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 5467, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18405', 'rev_number': 1, 'pos': 1, 'format': 'image', 'files': [{'filename': 'Siti Poster -2017.jpg', 'hash': '51b1d410339c30b66ffba1580a2cf899', 'mtime': '2017-11-14 04:57:14', 'hash_type': 'MD5', 'mime_type': 'image/jpeg', 'fileid': 51443, 'filesize': 152887, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/51443', 'objectid': 18405}], 'docid': 18405, 'main': 'Siti Poster -2017.jpg'}]",poster,International Conference on Applied Sciences Mathematics and Informatics ( ICASMI),"at Horison Hotel, Lampung, Indonesia",13 - 15 July,conference,,,,,,
5,,5020,completed,,Germination and growth of F1 tomato seeds induced 0.2mT of magnetic field infected by Fusarium sp.,9,,show,2017-11-16 07:36:06,archive,,"['QK', 'S1']","ABSTRACT

Exposure of 0.2 mT magnetic field to tomato seeds is known to increase germination, growth, as well as resistance of plants to Fusarium sp. In this study F1 tomato seeds obtained from parental plants whose seeds were induced by 0.2 mT magnetic field and Fusarium sp. were tested for germination and growth after reinfection with Fusarium oxysporum f.sp lycopersicui (Fol).  

The study was arranged factorially in Completely Randomized Design (RAL). The first factor is a seed type consisting of 8 types: M0F0, M0F60, M7F0, M7F60, M11F0, M11F60, M15F0, and M15F60.  T.he numbers 0, 7, 11, 15 after M and 0 and 60 after F indicate that the seeds obtained from tomato plants induced by 0.2 mT of magnetic fields for each 0, 7, 11, and 15 minutes are then infected by monosporal suspensions of Fusarium sp. respectively each for 0 and 60 minutes. The second factor is Fol infection for 0  (A) and 60 minutes (B). The parameters observed were germination rate, germination percentage, and dry weight of plant. The data obtained were analyzed using Anova and further tested by Fisher's Test at α = 5%.

The results of the variance analysis show that the tomatoes induced by 0.2 mT magnetic field produce seeds that have a higher vigor than the control (seeds without magnetic field induction) although infected by Fol. The nature is the same as the nature of the parental seed.  These results suggest that the vigor properties of the F1 tomato seeds are the same as the vigor properties of the parental seeds induced by magnetic fields.

Keywords:  Fol, F1 tomato seed type, germination rate, germination percentage, and dry weight of plant",,"[{'id': 'rochmah.agustrina@fmipa.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Agustrina', 'given': 'Rochmah'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Nurcahyani', 'given': 'Endang'}, 'id': 'endang_nurcahyani@yahoo.com'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Irawan', 'given': 'Bambang'}, 'id': 'bambang.irawan@fmipa.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Lusiati', 'lineage': None, 'given': 'Lusiati'}, 'id': None}]",,2017-07-13 00:00:00.000000000,disk0/00/00/50/20,,conference_item,['FMIPA2'],pub,,,public,http://repository.lppm.unila.ac.id/id/eprint/5020,FALSE,2017-11-16 07:36:06,737,2017-11-16 07:36:06,1-1,,"[{'language': 'en', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'eprintid': 5020, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17939', 'rev_number': 1, 'main': 'Abstrct -RA lusi dkk- Germination and growth of F1 tomato seeds induced 0.2mT of magnetic field infected by Fusarium sp..docx', 'docid': 17939, 'files': [{'filesize': 13371, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2017-11-09 23:32:18', 'filename': 'Abstrct -RA lusi dkk- Germination and growth of F1 tomato seeds induced 0.2mT of magnetic field infected by Fusarium sp..docx', 'hash': 'b55f10cdd50c49f7b39283cec0cb6d65', 'fileid': 48251, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/48251', 'objectid': 17939}]}]",speech,Internastional Conference on Applied Sciences Mathematics and Informatics,Lampung,13 - 15 Juli 2017,conference,,,,,,
6,,10742,,,"Studi Nematoda pada Ayam Petelur (Gallus gallus) Strain Isa Brown di Peternakan Mandiri Kelurahan Tegal Sari, Kecamatan Gading Rejo, Kab. Pringsewu Lampung",6,4,show,2019-03-15 02:54:24,archive,,['QL'],,Jurnal Biologi Eksperimen dan Keanekaragaman Hayati,"[{'name': {'honourific': None, 'family': 'Ananda', 'lineage': None, 'given': 'Rio Raski'}, 'id': None}, {'name': {'family': 'Rosa', 'honourific': None, 'lineage': None, 'given': 'Emantis'}, 'id': 'emantisrosa@gmail.com'}, {'id': 'ginadaniapratami@gmail.com', 'name': {'family': 'Pratami', 'honourific': None, 'lineage': None, 'given': 'Gina'}}]",2338-4344,2017-12-02 00:00:00.000000000,disk0/00/01/07/42,,article,['FMIPA2'],pub,2,Jurusan Biologi,public,http://repository.lppm.unila.ac.id/id/eprint/10742,TRUE,2019-03-15 02:54:24,1166,2019-03-15 02:54:24,23-27,,"[{'security': 'public', 'placement': 1, 'eprintid': 10742, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'filesize': 3585476, 'datasetid': 'document', 'mtime': '2019-02-12 01:52:43', 'hash_type': 'MD5', 'filename': 'JBEKH_Studi Nematoda pada Ayam Petelur.pdf', 'hash': 'd81d6dadfac546f4d5eba05ed6f57e89', 'fileid': 99140, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/99140', 'objectid': 23754}], 'docid': 23754, 'main': 'JBEKH_Studi Nematoda pada Ayam Petelur.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/23754', 'rev_number': 1, 'format': 'text', 'pos': 1}]",,,,,,,,,,,
7,,7775,published,,"Studi Nematoda Pada Ayam Petelur (Gallus gallus) Strain ISA BROWN di Peternakan Mandiri Kelurahan Tegal Sari, Kecamatan Gading Rejo, Kab. Pringsewu, Lampung.",4,4,show,2018-06-26 02:45:41,archive,,['QL'],"Ayam petelur merupakan ayam yang khusus diperlihara untuk dimulai telurnya. Kandungan protein telur yang tinggi serta harganya yang terjangkau membuat ayam jenis petelur ini banyak dibudidayakan. Namun dalam pembudidayaannya masih sering terdapat kendala, salah satunya disebabkan oleh berbagai nematoda yang menyebabkan berbagai macam infeksi. Penelitian ini telah dilaksanakan pada bulan April 2017 sampai bulan Juni 2017. Pengambilan sampel dilakukan di Peternakan mandiri, di Kelurahan Tegal Sari, Kecamatan Gading Rejo, Kabupaten Pringsewu, Provinsi Lampung dan identifikasi dilakukan di Balai Veteriner Lampung. Tujuan penelitian ini adalah untuk mengetahui jenis telur nematode dan mengetahui nilai prevalensi parasit tersebut pada ayam petelur. Metode pengambilan sampel sampel  yang digunakan pada penelitian ini adalah purposive sampling, yaitu mengambil sampel feses dari setiap kandang yang diduga terinfeksi nematode sebanyak 100 sampel. Penghitungan jumlah telur parasit menggunakan uji Mc.Master. Hasil penelitian pada ayam strain ISA brown ditemukan nematode Ascaridia galli, Heterakis gallinarum dan Syngamus trachea. Nilai prevalensi serangan nematoda paling tinggi sebesar 43% oleh Ascaridia galli dan nilai prevalensi paling rendah sebesar 4% oleh Syngamus trachea.",Jurnal Biologi Eksperimen dan Keanekaragaman Hayati,"[{'id': None, 'name': {'family': 'Ananda', 'honourific': None, 'lineage': None, 'given': 'Rio Riski'}}, {'id': 'emantisrosa@gmail.com', 'name': {'given': 'Emantis', 'family': 'Rosa', 'honourific': None, 'lineage': None}}, {'id': 'ginadaniapratami@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Pratami', 'given': 'Gina'}}]",2338-4344,2017-12-02 00:00:00.000000000,disk0/00/00/77/75,,article,['FMIPA2'],pub,2,Jurusan Biologi,public,http://repository.lppm.unila.ac.id/id/eprint/7775,FALSE,2018-06-26 02:45:41,870,2018-06-26 02:45:41,23-27,,"[{'docid': 20811, 'main': 'Studi Nematoda pada ayam.pdf', 'files': [{'datasetid': 'document', 'filesize': 3585476, 'mime_type': 'application/pdf', 'fileid': 69598, 'hash': 'd81d6dadfac546f4d5eba05ed6f57e89', 'filename': 'Studi Nematoda pada ayam.pdf', 'mtime': '2018-06-25 14:23:47', 'hash_type': 'MD5', 'objectid': 20811, 'uri': 'http://repository.lppm.unila.ac.id/id/file/69598'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/20811', 'rev_number': 2, 'eprintid': 7775, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",,,,,,7767.0,,,,,
8,,5889,published,,Studi Potensi Kulit Nanas Madu (Ananas comosus (L.) Merr.) sebagai Bahan Anti Browning Buah Apel Manalagi (Malus sylvertris Mill.),6,,show,2017-11-18 01:28:42,archive,,['Q1'],Abstrack,Jurnal Penelitian Pertanian Terapan,"[{'id': None, 'name': {'given': 'Rizka Devi', 'lineage': None, 'family': 'Anggita', 'honourific': None}}, {'name': {'family': 'Zulkifli', 'honourific': None, 'lineage': None, 'given': 'Zulkifli'}, 'id': None}, {'id': 'martha_lande@yahoo.com', 'name': {'given': 'Martha L.', 'honourific': None, 'family': 'Lande', 'lineage': None}}]",1410-5020,1970-01-01 00:00:00.000002017,disk0/00/00/58/89,,article,['FMIPA2'],pub,,Poloiteknik Negeri Lampung,public,http://repository.lppm.unila.ac.id/id/eprint/5889,TRUE,2017-11-18 01:28:42,483,2017-11-18 01:28:42,50-52,,"[{'main': '2.pdf', 'docid': 18813, 'files': [{'objectid': 18813, 'uri': 'http://repository.lppm.unila.ac.id/id/file/54830', 'mime_type': 'application/pdf', 'fileid': 54830, 'hash': '9bcebe03db4c344a5ae9068eca153ed9', 'filename': '2.pdf', 'hash_type': 'MD5', 'mtime': '2017-11-17 07:14:38', 'datasetid': 'document', 'filesize': 284595}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18813', 'eprintid': 5889, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",,,,,,,,,,,
9,,13558,published,,"EFFECT OF CONSUMPTION KEMUNING’S LEAF (MURRAYA PANICULATA (L.) JACK) INFUSE TO REDUCE BODY MASS INDEX, WAIST CIRCUMFERENCE AND PELVIS CIRCUMFERENCE ON OBESE PATIENTS",6,8,show,2019-07-16 09:16:25,archive,,['QP'],Hasil penilaian sejawat sebidang atau peer review karya ilmiah: jurnal ilmiah internasional,International Journal of Research in Ayurveda and Pharmacy,"[{'id': 'hendri_busman@yahoo.com', 'name': {'family': 'Busman', 'honourific': None, 'lineage': None, 'given': 'Hendri'}}]",2277-4343,1970-01-01 00:00:00.000002017,disk0/00/01/35/58,,article,['FMIPA2'],pub,2,,public,http://repository.lppm.unila.ac.id/id/eprint/13558,TRUE,2019-07-16 09:16:25,703,2019-07-16 09:16:25,75-78,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/26568', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'filesize': 578228, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2019-07-16 04:35:34', 'hash': 'af4340c445562ed090564a8a19517985', 'filename': 'Effect of Consumtion Kemuning Leaf Infuse to Reduce Body Mass Index, Waist Circumference and PelvisCircumference on Obese Patient.pdf', 'fileid': 118444, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/118444', 'objectid': 26568}], 'docid': 26568, 'main': 'Effect of Consumtion Kemuning Leaf Infuse to Reduce Body Mass Index, Waist Circumference and PelvisCircumference on Obese Patient.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 13558}]",,,,,,,,,,,
