,eprintid,status_changed,eprint_status,subjects,title,rev_number,metadata_visibility,type,divisions,creators,dir,date,lastmod,userid,datestamp,ispublished,documents,publisher,full_text_status,uri,abstract,official_url,volume,date_type,pagerange,number,refereed,issn,publication,id_number,contributors,related_url,pages,book_title,isbn,place_of_pub
0,51012,2023-05-03 07:36:05,archive,['Q1'],"Perbaikan Korespondensi Produksi Cabai Merah (Capsicum annuum L.) dari Benih yang Diinduksi Medan Magnet 0,2 mT dan Diinfeksi Jamur Fusarium sp",7,show,other,['FMIPA2'],"[{'name': {'honourific': None, 'family': 'Agustrina', 'lineage': None, 'given': 'Rochmah'}, 'id': 'rochmah.agustrina@fmipa.unila.ac.id'}]",disk0_bak/00/05/10/12,1970-01-01 00:00:00.000002023,2023-05-03 07:36:05,737,2023-05-03 07:36:05,unpub,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190724', 'rev_number': 1, 'docid': 190724, 'main': 'Korespondensi Jurnal Biologi Papua.pdf', 'files': [{'objectid': 190724, 'uri': 'http://repository.lppm.unila.ac.id/id/file/548728', 'datasetid': 'document', 'filesize': 1062367, 'mime_type': 'application/pdf', 'fileid': 548728, 'filename': 'Korespondensi Jurnal Biologi Papua.pdf', 'hash': '1a426fde063606e73930d08bc4c52343', 'hash_type': 'MD5', 'mtime': '2023-05-03 07:32:32'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 51012, 'placement': 1, 'security': 'public'}]",Jurnal Biologi Papua,public,http://repository.lppm.unila.ac.id/id/eprint/51012,,,,,,,,,,,,,,,,
1,51006,2023-05-03 07:35:56,archive,['QK'],"Perbaikan Korespondensi Tomato Generative Growth from the Seeds Exposed to 0,2 mT of Magnetic Field and Infected by Fusarium sp.",7,show,other,['FMIPA2'],"[{'id': 'rochmah.agustrina@fmipa.unila.ac.id', 'name': {'lineage': None, 'family': 'Agustrina', 'honourific': None, 'given': 'Rochmah'}}]",disk0_bak/00/05/10/06,1970-01-01 00:00:00.000002023,2023-05-03 07:35:56,737,2023-05-03 07:35:56,unpub,"[{'main': 'Korespodensi ICST.pdf', 'docid': 190718, 'files': [{'filename': 'Korespodensi ICST.pdf', 'hash': '7ee6a98fb2a8a81c2209a983a3315905', 'hash_type': 'MD5', 'mtime': '2023-05-03 07:09:50', 'mime_type': 'application/pdf', 'fileid': 548697, 'filesize': 1624597, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/548697', 'objectid': 190718}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190718', 'rev_number': 1, 'eprintid': 51006, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",SEMIRATA- International Conference on Science and Technology,public,http://repository.lppm.unila.ac.id/id/eprint/51006,,,,,,,,,,,,,,,,
2,51237,2023-05-08 08:45:07,archive,['Q1'],Perbaikan korespondensi The Germination and Growth of Induced F1 Tomato Seeds By Exposure To 0.2mt of Magnetic Field And Fusarium Sp. Infection,7,show,other,['FMIPA2'],"[{'name': {'lineage': None, 'honourific': None, 'family': 'Agustrina', 'given': 'Rochmah'}, 'id': 'rochmah.agustrina@fmipa.unila.ac.id'}]",disk0_bak/00/05/12/37,1970-01-01 00:00:00.000002023,2023-05-08 08:45:07,737,2023-05-08 08:45:07,unpub,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/191009', 'docid': 191009, 'main': 'Perbaikan Korespondensi Jurnal IOSR.pdf', 'files': [{'datasetid': 'document', 'filesize': 2163632, 'mime_type': 'application/pdf', 'fileid': 550484, 'filename': 'Perbaikan Korespondensi Jurnal IOSR.pdf', 'hash': '70e6fda09a7539692a6915d4a62ec292', 'mtime': '2023-05-08 08:20:53', 'hash_type': 'MD5', 'objectid': 191009, 'uri': 'http://repository.lppm.unila.ac.id/id/file/550484'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 51237, 'placement': 1, 'security': 'public'}]",IOSR,public,http://repository.lppm.unila.ac.id/id/eprint/51237,,,,,,,,,,,,,,,,
3,50885,2023-05-02 01:42:43,archive,['QK'],"Bedah Buku Ajar Biologi Kelas XII SMA pada Materi
Genetika: Upaya Peningkatan Kompetensi Materi Pada
Guru dan Calon Guru Biologi",8,show,article,['FMIPA2'],"[{'name': {'given': 'Wolly', 'lineage': None, 'honourific': None, 'family': 'Candramila'}, 'id': None}, {'name': {'honourific': None, 'family': 'Suhara', 'lineage': None, 'given': 'Suhara'}, 'id': None}, {'name': {'given': 'Asriah Nurdini', 'honourific': None, 'family': 'Mardiyyaningsih', 'lineage': None}, 'id': None}, {'name': {'given': 'Siti', 'lineage': None, 'family': 'Zubaidah', 'honourific': None}, 'id': None}, {'name': {'lineage': None, 'honourific': None, 'family': 'Mahfut', 'given': 'Mahfut'}, 'id': 'mahfut.mipa@fmipa.unila.ac.id'}, {'name': {'given': 'Marinda Sari', 'lineage': None, 'family': 'Sofiana', 'honourific': None}, 'id': None}]",disk0_bak/00/05/08/85,2023-04-01 00:00:00.000000000,2023-05-02 01:42:43,1126,2023-05-02 01:42:43,pub,"[{'files': [{'objectid': 190598, 'uri': 'http://repository.lppm.unila.ac.id/id/file/547777', 'datasetid': 'document', 'filesize': 433986, 'mime_type': 'application/pdf', 'fileid': 547777, 'filename': '59262-75676688962-1-PB.pdf', 'hash': '9b04c5c7b4fd56f7719b5124b2172a6a', 'mtime': '2023-05-01 08:57:42', 'hash_type': 'MD5'}], 'docid': 190598, 'main': '59262-75676688962-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190598', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 50885, 'language': 'en', 'mime_type': 'application/pdf'}]","Lembaga Penelitian dan Pengabdian kepada Masyarakat  Universitas Tanjungpura, Pontianak",public,http://repository.lppm.unila.ac.id/id/eprint/50885,"Kajian tentang miskonsepsi yang ditemukan pada buku ajar pernah dilaporkan dalam
berbagai penelitian. Ajang pertemuan ilmiah yang diikuti oleh guru dan calon guru bisa mendukung
peningkatan kompetensi keilmuan sehingga bisa memperkuat pengetahuan yang diperlukan untuk
menyaring buku ajar yang baik untuk digunakan dalam pembelajarannya. Kegiatan pengabdian ini
menggunakan bentuk bedah buku memaparkan hasil kajian isi materi genetika dalam tiga buku Biologi
untuk siswa di kelas XII SMA yang banyak digunakan di Kota Pontianak menurut hasil survei di 27
SMA pada semester gazal TA 2021/2022. Aspek yang dikaji dari ketiga buku ajar meliputi 1) kesesuaian
dengan kurikulum dan kompetensi dasar, 2) urutan/ sistematika dalam memahami konsep, 3) konten/
kebenaran konsep, 4) tata bahasa dan penulisan, 5) tampilan dan kemenarikan, dan 6) tuntutan dalam
soal latihan. Kegiatan ini diikuti oleh 34 peserta yang terdiri atas 6 orang dosen, 16 guru, 11
mahasiswa, dan 1 umum. Pemaparan materi berjalan dengan lancar oleh keempat narasumber, diawali
dengan topik Miskonsepsi pada Materi Genetika, dilanjutkan dengan hasil kajian isi dari Materi
Genetik, Pembelahan Sel, dan Pola Pewarisan Sifat pada Hukum Mendel, Pola-pola Hereditas, Pautan
dan Pindah Silang, dan Mutasi, Dampak dan Benefit, serta Hereditas pada Manusia. Peserta menilai
bahwa kegiatan ini penting untuk menggali pengetahuan yang lebih dalam dan lebih luas dalam
memahami konsep pada materi genetika yang sebenarnya.",http://jurnal.untan.ac.id/index.php/JPLP2KM,6.0,published,14-23,1.0,TRUE,ISSN : 2620-4673 (online) ISSN : 2620-4665 (print),Jurnal Pengabdi,http://dx.doi.org/10.26418/jplp2km.v6i1.59262,,,,,,
4,50162,2023-04-11 01:55:04,archive,['QK'],Korespondensi Germplasm diversity of banana (Musa spp.) in the City of Bandar,7,show,other,['FMIPA2'],"[{'id': 'eti.ernawiat@fmipa.unila.ac.id', 'name': {'given': 'Eti', 'lineage': None, 'family': 'Ernawiati', 'honourific': None}}]",disk0_bak/00/05/01/62,1970-01-01 00:00:00.000002023,2023-04-11 01:55:04,463,2023-04-11 01:55:04,unpub,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189863', 'rev_number': 1, 'main': 'korespondensi Germplasm diversity of banana (Musa spp.) in the City of Bandar.pdf', 'docid': 189863, 'files': [{'filesize': 209732, 'datasetid': 'document', 'hash': 'c0c43f138d669dad4a117c542d96097e', 'filename': 'korespondensi Germplasm diversity of banana (Musa spp.) in the City of Bandar.pdf', 'hash_type': 'MD5', 'mtime': '2023-04-11 00:52:26', 'mime_type': 'application/pdf', 'fileid': 542330, 'uri': 'http://repository.lppm.unila.ac.id/id/file/542330', 'objectid': 189863}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 50162, 'security': 'public', 'placement': 1}]",SJAVS,public,http://repository.lppm.unila.ac.id/id/eprint/50162,,,,,,,,,,,,,,,,
5,50163,2023-04-11 01:55:29,archive,['QK'],Korespondensi Karakterisasi Struktur Morfologi dan Viabilitas Polen dari Lima Kultivar Pisang Kepok (Musa paradisiaca L),7,show,other,['FMIPA2'],"[{'name': {'given': 'Eti', 'honourific': None, 'family': 'Ernawiati', 'lineage': None}, 'id': 'eti.ernawiat@fmipa.unila.ac.id'}]",disk0_bak/00/05/01/63,1970-01-01 00:00:00.000002023,2023-04-11 01:55:29,463,2023-04-11 01:55:29,unpub,"[{'main': 'korespondensi Karakterisasi Struktur Morfologi dan Viabilitas Polen dari Lima Kultivar Pisang Kepok (Musa paradisiaca L).pdf', 'docid': 189864, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/542337', 'objectid': 189864, 'hash': '07de1739b120b2fae0a458c7202a1714', 'filename': 'korespondensi Karakterisasi Struktur Morfologi dan Viabilitas Polen dari Lima Kultivar Pisang Kepok (Musa paradisiaca L).pdf', 'hash_type': 'MD5', 'mtime': '2023-04-11 00:54:10', 'mime_type': 'application/pdf', 'fileid': 542337, 'filesize': 533639, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189864', 'eprintid': 50163, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",Jurnal Buletin Kebun Raya,public,http://repository.lppm.unila.ac.id/id/eprint/50163,,,,,,,,,,,,,,,,
6,50156,2023-04-11 00:51:12,archive,['QK'],"Peer Review Germplasm Diversity of Banana (Musa Spp) in The City of Bandar Lampung, Indonesia by Type of Genome and Number of Chromosome",8,show,other,['FMIPA2'],"[{'id': 'eti.ernawiat@fmipa.unila.ac.id', 'name': {'given': 'Eti', 'family': 'Ernawiati', 'honourific': None, 'lineage': None}}]",disk0_bak/00/05/01/56,1970-01-01 00:00:00.000002023,2023-04-11 00:51:12,463,2023-04-11 00:51:12,unpub,"[{'security': 'public', 'placement': 1, 'eprintid': 50156, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 542253, 'filename': 'Peer Review Germplasm Diversity of Banana (Musa Spp) in The City of Bandar Lampung, Indonesia by Type of Genome and Number of Chromosome.pdf', 'hash': 'dc423f9ded8db74b053955f5c16dbb39', 'mtime': '2023-04-11 00:38:18', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 857229, 'objectid': 189857, 'uri': 'http://repository.lppm.unila.ac.id/id/file/542253'}], 'docid': 189857, 'main': 'Peer Review Germplasm Diversity of Banana (Musa Spp) in The City of Bandar Lampung, Indonesia by Type of Genome and Number of Chromosome.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189857', 'rev_number': 1, 'format': 'text', 'pos': 1}]",SJAVS,public,http://repository.lppm.unila.ac.id/id/eprint/50156,,,,,,,,,,,,,,,,
7,50158,2023-04-11 00:51:21,archive,['QK'],Peer Review Karakterisasi Struktur Morfologi dan Viabilitas Polen dari Lima Kultivar Pisang Kepok (Musa paradisiaca L),7,show,other,['FMIPA2'],"[{'id': 'eti.ernawiat@fmipa.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Ernawiati', 'given': 'Eti'}}]",disk0_bak/00/05/01/58,1970-01-01 00:00:00.000002023,2023-04-11 00:51:21,463,2023-04-11 00:51:21,unpub,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189859', 'docid': 189859, 'main': 'Peer Review Karakterisasi Struktur Morfologi dan Viabilitas Polen dari Lima Kultivar Pisang Kepok (Musa paradisiaca L)..pdf', 'files': [{'datasetid': 'document', 'filesize': 876541, 'mime_type': 'application/pdf', 'fileid': 542265, 'hash': 'ceff201e979f2344df9260dc8b378a56', 'filename': 'Peer Review Karakterisasi Struktur Morfologi dan Viabilitas Polen dari Lima Kultivar Pisang Kepok (Musa paradisiaca L)..pdf', 'hash_type': 'MD5', 'mtime': '2023-04-11 00:41:41', 'objectid': 189859, 'uri': 'http://repository.lppm.unila.ac.id/id/file/542265'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 50158, 'placement': 1, 'security': 'public'}]",Jurnal Buletin Kebun Raya,public,http://repository.lppm.unila.ac.id/id/eprint/50158,,,,,,,,,,,,,,,,
8,51254,2023-05-09 03:06:07,archive,['Q1'],Korespondensi The use of cellulolytic Aspergillus sp. inoculum to improve the quality of Pineapple compost,7,show,other,['FMIPA2'],"[{'id': 'bambang.irawan@fmipa.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Irawan', 'given': 'Bambang'}}]",disk0_bak/00/05/12/54,1970-01-01 00:00:00.000002023,2023-05-09 03:06:07,730,2023-05-09 03:06:07,unpub,"[{'security': 'public', 'placement': 1, 'eprintid': 51254, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/550621', 'objectid': 191025, 'hash_type': 'MD5', 'mtime': '2023-05-08 23:18:33', 'hash': '70487c8689ef88762f7501ed65243943', 'filename': 'Correspondence with AIMS Microbiology.pdf', 'fileid': 550621, 'mime_type': 'application/pdf', 'filesize': 649022, 'datasetid': 'document'}], 'main': 'Correspondence with AIMS Microbiology.pdf', 'docid': 191025, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/191025', 'format': 'text', 'pos': 1}]",AIMS Press,public,http://repository.lppm.unila.ac.id/id/eprint/51254,,,,,,,,,,,,,,,,
9,51253,2023-05-09 03:07:02,archive,['Q1'],Similarity Check The use of cellulolytic Aspergillus sp. inoculum to improve the quality of Pineapple compost,7,show,other,['FMIPA2'],"[{'id': 'bambang.irawan@fmipa.unila.ac.id', 'name': {'given': 'Bambang', 'lineage': None, 'honourific': None, 'family': 'Irawan'}}]",disk0_bak/00/05/12/53,1970-01-01 00:00:00.000002023,2023-05-09 03:07:02,730,2023-05-09 03:07:02,unpub,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/191024', 'docid': 191024, 'main': 'SI_Irawan et al_AIMS_10.3934_microbiol.2023003.pdf.pdf', 'files': [{'filesize': 411817, 'datasetid': 'document', 'filename': 'SI_Irawan et al_AIMS_10.3934_microbiol.2023003.pdf.pdf', 'hash': '0edd9a0143e7850200d7ca180d445464', 'mtime': '2023-05-08 23:14:32', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 550614, 'uri': 'http://repository.lppm.unila.ac.id/id/file/550614', 'objectid': 191024}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 51253, 'placement': 1, 'security': 'public'}]",AIMS Press,public,http://repository.lppm.unila.ac.id/id/eprint/51253,,,,,,,,,,,,,,,,
