,uri,full_text_status,refereed,ispublished,publisher,documents,datestamp,userid,lastmod,date,dir,pages,creators,book_title,divisions,type,rev_number,metadata_visibility,title,subjects,status_changed,eprint_status,isbn,date_type,eprintid,volume,official_url,publication,issn,pagerange,number,pres_type,event_type,event_dates,abstract,event_location,event_title,corp_creators,related_url,funders
0,http://repository.lppm.unila.ac.id/id/eprint/23668,public,TRUE,pub,BPHM Universitas Lampung dan Lampost Publishing,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/37299', 'rev_number': 2, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/216115', 'objectid': 37299, 'filename': 'Buku - 50 TIU.pdf', 'hash': 'bb919e1180aced8a6d69bda30faaaced', 'hash_type': 'MD5', 'mtime': '2020-08-18 14:53:10', 'mime_type': 'application/pdf', 'fileid': 216115, 'filesize': 6752365, 'datasetid': 'document'}], 'main': 'Buku - 50 TIU.pdf', 'docid': 37299, 'content': 'published', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 23668}]",2020-08-19 02:42:21,725,2020-08-19 02:42:21,1970-01-01 00:00:00.000002015,disk0/00/02/36/68,0.0,"[{'id': 'admi_syarif@yahoo.com', 'name': {'given': 'AS', 'family': 'Admi Syarif', 'honourific': None, 'lineage': None}}]",50 Tokoh Inspiratif Unila,['FMIPA3'],book_section,8,show,50 Tokoh Inspiratif Unila,['AS'],2020-08-19 02:42:21,archive,978-602-14841-3-5,published,23668,,,,,,,,,,,,,,,
1,http://repository.lppm.unila.ac.id/id/eprint/23669,public,TRUE,pub,Graha Ilmu,"[{'files': [{'objectid': 37300, 'uri': 'http://repository.lppm.unila.ac.id/id/file/216123', 'fileid': 216123, 'mime_type': 'application/pdf', 'mtime': '2020-08-18 15:00:02', 'hash_type': 'MD5', 'hash': '33664a8cd552867ba610c907f5b791df', 'filename': 'Buku - Kamus Lampung.pdf', 'datasetid': 'document', 'filesize': 4875857}], 'docid': 37300, 'main': 'Buku - Kamus Lampung.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/37300', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 23669, 'mime_type': 'application/pdf', 'language': 'en'}]",2020-08-19 02:42:31,725,2020-08-19 02:42:31,1970-01-01 00:00:00.000002015,disk0/00/02/36/69,,"[{'id': 'admi_syarif@yahoo.com', 'name': {'lineage': None, 'family': 'Admi Syarif', 'honourific': None, 'given': 'AS'}}]",Kamus Lengkap Indonesia-Lampung Lampung-Indonesia,['FMIPA3'],book_section,7,show,Kamus Lengkap Indonesia-Lampung Lampung-Indonesia,['AS'],2020-08-19 02:42:31,archive,978-602-262-516-2,,23669,2.0,,,,,,,,,,,,,,
2,http://repository.lppm.unila.ac.id/id/eprint/23671,public,TRUE,pub,PT. PROFAJAR,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 23671, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37302', 'rev_number': 1, 'docid': 37302, 'main': 'Buku - 50 Thn Unila.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/216138', 'objectid': 37302, 'filesize': 9922694, 'datasetid': 'document', 'mtime': '2020-08-18 15:11:04', 'hash_type': 'MD5', 'filename': 'Buku - 50 Thn Unila.pdf', 'hash': '3b83934766ac661802eb8a1f15e8d7a3', 'fileid': 216138, 'mime_type': 'application/pdf'}]}]",2020-08-19 02:42:51,725,2020-08-19 02:42:51,1970-01-01 00:00:00.000002015,disk0/00/02/36/71,,"[{'id': 'admi_syarif@yahoo.com', 'name': {'given': 'AS', 'lineage': None, 'family': 'Admi Syarif', 'honourific': None}}, {'name': {'given': 'Arif', 'lineage': None, 'honourific': None, 'family': 'Suparman'}, 'id': 'suparman.arif@fkip.unila.ac.id'}, {'name': {'given': 'Maskun', 'lineage': None, 'honourific': None, 'family': 'Maskun'}, 'id': 'maskun.1959@fkip.unila.ac.id'}, {'id': None, 'name': {'given': 'Syahperi', 'family': 'Mardi', 'honourific': None, 'lineage': None}}, {'id': 'sutiknolampung@yahoo.com', 'name': {'given': 'Sutikno', 'lineage': None, 'honourific': None, 'family': 'Sutikno'}}, {'name': {'honourific': None, 'family': 'Ginting', 'lineage': None, 'given': 'Cipta'}, 'id': 'cipta.ginting@fp.unila.ac.id'}, {'id': None, 'name': {'given': 'Buhani', 'lineage': None, 'honourific': None, 'family': 'Buhani'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Aryani', 'given': 'Farida'}, 'id': None}, {'id': None, 'name': {'honourific': None, 'family': 'Nurdin', 'lineage': None, 'given': 'Bertoven Vivit'}}, {'id': 'elida.purba@eng.unila.ac.id', 'name': {'given': 'Elida', 'honourific': None, 'family': 'Purba', 'lineage': None}}, {'id': None, 'name': {'honourific': None, 'family': 'Djimat', 'lineage': None, 'given': 'Habibullah'}}]",50 Tahun Universitas Lampung Membangun Negeri,['FMIPA3'],book_section,9,show,50 Tahun Universitas Lampung Membangun Negeri,['AS'],2020-08-19 02:42:51,archive,978-602-0860-01-5,published,23671,,,,,,,,,,,,,,,
3,http://repository.lppm.unila.ac.id/id/eprint/16211,public,TRUE,pub,Jurusan Ilmu Komputer Universitas Lampung,"[{'placement': 1, 'security': 'public', 'eprintid': 16211, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 29314, 'uri': 'http://repository.lppm.unila.ac.id/id/file/138682', 'datasetid': 'document', 'filesize': 662016, 'fileid': 138682, 'mime_type': 'application/pdf', 'mtime': '2019-11-13 02:44:59', 'hash_type': 'MD5', 'filename': '1128-2681-3-PB.pdf', 'hash': 'c03860f5dbd8d55ff042545a82ae2234'}], 'main': '1128-2681-3-PB.pdf', 'docid': 29314, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29314', 'pos': 1, 'format': 'text'}]",2019-11-14 10:14:52,215,2019-11-14 10:14:52,2015-10-01 00:00:00.000000000,disk0/00/01/62/11,,"[{'name': {'given': 'Aristoteles', 'lineage': None, 'honourific': None, 'family': 'Aristoteles'}}, {'name': {'given': 'Wardiyanto', 'family': 'Wardiyanto', 'honourific': None, 'lineage': None}}]",,['FMIPA3'],article,7,show,Sistem Pakar Diagnosa Penyakit Ikan Budidaya Air Tawar dengan Metode Forward Chaining,['QA76'],2019-11-14 10:14:52,archive,,published,16211,3.0,http://jurnal.fmipa.unila.ac.id/komputasi/article/view/1128/935,Jurnal Komputasi,2541-0350,99-108,2.0,,,,,,,,,
4,http://repository.lppm.unila.ac.id/id/eprint/505,public,FALSE,pub,,"[{'security': 'public', 'placement': 1, 'eprintid': 505, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 428, 'uri': 'http://repository.lppm.unila.ac.id/id/file/2710', 'datasetid': 'document', 'filesize': 710754, 'fileid': 2710, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2016-08-31 07:08:49', 'filename': '43 Febi Eka.pdf', 'hash': '050f7bce3d6e333c99bf7c7d8030ee7f'}], 'docid': 428, 'main': '43 Febi Eka.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/428', 'format': 'text', 'pos': 1}]",2016-09-01 01:21:25,191,2016-09-01 01:21:25,2015-11-03 00:00:00.000000000,disk0/00/00/05/05,,"[{'name': {'given': 'Febi Eka', 'honourific': None, 'family': 'Febriansyah', 'lineage': None}, 'id': 'febi.febriansyah@fmipa.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Hijriani', 'lineage': None, 'given': 'Astria'}, 'id': None}]",,['FMIPA3'],conference_item,13,show,"Pembuatan Pohon Berbobot Untuk Pencarian Semantik
 Menggunakan Algoritma Weighted Tree Similarity Pada
 Penilaian Dokumen Rencana Perkuliahan
 (SAP, GBPP/Silabus Dan Kontrak Kuliah)",['QA75'],2016-09-01 01:21:25,archive,,published,505,,,,,,,paper,conference,3 November 2015,"In order to speed up the examination process of the lecture plan documents (GBPP, SAP and Contracts Lecture), needed an application that is able to match the format of writing the document. Semantic search method with metadata, one of which is weighted tree similarity, it is very suitable to be applied in this application. This study focused on the
establishment of weighing tree of weighted tree similarity algorithm for searching and matching documents lecture plan that matches the format of the assessment standards PPMU. Matching only aimed at the main key words, such as GBPP, SAP, Course, Department, Course Descriptions, Competence, etc. A comparison is made with tree branches without a label, only the value of the weight on the branch. The amount of weight on each branch is divided equally by the number of branches, its value between 0 to 1.

Keywords: Contracts Lecture, GBPP, SAP, Semantik Search, Weighted Tree Similarity.


Guna mempercepat proses pemeriksaan dokumen rencana perkuliahan (GBPP, SAP dan Kontrak Kuliah), dibutuhkan sebuah aplikasi yang mampu mencocokan format penulisan dokumen tersebut. Metode pencarian semantik dengan metadata, salah satunya adalah weighted tree similarity, sangat cocok diterapkan pada aplikasi ini. Penelitian ini dipusatkan pada pembentukan pohon (tree) berbobot dari algoritma weighted tree similarity untuk pencarian dan pencocokan dokumen rencana perkuliahan yang sesuai dengan format standar penilaian dari PPMU. Pencocokan hanya ditujukan pada kata-kata kunci utama, seperti GBPP, SAP, Matakuliah, Jurusan, Deskripsi Matakuliah, Kompetensi Dasar, dsb. Pohon pembanding dibuat dengan cabang tanpa label, hanya ada nilai bobot pada cabang. Besarnya nilai bobot pada tiap cabang dibagi sama rata berdasarkan jumlah cabang, nilainya antara 0 (nol) sampai dengan 1 (satu).

Kata kunci: GBPP, Kontrak Kuliah, Pencarian Semantik, SAP, Weighted Tree Similarity.",Bandar Lampung,Seminar Nasional Sains & Teknologi VI,,,
5,http://repository.lppm.unila.ac.id/id/eprint/28061,public,TRUE,pub,Scientific Research,"[{'files': [{'hash_type': 'MD5', 'mtime': '2021-02-23 08:32:05', 'filename': 'ARS_2015013015390138.pdf', 'hash': '35c4fb19926bd5bd81a7aebca6a63516', 'fileid': 249907, 'mime_type': 'application/pdf', 'filesize': 6620866, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/249907', 'objectid': 42117}], 'docid': 42117, 'main': 'ARS_2015013015390138.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42117', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 28061, 'language': 'en', 'mime_type': 'application/pdf'}]",2021-02-24 05:04:44,99,2021-02-24 05:04:44,1970-01-01 00:00:00.000002015,disk0/00/02/80/61,,"[{'name': {'given': 'Sergey', 'family': 'Gavrilov', 'honourific': None, 'lineage': None}, 'id': None}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Kubo', 'given': 'Mamoru'}}, {'id': None, 'name': {'honourific': None, 'family': 'Tran', 'lineage': None, 'given': 'Vu Anh'}}, {'id': None, 'name': {'given': 'Duc Luu', 'lineage': None, 'honourific': None, 'family': 'Ngo'}}, {'name': {'lineage': None, 'family': 'Nguyen', 'honourific': None, 'given': 'Ngoc G'}, 'id': None}, {'id': None, 'name': {'given': 'Lan Anh T.', 'lineage': None, 'family': 'Nguyen', 'honourific': None}}, {'name': {'given': 'Favorisen R', 'honourific': None, 'family': 'Lumbanraja', 'lineage': None}, 'id': 'favorisen.lumbanraja@fmipa.unila.ac.id'}, {'id': None, 'name': {'given': 'Dau', 'honourific': None, 'family': 'Phan', 'lineage': None}}, {'id': None, 'name': {'given': 'Kenji', 'honourific': None, 'family': 'Satou', 'lineage': None}}]",,['FMIPA3'],article,8,show,Feature Analysis and Classification of Particle Data from Two-DimensionalVideo Disdrometer,['QA75'],2021-02-24 05:04:44,archive,,,28061,4.0,https://www.scirp.org/journal/ars/,Advances in Remote Sensing,2169-2688,1-14,1.0,,,,"We developed a ground observation system for solid precipitation using two-dimensional video disdrometer (2DVD). Among 16,010 particles observed by the system, around 10% of them were randomly sampled and manually classified into five classes which are snowflake, snowflake-like, intermediate, graupel-like, and graupel. At first, each particle was represented as a vector of 72
features containing fractal dimension and box-count to represent the complexity of particle shape. Feature analysis on the dataset clarified the importance of fractal dimension and box-count features for characterizing particles varying from snowflakes to graupels. On the other hand, performance evaluation of two-class classification by Support Vector Machine (SVM) was conducted. The experimental results revealed that, by selecting only 10 features out of 72, the average accuracy of classifying particles into snowflakes and graupels could reach around 95.4%, which had not been achieved by previous studies.",,,,,
6,http://repository.lppm.unila.ac.id/id/eprint/37963,public,TRUE,pub,Jurusan Ilmu Komputer Universitas Lampung,"[{'eprintid': 37963, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'docid': 158903, 'main': '520-2631-4-PB.pdf', 'files': [{'fileid': 431821, 'mime_type': 'application/pdf', 'mtime': '2022-01-17 16:13:24', 'hash_type': 'MD5', 'filename': '520-2631-4-PB.pdf', 'hash': '4f9cafeebc14fe57968ad272ff323d3d', 'datasetid': 'document', 'filesize': 480391, 'objectid': 158903, 'uri': 'http://repository.lppm.unila.ac.id/id/file/431821'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158903', 'rev_number': 1}]",2022-01-18 01:37:40,752,2022-01-18 01:37:40,2015-04-30 00:00:00.000000000,disk0/00/03/79/63,,"[{'id': 'dian.kurniasari@fmipa.unila.ac.id', 'name': {'given': 'Dian', 'honourific': None, 'family': 'Kurniasari', 'lineage': None}}, {'id': 'kurnia.muludi@fmipa.unila.ac.id', 'name': {'lineage': None, 'family': 'Muludi', 'honourific': None, 'given': 'Kurnia'}}]",,['FMIPA3'],article,6,show,Development Of Information Dissemination System Through Sms Gateway For Community Service (Lpm) Of University Of Lampung,['Q1'],2022-01-18 01:37:40,archive,,published,37963,3.0,https://jurnal.fmipa.unila.ac.id/komputasi/issue/view/52,Jurnal Komputasi,2541-0350,17-25,1.0,,,,"Community service programs is one of the three core services (Tri Darma) which is coordinated by LPM of the 
University of Lampung. Since there are large number of lectures who follow LPM Program, it is needed to have 
a special strategy for providing a means of dissemination of information to them. One of the technologies that 
are very popular among cell phone users is SMS (Short Message Service). The natures of SMS are practical, 
economical, and efficient to deliver information. SMS is a technology that is used by many people. It is also 
relatively cheap for message delivery. In this research, Information dissemination system with SMS Gateway is 
implemented using Gammu and is combined with PHP programming language and MySQL database. The 
results of the implementation of the system is helpful and easy for lectureres to obtain information about the 
program of community service where they are joined to.",,,"['Universitas Lampung', 'Universitas Lampung']",,
7,http://repository.lppm.unila.ac.id/id/eprint/16220,public,TRUE,pub,Jurusan Ilmu Komputer Universitas Lampung,"[{'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29328', 'format': 'text', 'pos': 1, 'files': [{'mime_type': 'application/pdf', 'fileid': 138752, 'hash': 'd73046f50a8c27feab65d34e32f05113', 'filename': '1143-2683-3-PB.pdf', 'hash_type': 'MD5', 'mtime': '2019-11-13 03:23:45', 'datasetid': 'document', 'filesize': 593042, 'objectid': 29328, 'uri': 'http://repository.lppm.unila.ac.id/id/file/138752'}], 'main': '1143-2683-3-PB.pdf', 'docid': 29328, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 16220}]",2019-11-14 10:18:14,215,2019-11-14 10:18:14,2015-10-01 00:00:00.000000000,disk0/00/01/62/20,,"[{'name': {'family': 'Kurniawan', 'honourific': None, 'lineage': None, 'given': 'Didik'}, 'id': 'didikunila@gmail.com'}, {'name': {'given': 'Aristoteles', 'lineage': None, 'family': 'Aristoteles', 'honourific': None}, 'id': None}]",,['FMIPA3'],article,7,show,Pengembangan Aplikasi Sistem Pembelajaran Klasifikasi (Taksonomi) dan Tata Nama Ilmiah (Binomial Nomenklatur) pada Kingdom Plantae (Tumbuhan) Berbasis Android,['QA76'],2019-11-14 10:18:14,archive,,published,16220,3.0,http://jurnal.fmipa.unila.ac.id/komputasi/article/view/1143/937,Jurnal Komputasi,2541-0350,,2.0,,,,,,,,,
8,http://repository.lppm.unila.ac.id/id/eprint/29,public,TRUE,pub,,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/49', 'main': '45 Kurnia Muludi.pdf', 'docid': 49, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/187', 'objectid': 49, 'hash_type': 'MD5', 'mtime': '2016-06-30 02:35:36', 'filename': '45 Kurnia Muludi.pdf', 'hash': '018f505e6fd1980ff49b9e39748cbb67', 'fileid': 187, 'mime_type': 'application/pdf', 'filesize': 501439, 'datasetid': 'document'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 29, 'security': 'public', 'placement': 1}]",2016-06-30 02:38:20,1,2016-06-30 02:38:20,2015-11-01 00:00:00.000000000,disk0/00/00/00/29,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Muludi', 'given': 'Kurnia'}, 'id': 'kurnia.muludi@fmipa.unila.ac.id'}]",,['FMIPA3'],conference_item,7,show,"IMPLEMENTASI FRAMEWORK MODEL-VIEW-CONTROLLER
PADA SISTEM INFORMASI AKADEMIK UNIVERSITAS LAMPUNG",['AC'],2016-06-30 02:38:20,archive,,published,29,,http://satek.unila.ac.id,,,528-536,,paper,conference,3 November 2015,"Information System characteristics should be able to handle mass transaction, could
present real time data and provide interactive experince to its user. This paper would
discuss Model-View-Controller framework implementation on Academic Information
System of The University of Lampung. Result showed Model-View-Controller
architecture could seperate data core processing and it functionality, consistency among
views,  fleksible interface in relation to the views and could present the information in
many forms.

Keywords: Academic Information System, Model-View-Controller, Web Framework.",Bandar Lampung,Seminar Nasional Sains & Teknologi VI,,,
9,http://repository.lppm.unila.ac.id/id/eprint/5947,public,TRUE,pub,,"[{'format': 'archive', 'pos': 1, 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18863', 'docid': 18863, 'main': 'index.php_action=pages_view_main&active_action=repository_action_common_download&item_id=11119&item_no=1&attribute_id=26&file_no=1&page_id=13&block_id=21', 'files': [{'objectid': 18863, 'uri': 'http://repository.lppm.unila.ac.id/id/file/55178', 'fileid': 55178, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2017-11-18 02:07:35', 'hash': 'c79a6e393d544f50e2d1f4a71482896c', 'filename': 'index.php_action=pages_view_main&active_action=repository_action_common_download&item_id=11119&item_no=1&attribute_id=26&file_no=1&page_id=13&block_id=21', 'datasetid': 'document', 'filesize': 3780825}], 'language': 'en', 'mime_type': 'application/pdf', 'content': 'published', 'eprintid': 5947, 'security': 'public', 'placement': 1}]",2018-03-21 02:15:31,139,2018-03-21 02:15:31,2015-01-01 00:00:00.000000000,disk0/00/00/59/47,,"[{'name': {'given': 'Tristiyanto', 'family': 'Tristiyanto', 'honourific': None, 'lineage': None}, 'id': 'tristiyanto.1981@fmipa.unila.ac.id'}]",,['FMIPA3'],article,9,show,Bankruptcy Prediction on Margin Trading and Applications,['QA75'],2018-03-21 02:15:31,archive,,,5947,59.0,http://hdl.handle.net/2297/44681,The science reports of the Kanazawa University = 金沢大学理科報告,,1-26,,,,,"Although bankruptcy and default are well known as critical factors leading to various financial recessions or financial bubbles, such as the Great Depression in the USA that began in 1929 and the Lost Decade of Japan in the 1990s, predicting when they will occur has not been studied sufficiently. In this paper, we propose a method that filters out risky investors and keeps good investors in a margin-trading simulation. Investors are divided into three classes (bankrupt, surviving and profitable) instead of the standard two (bankrupt/bad and surviving/good). As a result, bubble bursting can be thwarted, since maintaining credit absorption for the qualified investors can prevent the collapse of prices. We expose the problems with using the minimum margin as the de facto tool for controlling trading on the margin. We compare the results of four well-known data classification methods (multiple discriminant analysis, neural networks, decision trees and support vector machines) in order to determine the one that is most suitable for building a credit-scoring schema. Of the methods considered, the C4.5 algorithm for building decision trees was found to be the best. Our proposed strategy can successfully use credit scoring to tame the bubble phenomenon.",,,,[{'url': 'https://kanazawa-u.repo.nii.ac.jp/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=11119&item_no=1&page_id=13&block_id=21'}],['Dikti']
