,eprintid,date_type,title,metadata_visibility,place_of_pub,rev_number,status_changed,eprint_status,subjects,creators,id_number,date,dir,type,divisions,publisher,documents,ispublished,full_text_status,uri,lastmod,userid,datestamp,pages,monograph_type,publication,issn,refereed,number,pagerange,volume,official_url,corp_creators,abstract,contact_email,referencetext,related_url,event_type,event_title,pres_type,funders
0,28320,published,Peer Review : BUNGA RAMPAI - Pemikiran Angota Dewan Riset Dewan Riset Daerah (DRD) Provinsi Lampung,show,Bandar Lampung,9,2021-04-01 01:45:24,archive,['AC'],"[{'id': 'admi_syarif@yahoo.com', 'name': {'honourific': None, 'family': 'Admi Syarif', 'lineage': None, 'given': 'AS'}}, {'id': 'Ofyar@trans.si.itb.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Tamin', 'given': 'Ofyar Z'}}, {'name': {'lineage': None, 'family': 'Persada', 'honourific': None, 'given': 'Citra'}, 'id': 'citra.persada@eng.unila.ac.id'}, {'name': {'given': 'Hamim', 'lineage': None, 'honourific': None, 'family': 'Sudarsono'}, 'id': 'hamim.sudarsono@fp.unila.ac.id'}, {'id': None, 'name': {'given': 'Erwanto', 'lineage': None, 'honourific': None, 'family': 'Erwanto'}}, {'id': 'udinha65@gmail.com', 'name': {'given': 'Udin', 'family': 'Hasanudin', 'honourific': None, 'lineage': None}}, {'id': 'bartovenvivit@gmail.com', 'name': {'given': 'Bartoven Vivit', 'lineage': None, 'family': 'Nurdin', 'honourific': None}}, {'name': {'family': 'Hasyimkan', 'honourific': None, 'lineage': None, 'given': 'Hasyimkan'}, 'id': 'hasyimkan@gmail.com'}, {'id': 'desfiandi@hotmail.com', 'name': {'given': 'Andi', 'honourific': None, 'family': 'Desfiandi', 'lineage': None}}, {'id': None, 'name': {'family': 'Nurhasanah', 'honourific': None, 'lineage': None, 'given': 'Any'}}, {'name': {'honourific': None, 'family': 'Nisa', 'lineage': None, 'given': 'Khairun'}, 'id': None}, {'name': {'given': 'M Yusuf S', 'family': 'Barusman', 'honourific': None, 'lineage': None}, 'id': 'yusuf.barusman@ubl.ac.id'}, {'name': {'honourific': None, 'family': 'Utomo', 'lineage': None, 'given': 'Setyo Agung'}, 'id': None}, {'name': {'given': 'Saiful', 'honourific': None, 'family': 'Hikam', 'lineage': None}, 'id': 's_hikam@yahoo.com'}, {'name': {'lineage': None, 'family': 'Al Rasyid', 'honourific': None, 'given': 'Harun'}, 'id': 'harun.alrasyid@fp.unila.ac.id'}, {'id': 'bujang.rahman@fkip.unila.ac.id', 'name': {'given': 'Bujang', 'lineage': None, 'honourific': None, 'family': 'Rahman'}}]",ISBN: 978-602-6739-39-1,1970-01-01 00:00:00.000002017,disk0/00/02/83/20,other,['FMIPA3'],AURA Publishing,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42874', 'format': 'text', 'pos': 1, 'files': [{'fileid': 255495, 'mime_type': 'application/pdf', 'mtime': '2021-03-31 19:30:58', 'hash_type': 'MD5', 'hash': 'dda830bec696c53de4b1460dae1dcc61', 'filename': '3. rampai17_nilai.pdf', 'datasetid': 'document', 'filesize': 2295194, 'objectid': 42874, 'uri': 'http://repository.lppm.unila.ac.id/id/file/255495'}], 'main': '3. rampai17_nilai.pdf', 'docid': 42874, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 28320}]",pub,public,http://repository.lppm.unila.ac.id/id/eprint/28320,2021-04-01 01:45:24,725,2021-04-01 01:45:24,,,,,,,,,,,,,,,,,,
1,24455,published,BUNGA RAMPAI - Pemikiran Angota Dewan Riset Dewan Riset  Daerah (DRD) Provinsi Lampung,show,,11,2020-11-02 04:20:07,archive,['AC'],"[{'name': {'lineage': None, 'honourific': None, 'family': 'Admi Syarif', 'given': 'AS'}, 'id': 'admi_syarif@yahoo.com'}, {'id': None, 'name': {'given': 'Ofyar Z', 'family': 'Tamin', 'honourific': None, 'lineage': None}}, {'id': 'citra.persada@eng.unila.ac.id', 'name': {'lineage': None, 'family': 'Persada', 'honourific': None, 'given': 'Citra'}}, {'id': 'hamim.sudarsono@fp.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Sudarsono', 'given': 'Hamim'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Erwanto', 'given': 'Erwanto'}, 'id': None}, {'name': {'given': 'Udin', 'lineage': None, 'family': 'Hasanudin', 'honourific': None}, 'id': 'udinha65@gmail.com'}, {'name': {'honourific': None, 'family': 'Nurdin', 'lineage': None, 'given': 'Bartoven Vivit'}, 'id': 'bartovenvivit@gmail.com'}, {'id': 'hasyimkan@gmail.com', 'name': {'lineage': None, 'family': 'Hasyimkan', 'honourific': None, 'given': 'Hasyimkan'}}, {'name': {'given': 'Andi', 'lineage': None, 'honourific': None, 'family': 'Desfiandi'}, 'id': 'desfiandi@hotmail.com'}, {'name': {'given': 'Any', 'lineage': None, 'family': 'Nurhasanah', 'honourific': None}, 'id': None}, {'name': {'family': 'Nisa', 'honourific': None, 'lineage': None, 'given': 'Khairun'}, 'id': None}, {'name': {'family': 'Yusuf', 'honourific': None, 'lineage': None, 'given': 'M'}, 'id': None}, {'id': 'yusuf.barusman@ubl.ac.id', 'name': {'lineage': None, 'family': 'Barusman', 'honourific': None, 'given': 'M Yusuf S'}}, {'name': {'given': 'Setyo Agung', 'lineage': None, 'honourific': None, 'family': 'Utomo'}, 'id': None}, {'id': 's_hikam@yahoo.com', 'name': {'given': 'Saiful', 'family': 'Hikam', 'honourific': None, 'lineage': None}}, {'name': {'family': 'Al Rasyid', 'honourific': None, 'lineage': None, 'given': 'Harun'}, 'id': 'harun.alrasyid@fp.unila.ac.id'}, {'id': 'bujang.suropati@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Rahman', 'given': 'Bujang'}}]",978-602-6739-39-1,2017-10-01 00:00:00.000000000,disk0/00/02/44/55,monograph,['FMIPA3'],AURA Publishing,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 24455, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38190', 'rev_number': 1, 'main': 'Buku - Bunga Rampai.pdf', 'docid': 38190, 'files': [{'objectid': 38190, 'uri': 'http://repository.lppm.unila.ac.id/id/file/222344', 'datasetid': 'document', 'filesize': 13000280, 'fileid': 222344, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-11-02 01:19:46', 'hash': 'e2cae1a3c77a727d2fc2c81f029ab3f8', 'filename': 'Buku - Bunga Rampai.pdf'}]}]",pub,public,http://repository.lppm.unila.ac.id/id/eprint/24455,2020-11-02 04:20:07,725,2020-11-02 04:20:07,0.0,other,,,,,,,,,,,,,,,,
2,37417,published,Peer Review : BUNGA RAMPAI - Pemikiran Angota Dewan Riset Dewan Riset Daerah (DRD) Provinsi Lampung,show,,12,2021-12-24 09:27:37,archive,['AC'],"[{'name': {'given': 'AS', 'family': 'Admi Syarif', 'honourific': None, 'lineage': None}, 'id': 'admi_syarif@yahoo.com'}, {'name': {'lineage': None, 'family': 'Tamin', 'honourific': None, 'given': 'Ofyar Z'}, 'id': 'Ofyar@trans.si.itb.ac.id'}, {'id': 'citra.persada@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Persada', 'lineage': None, 'given': 'Citra'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Sudarsono', 'given': 'Hamim'}, 'id': 'hamim.sudarsono@fp.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Erwanto', 'lineage': None, 'given': 'Erwanto'}, 'id': 'erwanto61@gmail.com'}, {'name': {'given': 'Udin', 'lineage': None, 'family': 'Hasanudin', 'honourific': None}, 'id': 'udinha65@gmail.com'}, {'id': 'bartovenvivit@gmail.com', 'name': {'given': 'Bartoven Vivit', 'lineage': None, 'family': 'Nurdin', 'honourific': None}}, {'id': 'hasyimkan@gmail.com', 'name': {'honourific': None, 'family': 'Hasyimkan', 'lineage': None, 'given': 'Hasyimkan'}}, {'name': {'honourific': None, 'family': 'Desfiandi', 'lineage': None, 'given': 'Andi'}, 'id': 'desfiandi@hotmail.com'}, {'name': {'family': 'Nurhasanah', 'honourific': None, 'lineage': None, 'given': 'Any'}, 'id': None}, {'id': 'khoirin.nisa@fmipa.unila.ac.id', 'name': {'family': 'Nisa', 'honourific': None, 'lineage': None, 'given': 'Khoirin'}}, {'name': {'family': 'Barusman', 'honourific': None, 'lineage': None, 'given': 'M Yusuf S'}, 'id': 'yusuf.barusman@ubl.ac.id'}, {'id': None, 'name': {'lineage': None, 'family': 'Utomo', 'honourific': None, 'given': 'Setyo Agung'}}, {'id': 's_hikam@yahoo.com', 'name': {'lineage': None, 'family': 'Hikam', 'honourific': None, 'given': 'Saiful'}}, {'name': {'family': 'Al Rasyid', 'honourific': None, 'lineage': None, 'given': 'Harun'}, 'id': 'harun.alrasyid@fp.unila.ac.id'}, {'name': {'given': 'Bujang', 'honourific': None, 'family': 'Rahman', 'lineage': None}, 'id': 'bujang.suropati@gmail.com'}]",,1970-01-01 00:00:00.000002017,disk0/00/03/74/17,other,['FMIPA3'],AURA Publishing,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 37417, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158339', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'objectid': 158339, 'uri': 'http://repository.lppm.unila.ac.id/id/file/427757', 'fileid': 427757, 'mime_type': 'application/pdf', 'mtime': '2021-12-24 07:59:44', 'hash_type': 'MD5', 'filename': '(new)rampai17_nilai.pdf', 'hash': '4ef126600582b37feec58343b6a8b97b', 'datasetid': 'document', 'filesize': 2291435}], 'main': '(new)rampai17_nilai.pdf', 'docid': 158339}]",pub,public,http://repository.lppm.unila.ac.id/id/eprint/37417,2021-12-24 09:27:37,725,2021-12-24 09:27:37,,,,,,,,,,,,,,,,,,
3,16203,published,"Analisis Pengelompokan Mahasiswa KKN Berdasarkan Kriteria Jenis Kelamin, Fakultas dan Sekolah",show,,6,2019-11-14 10:14:32,archive,['QA76'],"[{'name': {'lineage': None, 'honourific': None, 'family': 'Aristoteles', 'given': 'Aristoteles'}}]",,2017-04-01 00:00:00.000000000,disk0/00/01/62/03,article,['FMIPA3'],Jurusan Ilmu Komputer Universitas Lampung,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 16203, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29309', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/138638', 'objectid': 29309, 'filesize': 329618, 'datasetid': 'document', 'hash': '2b094201e3eecee8753325806f48755e', 'filename': '1410-3414-1-PB.pdf', 'mtime': '2019-11-13 02:28:14', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 138638}], 'main': '1410-3414-1-PB.pdf', 'docid': 29309}]",pub,public,http://repository.lppm.unila.ac.id/id/eprint/16203,2019-11-14 10:14:32,215,2019-11-14 10:14:32,,,Jurnal Komputasi,2541-0350,TRUE,1.0,1-7,5.0,http://jurnal.fmipa.unila.ac.id/komputasi/article/view/1410/1219,,,,,,,,,
4,16207,published,Pengembangan Sistem Pelaporan Kegiatan KKN Berbasis Android,show,,7,2019-11-13 08:51:47,archive,['QA76'],"[{'name': {'lineage': None, 'family': 'Aristoteles', 'honourific': None, 'given': 'Aristoteles'}}]",,2017-04-01 00:00:00.000000000,disk0/00/01/62/07,article,['FMIPA3'],Jurusan Ilmu Komputer Universitas Lampung,"[{'placement': 1, 'security': 'public', 'eprintid': 16207, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'filesize': 596531, 'datasetid': 'document', 'filename': '1402-3417-1-PB.pdf', 'hash': '5acddcb2ce2e91badcf02d19b558b74c', 'mtime': '2019-11-13 02:32:27', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 138654, 'uri': 'http://repository.lppm.unila.ac.id/id/file/138654', 'objectid': 29310}], 'docid': 29310, 'main': '1402-3417-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/29310', 'rev_number': 2, 'pos': 1, 'format': 'text'}]",pub,public,http://repository.lppm.unila.ac.id/id/eprint/16207,2019-11-13 08:51:47,215,2019-11-13 08:51:47,,,Jurnal Komputasi,2541-0350,TRUE,1.0,8-16,5.0,http://jurnal.fmipa.unila.ac.id/komputasi/article/view/1402/1220,,,,,,,,,
5,16020,published,Aplikasi Informasi Dokter Spesialis di Bandar Lampung Berbasis Android dengan Menggunakan Teknologi Location Base Service,show,,7,2019-11-08 10:28:04,archive,['QA76'],"[{'id': None, 'name': {'given': 'Aristoteles', 'family': 'Aristoteles', 'honourific': None, 'lineage': None}}, {'id': 'astria.hijriani@gmail.com', 'name': {'given': 'Astria', 'lineage': None, 'honourific': None, 'family': 'Hijriani'}}]",,2017-10-01 00:00:00.000000000,disk0/00/01/60/20,article,['FMIPA3'],Jurusan Ilmu Komputer Universitas Lampung,"[{'main': '1539-3777-1-PB.pdf', 'docid': 29119, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/137315', 'objectid': 29119, 'filesize': 497628, 'datasetid': 'document', 'hash': '896e0361dba1ff7a8acb9d8fec83be61', 'filename': '1539-3777-1-PB.pdf', 'hash_type': 'MD5', 'mtime': '2019-11-08 09:54:29', 'mime_type': 'application/pdf', 'fileid': 137315}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/29119', 'rev_number': 2, 'eprintid': 16020, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",pub,public,http://repository.lppm.unila.ac.id/id/eprint/16020,2019-11-08 10:28:04,215,2019-11-08 10:28:04,,,Jurnal Komputasi,2541-0350,TRUE,2.0,55-63,5.0,http://jurnal.fmipa.unila.ac.id/komputasi/article/view/1539/1307,,,,,,,,,
6,6227,published,Expert System of Chili Plant Disease Diagnosis using Forward Chaining Method on Android,show,,20,2018-03-21 02:16:27,archive,['QA75'],"[{'id': 'aristoteles.1981@fmipa.unila.ac.id', 'name': {'given': 'Aristoteles', 'lineage': None, 'honourific': None, 'family': 'Aristoteles'}}, {'id': None, 'name': {'given': 'MF', 'family': 'Mita Fuljana', 'honourific': None, 'lineage': None}}, {'name': {'given': 'JP', 'family': 'Joko Prasetyo', 'honourific': None, 'lineage': None}, 'id': None}, {'name': {'lineage': None, 'family': 'Kurnia Muludi', 'honourific': None, 'given': 'KM'}, 'id': 'kmuludi@yahoo.com'}]",10.14569/issn.2156-5570,2017-12-01 00:00:00.000000000,disk0/00/00/62/27,article,['FMIPA3'],The Science and Information (SAI) Organization,"[{'eprintid': 6227, 'placement': 2, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'content': 'published', 'docid': 19164, 'main': 'Paper_21-Expert_System_of_Chili_Plant_Disease_Diagnosis.pdf', 'files': [{'fileid': 57111, 'mime_type': 'application/pdf', 'mtime': '2017-12-13 04:39:26', 'hash_type': 'MD5', 'hash': 'dd8dfbc3f979b20449bcb3d5a301a437', 'filename': 'Paper_21-Expert_System_of_Chili_Plant_Disease_Diagnosis.pdf', 'datasetid': 'document', 'filesize': 853922, 'objectid': 19164, 'uri': 'http://repository.lppm.unila.ac.id/id/file/57111'}], 'pos': 2, 'format': 'text', 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19164', 'formatdesc': 'Expert System of Chili Plant Disease Diagnosis using Forward Chaining Method on Android'}, {'files': [{'objectid': 19166, 'uri': 'http://repository.lppm.unila.ac.id/id/file/57121', 'datasetid': 'document', 'filesize': 853922, 'fileid': 57121, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2017-12-13 05:00:04', 'hash': 'dd8dfbc3f979b20449bcb3d5a301a437', 'filename': 'Paper_21-Expert_System_of_Chili_Plant_Disease_Diagnosis.pdf'}], 'main': 'Paper_21-Expert_System_of_Chili_Plant_Disease_Diagnosis.pdf', 'docid': 19166, 'formatdesc': 'Expert System of Chili Plant Disease Diagnosis using Forward Chaining Method on Android', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19166', 'rev_number': 4, 'format': 'text', 'pos': 3, 'security': 'public', 'placement': 3, 'eprintid': 6227, 'content': 'published', 'mime_type': 'application/pdf', 'language': 'en'}]",pub,public,http://repository.lppm.unila.ac.id/id/eprint/6227,2018-03-21 02:16:27,215,2018-03-21 02:16:27,,,International Journal of Advanced Computer Science and Applications,"2156-5570 (online), 2158-107X(Print)",TRUE,11.0,164-168,8.0,https://thesai.org/Publications/IJACSA,['Universities Lampung'],"Abstract—This research was conducted to make an expert system that is able to diagnose disease in chili plants based on knowledge that provided directly from the experts. This research uses classical probability calculation method in calculating the percentage of diagnoses and implemented on the Android mobile device. This research consisted of 37 symptoms data, 10 data of chili disease caused by fungi, and 10 rules. This expert system uses forward chaining inference method. Test results shows: (1)Functional testing using the Black Box Equivalence Partitioning (EP) method give the results as expected on the test scenario on each test class. (2) Expert testing by comparing the results of manual and system calculations matches and run well. (3)User acceptance test is done to 53 respondents which is divided into four groups of respondents. The first respondents group that is consisting of experts of chili disease give average score of 85.14% (excellent). The second group that consist of Agriculture Department students give score of 84.13% (excellent). The third respondent group that consist of Computer Science Department students give score of 84.28% (excellent) whereas the last group (chili farmers) give a score of 86% (excellent).

Keywords—Android; classic probability; expert system; forward chaining; likert scale",aristoteles.1981@fmipa.unila.ac.id,"[1] Ralahalu, M. S., Hehanusa, M. L., and Oszaer, L.L, “Respon Tanaman Cabai Besar (Capsicum annum L) Terhadap Pemberian Pupuk Organik Hormon Tanaman Ungul”, Jurnal Ilmu Budaya Tanaman, vol. 2, no. 2, Oktober 2013. 

[2] Badan Pusat Statistik Lampung. 2014. Berita Resmi Statistik Provinsi Lampung.Lampung: Badan Pusat Statistik Provinsi Lampung. 

[3] Muslim, 2015. Sistem Pakar Diagnosa Hama Dan Penyakit Cabai Berbasis Teorema Bayes. Vol. 4, No. 3, Desember 2015 : 797 - 876. 

[4] Pitojo, S., 2003. Benih Cabai. Yogyakarta :Kanisius. 

[5] Duriat, A. S., Gunaeni, N., and Wulandari, A. W. 2007. Penyakit Penting Tanaman Cabai dan Pengendaliannya. Monografi, 1 (31). 

[6] Kusumadewi, Sri. 2003. Artificial Intelligence: Teknik dan Aplikasinya. Edisi 1. Yogyakarta: Graha Ilmu. 

[7] Arhami,M. 2005. Konsep Dasar Sistem Pakar. Yogyakarta: Andi. 

[8] Aristoteles, Wardianto, and Ardye Amando Pratama, “Sistem Pakar Diagnosa Penyakit pada Ikan Budidaya Air Tawar dengan Metode Forward Chaining,” Jurnal Komputasi, vol. 3, no. 2, pp. 92-98, 2015. 168 | P a g e www.ijacsa.thesai.org",,,,,
7,2563,published,"IMPLEMENTASI METODE REGRESI LINIER SEDERHANA PADA
PENYAJIAN HASIL PREDIKSI PEMAKAIAN AIR BERSIH PDAM
WAY RILAU KOTA BANDAR LAMPUNG DENGAN SISTEM
INFORMASI GEOFRAFIS",show,,6,2017-05-31 08:20:34,archive,['QA75'],"[{'name': {'honourific': None, 'family': 'Hijriani', 'lineage': None, 'given': 'Astria'}, 'id': 'astria.hijriani@gmail.com'}, {'name': {'honourific': None, 'family': 'Muludi', 'lineage': None, 'given': 'Kurnia'}, 'id': 'kurnia.muludi@fmipa.unila.ac.id'}, {'id': 'erlina_ain@yahoo.com', 'name': {'given': 'Erlina Ain', 'honourific': None, 'family': 'Andini', 'lineage': None}}]",http://e-journals.unmul.ac.id/index.php/JIM/article/view/212/pdf,2017-09-01 00:00:00.000000000,disk0/00/00/25/63,article,['FMIPA3'],Fakultas Ilmu Komputer dan Teknologi Informasi Universitas Mulawarman,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/2453', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'objectid': 2453, 'uri': 'http://repository.lppm.unila.ac.id/id/file/17732', 'datasetid': 'document', 'filesize': 424468, 'mime_type': 'application/pdf', 'fileid': 17732, 'filename': '212-518-1-PB.pdf', 'hash': '60ff02e4668dbd4466b76f4823124236', 'hash_type': 'MD5', 'mtime': '2017-05-31 08:04:38'}], 'main': '212-518-1-PB.pdf', 'docid': 2453, 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 2563}]",pub,public,http://repository.lppm.unila.ac.id/id/eprint/2563,2017-05-31 08:20:34,80,2017-05-31 08:20:34,,,Jurnal Informatika Mulawarman,1858-4853,TRUE,2.0,37-42,11.0,http://e-journals.unmul.ac.id/index.php/JIM/index,,"Banyaknya pelanggan dan pemakaian air bersih di suatu daerah yang masuk dalam zona pelayanan
PDAM Way Rilau Kota Bandar Lampung diamati sebagai informasi yang dapat digunakan dalam perencanaan
produksi air bersih di masa mendatang. Hasil prediksi jumlah pelanggan dan jumlah pemakaian air bersih akan
bermanfaat dalam perencanaan produksi air bersih dan peningkatan layanan kepada pelanggan. Prediksi dapat
dilakukan dengan berbagai metode, salah satunya metode regresi linier sederhana. Penelitian ini dilakukan
dengan tujuan untuk membangun sistem informasi geografis yang dapat menyajikan hasil prediksi pemakaian air
bersih kota Bandar Lampung dalam wilayah pelayanan PDAM Way Rilau Kota Bandar Lampung. Data pada
penelitian ini diperoleh dari PDAM Way Rilau Kota Bandar Lampung. Hasil keseluruhan pengujian
menunjukkan bahwa sistem informasi geografis penyebaran dan prediksi jumlah penduduk telah sesuai baik dari
segi fungsionalitasnya, maupun dari segi interaksi sistem dengan pengguna.",,,[{'url': 'http://e-journals.unmul.ac.id/index.php/JIM/article/view/212/pdf'}],,,,
8,5946,published,An Enterprise Architecture Planning for Higher Education Using The Open Group Architecture Framework (TOGAF): Case Study University of Lampung,show,,11,2018-04-25 03:45:11,archive,['QA75'],"[{'name': {'given': 'Gigih Forda', 'family': 'Nama', 'honourific': None, 'lineage': None}, 'id': 'gigih@eng.unila.ac.id'}, {'name': {'given': 'Tristiyanto', 'lineage': None, 'family': 'Tristiyanto', 'honourific': None}, 'id': 'tristiyanto.1981@fmipa.unila.ac.id'}, {'name': {'given': 'Didik', 'lineage': None, 'honourific': None, 'family': 'Kurniawan'}, 'id': 'didikunila@gmail.com'}]",,2017-11-01 00:00:00.000000000,disk0/00/00/59/46,conference_item,['FMIPA3'],,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/55167', 'objectid': 18862, 'filename': '023.pdf', 'hash': '8641708dad99d44abc69b5d3dd0c0c2b', 'hash_type': 'MD5', 'mtime': '2017-11-18 01:52:17', 'mime_type': 'application/pdf', 'fileid': 55167, 'filesize': 435818, 'datasetid': 'document'}], 'docid': 18862, 'main': '023.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18862', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 5946, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,public,http://repository.lppm.unila.ac.id/id/eprint/5946,2018-04-25 03:45:11,139,2018-04-25 03:45:11,,,,,FALSE,,,,,,"University is an organization that obliged to provide higher education, research, and community service (Tri Dharma), it has autonomy to manage their institutions. In order to realize Tri Dharma, University should made a planning of information technology (IT) infrastructure to support alignment process between organization business strategy and IT strategy. University of Lampung (Unila) as a government university in Lampung Province, already had IT infrastructure and managed by special unit. IT management on Unila nowadays more complicated, disintegrated of IT management has an effect that IT infrastructure was not adaptive to response the quick change of business needs. This research aimed to design an adaptive IT infrastructure based on enterprise architecture framework The Open Group Architecture Framework (TOGAF) Architecture Development Method (ADM) on Unila. The results of this research found that there are 3 core business activities, and 6 supporting activities identified on this campus. We also proposed 12 application to developed, all applications should be modular and integrated with other.",,,[{'url': 'http://icic-aptikom.org/2018/?p=17'}],conference,INTERNATIONAL CONFERENCE ON INFORMATICS AND COMPUTING 2017,paper,"['LPPM, Universitas Lampung']"
9,19838,published,PERENCANAAN ARSITEKTUR APLIKASI UNIVERSITAS LAMPUNG MENGGUNAKAN ZACHMAN FRAMEWORK,show,,9,2020-05-18 02:21:34,archive,['QA75'],"[{'id': None, 'name': {'lineage': None, 'family': 'Novianti', 'honourific': None, 'given': 'Ully'}}, {'id': 'tristiyanto.1981@fmipa.unila.ac.id', 'name': {'honourific': None, 'family': 'Tristiyanto', 'lineage': None, 'given': 'Tristiyanto'}}]",,2017-04-01 00:00:00.000000000,disk0/00/01/98/38,article,['FMIPA3'],Jurusan Ilmu Komputer Universitas Lampung,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 19838, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33137', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/187835', 'objectid': 33137, 'filename': '2017-Perencanaan Arsitektur Aplikasi Universitas Lampung Menggunakan Zachman Framework.pdf', 'hash': '00841cc639022a05deea47d8234b80dc', 'mtime': '2020-05-17 04:05:21', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 187835, 'filesize': 1508811, 'datasetid': 'document'}], 'docid': 33137, 'main': '2017-Perencanaan Arsitektur Aplikasi Universitas Lampung Menggunakan Zachman Framework.pdf'}]",pub,public,http://repository.lppm.unila.ac.id/id/eprint/19838,2020-05-18 02:21:34,139,2020-05-18 02:21:34,,,Jurnal Komputasi,2541-0350,TRUE,1.0,50-59,5.0,https://jurnal.fmipa.unila.ac.id/komputasi/article/view/1465,,"In the present era, to support business processes in a university requires the support of ICT in improving the quality of education and services. Analysis of the existing condition of ICT implementation in Unila using Zachman framework shows that the change in the need of application becomes the most dominant thing to be immediately corrected in various fields of work in dispersed work units. Application requirements analysis is obtained by interviewing, obervating, and giving questionnaires to internal and external customers, and conducting document study of strategic plan of Unila. The result of this research is planning of Unila application architecture in accordance with organizational purpose which can give input for management to prepare integrated application in the future.",,,,,,,
