,lastmod,userid,datestamp,pagerange,number,ispublished,publisher,documents,uri,full_text_status,refereed,type,divisions,publication,issn,creators,dir,date,eprint_status,status_changed,subjects,abstract,title,official_url,rev_number,volume,metadata_visibility,eprintid,date_type,place_of_pub,id_number,patent_applicant,succeeds,pres_type,event_location,event_title,event_dates,event_type,contact_email,pages,corp_creators,related_url,referencetext,monograph_type,institution,department,contributors
0,2021-02-24 05:04:14,99,2021-02-24 05:04:14,168-174,7.0,pub,Scientific Research,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/42120', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'fileid': 249932, 'hash': '3752e6239f1d10edc3597debfb02dedb', 'filename': 'jbise_2020072911424425.pdf', 'hash_type': 'MD5', 'mtime': '2021-02-23 08:59:30', 'datasetid': 'document', 'filesize': 315186, 'objectid': 42120, 'uri': 'http://repository.lppm.unila.ac.id/id/file/249932'}], 'docid': 42120, 'main': 'jbise_2020072911424425.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 28065}, {'files': [{'datasetid': 'document', 'filesize': 315186, 'fileid': 249936, 'mime_type': 'application/pdf', 'mtime': '2021-02-23 09:02:01', 'hash_type': 'MD5', 'filename': 'jbise_2020072911424425.pdf', 'hash': '3752e6239f1d10edc3597debfb02dedb', 'objectid': 42121, 'uri': 'http://repository.lppm.unila.ac.id/id/file/249936'}], 'docid': 42121, 'main': 'jbise_2020072911424425.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42121', 'format': 'text', 'pos': 2, 'security': 'public', 'placement': 2, 'eprintid': 28065, 'mime_type': 'application/pdf', 'language': 'en'}]",http://repository.lppm.unila.ac.id/id/eprint/28065,public,TRUE,article,['FMIPA3'],Journal of Biomedical Science and Engineering,1937-6871,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Abapihi', 'given': 'Bahriddin'}}, {'name': {'given': 'Mohammad  Reza', 'lineage': None, 'honourific': None, 'family': 'Faisal'}}, {'name': {'lineage': None, 'family': 'Nguyen', 'honourific': None, 'given': 'Ngoc G'}}, {'name': {'given': 'Mera K', 'honourific': None, 'family': 'Delimayanti', 'lineage': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Purnama', 'given': 'Bedy'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Lumbanraja', 'given': 'Favorisen R'}}, {'name': {'given': 'Dau', 'family': 'Phan', 'honourific': None, 'lineage': None}}, {'name': {'lineage': None, 'family': 'Kubo', 'honourific': None, 'given': 'Mamoru'}}, {'name': {'honourific': None, 'family': 'Satou', 'lineage': None, 'given': 'Kenji'}}]",disk0/00/02/80/65,1970-01-01 00:00:00.000002020,archive,2021-02-24 05:04:14,['QA75'],"Emergence of drug resistant bacteria is one of the serious problems in today’s public health.
However, the relationship between genomic mutation of bacteria and the phenotypic difference of them is still unclear. In this paper, based on the mutation information in whole genome sequences of 96 MRSA strains, two kinds of phenotypes (pathogenicity and drug resistance) were learnt and predicted by machine learning algorithms. As a result of effective feature selection by cross entropy based sparse logistic regression, these phenotypes
could be predicted in sufficiently high accuracy (100% and 97.87%, respectively) with less than 10 features. It means that we could develop a novel rapid test method in the future for checking MRSA phenotypes.",Cross Entropy Based Sparse Logistic Regression to Identify Phenotype-Related Mutations in Methicillin-Resistant Staphylococcus aureus,https://www.scirp.org/journal/jbise,11,13.0,show,28065,,,,,,,,,,,,,,,,,,,
1,2021-04-01 01:45:28,725,2021-04-01 01:45:28,,,pub,PT. Graha Ilmu,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 28325, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42875', 'rev_number': 1, 'docid': 42875, 'main': '2. ga20_nilai.pdf', 'files': [{'datasetid': 'document', 'filesize': 13635268, 'mime_type': 'application/pdf', 'fileid': 255498, 'hash': '985d2556d975cb55db814f36d15eb5fb', 'filename': '2. ga20_nilai.pdf', 'hash_type': 'MD5', 'mtime': '2021-03-31 19:32:16', 'objectid': 42875, 'uri': 'http://repository.lppm.unila.ac.id/id/file/255498'}]}]",http://repository.lppm.unila.ac.id/id/eprint/28325,public,,other,['FMIPA3'],,,"[{'id': 'admi_syarif@yahoo.com', 'name': {'family': 'Admi Syarif', 'honourific': None, 'lineage': None, 'given': 'AS'}}]",disk0/00/02/83/25,1970-01-01 00:00:00.000002020,archive,2021-04-01 01:45:28,['T1'],,Peer Review: Algoritma Genetika dan Persoalan Optimasi,,7,,show,28325,published,Yogyakarta,ISBN: 978-623-228-720-4,,,,,,,,,,,,,,,,
2,2021-06-15 07:18:25,725,2020-11-19 02:07:40,1-9,2.0,pub,Jurusan Ilmu Komputer Universitas Lampung,"[{'docid': 147989, 'main': 'JN_Terindeks_1_Komputasi 2020 Vol 8, No. 2 - Lengkap.pdf', 'files': [{'objectid': 147989, 'uri': 'http://repository.lppm.unila.ac.id/id/file/385587', 'datasetid': 'document', 'filesize': 1655474, 'fileid': 385587, 'mime_type': 'application/pdf', 'mtime': '2021-06-15 07:18:25', 'hash_type': 'MD5', 'filename': 'JN_Terindeks_1_Komputasi 2020 Vol 8, No. 2 - Lengkap.pdf', 'hash': '2f8c52d05af29a2013fdfbfa21964543'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/147989', 'eprintid': 26042, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",http://repository.lppm.unila.ac.id/id/eprint/26042,public,TRUE,article,['FMIPA3'],Jurnal Komputasi,p-ISSN 2541-0296 | e-ISSN 2541-0350,"[{'name': {'family': 'Admi Syarif', 'honourific': None, 'lineage': None, 'given': 'AS'}, 'id': 'admi_syarif@yahoo.com'}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Akbar Rismawan', 'given': 'Tanjung'}}, {'id': 'rico.andrian@fmipa.unila.ac.id', 'name': {'given': 'RA', 'honourific': None, 'family': 'Rico Andrian', 'lineage': None}}, {'id': 'favorisen.lumbanraja@unila.ac.id', 'name': {'family': 'Favorisen R. Lumbanraja', 'honourific': None, 'lineage': None, 'given': 'Rosi'}}]",disk0/00/02/60/42,2020-10-01 00:00:00.000000000,archive,2020-11-19 02:07:40,['T1'],"Tapis Fabric is a traditional clothing of the people of Lampung in the form of a shawl cloth or a sarong made of woven cotton thread with various motifs and ornaments, silver thread or gold thread by embroidered or punched. The pattern of filter cloth is quite complex, unlike the pattern of fabric in general, with its own uniqueness that has become the culture of Lampung society until now. This filter cloth will be investigated by identifying the three types of filter cloth, namely Sasab, Bintang Perak and Gunung Beradu and see the results of its identification. The method used to identify is by combining the Gabor Filter feature extraction method which has frequency and orientation parameters and Probability Neural Network classification methods. Previously, the combination of these two methods was used to identify objects with simple patterns. The results are quite good, such as detecting faces, leaf patterns, and other simple patterns. This research is expected to get maximum identification results on the filter cloth even though it has a pattern that is not simple and will be used as a research report to determine the suitability of the method used for the filter object.",Implementasi Metode Ekstraksi Fitur Gabor Filter dan Probablity Neural Network (PNN) untuk Identifikasi Kain Tapis Lampung,https://jurnal.fmipa.unila.ac.id/komputasi/article/view/2641,11,8.0,show,26042,published,,10.23960%2Fkomputasi.v8i2.2641,,,,,,,,,,,,,,,,
3,2021-04-01 01:45:34,725,2021-04-01 01:45:34,,,pub,Intelligent Networks and Systems Society,"[{'placement': 1, 'security': 'public', 'eprintid': 28338, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/255504', 'objectid': 42877, 'filesize': 2576152, 'datasetid': 'document', 'hash': '0eeb3a862c85f05a9339620d6061e7c9', 'filename': '4. ijies20_nilai.pdf', 'mtime': '2021-03-31 19:33:16', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 255504}], 'main': '4. ijies20_nilai.pdf', 'docid': 42877, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42877', 'pos': 1, 'format': 'text'}]",http://repository.lppm.unila.ac.id/id/eprint/28338,public,,other,['FMIPA3'],,,"[{'id': 'admi_syarif@yahoo.com', 'name': {'lineage': None, 'family': 'Admi Syarif', 'honourific': None, 'given': 'AS'}}, {'id': 'diananggraini1995.da@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Anggraini', 'given': 'Dian'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Muludi', 'given': 'Kurnia'}, 'id': 'kurnia.muludi@fmipa.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Wamiliana', 'lineage': None, 'given': 'Wamiliana'}, 'id': 'wamiliana@gmail.com'}]",disk0/00/02/83/38,2020-10-01 00:00:00.000000000,archive,2021-04-01 01:45:34,['TA'],"One of the essential and well-known classes of combinatorial optimization problems commonly studies by researchers in the last five decades is called the Knapsack Problem (KP). Many variants of KP have been introduced for different real-world applications. Among them, the multiple-choice multi-dimensional Knapsack Problem (mm- KP) is the most complex model with an NP-hard problem. Several authors have reported the robustness of heuristics for mm-KP; irrespective of its advantages, no method currently has the ability to solve the problem optimally all time. This paper aims to determine the best GA strategy and evaluate the performance of several heuristic algorithms to solve mm-KP. We investigate the use of two techniques that are included in the GA approach. The first, two different strategies are adopted to handle infeasible chromosomes, namely penalty and repairing procedure. Second, we develop a new-simple local search to improve the quality of the solution found. Experimental studies on the 13 (thirteen) Benchmark instances are conducted to evaluate the effectiveness of the approach based on solutions quality, the number of the optimal solution reached, and average errors. The results showed that hr-GA tends to reach optimal/nearoptimal solutions. Furthermore, the results from studies on heuristic algorithms also show that hr-GA is a promising approach, with local search used to immensely improve the quality.",Peer Review: Comparing Various Genetic Algorithm Approaches for Multiple-choice Multi-dimensional Knapsack Problem (mm-KP),http://doi.org/10.22266/ijies2020.1031.40,7,,show,28338,,,DOI: 10.22266/ijies2020.1031.40,,,,,,,,,,,,,,,,
4,2021-06-15 07:03:23,725,2020-09-07 07:58:42,455-462,5.0,pub,Intelligent Networks and Systems Society (INASS),"[{'main': '0. JI_Terindeks_1_IJIES 2020 - Full.pdf', 'docid': 147957, 'files': [{'objectid': 147957, 'uri': 'http://repository.lppm.unila.ac.id/id/file/385535', 'fileid': 385535, 'mime_type': 'application/pdf', 'mtime': '2021-06-15 07:03:23', 'hash_type': 'MD5', 'filename': '0. JI_Terindeks_1_IJIES 2020 - Full.pdf', 'hash': 'ff3b9374606ac41aa734c5a855f37df0', 'datasetid': 'document', 'filesize': 9787367}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/147957', 'rev_number': 1, 'eprintid': 23902, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",http://repository.lppm.unila.ac.id/id/eprint/23902,public,TRUE,article,['FMIPA3'],The International Journal of Intelligent Engineering and Systems (IJIES),"2185-3118 (eISSN), 2185-310X (pISSN)","[{'name': {'family': 'Admi Syarif', 'honourific': None, 'lineage': None, 'given': 'AS'}, 'id': 'admi_syarif@yahoo.com'}, {'id': 'diananggraini1995.da@gmail.com', 'name': {'lineage': None, 'family': 'Anggraini', 'honourific': None, 'given': 'Dian'}}, {'id': 'kurnia.muludi@fmipa.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Muludi', 'given': 'Kurnia'}}, {'name': {'given': 'Wamiliana', 'honourific': None, 'family': 'Wamiliana', 'lineage': None}, 'id': 'wamiliana@gmail.com'}, {'name': {'given': 'Mitsuo', 'honourific': None, 'family': 'Gen', 'lineage': None}, 'id': 'mitsuogen@gmail.com'}]",disk0/00/02/39/02,2020-10-31 00:00:00.000000000,archive,2020-09-07 07:58:42,['T1'],"One of the essential and well-known classes of combinatorial optimization problems commonly studies by researchers in the last five decades is called the Knapsack Problem (KP). Many variants of KP have been introduced for different real-world applications. Among them, the multiple-choice multi-dimensional Knapsack Problem (mm- KP) is the most complex model with an NP-hard problem. Several authors have reported the robustness of heuristics for mm-KP; irrespective of its advantages, no method currently has the ability to solve the problem optimally all time. This paper aims to determine the best GA strategy and evaluate the performance of several heuristic algorithms to solve mm-KP. We investigate the use of two techniques that are included in the GA approach. The first, two different strategies are adopted to handle infeasible chromosomes, namely penalty and repairing procedure. Second, we develop a new-simple local search to improve the quality of the solution found. Experimental studies on the 13 (thirteen) Benchmark instances are conducted to evaluate the effectiveness of the approach based on solutions quality, the number of the optimal solution reached, and average errors. The results showed that hr-GA tends to reach optimal/nearoptimal solutions. Furthermore, the results from studies on heuristic algorithms also show that hr-GA is a promising approach, with local search used to immensely improve the quality.",Comparing Various Genetic Algorithm Approaches for Multiple-choice Multi-dimensional Knapsack Problem mm-KP),http://www.inass.org/publications.html,7,13.0,show,23902,published,,10.22266/ijies2020.1031.40,,,,,,,,,,,,,,,,
5,2021-04-01 01:47:00,725,2021-04-01 01:47:00,,,pub,Universitas Teknokrat Indonesia,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42885', 'main': '12. tekno20_nilai.pdf', 'docid': 42885, 'files': [{'objectid': 42885, 'uri': 'http://repository.lppm.unila.ac.id/id/file/255531', 'mime_type': 'application/pdf', 'fileid': 255531, 'filename': '12. tekno20_nilai.pdf', 'hash': '3bd8336c8bd6cc8963b8dbb218bceb0d', 'mtime': '2021-03-31 19:49:44', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 2567210}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 28367, 'placement': 1, 'security': 'public'}]",http://repository.lppm.unila.ac.id/id/eprint/28367,public,,other,['FMIPA3'],,,"[{'name': {'given': 'AS', 'family': 'Admi Syarif', 'honourific': None, 'lineage': None}, 'id': 'admi_syarif@yahoo.com'}, {'name': {'given': 'Qory', 'lineage': None, 'honourific': None, 'family': 'Aprilarita'}, 'id': None}, {'id': None, 'name': {'honourific': None, 'family': 'Rizki', 'lineage': None, 'given': 'Muhammad'}}, {'id': 'favorisen.lumbanraja@unila.ac.id', 'name': {'given': 'Rosi', 'lineage': None, 'honourific': None, 'family': 'Favorisen R. Lumbanraja'}}]",disk0/00/02/83/67,2020-10-01 00:00:00.000000000,archive,2021-04-01 01:47:00,['T1'],"The process of selecting house is a difficult thing to do, because there are many alternatives offered by developers. The purpose of this research is to build an Android-based decision support system that can help selection process involving ten criteria. The criteria used in this research are house prices, building area, land area, electricity, water sources, distance from market, distance from university, number of bedrooms, number of bathrooms, and number of floors. The system built applies Simple Additive Weighting (SAW) method. SAW is one of the well-known methods and is often used for multiple attribute decision making because of its simplicity in providing alternatives during the decision making process. Based on system performance testing, the results of accuracy is 85,7%, which at this time has been categorized as very good. Based on the results of alpha testing and beta testing, it can be concluded that application has worked and meets the level of user satisfaction, with value that is categorized as very good.",Peer Review: Implementasi Metode Simple Additive Weighting (Saw) Pada Sistem Pendukung Keputusan Pemilihan Rumah Berbasis Android,https://ejurnal.teknokrat.ac.id/index.php/teknokompak/article/view/796,7,,show,28367,,,DOI: 10.33365/jtk.v14i2.796,,,,,,,,,,,,,,,,
6,2021-06-15 07:21:39,725,2020-09-07 07:59:02,102-110,2.0,pub,Universitas Teknokrat Indonesia,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/148001', 'rev_number': 1, 'docid': 148001, 'main': 'JN_Terindeks_3_Tekno Kompak 2020 - Vol 14, No 2.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/385603', 'objectid': 148001, 'filesize': 1743795, 'datasetid': 'document', 'filename': 'JN_Terindeks_3_Tekno Kompak 2020 - Vol 14, No 2.pdf', 'hash': 'c143acb5c7a0f19841f7d0e9fc38045e', 'mtime': '2021-06-15 07:21:39', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 385603}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 23904, 'placement': 1, 'security': 'public'}]",http://repository.lppm.unila.ac.id/id/eprint/23904,public,TRUE,article,['FMIPA3'],Jurnal Tekno Kompak,"2656-3525 (eISSN), 1412-9663 (pISSN)","[{'name': {'given': 'AS', 'family': 'Admi Syarif', 'honourific': None, 'lineage': None}, 'id': 'admi_syarif@yahoo.com'}, {'id': None, 'name': {'given': 'Qory', 'honourific': None, 'family': 'Aprilarita', 'lineage': None}}, {'id': None, 'name': {'honourific': None, 'family': 'Rizky', 'lineage': None, 'given': 'Muhammad'}}, {'id': 'favorisen.lumbanraja@unila.ac.id', 'name': {'given': 'Rosi', 'lineage': None, 'honourific': None, 'family': 'Favorisen R. Lumbanraja'}}]",disk0/00/02/39/04,2020-08-01 00:00:00.000000000,archive,2020-09-07 07:59:02,['T1'],"The process of selecting house is a difficult thing to do, because there are many alternatives offered by developers. The purpose of this research is to build an Android-based decision support system that can help selection process involving ten criteria. The criteria used in this research are house prices, building area, land area, electricity, water sources, distance from market, distance from university, number of bedrooms, number of bathrooms, and number of floors. The system built applies Simple Additive Weighting (SAW) method. SAW is one of the well-known methods and is often used for multiple attribute decision making because of its simplicity in providing alternatives during the decision making process. Based on system performance testing, the results of accuracy is 85,7%, which at this time has been categorized as very good. Based on the results of alpha testing and beta testing, it can be concluded that application has worked and meets the level of user satisfaction, with value that is categorized as very good.",Implementasi Metode Simple Additive Weighting (Saw) Pada Sistem Pendukung Keputusan Pemilihan Rumah Berbasis Android,https://ejurnal.teknokrat.ac.id/index.php/teknokompak,9,14.0,show,23904,published,,10.33365/jtk.v14i2.796,,,,,,,,,,,,,,,,
7,2021-04-01 01:46:55,725,2021-04-01 01:46:55,,,pub,Ilmu Komputer Universitas Lambung Mangkurat,"[{'eprintid': 28366, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'docid': 42884, 'main': '11. klik20_nilai.pdf', 'files': [{'filesize': 6415207, 'datasetid': 'document', 'mtime': '2021-03-31 19:49:14', 'hash_type': 'MD5', 'hash': '0e24d92f2192bd2fb4f4ca7d4a3aad7d', 'filename': '11. klik20_nilai.pdf', 'fileid': 255528, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/255528', 'objectid': 42884}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42884'}]",http://repository.lppm.unila.ac.id/id/eprint/28366,public,,other,['FMIPA3'],,,"[{'name': {'given': 'AS', 'lineage': None, 'honourific': None, 'family': 'Admi Syarif'}, 'id': 'admi_syarif@yahoo.com'}, {'id': None, 'name': {'family': 'Ardianto', 'honourific': None, 'lineage': None, 'given': 'Ari'}}, {'id': 'bambang.hermanto@fmipa.unila.ac.id', 'name': {'honourific': None, 'family': 'Hermanto', 'lineage': None, 'given': 'Bambang'}}, {'name': {'lineage': None, 'family': 'Yusman', 'honourific': None, 'given': 'Machudor'}, 'id': 'machudor.yusman@fmipa.unila.ac.id'}]",disk0/00/02/83/66,2020-12-01 00:00:00.000000000,archive,2021-04-01 01:46:55,['T1'],"Mobil merupakan alat transportasi yang penting saat ini guna menunjang aktivitas maupun untuk memenuhi gaya hidup seseorang. Ada beragam jenis mobil dengan model, merk dan spesifikasi tehnis lainnya. Penelitian ini bertujuan mengimplementasikan metode AHP berbasis web untuk membantu merekomendasikan mobil yang sesuai dengan keinginan konsumen. Rekomendasi keputusan berbasisi 6 (enam) kriteria diantaranya harga, merk, kapasitas silinder, konsumsi BBM, dan kapasitas penumpang. Eksperimen dilakukan dengan menggunakan data 254 varian model mobil dengan enam merk terkenal Toyota, Daihatsu, Mitsubishi, Honda, Suzuki, dan Nissan). Hasil pengujian sistem telah bekerja dengan sangat baik. Pembobotan kriteria dan pemilihan alternatif sangat berpengaruh terhadap rekomendasi keputusan.",Peer Review: Implementasi Metode Analytical Hierarchy Process (AHP) pada Sistem Pendukung Keputusan Pembelian Mobil di Bandar Lampung,http://klik.ulm.ac.id/index.php/klik/article/view/325,7,,show,28366,,,DOI: 10.20527/klik.v7i3.325,,,,,,,,,,,,,,,,
8,2021-06-15 07:19:55,725,2020-11-19 11:31:02,219-229,3.0,pub,Prodi Ilmu Komputer FMIPA Universitas Lambung Mangkurat,"[{'main': 'JN_Terindeks_2_KLIK 2020 - Vol 7, No 3 - Lengkap.pdf', 'docid': 147995, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/385594', 'objectid': 147995, 'filename': 'JN_Terindeks_2_KLIK 2020 - Vol 7, No 3 - Lengkap.pdf', 'hash': 'fdee1ed33236f9e7ffe24d310bf03de8', 'hash_type': 'MD5', 'mtime': '2021-06-15 07:19:54', 'mime_type': 'application/pdf', 'fileid': 385594, 'filesize': 2434297, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/147995', 'rev_number': 1, 'eprintid': 26146, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",http://repository.lppm.unila.ac.id/id/eprint/26146,public,TRUE,article,['FMIPA3'],Kumpulan Jurnal Ilmu Komputer (KLIK),"2443-406X (eISSN), 2406-7857 (pISSN)","[{'id': 'admi_syarif@yahoo.com', 'name': {'given': 'AS', 'lineage': None, 'family': 'Admi Syarif', 'honourific': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Ari', 'given': 'Ardianto'}, 'id': None}, {'name': {'family': 'Bambang Hermanto', 'honourific': None, 'lineage': None, 'given': 'Bambang'}, 'id': 'bambang.hermanto@fmipa.unila.ac.id'}, {'name': {'family': 'Machudor', 'honourific': None, 'lineage': None, 'given': 'Yusman'}, 'id': 'machudor.yusman@fmipa.unila.ac.id'}]",disk0/00/02/61/46,2020-10-01 00:00:00.000000000,archive,2020-11-19 11:31:02,['T1'],"Mobil merupakan alat transportasi yang penting saat ini guna menunjang aktivitas maupun untuk memenuhi gaya hidup seseorang. Ada beragam jenis  mobil dengan model, merk dan spesifikasi tehnis lainnya. Penelitian ini bertujuan mengimplementasikan metode AHP berbasis web  untuk membantu merekomendasikan mobil yang sesuai dengan keinginan konsumen. Rekomendasi keputusan berbasisi 6 (enam) kriteria diantaranya harga, merk, kapasitas silinder, konsumsi BBM, dan kapasitas penumpang. Eksperimen  dilakukan dengan menggunakan data 254 varian model mobil dengan enam merk terkenal  Toyota, Daihatsu, Mitsubishi, Honda, Suzuki, dan Nissan). Hasil pengujian sistem telah bekerja dengan sangat baik. Pembobotan kriteria dan pemilihan alternatif sangat berpengaruh terhadap rekomendasi keputusan.",Implementasi Metode Analytical Hierarchy Process (AHP) pada Sistem Pendukung Keputusan Pembelian Mobil di Bandar Lampung,http://klik.ulm.ac.id/index.php/klik/article/view/325,10,7.0,show,26146,published,,10.20527/klik.v7i3.325,,,,,,,,,,,,,,,,
9,2021-04-01 01:47:38,725,2021-04-01 01:47:38,,,pub,Universitas Lampung,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 28381, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42898', 'main': '25. bukudigi20_nilai - Copy.pdf', 'docid': 42898, 'files': [{'filesize': 6272414, 'datasetid': 'document', 'hash': 'e1b978b21f92db3c8eb21004a705db35', 'filename': '25. bukudigi20_nilai - Copy.pdf', 'mtime': '2021-03-31 20:00:30', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 255570, 'uri': 'http://repository.lppm.unila.ac.id/id/file/255570', 'objectid': 42898}]}]",http://repository.lppm.unila.ac.id/id/eprint/28381,public,,other,['FMIPA3'],,,"[{'id': 'admi_syarif@yahoo.com', 'name': {'given': 'AS', 'family': 'Admi Syarif', 'honourific': None, 'lineage': None}}, {'id': 'aristoteles.1981@fmipa.unila.ac.id', 'name': {'given': 'Aristoteles', 'family': 'Aristoteles', 'honourific': None, 'lineage': None}}, {'id': 'muhammad_sukirlan@yahoo.co.id', 'name': {'lineage': None, 'family': 'Sukirlan', 'honourific': None, 'given': 'Muhammad'}}, {'id': None, 'name': {'given': 'Robby Nurman', 'lineage': None, 'family': 'HW', 'honourific': None}}]",disk0/00/02/83/81,2020-02-13 00:00:00.000000000,archive,2021-04-01 01:47:38,['T201'],,Peer Review: Aplikasi Buku Digital Unit Pelayanan Teknis Bahasa Universitas Lampung,,7,,show,28381,,,,,,,,,,,,,,,,,,,
