,creators,issn,publication,id_number,dir,date,type,divisions,publisher,documents,number,ispublished,refereed,full_text_status,uri,lastmod,userid,datestamp,pagerange,eprintid,date_type,title,official_url,metadata_visibility,rev_number,volume,eprint_status,status_changed,abstract,subjects,patent_applicant,contributors,pres_type,event_type,event_dates,event_location,event_title,referencetext
0,"[{'name': {'family': 'Admi Syarif', 'honourific': None, 'lineage': None, 'given': 'AS'}, 'id': 'admi_syarif@yahoo.com'}, {'name': {'given': 'Aristoteles', 'honourific': None, 'family': 'Aristoteles', 'lineage': None}, 'id': None}, {'name': {'given': 'Timotius', 'lineage': None, 'family': 'Pascha', 'honourific': None}, 'id': None}, {'name': {'lineage': None, 'honourific': None, 'family': 'Salsabila', 'given': 'Erika Fadia'}, 'id': None}, {'id': None, 'name': {'given': 'Raras', 'lineage': None, 'family': 'Silviana', 'honourific': None}}, {'id': None, 'name': {'given': 'Anggi', 'lineage': None, 'family': 'Puspitasari', 'honourific': None}}, {'id': None, 'name': {'family': 'Sari', 'honourific': None, 'lineage': None, 'given': 'Deswita'}}, {'id': None, 'name': {'honourific': None, 'family': 'Setiawan', 'lineage': None, 'given': 'Aqshal Dwi'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Penita', 'given': 'Putri Ayu'}, 'id': None}]",2808-1412,BUGUH : Jurnal Pengabdian Kepada Masyarakat,https://doi.org/10.23960/buguh.v2n1.967,disk0/00/04/25/55,2022-03-31 00:00:00.000000000,article,['FMIPA3'],Badan Pelaksana Kuliah Kerja Nyata Universitas,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 42555, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164267', 'main': 'jb21-05.pdf', 'docid': 164267, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/467317', 'objectid': 164267, 'hash_type': 'MD5', 'mtime': '2022-06-16 10:20:14', 'filename': 'jb21-05.pdf', 'hash': '5966d0f5da4deab35e6ff96610c458a9', 'fileid': 467317, 'mime_type': 'application/pdf', 'filesize': 421680, 'datasetid': 'document'}]}]",1.0,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/42555,2022-06-17 01:10:31,215,2022-06-17 01:10:31,22-29,42555,published,"PENGEMBANGAN UMKM MELALUI PRODUKSI SABUN""GKT SOAP""DAN PEMBERDAYAAN LINGKUNGANDENGAN PENANAMAN BIOPORI",https://jurnalbuguh.unila.ac.id/index.php/buguh/article/view/967/30,show,9,2.0,archive,2022-06-17 01:10:31,"Sebagian besar masyarakat Desa Gunung Katun Tanjungan bekerja sebagai nelayan dan petani. Guna meningkatkan perekonomian masyarakat desa, mahasiswa KKN Universitas Lampung Periode 1 Tahun 2022 membuat program kerja pelatihan pembuatan sabun. Di sisi lain, melalui produk sabun GKT SOAP dapat dijadikan salah satu produk unggulan dari Desa Gunung Katun Tanjungan. Selain itu, dilaksanakan pula kegiatan penanaman lubang biopori dengan tujuan untuk meningkatkan daya resap air dan meningkatkan jumlah cadangan air dalam tanah yang dapat menunjang program desa yaitu penanaman 1000 tanaman alpukat.",['Q1'],,,,,,,,
1,"[{'id': 'admi_syarif@yahoo.com', 'name': {'given': 'AS', 'honourific': None, 'family': 'Admi Syarif', 'lineage': None}}, {'id': None, 'name': {'given': 'B Fauzi', 'honourific': None, 'family': 'Mayda', 'lineage': None}}, {'id': None, 'name': {'family': 'Aristoteles', 'honourific': None, 'lineage': None, 'given': 'Aristoteles'}}, {'id': None, 'name': {'given': 'Wantoro', 'lineage': None, 'honourific': None, 'family': 'Agus'}}]","2156-5570 (online), 2158-107X(Print)",International Journal of Advanced Computer Science and Applications,https://dx.doi.org/10.14569/IJACSA.2022.0131264,disk0_bak/00/04/75/96,2022-12-31 00:00:00.000000000,article,['FMIPA3'],The Science and Information (SAI) Organization,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 47596, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186667', 'rev_number': 2, 'pos': 1, 'format': 'text', 'files': [{'objectid': 186667, 'uri': 'http://repository.lppm.unila.ac.id/id/file/521624', 'datasetid': 'document', 'filesize': 789559, 'fileid': 521624, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-01-04 02:34:54', 'filename': '6527.pdf', 'hash': '9611fa27437361280f0cf212a499c95e'}], 'main': '6527.pdf', 'docid': 186667}]",12.0,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/47596,2023-01-04 06:10:36,215,2023-01-04 06:10:36,528-536,47596,published,Implementation of Fuzzy Expert System on Skin Diseases,https://thesai.org/Publications/ViewPaper?Volume=13&Issue=12&Code=IJACSA&SerialNo=64,show,9,13.0,archive,2023-01-04 06:10:36,"Abstract: Skin diseases are a group of diseases affecting people of all ages, commonly caused by fungi, bacteria, parasites, viruses, and infections. The disease's main symptoms are usually itching all over the skin. Many patients are often underestimated and embarrassed to consult directly with doctors, which in the end, ignores the symptoms of skin diseases. Since they usually have imprecision symptoms, examining skin diseases is complex and challenging. Recently, many efforts have been made to utilize artificial intelligence approaches for diagnosing various diseases based on the patient's condition. This paper aims to develop a novel fuzzy-based medical expert system based on unprecise existing symptoms. The system uses the specialist Doctor's knowledge (dermatologist) to diagnose and provide the patient's severity level for the disease. We have done numerical experiments using 100 (one hundred) test problems to evaluate the performance of the developed system by comparing the result with the recommendations of doctors (dermatologists). It shows that this system succeeds in all tests with an accuracy value of 95.6%. Thus, this system is very beneficial to support doctors in the assessment of skin diseases.",['QA76'],,,,,,,,
2,"[{'id': 'akmal.junaidi@fmipa@unila.ac.id', 'name': {'given': 'Akmal', 'lineage': None, 'honourific': None, 'family': 'Akmal Junaidi'}}, {'id': None, 'name': {'family': 'Aristoteles', 'honourific': None, 'lineage': None, 'given': 'Aristoteles'}}, {'id': 'yunda.heningtyas89@gmail.com', 'name': {'lineage': None, 'family': 'Heningtyas', 'honourific': None, 'given': 'Yunda'}}, {'id': None, 'name': {'given': 'Muhamad', 'lineage': None, 'honourific': None, 'family': 'Haekal'}}]",,,322675,disk0/00/03/88/37,2022-01-31 00:00:00.000000000,patent,['FMIPA3'],,"[{'docid': 159979, 'main': 'sertifikat_EC00202207376.pdf', 'files': [{'mtime': '2022-02-02 02:20:54', 'hash_type': 'MD5', 'filename': 'sertifikat_EC00202207376.pdf', 'hash': '39521f605104b3af743c969783928d27', 'fileid': 438677, 'mime_type': 'application/pdf', 'filesize': 2074045, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/438677', 'objectid': 159979}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/159979', 'rev_number': 2, 'eprintid': 38837, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",,pub,,public,http://repository.lppm.unila.ac.id/id/eprint/38837,2022-02-02 07:18:11,215,2022-02-02 07:18:11,,38837,published,"Apiikasi Virtual Guide Gedung A Dan E Fakultas Ekonomi Dan
Bisnis Universitas Lampung Menggunakan Unity 3D",https://e-hakcipta.dgip.go.id/index.php/c?code=YWIwNTBjNDZhMjg1M2M3ZDRmOTMwOWU2NzVlNTZjNDcK,show,8,,archive,2022-02-02 07:18:11,,['QA76'],Akmal Junaidi; Aristoteles; Yunda Heningtyas; Muhamad Haekal,,,,,,,
3,"[{'name': {'honourific': None, 'family': 'Akmal Junaidi', 'lineage': None, 'given': 'Akmal'}, 'id': 'akmal.junaidi@fmipa@unila.ac.id'}, {'name': {'given': 'Aristoteles', 'lineage': None, 'family': 'Aristoteles', 'honourific': None}, 'id': None}, {'id': 'yunda.heningtyas89@gmail.com', 'name': {'given': 'Yunda', 'lineage': None, 'family': 'Heningtyas', 'honourific': None}}, {'name': {'lineage': None, 'family': 'Hartrianto', 'honourific': None, 'given': 'Iqbal Tejo'}, 'id': None}]",,,322674,disk0/00/03/88/36,2022-01-31 00:00:00.000000000,patent,['FMIPA3'],,"[{'content': 'published', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 38836, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159978', 'rev_number': 3, 'format': 'text', 'pos': 1, 'files': [{'datasetid': 'document', 'filesize': 2073760, 'fileid': 438669, 'mime_type': 'application/pdf', 'mtime': '2022-02-02 02:08:47', 'hash_type': 'MD5', 'hash': 'f3bdc2a6234902a3af748e496b67352b', 'filename': 'sertifikat_EC00202207375.pdf', 'objectid': 159978, 'uri': 'http://repository.lppm.unila.ac.id/id/file/438669'}], 'main': 'sertifikat_EC00202207375.pdf', 'docid': 159978}]",,pub,,public,http://repository.lppm.unila.ac.id/id/eprint/38836,2022-02-02 07:18:09,215,2022-02-02 07:18:09,,38836,published,"Aplikasi Virtual Guide Gedung Dekanat Fakultas Ilmu Sosial Dan
Ilmu Politik Universitas Lampung",https://e-hakcipta.dgip.go.id/index.php/c?code=NjkwYjdjYTRlZmZkOWY4YmQ2NDBhODZkNWMzYzdlYzUK,show,9,,archive,2022-02-02 07:18:09,,['QA76'],Akmal Junaidi; Aristoteles; Yunda Heningtyas; Iqbal Tejo Hartrianto,,,,,,,
4,"[{'id': 'akmal.junaidi@fmipa@unila.ac.id', 'name': {'family': 'Akmal Junaidi', 'honourific': None, 'lineage': None, 'given': 'Akmal'}}, {'id': None, 'name': {'given': 'Aristoteles', 'family': 'Aristoteles', 'honourific': None, 'lineage': None}}, {'id': 'yunda.heningtyas89@gmail.com', 'name': {'lineage': None, 'family': 'Heningtyas', 'honourific': None, 'given': 'Yunda'}}, {'name': {'given': 'Avif Rizka', 'lineage': None, 'honourific': None, 'family': 'Hikmawan'}, 'id': None}]",,,322812,disk0/00/03/88/45,2022-01-31 00:00:00.000000000,patent,['FMIPA3'],,"[{'main': 'sertifikat_EC00202207513.pdf', 'docid': 159986, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/438726', 'objectid': 159986, 'hash_type': 'MD5', 'mtime': '2022-02-02 02:46:02', 'filename': 'sertifikat_EC00202207513.pdf', 'hash': '979b4cae9f8266a387402201442bd398', 'fileid': 438726, 'mime_type': 'application/pdf', 'filesize': 2073946, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159986', 'rev_number': 2, 'eprintid': 38845, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",,pub,,public,http://repository.lppm.unila.ac.id/id/eprint/38845,2022-02-02 07:18:29,215,2022-02-02 07:18:29,,38845,published,Aplikasi Virtual Guide Gedung F Pascasarjana Fakultas Ilmu Sosial Dan Ilmu Politik Universitas Lampung,https://e-hakcipta.dgip.go.id/index.php/c?code=MTJhMWQxYTliZjM1MGUwYWFiOWY1NmVkZWMyYTgxODUK,show,10,,archive,2022-02-02 07:18:29,,['QA76'],Akmal Junaidi; Aristoteles; Yunda Heningtyas; Avif Rizka Hikmawan,,,,,,,
5,"[{'name': {'given': 'Akmal', 'lineage': None, 'family': 'Akmal Junaidi', 'honourific': None}, 'id': 'akmal.junaidi@fmipa@unila.ac.id'}, {'id': None, 'name': {'family': 'Aristoteles', 'honourific': None, 'lineage': None, 'given': 'Aristoteles'}}, {'id': 'yunda.heningtyas89@gmail.com', 'name': {'family': 'Heningtyas', 'honourific': None, 'lineage': None, 'given': 'Yunda'}}, {'name': {'family': 'Oktarinaldi', 'honourific': None, 'lineage': None, 'given': 'Ragananda Diki'}, 'id': None}]",,,322676,disk0/00/03/88/38,2022-01-31 00:00:00.000000000,patent,['FMIPA3'],,"[{'docid': 159980, 'main': 'sertifikat_EC00202207377.pdf', 'files': [{'objectid': 159980, 'uri': 'http://repository.lppm.unila.ac.id/id/file/438684', 'datasetid': 'document', 'filesize': 2073675, 'mime_type': 'application/pdf', 'fileid': 438684, 'hash': '8bbddbc8982532835e98275f7e3e41f7', 'filename': 'sertifikat_EC00202207377.pdf', 'mtime': '2022-02-02 02:25:06', 'hash_type': 'MD5'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/159980', 'rev_number': 2, 'eprintid': 38838, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",,pub,,public,http://repository.lppm.unila.ac.id/id/eprint/38838,2022-02-02 07:18:13,215,2022-02-02 07:18:13,,38838,published,Aplikasi Virtual Guide Gedung C Fakultas Kedokteran Universitas Lampung Menggunakan Unity 3D,https://e-hakcipta.dgip.go.id/index.php/c?code=NTgyYzc4YTIxMzM4ZTQyNGJkOTE2YzNiMjY1YjZlZGIK,show,8,,archive,2022-02-02 07:18:13,,['QA76'],Akmal Junaidi; Aristoteles; Yunda Heningtyas; Ragananda Diki Oktarinaldi,,,,,,,
6,"[{'name': {'given': 'Akmal', 'lineage': None, 'honourific': None, 'family': 'Akmal Junaidi'}, 'id': 'akmal.junaidi@fmipa@unila.ac.id'}, {'id': None, 'name': {'given': 'Aristoteles', 'lineage': None, 'family': 'Aristoteles', 'honourific': None}}, {'id': 'yunda.heningtyas89@gmail.com', 'name': {'lineage': None, 'family': 'Heningtyas', 'honourific': None, 'given': 'Yunda'}}, {'name': {'given': 'M. Doni', 'honourific': None, 'family': 'Syahtria', 'lineage': None}, 'id': None}]",,,322677,disk0/00/03/88/39,2022-01-31 00:00:00.000000000,patent,['FMIPA3'],,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/159981', 'rev_number': 2, 'format': 'text', 'pos': 1, 'files': [{'datasetid': 'document', 'filesize': 2073863, 'mime_type': 'application/pdf', 'fileid': 438691, 'filename': 'sertifikat_EC00202207378.pdf', 'hash': 'add9971a5fc46990298dba9e0eee8644', 'mtime': '2022-02-02 02:29:42', 'hash_type': 'MD5', 'objectid': 159981, 'uri': 'http://repository.lppm.unila.ac.id/id/file/438691'}], 'main': 'sertifikat_EC00202207378.pdf', 'docid': 159981, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 38839}]",,pub,,public,http://repository.lppm.unila.ac.id/id/eprint/38839,2022-02-02 07:18:15,215,2022-02-02 07:18:15,,38839,published,"Aplikasi Virtual Guide Gedung D Dan Student Center Fakultas
Ekonomi Dan Bisnis Universitas Lampung",https://e-hakcipta.dgip.go.id/index.php/c?code=MDQ3M2YxNzczMTIyOGMzMDU2MDZiMzE1NGFmZjA0MDgK,show,8,,archive,2022-02-02 07:18:15,,['QA76'],Akmal Junaidi; Aristoteles; Yunda Heningtyas; M. Doni Syahtria,,,,,,,
7,"[{'name': {'given': 'Aristoteles', 'family': 'Aristoteles', 'honourific': None, 'lineage': None}, 'id': None}, {'id': 'akmal.junaidi@fmipa@unila.ac.id', 'name': {'given': 'Akmal', 'family': 'Akmal Junaidi', 'honourific': None, 'lineage': None}}, {'name': {'honourific': None, 'family': 'Heningtyas', 'lineage': None, 'given': 'Yunda'}, 'id': 'yunda.heningtyas89@gmail.com'}, {'id': None, 'name': {'family': 'Gunawan', 'honourific': None, 'lineage': None, 'given': 'Deja'}}]",,,322810,disk0/00/03/88/41,2022-01-31 00:00:00.000000000,patent,['FMIPA3'],,"[{'main': 'sertifikat_EC00202207511.pdf', 'docid': 159983, 'files': [{'filesize': 2073526, 'datasetid': 'document', 'mtime': '2022-02-02 02:36:28', 'hash_type': 'MD5', 'filename': 'sertifikat_EC00202207511.pdf', 'hash': '61cbf9a2505cecb396b06184e65d0bef', 'fileid': 438705, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/438705', 'objectid': 159983}], 'format': 'text', 'pos': 1, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159983', 'eprintid': 38841, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",,pub,,public,http://repository.lppm.unila.ac.id/id/eprint/38841,2022-02-02 07:18:19,215,2022-02-02 07:18:19,,38841,published,"Aplikasi Virtual Guide Gedung E Fakultas Ilmu Sosial Dan Ilmu
Politik Universitas Lampung",https://e-hakcipta.dgip.go.id/index.php/c?code=OGQ2OTZiZGEwYWJmYzZmYWViZjVmZTAzYWNjNTFiMDEK,show,9,,archive,2022-02-02 07:18:19,,['QA76'],Aristoteles; Akmal Junaidi; Yunda Heningtyas; Deja Gunawan,,,,,,,
8,"[{'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Aristoteles', 'given': 'Aristoteles'}}, {'name': {'family': 'Akmal Junaidi', 'honourific': None, 'lineage': None, 'given': 'Akmal'}, 'id': 'akmal.junaidi@fmipa@unila.ac.id'}, {'name': {'lineage': None, 'family': 'Heningtyas', 'honourific': None, 'given': 'Yunda'}, 'id': 'yunda.heningtyas89@gmail.com'}, {'id': None, 'name': {'given': 'M lqbal', 'family': 'Nugraha', 'honourific': None, 'lineage': None}}]",,,322809,disk0/00/03/88/40,2022-01-31 00:00:00.000000000,patent,['FMIPA3'],,"[{'eprintid': 38840, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'sertifikat_EC00202207510.pdf', 'docid': 159982, 'files': [{'hash': '4b5e6fa008b5ab0117f18eba17d2e685', 'filename': 'sertifikat_EC00202207510.pdf', 'mtime': '2022-02-02 02:33:13', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 438698, 'filesize': 2073715, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/438698', 'objectid': 159982}], 'format': 'text', 'pos': 1, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159982'}]",,pub,,public,http://repository.lppm.unila.ac.id/id/eprint/38840,2022-02-02 07:18:17,215,2022-02-02 07:18:17,,38840,published,Aplikasi Virtual Guide Gedung D Fakultas Kedokteran Universitas Lampung Menggunakan Unity 3D,https://e-hakcipta.dgip.go.id/index.php/c?code=NzkyNWI3YmI3ODlmMDBlMTE2ZmVlMDhhMmYxYmQyYzkK,show,9,,archive,2022-02-02 07:18:17,,['QA76'],Aristoteles; Akmal Junaidi; Yunda Heningtyas; M lqbal Nugraha,,,,,,,
9,"[{'name': {'given': 'Aristoteles', 'lineage': None, 'family': 'Aristoteles', 'honourific': None}}, {'name': {'given': 'Rafii Utama', 'family': 'Ariq', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Rizqon Akhyar', 'lineage': None, 'honourific': None, 'family': 'Awfa'}}, {'name': {'lineage': None, 'family': 'Ayuning', 'honourific': None, 'given': 'Rizqi Rahmayanti'}}, {'name': {'honourific': None, 'family': 'Maulida', 'lineage': None, 'given': 'Melvina Putri'}}, {'name': {'honourific': None, 'family': 'Monique', 'lineage': None, 'given': 'Permata Sari Santos'}}, {'name': {'family': 'Muhammad', 'honourific': None, 'lineage': None, 'given': 'Chaidar Al'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Mutiara', 'given': 'Putri Adisa'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Rigasmi', 'given': 'Ihklayani'}}]",P-ISSN : 2776-3749 E-ISSN : 2808-1412,Jurnal Buguh,https://doi.org/10.23960/buguh.v2n1.772,disk0/00/04/17/64,2022-03-31 00:00:00.000000000,article,['FMIPA3'],Badan Pengelola KKN UNila,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 41764, 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163427', 'format': 'text', 'pos': 1, 'files': [{'mime_type': 'application/pdf', 'fileid': 461465, 'hash': 'f7e4bbb29ff2139ea658b32709099a15', 'filename': 'jb21-08 (1).pdf', 'hash_type': 'MD5', 'mtime': '2022-05-23 14:09:06', 'datasetid': 'document', 'filesize': 965755, 'objectid': 163427, 'uri': 'http://repository.lppm.unila.ac.id/id/file/461465'}], 'docid': 163427, 'main': 'jb21-08 (1).pdf'}]",1.0,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/41764,2022-05-24 04:51:42,215,2022-05-24 04:51:42,53-60,41764,published,SOSIALISASI KESEHATAN DAN PENTINGNYA EDUKASI POLA HIDUP BERSIH DAN SEHAT (PHBS) BAGI WARGA KELURAHAN BERINGIN RAYA,https://jurnalbuguh.unila.ac.id/index.php/buguh/article/view/772/34,show,9,2.0,archive,2022-05-24 04:51:42,"Kuliah   Kerja   Nyata   (KKN)   merupakan   suatu   kegiatan   pengabdian   mahasiswa   kepada   masyarakat   dengan menggunakan pendekatan lintas keilmuan dan sektoral yang didapatkan melalui pembelajaran didalam kelas. KKN dilaksanakan oleh Perguruan Tinggi sebagai upaya meningkatkan isi dan bobot pendidikan bagi mahasiswa dan untuk mendapatkan  nilai  tambah  yang  lebih  besar  pada  pendidikan  tinggi.  Pelaksanaan  KKN  di  masa  pandemi  seperti sekarang ini memberikan tantangan tersendiri bagi mahasiswa KKN Periode 1 Tahun 2022. Salah satu Program Kuliah Kerja Nyata yang kami laksanakan ialah melalui sosialisasi dan edukasi kesehatan yang bertujuan untuk mengurangi kepanikan masyarakat dan pengetahuan terkait Covid-19, yang mana hingga saat ini selalu bertambah variasi virusnya. Populasi  dan  sampel  dalam  penelitian  ini  masyarakat  dan  siswa/i  di  lokasi  pelaksanaan  KKN  mahasiswa.  Metode pengumpulan  data  yang  digunakan  adalah  Wawancara,  Observasi,  Diskusi  dan  Dokumentasi.  Dari  hasil  penelitian diperoleh bahwa masyarakat dapat menerapkan pola hidup sehat dan menjaga kesehatan di masa pandemi. Dibuatnya artikel  ini  sebagai  bentuk  dari  salah  satu  hasil  pengabdian  yang  telah  dilaksanakan  oleh  Mahasiswa  KKN  Desa Beringin Raya Periode 1 Tahun 2022",['L1'],,,,,,,,
