,subjects,abstract,eprint_status,status_changed,rev_number,volume,metadata_visibility,title,date_type,eprintid,datestamp,lastmod,userid,full_text_status,uri,refereed,number,ispublished,documents,divisions,type,date,dir,publication,creators,pagerange,issn,funders,official_url,projects,publisher,corp_creators,contact_email,related_url,pres_type,event_location,event_title,event_dates,event_type
0,['AC'],"Influence of C-methyl-4,10,16,22-tetramethoxy calix[4]arene compound as inhibitor of calcium sulphate scale formation has been studied
using seeded experiment method. The results show that C-methyl-4,10,16,22-tetramethoxy calix[4]arene as calix[4]arene derived compound
inhibits a formation of calcium sulphate crystals at a concentration of growth solution of 0.1 M and at various inhibitor concentrations of
0-150 ppm. The ability of C-methyl-4,10,16,22-tetramethoxy calix[4]arene as inhibitor of the formation of calcium sulphate scale is
optimum in inhibiting growth rate of CaSO
4
Keywords: Tetramethoxycalixarene, CaSO
4
 scale formation is 50 ppm at 80 ºC.
, Inhibitor, Scaling.",archive,2016-06-30 02:47:42,6,26.0,show,Influence of Calix[4]arene Derived Compound on Calcium Sulphate Scale Formation,published,30,2016-06-30 02:47:42,2016-06-30 02:47:42,1,public,http://repository.lppm.unila.ac.id/id/eprint/30,TRUE,18.0,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 30, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/50', 'format': 'text', 'pos': 1, 'files': [{'filesize': 1209135, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2016-06-30 02:42:16', 'filename': 'AJC Hibah Vol. 26 18 2014(2).pdf', 'hash': '9416bc9d50086457924a5388a8c835f8', 'fileid': 198, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/198', 'objectid': 50}], 'docid': 50, 'main': 'AJC Hibah Vol. 26 18 2014(2).pdf'}]",['FMIPA4'],article,2014-02-01 00:00:00.000000000,disk0/00/00/00/30,Asian Journal of Chemistry,"[{'name': {'given': 'Suharso', 'lineage': None, 'family': '.', 'honourific': None}, 'id': 'suharso_s@yahoo.com'}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': '.', 'given': 'Buhani'}}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Aprilia', 'given': 'L'}}]",,,,,,,,,,,,,,
1,['Q1'],"A new aaptamine class alkaloid, designated
2-methoxy-3-oxoaaptamine (1), together with seven known
aaptamines (2–8) were isolated from a marine sponge of
Aaptos sp. as anti-mycobacterial substances against active
and dormant bacilli. The chemical structure of 1 was
determined on the basis of spectroscopic analysis. Com�pound 1 was anti-mycobacterial against Mycobacterium
smegmatis in both active growing and dormancy-inducing
hypoxic conditions with a minimum inhibitory concentra�tion (MIC) of 6.25 lg/ml, and compounds 2, 5, 6, and 7
showed anti-mycobacterial activities under hypoxic con�dition selectively, with MIC values of 1.5–6.25 lg/ml.
Keywords Aaptamine � Marine sponge �
Anti-mycobacterial activity � Dormant � Tuberculosis",archive,2021-06-09 01:01:25,7,68.0,show,"Aaptamines, marine spongean alkaloids, as anti-dormant
mycobacterial substances",published,32373,2021-06-09 01:01:25,2021-06-09 01:01:25,945,public,http://repository.lppm.unila.ac.id/id/eprint/32373,TRUE,2.0,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 32373, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/383103', 'objectid': 146854, 'filesize': 223267, 'datasetid': 'document', 'hash': '6c6fdae3b2668758c09628794419a778', 'filename': 'Jurnal 2014-3.pdf', 'mtime': '2021-06-09 00:52:56', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 383103}], 'docid': 146854, 'main': 'Jurnal 2014-3.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/146854', 'pos': 1, 'format': 'text'}]",['FMIPA4'],article,2014-04-01 00:00:00.000000000,disk0/00/03/23/73,J Nat Med,"[{'id': 'araim@phs.osaka-u.ac.jp', 'name': {'lineage': None, 'family': 'Arai', 'honourific': None, 'given': 'Masayoshi'}}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Han', 'given': 'Chisu'}}, {'name': {'given': 'Yoshi', 'lineage': None, 'family': 'Yamano', 'honourific': None}, 'id': None}, {'id': 'andi.setiawan@fmipa.unila.ac.id', 'name': {'lineage': None, 'family': 'Setiawan', 'honourific': None, 'given': 'Andi'}}, {'name': {'lineage': None, 'family': 'Kobayashi', 'honourific': None, 'given': 'Motomasa'}, 'id': 'kobayasi@phs.osaka-u.ac.jp'}]",372-376,"13403443, 18610293","['the Hoansha Foundation, the Uehara Memorial Foundation, Grant-in-Aid for scientific research from the Ministry of Education, Culture, Sports, Science and Technology of Japan']",https://pubmed.ncbi.nlm.nih.gov/24414399/,['research collaboration'],The Japanese Society of Pharmacognosy and Springer Japan,"['Lampung University', 'Osaka University']",,,,,,,
2,['Q1'],"n the course of our search for hypoxia-selective growth inhibitors against cancer 
cells, a sesquiterpene phenol, dictyoceratin-C (1), was isolated from the Indonesian 
marine sponge of Dactylospongia elegans under the guidance of the constructed 
bioassay. Dictyoceratin-C (1) inhibited proliferation of human prostate cancer DU145 
cells selectively under hypoxic condition in a dose-dependent manner at the 
concentrations ranging from 1.0 to 10 M. The subsequent structure-activity 
relationship study using nine sesquiterpene phenol/quinones (2-10), which were isolated 
from marine sponge, was executed. We found that smenospondiol (2) also exhibited the 
similar hypoxia-selective growth inhibitory activity against DU145 cells, and the 
para-hydroxybenzoyl ester moiety would be important for hypoxia-selective growth 
inhibitory activity of 1. In addition, the mechanistic analysis of dictyoceratin-C (1) 
revealed that the 10 M of 1 inhibited accumulation of Hypoxia-Inducible Factor-1
under hypoxic condition.",archive,2021-06-06 14:34:23,9,24.0,show,"Marine spongian sesquiterpene phenols, dictyoceratin-C and smenospondiol, display hypoxia-selective growth inhibition against cancer cells",published,32121,2021-06-06 14:34:23,2021-06-06 14:34:23,945,public,http://repository.lppm.unila.ac.id/id/eprint/32121,TRUE,14.0,pub,"[{'security': 'public', 'placement': 1, 'eprintid': 32121, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'datasetid': 'document', 'filesize': 526489, 'fileid': 380128, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-06-06 05:35:56', 'hash': 'aff7bebd9c7043eeee4ed57c4165fa6d', 'filename': 'Jurnal 2014-2.pdf', 'objectid': 145601, 'uri': 'http://repository.lppm.unila.ac.id/id/file/380128'}], 'main': 'Jurnal 2014-2.pdf', 'docid': 145601, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/145601', 'format': 'text', 'pos': 1}]",['FMIPA4'],article,2014-07-15 00:00:00.000000000,disk0/00/03/21/21,Bioorganic & Medicinal Chemistry Letters,"[{'name': {'given': 'Masayoshi', 'honourific': None, 'family': 'Arai', 'lineage': None}, 'id': 'araim@phs.osaka-u.ac.jp'}, {'id': None, 'name': {'given': 'Takashi', 'lineage': None, 'family': 'Kawachi', 'honourific': None}}, {'id': None, 'name': {'given': 'hiroki', 'family': 'sato', 'honourific': None, 'lineage': None}}, {'id': 'andi.setiawan@fmipa.unila.ac.id', 'name': {'given': 'Andi', 'family': 'Setiawan', 'honourific': None, 'lineage': None}}, {'id': 'kobayasi@phs.osaka-u.ac.jp', 'name': {'family': 'Kobayashi', 'honourific': None, 'lineage': None, 'given': 'Motomasa'}}]",3155-3157,"0960894X, 14643405","['the Hoansha Foundation, the Uehara Memorial  Foundation, the Naito Foundation, and Osaka University Project MEET for financial  support. This study was also financially supported by Grant-in-Aid for scientific  research from the Ministry of Education, Cul']",http://doi:10.1016/j.bmcl.2014.04.116,['research collaboration'],Elsevier Ltd.,"['Lampung University', 'Osaka University']",,,,,,,
3,['Q1'],"In the course of our search for hypoxia-selective growth inhibitors against cancer 
cells, a sesquiterpene phenol, dictyoceratin-C (1), was isolated from the Indonesian 
marine sponge of Dactylospongia elegans under the guidance of the constructed 
bioassay. Dictyoceratin-C (1) inhibited proliferation of human prostate cancer DU145 
cells selectively under hypoxic condition in a dose-dependent manner at the 
concentrations ranging from 1.0 to 10 M. The subsequent structure-activity 
relationship study using nine sesquiterpene phenol/quinones (2-10), which were isolated 
from marine sponge, was executed. We found that smenospondiol (2) also exhibited the 
similar hypoxia-selective growth inhibitory activity against DU145 cells, and the 
para-hydroxybenzoyl ester moiety would be important for hypoxia-selective growth 
inhibitory activity of 1. In addition, the mechanistic analysis of dictyoceratin-C (1) 
revealed that the 10 M of 1 inhibited accumulation of Hypoxia-Inducible Factor-1
under hypoxic condition.
Key words: dictyoceratin-C; smenospondiol; HIF-1; hypoxia; cancer; Dactylospongia 
elegan",archive,2021-06-09 01:01:22,7,24.0,show,"Marine spongian sesquiterpene phenols, dictyoceratin-C and smenospondiol, display hypoxia-selective growth inhibition against cancer cells",published,32372,2021-06-09 01:01:22,2021-06-09 01:01:22,945,public,http://repository.lppm.unila.ac.id/id/eprint/32372,TRUE,14.0,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 32372, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'filename': 'Jurnal 2014-2.pdf', 'hash': 'aff7bebd9c7043eeee4ed57c4165fa6d', 'hash_type': 'MD5', 'mtime': '2021-06-09 00:40:54', 'mime_type': 'application/pdf', 'fileid': 383096, 'filesize': 526489, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/383096', 'objectid': 146853}], 'main': 'Jurnal 2014-2.pdf', 'docid': 146853, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/146853', 'pos': 1, 'format': 'text'}]",['FMIPA4'],article,2014-07-15 00:00:00.000000000,disk0/00/03/23/72,Bioorganic & Medicinal Chemistry Letters,"[{'id': 'araim@phs.osaka-u.ac.jp', 'name': {'given': 'Masayoshi', 'lineage': None, 'family': 'Arai', 'honourific': None}}, {'id': None, 'name': {'given': 'Takashi', 'lineage': None, 'family': 'Kawachi', 'honourific': None}}, {'id': None, 'name': {'lineage': None, 'family': 'sato', 'honourific': None, 'given': 'hiroki'}}, {'id': 'andi.setiawan@fmipa.unila.ac.id', 'name': {'given': 'Andi', 'lineage': None, 'family': 'Setiawan', 'honourific': None}}, {'name': {'given': 'Motomasa', 'lineage': None, 'honourific': None, 'family': 'Kobayashi'}, 'id': 'kobayasi@phs.osaka-u.ac.jp'}]",3155-3157,"0960894X, 14643405","['the Hoh-ansha Foundation, the Uehara Memorial Foundation, and the Naito Foundation for financial support. This study was also financially supported by a Grant-in-Aid for Scientific Research from the Min�istry of Education, Culture, Sports, Science, and Te']",https://pubmed.ncbi.nlm.nih.gov/24865416/,['research collaboration'],Elsevier Ltd,"['Lampung University', 'Osaka University']",,,,,,,
4,['Q1'],"A new aaptamine class alkaloid, designated
2-methoxy-3-oxoaaptamine (1), together with seven known
aaptamines (2–8) were isolated from a marine sponge of
Aaptos sp. as anti-mycobacterial substances against active and dormant bacilli. The chemical structure of 1 was determined on the basis of spectroscopic analysis. Com�pound 1 was anti-mycobacterial against Mycobacterium
smegmatis in both active growing and dormancy-inducing
hypoxic conditions with a minimum inhibitory concentra�tion (MIC) of 6.25 lg/ml, and compounds 2, 5, 6, and 7 showed anti-mycobacterial activities under hypoxic con�dition selectively, with MIC values of 1.5–6.25 lg/ml",archive,2021-06-06 14:34:44,7,68.0,show,"Aaptamines, marine spongean alkaloids, as anti-dormant
mycobacterial substances",published,32123,2021-06-06 14:34:44,2021-06-06 14:34:44,945,public,http://repository.lppm.unila.ac.id/id/eprint/32123,TRUE,2.0,pub,"[{'docid': 145608, 'main': 'Jurnal 2014-3.pdf', 'files': [{'mtime': '2021-06-06 05:49:08', 'hash_type': 'MD5', 'filename': 'Jurnal 2014-3.pdf', 'hash': '6c6fdae3b2668758c09628794419a778', 'fileid': 380149, 'mime_type': 'application/pdf', 'filesize': 223267, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/380149', 'objectid': 145608}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/145608', 'eprintid': 32123, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",['FMIPA4'],article,2014-01-12 00:00:00.000000000,disk0/00/03/21/23,J Nat Med,"[{'name': {'given': 'Masayoshi', 'honourific': None, 'family': 'Arai', 'lineage': None}, 'id': 'araim@phs.osaka-u.ac.jp'}, {'name': {'given': 'chisu', 'family': 'han', 'honourific': None, 'lineage': None}, 'id': None}, {'id': None, 'name': {'family': 'Yamano', 'honourific': None, 'lineage': None, 'given': 'Yoshi'}}, {'name': {'family': 'Setiawan', 'honourific': None, 'lineage': None, 'given': 'Andi'}, 'id': 'andi.setiawan@fmipa.unila.ac.id'}, {'name': {'family': 'Kobayashi', 'honourific': None, 'lineage': None, 'given': 'Motomasa'}, 'id': 'kobayasi@phs.osaka-u.ac.jp'}]",372-376,"13403443, 18610293","['Hoansha Foundation and Grant-in-Aid for scientific research from the Ministry of Education, Culture, Sports, Science, and Technology of Japan.']",https://doi: 10.1007/s11418-013-0811-y.,['research collaboration'],The Japanese Society of Pharmacognosy and Springer Japan,"['Lampung University', 'Osaka University']",,,,,,,
5,['QD'],"Sesbania grandiflora, sejenis pokok setinggi 15 m, adalah tumbuhan ubatan tradisional yang telah dikutip dari daerah Lampung Selatan, Indonesia. Beberapa sebatian baru dan telah dikenal pasti disisihkan dari akar pokok ini. Semua sebatian tersebut dikenal pasti sebagai satu sebatian jenis terpenoid, asid betulinik (81), sepuluh flavonoid, malindonesianin A-C (82, 86, 88), xenognosin B (83), likuiritigenin (84), 7,2’,4’-trihidroksiisoflavon (85), demetilvestitol (87), vestitol (89), medikarpin (90), sativan (91), dan satu sebatian jenis biaril, l,l’-binaftalen-2,2’-diol (92). Tiga sebatian (82, 86, 88) dikenal pasti sebagai dimer isoflavonoid baru, manakala satu sebatian (92) dikenali sebagai sebatian semulajadi biaril baru. 

Kalkon merupakan pemula biosintetik penting disebabkan kepelbagaian aktiviti farmakologinya. Kajian ini bertujuan untuk mensintesis 28 terbitan baru kalkon, melalui penggabungan p-alkoksi asetofenon dengan benzaldehid, menggunakan alkilasi dan kondensasi Claisen-Schmidt dengan bes sebagai mangkin. Semua sebatian terbitan dicirikan dengan menggunakan IR, 1D NMR (1H dan 13C NMR), 2D NMR (COSY, HMQC, HMBC) dan spektrometri jisim. 

Semua sebatian semulajadi dan terbitan baru telah disaring secara in vitro bagi mengesan aktiviti antituberkulosis terhadap strain Mycobacterium tuberculosis. Di antara sebatian semulajadi, aktiviti antituberkulosis yang ketara terhadap Mycobacterium tuberculosis telah ditunjukkan oleh sebatian 92 dengan nilai MIC yang terendah iaitu 312.5 x 10-2 µg/mL, manakala antara sebatian terbitan tersebut, sebatian 5a, 5b, dan 5d menunjukkan aktiviti antimikrob yang amat baik dengan nilai MIC terendah iaitu 12.5 µg/mL.",archive,2022-01-10 01:12:59,7,,show,Phytochemcial Study on Sesbania grandiflora Roots and Synthesis of Selected Flavonoid precursors (Chalcone Derivatives),,37760,2022-01-10 01:12:59,2022-01-10 01:12:59,564,public,http://repository.lppm.unila.ac.id/id/eprint/37760,,,unpub,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 37760, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158688', 'pos': 1, 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'fileid': 430326, 'hash': 'd8466fa58e8d4025fdd523ddacce00f0', 'filename': 'Ph.D-Degree-Novi.pdf', 'mtime': '2022-01-08 03:23:12', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 50073, 'objectid': 158688, 'uri': 'http://repository.lppm.unila.ac.id/id/file/430326'}], 'main': 'Ph.D-Degree-Novi.pdf', 'docid': 158688}]",['FMIPA4'],other,2014-04-26 00:00:00.000000000,disk0/00/03/77/60,,"[{'name': {'lineage': None, 'family': 'Noviany', 'honourific': None, 'given': 'Noviany'}, 'id': 'noviany@fmipa.unila.ac.id'}]",,,,,,Universiti Sains Malaysia,['Universitas Lampung'],noviany@fmipa.unila.ac.id,,,,,,
6,['QD'],,archive,2022-01-10 01:13:02,7,,show,SK Penyetaraan Ijazah S3,,37761,2022-01-10 01:13:02,2022-01-10 01:13:02,564,public,http://repository.lppm.unila.ac.id/id/eprint/37761,,,unpub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158689', 'pos': 1, 'format': 'text', 'files': [{'objectid': 158689, 'uri': 'http://repository.lppm.unila.ac.id/id/file/430333', 'fileid': 430333, 'mime_type': 'application/pdf', 'mtime': '2022-01-08 03:30:59', 'hash_type': 'MD5', 'filename': 'SK Penyetaraan_Noviany.pdf', 'hash': 'a02eba9b3699644ffe806073801a5db4', 'datasetid': 'document', 'filesize': 82936}], 'docid': 158689, 'main': 'SK Penyetaraan_Noviany.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 37761}]",['FMIPA4'],other,2014-05-01 00:00:00.000000000,disk0/00/03/77/61,,"[{'name': {'honourific': None, 'family': 'Noviany', 'lineage': None, 'given': 'Noviany'}, 'id': 'noviany@fmipa.unila.ac.id'}]",,,,,,Dirjen DIkti-Kemendikbud RI,['Universitas Lampung'],noviany@fmipa.unila.ac.id,,,,,,
7,['QD'],,archive,2022-01-10 01:13:00,7,,show,Transkrip Akademik S3,,37762,2022-01-10 01:13:00,2022-01-10 01:13:00,564,public,http://repository.lppm.unila.ac.id/id/eprint/37762,,,unpub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 37762, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158690', 'docid': 158690, 'main': 'Academic Transcript of Ph-D.pdf', 'files': [{'datasetid': 'document', 'filesize': 739982, 'fileid': 430340, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-01-08 03:34:47', 'hash': '165f2ec3d910e3ac6ab6105d80735835', 'filename': 'Academic Transcript of Ph-D.pdf', 'objectid': 158690, 'uri': 'http://repository.lppm.unila.ac.id/id/file/430340'}]}]",['FMIPA4'],other,2014-04-26 00:00:00.000000000,disk0/00/03/77/62,,"[{'id': 'noviany@fmipa.unila.ac.id', 'name': {'honourific': None, 'family': 'Noviany', 'lineage': None, 'given': 'Noviany'}}]",,,,,,Universiti Sains Malaysia,['Universitas Lampung'],noviany@fmipa.unila.ac.id,,,,,,
8,['QD'],"Lipase is a hydrolytic enzyme that has an important role in the biotechnology industries. This is due to its ability to catalyze multiple organic reactions such as hydrolysis, esterification, interesterification, transesterification and synthesis reactions. Research for inventing novel lipase with unique properties i.e. thermostable lipase is still being carried out by using several approaches. One of the method is by metagenomic approach which is directly amplifying lipase gene from natural resources. Hence the aim of this research is to design a primers to amplify lipase gene fragments from environmental samples. The study was conducted through bioinformatics analysis of lipase database from GeneBank, selection of conserved region of the whole lipase genes, primers and in silico analysis by using Clustal X, Gendoc, Primer Detective and GenMon softwares. 68 amino acid sequences from 68 bacteria genus were used to obtain the conserved region of lipase gene. The results showed that there are 4 conserved regions, namely one, second, third and fourth region.  The best primer pair was obtained from second and fourth regions, and resulted lipase gene fragments for approximately 570 bp. Based on in silico study indicated that the primers amplify some group of bacteria.  Therefore, we conclude the primer can be used to amplify lipase gene fragments  from environmental sample in the form of a mixture of lipase gene fragments from various bacteria. Several lipase fragments were detected on polyacrylamide gel after separation of PCR mixtures by using DGGE apparatus.",archive,2016-12-29 01:06:34,8,,show,"INTERNAL PRIMER DESIGN FOR DIVERSITY STUDY
OF THERMOSTABLE LIPASE GENE FRAGMENT
FROM ENVIRONMENTAL SAMPLE",published,1312,2016-12-29 01:06:34,2016-12-29 01:06:34,452,public,http://repository.lppm.unila.ac.id/id/eprint/1312,TRUE,,pub,"[{'main': 'Prosiding semnas biokim-nur.pdf', 'docid': 1187, 'files': [{'filesize': 3418691, 'datasetid': 'document', 'filename': 'Prosiding semnas biokim-nur.pdf', 'hash': 'af8a1f06218b07520a18b8a42c8cf984', 'mtime': '2016-12-14 02:38:23', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 8801, 'uri': 'http://repository.lppm.unila.ac.id/id/file/8801', 'objectid': 1187}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1187', 'eprintid': 1312, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",['FMIPA4'],article,2014-05-22 00:00:00.000000000,disk0/00/00/13/12,Prosiding Seminar Nasional Biokimia 2014,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Nurhasanah', 'given': 'Nurhasanah'}, 'id': 'nurhasanah_12@yahoo.co.id'}, {'name': {'given': 'Santi', 'lineage': None, 'family': 'Nurbaiti', 'honourific': None}, 'id': 'aan@chem.itb.ac.id'}, {'name': {'given': 'Fida', 'lineage': None, 'honourific': None, 'family': 'Madayanti'}, 'id': 'Fida@chem.itb.ac.id'}, {'id': 'Loka@chem.itb.ac.id', 'name': {'honourific': None, 'family': 'Akhmaloka', 'lineage': None, 'given': 'Akhmaloka'}}]",1-5,ISBN 978-602-98506-1-1,,,,Prodi Kimia Fakultas Sains dan Teknologi UIN Syarif Hidayatullah,,nurhasanah_12@yahoo.co.id,[{'type': 'pub'}],,,,,
9,['QD'],"Ciliwung is one of important and big rivers running from West Java Province to Jakarta Bay.  Rapid development accompanied by high industrialization, enormous population growth, and increasing number of vehicle has increased hydrocarbon pollution risk. Polycyclic aromatic hydrocarbons (PAHs), one class of hydrocarbons, have an adverse effect on human health due to their high toxicity, mutagenic, carcinogenic and persistent in the environment.  The main objectives of this study were to identify and quantify of sedimentary PAHs of Ciliwung River in Jakarta.  Freeze-dried sediment sample was extracted with a pressurized fluid extraction, purified by two-step of column chromatography, and concentrated by rotary evaporator.  Extract was identified and quantified by gas chromatography-mass spectrometry (GC-MS).  The result showed relatively abundant alkyl PAHs, and a considerable amount of high molecular weight PAHs, suggesting the input of both petrogenic and pyrogenic sources. Concentration of PAHs detected ranged from  69,6 to 1415 ng/g where a total concentration of PAHs was 10.196 ng/g. The high concentration of PAHs is one indicator of organic pollutants in Ciliwung River.",archive,2018-02-28 08:24:44,8,,show,"IDENTIFIKASI DAN PENENTUAN KADAR HIDROKARBON POLISIKLIK AROMATIK (PAH) PADA SEDIMEN SUNGAI CILIWUNG 
(IDENTIFICATION AND DETERMINATION OF SEDIMENTARY POLYCYCLIC AROMATIC HYDROCARBONS (PAHS) IN CILIWUNG RIVER)",published,6547,2018-02-28 08:24:44,2018-02-28 08:24:44,489,public,http://repository.lppm.unila.ac.id/id/eprint/6547,TRUE,,pub,"[{'eprintid': 6547, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Rinawati_Semirata IPB 2014.pdf', 'docid': 19497, 'files': [{'mtime': '2018-02-27 09:10:15', 'hash_type': 'MD5', 'hash': '3b0bf16a31c1a5197174ec2630969d83', 'filename': 'Rinawati_Semirata IPB 2014.pdf', 'fileid': 60496, 'mime_type': 'application/pdf', 'filesize': 1115928, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/60496', 'objectid': 19497}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19497', 'rev_number': 1}]",['FMIPA4'],conference_item,2014-05-01 00:00:00.000000000,disk0/00/00/65/47,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Rinawati', 'given': 'Rinawati'}, 'id': 'rinawati@fmipa.unila.ac.id'}, {'id': 'shige@cc.tuat.ac.jp', 'name': {'honourific': None, 'family': 'Takada', 'lineage': None, 'given': 'Hideshige'}}]",73-78,,,https://drive.google.com/drive/folders/0B1QyMl32aMpWfjZSbTc3bnFGWFhSZW10a2UxbURvYk9EZTNMWXpXOHdfbkVQcGI0dWtZTWs,,,,,,paper,IPB,"Semirata Bidang MIPA BKS PTN Barat, Bogor",9-11 Mei 2014,conference
