,date_type,eprintid,metadata_visibility,rev_number,title,abstract,subjects,status_changed,eprint_status,id_number,dir,date,creators,patent_applicant,divisions,type,full_text_status,uri,documents,ispublished,datestamp,lastmod,userid,pagerange,publisher,number,refereed,issn,publication,official_url,volume,pres_type,event_type,event_dates,event_location,event_title,funders,corp_creators,pages,related_url,place_of_pub,contact_email,projects,contributors,referencetext,keywords,isbn,editors
0,published,7044,show,7,ADSORBEN SELEKTIF LOGAM Pb DARI HIBRIDA AMINO-SILIKA TERCETAK ION DAN METODE PEMBUATANNYA,"Invensi ini berhubungan dengan komposisi dan metode pembuatan adsorben selektif logam Pb dari senyawa aktif 3-APTMS dengan silika sebagai matriks dan dilanjutkan dengan proses pencetakan ion Pb(II) untuk menghasilkan adsorben yang selektif terhadap Pb. Kemampuan material hibrida amino-silika tercetak ion Pb(II) (Pb(II)-IIP) sebagai adsorben pada invensi ini telah diuji selektivitas adsorpsinya dengan serangkaian eksperimen menggunakan metoda bacth. Pada penggunaan adsorben sebanyak 50 mg terhadap 20 mL larutan yang mengandung pasangan ion: Pb(II)/Zn(II); Pb(II)/Ni(II); Pb(II)/Cd(II) dengan perbandingan konsentrasi masing-masing ion logam sebesar 0,5 mmol/L, waktu interaksi selama 60 menit, pH interaksi 5, dan temperatur 27οC. Hasil koefisien selektivitas adsorpsi (α) masing-masing pasangan ion Pb(II)/Zn(II); Pb(II)/Ni(II); Pb(II)/Cd(II) adalah: 1,23; 3,00; 2,75 yang menunjukkan bahwa adsorben Pb(II)-IIP sangat selektif terhadap ion Pb(II) jika dikompetisikan dengan ion Zn(II), Ni(II), dan Cd(II) dalam larutan.",['QD'],2018-06-07 03:32:09,archive,P00201709590,disk0/00/00/70/44,2018-01-08,"[{'id': 'buhani_s@yahoo.co.id', 'name': {'lineage': None, 'family': '.', 'honourific': None, 'given': 'Buhani'}}, {'id': 'suharso_s@yahoo.com', 'name': {'family': '.', 'honourific': None, 'lineage': None, 'given': 'Suharso'}}]",Paten,['FMIPA4'],patent,public,http://repository.lppm.unila.ac.id/id/eprint/7044,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 7044, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/20015', 'main': 'Paten-Buhani  (2017) dan surat pemberitahuan paten.pdf', 'docid': 20015, 'files': [{'filesize': 699849, 'datasetid': 'document', 'mtime': '2018-06-07 03:09:42', 'hash_type': 'MD5', 'filename': 'Paten-Buhani  (2017) dan surat pemberitahuan paten.pdf', 'hash': '00543124d6a2d9e6e6637fd7378c1049', 'fileid': 64421, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/64421', 'objectid': 20015}]}]",pub,2018-06-07 03:32:09,2018-06-07 03:32:09,1094,,,,,,,,,,,,,,,,,,,,,,,,,
1,published,11261,show,6,"PEMBUATAN KOMPOS DARI LIMBAH PERTANIAN SEBAGAI SOLUSI
PENGADAAN PUPUK SECARA MANDIRI OLEH MASYARAKAT
DI DESA WAY TUBA DAN CAMPUR ASRI KABUPATEN WAY KANAN","Waste management based on community participation that aims to implement the 4Rp concept
(Reduce, Reuse, Recycle, Replace, Participation) has been implemented through the Regional
Partnership Program (PKW) of Ministry of Research, Technology and Higher Education, by the
PKW Team from the University of Lampung, in collaboration with Polinela and Government of Way
Kanan District through the Environmental Services. This program was performed to manage the
agricultural waste independently by the communities to reduce the amount of midden that must be
managed at the landfill and it can provide an economic added value. These activities have been
carried out in two villages, namely Way Tuba Village – Sub-district of Gunung Labuhan and Campur
Asri Village, Sub-district of Baradatu, which have potency of the agricultural waste in Way Kanan
District. In general, the results of these activities have increased community participation and
knowledge of the paradigm of waste and waste management with the concept of the 4 Rp,
procurement of fertilizers/compost independently, as well as being a pioneer of waste management
based on active participation from the community. In addition, this program has provided solutions
to the community to produce fertilizers/compost independently, either to be used for their own
needs or sold to meet fertilizer/compost needs in the surrounding environment.
Keywords: Waste management, 4RP method, compost.",['QD'],2019-04-29 08:15:16,archive,,disk0/00/01/12/61,2018-10,"[{'id': 'buhani_s@yahoo.co.id', 'name': {'lineage': None, 'family': '.', 'honourific': None, 'given': 'Buhani'}}, {'id': 'suharso_s@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': '.', 'given': 'Suharso'}}, {'id': None, 'name': {'family': 'Noviadi', 'honourific': None, 'lineage': None, 'given': 'Riko'}}]",,['FMIPA4'],article,public,http://repository.lppm.unila.ac.id/id/eprint/11261,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/24268', 'rev_number': 1, 'main': '27730-75676592458-1-PB(1).pdf', 'docid': 24268, 'files': [{'objectid': 24268, 'uri': 'http://repository.lppm.unila.ac.id/id/file/102656', 'fileid': 102656, 'mime_type': 'application/pdf', 'mtime': '2019-04-24 00:56:43', 'hash_type': 'MD5', 'hash': '2da23b027dbf1323bd087bfa62f2599d', 'filename': '27730-75676592458-1-PB(1).pdf', 'datasetid': 'document', 'filesize': 1027107}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 11261, 'placement': 1, 'security': 'public'}]",pub,2019-04-29 08:15:16,2019-04-29 08:15:16,1067,45-53,Universitas Tanjung Pura,2.0,TRUE,2620 – 4665,Jurnal Pengabdi Untan,http://jurnal.untan.ac.id/index.php/JPLP2KM,1,,,,,,,,,,,,,,,,,
2,,9500,show,7,Pemanfaatan Limbah Pertanian Untuk Menghasilkan Kompos sebagai Solusi Pengadaan Pupuk secara Mandiri oleh Masyarakat,"Pengelolaan sampah berbasis partisipasi masyarakat yang bertujuan untuk menerapkan konsep 4Rp (Reduce, Reuse, Recycle, Replace, Participation) telah dilaksanakan melalui Program Kemitraaan Wilayah (PKW) Kemeristekdikti, oleh Tim PKW dari Universitas Lampung, bekerjasama dengan Polinela, dan Pemkab Way Kanan melalui Dinas Lingkungan hidup. Program ini dilakukan agar sampah/limbah pertanian dapat dikelola secara mandiri oleh masyarakat di tingkat sumber, dan dapat mengurangi jumlah timbulan sampah yang harus dikelola di TPS atau TPA, serta dapat memberikan nilai tambah secara ekonomi. Kegiatan ini telah dilaksanakan di dua desa, yaitu desa Campur Asri kecamatan Baradatu dan desa Way Tuba kecamatan Gunung Labuhan yang memiliki potensi sampah/limbah perkebunan dan pertanian di Kabupaten Way Kanan. Secara umum, hasil kegiatan tersebut telah meningkatkan partisipasi dan pengetahuan masyarakat terhadap paradigma tentang sampah dan pengelolaan sampah dengan konsep 4Rp, pengadaan pupuk/kompos secara mandiri, serta menjadi pelopor pengelolaan sampah berbasis partisipasi aktif dari masyarakat.  Selain itu, program ini telah memberikan solusi kepada masyarakat untuk menghasilkan pupuk/kompos secara mandiri, baik untuk digunakan untuk kebutuhan sendiri maupun dijual untuk memenuhi kebutuhan pupuk/kompos di lingkungan sekitarnya.



Kata kunci : Pengelohan sampah, Metode 4RP, Kompos.",['QD'],2018-11-05 02:53:56,archive,,disk0/00/00/95/00,2018-10-11,"[{'id': 'buhani_s@yahoo.co.id', 'name': {'given': 'Buhani', 'honourific': None, 'family': '.', 'lineage': None}}, {'name': {'lineage': None, 'family': '.', 'honourific': None, 'given': 'Suharso'}, 'id': 'suharso_s@yahoo.com'}, {'name': {'given': 'Riko', 'lineage': None, 'family': 'Noviadi', 'honourific': None}, 'id': None}]",,['FMIPA4'],conference_item,public,http://repository.lppm.unila.ac.id/id/eprint/9500,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22540', 'pos': 1, 'format': 'text', 'files': [{'objectid': 22540, 'uri': 'http://repository.lppm.unila.ac.id/id/file/90539', 'datasetid': 'document', 'filesize': 304720, 'fileid': 90539, 'mime_type': 'application/pdf', 'mtime': '2018-11-05 00:47:14', 'hash_type': 'MD5', 'hash': 'd8ad7176b643cb1d31b427f36573fad7', 'filename': 'Abstrak Seminar Nasional IPTEK- 2018.pdf'}], 'docid': 22540, 'main': 'Abstrak Seminar Nasional IPTEK- 2018.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 9500}]",unpub,2018-11-05 02:53:56,2018-11-05 02:53:56,1067,,,,TRUE,,,,,paper,conference,11 Oktober 2018,"Hotel Bukit Randu, Bandar Lampung",SEMNAS IPTEK 2018,,,,,,,,,,,,
3,published,9233,show,7,Pembuatan Karbon Aktif Fisika- Magnetit dari Cangkang Kelapa Sawit sebagai Adsorben Zat Warna Metilen Biru,"Invensi ini berhubungan dengan metode pembuatan adsorben yang bersifat magnet dari karbon aktif yang berasal cangkang kelapa sawit dengan teknik pelapisan partikel Fe3O4 (CA-Fe3O4). Material tersebut digunakan sebagai adsorben zat pewarna metilen biru (MB) untuk diaplikasikan pada pemisahan MB dari limbah industri, maupun pemisahan dan prekonsentrasi MB untuk tujuan analisis dalam rangka mereduksi penyebaran MB di lingkungan. Kemampuan material CA-Fe3O4 sebagai adsorben pada invensi ini telah diuji dengan serangkaian eksperimen adsorpsi menggunakan metoda bacth. Pada penggunaan adsorben sebanyak 50 mg terhadap 25 mL larutan MB dengan konsentrasi 400 mg/L,  waktu interaksi selama 120 menit, pH interaksi 8, dan temperatur 27οC menghasilkan sebanyak 180,763 mg/g atau 90,382%  pewarna MB teradsorpsi.",['QD'],2018-11-02 01:52:26,archive,PID201807419,disk0/00/00/92/33,2018-09-21,"[{'id': 'buhani_s@yahoo.co.id', 'name': {'honourific': None, 'family': '.', 'lineage': None, 'given': 'Buhani'}}, {'id': 'suharso_s@yahoo.com', 'name': {'given': 'Suharso', 'lineage': None, 'family': '.', 'honourific': None}}, {'id': 'mita_rilyanti@yahoo.com', 'name': {'given': 'Mita', 'honourific': None, 'family': 'Rilyanti', 'lineage': None}}]",Paten,['FMIPA4'],patent,public,http://repository.lppm.unila.ac.id/id/eprint/9233,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/22297', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'mtime': '2018-11-01 13:31:20', 'hash_type': 'MD5', 'filename': 'Paten Karbon Aktif-Buhani 2018  (Repository).pdf', 'hash': 'ab0b51594ef32fa08af9a82f07aca947', 'fileid': 88635, 'mime_type': 'application/pdf', 'filesize': 277115, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/88635', 'objectid': 22297}], 'main': 'Paten Karbon Aktif-Buhani 2018  (Repository).pdf', 'docid': 22297, 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 9233}]",pub,2018-11-02 01:52:26,2018-11-02 01:52:26,1094,,,,,,,,,,,,,,,,,,,,,,,,,
4,published,9012,show,6,Adsorption of Phenol and Methylene Blue in Solution by Oil Palm Shell Activated Carbon Prepared by Chemical Activation,"In this research, it has been performed carbon activation of oil palm shells (CAC) prepared by chemical treatment as adsorbents of phenol and methylene blue (MB) in solution either in the form of single or in pair solution. The activation of carbon from the oil palm shells was done physically at a temperature of 700°C for 1 h continued with chemical activation using 10% H3PO4 for 24 hours. Identification of functional groups on the carbon from oil palm shell before and after chemically activated was performed using infrared spectrophotometer (IR) and analysis of its surface morphology was carried out using scanning electron microscope (SEM). The phenol and MB adsorption process was performed in single and binary systems using the batch method. The adsorption of phenol on CAC is optimum at pH 8 while MB at pH 11 with optimum contact time of 90 min. for phenol and 120 min. for MB respectively. The phenol and MB adsorption data on the CAC in the single system follow the pseudo-second-order kinetics model with the adsorption rate constant of 0.399 and
0.769 g mmol-1 min-1 respectively. The adsorption isotherms of phenol and MB in CAC tend to follow Freundlich adsorption isotherm pattern with the adsorption intensity factor (n) for phenol, MB,
phenol/MB, and MB/phenol: 1.739, 1.341, 1.334, and 1.293 respectively. The adsorbent of CAC is effective to remove phenol and MB in solution, either in single or paired condition.",['QD'],2018-10-29 04:11:42,archive,,disk0/00/00/90/12,2018-04,"[{'id': 'buhani_s@yahoo.co.id', 'name': {'family': '.', 'honourific': None, 'lineage': None, 'given': 'Buhani'}}, {'id': 'suharso_s@yahoo.com', 'name': {'given': 'Suharso', 'honourific': None, 'family': '.', 'lineage': None}}, {'id': 'mita_rilyanti@yahoo.com', 'name': {'given': 'Mita', 'honourific': None, 'family': 'Rilyanti', 'lineage': None}}, {'name': {'honourific': None, 'family': '.', 'lineage': None, 'given': 'Sumadi'}, 'id': 'sumadi.1973@eng.unila.ac.id'}]",,['FMIPA4'],article,public,http://repository.lppm.unila.ac.id/id/eprint/9012,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/22093', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'filename': 'OJC_Vol34_No4_p_2043-2050_2.pdf', 'hash': '006c0ba566b8e2192514746b9d5898d4', 'mtime': '2018-10-27 02:53:24', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 87119, 'filesize': 540436, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/87119', 'objectid': 22093}], 'main': 'OJC_Vol34_No4_p_2043-2050_2.pdf', 'docid': 22093, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 9012}]",pub,2018-10-29 04:11:42,2018-10-29 04:11:42,1067,2043-2050,www.orientjchem.org,4.0,TRUE,0970-020 X,ORIENTAL JOURNAL OF CHEMISTRY,http://dx.doi.org/10.13005/ojc/3404043,34,,,,,,,,,,,,,,,,,
5,published,7163,show,6,IMPLEMENTATION OF SEQUENTIAL DESORPSION IN DETERMINING Cd (II) ION INTERACTION WITH ADSORBENT OF IONIC IMPRINTING AMINO-SILICA HYBRID,"Interactions of Cd (II) ion in solution with the adsorbent of amino-silica hybrid or non-imprinted polymer (NIP) and
Cd (II) ionic imprinting (Cd (II)-IIP) have been studied through a sequential desorption process. The adsorbent of NIP and Cd (II)-IIP were synthesized from 3-aminopropyltrimethoxysilane (3-APTMS) and tetraethylortosilicate (TEOS). The value of the Specific surface area, total porous volume, and Cd (II)-IIP porous diameter is each 29.010 m2 g-1, 0.100 mL g-1, and 30.452 Å. The interaction contribution of Cd (II) ion was determined by the sequential desorption with water eluent, KNO3 1 M, HONH2HCl 0.3 M in 25 % (v/v) CH3COOH, and Na2EDTA 0.1 M. The sequential desorption result showed that a tendency of Cd (II) ion interaction contribution on NIP and Cd (II)-IIP increased with order of ion exchange interaction < entrapment < complex formation < hydrogen bond.",['QD'],2018-06-21 02:29:54,archive,http://dx.doi.org/10.7324/RJC.2018.1122084,disk0/00/00/71/63,2018-06,"[{'id': 'buhani_s@yahoo.co.id', 'name': {'given': 'Buhani', 'lineage': None, 'family': '.', 'honourific': None}}, {'name': {'lineage': None, 'family': '.', 'honourific': None, 'given': 'Suharso'}, 'id': 'suharso_s@yahoo.com'}, {'name': {'given': 'Mita', 'honourific': None, 'family': 'Rilyanti', 'lineage': None}, 'id': 'mita_rilyanti@yahoo.com'}, {'id': None, 'name': {'family': '.', 'honourific': None, 'lineage': None, 'given': 'Sumadi'}}]",,['FMIPA4'],article,public,http://repository.lppm.unila.ac.id/id/eprint/7163,"[{'files': [{'objectid': 20170, 'uri': 'http://repository.lppm.unila.ac.id/id/file/65188', 'datasetid': 'document', 'filesize': 439803, 'fileid': 65188, 'mime_type': 'application/pdf', 'mtime': '2018-06-11 22:47:08', 'hash_type': 'MD5', 'filename': 'Rasayan J Chem Vol 11 No 2 Juni 2018.pdf', 'hash': 'e571360d869b60613cb5cb3ec59a5191'}], 'main': 'Rasayan J Chem Vol 11 No 2 Juni 2018.pdf', 'docid': 20170, 'uri': 'http://repository.lppm.unila.ac.id/id/document/20170', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 7163, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,2018-06-21 02:29:54,2018-06-21 02:29:54,1094,865-870,,2.0,TRUE,0974-1496,Rasayan Journal of Chemistry,http://rasayanjournal.co.in/current-issue.php,11,,,,,,['Kemenristekdikti'],,,,,,,,,,,
6,published,6971,show,7,IMPREGNASI KARBON AKTIF DARI TEMPURUNG KELAPA SAWIT DENGAN ION Cu2+ SEBAGAI ADSORBEN FENOL DALAM LARUTAN,,['QD'],2018-06-04 06:34:39,archive,,disk0/00/00/69/71,2018-05,"[{'name': {'lineage': None, 'honourific': None, 'family': '.', 'given': 'Buhani'}, 'id': 'buhani_s@yahoo.co.id'}, {'id': 'suharso_s@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': '.', 'given': 'Suharso'}}, {'name': {'given': 'Mita', 'honourific': None, 'family': 'Rilyanti', 'lineage': None}, 'id': 'mita_rilyanti@yahoo.com'}, {'name': {'given': 'Sumadi', 'lineage': None, 'honourific': None, 'family': '.'}, 'id': None}]",,['FMIPA4'],conference_item,public,http://repository.lppm.unila.ac.id/id/eprint/6971,"[{'placement': 1, 'security': 'public', 'eprintid': 6971, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'datasetid': 'document', 'filesize': 348248, 'fileid': 63866, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-05-31 06:44:10', 'filename': 'Prosiding ABSTRAK 2 SEMIRATA 2018 BUHANI .pdf', 'hash': '338e7398982e83d185c044c0fdba1124', 'objectid': 19942, 'uri': 'http://repository.lppm.unila.ac.id/id/file/63866'}], 'main': 'Prosiding ABSTRAK 2 SEMIRATA 2018 BUHANI .pdf', 'docid': 19942, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19942', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",pub,2018-06-04 06:34:39,2018-06-04 06:34:39,1094,23-23,,,TRUE,,,,,speech,conference,4-6 May 2018,"Medan, Sumatera Utara",SEMIRATA-International Conference on Science and Technology (ICST) 2018,,,,,,,,,,,,
7,published,6970,show,7,SINTESIS HIBRIDA ALGA-SILIKA DARI BIOMASSA PORPHYRIDIUM sp. SEBAGAI ADSORBEN LARUTAN METILEN BIRU,,['QD'],2018-06-04 06:34:36,archive,,disk0/00/00/69/70,2018-05,"[{'name': {'given': 'Buhani', 'family': '.', 'honourific': None, 'lineage': None}, 'id': 'buhani_s@yahoo.co.id'}, {'name': {'given': 'Suharso', 'honourific': None, 'family': '.', 'lineage': None}, 'id': 'suharso_s@yahoo.com'}, {'id': 'rinawati@fmipa.unila.ac.id', 'name': {'given': 'Rinawati', 'lineage': None, 'family': 'Rinawati', 'honourific': None}}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': '.', 'given': 'Sumadi'}}]",,['FMIPA4'],conference_item,public,http://repository.lppm.unila.ac.id/id/eprint/6970,"[{'placement': 1, 'security': 'public', 'eprintid': 6970, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'objectid': 19941, 'uri': 'http://repository.lppm.unila.ac.id/id/file/63859', 'datasetid': 'document', 'filesize': 364638, 'mime_type': 'application/pdf', 'fileid': 63859, 'filename': 'Prosiding ABSTRAK 1 SEMIRATA 2018 BUHANI .pdf', 'hash': '6bc54788b8f17d254009f0c4a49e9620', 'mtime': '2018-05-31 06:34:02', 'hash_type': 'MD5'}], 'main': 'Prosiding ABSTRAK 1 SEMIRATA 2018 BUHANI .pdf', 'docid': 19941, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19941', 'pos': 1, 'format': 'text'}]",pub,2018-06-04 06:34:36,2018-06-04 06:34:36,1094,22-22,,,TRUE,,,,,speech,conference,4-6 May 2018,"Medan, Sumatera Utara",SEMIRATA-International Conference on Science and Technology (ICST) 2018,,,,,,,,,,,,
8,,8844,show,7,Synthesis of algal-silica-magnetite hybrids from red algae biomass as methylene blue adsorbents in aqueous solution,"The synthesis of algae-silica-magnetite hybrid materials from Porphyridium sp. red algae biomass (AS) has been done through a sol-gel process using tetraethyl orthosilicate (TEOS) as a precursor to produce an algae-silica-magnetite material (AS-MPs). The identification of functional groups performed by infrared spectrophotometers (IR) shows that in AS-MPs there are organic active groups derived from red algae biomass, silanol and siloxane from the silica matrix, and Fe-O from magnetite particles (MPs). The diffraction pattern of AS-MPs material analyzed by X-ray diffraction (XRD) shows that the material has a large intensity peak at 2θ = 30.04 and 35.52 while the analysis using Scanning Electron Microscopy (SEM) shows the material surface is heterogeneous. Methylene blue (MB) dye adsorption patterns by AS and AS-MPs tend to follow the second order pseudo kinetics model and Freundlich adsorption isotherm. Adsorption of MB solution by AS-MPs at dose of adsorbent 2.5 mg/L, interaction pH of 6, contact time of 60 min, and temperature of 27 °C yielded rate constants (k2) and adsorption capacity (qm) each of 0.003 g/mg·min and 96.927 mg/g.  The AS-MPs material is an effective adsorbent for removal of the dye of MB in solution, chemically stable against acid and neutral media and can be used repeatedly.",['QD'],2018-09-28 08:13:04,archive,,disk0/00/00/88/44,2018-07-17,"[{'name': {'given': 'Buhani', 'family': '.', 'honourific': None, 'lineage': None}, 'id': 'buhani_s@yahoo.co.id'}, {'id': 'suharso_s@yahoo.com', 'name': {'given': 'Suharso', 'lineage': None, 'family': '.', 'honourific': None}}, {'id': 'rinawati@fmipa.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Rinawati', 'given': 'Rinawati'}}, {'id': 'sumadi.1973@eng.unila.ac.i', 'name': {'family': '.', 'honourific': None, 'lineage': None, 'given': 'Sumadi'}}]",,['FMIPA4'],conference_item,public,http://repository.lppm.unila.ac.id/id/eprint/8844,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21921', 'format': 'text', 'pos': 1, 'files': [{'objectid': 21921, 'uri': 'http://repository.lppm.unila.ac.id/id/file/85877', 'datasetid': 'document', 'filesize': 989641, 'fileid': 85877, 'mime_type': 'application/pdf', 'mtime': '2018-09-28 04:10:27', 'hash_type': 'MD5', 'filename': 'WRE Conference 2018-Abstrak.pdf', 'hash': 'a2f0061aa0e7f0635d60256a02fa288e'}], 'docid': 21921, 'main': 'WRE Conference 2018-Abstrak.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 8844}]",pub,2018-09-28 08:13:04,2018-09-28 08:13:04,1067,,,,TRUE,,,,,speech,conference,17-21 Juli 2018,"Kaohsiung City, Taiwan",The 4th International Conference on Water Resource and    Environment (WRE 2018),,,,,,,,,,,,
9,,6973,show,6,PENGOLAHAN SAMPAH RUMAH TANGGA BERBASIS PARTISIPASI AKTIF DARI MASYARAKAT MELALUI PENERAPAN METODE 4Rp UNTUK MENGHASILKAN KOMPOS,"Dalam rangka mengimplementasikan kegiatan pengelolaan dan pengolahan sampah berbasis partisipasi masyarakat, Universitas Lampung, Pemkab Way Kanan, dan perguruan tinggi mitra yaitu Politeknik Negeri Lampung membentuk pilot project pengelolaan sampah berbasis masyarakat. Pengelolaan sampah berbasis masyarakat bertujuan untuk menerapkan konsep 4Rp (Reduce, Reuse, Recycle, Replace, Participation) melalui Program Kemitraaan Wilayah (PKW) Kemeristekdikti, sehingga sampah/limbah pertanian dapat dikelola secara mandiri oleh masyarakat di tingkat sumbernya langsung, dan dapat mengurangi jumlah timbulan sampah yang harus dikelola di TPS atau TPA, serta dapat memberikan nilai tambah secara ekonomi. Kegiatan ini telah dilaksanakan di desa yang memiliki potensi sampah/limbah perkebunan dan pertanian di Desa Way-Tuba kecamatan Gunung Labuhan Kabupaten Way Kanan. Secara umum, hasil kegiatan tersebut telah meningkatkan partisipasi dan pengetahuan masyarakat terhadap paradigma tentang sampah dan pengelolaan sampah dengan konsep 4Rp, pengadaan pupuk/kompos secara mandiri, serta menjadi pelopor pengelolaan sampah berbasis partisipasi aktif dari masyarakat dengan persentase rata-rata peningkatan dari 38,6 menjadi 86%.",['Q1'],2018-06-04 06:30:45,archive,,disk0/00/00/69/73,2018-03,"[{'id': 'buhani_s@yahoo.co.id', 'name': {'family': '.', 'honourific': None, 'lineage': None, 'given': 'Buhani'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Noviadi', 'given': 'Riko'}, 'id': None}, {'id': 'suharso_s@yahoo.com', 'name': {'family': '.', 'honourific': None, 'lineage': None, 'given': 'Suharso'}}]",,['FMIPA4'],article,public,http://repository.lppm.unila.ac.id/id/eprint/6973,"[{'placement': 1, 'security': 'public', 'eprintid': 6973, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 19944, 'uri': 'http://repository.lppm.unila.ac.id/id/file/63880', 'datasetid': 'document', 'filesize': 498356, 'mime_type': 'application/pdf', 'fileid': 63880, 'hash': '9f1e7b89ff17eac2f0fbc266ca4dbb43', 'filename': 'Jrnal PPM-Ibw 2018.pdf', 'mtime': '2018-06-01 02:42:57', 'hash_type': 'MD5'}], 'main': 'Jrnal PPM-Ibw 2018.pdf', 'docid': 19944, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19944', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",pub,2018-06-04 06:30:45,2018-06-04 06:30:45,1094,7-12,,1.0,TRUE,,SAKAI SAMBAYAN — Jurnal Pengabdian kepada Masyarakat,http://jss.lppm.unila.ac.id/index.php/ojs/article/view/84,2,,,,,,,,,,,,,,,,,
