,eprintid,subjects,eprint_status,status_changed,rev_number,metadata_visibility,title,official_url,divisions,type,dir,publication,creators,datestamp,lastmod,userid,uri,full_text_status,refereed,ispublished,documents,volume,related_url,abstract,issn,publisher,number,pagerange,date_type,pres_type,event_dates,event_type,succeeds,event_title,contributors
0,43668,['Q1'],archive,2022-07-28 09:10:07,9,show,Extract of Bitter Melon (Momordica Charantia L.) as a Cytotoxic and Anti Proliferaton Agent for Cells WiDr (Colon Cancer),https://eudl.eu/pdf/10.4108/eai.19-12-2020.2309128,['FMIPA5'],article,disk0/00/04/36/68,Proceedings of The 6th Asia-Pacific Education And Science Conference,"[{'id': None, 'name': {'given': 'yulianti', 'honourific': None, 'family': 'Eka', 'lineage': None}}, {'name': {'honourific': None, 'family': 'Sutyarso', 'lineage': None, 'given': 'Sutyarso'}, 'id': None}, {'name': {'given': 'Busman', 'honourific': None, 'family': 'Hendri', 'lineage': None}, 'id': 'hendri.busman@fmipa.unila.ac.id'}, {'name': {'family': 'Nuning', 'honourific': None, 'lineage': None, 'given': 'Nurcahyani'}, 'id': 'uya.jujun@gmail.com'}, {'name': {'family': 'Sri Wahyuningsih', 'honourific': None, 'lineage': None, 'given': 'Wahyu'}, 'id': 'mailto:wahyu6125@yahoo.co.id'}]",2022-07-28 09:10:07,2022-07-28 09:10:07,703,http://repository.lppm.unila.ac.id/id/eprint/43668,public,TRUE,pub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165603', 'format': 'text', 'pos': 1, 'files': [{'filesize': 263065, 'datasetid': 'document', 'filename': 'Prosiding.pdf', 'hash': '10c08a77d763f62cce1d3ddf19578555', 'hash_type': 'MD5', 'mtime': '2022-07-28 04:00:14', 'mime_type': 'application/pdf', 'fileid': 476168, 'uri': 'http://repository.lppm.unila.ac.id/id/file/476168', 'objectid': 165603}], 'docid': 165603, 'main': 'Prosiding.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 43668}]",,,,,,,,,,,,,,
1,39352,"['Q1', 'QK', 'QR']",archive,2022-02-16 01:17:06,8,show,"DETECTION OF NITROGENASE PRODUCING BACTERIA FRO
THE SOIL OF LIWA BOTANICAL GARDEN",http://jurnalbiologi.fmipa.unila.ac.id/index.php/jbekh,['FMIPA5'],article,disk0/00/03/93/52,Jurnal Ilmiah Biologi Eksperimen dan Keanekaragaman Hayati (J-BEKH),"[{'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Ekowati', 'given': 'Christina Nugroho'}}, {'name': {'lineage': None, 'family': 'Mirani', 'honourific': None, 'given': 'MIca'}, 'id': None}, {'name': {'given': 'Kusuma', 'honourific': None, 'family': 'Handayani', 'lineage': None}, 'id': 'kusumahandayani@yahoo.co.id'}, {'name': {'given': 'Rochmah', 'honourific': None, 'family': 'Agustrina', 'lineage': None}, 'id': 'rochmah.agustrina@fmipa.unila.ac.id'}]",2022-02-16 01:17:06,2022-02-16 01:17:06,737,http://repository.lppm.unila.ac.id/id/eprint/39352,public,TRUE,pub,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/160636', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/442643', 'objectid': 160636, 'filesize': 211896, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2022-02-15 21:10:04', 'hash': 'b8beb5a71fe08dbad13eaf328499fb8e', 'filename': '2021_(JBEKH-2 DES) -DETECTION OF NITROGENASE PRODUCING BACTERIA FROM.pdf', 'fileid': 442643, 'mime_type': 'application/pdf'}], 'main': '2021_(JBEKH-2 DES) -DETECTION OF NITROGENASE PRODUCING BACTERIA FROM.pdf', 'docid': 160636, 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 39352}]",8.0,[{'url': 'http://jurnalbiologi.fmipa.unila.ac.id/index.php/jbekh'}],"Liwa Botanical Gardens is an ex-situ conservation area for various types of plants. Each plant
produces organic matter that will provide nutrients for the growth of nitrogen-fixing bacteria.
This indicates the existence of an environment that supports the growth of nitrogen-fixing
bacteria. Nitrogen is one of the nutrients needed by plants for their growth. However, the
abundance of nitrogen in the atmosphere cannot be utilized directly by plants but needs to
transform into ammonium and nitrate first. This transformation can be done by nitrogen-fixing
bacteria through an enzymatic process. This research aims to obtain bacterial isolates that
can fix nitrogen. Nitrogen-fixing bacteria were isolated using Nutrient Agar (NA) medium and
furthered by nitrogenase activity detection test with semi-solid Nitrogen Free Bromothymol
Blue (NFB). Nitrogen-fixing bacteria are characterized by color changes in the medium. The
results obtained 22 isolates with 3 isolates detected capable of producing nitrogenase
enzymes, namely TBP B3, TB1 B2, and TMA2 B2.

Keywords: KRL, NFB, Nitrogen, Nitrogenase.",ISSN 2338-4344 eISSN 2686-200X,Universitas Lampung,2.0,53-58,,,,,,,
2,45561,['Q1'],archive,2022-10-06 09:41:50,7,show,Bukti Korespondensi Jurnal :Turmeric Rhizome’s Extract Reduce Epithelium Cells and Endometrium Layer Thickness of Female Rats,,['FMIPA5'],other,disk0/00/04/55/61,,"[{'id': 'hendri.busman@fmipa.unila.ac.id', 'name': {'given': 'Busman', 'lineage': None, 'family': 'Hendri', 'honourific': None}}]",2022-10-06 09:41:50,2022-10-06 09:41:50,703,http://repository.lppm.unila.ac.id/id/eprint/45561,public,,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 45561, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184341', 'rev_number': 1, 'main': 'Bukti Korespondensi Jurnal - Turmeric Rhizome’s Extract Reduce Epithelium Cells and.pdf', 'docid': 184341, 'files': [{'filesize': 2085685, 'datasetid': 'document', 'hash': '972f56fb9fbcc76f7c553f8254b67880', 'filename': 'Bukti Korespondensi Jurnal - Turmeric Rhizome’s Extract Reduce Epithelium Cells and.pdf', 'mtime': '2022-10-06 07:41:20', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 505803, 'uri': 'http://repository.lppm.unila.ac.id/id/file/505803', 'objectid': 184341}]}]",,,,,-,,,,,,,,,
3,45560,['Q1'],archive,2022-10-06 09:41:48,7,show,Bukti Korespondesi Jurnal : Essential oil extracted from plant tuber of nutgrass “Cyperus rotundus” effectively decreased sperm quality of mice,,['FMIPA5'],other,disk0/00/04/55/60,,"[{'id': 'hendri.busman@fmipa.unila.ac.id', 'name': {'family': 'Hendri', 'honourific': None, 'lineage': None, 'given': 'Busman'}}]",2022-10-06 09:41:48,2022-10-06 09:41:48,703,http://repository.lppm.unila.ac.id/id/eprint/45560,public,,pub,"[{'main': 'Korespondensi Japer.pdf', 'docid': 184340, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/505796', 'objectid': 184340, 'hash_type': 'MD5', 'mtime': '2022-10-06 07:18:18', 'filename': 'Korespondensi Japer.pdf', 'hash': 'fc8cb44bb07ccdfe30e99f02dbf5daba', 'fileid': 505796, 'mime_type': 'application/pdf', 'filesize': 895699, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/184340', 'rev_number': 1, 'eprintid': 45560, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",,,,,JAPER,,,,,,,,,
4,45584,['Q1'],archive,2022-10-07 02:04:31,7,show,Similarity Check Result Jurnal : Turmeric Rhizome’s Extract Reduce Epithelium Cells and Endometrium Layer Thickness of Female Rats,,['FMIPA5'],other,disk0/00/04/55/84,,"[{'name': {'given': 'Busman', 'lineage': None, 'honourific': None, 'family': 'Hendri'}, 'id': 'hendri.busman@fmipa.unila.ac.id'}]",2022-10-07 02:04:31,2022-10-07 02:04:31,703,http://repository.lppm.unila.ac.id/id/eprint/45584,public,,pub,"[{'security': 'public', 'placement': 1, 'eprintid': 45584, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/505964', 'objectid': 184364, 'hash': '73e219603af3652e5e22e7cea274af58', 'filename': 'Turmeric Rhizome’s Extract Reduce Epithelium Cells and.pdf.pdf', 'hash_type': 'MD5', 'mtime': '2022-10-07 01:57:42', 'mime_type': 'application/pdf', 'fileid': 505964, 'filesize': 996588, 'datasetid': 'document'}], 'docid': 184364, 'main': 'Turmeric Rhizome’s Extract Reduce Epithelium Cells and.pdf.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/184364', 'rev_number': 1, 'format': 'text', 'pos': 1}]",,,,,Oriental Scientific Publishing Company,,,,,,,,,
5,25674,['QL'],archive,2020-11-17 01:13:41,6,show,Penurunan Kualitas dan Kuantitas Spermatozoa Mencit (Mus musculus L.)Setelah Pemberian Ekstrak Rimpang Rumput Teki ( Cyperus rotundus L.),,['FMIPA5'],article,disk0/00/02/56/74,Al-Hayat: Journal of Biology and Applied Biology,"[{'id': None, 'name': {'given': 'Indriyani', 'honourific': None, 'family': 'Indriyani', 'lineage': None}}, {'name': {'family': 'Busman', 'honourific': None, 'lineage': None, 'given': 'Hendri'}, 'id': 'hendri_busman@yahoo.com'}]",2020-11-17 01:13:41,2020-11-17 01:13:41,703,http://repository.lppm.unila.ac.id/id/eprint/25674,public,TRUE,submitted,"[{'eprintid': 25674, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': 'Jurnal sinta 4 Indri-des 2020.pdf', 'docid': 39466, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/231242', 'objectid': 39466, 'filesize': 362076, 'datasetid': 'document', 'filename': 'Jurnal sinta 4 Indri-des 2020.pdf', 'hash': 'a6461ea4ed2b2450e24a7b809612d230', 'hash_type': 'MD5', 'mtime': '2020-11-17 01:05:57', 'mime_type': 'application/pdf', 'fileid': 231242}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39466', 'rev_number': 1}]",,,"The limited choice of male contraceptives is the cause of the lack of participation of men in the family planning
program. The use of medicinal plants is an ideal alternative for male contraception. This study aim to determine the effect of nut grass rhizome (Cyperus rotundus L.) on the quality and quantity of spermatozoa in mice (Mus musculus L.). Twenty male mice were divided into four treatment groups, namely control (C0), nut grass rhizome extract at a dose of 4.5 mg/40 g BW (C1), nut grass rhizome extract at a dose of 45 mg/40 g BW (C2), nut grass rhizome extract with a dose of 135 mg/40 g BW (C3). every day for 35 days. The parameters measured
were the motility, viability, morphology, and concentration of spermatozoa. The data were analyzed by means of an variance analisys and then further tested using the LSD test at a significant level of 5%. The results of the analysis showed that giving nut grass rhizome extract had a significant effect on the motility, viability, morphology, and concentration of spermatozoa. It can be concluded that the extract of nut grass rhizome can be used as an alternative for male contraception because it can reduce motility, viability, morphology, and spermatozoa concentration. 

Keywords: Cyperus rotundus L., contraceptives, quality and quantity of spermatozoa.",,UIN Walisongo Semarang,,,,,,,,,
6,14791,['QK'],archive,2019-11-04 03:39:33,6,show,MOLECULAR PHYLOGENY OF ORCHIDS MYCORRHIZA ISOLATED FROM NATIVE TROPICAL ORCHIDS IN INDONESIA,https://mjm.usm.my/,['FMIPA5'],article,disk0/00/01/47/91,MALAYSIAN JOURNAL OF MICROBIOLOGY,"[{'id': 'mahfut.mipa@fmipa.unila.ac.id', 'name': {'given': 'Mahfut', 'family': 'Mahfut', 'honourific': None, 'lineage': None}}, {'name': {'family': 'Daryono', 'honourific': None, 'lineage': None, 'given': 'Budi Setiadi'}, 'id': 'bs_daryono@yahoo.com'}, {'id': 'ariindri@ugm.ac.id', 'name': {'given': 'Ari', 'lineage': None, 'honourific': None, 'family': 'Indrianto'}}, {'id': 'soesamto@faperta.ugm.ac.id', 'name': {'given': 'Susamto', 'lineage': None, 'honourific': None, 'family': 'Somowiyarjo'}}]",2019-11-04 03:39:33,2019-11-04 03:39:33,1126,http://repository.lppm.unila.ac.id/id/eprint/14791,public,TRUE,submitted,"[{'placement': 1, 'security': 'public', 'eprintid': 14791, 'language': 'en', 'mime_type': 'application/msword', 'files': [{'datasetid': 'document', 'filesize': 553984, 'mime_type': 'application/msword', 'fileid': 127888, 'filename': 'Manuscript MJM.doc', 'hash': 'aa29dc15980fefd6b87c729bc6d24afd', 'hash_type': 'MD5', 'mtime': '2019-10-30 14:31:09', 'objectid': 27916, 'uri': 'http://repository.lppm.unila.ac.id/id/file/127888'}], 'main': 'Manuscript MJM.doc', 'docid': 27916, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27916', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",,,"Nature orchid are one of original floral in Indonesia. Virus infection is  one of the limiting factor in the cultivation of orchid. Infection Odontoglossum ringspot virus (ORSV) was reported infets native orchids collection in Indonesia. The purpose of  this study was to identification and ORSV that infects native orchid nurserys collection in Java, Indonesia. Symptomatic samples were collected from 5 nurserys collections, i.e. Rumah Bunga Rizal (Bandung), Bali Tanaman Hias (Cianjur), Borobudur Orchids Center (Magelang), Kebun Anggrek Bungarinte (Yogyakarta), and Titi Orchids (Yogyakarta). Detection and identification was conducted by serological test using ORSV specific antisera, RT-PCR and DNA sequencing. The serological test using ORSV antisera showed that 3 of 11 sampels reacted positively against ORSV antiserum i.e Phalaenopsis amabilis (Cianjur.1, Cianjur.2, and Magelang). RT-PCR of the 3 samples using specific primer of ORSV coat protein (CP) gene amplified a DNA with size ± 474 bp. Homology analysis of those 3 Indonesian isolates showed highest index similiarity (IS) was 99.8% with corresponding sequences from 10 other ORSV isolates. Phylogenetic analysis showed that ORSV Cianjur.1 and Cianjur.2 isolates clustered in separated group far from ORSV isolates in other countries.",2231-7538,Malaysian Society for Microbiology,,,submitted,,,,,,
7,49469,"['H1', 'T1', 'TK']",archive,2023-03-31 00:49:44,22,show,The Urgency of Virtual Tour for Sumatran Butterfly Conservation,https://www.atlantis-press.com/proceedings/iicis-21/125965484,"['FISIP1', 'FMIPA5', 'FT5', 'FT8']",conference_item,disk0_bak/00/04/94/69,,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Muhammad', 'given': 'Meizano Ardhi'}, 'id': 'meizano@eng.unila.ac.id'}, {'id': 'martinus@eng.unila.ac.id', 'name': {'honourific': None, 'family': '.', 'lineage': None, 'given': 'Martinus'}}, {'id': 'gita.djausal@fisip.unila.ac.id', 'name': {'given': 'Gita Paramita', 'family': 'Djausal', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Sony', 'lineage': None, 'honourific': None, 'family': 'Ferbangkara'}, 'id': 'sony@staff.unila.ac.id'}, {'name': {'family': 'Larasati', 'honourific': None, 'lineage': None, 'given': 'Alia'}, 'id': 'alialarasati@gmail.com'}]",2023-03-31 00:49:44,2023-03-31 00:49:44,1199,http://repository.lppm.unila.ac.id/id/eprint/49469,public,TRUE,pub,"[{'docid': 189073, 'main': 'conference_paper-2021-mm_gd_et_al-the_urgency_of_virtual_tour_for_sumatran_butterfly_conservation.pdf', 'files': [{'objectid': 189073, 'uri': 'http://repository.lppm.unila.ac.id/id/file/536738', 'fileid': 536738, 'mime_type': 'application/pdf', 'mtime': '2022-02-04 16:50:50', 'hash_type': 'MD5', 'filename': 'conference_paper-2021-mm_gd_et_al-the_urgency_of_virtual_tour_for_sumatran_butterfly_conservation.pdf', 'hash': 'bdf2596fa48ddfc9099365429e32cdf2', 'datasetid': 'document', 'filesize': 640622}], 'pos': 1, 'format': 'text', 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189073', 'formatdesc': 'Artikel', 'eprintid': 49469, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'content': 'published'}, {'docid': 189076, 'main': 'meizano-korespondensi-The Urgency of Virtual Tour for Sumatran Butterfly Conservation.pdf', 'files': [{'datasetid': 'document', 'filesize': 93174, 'fileid': 536744, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-03-30 18:19:15', 'hash': '3dc06d6ae441f224d8b7c0de26c3c1ba', 'filename': 'meizano-korespondensi-The Urgency of Virtual Tour for Sumatran Butterfly Conservation.pdf', 'objectid': 189076, 'uri': 'http://repository.lppm.unila.ac.id/id/file/536744'}], 'format': 'text', 'pos': 4, 'formatdesc': 'Korespondensi M2', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189076', 'eprintid': 49469, 'security': 'public', 'placement': 4, 'mime_type': 'application/pdf', 'language': 'en', 'content': 'other'}, {'main': 'martinus-korespondensi-The Urgency of Virtual Tour for Sumatran.pdf', 'docid': 189077, 'files': [{'filesize': 92768, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2023-03-30 18:23:05', 'filename': 'martinus-korespondensi-The Urgency of Virtual Tour for Sumatran.pdf', 'hash': 'f0b178bbf48e6b115291d8e984e36816', 'fileid': 536749, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/536749', 'objectid': 189077}], 'pos': 5, 'format': 'text', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189077', 'formatdesc': 'Korespondensi M1', 'eprintid': 49469, 'placement': 5, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'content': 'other'}, {'content': 'other', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 6, 'eprintid': 49469, 'formatdesc': 'similiarity', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189078', 'rev_number': 2, 'format': 'text', 'pos': 6, 'files': [{'filesize': 626339, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2023-03-30 18:24:00', 'filename': 'meizano+martinus-gita-conference_paper-2021-the_urgency_of_virtual_tour_for_sumatran_butterfly_conse.pdf', 'hash': '684922f906047e8bd6bdff5693a8dbd7', 'fileid': 536753, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/536753', 'objectid': 189078}], 'main': 'meizano+martinus-gita-conference_paper-2021-the_urgency_of_virtual_tour_for_sumatran_butterfly_conse.pdf', 'docid': 189078}]",,,"Traveling is part of the activities for doing tourism. We have experience in tourism destinations. Due to COVID-19, people have limitations on the mobilization to travel. In 2020, a report was telling that tourism is the most affected business sector. Since the pandemic, we need to change our interactions. Most of our activities are moved digitally. On the other hand, we still have needed to fulfil. It shows the urgency of technology development to embrace the people's experience (user experience). The needs of traveling to tourism destinations, supported by technology. Developing a virtual tour in butterfly park has an urgency to stress spreading the knowledge of butterfly conservation, and it relies on the experience of doing the tourism. Tourist experience has to enable the feeling of being involved in the situation. Understanding the components is essential to the occasion. There are critical components for developing the user experience in Butterfly Park. We need a database on existing butterflies, vegetation (plants and flowers), and the butterfly park map. The virtual tourist can experience sight (seen using eyes) and sound (hear by ear), but they cannot feel by touch. That becomes the challenge for the development of these technologies. Taman Kupu-Kupu Gita Persada Virtual Reality Tour able to replicate some experience to users in visiting virtual tourist spots, viewing information on virtual tourist spots, and chose a location for virtual tourist spots. It is quite effective as a medium to experience tour and learn about conservation based on usability survey which resulted in 95% visitors are satisfied. Tourist experience is enabled the feeling of being involved in the situation by using Taman Kupu-Kupu Gita Persada Virtual Reality Tour. The experience will raise awareness for Sumatran butterfly conservation.",,,,,published,paper,26-27 October 2021,conference,39055.0,2nd International Indonesia Conference on Interdisciplinary Studies (IICIS 2021),
8,27018,['QL'],archive,2020-12-07 01:24:41,6,show,Low PLA2G10 gene expression level tend to make a higher risk of angina pectoris,https://www.ejbps.com/ejbps/index,['FMIPA5'],article,disk0/00/02/70/18,EJBPS,"[{'id': 'dzul.mumtazah@fmipa.unila.ac.id', 'name': {'given': 'Dzul Fithria', 'family': 'Mumtazah', 'honourific': None, 'lineage': None}}, {'id': 'erlin.soedarmoo@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Listiyaningsih', 'given': 'Erlin'}}, {'id': 'nastitiww@yahoo.com', 'name': {'given': 'Nastiti', 'lineage': None, 'honourific': None, 'family': 'Wijayanti'}}]",2020-12-07 01:24:41,2020-12-07 01:24:41,3261,http://repository.lppm.unila.ac.id/id/eprint/27018,public,FALSE,submitted,"[{'eprintid': 27018, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'main': 'Publikasi Low PLA2G10 ... (dzul).docx', 'docid': 41035, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/242276', 'objectid': 41035, 'filesize': 122510, 'datasetid': 'document', 'mtime': '2020-12-06 17:26:05', 'hash_type': 'MD5', 'filename': 'Publikasi Low PLA2G10 ... (dzul).docx', 'hash': '343047739ab7ac4323ac75f0a6adff16', 'fileid': 242276, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/41035', 'rev_number': 1}]",,,"Angina pectoris is diagnosed by chest pain and considered as one of the symptoms which are triggered by coronary heart disease (CHD). CHD is marked by atherosclerotic plaque formation in the coronary artery and brings on the vascular narrowing which obstructs blood flow. Group IIA and group V of sPLA2 are one of the enzyme groups which play the main role of atherosclerotic plaque formation. On the other hand, group X sPLA2 which is encoded by PLA2G10  has anti-atherogenic properties by inhibits Th1 cell activation in LDLr-/- mice, which is pro-atherogenic. CHD is exacerbated by the presence of risk factors possessed by sufferers. This study aims to examine the proportion of patients with certain metabolic syndromes with their susceptibility to CHD as a cause of angina pectoris linked to PLA2G10 gene expression level. The samples of this research are 133 deposit biological materials from National Cardiovascular Center Harapan Kita’s collection, from angina pectoris patients with a plaque and no plaque in the coroner. The relative quantification of PLA2G10 gene expression shows no difference between the plaque group and no plaque group (p-value = 0,494) which is measured by TaqMan® Gene Expression Assay, but as many as 44% of the group with a plaque and 69% of the group with diabetes mellitus had low levels of PLA2G10 gene expression. The group with risk factors has the greatest percentage having low levels of PLA2G10 gene expression. This indicates that more or less PLA2G10 plays a role in reducing the risk of plaque formation and the severity of risk factors that cause angina pectoris.",2581-3250,,,,submitted,,,,,,
9,25981,['QL'],archive,2020-11-18 04:52:57,6,show,"KEBERADAAN SERANGGA MALAM BERDASARKAN EFEK WARNA LAMPU
PADA LIGHT TRAP di KEBUN RAYA LIWA",https://ejournal.undip.ac.id/index.php/bioma,['FMIPA5'],article,disk0/00/02/59/81,Bioma : Berkala Ilmiah Biologi,"[{'id': 'nismah.nukmal@fmipa.unila.ac.id', 'name': {'family': 'Nukmal', 'honourific': None, 'lineage': None, 'given': 'Nismah'}}]",2020-11-18 04:52:57,2020-11-18 04:52:57,876,http://repository.lppm.unila.ac.id/id/eprint/25981,public,FALSE,submitted,"[{'files': [{'filesize': 585096, 'datasetid': 'document', 'hash': '4590a1ffe60b3d14411f687706f5eee1', 'filename': 'JURNAL ANNISA FARADILA.pdf', 'hash_type': 'MD5', 'mtime': '2020-11-18 03:06:38', 'mime_type': 'application/pdf', 'fileid': 234524, 'uri': 'http://repository.lppm.unila.ac.id/id/file/234524', 'objectid': 39810}], 'docid': 39810, 'main': 'JURNAL ANNISA FARADILA.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/39810', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 25981, 'mime_type': 'application/pdf', 'language': 'en'}]",,,"Serangga memiliki tingkat keanekaragaman dan daya adaptasi tinggi serta sensitif terhadap cahaya. Penelitian ini
dilaksanakan pada bulan Oktober - November 2019 di Taman Araceae KRL dengan tujuan untuk mengetahui
perbedaan jumlah serangga malam berdasarkan warna light trap (biru, kuning, merah dan putih) yang terperangkap
di KRL. Metode yang digunakan pada penelitian ini adalah Purposive Sampling. Serangga yang diperoleh kemudian
diidentifikasi untuk mengetahui ordo dan family menggunakan buku identifikasi Borror. Hasil penelitian
menunjukkan bahwa serangga malam paling banyak ditemukan pada lampu biru sebanyak 457 ekor (66,7%) dan
paling sedikit ditemukan pada lampu merah sebanyak 19 ekor (2,8 %). Pada uji korelasi nilai R2 = 0,957 (95,7 %)
menunjukkan bahwa intensitas cahaya berkorelasi positif terhadap jumlah serangga malam yang didapat.",1410-8801,"Departemen Biologi, Fakultas Sains dan Matematika Universitas Diponegoro",,,submitted,,,,,,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]
