,date_type,eprintid,abstract,subjects,status_changed,eprint_status,metadata_visibility,volume,rev_number,official_url,title,divisions,type,date,dir,creators,issn,publication,datestamp,pagerange,lastmod,userid,refereed,uri,full_text_status,publisher,documents,ispublished,number,contact_email,pres_type,event_location,event_title,event_dates,event_type
0,published,8597,"Tree merupakan salah satu bentuk graf yang banyak digunakan untuk merepresentasikan masalah dalam
kehidupan sehari-hari, terutama dalam desain jaringan. Untuk merepresentasikan suatu tree terdapat
beberapa teknik atau kode yang digunakan antara lain dengan kode Prufer, kode  blob, kode grey, kode
happy, dan kode dandelion. Dalam tulisan ini akan didiskusikan bagaimana cara mengkonstruksi suatu 
tree, khususnya tree berarah dari kode dandelion.",['QA'],2018-08-03 07:37:05,archive,show,1.0,6,http://www.unila.ac.id/~mipa/,MENGKONSTRUKSI TREE DENGAN MENGGUNAKAN KODE DANDELION,['FMIPA9'],article,2009-11-16 00:00:00.000000000,disk0/00/00/85/97,"[{'name': {'family': 'Amalia', 'honourific': None, 'lineage': None, 'given': 'Suci Nur'}, 'id': None}, {'id': '.', 'name': {'honourific': None, 'family': 'Junaidi', 'lineage': None, 'given': 'Akmal'}}]",2086-2342,"Seminar Nasional Sains, Matematika, Informatika dan  Aplikasinya VI UNILA",2018-08-03 07:37:05,177-184,2018-08-03 07:37:06,791,TRUE,http://repository.lppm.unila.ac.id/id/eprint/8597,public,Fak. Mipa Universitas Lampung,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 8597, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21650', 'docid': 21650, 'main': 'MENGKONSTRUKSI TREE DENGAN MENGGUNAKAN KODE DANDELION.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/84132', 'objectid': 21650, 'filesize': 147008, 'datasetid': 'document', 'mtime': '2018-07-09 05:05:27', 'hash_type': 'MD5', 'hash': '1dfbca63af1ba1262fae0a8ec79124d5', 'filename': 'MENGKONSTRUKSI TREE DENGAN MENGGUNAKAN KODE DANDELION.pdf', 'fileid': 84132, 'mime_type': 'application/pdf'}]}]",pub,1.0,,,,,,
1,published,6746,"Udang merupakan salah satu komoditi ekspor hasil perikanan yang diekspor dari Provinsi Lampung. Produksi udang yang dihasilkan dari budidaya di tambak tidak terlepas dari kualitas udang yang dihasilkan. Untuk menghasilkan udang yang berkualitas diperlukan pakan buatan yang baik yang memenuhi kebutuhan nutrisi udang yang diplihara. Pabrik pakan yang mensuplai pakan buatan belum banyak dikaji dalam hal manajemennya. Bokau dkk. (2007) memberikan model matematika pakan udang, khususnya pada bahan baku yang digunakan. Akan tetapi, belum ada informasi yang bersifat komprehensif yang memuat sistem produksi pakan udang. Dalam tulisan ini didiskusikan tentang desain model matematika untuk optimasi input produksi pakan udang, agar dapat dicapai optimalitas produksi.",['QA'],2018-04-25 08:01:13,archive,show,1.0,6,http://fmipa.ipb.ac.id,DESAIN MODEL MATEMATIKA UNTUK OPTIMASI INPUT PRODUKSI PAKAN UDANG PUTIH (Litopenaeus vannamei),['FMIPA9'],article,2009-11-14 00:00:00.000000000,disk0/00/00/67/46,"[{'id': None, 'name': {'honourific': None, 'family': 'Bokau', 'lineage': None, 'given': 'Rietje'}}, {'id': 'wamiliana@gmail.com', 'name': {'given': 'Wamiliana', 'lineage': None, 'honourific': None, 'family': 'Wamiliana'}}]",978-979-95093-5-2,Prosiding Seminar Nasional Sains II,2018-04-25 08:01:13,390-399,2018-04-25 08:01:13,791,TRUE,http://repository.lppm.unila.ac.id/id/eprint/6746,public,Intitut Pertanian Bogor,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19712', 'rev_number': 1, 'main': 'Desain Model Matematika untuk Optimisasi......pdf', 'docid': 19712, 'files': [{'objectid': 19712, 'uri': 'http://repository.lppm.unila.ac.id/id/file/61914', 'datasetid': 'document', 'filesize': 1153428, 'mime_type': 'application/pdf', 'fileid': 61914, 'hash': '43facf39529f58ee1568a13a444b196d', 'filename': 'Desain Model Matematika untuk Optimisasi......pdf', 'mtime': '2018-04-19 03:35:17', 'hash_type': 'MD5'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 6746, 'placement': 1, 'security': 'public'}]",pub,1.0,,,,,,
2,published,1316,"Let R be a ring, (S , . , ≤ ) a strictly ordered monoid and  : S  End (R ) a monoid homomorphism.  Constructed  R[[S , ]] , i.e., the set of all functions from S to R whose support is artinian and narrow.  With pointwise addition and the skew convolution multiplication,  R[[S, ]] becomes a ring called the skew generalized power  series  rings.   In this  research, we will  investigate about  homomorphism of   skew generalized power series rings.",['QA'],2016-12-15 01:06:26,archive,show,15.0,8,http://jurnal.fmipa.unila.ac.id/index.php/sains/article/view/345/pdf,HOMOMORFISMA RING DERET PANGKAT TERITLAK MIRING,['FMIPA9'],article,2009-08-01 00:00:00.000000000,disk0/00/00/13/16,"[{'name': {'given': 'Ahmad', 'lineage': None, 'family': 'Faisol', 'honourific': None}, 'id': 'faisol_mathunila@yahoo.co.id'}]",1978-1873,Jurnal Sains MIPA,2016-12-15 01:06:26,119-124,2016-12-15 01:06:26,300,TRUE,http://repository.lppm.unila.ac.id/id/eprint/1316,public,FMIPA Universitas Lampung,"[{'content': 'published', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 1316, 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1190', 'format': 'text', 'pos': 1, 'files': [{'hash': '7ed63998a3fe3893a0e45ee185a529af', 'filename': 'HOMOMORFISMA RING DERET PANGKAT TERITLAK MIRING  J.Sains MIPA UNILA', 'hash_type': 'MD5', 'mtime': '2016-12-14 06:09:14', 'mime_type': 'application/pdf', 'fileid': 8822, 'filesize': 96623, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/8822', 'objectid': 1190}], 'main': 'HOMOMORFISMA RING DERET PANGKAT TERITLAK MIRING  J.Sains MIPA UNILA', 'docid': 1190}]",pub,2.0,,,,,,
3,published,6779,"sudoku merupakan teka-teki logika yang menggunakan angka sebagai simbol, memiliki bentuk dan model permasalahan yang cukup menarik untuk dikaji. Salah satu teknik yang dapat digunakan dalam penyelesaian Sudoku adalah mengguanakan Teknik Eliminasi dan Teknik Penelusuran Terkaan (Tracking Guess). Teknik penelusuran terkaan yang digunakan adalah metode jejak maju (Forward Tracking) yang biasa digunakan dalam penyelesaian komputasi pararel. Salah satu ide atau konsep yang dapat digunakan untuk melakukan forward tracking tersebut adalah menggunakan konsep dari Kage Bunshin Ninjutshu yang ada dalam cerita fiksi animasi Manga Naruto karangan Masashi Kisimoto.",['QA'],2018-04-25 07:50:29,archive,show,1.0,6,http://unila.ac.id/~mipa/,PENYELESAIAN PERMAINAN SUDOKU BERBASIS 9X9 MENGGUNAKAN ALGORITMA ELIMINASI DAN TRACKING GUESS KAGE BUNSHIN,['FMIPA9'],article,2009-11-16 00:00:00.000000000,disk0/00/00/67/79,"[{'name': {'given': 'Bima', 'honourific': None, 'family': 'Hariaputra', 'lineage': None}, 'id': None}, {'name': {'given': 'Wamiliana', 'lineage': None, 'family': 'Wamiliana', 'honourific': None}, 'id': 'wamiliana@gmail.com'}, {'id': 'dksari13@gmail.com', 'name': {'given': 'Dian', 'honourific': None, 'family': 'Kurniasari', 'lineage': None}}]",2086-2342,"Seminar Nasional Sains, Matematika, Informatika dan  Aplikasinya",2018-04-25 07:50:29,35-43,2018-04-25 07:50:29,791,TRUE,http://repository.lppm.unila.ac.id/id/eprint/6779,public,Fak. Mipa Universitas Lampung,"[{'security': 'public', 'placement': 1, 'eprintid': 6779, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/62120', 'objectid': 19748, 'mtime': '2018-04-20 04:02:56', 'hash_type': 'MD5', 'filename': 'Penyelesaian Permainan Sudoku Berbasis 9 x 9 Menggunakan Algoritma Eliminasi dan Tracking Guess Kage Bunshin.pdf', 'hash': '64b154915e7dfbd03eab38ab20192fa5', 'fileid': 62120, 'mime_type': 'application/pdf', 'filesize': 1115849, 'datasetid': 'document'}], 'docid': 19748, 'main': 'Penyelesaian Permainan Sudoku Berbasis 9 x 9 Menggunakan Algoritma Eliminasi dan Tracking Guess Kage Bunshin.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19748', 'rev_number': 1, 'format': 'text', 'pos': 1}]",pub,1.0,,,,,,
4,published,8663,,['HA'],2018-08-03 07:38:45,archive,show,,8,http://repository.lppm.unila.ac.id/1488/3/Eko%20Pramono_B-12-18.pdf,BENTUK KUADRATIK JUMLAH KUADRAT DAN KOMPONEN RAGAM RANCANGAN · TERSARANG DUA TAHAP MODEL ACAK,['FMIPA9'],article,1970-01-01 00:00:00.000002009,disk0/00/00/86/63,"[{'id': 'netti.herawati@fmipa.unila.ac.id', 'name': {'given': 'Netti', 'family': 'Herawati', 'honourific': None, 'lineage': None}}, {'id': 'afhadi@unej.ac.id', 'name': {'given': 'Alfian Futuhul', 'lineage': None, 'honourific': None, 'family': 'Hadi'}}]",ISBN 978-979-8510-07-6,Prosiding Seminar Hasil-Hasil Penelitian Universitas Lampung 2009,2018-08-03 07:38:45,,2018-08-03 07:38:45,959,TRUE,http://repository.lppm.unila.ac.id/id/eprint/8663,restricted,Lembaga Penelitian Universitas LAmpung,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'validuser', 'license': 'cc_by_nc', 'placement': 1, 'eprintid': 8663, 'rev_number': 7, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21733', 'format': 'text', 'pos': 1, 'files': [{'mime_type': 'application/pdf', 'fileid': 84563, 'hash': 'e6cf871a152533182ec85dbe821b94d2', 'filename': 'Eko%20Pramono_B-12-18.pdf', 'hash_type': 'MD5', 'mtime': '2018-07-19 03:07:58', 'datasetid': 'document', 'filesize': 730111, 'objectid': 21733, 'uri': 'http://repository.lppm.unila.ac.id/id/file/84563'}], 'main': 'Eko%20Pramono_B-12-18.pdf', 'docid': 21733}]",pub,,,,,,,
5,published,2373,"Abstract

This article aimed to study about knot and confidence interval for health science using spline nonparameteric regression.The study used simulation and real data. The result showed that numbers of knot should be placed according to the quantil variable in order to get a good estimation of the data function. Inadditon,confidence interval using bayesian and bootstrap method gave no different result for a small sample size whereas for a big sample size bootstrap gave narrower interval.",['HA'],2017-06-02 02:45:13,archive,show,10.0,8,http://Jurnal.UNEJ.ac.id/Index.php/JID/article/view/62,"Abstract

This article aimed to study about knot and confidence interval for health science using spline nonparameteric regression.The study used simulation and real data. The result showed that numbers of knot should be placed according to the quantil variable in order to get a good estimation of the data function. Inadditon,confidence interval using bayesian and bootstrap method gave no different result for a small sample size whereas for a big sample size bootstrap gave narrower interval.",['FMIPA9'],article,2009-01-01 00:00:00.000000000,disk0/00/00/23/73,"[{'name': {'family': 'Herawati', 'honourific': None, 'lineage': None, 'given': 'Netti'}, 'id': 'netti.herawati@fmipa.unila.ac.id'}, {'id': 'khoirin.nisa@fmipa.unila.ac.id', 'name': {'lineage': None, 'family': 'Nisa', 'honourific': None, 'given': 'Khoirin'}}]",2442-5613,Jurnal Ilmu Dasar,2017-06-02 02:45:13,62-67,2017-06-02 02:45:13,959,TRUE,http://repository.lppm.unila.ac.id/id/eprint/2373,restricted,UNEJ,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2244', 'rev_number': 5, 'docid': 2244, 'main': 164, 'files': [{'mime_type': 'text/html', 'fileid': 16390, 'filename': 164, 'hash': '4fbc07530605685eca0a13aba1962acd', 'hash_type': 'MD5', 'mtime': '2017-05-31 03:47:55', 'datasetid': 'document', 'filesize': 12967, 'objectid': 2244, 'uri': 'http://repository.lppm.unila.ac.id/id/file/16390'}], 'language': 'en', 'mime_type': 'text/html', 'content': 'published', 'eprintid': 2373, 'date_embargo': '2020-01', 'security': 'validuser', 'placement': 1}]",pub,1.0,netti.herawati@fmipa.unila.ac.id,,,,,
6,published,3456,"This article aimed to study kernel method for testing normality and to determine the density function based on
curve fitting technique (density plot) for small sample sizes. To obtain optimal bandwith we used Kullback-
Leibler cross validation method. We compared the result using goodness of fit test by Kolmogorof Smirnov test
statistics. The result showed that kernel method gave the same performance as Kolmogorof Smirnov for testing
normality but easier and more convinient than Kolmogorof Smirnov does.","['H1', 'HA']",2017-06-12 02:07:36,archive,show,10.0,7,,"Testing Normality and Bandwith Estimation Using Kernel Method
For Small Sample Size",['FMIPA9'],article,1970-01-01 00:00:00.000002009,disk0/00/00/34/56,"[{'name': {'family': 'Herawati', 'honourific': None, 'lineage': None, 'given': 'Netti'}, 'id': 'netti.herawati@fmipa.unila.ac.id'}, {'id': 'khoirin.nisa@fmipa.unila.ac.id', 'name': {'given': 'Khoirin', 'lineage': None, 'honourific': None, 'family': 'Nisa'}}]",,ILMU DASAR,2017-06-12 02:07:36,62-67,2017-06-12 02:07:36,644,TRUE,http://repository.lppm.unila.ac.id/id/eprint/3456,public,,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 3456, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3328', 'rev_number': 1, 'main': 'Testing_Normality_and_ ILMU DASAR.pdf', 'docid': 3328, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/23946', 'objectid': 3328, 'filename': 'Testing_Normality_and_ ILMU DASAR.pdf', 'hash': '0fd8e2a69dab308e7208e539b09bd2e0', 'mtime': '2017-06-06 05:43:04', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 23946, 'filesize': 325464, 'datasetid': 'document'}]}]",pub,1.0,,,,,,
7,published,6745,"Given one center already set, The multi period degree constrained minimum spanning tree problem (MPDCMST) is a problem of determining how many vertices (can be computers, cities, and so on) should be installed in a certain period in such a way so that the cost of installation is minimum. After all the periods done, all of the vertices must be in the network, and still the cost of installation must be the minimum. In addition, the network itself has a degree restriction in every vertex which limits the number of links that incident to. in this paper we will discuss the algorithm we have developed and give results on 600 random table data.",['QA'],2018-04-25 08:01:23,archive,show,14.0,6,,COMPUTATIONAL ASPECTS OF GREEDY ALGORITHM FOR SOLVING THE MULTI PERIOD DEGREE CONSTRAINED MINIMUM SPANNING TREE PROBLEM,['FMIPA9'],article,2009-01-01 00:00:00.000000000,disk0/00/00/67/45,"[{'name': {'given': 'Akmal', 'lineage': None, 'honourific': None, 'family': 'Junaidi'}, 'id': '.'}, {'id': 'wamiliana@gmail.com', 'name': {'lineage': None, 'family': 'Wamiliana', 'honourific': None, 'given': 'Wamiliana'}}, {'id': None, 'name': {'given': 'Dwi', 'family': 'Sakethi', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Edy Tri', 'lineage': None, 'honourific': None, 'family': 'Baskoro'}, 'id': None}]",1978-1873,Jurnal Sains MIPA,2018-04-25 08:01:23,1-6,2018-04-25 08:01:23,791,TRUE,http://repository.lppm.unila.ac.id/id/eprint/6745,public,FMIPA Universitas Lampung,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/19711', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/61908', 'objectid': 19711, 'filesize': 731029, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2018-04-19 03:14:06', 'hash': '0bdb2ddf6f54ef22dad62a85b6613fb7', 'filename': 'Computational Aspects of Greedy Algorithm......pdf', 'fileid': 61908, 'mime_type': 'application/pdf'}], 'docid': 19711, 'main': 'Computational Aspects of Greedy Algorithm......pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 6745}]",pub,1.0,,,,,,
8,published,6616,"The major objective of discriminant analysis is to classify multivariate data into different population on the basis of a training sampel for which the source populations are known. Since the primary goal of discriminant analysis is classifying data, it is important to know the probability of misclassification (which is also called: classification error rate) of the classification rule we use. In this paper we compared four methods for estimating the classification error rate through Monte Carlo simulation, the methods are the Resubstituion method, the Jackknife method, U estimator and U estimator. We set the simulation using 1000 random samples with size: n = 20, 40 and 60. The comparison of the predictions of error rate was done using the MSE (mean square error) resulted from all methods. Te result showed that the Jackknife method always performs better than the other three methods.",['HA'],2018-03-27 04:43:10,archive,show,,7,,"PEMBANDINGAN BEBERAPA PENDUGA TINGKAT KESALAHAN KLASIFIKASI
PADA ANALISIS DISKRIMINAN KUADRATIK",['FMIPA9'],article,1970-01-01 00:00:00.000002009,disk0/00/00/66/16,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Nisa', 'given': 'Khoirin'}, 'id': 'khoirin.nisa@fmipa.unila.ac.id'}]",ISBN 978-979-8510-07-6,PROSIDING Seminar Sehari Hasil – Hasil Penelitian & Pengabdian Kepada Masyarakat Universitas Lampung,2018-03-27 04:43:10,,2018-03-27 04:43:10,644,TRUE,http://repository.lppm.unila.ac.id/id/eprint/6616,public,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/19575', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/61030', 'objectid': 19575, 'hash_type': 'MD5', 'mtime': '2018-03-16 06:55:19', 'hash': 'a53c3f756f42e9786e7de2424bbf02fd', 'filename': 'Nisa 2009.pdf', 'fileid': 61030, 'mime_type': 'application/pdf', 'filesize': 553876, 'datasetid': 'document'}], 'docid': 19575, 'main': 'Nisa 2009.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 6616}]",pub,,,,,,,
9,published,8599,"Pengintegralan numerik langsung dapat digunakan untuk mencari solusi periodik pada sistem
persamaan nerve impulses yang telah didiskusikan oleh FitzHugh (1961). Kondisi awal diiterasikan
sedemikian sehingga nilainya sama dengan kondisi akhir secara bersamaan. Interval waktu
integrasi yaitu perioda impuls juga dapat dimasukkan ke dalam iterasi. Pada makalah ini akan
dipaparkan shooting method untuk menentukan solusi periodik persamaan nerve impulses 
tersebut dan perilakunya berdasarkan simulasi.",['QA'],2018-08-03 07:37:07,archive,show,1.0,7,http://www.unila.ac.id/~mipa/,PENENTUAN SOLUSI PERIODIK PERSAMAAN NERVE-IMPULSES DENGAN MENGGUNAKAN SHOOTING METHOD,['FMIPA9'],article,2009-11-16 00:00:00.000000000,disk0/00/00/85/99,"[{'id': 'aangnuryaman@gmail.com', 'name': {'given': 'Aang', 'family': 'Nuryaman', 'honourific': None, 'lineage': None}}]",2086-2342,"Seminar Nasional Sains, Matematika, Informatika dan  Aplikasinya VI UNILA",2018-08-03 07:37:07,163-168,2018-08-03 07:37:07,163,TRUE,http://repository.lppm.unila.ac.id/id/eprint/8599,public,Fak. Mipa Universitas Lampung,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/84144', 'objectid': 21652, 'mtime': '2018-07-09 05:18:34', 'hash_type': 'MD5', 'filename': 'PENENTUAN SOLUSI PERIODIK PERSAMAAN NERVE-IMPULSES DENGAN MENGGUNAKAN SHOOTING METHOD.pdf', 'hash': 'ec298f1dc3ee61e818b07917c0ceefb6', 'fileid': 84144, 'mime_type': 'application/pdf', 'filesize': 386744, 'datasetid': 'document'}], 'docid': 21652, 'main': 'PENENTUAN SOLUSI PERIODIK PERSAMAAN NERVE-IMPULSES DENGAN MENGGUNAKAN SHOOTING METHOD.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/21652', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 8599, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,1.0,,,,,,
