,type,divisions,creators,publication,date,dir,lastmod,userid,datestamp,documents,ispublished,number,refereed,full_text_status,uri,eprintid,date_type,eprint_status,status_changed,abstract,title,metadata_visibility,volume,rev_number,official_url,subjects,publisher,pagerange,corp_creators,issn,event_location,event_title,event_dates,event_type,pres_type,funders,contributors
0,article,['FMIPA9'],"[{'name': {'lineage': None, 'family': None, 'honourific': None, 'given': 'Warsono'}}, {'name': {'given': 'Dian', 'lineage': None, 'family': 'Kurniasari', 'honourific': None}}]","IPTEK, The Journal for Technology and Science",2014-04-01 00:00:00.000000000,disk0/00/00/02/93,2016-08-11 02:49:22,10,2016-08-11 02:49:22,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 293, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/286', 'docid': 286, 'main': 'Approximations of the Generalized Log-Logistic Distribution to the Chi-Square Distribution.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/1651', 'objectid': 286, 'filename': 'Approximations of the Generalized Log-Logistic Distribution to the Chi-Square Distribution.pdf', 'hash': '70b21000de5a423be42e68d41772f1bc', 'hash_type': 'MD5', 'mtime': '2016-08-10 04:33:50', 'mime_type': 'application/pdf', 'fileid': 1651, 'filesize': 547432, 'datasetid': 'document'}]}]",pub,1.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/293,293,published,archive,2016-08-11 02:49:22,"The main purpose of this article is to do approximations graphically and mathematically the four-parameter generalized log-logistic distribution, denoted by G4LL (α,β,m1,m2,to the one-parameter Chi-square distribution with υ degrees of freedom. In order to achieve this purpose, this article creates graphically the probability density functions of both distribution and derives mathematically the MGF of the both distributions. To prove the MGF of Chi-square as a special case of the MGF of G4LL distribution, we utilized an expansion of the MacLaurin series. The results show that graphically, the Chi-square distribution can be approximated by the generalized log-logistic distribution. Moreover, by letting α=1, β= -In(2m2), m1= v/2 dan m2→∞, the MGF of the G4LL distribution can be written in the form of the MGF of the Chi-square distribution. Thus, the Chi-square distribution is a limiting or special case distribution of the generalized log-logistic distribution.
Keywordschi-square distribution, generalized log-logistic distribution, moment generating function, MacLaurin series",Approximations of the Generalized Log-Logistic Distribution to the Chi-Square Distribution,show,25.0,5,,,,,,,,,,,,,
1,article,['FMIPA9'],"[{'name': {'given': 'Anni', 'honourific': None, 'family': 'Anni', 'lineage': None}, 'id': None}, {'id': 'klppm@kpa.unila.ac.id', 'name': {'honourific': None, 'family': 'Warsono', 'lineage': None, 'given': 'Warsono'}}, {'id': 'dian.kurniasari@fmipa.unila.ac.id', 'name': {'lineage': None, 'family': 'Kurniasari', 'honourific': None, 'given': 'Dian'}}]",Biastatistics,2014-02-28 00:00:00.000000000,disk0/00/03/80/60,2022-01-20 01:36:08,752,2022-01-20 01:36:08,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 38060, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159018', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'objectid': 159018, 'uri': 'http://repository.lppm.unila.ac.id/id/file/432511', 'mime_type': 'application/pdf', 'fileid': 432511, 'filename': 'BIAStatistics Vol 8 No 1 (2).pdf', 'hash': 'a3dc60acb90fe8662ace3c1c248e7343', 'hash_type': 'MD5', 'mtime': '2022-01-19 18:37:18', 'datasetid': 'document', 'filesize': 796427}], 'main': 'BIAStatistics Vol 8 No 1 (2).pdf', 'docid': 159018}]",pub,1.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/38060,38060,published,archive,2022-01-20 01:36:08,Generalized log-logistic (GLL) distribution is a generalization of the log-logistic distribution with four parameters (,PENDEKATAN DISTRIBUSI LOG NORMAL DENGAN DISTRIBUSI GENERALIZED LOG-LOGISTIC (GLL) MELALUI DISTRIBUSI GENERALIZED GAMMA (GG),show,8.0,6,http://biastatistics.statistics.unpad.ac.id/index.php/biastatistics/issue/archive,['QA'],Jurusan Statistika FMIPA Universitas padjajaran,27-33,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",1907-6274,,,,,,,
2,article,['FMIPA9'],"[{'id': 'asmiati308@yahoo.com', 'name': {'given': 'Asmiati', 'family': 'Asmiati', 'honourific': None, 'lineage': None}}]",Far East Journal of Mathematical Sciences (FJMS),1970-01-01 00:00:00.000002014,disk0/00/00/15/07,2017-04-06 01:40:32,821,2017-04-06 01:40:29,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1379', 'docid': 1379, 'main': 'The locating-chromatic number of non homogeneous amalgamation of stars.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/10267', 'objectid': 1379, 'hash_type': 'MD5', 'mtime': '2017-04-05 07:08:12', 'hash': 'abd9b4e969dfabf5b13007ca04635705', 'filename': 'The locating-chromatic number of non homogeneous amalgamation of stars.pdf', 'fileid': 10267, 'mime_type': 'application/pdf', 'filesize': 150799, 'datasetid': 'document'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 1507, 'placement': 1, 'security': 'public'}]",pub,1.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/1507,1507,published,archive,2017-04-06 01:40:32,,The locating-chromatic number of non-homogeneous amalgamation of stars,show,93.0,9,http://www.pphmj.com,['QA'],Puspha Publishing House,89-96,,0972-0871,,,,,,,
3,conference_item,['FMIPA9'],"[{'id': 'asmiati308@yahoo.com', 'name': {'given': 'Asmiati', 'lineage': None, 'honourific': None, 'family': 'Asmiati'}}, {'id': 'fitriani_mathunila@yahoo.co.id', 'name': {'given': 'Fitriani', 'family': 'Fitriani', 'honourific': None, 'lineage': None}}]",,2014-06-11 00:00:00.000000000,disk0/00/00/13/21,2016-12-16 01:17:51,263,2016-12-16 01:17:51,"[{'eprintid': 1321, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'main': 'GRAF AMALGAMASI POHON BERBILANGAN Prosiding KNM 2014.pdf', 'docid': 1195, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/8862', 'objectid': 1195, 'filesize': 1610253, 'datasetid': 'document', 'hash': 'db6691c9523e0e55c1d442ca921a0e87', 'filename': 'GRAF AMALGAMASI POHON BERBILANGAN Prosiding KNM 2014.pdf', 'hash_type': 'MD5', 'mtime': '2016-12-15 04:16:55', 'mime_type': 'application/pdf', 'fileid': 8862}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/1195', 'rev_number': 1}]",pub,,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/1321,1321,published,archive,2016-12-16 01:17:51,"Misalkan G=(V,E)   adalah graf terhubung dan c suatu pewarnaan-k sejati dari G .  Misalkan pula Π={C_1,C_2,…,C_k} merupakan partisi dari V(G) yang diinduksi oleh pewarnaan c. Kode warna c_Π (v) dari v adalah koordinat (d(v,C_1 ),d(v,C_2 ),…,d(v,C_k)),  dengan d(v,C_i )=min⁡〖{d(v,x)|x ∈C_i}〗  untuk 1≤i≤k. Jika semua titik di G mempunyai kode warna berbeda, maka c disebut pewarnaan  lokasi.    Bilangan  kromatik  lokasi  dari G ,   dinotasikan  dengan χ_L (G)  adalah  bilangan  terkecil k sehingga G mempunyai  pewarnaan-k lokasi. Graf T_(k,m) adalah graf pohon yang hanya memiliki satu titik akar, yaitu x yang mempunyai k anak dan setiap anaknya mempunyai m daun.  Graf amalgamasi pohon nT_(k,m)  adalah  graf  yang  diperoleh  dari n buah  graf dengan  cara menyatukan titik x pada setiap graf tersebut. Pada paper ini akan dibahas graf amalgamasi 〖nT〗_(k,m) yang berbilangan kromatik lokasi empat.",GRAF AMALGAMASI POHON BERBILANGAN KROMATIK LOKASI EMPAT,show,,8,http://www.knm17.its.ac.id/,['QA'],,1399-1408,,,Institut Teknologi Sepuluh Nopember,Konferensi Nasional Matematika (KNM) XVII,11-14 Juni 2014,conference,paper,,
4,other,['FMIPA9'],"[{'id': 'dian.kurniasari@fmipa.unila.ac.id', 'name': {'given': 'Kurniasari', 'family': 'Dian', 'honourific': None, 'lineage': None}}]",,1970-01-01 00:00:00.000002014,disk0/00/01/86/69,2020-03-13 08:46:52,752,2020-03-13 08:46:52,"[{'files': [{'fileid': 156817, 'mime_type': 'application/pdf', 'mtime': '2020-03-13 04:23:57', 'hash_type': 'MD5', 'hash': 'd4297ba0f71244360f0b295e14a262e7', 'filename': 'IS24% - A06 - GENERALIZED_METHOD_OF_MOMENTS__CHARACTERISTICS_AND.pdf', 'datasetid': 'document', 'filesize': 1919075, 'objectid': 31842, 'uri': 'http://repository.lppm.unila.ac.id/id/file/156817'}], 'main': 'IS24% - A06 - GENERALIZED_METHOD_OF_MOMENTS__CHARACTERISTICS_AND.pdf', 'docid': 31842, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31842', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 18669, 'mime_type': 'application/pdf', 'language': 'en'}]",pub,,,public,http://repository.lppm.unila.ac.id/id/eprint/18669,18669,published,archive,2020-03-13 08:46:52,Hasil Penilaian Sejawat Sebidang atau Peereveview Karya Ilmiah: Jurnal Ilmiah Internasional,Generalized Method of Moments' Characteristics and Its Application on Panel Data,show,,7,,['AC'],Science International (Lahore),,,,,,,,,,
5,article,['FMIPA9'],"[{'id': 'faisol_mathunila@yahoo.co.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Faisol', 'given': 'Ahmad'}}]",Jurnal Matematika,2014-08-01 00:00:00.000000000,disk0/00/00/13/15,2016-12-15 01:06:28,300,2016-12-15 01:06:28,"[{'eprintid': 1315, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': '12270-28112-1-PB_copy.pdf', 'docid': 1189, 'files': [{'objectid': 1189, 'uri': 'http://repository.lppm.unila.ac.id/id/file/8816', 'datasetid': 'document', 'filesize': 63165, 'mime_type': 'application/pdf', 'fileid': 8816, 'filename': '12270-28112-1-PB_copy.pdf', 'hash': 'cd3710577903215df17c3a2bafbe042f', 'hash_type': 'MD5', 'mtime': '2016-12-14 05:54:40'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1189', 'rev_number': 1}]",pub,2.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/1315,1315,published,archive,2016-12-15 01:06:28,"Given a ring R, a strictly ordered monoid (S,⋅,≤) and monoid homomorphism ω :S → End(R). Constructed the set of all function from S to R whose support is Artinian and narrow, with pointwise addition and the skew convolution multiplication, it becomes a ring called 
the skew generalized power series rings (SGPSR) and denoted by R[[S,ω,≤]]. A ring R is called reduced if it contains no nonzero nilpotent elements, reversible if for all r,s∈R, rs = 0 implies sr=0. Let µ : R → R be a ring endomorphism, if for r∈R, rµ(r)=0 implies r = 0, then µ is called rigid. In this paper, we will discuss about the constructing of SGPSR homomorphism. Beside that, we 
also discuss about rigid and compatible endomorphism on SGPSR R[[S,ω, ≤]].","ENDOMORFISMA RIGID DAN COMPATIBLE PADA  
RING DERET PANGKAT TERGENERALISASI MIRING",show,17.0,6,http://ejournal.undip.ac.id/index.php/matematika/article/view/12270/pdf,['QA'],"Fakultas Sains dan Matematika, Universitas Diponegoro",45-49,,1410-8518,,,,,,,
6,article,['FMIPA9'],"[{'name': {'lineage': None, 'family': 'Hambali', 'honourific': None, 'given': 'Mohamad Ibnu'}, 'id': None}, {'id': 'wamiliana@gmail.com', 'name': {'honourific': None, 'family': 'Wamiliana', 'lineage': None, 'given': 'Wamiliana'}}, {'name': {'lineage': None, 'family': 'Fitriani', 'honourific': None, 'given': 'Fitriani'}, 'id': '.'}]",Jurnal MATEMATIKA,1970-01-01 00:00:00.000002014,disk0/00/00/14/80,2017-03-24 14:38:31,7,2017-03-24 14:38:31,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 1480, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1351', 'docid': 1351, 'main': 'Dengan keterangan - Persamaan Umum Jumlah Edge dan Titik pada Cycle Extension.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2017-03-24 14:32:49', 'filename': 'Dengan keterangan - Persamaan Umum Jumlah Edge dan Titik pada Cycle Extension.pdf', 'hash': '51dc40228377656c6284472031a09eaa', 'fileid': 10053, 'mime_type': 'application/pdf', 'filesize': 3841874, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/10053', 'objectid': 1351}]}]",pub,3.0,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/1480,1480,published,archive,2017-03-24 14:38:31,,"Persamaan Umum Jumlah Edge dan Titik pada Cycle Extension
Cubic Graph",show,17.0,7,http://eprints.undip.ac.id/48667,['QA'],Jurusan Matematika FSM Universitas Diponegoro,93-103,['Universitas Lampung'],1410-8518,,,,,,,
7,other,['FMIPA9'],"[{'name': {'honourific': None, 'family': 'Kurniasari', 'lineage': None, 'given': 'Dian'}, 'id': 'dksari13@gmail.com'}]",,1970-01-01 00:00:00.000002014,disk0/00/01/91/87,2020-04-15 04:03:04,752,2020-04-15 04:03:04,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 19187, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32424', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'filename': '17. Analisis Model Regresi Linear Berganda dengan  Metode Response Surface.pdf', 'hash': '5816f53eb678802e3fd57f03700beaac', 'mtime': '2020-04-15 03:21:55', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 160810, 'filesize': 506280, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/160810', 'objectid': 32424}], 'docid': 32424, 'main': '17. Analisis Model Regresi Linear Berganda dengan  Metode Response Surface.pdf'}]",pub,,,public,http://repository.lppm.unila.ac.id/id/eprint/19187,19187,published,archive,2020-04-15 04:03:04,Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah Jurnal Ilmiah Nasional,Analisis Model Regresi Linear Berganda dengan  Metode Response Surface,show,,7,,['AC'],Jurnal Gradien,,,,,,,,,,
8,other,['FMIPA9'],"[{'name': {'given': 'Dian', 'lineage': None, 'honourific': None, 'family': 'Kurniasari'}, 'id': 'dksari13@gmail.com'}]",,1970-01-01 00:00:00.000002014,disk0/00/01/91/76,2020-04-15 02:57:12,752,2020-04-15 02:57:12,"[{'security': 'public', 'placement': 1, 'eprintid': 19176, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/160729', 'objectid': 32413, 'filesize': 982779, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2020-04-15 02:50:22', 'hash': '56091257e7c3853c09408ad6b735f657', 'filename': ""6. Generalized Method of Moments' Characteristics and Its Application on Panel Data.pdf"", 'fileid': 160729, 'mime_type': 'application/pdf'}], 'docid': 32413, 'main': ""6. Generalized Method of Moments' Characteristics and Its Application on Panel Data.pdf"", 'uri': 'http://repository.lppm.unila.ac.id/id/document/32413', 'rev_number': 1, 'format': 'text', 'pos': 1}]",pub,,,public,http://repository.lppm.unila.ac.id/id/eprint/19176,19176,published,archive,2020-04-15 02:57:12,Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah Jurnal Ilmiah Internasional,Generalized Method of Moments' Characteristics and Its Application on Panel Data,show,,7,,['AC'],Science International (Lahore),,,,,,,,,,
9,other,['FMIPA9'],"[{'name': {'honourific': None, 'family': 'Kurniasari', 'lineage': None, 'given': 'Dian'}, 'id': 'dksari13@gmail.com'}]",,1970-01-01 00:00:00.000002014,disk0/00/01/91/82,2020-04-15 04:01:44,752,2020-04-15 04:01:44,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/32419', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'datasetid': 'document', 'filesize': 916645, 'fileid': 160775, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-04-15 03:11:55', 'hash': 'ef804e77f46eda0f90b304d69924e4de', 'filename': '12. Karakteristik PendugaVariogram Untuk Data Nonstasioner.pdf', 'objectid': 32419, 'uri': 'http://repository.lppm.unila.ac.id/id/file/160775'}], 'docid': 32419, 'main': '12. Karakteristik PendugaVariogram Untuk Data Nonstasioner.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 19182}]",pub,,,public,http://repository.lppm.unila.ac.id/id/eprint/19182,19182,published,archive,2020-04-15 04:01:44,Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah Jurnal Ilmiah Nasional,Karakteristik PendugaVariogram Untuk Data Nonstasioner,show,,7,,['AC'],BIAStatistics,,,,,,,,,,
