,subjects,abstract,status_changed,eprint_status,volume,rev_number,metadata_visibility,title,date_type,eprintid,pagerange,datestamp,corp_creators,lastmod,userid,full_text_status,uri,refereed,ispublished,number,publisher,documents,divisions,type,date,dir,publication,creators,issn,id_number,official_url,pres_type,event_title,event_location,event_type,event_dates,contact_email,referencetext,keywords,related_url,succeeds,funders,note
0,['QA75'],"Pada artikel ini dikaji mengenai model matematika propellant grain configuration untuk mendapatkan luasan pembakaran yang sesuai pada roket sonda. Roket sonda adalah roket percobaan yang dibuat oleh Pustekroket LAPAN untuk menunjang penelitian di bidang antariksa dengan jarak ketinggian sebagai sasaran penilaian. Luasan pembakaran untuk grain propellant model hollow grain, wagon wheel grain, dan star grain dikaji secara analitik melalui pemodelan matematika menggunakan konsep geometri agar didapatkan formula yang sesuai untuk tiap model grain propellant. Hasil yang diperoleh selanjutnya dibandingkan dengan menggunakan perhitungan manual menggunakan bantuan software SolidWork. Yang dimaksud manual adalah menambahkan fillet pada grain kemudian dihitung satu per satu panjang dari tiap fillet tersebut sehingga ini membutuhkan waktu yang lama. Hasil menunjukkan bahwa luasan pembakaran ketiga model grain tersebut tidak menunjukkan perbedaan yang signifikan pada kedua metode yang artinya formula yang didapatkan dari perhitungan analitik sudah valid.",2021-10-29 09:37:16,archive,1.0,6,show,"Desain dan Analisis Geometri Propellant Grain Configuration
pada Roket Padat",published,34715,56-62,2021-10-29 09:37:16,"['Universitas Lampung', 'Pustekroket LAPAN']",2021-10-29 09:37:16,163,public,http://repository.lppm.unila.ac.id/id/eprint/34715,TRUE,pub,2.0,"Jurusan Matematika, Universitas Lampung","[{'files': [{'datasetid': 'document', 'filesize': 378085, 'mime_type': 'application/pdf', 'fileid': 407540, 'filename': 'Artikel Ihsan.pdf', 'hash': 'cb1e40e123343c6e79d227f1c3a4d839', 'mtime': '2021-10-29 02:30:37', 'hash_type': 'MD5', 'objectid': 155369, 'uri': 'http://repository.lppm.unila.ac.id/id/file/407540'}], 'docid': 155369, 'main': 'Artikel Ihsan.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/155369', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 34715, 'language': 'en', 'mime_type': 'application/pdf'}]",['FMIPA9'],article,2020-09-01 00:00:00.000000000,disk0/00/03/47/15,Jurnal Siger Matematika,"[{'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Abyan', 'given': 'Muhammad Ihsan'}}, {'id': 'aangnuryaman@gmail.com', 'name': {'honourific': None, 'family': 'Nuryaman', 'lineage': None, 'given': 'Aang'}}, {'id': None, 'name': {'given': 'Bagus Hayatul', 'lineage': None, 'family': 'Jihad', 'honourific': None}}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Junjunan', 'given': 'Soleh Fajar'}}]","2721-5849 (p), 2721-6853(e)",,,,,,,,,,,,,,
1,['QA'],"One of the essential and well-known classes of combinatorial optimization problems commonly studies by
researchers in the last five decades is called the Knapsack Problem (KP). Many variants of KP have been introduced
for different real-world applications. Among them, the multiple-choice multi-dimensional Knapsack Problem (mmKP)
is
the
most
complex
model
with
an
NP-hard
problem.
Several
authors
have
reported
the
robustness
of
heuristics

for
mm-KP;
irrespective
of
its
advantages,
no
method
currently
has
the
ability
to
solve
the
problem
optimally
all
time.

This
paper
aims
to
determine
the
best
GA
strategy
and
evaluate
the
performance
of
several
heuristic
algorithms
to

solve
mm-KP.
We
investigate
the
use
of
two
techniques
that
are
included
in
the
GA
approach.
The
first,
two
different

strategies
are
adopted
to
handle
infeasible
chromosomes,
namely
penalty
and
repairing
procedure.

Second,
we
develop

a

new-simple local search to improve the quality of the solution found. Experimental studies on the 13 (thirteen)
Benchmark instances are conducted to evaluate the effectiveness of the approach based on solutions quality, the
number of the optimal solution reached, and average errors. The results showed that hr-GA tends to reach optimal/nearoptimal
solutions.
Furthermore,
the
results
from
studies
on
heuristic
algorithms
also
show
that
hr-GA is a promising approach, with local search used to immensely improve the quality.",2020-10-16 02:40:43,archive,13.0,7,show,"Comparing Various Genetic Algorithm Approaches for 
Multiple-choice Multi-dimensional Knapsack Problem",published,24317,455-462,2020-10-16 02:40:43,,2020-10-16 02:40:43,791,public,http://repository.lppm.unila.ac.id/id/eprint/24317,TRUE,pub,5.0,,"[{'eprintid': 24317, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Comparing Various Genetic Algorithm Approaches.pdf', 'docid': 38038, 'files': [{'objectid': 38038, 'uri': 'http://repository.lppm.unila.ac.id/id/file/221258', 'datasetid': 'document', 'filesize': 463622, 'fileid': 221258, 'mime_type': 'application/pdf', 'mtime': '2020-10-15 14:19:17', 'hash_type': 'MD5', 'filename': 'Comparing Various Genetic Algorithm Approaches.pdf', 'hash': '4f9f53a57a3becafe08fd5a484c19360'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38038'}]",['FMIPA9'],article,1970-01-01 00:00:00.000002020,disk0/00/02/43/17,international Journal of Intelligent Engineering & System,"[{'name': {'lineage': None, 'family': 'Admi Syarif', 'honourific': None, 'given': 'AS'}, 'id': 'admi_syarif@yahoo.com'}, {'id': 'diananggraini1995.da@gmail.com', 'name': {'honourific': None, 'family': 'Anggraini', 'lineage': None, 'given': 'Dian'}}, {'name': {'given': 'KM', 'honourific': None, 'family': 'Kurnia Muludi', 'lineage': None}, 'id': 'kmuludi@yahoo.com'}, {'id': 'wamiliana@gmail.com', 'name': {'given': 'Wamiliana', 'lineage': None, 'family': 'Wamiliana', 'honourific': None}}, {'id': None, 'name': {'honourific': None, 'family': 'Gen', 'lineage': None, 'given': 'Mitsuo'}}]",2185-3118,DOI: 10.22266/ijies2020.1031.40,,,,,,,,,,,,,
2,['QA'],"Masalah penyehatan lingkungan pemukiman khususnya pada pembuangan tinja merupakan salah satu dari berbagai masalah kesehatan yang perlu mendapatkan prioritas. Pencemaran lingkungan salah satunya pengelolaan lingkungan itu sendiri tidak memenuhi syarat sehat, seperti pengelolaan jamban, sehingga dapat berpengaruh terhadap kesehatan manusia. Lingkungan yang bersih dan sehat adalah lingkungan yang didambakan oleh manusia dan dapat bermanfaat terhadap peningkatan hidup sehat. Penerapan dan pendampingan ini dilakukan dengan metode ceramah bervariasi dan latihan/praktik. Metode ceramah diperlukan untuk menjelaskan materi dan prosedur pemasangan jamban. Metode latihan/praktik diperlukan untuk memberikan percontohan jamban ramah lingkungan. Kegiatan penerapan dan pendampingan ini secara keseluruhan dapat dikatakan terlaksana dengan faktor pendukung terlaksananya kegiatan Program Pengabdian Kepada Masyarakat ini adalah ketersediaan tenaga ahli di FMIPA Universitas Lampung dan antusiasme peserta.
Kata kunci: jamban, kesehatan, lingkungan",2020-11-16 15:03:22,archive,1.0,6,show,Penerapan dan Pendampingan Peningkatkan Kesehatan Sanitasi Lingkungan Tepian Sungai Mesuji dengan Penggunaan Jamban Rawa dan Sungai Ramah Lingkungan di Desa Wiralaga I Kabupaten Mesuji Lampung,published,25527,351-357,2020-11-16 15:03:22,['Universitas Lampung'],2020-11-16 15:03:22,488,public,http://repository.lppm.unila.ac.id/id/eprint/25527,TRUE,pub,5.0,,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 25527, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39326', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/230240', 'objectid': 39326, 'filesize': 417243, 'datasetid': 'document', 'hash': '01a68a4edc722fe0ff5299e538b75d77', 'filename': 'Jurnal Abdidas Agus Sutrisno_Amanto.pdf', 'mtime': '2020-11-16 08:11:20', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 230240}], 'main': 'Jurnal Abdidas Agus Sutrisno_Amanto.pdf', 'docid': 39326}]",['FMIPA9'],article,1970-01-01 00:00:00.000002020,disk0/00/02/55/27,Jurnal Abdidas Volume 1 Nomor 5 Tahun 2020 Halaman 351 - 357,"[{'name': {'honourific': None, 'family': 'Agus Sutrisno', 'lineage': None, 'given': 'agus'}, 'id': 'agus.sutrisnomg4@gmail.com'}, {'name': {'lineage': None, 'honourific': None, 'family': 'Dorrah', 'given': 'Azis'}, 'id': 'dorrah.azis@fmipa.unila.ac.id'}, {'id': 'amanto.1973@fmipa.unila.ac.id', 'name': {'lineage': None, 'family': 'Amanto', 'honourific': None, 'given': 'Amanto'}}, {'id': 'ansomath@yahoo.com', 'name': {'lineage': None, 'family': 'Muslim Ansori', 'honourific': None, 'given': 'Muslim'}}]",ISSN 2721- 9224,,http://abdidas.org/index.php/abdidas,,,,,,,,,,,,
3,['QA'],"Space Time Autoregressive (STAR) is a model that can be used to analyze time series data that have
a relationship between time and location. However STAR models tend to be inflexible when faced with location
that have heterogeneous characteristic. To overcome this weaknes, the Generalized Space Time Autoregressive
(GSTAR) model is used, which is a STAR model, assuming that the autoregressive parameters and space-time
parameters don’t have be the same value at each location. The purpose of this study is to modeling rainfall
data in Pringsewu Regency(Z1), South Lampung Regency(Z2), and South Lampung Regency using the GSTAR
model. By using Distance Invers weighting matrix, the model obtained is GSTAR (31) I(0).",2020-04-29 01:59:28,archive,,8,show,"Pemodelan Data Curah Hujan dengan Model Generalized Space
Time Autoregressive (GSTAR)",published,19359,121-124,2020-04-29 01:59:28,,2020-04-29 01:59:28,33,public,http://repository.lppm.unila.ac.id/id/eprint/19359,TRUE,pub,,,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32588', 'rev_number': 2, 'main': 2465, 'docid': 32588, 'files': [{'mtime': '2020-04-28 08:37:54', 'hash_type': 'MD5', 'filename': 2465, 'hash': '6ef06a755225ab36b5ba515e20f3db16', 'fileid': 161944, 'mime_type': 'text/html', 'filesize': 15812, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/161944', 'objectid': 32588}], 'language': 'en', 'mime_type': 'text/html', 'eprintid': 19359, 'security': 'public', 'placement': 1}]",['FMIPA9'],conference_item,1970-01-01 00:00:00.000002020,disk0/00/01/93/59,,"[{'id': None, 'name': {'lineage': None, 'family': 'Aji P', 'honourific': None, 'given': 'Krisnawan'}}, {'name': {'given': 'Widiarti', 'lineage': None, 'honourific': None, 'family': 'Widiarti'}, 'id': 'widiarti08@gmail.com'}, {'id': 'dksari13@gmail.com', 'name': {'honourific': None, 'family': 'Kurniasari', 'lineage': None, 'given': 'Dian'}}, {'id': 'klppm@kpa.unila.ac.id', 'name': {'family': 'Warsono', 'honourific': None, 'lineage': None, 'given': 'Warsono'}}]",,,http://jurnal.fmipa.unila.ac.id/snsmap/index,paper,SN-SMIAP 5 2019 FMIPA UNILA,FMIPA UNILA,conference,24 Oktober 2019,,,,,,,
4,['QA'],"If given a graph G(V,E) with n vertices and m edges many graphs can be
constructed. The graphs constructed maybe connected graphs (there exists at least one
path connecting every pair of vertices in the graph) or disconnected; either simple a
(contains loop or parallel edges) or not simple. In ,this paper we will discuss the formula
for counting the number of connected vertex labelled graph of order five (n=5) without
loops, witof h minimum five edges and maa y contaiof n maximum ten parallel edges.",2020-07-07 07:41:48,archive,1524.0,7,show,"Counting the number of vertex labeled connected graphs of
order five with minimum five edges and maximum ten parallel
edges",published,23008,1-7,2020-07-07 07:41:48,,2020-07-07 07:41:48,791,public,http://repository.lppm.unila.ac.id/id/eprint/23008,TRUE,inpress,12047.0,IOP Publishing,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36567', 'pos': 1, 'format': 'text', 'files': [{'objectid': 36567, 'uri': 'http://repository.lppm.unila.ac.id/id/file/211091', 'datasetid': 'document', 'filesize': 896090, 'mime_type': 'application/pdf', 'fileid': 211091, 'filename': 'Amanto_2020_J._Phys.__Conf._Ser._1524_012047.pdf', 'hash': 'bd7e6571ca9dec88c49b3c0b57dda8bd', 'mtime': '2020-07-07 06:29:26', 'hash_type': 'MD5'}], 'main': 'Amanto_2020_J._Phys.__Conf._Ser._1524_012047.pdf', 'docid': 36567, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 23008}]",['FMIPA9'],article,2020-06-01 00:00:00.000000000,disk0/00/02/30/08,Journal of Physics: Conference Series,"[{'id': 'pakamanto@gmail.com', 'name': {'given': 'Amanto', 'family': 'Amanto', 'honourific': None, 'lineage': None}}, {'id': 'notiragayu@fmipa.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Notiragayu', 'given': 'Notiragayu'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Puri', 'given': 'F. C'}, 'id': None}, {'id': None, 'name': {'honourific': None, 'family': 'Antoni', 'lineage': None, 'given': 'Yudi'}}, {'id': 'wamiliana@gmail.com', 'name': {'given': 'Wamiliana', 'family': 'Wamiliana', 'honourific': None, 'lineage': None}}]",Print : 1742-6588 Online : 1742-6596,10.1088/1742-6596/1524/1/012047,,,,,,,,,,,,,
5,['QA'],"Peramalan nilai Indeks Harga Konsumen (IHK) memiliki peran penting mengingat dalam menentukan nilai laju pergerakan inflasi di suatu wilayah diperoleh melalui perhitungan nilai Indeks Harga Konsumen (IHK) tersebut. Agar mendapat hasil ramalan dengan tepat, maka diperlukan metode peramalan yang sesuai. Metode ARIMA merupakan metode yang sering digunakan dalam peramalan data deret waktu dan metode ini dapat digunakan untuk semua tipe pola data. Berdasarkan data Indeks Harga Konsumen (IHK) Kota Metro diperoleh model peramalan terbaik yaitu model ARIMA (0,2,1).

Kata kunci : indeks harga konsumen, peramalan, ARIMA",2020-11-16 15:07:16,archive,,7,show,PERAMALAN LAJU PERGERAKAN INDEKS HARGA KONSUMEN (IHK) KOTA METRO MENGGUNAKAN METODE AUTOREGRESSIVE INTEGRATED MOVING AVERAGE (ARIMA,submitted,25604,,2020-11-16 15:07:16,,2020-11-16 15:07:16,433,public,http://repository.lppm.unila.ac.id/id/eprint/25604,FALSE,submitted,,,"[{'placement': 1, 'security': 'public', 'eprintid': 25604, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/230721', 'objectid': 39409, 'filename': 'ananto.pdf', 'hash': '91be970a98564d733d2d377f9a8e0f67', 'hash_type': 'MD5', 'mtime': '2020-11-16 12:55:24', 'mime_type': 'application/pdf', 'fileid': 230721, 'filesize': 7910, 'datasetid': 'document'}], 'docid': 39409, 'main': 'ananto.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39409', 'pos': 1, 'format': 'text'}]",['FMIPA9'],conference_item,2020-11-05 00:00:00.000000000,disk0/00/02/56/04,,"[{'id': 'anantoadi4@gmail.com', 'name': {'given': 'Adi N', 'family': 'Ananto', 'honourific': None, 'lineage': None}}, {'name': {'honourific': None, 'family': 'Nusyirwan', 'lineage': None, 'given': 'Nusyirwan'}, 'id': 'nusyirwan.1966@fmipa.unila.ac.id'}]",,,,speech,Seminar Nasional Matematika Kuantitatif 3,FMIPA UNILA,conference,5 November 2020,,,,,,,
6,['QA'],"Air transportation is now a mode of transportation that is often the first choice. Although the transportation costs are relatively expensive, it can save a lot of time to get to the destination. Therefore, predicting the number of aircraft passengers is an interesting thing to study. In this study forecasting the number of aircraft passengers at Raden Intan II Airport using spectral analysis methods. Spectral analysis is used to obtain more complete information about the time series data characteristics to examine the periodicity. After getting the periodicity the data is modeled using the ARIMA Seasonal Method. Based on the analysis results it is known that the best model for forecasting aircraft passengers at Raden Intan II Airport is Seasonal ARIMA (0,1,1) (0,1,1)3",2020-04-29 01:59:12,archive,1.0,6,show,Peramalan Data Time Series Seasonal Menggunakan Metode Analisis Spektral,published,19357,10-15,2020-04-29 01:59:12,,2020-04-29 01:59:12,33,public,http://repository.lppm.unila.ac.id/id/eprint/19357,TRUE,pub,1.0,"Jurusan Matematika, Universitas Lampung","[{'docid': 32586, 'main': 'Jurnal Siger Math_Widiarti-Anis dkk.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/161929', 'objectid': 32586, 'mtime': '2020-04-28 07:56:11', 'hash_type': 'MD5', 'hash': 'c0c2237ad57c7f96a381f599101e4ab5', 'filename': 'Jurnal Siger Math_Widiarti-Anis dkk.pdf', 'fileid': 161929, 'mime_type': 'application/pdf', 'filesize': 289471, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32586', 'rev_number': 1, 'eprintid': 19357, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",['FMIPA9'],article,2020-03-31 00:00:00.000000000,disk0/00/01/93/57,Jurnal Siger Matematika,"[{'name': {'given': 'Mahfud Al’afi', 'honourific': None, 'family': 'Anis', 'lineage': None}, 'id': None}, {'name': {'lineage': None, 'honourific': None, 'family': 'Widiarti', 'given': 'Widiarti'}, 'id': 'widiarti08@gmail.com'}, {'id': 'dksari13@gmail.com', 'name': {'given': 'Dian', 'lineage': None, 'family': 'Kurniasari', 'honourific': None}}, {'id': 'usman_alfha@yahoo.com', 'name': {'given': 'Mustofa', 'honourific': None, 'family': 'Usman', 'lineage': None}}]","2721-5849 (p), 2721-6853(e)",http://dx.doi.org/10.23960%2Fjsm.v1i1.2484,http://jurnal.fmipa.unila.ac.id/JSM/index,,,,,,,,,,,,
7,['QA'],,2020-12-28 06:36:41,archive,,7,show,"Kontrak Hibah Penelitian Dasar Tahun 3 
Analisis Penempatan Sensor pada Gedung Bertingkat dengan Pendekatan Dimensi Metrik graf.",,27178,,2020-12-28 06:36:41,,2020-12-28 06:36:41,821,public,http://repository.lppm.unila.ac.id/id/eprint/27178,,unpub,,FMIPA Universitas Lampung,"[{'placement': 1, 'security': 'public', 'eprintid': 27178, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 243501, 'filename': 'Kontrak Penelitian Dasar 2020.pdf', 'hash': '6ba25415a15316c9de013e0c5e2ce084', 'hash_type': 'MD5', 'mtime': '2020-12-28 05:31:38', 'datasetid': 'document', 'filesize': 1286382, 'objectid': 41190, 'uri': 'http://repository.lppm.unila.ac.id/id/file/243501'}], 'docid': 41190, 'main': 'Kontrak Penelitian Dasar 2020.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41190', 'pos': 1, 'format': 'text'}]",['FMIPA9'],other,1970-01-01 00:00:00.000002020,disk0/00/02/71/78,,"[{'name': {'given': 'Asmiati', 'honourific': None, 'family': 'Asmiati', 'lineage': None}, 'id': 'asmiati308@yahoo.com'}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Suhadi', 'given': 'Widosaputro'}}, {'name': {'lineage': None, 'family': 'Akmal Junaidi', 'honourific': None, 'given': 'Akmal'}, 'id': 'akmal.junaidi@fmipa@unila.ac.id'}]",,,,,,,,,,,,,,,
8,['QA'],,2020-12-28 06:36:28,archive,,7,show,"Laporan Akhir Penelitian Dasar Tahun 3 
Analisis Penempatan Sensor pada Gedung Bertingkat dengan Pendekatan Dimensi Metrik graf.",,27171,,2020-12-28 06:36:28,,2020-12-28 06:36:28,821,public,http://repository.lppm.unila.ac.id/id/eprint/27171,,unpub,,FMIPA Universitas Lampung,"[{'eprintid': 27171, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Laporan Pen_Dasar 2020.pdf', 'docid': 41183, 'files': [{'datasetid': 'document', 'filesize': 1117194, 'fileid': 243457, 'mime_type': 'application/pdf', 'mtime': '2020-12-28 04:42:14', 'hash_type': 'MD5', 'filename': 'Laporan Pen_Dasar 2020.pdf', 'hash': '3bec40c9049a44ff7dc5c0e867a96a9a', 'objectid': 41183, 'uri': 'http://repository.lppm.unila.ac.id/id/file/243457'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41183'}]",['FMIPA9'],other,1970-01-01 00:00:00.000002020,disk0/00/02/71/71,,"[{'id': 'asmiati308@yahoo.com', 'name': {'given': 'Asmiati', 'family': 'Asmiati', 'honourific': None, 'lineage': None}}, {'id': None, 'name': {'honourific': None, 'family': 'Suhadi', 'lineage': None, 'given': 'Widosaputro'}}, {'id': 'akmal.junaidi@fmipa@unila.ac.id', 'name': {'family': 'Akmal Junaidi', 'honourific': None, 'lineage': None, 'given': 'Akmal'}}]",,,,,,,,,,,,,,,
9,['QA'],"Persamaan diferensial Legendre merupakan persamaan diferensial linear homogen orde kedua dengan koefesien variabel yang mempunyai bentuk  dengan p adalah bilangan bulat positif. Persamaan Legendre ini memiliki titik singular untuk  , oleh karena itu titik  , merupakan titik biasa dari persamaan Legendre. Untuk menyelesaikan persamaan diferensial linear homogen orde kedua dengan koefesien variabel yaitu dengan menggunakan deret pangkat. Yang akan menghasilkan suatu penyelesaian dalam bentuk deret pangkat. Oleh karena itu titik  , merupakan titik biasa dari persamaan Legendre. Dengan mensubstitusikan  dan turunan-turunannya ke dalam persamaan Legendre maka akan didapat relasi berulangnya  , m>2. Dari relasi berulang dapat ditentukan bentuk umum polinomial Legendre dan dinyatakan sebagai  dengan  . Penerapan dari persamaan diferensial Legendre dalam penyelesaian persamaan diferensial linear homogen orde dua dengan koefesien variabel dapat diterapkan pada persamaan potensial dalam koordinat bola.",2020-11-18 01:36:09,archive,,8,show,APLIKASI PERSAMAAN LEGENDRE PADA PERSAMAAN POTENSIAL DAN PENYELESAIANNYA,submitted,25917,,2020-11-18 01:36:09,['Universitas Lampung'],2020-11-18 01:36:09,488,public,http://repository.lppm.unila.ac.id/id/eprint/25917,TRUE,submitted,,,"[{'eprintid': 25917, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 39713, 'main': 'ABSTARK SNMK III 2020 AYU CAHYANI.pdf', 'files': [{'objectid': 39713, 'uri': 'http://repository.lppm.unila.ac.id/id/file/232953', 'fileid': 232953, 'mime_type': 'application/pdf', 'mtime': '2020-11-17 14:37:24', 'hash_type': 'MD5', 'filename': 'ABSTARK SNMK III 2020 AYU CAHYANI.pdf', 'hash': '96a390c4dcc6bde1b1d0a346ecab562c', 'datasetid': 'document', 'filesize': 2774399}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39713', 'rev_number': 1}]",['FMIPA9'],conference_item,2020-11-05 00:00:00.000000000,disk0/00/02/59/17,,"[{'id': 'ayucahyani1317@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Ayu', 'given': 'Cahyani'}}, {'id': 'agus.sutrisnomg4@gmail.com', 'name': {'given': 'agus', 'family': 'Agus Sutrisno', 'honourific': None, 'lineage': None}}, {'id': 'amanto.1973@fmipa.unila.ac.id', 'name': {'given': 'Amanto', 'lineage': None, 'honourific': None, 'family': 'Amanto'}}, {'id': 'ansomath@yahoo.com', 'name': {'given': 'Muslim', 'lineage': None, 'honourific': None, 'family': 'Muslim Ansori'}}, {'id': 'notiragayu@fmipa.unila.ac.id', 'name': {'lineage': None, 'family': 'Notiragayu', 'honourific': None, 'given': 'Notiragayu'}}]",,,,paper,Seminar Nasional Metode Metode Kuantitatif,FMIPA Universitas lampung,conference,5 November 2020,,,,,,,
