,datestamp,lastmod,userid,full_text_status,uri,refereed,ispublished,documents,publisher,divisions,type,date,dir,id_number,publication,issn,creators,subjects,abstract,status_changed,eprint_status,volume,rev_number,metadata_visibility,title,date_type,eprintid,number,pagerange,official_url,event_title,event_location,event_type,event_dates,pres_type,related_url,contact_email,referencetext,corp_creators,contributors,patent_applicant,pages,succeeds,place_of_pub
0,2021-04-09 04:25:14,2021-04-09 04:25:14,821,public,http://repository.lppm.unila.ac.id/id/eprint/29058,TRUE,pub,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43173', 'docid': 43173, 'main': 'Irawan_2021_J._Phys.__Conf._Ser._1751_012017.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/257807', 'objectid': 43173, 'filesize': 914785, 'datasetid': 'document', 'filename': 'Irawan_2021_J._Phys.__Conf._Ser._1751_012017.pdf', 'hash': '0bcfe490c8f15ad18a658140d592b127', 'hash_type': 'MD5', 'mtime': '2021-04-09 03:10:49', 'mime_type': 'application/pdf', 'fileid': 257807}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 29058, 'placement': 1, 'security': 'public'}]",IOP Publishing,['FMIPA9'],article,1970-01-01 00:00:00.000002021,disk0/00/02/90/58,doi:10.1088/1742-6596/1751/1/012017,Journal of Physics: Conference Series,Print : 1742-6588 Online : 1742-6596,"[{'name': {'family': 'Agus', 'honourific': None, 'lineage': None, 'given': 'Irawan'}, 'id': None}, {'id': 'asmiati,1976@fmipa.unila.ac.id', 'name': {'honourific': None, 'family': 'Asmiati', 'lineage': None, 'given': 'Asmiati'}}, {'name': {'family': 'Suharsono', 'honourific': None, 'lineage': None, 'given': 'Suharsono'}, 'id': 'suharsono.1962@fmipa.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Kurnia Muludi', 'honourific': None, 'given': 'KM'}, 'id': 'kmuludi@yahoo.com'}]",['QA'],"The locating-chromatic number of a graph combined two graph concept, coloring
vertices and partition dimension of a graph. The locating-chromatic number, denoted by χ",2021-04-09 04:25:14,archive,1751.0,6,show,The Locating-Chromatic Number of Certain Barbell Origami Graphs,published,29058,,,,,,,,,,,,,,,,,
1,2022-01-27 01:20:23,2022-01-27 01:20:23,300,public,http://repository.lppm.unila.ac.id/id/eprint/38434,TRUE,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 38434, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 435541, 'filename': '2021-11-SINTA 3--Desimal UIN Raden Intan--Analysis of the annual vehicle tax payment service system.pdf', 'hash': 'c2624af5716138d7b353fdc20d4e0966', 'mtime': '2022-01-26 13:39:00', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 465338, 'objectid': 159535, 'uri': 'http://repository.lppm.unila.ac.id/id/file/435541'}], 'docid': 159535, 'main': '2021-11-SINTA 3--Desimal UIN Raden Intan--Analysis of the annual vehicle tax payment service system.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/159535', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",Raden Inten Islamic State University,['FMIPA9'],article,2021-11-30 00:00:00.000000000,disk0/00/03/84/34,10.24042/djm.v4i3.10379,DESIMAL: JURNAL MATEMATIKA,"p-ISSN: 2613-9073 (print), e-ISSN: 2613-9081 (online),","[{'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Andriani', 'given': 'Jessica'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Faisol', 'given': 'Ahmad'}, 'id': 'ahmadfaisol@fmipa.unila.ac.id'}, {'name': {'given': 'Fitriani', 'honourific': None, 'family': 'Fitriani', 'lineage': None}, 'id': 'fitriani_mathunila@yahoo.co.id'}]",['QA'],"Service is the process of meeting needs through the activities of others directly. Service is usually synonymous with queues, and queues are what many people complain about. Most of the taxpayers complained about the queues, indirectly they would blame the poor service because of the queues that had piled up. Queues can be reduced by improving services, while one way to improve services is to analyze services using the Petri Net model. Petri Net is mathematical modeling for discrete event systems. Petri Net can be used to model and analyze algebraic problems of transportation networks, manufacturing systems, telecommunications networks, parallel process systems, and so on. In this study, a Petri Net Model of the annual vehicle tax payment service system was created as many as 16 places, 14 transitions, 2 operators, and 30 arcs using WOPED 3.2.0 software. The length of time for tax payment services for taxpayers who have completed the file is faster with a total time of 27 minutes compared to those who have not completed the file with a total time of 35 minutes. The Petri Net model of the annual type of vehicle tax payment service system can be presented in the form of a backward incidence and forward incidence matrix which is used to see the queuing pattern at Samsat Oku Timur 1 with a mathematical model. Columns in the backward incidence matrix can be used to determine which transitions are enabled.",2022-01-27 01:20:23,archive,4.0,6,show,Analysis of the annual vehicle tax payment service system using Petri net model,published,38434,3.0,379-388,http://ejournal.radenintan.ac.id/index.php/desimal/article/view/10379,,,,,,,,,,,,,,
2,2022-10-05 02:30:30,2022-10-05 02:30:30,263,public,http://repository.lppm.unila.ac.id/id/eprint/45495,,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 45495, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/505273', 'objectid': 184269, 'filesize': 488849, 'datasetid': 'document', 'filename': 'Analysis of the annual vehicle tax payment service system using Petri net model (2).pdf', 'hash': '4ebd06be056c27a66fee45c3203325f2', 'hash_type': 'MD5', 'mtime': '2022-10-05 01:25:44', 'mime_type': 'application/pdf', 'fileid': 505273}], 'docid': 184269, 'main': 'Analysis of the annual vehicle tax payment service system using Petri net model (2).pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184269', 'pos': 1, 'format': 'text'}]",UIN Raden Intan Lampung,['FMIPA9'],other,1970-01-01 00:00:00.000002021,disk0/00/04/54/95,,,,"[{'id': None, 'name': {'lineage': None, 'family': 'Andriani', 'honourific': None, 'given': 'Jessica'}}, {'id': 'fitriani_mathunila@yahoo.co.id', 'name': {'honourific': None, 'family': 'Fitriani', 'lineage': None, 'given': 'Fitriani'}}, {'name': {'family': 'Faisol', 'honourific': None, 'lineage': None, 'given': 'Ahmad'}, 'id': 'ahmadfaisol@fmipa.unila.ac.id'}]",['QA'],,2022-10-05 02:30:30,archive,,7,show,Hasil cek similaritas artikel 'Analysis of the annual vehicle tax payment service system using Petri net model',,45495,,,http://ejournal.radenintan.ac.id/index.php/desimal/article/view/10379/4996,,,,,,,,,,,,,,
3,2021-11-11 07:36:16,2021-11-11 07:36:16,791,public,http://repository.lppm.unila.ac.id/id/eprint/36082,FALSE,unpub,"[{'files': [{'objectid': 157020, 'uri': 'http://repository.lppm.unila.ac.id/id/file/418036', 'datasetid': 'document', 'filesize': 890612, 'fileid': 418036, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-11-11 06:50:02', 'hash': 'bdff22e3c4c79e22e1bdc9c649148a3e', 'filename': 'POLA RUMUS BANYAKNYA GRAF TERHUBUNG BERLABEL TITIK TANPA LOOP BERORDE LIMA DAN ENAM DAN HUBUNGANNYA DENGAN PENENTUAN RUMUS GRAF TERHUBUNG ORDE TUJUH TANPA LOOP (1).docx.pdf'}], 'main': 'POLA RUMUS BANYAKNYA GRAF TERHUBUNG BERLABEL TITIK TANPA LOOP BERORDE LIMA DAN ENAM DAN HUBUNGANNYA DENGAN PENENTUAN RUMUS GRAF TERHUBUNG ORDE TUJUH TANPA LOOP (1).docx.pdf', 'docid': 157020, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157020', 'format': 'text', 'pos': 2, 'security': 'public', 'placement': 2, 'eprintid': 36082, 'mime_type': 'application/pdf', 'language': 'en'}]",,['FMIPA9'],conference_item,2021-09-01 00:00:00.000000000,disk0/00/03/60/82,,,,"[{'name': {'given': 'Muslim', 'lineage': None, 'family': 'Ansori', 'honourific': None}, 'id': 'ansomath@yahoo.com'}, {'id': 'wamiliana@gmail.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Wamiliana', 'given': 'Wamiliana'}}]",['QA'],"Suatu graf G disebut graf terhubung jika terdapat sekurang-kurangnya ada satu path yang menghubungkan sepasang titik di G. Loop adalah garis yang titik awal dan ujungnya sama, garis paralel adalah dua garis atau lebih yang titik-titik ujungnya sama. Jika diberikan n titik dan m garis, banyak graf yang dapat dibentuk. Pada penelitian ini akan didiskusikan rumus untuk menghitung banyaknya graf terhubung berlabel titik berorde tujuh tanpa loop. Pada penelitian ini diperoleh rumus untuk menghitung banyaknya graf terhubung berlabel titik berorde tujuh tanpa loop adalah

N(G_(n,m) )=∑_(t≥n-1)^m▒〖N(G_(n,m,t) )  ;m≥t〗
dengan t adalah banyaknya garis yang menghubungkan dua titik yang berbeda dan garis-garis yg menghubungkan pasangan titik yg sama dihitung satu.",2021-11-11 07:36:16,archive,,10,show,POLA RUMUS BANYAKNYA GRAF TERHUBUNG BERLABEL TITIK TANPA LOOP BERORDE LIMA DAN ENAM DAN HUBUNGANNYA DENGAN PENENTUAN RUMUS GRAF TERHUBUNG ORDE TUJUH TANPA LOOP,,36082,,1-20,,Seminar Nasional Hasil Penelitian dan Pengabdian Universitas Lampung 2021,Novotel Hotel,other,22 Oktober 2021,paper,,,,,,,,,
4,2021-10-20 01:41:05,2021-10-20 01:41:05,791,public,http://repository.lppm.unila.ac.id/id/eprint/34566,TRUE,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 34566, 'uri': 'http://repository.lppm.unila.ac.id/id/document/155104', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'mime_type': 'application/pdf', 'fileid': 406339, 'hash': 'c4d4866b820e188b6af77d167c08f11b', 'filename': 'Determining The Number of Connected Vertex Labeled Graphs of Order Seven withoutLoops by Observing The Patterns of Formula for Lower Order Graphs with SimilarProperty.pdf', 'hash_type': 'MD5', 'mtime': '2021-10-20 00:49:32', 'datasetid': 'document', 'filesize': 689235, 'objectid': 155104, 'uri': 'http://repository.lppm.unila.ac.id/id/file/406339'}], 'main': 'Determining The Number of Connected Vertex Labeled Graphs of Order Seven withoutLoops by Observing The Patterns of Formula for Lower Order Graphs with SimilarProperty.pdf', 'docid': 155104}]",ARTS Publishing,['FMIPA9'],article,2021-10-18 00:00:00.000000000,disk0/00/03/45/66,https://doi.org/10.26554/sti.2021.6.4.328-336,Science and Technology Indonesia,e -ISSN:2580-4391 p -ISSN:2580-4405,"[{'name': {'given': 'Muslim', 'lineage': None, 'honourific': None, 'family': 'Ansori'}, 'id': 'ansomath@yahoo.com'}, {'id': 'wamiliana@gmail.com', 'name': {'family': 'Wamiliana', 'honourific': None, 'lineage': None, 'given': 'Wamiliana'}}, {'name': {'given': 'F. C', 'family': 'Puri', 'honourific': None, 'lineage': None}, 'id': None}]",['QA'],"Given n vertices and m edges, m ≥ 1, and for every vertex is given a label, there are lots of graphs that can be obtained. The graphs obtained may be simple or not simple, connected or disconnected. A graph G(V,E) is called simple if G(V,E) not containing loops or  paralel edges. An edge which has the same end vertex is called a loop, and paralel edges are two or more edges which connect the same set of vertices. Let N(G_(7,m,t)) as the number of connected vertex labeled graphs of order seven with m vertices and t (t is the number edges that connect different pair of vertices). The result shows that  N(G_(7,m,t))  = c_t   C_(t-1)^((m-1)), with c_6=6727, c_7= 30160 , c_8=30765, c_9=21000, c_10=28364, c_11=26880, c_12=26460, c_13=20790, c_14=10290, c_15= 8022, c_16=2940, c_17=4417, c_18=2835, c_19=210, c_20= 21, c_21=1.",2021-10-20 01:41:05,archive,6.0,6,show,"Determining The Number of Connected Vertex Labeled Graphs of Order Seven without
Loops by Observing The Patterns of Formula for Lower Order Graphs with Similar
Property",published,34566,4.0,328-336,https://sciencetechindonesia.com/index.php/jsti,,,,,,[{'url': 'https://sciencetechindonesia.com/index.php/jsti/article/view/388/207'}],,,,,,,,
5,2022-06-06 01:27:33,2022-06-06 01:27:33,821,public,http://repository.lppm.unila.ac.id/id/eprint/42104,TRUE,pub,"[{'security': 'public', 'placement': 1, 'eprintid': 42104, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'hash': 'a8fe5c40f09e4382eba389c194c161f8', 'filename': 'On the locating chromatic number of barbell shadow graph.pdf', 'hash_type': 'MD5', 'mtime': '2022-06-05 15:23:47', 'mime_type': 'application/pdf', 'fileid': 464126, 'filesize': 330305, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/464126', 'objectid': 163809}], 'main': 'On the locating chromatic number of barbell shadow graph.pdf', 'docid': 163809, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163809', 'rev_number': 1, 'format': 'text', 'pos': 1}]",Indonesian Combinatorial Society,['FMIPA9'],article,1970-01-01 00:00:00.000002021,disk0/00/04/21/04,,Indonesian Journal of Combinatorics,2541-2205,"[{'id': 'asmiati,1976@fmipa.unila.ac.id', 'name': {'given': 'Asmiati', 'honourific': None, 'family': 'Asmiati', 'lineage': None}}, {'name': {'given': 'Damayanti', 'family': 'Maharani', 'honourific': None, 'lineage': None}, 'id': 'maharanidamayanti56@gmail.com'}, {'name': {'given': 'Yulianty', 'lineage': None, 'family': 'Lyra', 'honourific': None}, 'id': None}]",['QA'],,2022-06-06 01:27:33,archive,5.0,6,show,"On the locating chromatic number of barbell
shadow path graphs",published,42104,2.0,82-93,http://www.ijc.or.id/index.php/ijc,,,,,,,,,,,,,,
6,2021-07-28 08:03:06,2021-07-28 08:03:06,263,public,http://repository.lppm.unila.ac.id/id/eprint/33267,TRUE,pub,"[{'placement': 1, 'security': 'public', 'eprintid': 33267, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 394274, 'hash': '8db6f5a4c76bd7619c6079c789df7ac3', 'filename': 'Tresya dkk.pdf', 'mtime': '2021-07-28 06:45:03', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 359009, 'objectid': 152053, 'uri': 'http://repository.lppm.unila.ac.id/id/file/394274'}], 'main': 'Tresya dkk.pdf', 'docid': 152053, 'uri': 'http://repository.lppm.unila.ac.id/id/document/152053', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",Raden Inten Islamic State University,['FMIPA9'],article,1970-01-01 00:00:00.000002021,disk0/00/03/32/67,10.24042/djm.v4i2.9179,DESIMAL: JURNAL MATEMATIKA,"p-ISSN: 2613-9073 (print), e-ISSN: 2613-9081 (online),","[{'name': {'family': 'Carmela Purba', 'honourific': None, 'lineage': None, 'given': 'Tresya'}, 'id': 'tresya@gmail.com'}, {'name': {'honourific': None, 'family': 'Notiragayu', 'lineage': None, 'given': 'Notiragayu'}, 'id': 'notiragayu@fmipa.unila.ac.id'}, {'name': {'given': 'Fitriani', 'family': 'Fitriani', 'honourific': None, 'lineage': None}, 'id': 'fitriani_mathunila@yahoo.co.id'}, {'id': 'dorrah.aziz@fmipa.unila.ac.i', 'name': {'given': 'Dorrah', 'lineage': None, 'family': 'Azis', 'honourific': None}}]",['QA'],"Transportation problems are one of the particular forms that often appear in linear programs, one of which is the distribution of goods. A transportation method is needed to determine the optimal result, namely, the minimum cost from source to destination with all demand and supply fulfilled. There are several methods, one of which is the Lowest Supply Lowest Cost Method (LSLC) and the Exponential Approach Method (PE). Both methods are made in a MATLAB program, generating a script that calculates the algorithm's time complexity. Using the function notation, the Big-O Algorithm complexity of the Lowest Supply Lowest Cost method is more efficient than the Exponential Approach Method algorithm. At the same time, the optimal result for the minimum cost between the two methods is obtained by using the Exponential Approach Method.",2021-07-28 08:03:06,archive,4.0,6,show,The comparison of the effectiveness of the lowest supply lowest cost (LSLC) algorithm and the exponential approach algorithm in transportation problems,published,33267,2.0,185-192,http://ejournal.radenintan.ac.id/index.php/desimal/index,,,,,,,fitriani.1984@fmipa.unila.ac.id,"Charnes, A., Cooper, W. W., & Henderson, A. (1954). An Introduction to linear programming. Nav. Res. Logist. Q., 1(2), 169.

Dantzig, G. B. (1951). Application of the simplex method to a transportation problem, in activity analysis of production and allocation. Koopmans, T.C., Ed., 459–373.

Eddy, H. (2008). Manajemen operasi (3rd ed.). Grasindo.
Hitchcock, F. . (1941). The distribution of a product from several sources to numerous localities. Math. Phys, 20, 224–230.

Kantharaj, S. (2018). A new approach to find the initial basic feasible solution of cost minimization transportation problem. International Journal of Management and Applied Science, 4(4), 1–3.

Levitin, A. (2012). Introduction to the design & analysis of algorithms (3rd ed.). BOSTON.

Munir, R. (2006). Matematika diskrit (4th ed.). Teknik Informatika, ITB.

Notiragayu, Safitri, A., Ansori, M., & Sutrisno, A. (2019). Pembandingan metode pendekatan eksponensial dan kombinasi VAM-MODI dalam masalah transportasi. Institutional Repository, 190–194.

Subandijo. (2011). Efisiensi algoritma dan notasi O-besar. Binus Journal Publishing, 2(2), 849–858.

Taha, H. A. (2002). Operation research: An introduction (7th ed.). Pearson Education.

Vannan, S. E., & Rekha, S. (2013). A new method for obtaining an optimal solution for transportation problems. International Journal of Engineering and Advanced Technology, 2(5), 369–371.

Widiarsono, T. (2005). Tutorial praktis belajar matlab.

Winston, W. L. (2004). Operations research: Applications and algorithms (4th ed.).",,,,,,
7,2022-11-17 04:42:22,2022-11-17 04:42:22,263,public,http://repository.lppm.unila.ac.id/id/eprint/46693,,pub,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 46693, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185603', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'objectid': 185603, 'uri': 'http://repository.lppm.unila.ac.id/id/file/514399', 'fileid': 514399, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-11-17 04:32:28', 'filename': 'Bukti Korespondensi_The comparison of the effectiveness of the lowest supply lowest cost (LSLC) algorithm and the exponential approach algorithm in transportation problems.pdf', 'hash': 'ebc297b6dcfe1ae8ea447182c765a869', 'datasetid': 'document', 'filesize': 194780}], 'docid': 185603, 'main': 'Bukti Korespondensi_The comparison of the effectiveness of the lowest supply lowest cost (LSLC) algorithm and the exponential approach algorithm in transportation problems.pdf'}]",UIN Raden Intan Lampung,['FMIPA9'],other,1970-01-01 00:00:00.000002021,disk0/00/04/66/93,,,,"[{'name': {'family': 'Carmela Purba', 'honourific': None, 'lineage': None, 'given': 'Tresya'}, 'id': 'tresya@gmail.com'}, {'name': {'lineage': None, 'family': 'Notiragayu', 'honourific': None, 'given': 'Notiragayu'}, 'id': 'notiragayu@fmipa.unila.ac.id'}, {'name': {'given': 'Fitriani', 'lineage': None, 'honourific': None, 'family': 'Fitriani'}, 'id': 'fitriani_mathunila@yahoo.co.id'}, {'id': None, 'name': {'given': 'Dorrah', 'family': 'Aziz', 'honourific': None, 'lineage': None}}]",['QA'],,2022-11-17 04:42:22,archive,,7,show,Bukti Korespondensi artikel The comparison of the effectiveness of the lowest supply lowest cost (LSLC) algorithm and the exponential approach algorithm in transportation problems,,46693,,,,,,,,,,,,,,,,,
8,2022-10-05 02:30:38,2022-10-05 02:30:38,263,public,http://repository.lppm.unila.ac.id/id/eprint/45494,,pub,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184268', 'docid': 184268, 'main': 'The comparison of the effectiveness of the lowest supply (2).pdf', 'files': [{'objectid': 184268, 'uri': 'http://repository.lppm.unila.ac.id/id/file/505266', 'datasetid': 'document', 'filesize': 370933, 'fileid': 505266, 'mime_type': 'application/pdf', 'mtime': '2022-10-05 01:21:41', 'hash_type': 'MD5', 'hash': '4b9a357a9d19bce6d5a8c4ff9bc586e1', 'filename': 'The comparison of the effectiveness of the lowest supply (2).pdf'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 45494, 'placement': 1, 'security': 'public'}]",UIN Raden Intan Lampung,['FMIPA9'],other,1970-01-01 00:00:00.000002021,disk0/00/04/54/94,,,,"[{'name': {'given': 'Tresya', 'lineage': None, 'honourific': None, 'family': 'Carmela Purba'}, 'id': 'tresya@gmail.com'}, {'name': {'given': 'Notiragayu', 'honourific': None, 'family': 'Notiragayu', 'lineage': None}, 'id': 'notiragayu@fmipa.unila.ac.id'}, {'id': 'fitriani_mathunila@yahoo.co.id', 'name': {'honourific': None, 'family': 'Fitriani', 'lineage': None, 'given': 'Fitriani'}}, {'name': {'given': 'Dorrah', 'lineage': None, 'family': 'Aziz', 'honourific': None}, 'id': None}]",['QA'],,2022-10-05 02:30:38,archive,,7,show,Hasil cek similaritas artikel 'The comparison of the effectiveness of the lowest supply lowest cost (LSLC) algorithm and the exponential approach algorithm in transportation problems',,45494,,,,,,,,,,,,,,,,,
9,2022-10-05 04:06:26,2022-10-05 04:06:26,263,public,http://repository.lppm.unila.ac.id/id/eprint/45501,,pub,"[{'eprintid': 45501, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': 'The Locating Chromatic Number of some Modified Path with Cycle having Locating Number Four (1).pdf.pdf', 'docid': 184276, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/505340', 'objectid': 184276, 'hash_type': 'MD5', 'mtime': '2022-10-05 03:05:22', 'hash': 'f2eec3052c293b2f651cef3de33c150d', 'filename': 'The Locating Chromatic Number of some Modified Path with Cycle having Locating Number Four (1).pdf.pdf', 'fileid': 505340, 'mime_type': 'application/pdf', 'filesize': 561047, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184276'}]",IOP Publishing,['FMIPA9'],other,1970-01-01 00:00:00.000002021,disk0/00/04/55/01,,,,"[{'name': {'lineage': None, 'family': 'Damayanti', 'honourific': None, 'given': 'Maharani'}, 'id': None}, {'id': 'asmiati308@yahoo.com', 'name': {'given': 'Asmiati', 'lineage': None, 'family': 'Asmiati', 'honourific': None}}, {'name': {'given': 'Fitriani', 'lineage': None, 'honourific': None, 'family': 'Fitriani'}, 'id': 'fitriani_mathunila@yahoo.co.id'}, {'id': 'ansomath@yahoo.com', 'name': {'honourific': None, 'family': 'Ansori', 'lineage': None, 'given': 'Muslim'}}, {'id': None, 'name': {'given': 'A', 'family': 'Faradila', 'honourific': None, 'lineage': None}}]",['QA'],,2022-10-05 04:06:26,archive,,8,show,Hasil cek similaritas artikel 'The Locating Chromatic Number of some Modified Path with Cycle having Locating Number Four',published,45501,,,,,,,,,,,,,,,,,
