,eprintid,title,metadata_visibility,rev_number,succeeds,status_changed,eprint_status,abstract,subjects,creators,dir,date,type,divisions,publisher,documents,ispublished,uri,full_text_status,userid,lastmod,datestamp,volume,refereed,number,publication,pages,date_type,isbn,place_of_pub,referencetext,corp_creators,pagerange,contact_email,issn,official_url,contributors,pres_type,event_type,event_dates,event_title,event_location,funders,related_url
0,41209,Analisi Produksi Lateks pada PTPN VII Way Berulu,show,7,31236.0,2022-04-12 01:21:44,archive,Review JIIA Vol 1 No 2 tahun 2013,['S1'],"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'given': 'Zainal', 'lineage': None, 'honourific': None, 'family': 'Abidin'}}]",disk0/00/04/12/09,1970-01-01 00:00:00.000002013,other,['FP1'],LPPM Universitas Lampung,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/457218', 'objectid': 162695, 'filesize': 375586, 'datasetid': 'document', 'hash': '7eb03e2da6153f8acd189dcc686ecf80', 'filename': 'revisi peer review JIIA Vol 1 no 2 2013 eka fitriani.pdf', 'hash_type': 'MD5', 'mtime': '2022-04-11 10:22:57', 'mime_type': 'application/pdf', 'fileid': 457218}], 'main': 'revisi peer review JIIA Vol 1 no 2 2013 eka fitriani.pdf', 'docid': 162695, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162695', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 41209, 'mime_type': 'application/pdf', 'language': 'en'}]",unpub,http://repository.lppm.unila.ac.id/id/eprint/41209,public,933,2022-04-12 01:21:44,2022-04-12 01:21:44,,,,,,,,,,,,,,,,,,,,,,
1,41210,Analisi Produksi Lateks pada PTPN VII Way Berulu,show,7,31236.0,2022-04-12 01:21:46,archive,Review JIIA Vol 1 No 2 tahun 2013,['S1'],"[{'name': {'honourific': None, 'family': 'Abidin', 'lineage': None, 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",disk0/00/04/12/10,1970-01-01 00:00:00.000002013,other,['FP1'],LPPM Universitas Lampung,"[{'eprintid': 41210, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': 'revisi peer review JIIA Vol 1 no 2 2013 eka fitriani.pdf', 'docid': 162701, 'files': [{'datasetid': 'document', 'filesize': 375586, 'fileid': 457230, 'mime_type': 'application/pdf', 'mtime': '2022-04-11 10:25:53', 'hash_type': 'MD5', 'filename': 'revisi peer review JIIA Vol 1 no 2 2013 eka fitriani.pdf', 'hash': '7eb03e2da6153f8acd189dcc686ecf80', 'objectid': 162701, 'uri': 'http://repository.lppm.unila.ac.id/id/file/457230'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162701'}]",unpub,http://repository.lppm.unila.ac.id/id/eprint/41210,public,933,2022-04-12 01:21:46,2022-04-12 01:21:46,,,,,,,,,,,,,,,,,,,,,,
2,41198,Analisis Daya Saing Usahatani Kelapa Sawit,show,4,,2022-04-12 01:21:32,archive,Revie JIIA Vol 1 no 1 Tahun 2013,['S1'],"[{'name': {'family': 'Abidin', 'honourific': None, 'lineage': None, 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",disk0/00/04/11/98,1970-01-01 00:00:00.000002013,other,['FP1'],LPPM Universitas Lampung,"[{'main': 'revisi peer review JIIA Vol 1 no 1 2013 ni wayan.pdf', 'docid': 162675, 'files': [{'fileid': 457158, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-04-11 05:47:59', 'hash': '1bf24f687319a3df4c6474f5e7cdcf88', 'filename': 'revisi peer review JIIA Vol 1 no 1 2013 ni wayan.pdf', 'datasetid': 'document', 'filesize': 380653, 'objectid': 162675, 'uri': 'http://repository.lppm.unila.ac.id/id/file/457158'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162675', 'eprintid': 41198, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",unpub,http://repository.lppm.unila.ac.id/id/eprint/41198,public,933,2022-04-12 01:21:32,2022-04-12 01:21:32,,,,,,,,,,,,,,,,,,,,,,
3,41200,Analisis Daya Saing Usahatani Kelapa Sawit,show,7,31239.0,2022-04-12 01:21:33,archive,Revie JIIA Vol 1 no 1 Tahun 2013,['S1'],"[{'name': {'lineage': None, 'family': 'Abidin', 'honourific': None, 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",disk0/00/04/12/00,1970-01-01 00:00:00.000002013,other,['FP1'],LPPM Universitas Lampung,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 41200, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162681', 'main': 'revisi peer review JIIA Vol 1 no 1 2013 ni wayan.pdf', 'docid': 162681, 'files': [{'fileid': 457171, 'mime_type': 'application/pdf', 'mtime': '2022-04-11 05:51:11', 'hash_type': 'MD5', 'filename': 'revisi peer review JIIA Vol 1 no 1 2013 ni wayan.pdf', 'hash': '1bf24f687319a3df4c6474f5e7cdcf88', 'datasetid': 'document', 'filesize': 380653, 'objectid': 162681, 'uri': 'http://repository.lppm.unila.ac.id/id/file/457171'}]}]",unpub,http://repository.lppm.unila.ac.id/id/eprint/41200,public,933,2022-04-12 01:21:33,2022-04-12 01:21:33,,,,,,,,,,,,,,,,,,,,,,
4,32122,"Jasa Pelayanan Air Bersih Berbasis Masyarakat di Sub-DAS Way Besai, Kabupatenn Lampung Bart",show,7,,2021-06-06 14:34:39,archive,Peer Review Book Chapter,['S1'],"[{'name': {'given': 'Zainal', 'lineage': None, 'family': 'Abidin', 'honourific': None}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",disk0/00/03/21/22,1970-01-01 00:00:00.000002013,other,['FP1'],LPPM Universitas Lampung,"[{'eprintid': 32122, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': 'book chapter jasa pelayanan air bersh berbasis masyarakat.pdf', 'docid': 145607, 'files': [{'datasetid': 'document', 'filesize': 322205, 'mime_type': 'application/pdf', 'fileid': 380140, 'hash': '733dd8b5d98c72b701f3c94cca68c62c', 'filename': 'book chapter jasa pelayanan air bersh berbasis masyarakat.pdf', 'mtime': '2021-06-06 05:45:44', 'hash_type': 'MD5', 'objectid': 145607, 'uri': 'http://repository.lppm.unila.ac.id/id/file/380140'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/145607', 'rev_number': 1}]",unpub,http://repository.lppm.unila.ac.id/id/eprint/32122,public,933,2021-06-06 14:34:39,2021-06-06 14:34:39,,,,,,,,,,,,,,,,,,,,,,
5,41340,"Jasa Pelayanan Air Bersih Berbasis Masyarakat di Sub-DAS Way Besai, Kabupatenn Lampung Bart",show,4,,2022-04-18 01:08:27,archive,Peer Review Book Chapter,['S1'],"[{'name': {'lineage': None, 'family': 'Abidin', 'honourific': None, 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",disk0/00/04/13/40,1970-01-01 00:00:00.000002013,other,['FP1'],LPPM Universitas Lampung,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162953', 'rev_number': 1, 'docid': 162953, 'main': 'revisi review jasa air bersih .pdf', 'files': [{'objectid': 162953, 'uri': 'http://repository.lppm.unila.ac.id/id/file/458341', 'datasetid': 'document', 'filesize': 341211, 'mime_type': 'application/pdf', 'fileid': 458341, 'filename': 'revisi review jasa air bersih .pdf', 'hash': 'ceeeab9f62ccce6c6bb93cc6f28c401c', 'hash_type': 'MD5', 'mtime': '2022-04-14 16:03:34'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 41340, 'security': 'public', 'placement': 1}]",unpub,http://repository.lppm.unila.ac.id/id/eprint/41340,public,933,2022-04-18 01:08:27,2022-04-18 01:08:27,,,,,,,,,,,,,,,,,,,,,,
6,32124,Potensi Jasa Lingkungan di Sub DAS Besai,show,7,,2021-06-06 14:34:48,archive,REVIEW BOOK CHAPTER POTENSI JASA LINGKUNGNAN,['S1'],"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'given': 'Zainal', 'lineage': None, 'family': 'Abidin', 'honourific': None}}]",disk0/00/03/21/24,1970-01-01 00:00:00.000002013,other,['FP1'],LPPM Universitas Lampung,"[{'placement': 1, 'security': 'public', 'eprintid': 32124, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'mime_type': 'application/pdf', 'fileid': 380163, 'hash': 'c2cea16d478c285ca149e0ac8f6b5940', 'filename': 'book chapter potensi jasa lingkungan di sub dasy besai book chapter.pdf', 'mtime': '2021-06-06 05:56:57', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 328564, 'objectid': 145618, 'uri': 'http://repository.lppm.unila.ac.id/id/file/380163'}], 'main': 'book chapter potensi jasa lingkungan di sub dasy besai book chapter.pdf', 'docid': 145618, 'uri': 'http://repository.lppm.unila.ac.id/id/document/145618', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",unpub,http://repository.lppm.unila.ac.id/id/eprint/32124,public,933,2021-06-06 14:34:48,2021-06-06 14:34:48,,,,,,,,,,,,,,,,,,,,,,
7,41339,Potensi Jasa Lingkungan di Sub DAS Besai,show,4,,2022-04-18 01:08:24,archive,REVIEW BOOK CHAPTER POTENSI JASA LINGKUNGNAN,['S1'],"[{'name': {'honourific': None, 'family': 'Abidin', 'lineage': None, 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",disk0/00/04/13/39,1970-01-01 00:00:00.000002013,other,['FP1'],LPPM Universitas Lampung,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/162952', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'fileid': 458337, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-04-14 15:54:38', 'filename': 'revisi review potensi jasa lingkungan.pdf', 'hash': 'e0ee33b9c2ce07688e2c86db672367a0', 'datasetid': 'document', 'filesize': 345272, 'objectid': 162952, 'uri': 'http://repository.lppm.unila.ac.id/id/file/458337'}], 'docid': 162952, 'main': 'revisi review potensi jasa lingkungan.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 41339}]",unpub,http://repository.lppm.unila.ac.id/id/eprint/41339,public,933,2022-04-18 01:08:24,2022-04-18 01:08:24,,,,,,,,,,,,,,,,,,,,,,
8,138,"TINGKAT KEPUASAN DAN LOYALITAS KONSUMEN GULAKU 
DI KOTA BANDAR LAMPUNG
(
Analysis 
of 
The Level of Satisfaction and 
Customer L
oyal
ty 
of 
Gulaku in Bandar Lampung City
)",show,8,,2016-07-13 07:28:15,archive,"ABSTRACT
This  study  aims to  determine  the  level  of  satisfaction and  consumer  loyalty 
of 
Gulaku  in  Bandar  Lampung, 
and to know the effect of the marketing mix to the level of customer satisfaction and loyalty 
of Gulaku.  This 
research  was  conducted  in  June
2012,  involving 
66 
housewi
ves
.
The  study
site
s
were
3  modern  markets 
(Chandra,  Giant,  and  Hypermart)  and  3  tradisional  markets  (Kangkung,  Way  Halim,  and  Tugu).  The 
analysis tool
s
we
re
Importance Performance Analysis (IPA), Customer Satisfaction Index (CSI), the analysis 
of switcher
buyer
, habitual buyer, satisfied buyer, liking the brand, committed buyer and structural equation 
models  (SEM). 
The  research  result  showed  that  the  l
evel  o
f  customer  satisfaction 
of 
Gulaku  in  Ba
ndar 
Lampung in the category of
very satisfied with the value of  CSI 81.86% 
categorized
as
loyal consumer
.
The 
average  value  of    IPA  for  the  level  of  performance
of 
Gulaku 
was 
3,98  and  the  level  of  interest
of 
Gulak
u 
was 
4,08. 
Using
SEM  analysis
,  it
showed  that
the 
marketing 
mix  did  not  significantly  affect  the  level  of 
customer satisfaction and 
customer 
lo
y
al
ty of Gulaku
.
Keyword
s
: 
CSI, 
c
ustomer
, 
g
ulaku, IPA, 
l
oyalty
, 
s
atisfaction
,
SEM",['AC'],"[{'name': {'honourific': None, 'family': 'Anggraini', 'lineage': None, 'given': 'Vientika'}}, {'name': {'honourific': None, 'family': 'Prasmatiwi Erry', 'lineage': None, 'given': 'Fembriarti'}}, {'name': {'given': 'Hurip', 'lineage': None, 'family': 'Santoso', 'honourific': None}}]",disk0/00/00/01/38,2013-04-01 00:00:00.000000000,article,['FP1'],,"[{'security': 'public', 'placement': 1, 'eprintid': 138, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'datasetid': 'document', 'filesize': 329051, 'mime_type': 'application/pdf', 'fileid': 810, 'filename': 'Publikasi_Jurnal(224).pdf', 'hash': 'd4da1fd8a13665776f22a70fa011ad04', 'mtime': '2016-07-13 07:23:26', 'hash_type': 'MD5', 'objectid': 150, 'uri': 'http://repository.lppm.unila.ac.id/id/file/810'}], 'main': 'Publikasi_Jurnal(224).pdf', 'docid': 150, 'uri': 'http://repository.lppm.unila.ac.id/id/document/150', 'rev_number': 1, 'format': 'text', 'pos': 1}]",pub,http://repository.lppm.unila.ac.id/id/eprint/138,public,9,2016-07-14 05:28:34,2016-07-13 07:28:15,1.0,TRUE,2.0,JIIA,,,,,,,,,,,,,,,,,,
9,8460,EKONOMI PEMBANGUNAN PERTANIAN,show,6,,2018-08-03 07:46:49,archive,"Tahun 2012 adalah salah satu titik kulminasi pembangunan pertanian Indonesia. Sekaligus mengukur seberapa besar sektor paling strategis yang menjadi landasan (basis) pembangunan ekonomi Indonesia mampu meningkatkan kesejahteraan bangsanya. Para founding fathers telah meletakkan dasar-dasar pembangunan ekonomi pangan dan pertanian untuk menjawab tantangan ke depan. Pada waktu meletakkan batu pertama pembangunan kampus, Presiden Soekarno mengatakan, pangan adalah urusan hidup atau mati suatu bangsa. Peletakan batu untuk pembangunan kampus Institut Pertanian Bogor (IPB) di Baranangsiang tahun 1952. Ungkapan itu sekaligus berfungsi sebagai fondasi semangat kemandirian dan kedaulatan bangsa Indonesia. Presiden Soeharto menyebutkan ketangguhan petani dan kelembagaan masyarakat sebagai salah satu kunci keberhasilan Indonesia. Pernyataan itu dikatakan pada waktu menerima penghargaan swasembada beras dari Organisasi Pangan dan Pertanian Dunia (FAO) di Roma tahun 1985. Peningkatan produktivitas padi tidak akan banyak berarti jika tidak ada kelembagaan masyarakat yang mampu beradaptasi dengan perubahan lingkungan internal dan eksternal. Kini, 60 tahun  setelah peletakan batu pertama dasar-dasar pembangunan pertanian tersebut, masyarakat dihadapkan pada serangkaian ketidakpastian masa depan kebijakan pertanian. Strategi revitalisasi pertanian seakan hilang ditelan kontroversi kebijakan yang terjadi. Padahal, itu yang pernah menjadi harapan besar pada lima tahun pertama administrasi Presiden Susilo Bambang Yudhoyono (SBY). Pada masa administrasi kedua Pemerintahan Presiden SBY, negara hanya mampu mencetak sawah baru. Sawah tersebut tidak lebih dari 50 ribu hektar per tahun. Sementara laju konversi lahan sawah yang menjadi kegunaan lain telah mencapai 100 ribu hektar per tahun. Negara seakan tidak berdaya untuk sekadar melakukan operasi serta pemeliharaan sistem dan saluran irigasi. Hal tersebut mampu menampung air pada musim hujan dan mengatur penggunaannya pada musim kemarau. Saat ini, negara nampak kesulitan menggerakkan para pemuda-pemudi tangguh. Hal itu dimaksudkan untuk mendampingi dan memberdayakan petani, agar mampu memanfaatkan inovasi teknologi baru yang akan meningkatkan produksi dan produktivitas. Buku berjudul Ekonomi Pembangunan Pertanian disusun berdasarkan beberapa gagasan penulis yang terserak di berbagai forum akademis dan kebijakan pembangunan pertanian Indonesia. Sistematika pembahasan menggunakan logika akademis objektif. Sistematika meliputi tujuan kebijakan, instrumen, kinerja, dan implikasi kebijakan, serta turunannya terhadap pembangunan ekonomi dan kesejahteraan rakyat. Terkandung implisit di dalam buku bahwa pengembangan sumber daya manusia, inovasi, perubahan teknologi, penguatan birokrasi, dan modal sosial menjadi faktor vital dalam keberhasilan pembangunan pertanian. Segenap unsur harus sering berjumpa, berdialog, dan mencari pemahaman apabila titik temu masih sulit diperoleh. Sekali lagi, diskusi terbuka adalah salah satu cara beradab untuk belajar saling menghargai pendapat semua pihak. Baik yang mendukung, yang netral, maupun yang menentang kebijakan pembangunan pertanian. Penulis ingin mengucapkan terima kasih kepada teman-teman peneliteeeeei, dosen, birokrat, dunia usaha swasta dan semi-swasta, aktivis Lembaga Swadaya Masyarakat, para petani dan mahasiswa saya di Universitas Lampung, Institut Pertanian Bogor, dan Universitas Indonesia yang telah memberi semangat serta stimulasi penajaman pemikiran yang sangat progresif. Ucapan terima kasih juga disampaikan kepada Penerbit IPB Press dan semua pihak yang telah membantu penerbitan buku ini. Saran dan kritik konstruktif senantiasa diharapkan.  Selamat membaca.",['HB'],"[{'id': 'barifin@uwalumni.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Arifin', 'given': 'Bustanul'}}]",disk0/00/00/84/60,2013-02-13 00:00:00.000000000,book,['FP1'],IPB Press,,pub,http://repository.lppm.unila.ac.id/id/eprint/8460,none,1085,2018-08-03 07:46:49,2018-08-03 07:46:49,,TRUE,,,281.0,published,978-979-493-435-7,Bogor,,,,,,,,,,,,,,
