,title,rev_number,metadata_visibility,eprint_status,status_changed,subjects,abstract,eprintid,ispublished,documents,publisher,uri,full_text_status,lastmod,userid,datestamp,creators,date,dir,type,divisions,succeeds,official_url,volume,date_type,number,refereed,pagerange,publication,issn,contributors,related_url,corp_creators,pres_type,referencetext,event_type,event_title,event_dates,event_location
0,Analisis Keterkaitan dan Pengganda Perkebunan dan Agroindustri Kelapa Sawit terhadap Perekenomian Wilayah Lampung,7,show,archive,2021-05-29 00:36:43,['S1'],Review JSE Vol 18 No 2 tahun 2014,31220,unpub,"[{'files': [{'objectid': 141062, 'uri': 'http://repository.lppm.unila.ac.id/id/file/370058', 'mime_type': 'application/pdf', 'fileid': 370058, 'hash': 'a0110941ebce306635ae119a3aecec80', 'filename': 'JISE VOL 18 NO 2  2014 Anggri, M irfan, dan zainal .pdf', 'hash_type': 'MD5', 'mtime': '2021-05-28 15:40:48', 'datasetid': 'document', 'filesize': 380522}], 'main': 'JISE VOL 18 NO 2  2014 Anggri, M irfan, dan zainal .pdf', 'docid': 141062, 'uri': 'http://repository.lppm.unila.ac.id/id/document/141062', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 31220, 'mime_type': 'application/pdf', 'language': 'en'}]",LPPM Universitas Lampung,http://repository.lppm.unila.ac.id/id/eprint/31220,public,2021-05-29 00:36:43,933,2021-05-29 00:36:43,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Abidin', 'lineage': None, 'given': 'Zainal'}}]",1970-01-01 00:00:00.000002014,disk0/00/03/12/20,other,['FP1'],,,,,,,,,,,,,,,,,,
1,Analisis Keterkaitan dan Penggnda Ekonomi Karet Indnesia,7,show,archive,2021-05-29 00:37:16,['S1'],JIIA Vol.2 No 1 tahun 2014,31234,unpub,"[{'files': [{'fileid': 370183, 'mime_type': 'application/pdf', 'mtime': '2021-05-28 16:18:08', 'hash_type': 'MD5', 'filename': 'JIIA Vol 2 No 1 2014 tutik bustanul dan zainal .pdf', 'hash': 'c5c9e8c127e3ff80b781e80911cd9e2f', 'datasetid': 'document', 'filesize': 373127, 'objectid': 141103, 'uri': 'http://repository.lppm.unila.ac.id/id/file/370183'}], 'main': 'JIIA Vol 2 No 1 2014 tutik bustanul dan zainal .pdf', 'docid': 141103, 'uri': 'http://repository.lppm.unila.ac.id/id/document/141103', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 31234, 'language': 'en', 'mime_type': 'application/pdf'}]",LPPM Universitas Lampung,http://repository.lppm.unila.ac.id/id/eprint/31234,public,2021-05-29 00:37:16,933,2021-05-29 00:37:16,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Abidin', 'honourific': None, 'given': 'Zainal'}}]",1970-01-01 00:00:00.000002014,disk0/00/03/12/34,other,['FP1'],,,,,,,,,,,,,,,,,,
2,Analisis Keterkaitan dan Penggnda Ekonomi Karet Indnesia,6,show,archive,2022-04-12 01:21:47,['S1'],JIIA Vol.2 No 1 tahun 2014,41211,unpub,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162703', 'main': 'revisi Review JIIA Vol 2 No 1 2014 .pdf', 'docid': 162703, 'files': [{'filesize': 367583, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2022-04-11 10:49:46', 'hash': 'e8961361c52497f7ec0cc92bfe538add', 'filename': 'revisi Review JIIA Vol 2 No 1 2014 .pdf', 'fileid': 457237, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/457237', 'objectid': 162703}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 41211, 'placement': 1, 'security': 'public'}]",LPPM Universitas Lampung,http://repository.lppm.unila.ac.id/id/eprint/41211,public,2022-04-12 01:21:47,933,2022-04-12 01:21:47,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Abidin', 'honourific': None, 'given': 'Zainal'}}]",1970-01-01 00:00:00.000002014,disk0/00/04/12/11,other,['FP1'],,,,,,,,,,,,,,,,,,
3,Keunggulan Kompetitif dan Komparatif Usahatani Manggis di Kabupaten Tanggamus,7,show,archive,2021-05-29 00:36:52,['S1'],Review JIIA Vol 2 No 3 tahun 2014,31225,unpub,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 31225, 'uri': 'http://repository.lppm.unila.ac.id/id/document/141076', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/370103', 'objectid': 141076, 'mtime': '2021-05-28 15:56:17', 'hash_type': 'MD5', 'filename': 'JIIA Vol 2 No 3 2014 anggala zainal  dan suriaty s.pdf', 'hash': 'bb50172c343acd91a5b1905fea3a9dcf', 'fileid': 370103, 'mime_type': 'application/pdf', 'filesize': 377319, 'datasetid': 'document'}], 'main': 'JIIA Vol 2 No 3 2014 anggala zainal  dan suriaty s.pdf', 'docid': 141076}]",LPPM Universitas Lampung,http://repository.lppm.unila.ac.id/id/eprint/31225,public,2021-05-29 00:36:52,933,2021-05-29 00:36:52,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Abidin', 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",1970-01-01 00:00:00.000002014,disk0/00/03/12/25,other,['FP1'],,,,,,,,,,,,,,,,,,
4,Keunggulan Kompetitif dan Komparatif Usahatani Manggis di Kabupaten Tanggamus,4,show,archive,2022-04-12 01:21:51,['S1'],Review JIIA Vol 2 No 3 tahun 2014,41213,unpub,"[{'docid': 162706, 'main': 'revisi review JIIA Vol 2 No 132014 angga dkk.pdf', 'files': [{'fileid': 457248, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-04-11 12:54:34', 'hash': 'd02704d3d18a1634bb9f8dc332a87d54', 'filename': 'revisi review JIIA Vol 2 No 132014 angga dkk.pdf', 'datasetid': 'document', 'filesize': 376848, 'objectid': 162706, 'uri': 'http://repository.lppm.unila.ac.id/id/file/457248'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162706', 'eprintid': 41213, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",LPPM Universitas Lampung,http://repository.lppm.unila.ac.id/id/eprint/41213,public,2022-04-12 01:21:51,933,2022-04-12 01:21:51,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'given': 'Zainal', 'lineage': None, 'honourific': None, 'family': 'Abidin'}}]",1970-01-01 00:00:00.000002014,disk0/00/04/12/13,other,['FP1'],,,,,,,,,,,,,,,,,,
5,Kinerja dan Nilai Tambah Agroindustri Sabut Kelapa di Kabupaten Pesisir Barat,7,show,archive,2022-04-12 01:21:30,['S1'],Review JIIA Vol 2 No 2 tahun 2014,41197,unpub,"[{'placement': 6, 'security': 'public', 'eprintid': 41197, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/457152', 'objectid': 162674, 'mtime': '2022-04-11 05:28:12', 'hash_type': 'MD5', 'filename': 'revisi review rekan sejawat jurnal JIIA Vol 2 No 2 April 2014.pdf', 'hash': '0b20af38c3bca8fff25ffcd137124fe6', 'fileid': 457152, 'mime_type': 'application/pdf', 'filesize': 409390, 'datasetid': 'document'}], 'docid': 162674, 'main': 'revisi review rekan sejawat jurnal JIIA Vol 2 No 2 April 2014.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162674', 'pos': 6, 'format': 'text'}]",LPPM Universitas Lampung,http://repository.lppm.unila.ac.id/id/eprint/41197,public,2022-04-12 01:21:30,933,2022-04-12 01:21:30,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'given': 'Zainal', 'family': 'Abidin', 'honourific': None, 'lineage': None}}]",1970-01-01 00:00:00.000002014,disk0/00/04/11/97,other,['FP1'],31232.0,,,,,,,,,,,,,,,,,
6,Pendapatan dan Kesejahteraan Rumah Tangga Nelayan Obor di Kota Bandar Lampung,7,show,archive,2021-05-29 00:36:47,['S1'],Review JIIA Vol 2 No 1 tahun 2014,31223,unpub,"[{'docid': 141068, 'main': 'JIIA Vol 2 No 1 2014 fadillah zainal  dan umi kalsum.pdf', 'files': [{'fileid': 370077, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-05-28 15:47:49', 'filename': 'JIIA Vol 2 No 1 2014 fadillah zainal  dan umi kalsum.pdf', 'hash': 'a920c1151a9443ffb369cb4c216fe4ce', 'datasetid': 'document', 'filesize': 391656, 'objectid': 141068, 'uri': 'http://repository.lppm.unila.ac.id/id/file/370077'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/141068', 'rev_number': 1, 'eprintid': 31223, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",LPPM Universitas Lampung,http://repository.lppm.unila.ac.id/id/eprint/31223,public,2021-05-29 00:36:47,933,2021-05-29 00:36:47,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Abidin', 'honourific': None, 'given': 'Zainal'}}]",1970-01-01 00:00:00.000002014,disk0/00/03/12/23,other,['FP1'],,,,,,,,,,,,,,,,,,
7,Pendapatan dan Kesejahteraan Rumah Tangga Nelayan Obor di Kota Bandar Lampung,6,show,archive,2022-04-12 01:21:49,['S1'],Review JIIA Vol 2 No 1 tahun 2014,41212,unpub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162705', 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 389548, 'fileid': 457244, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-04-11 12:31:14', 'hash': '422c9e0a1abf3de90e40727b795e49d0', 'filename': 'revisi review JIIA Vol 2 No 1 2014 padilah dkk.pdf', 'objectid': 162705, 'uri': 'http://repository.lppm.unila.ac.id/id/file/457244'}], 'docid': 162705, 'main': 'revisi review JIIA Vol 2 No 1 2014 padilah dkk.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 41212}]",LPPM Universitas Lampung,http://repository.lppm.unila.ac.id/id/eprint/41212,public,2022-04-12 01:21:49,933,2022-04-12 01:21:49,"[{'name': {'honourific': None, 'family': 'Abidin', 'lineage': None, 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",1970-01-01 00:00:00.000002014,disk0/00/04/12/12,other,['FP1'],,,,,,,,,,,,,,,,,,
8,"Pendapatan dan Kesejahteraan etani Karet Rakyat di Kec. Bumi Agung, Kab. Way Kanan",7,show,archive,2021-05-29 00:37:02,['S1'],Reiew JIIA Vol 2 no 2 2014,31228,unpub,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/141083', 'main': 'JIIA Vol 2 No 2 2014 reny zainal  dan achdiansyah.pdf', 'docid': 141083, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/370126', 'objectid': 141083, 'filesize': 379982, 'datasetid': 'document', 'hash': 'd6fae8278c046659b9c96fb2a959eb29', 'filename': 'JIIA Vol 2 No 2 2014 reny zainal  dan achdiansyah.pdf', 'hash_type': 'MD5', 'mtime': '2021-05-28 16:03:28', 'mime_type': 'application/pdf', 'fileid': 370126}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 31228, 'security': 'public', 'placement': 1}]",LPPM Universitas Lampung,http://repository.lppm.unila.ac.id/id/eprint/31228,public,2021-05-29 00:37:02,933,2021-05-29 00:37:02,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'given': 'Zainal', 'lineage': None, 'family': 'Abidin', 'honourific': None}}]",1970-01-01 00:00:00.000002014,disk0/00/03/12/28,other,['FP1'],,,,,,,,,,,,,,,,,,
9,"Pendapatan dan Kesejahteraan etani Karet Rakyat di Kec. Bumi Agung, Kab. Way Kanan",4,show,archive,2022-04-12 01:21:53,['S1'],Reiew JIIA Vol 2 no 2 2014,41215,unpub,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/162707', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'filesize': 388007, 'datasetid': 'document', 'filename': 'revisi review JIIA Vol 2 No 2 2014 reny dkk dkk.pdf', 'hash': 'b89157b8e2aed6139f9254160352280d', 'hash_type': 'MD5', 'mtime': '2022-04-11 13:15:24', 'mime_type': 'application/pdf', 'fileid': 457253, 'uri': 'http://repository.lppm.unila.ac.id/id/file/457253', 'objectid': 162707}], 'main': 'revisi review JIIA Vol 2 No 2 2014 reny dkk dkk.pdf', 'docid': 162707, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 41215}]",LPPM Universitas Lampung,http://repository.lppm.unila.ac.id/id/eprint/41215,public,2022-04-12 01:21:53,933,2022-04-12 01:21:53,"[{'name': {'given': 'Zainal', 'lineage': None, 'honourific': None, 'family': 'Abidin'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",1970-01-01 00:00:00.000002014,disk0/00/04/12/15,other,['FP1'],,,,,,,,,,,,,,,,,,
