,creators,dir,date,type,divisions,publisher,documents,ispublished,full_text_status,uri,lastmod,userid,datestamp,eprintid,title,metadata_visibility,rev_number,succeeds,status_changed,eprint_status,abstract,subjects,event_type,official_url,event_dates,date_type,event_title,event_location,pagerange,refereed,pres_type,funders,volume,publication,issn,number,related_url,corp_creators,contact_email,contributors,place_of_pub,isbn,editors,book_title,keywords,id_number
0,"[{'name': {'family': 'Abidin', 'honourific': None, 'lineage': None, 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",disk0/00/04/12/19,1970-01-01 00:00:00.000002016,other,['FP1'],LPPM Universitas Lampung,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162721', 'main': 'revisi review JIIA Vol 4 no 1  2016   bayu dkk.pdf', 'docid': 162721, 'files': [{'datasetid': 'document', 'filesize': 382825, 'fileid': 457285, 'mime_type': 'application/pdf', 'mtime': '2022-04-11 15:07:04', 'hash_type': 'MD5', 'hash': '511521e4fac155eb1ffdcbddef3564da', 'filename': 'revisi review JIIA Vol 4 no 1  2016   bayu dkk.pdf', 'objectid': 162721, 'uri': 'http://repository.lppm.unila.ac.id/id/file/457285'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 41219, 'placement': 1, 'security': 'public'}]",unpub,public,http://repository.lppm.unila.ac.id/id/eprint/41219,2022-04-12 01:22:03,933,2022-04-12 01:22:03,41219,Analisis Finansial Usaha Ternak Ayam Probiotik,show,7,31196.0,2022-04-12 01:22:03,archive,Review JIIA Vol 4 No 1 tahun 2016,['S1'],,,,,,,,,,,,,,,,,,,,,,,,
1,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'given': 'Zainal', 'lineage': None, 'honourific': None, 'family': 'Abidin'}}]",disk0/00/03/11/93,1970-01-01 00:00:00.000002016,other,['FP1'],LPPM Universitas Lampung,"[{'eprintid': 31193, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'JIIA Vol 4 No 1 Nov  2016  sartika lestari zainal dan suarno.pdf', 'docid': 140961, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/369821', 'objectid': 140961, 'filesize': 378744, 'datasetid': 'document', 'filename': 'JIIA Vol 4 No 1 Nov  2016  sartika lestari zainal dan suarno.pdf', 'hash': 'c25997e332c06cc58be5e665da55813b', 'mtime': '2021-05-28 13:38:21', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 369821}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/140961', 'rev_number': 1}]",unpub,public,http://repository.lppm.unila.ac.id/id/eprint/31193,2021-05-29 00:35:33,933,2021-05-29 00:35:33,31193,Analisis Kinerja dan Ranti Pemasok Nilai Tambah Produk Olhan Kelompk Wanita Tani Melati Desa Tribudi Sukur,show,7,,2021-05-29 00:35:33,archive,Review JIIA Vol 4 no 1 tahun 2016,['S1'],,,,,,,,,,,,,,,,,,,,,,,,
2,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Abidin', 'lineage': None, 'given': 'Zainal'}}]",disk0/00/04/12/20,1970-01-01 00:00:00.000002016,other,['FP1'],LPPM Universitas Lampung,"[{'main': 'revisi review JIIA Vol 4 no 1  2016   sartika dkk.pdf', 'docid': 162722, 'files': [{'objectid': 162722, 'uri': 'http://repository.lppm.unila.ac.id/id/file/457289', 'mime_type': 'application/pdf', 'fileid': 457289, 'filename': 'revisi review JIIA Vol 4 no 1  2016   sartika dkk.pdf', 'hash': '04484d3109654939a813860364348f30', 'hash_type': 'MD5', 'mtime': '2022-04-11 15:18:40', 'datasetid': 'document', 'filesize': 389887}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162722', 'eprintid': 41220, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",unpub,public,http://repository.lppm.unila.ac.id/id/eprint/41220,2022-04-12 01:22:05,933,2022-04-12 01:22:05,41220,Analisis Kinerja dan Ranti Pemasok Nilai Tambah Produk Olhan Kelompk Wanita Tani Melati Desa Tribudi Sukur,show,4,,2022-04-12 01:22:05,archive,Review JIIA Vol 4 no 1 tahun 2016,['S1'],,,,,,,,,,,,,,,,,,,,,,,,
3,"[{'name': {'honourific': None, 'family': 'Abidin', 'lineage': None, 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",disk0/00/04/12/21,1970-01-01 00:00:00.000002016,other,['FP1'],LPPM UNILA,"[{'security': 'public', 'placement': 1, 'eprintid': 41221, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'mtime': '2022-04-11 15:34:41', 'hash_type': 'MD5', 'filename': 'revisi review JIIA Vol 4 no 12  2016  r akrima dkk.pdf', 'hash': 'bb922c6990b515dbbf98d2b998ad2895', 'fileid': 457301, 'mime_type': 'application/pdf', 'filesize': 371964, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/457301', 'objectid': 162728}], 'main': 'revisi review JIIA Vol 4 no 12  2016  r akrima dkk.pdf', 'docid': 162728, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162728', 'format': 'text', 'pos': 1}]",unpub,public,http://repository.lppm.unila.ac.id/id/eprint/41221,2022-04-12 01:22:07,933,2022-04-12 01:22:07,41221,DampakBantuan Sosila Penguatan Lembaga Distribui Pangan Masyarakat (LDPM) dterhadap Kinerja Gapoktan di Kecamata Natar,show,7,31195.0,2022-04-12 01:22:07,archive,"Review JIIA Vol 4 No 2, 2016",['S1'],,,,,,,,,,,,,,,,,,,,,,,,
4,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'given': 'Zainal', 'honourific': None, 'family': 'Abidin', 'lineage': None}}]",disk0/00/04/12/22,1970-01-01 00:00:00.000002016,other,['FP1'],LPPM Universitas Lampung,"[{'eprintid': 41222, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 162734, 'main': 'revisi  review JIIA Vol 4 no 4  2016 cherli dkk.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/457313', 'objectid': 162734, 'filesize': 386210, 'datasetid': 'document', 'filename': 'revisi  review JIIA Vol 4 no 4  2016 cherli dkk.pdf', 'hash': 'a132b6802e7108a49d86bb547e0c41c9', 'hash_type': 'MD5', 'mtime': '2022-04-11 15:50:44', 'mime_type': 'application/pdf', 'fileid': 457313}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162734'}]",unpub,public,http://repository.lppm.unila.ac.id/id/eprint/41222,2022-04-12 01:22:08,933,2022-04-12 01:22:08,41222,Review JIIA Vol 4 No 4 2016,show,7,32128.0,2022-04-12 01:22:08,archive,Peer Review JIIA Vol 4 No 4,['S1'],,,,,,,,,,,,,,,,,,,,,,,,
5,"[{'name': {'honourific': None, 'family': 'Affandi', 'lineage': None, 'given': 'Muhammad Irfan'}, 'id': 'irfanaffandi2006@yahoo.com'}]",disk0/00/00/33/39,2016-08-15 00:00:00.000000000,conference_item,['FP1'],,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 3339, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3233', 'format': 'text', 'pos': 1, 'files': [{'datasetid': 'document', 'filesize': 8677726, 'fileid': 23182, 'mime_type': 'application/pdf', 'mtime': '2017-06-04 18:16:06', 'hash_type': 'MD5', 'filename': 'Proceedings RRPG2016-M Irfan Affandi.pdf', 'hash': 'e597753065ddb5919698ebb92e2c0a18', 'objectid': 3233, 'uri': 'http://repository.lppm.unila.ac.id/id/file/23182'}], 'docid': 3233, 'main': 'Proceedings RRPG2016-M Irfan Affandi.pdf'}]",pub,public,http://repository.lppm.unila.ac.id/id/eprint/3339,2017-06-12 02:39:48,620,2017-06-12 02:39:48,3339,"Model-Based Management Environmental Services Strengthning Communities In Region Watershed (Das) Besai, Lampung Province, Indonesia",show,10,,2017-06-12 02:39:48,archive,"Subzone Watershed (DAS) Besai in Lampung Province with an area of 97.672 ha is part of 938.829,45 ha is one of the priority watersheds for recovery in Indonesia. Sub-catchment area Cathment Way Besai has area 44.720 ha and is located in the region upstream of the watershed and the watershed TulangBawang in Lampung Rarem Way North and River Right Way in Way Kanan Regency of Lampung province. The research objective is to identify and develop potential economic value of environmental services based strengthening forest management and watershed-based society, socialized to stakeholders, especially users of hydrological services and ecotourism. Research methods for economists value of hydrological services utilization using Contingent Valuation Method (CVM) is used to see the willingness to pay (WTP) to explore the preferences of consumers. For ecotourism services Travel Cost Method (TCM) is used to assess a conservation area or sites by looking at the willingness to pay the visitors to DAS Besai. The results showed that the economic value of hydrological services in Sub Das Way Besai Rp 745 per m3, which means that the value of environmental services utilization hydrological Rp 745 for each use of water for 1 m3. If the measurement ecotourism service notice objects that have regular visitors Besai sub watershed area, the economic value of ecotourism services amounting to Rp 270.910.588 per year. Strengthening forest management and community-based Watershed) DAS Besai in Lampung Province has given positive results in terms of program recovery. Output program has been achieved in terms of strengthening the community and also of the efforts to restore the forest and watershed conditions.",['S1'],conference,https://rrpg2016.wordpress.com/,15-17 Agustus 2016,published,7th RRPG International Conference and Field Study in Malaysia 2016 (RRPG7),"Universiti Teknologi Malaysia, Johor Bahru, Malaysia",378-383,TRUE,paper,['Centre for Innovative Planning & Development Universiti Teknologi Malaysia'],,,,,,,,,,,,,,
6,"[{'id': 'irfanaffandi2006@yahoo.com', 'name': {'honourific': None, 'family': 'Affandi, Muhammad Irfan', 'lineage': None, 'given': 'M. Irfan Affandi'}}]",disk0/00/00/33/43,2016-07-25 00:00:00.000000000,conference_item,['FP1'],,"[{'files': [{'datasetid': 'document', 'filesize': 717251, 'mime_type': 'application/pdf', 'fileid': 23191, 'hash': 'ff67f7bf893beff7922dff6c2112df97', 'filename': 'Proceeding IRSA 13th - M. Irfan Affandi-UNILA.pdf', 'mtime': '2017-06-04 18:40:53', 'hash_type': 'MD5', 'objectid': 3234, 'uri': 'http://repository.lppm.unila.ac.id/id/file/23191'}], 'docid': 3234, 'main': 'Proceeding IRSA 13th - M. Irfan Affandi-UNILA.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/3234', 'rev_number': 2, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 3343, 'content': 'published', 'language': 'en', 'mime_type': 'application/pdf'}]",pub,public,http://repository.lppm.unila.ac.id/id/eprint/3343,2017-06-12 01:54:47,620,2017-06-12 01:54:47,3343,Analysis of Growth Palm Oil Plantations And Agroindustry of Economic Region Province Lampung,show,9,,2017-06-12 01:54:47,archive,"The research was aimed to: (1) analyze the effect of the palm oil plantations and agroindustry growth to the economy of the Province Lampung in terms of value of linkage, and (2) analyze the effect of the of the palm oil plantations and agroindustry growth to the economy of the Province Lampung in terms of multiplier effects. The selection of location was purposively selected, consedering that the Province Lampung is one of palm oil producer which is one of the backers in the MP3EI Sumatra Corridor plays an important role for the supply of palm oil in Indonesia and the world. The research was conducted in February 2015 to July 2015. The data was analyzed using input-output analysis. The research shows that : (1) combination of linkages between economic sectors, the palm oil sector and palm oil agroindustry sector have high value of linkages between sectors, and (2) the value of the multiplier output, household income, and employment",['S1'],conference,,25-26 Juli 2016,published,The 13th IRSA International Conference: Demographic Change and Regional Development,Malang,1070-1077,TRUE,paper,,,,,,,,,,,,,,,
7,"[{'name': {'given': 'Tri', 'honourific': None, 'family': 'Agustam', 'lineage': None}, 'id': 'triagustam@gmail.com'}, {'name': {'honourific': None, 'family': 'Arifin', 'lineage': None, 'given': 'Bustanul'}, 'id': 'barifin@uwalumni.com'}, {'name': {'given': 'Lina', 'family': 'Marlina', 'honourific': None, 'lineage': None}, 'id': None}]",disk0/00/00/45/52,2016-10-01 00:00:00.000000000,article,['FP1'],Juruan Agribisnis Fakultas Pertanian Universitas Lampung,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/17458', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/44886', 'objectid': 17458, 'filesize': 165578, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2017-11-03 15:22:35', 'hash': 'fdfab63f3461132232b2c6606ba177d5', 'filename': '1519-3943-1-SM.pdf', 'fileid': 44886, 'mime_type': 'application/pdf'}], 'docid': 17458, 'main': '1519-3943-1-SM.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 4552}]",pub,public,http://repository.lppm.unila.ac.id/id/eprint/4552,2017-11-16 03:04:33,1172,2017-11-16 03:04:33,4552,"ANALISIS BIAYA IMBANGAN DAN POTENSI PENDAPATAN USAHATANI PADI DI KECAMATAN PUNGGUR KABUPATEN LAMPUNG TENGAH 
Analysis of Opportunity Cost and The Income Potency of Paddy Farming in Punggur Sub-District
Lampung Tengah Regency)",show,8,,2017-11-16 03:04:33,archive,"This research aims to analyze the opportunity cost of paddy farmer, the income potencials of paddy farming
and factors affecting the income of paddy farmers. This study was a survey method conducted in Astomulyo
Village, Punggur Sub-District, Lampung Tengah Regency in November 2015 - January 2016. This location
was selected purposively as Astomulyo Village is one of the paddy and pineapple producers. The number of
samples was 42 respondents selected by using Simple Random Sampling. The opportunity cost was analyzed
by comparing paddy farming and other farmers’ ocupationsusing two paired sample t-test. The potential
income of paddy farming was calculated on paddy farming income and opportunity cost and analyzed using
two paired sample t-test, The factors are paddy farming income using Cobb Douglass function profit. This
research results showed that farmers opportunity cost was Rp17,275,316.00, meaning that the opportunity
cost  of farmers was higher than the income of paddy farming. The income potencyof paddy farming was
Rp14,246,328.00, implying that the opportunity cost affected the incrase of paddy farmers’ income. The
factors affecting the paddy farming income were land size, seed cost, dan workers’ wage.

Keywords : income, opportunity cost, paddy farmers, the factor affected to income",['HB'],,http://jurnal.fp.unila.ac.id/index.php/JIA/index,,published,,,,TRUE,,,4.0,Jurnal Ilmu-Ilmu Agribisnis,2337 7070,4.0,,,,,,,,,,
8,"[{'id': 'rahmatakrima@gmail.com', 'name': {'given': 'Rahmat', 'family': 'Akrima', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Zainal', 'family': 'Abidin', 'honourific': None, 'lineage': None}, 'id': 'zainal.abidin@fp.unila.ac.id'}, {'id': None, 'name': {'given': 'Rio Tedy', 'honourific': None, 'family': 'Prayitno', 'lineage': None}}]",disk0/00/02/84/04,2016-05-01 00:00:00.000000000,article,['FP1'],Juruan Agribisnis Fakultas Pertanian Universitas Lampung,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 28404, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42451', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/252388', 'objectid': 42451, 'mtime': '2021-03-15 13:06:28', 'hash_type': 'MD5', 'filename': 'JIA Vol 4 n 2 mei 2016.pdf', 'hash': '52f34bcd8a2907f2030c96951fb766f4', 'fileid': 252388, 'mime_type': 'application/pdf', 'filesize': 160358, 'datasetid': 'document'}], 'main': 'JIA Vol 4 n 2 mei 2016.pdf', 'docid': 42451}]",pub,public,http://repository.lppm.unila.ac.id/id/eprint/28404,2021-03-16 01:40:24,933,2021-03-16 01:40:24,28404,DAMPAK BANTUAN SOSIAL PENGUATAN LEMBAGA DISTRIBUSI PANGAN MASYARAKAT (P-LDPM) TERHADAP KINERJA GAPOKTAN DI KECAMATAN NATAR KABUPATEN LAMPUNG SELATAN,show,6,,2021-03-16 01:40:24,archive,"This research aims to assess the impact of P-LDPM on Gapoktan performances and rice farmers incomes member of Gapoktan in Natar District South Lampung Regency. The sample of this research includes two Gapoktan’s chairman, and 26 rice farmers from Gapoktan Pendowo (P-LDPM recipient) and Gapoktan Mekar Sari (non P-LDPM recipient). The data collection was conducted from April to May 2015. Performance of Gapoktan was analyzed by quantitative descriptive analysis; income of rice farmers was analyzed by independent t-test of two samples. The result of this research showed that P-LDPM gave impact on Gapoktan performance. This could be seen from the recipient of P-LDPM Gapoktan performance that showed a good performance, in two performance indicators set by the Ministry of Agriculture in 2013. While, non recipients P-LDPM Gapoktan only showed good performance in one indicator. Income of the farmer was not impacted by P-LDPM yet, this could be seen from the results of independent t-test of two samples analysis that showed no significant difference in the average income per hectare between recipients and non-recipients of Gapoktan members.",['S1'],,http://jurnal.fp.unila.ac.id/index.php/JIA/index,,published,,,218-226,TRUE,,,4.0,Jurnal Ilmu-Ilmu Agribisnis,2337 7070,2.0,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1240'}],,,,,,,,,
9,"[{'id': None, 'name': {'honourific': None, 'family': 'Alghoziyah', 'lineage': None, 'given': 'Alghoziyah'}}, {'id': 'hismono@yahoo.com', 'name': {'lineage': None, 'family': 'Ismono', 'honourific': None, 'given': 'R Hanung'}}, {'id': 'sayekti_wur@yahoo.co.id', 'name': {'given': 'Wuryaningsih Dwi', 'lineage': None, 'family': 'Sayekti', 'honourific': None}}]",disk0/00/00/52/83,1970-01-01 00:00:00.000002016,article,['FP1'],Universitas Lampung,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/18227', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'filesize': 228725, 'mime_type': 'application/pdf', 'fileid': 50172, 'filename': 'Algoziyah.pdf', 'hash': 'dfe95edfb8b91cd8c51f401d21df7886', 'mtime': '2017-11-11 14:11:55', 'hash_type': 'MD5', 'objectid': 18227, 'uri': 'http://repository.lppm.unila.ac.id/id/file/50172'}], 'docid': 18227, 'main': 'Algoziyah.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 5283}]",pub,public,http://repository.lppm.unila.ac.id/id/eprint/5283,2017-11-16 04:36:27,942,2017-11-16 04:36:27,5283,"DAYA SAING USAHATANI KARET RAKYAT DI DESA KEMBANG TANJUNG
KECAMATAN ABUNG SELATAN KABUPATEN LAMPUNG UTARA
(Competitiveness of the Rubber Farming in the Village of Kembang Tanjung of South Abung
Subdistric, North Lampung Regency)",show,7,,2017-11-16 04:36:27,archive,"The purposes of this research are to find out the financial viability of smallholder rubber farming in
Kembang Tanjung Village and the competitiveness of smallholder rubber farming in Kembang Tanjung
village. This research was conducted in Kembang Tanjung, Subdistrict of South Abung, North Lampung
regency. The numbers of samples in this study were 63 people obtained by proportional random sampling.
The analytical methods used to answer the goals were financial analysis method and Policy Analysis Matrix
(PAM). The results obtained from this research showed that smallholder rubber farming in Kembang
Tanjung are profitable and feasible. The smallholder rubber farming at Kembang Tanjung has
competitiveness (competitive and comparative advantage), it could be seen by the PCR value as 0,17 (<1)
and the DRC amounted to 0,09 (<1). The indicator means that the commodity of smallholder rubber
farming at Kembang Tanjung village emerging government policies in term of improving production
effeciency which was the policy in subsidizing fertilizers for farmers.
Key words: competitiveness, financial feasibility, PAM, rubber.",['AC'],,http://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1508/1362,,published,,,243-252,TRUE,,,4.0,JIIA (Jurnal Ilmu-Ilmu Agribisnis),2337-7070,3.0,,['Universitas Lampung'],hismono@yahoo.com,,,,,,,
