,eprintid,eprint_status,status_changed,abstract,subjects,official_url,title,metadata_visibility,rev_number,volume,type,divisions,issn,creators,publication,date,dir,lastmod,userid,pagerange,datestamp,documents,publisher,number,ispublished,refereed,full_text_status,uri,succeeds,pages,editors,place_of_pub,copyright_holders,isbn,date_type,book_title,corp_creators,institution,contact_email,monograph_type,event_title,event_location,event_dates,event_type,pres_type,id_number,related_url,contributors,funders,referencetext,keywords,projects
0,11679,archive,2019-05-08 07:12:46,"Abstract

One of the government's efforts to accelerate development in disadvantaged, deepest and outermost regions is through  the  Village  Fund  Policy.  One  of  the  obligations  after  the  issuance  of  Law  No.  6  of  2014  is  the implementation of BUMDes (Village-Owned Enterprises). The study aims to analyze the contribution of Village Funds in the development of BUMDes in Hanura Village, Teluk Pandan District, Pesawaran District, Lampung Province. The study used a qualitative descriptive approach. Data collection was carried out through in-depth interviews with village officials and managers of BUMDes and field observations. The results of this study indicate that village funds in Hanura Village have contributed to the development of BUMDes. In 2018 the Ha nura Village Government budgeted costs for the Procurement of Infrastructure Production Activities for Agriculture / livestock / fisheries production of Rp. 12,265,000.00. Then the Budget for Procurement of Marketing Infrastructure Activities (Shop and Cooperative Development) is Rp. 104,700,000.00, and the Community Economic Business Development and Establishment Activities (for other Capital Equipment and Machine Expenditures and animal and livestock capital expenditures) of Rp. 39,999,997.00. The business units owned by BUMDes Conscience include: 1) Market Management, 2) Product and Service Units, 3) Home Industry. One of the BUMDes marketing strategies is through online sales through the BUMDes website.

Keywords : Village fund, BUMDes, Hanura village",['S1'],http://jurnal.poltekba.ac.id/index.php/jsh/issue/view/,"Kontribusi Dana Desa dalam Pengembangan Badan Usaha Milik Desa di Desa Hanura, Kabupaten Pesawaran, Provinsi Lampung",show,8,3.0,article,['FP1'],25805398,"[{'id': None, 'name': {'given': 'Mutolib', 'lineage': None, 'honourific': None, 'family': 'Abduk'}}, {'name': {'family': 'Dewangga', 'honourific': None, 'lineage': None, 'given': 'Nikmatullah'}, 'id': 'dewangganikmatullah@yahoo.com'}, {'name': {'given': 'Efendi', 'family': 'Irwan', 'honourific': None, 'lineage': None}, 'id': 'irwaneffendi@gmail.com'}, {'id': 'beggem_vh@yahoo.com', 'name': {'given': 'BV', 'family': 'Begem Viantimala', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Rahmat', 'family': 'Ali', 'honourific': None, 'lineage': None}, 'id': None}]",Junal Sosial Humaniora Pendidikan,2019-03-01 00:00:00.000000000,disk0/00/01/16/79,2019-05-08 07:12:46,775,10-19,2019-05-08 07:12:46,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/24669', 'rev_number': 1, 'docid': 24669, 'main': 'Jurnal Bu Begem.pdf', 'files': [{'datasetid': 'document', 'filesize': 263752, 'fileid': 105554, 'mime_type': 'application/pdf', 'mtime': '2019-05-06 01:39:03', 'hash_type': 'MD5', 'hash': '13a4418aac7a433115ea9cebcda3e698', 'filename': 'Jurnal Bu Begem.pdf', 'objectid': 24669, 'uri': 'http://repository.lppm.unila.ac.id/id/file/105554'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 11679, 'placement': 1, 'security': 'public'}]",IPB,1.0,pub,TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/11679,,,,,,,,,,,,,,,,,,,,,,,,
1,41338,archive,2022-04-18 01:08:21,REview JOVA Vol 3 No 2 Oktober 2019,['S1'],,Analisis Penentuan Biaya Pokok Produksi Olahan Kopi Robusta di Koperasi Turto Kencono Tanaggamus,show,7,,other,['FP1'],,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'given': 'Zainal', 'lineage': None, 'family': 'Abidin', 'honourific': None}}]",,1970-01-01 00:00:00.000002019,disk0/00/04/13/38,2022-04-18 01:08:21,933,,2022-04-18 01:08:21,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162951', 'format': 'text', 'pos': 1, 'files': [{'filesize': 381138, 'datasetid': 'document', 'filename': 'rvisi review jofsa vol 3 no 2 2019 aufa zainal lina .pdf', 'hash': '6156a72ad911668663e1d81bb0df00d9', 'mtime': '2022-04-14 15:32:01', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 458333, 'uri': 'http://repository.lppm.unila.ac.id/id/file/458333', 'objectid': 162951}], 'main': 'rvisi review jofsa vol 3 no 2 2019 aufa zainal lina .pdf', 'docid': 162951, 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 41338}]",LPPM Universitas Lampung,,unpub,,public,http://repository.lppm.unila.ac.id/id/eprint/41338,32125.0,,,,,,,,,,,,,,,,,,,,,,,
2,31164,archive,2021-05-29 00:33:54,Review atas jurnl JIIA Vol 7 No 1,['S1'],,Dampak Fenomena El Nino Terhadap Pendapatan Usahatani Dan Pola Tanam Petani Padi Di Kecamatan Natar Kabupaten Lampung Selatan,show,7,,other,['FP1'],,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'given': 'Zainal', 'family': 'Abidin', 'honourific': None, 'lineage': None}}]",,1970-01-01 00:00:00.000002019,disk0/00/03/11/64,2021-05-29 00:33:54,933,,2021-05-29 00:33:54,"[{'eprintid': 31164, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': 'JIIA Vol 7 n0 1 2019 tri nugroho zainal dan Lina marlina.pdf', 'docid': 140795, 'files': [{'objectid': 140795, 'uri': 'http://repository.lppm.unila.ac.id/id/file/369464', 'datasetid': 'document', 'filesize': 385207, 'fileid': 369464, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-05-28 09:23:22', 'filename': 'JIIA Vol 7 n0 1 2019 tri nugroho zainal dan Lina marlina.pdf', 'hash': '23d3b8384924077399a05f706c4bdc96'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/140795'}]",LPPM Universitas Lampung,,unpub,,public,http://repository.lppm.unila.ac.id/id/eprint/31164,,,,,,,,,,,,,,,,,,,,,,,,
3,41263,archive,2022-04-12 03:49:35,Review atas jurnl JIIA Vol 7 No 1,['S1'],,Dampak Fenomena El Nino Terhadap Pendapatan Usahatani Dan Pola Tanam Petani Padi Di Kecamatan Natar Kabupaten Lampung Selatan,show,4,,other,['FP1'],,"[{'name': {'honourific': None, 'family': 'Abidin', 'lineage': None, 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",,1970-01-01 00:00:00.000002019,disk0/00/04/12/63,2022-04-12 03:49:35,933,,2022-04-12 03:49:35,"[{'eprintid': 41263, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 162793, 'main': 'REVISI REVIEW JIIA Vol 7 no 1 2019 NUGROHO  dkk.pdf', 'files': [{'objectid': 162793, 'uri': 'http://repository.lppm.unila.ac.id/id/file/457661', 'fileid': 457661, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-04-12 02:56:08', 'filename': 'REVISI REVIEW JIIA Vol 7 no 1 2019 NUGROHO  dkk.pdf', 'hash': 'e0e926cf2518a3199da0e937bc02e589', 'datasetid': 'document', 'filesize': 395247}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162793'}]",LPPM Universitas Lampung,,unpub,,public,http://repository.lppm.unila.ac.id/id/eprint/41263,,,,,,,,,,,,,,,,,,,,,,,,
4,11081,archive,2019-04-09 02:27:13,"This book is revised version of Englsih for Agribusiness, printed in 2017-2018.  This book is a teaching material for student enrolling in English for Agribusiness class.  It contains of chapter, consisting or readings, English structure, problems, and assignment for student activity.
This book covers discussion on easy reading to more complicated passages. By completing reading and learning from this book, student is expected to gain knowledge and skills on understanding agribusiness with context of English",['S1'],http://pusakamedia.com,English for Agribusiness Edisi Revisi,show,10,,book,"['FH1', 'FP1']",,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Abidin', 'honourific': None, 'given': 'Zainal'}}]",,2019-02-01 00:00:00.000000000,disk0/00/01/10/81,2019-04-09 02:27:13,933,,2019-04-09 02:27:13,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/24076', 'rev_number': 1, 'docid': 24076, 'main': 'english for agribusines edisi revisi.pdf', 'files': [{'objectid': 24076, 'uri': 'http://repository.lppm.unila.ac.id/id/file/101291', 'mime_type': 'application/pdf', 'fileid': 101291, 'hash': '3b0bb6fe4bfa2439ca13f642d707033f', 'filename': 'english for agribusines edisi revisi.pdf', 'hash_type': 'MD5', 'mtime': '2019-04-04 14:10:26', 'datasetid': 'document', 'filesize': 2962762}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 11081, 'placement': 1, 'security': 'public'}]",Pusaka Media,,pub,FALSE,public,http://repository.lppm.unila.ac.id/id/eprint/11081,11072.0,98.0,"[{'name': {'given': 'Yaktiworo', 'lineage': None, 'family': 'Indriani', 'honourific': None}, 'id': 'yakti_indriani@yahoo.com'}, {'id': 'indah.nurmayasari@unila.ac.id', 'name': {'family': 'Nurmayasari', 'honourific': None, 'lineage': None, 'given': 'Indah'}}]",Bandaer Lampung,['Zainal Abidin'],978-602-5420-79-5,,,,,,,,,,,,,,,,,,
5,31168,archive,2021-05-29 00:34:13,Review JIIA Vol 7 no 2 Mwi 2019,['S1'],,Identifikasi Atribut Pelayanan Dan Tingkat Kepuasan Konsumen Rumah Makan Bakso Di Lingkungan Universitas Lampung,show,8,,other,['FP1'],,"[{'name': {'given': 'Zainal', 'family': 'Abidin', 'honourific': None, 'lineage': None}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",,1970-01-01 00:00:00.000002019,disk0/00/03/11/68,2021-05-29 00:34:13,933,,2021-05-29 00:34:13,"[{'eprintid': 31168, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'main': 'JIIA Vol 7 no 2 mei 2019 magdalena, yaktiworo dan zainal a.pdf', 'docid': 140801, 'files': [{'fileid': 369495, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-05-28 09:32:49', 'filename': 'JIIA Vol 7 no 2 mei 2019 magdalena, yaktiworo dan zainal a.pdf', 'hash': 'c8ddd861de9ff50c52ab73f683cb91b9', 'datasetid': 'document', 'filesize': 381138, 'objectid': 140801, 'uri': 'http://repository.lppm.unila.ac.id/id/file/369495'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/140801', 'rev_number': 1}]",LPPM Universitas Lampung,,unpub,,public,http://repository.lppm.unila.ac.id/id/eprint/31168,,,,,,,,,,,,,,,,,,,,,,,,
6,41278,archive,2022-04-12 05:08:06,Review JIIA Vol 7 no 2 Mwi 2019,['S1'],,Identifikasi Atribut Pelayanan Dan Tingkat Kepuasan Konsumen Rumah Makan Bakso Di Lingkungan Universitas Lampung,show,4,,other,['FP1'],,"[{'name': {'given': 'Zainal', 'honourific': None, 'family': 'Abidin', 'lineage': None}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",,1970-01-01 00:00:00.000002019,disk0/00/04/12/78,2022-04-12 05:08:06,933,,2022-04-12 05:08:06,"[{'eprintid': 41278, 'security': 'public', 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 162814, 'main': 'revisi review JIIA Vol 7 no 2  2019  magdalena dkk.pdf', 'files': [{'datasetid': 'document', 'filesize': 387768, 'mime_type': 'application/pdf', 'fileid': 457796, 'filename': 'revisi review JIIA Vol 7 no 2  2019  magdalena dkk.pdf', 'hash': '2396ecdb036e69f94552d61ccb3ba265', 'mtime': '2022-04-12 04:14:48', 'hash_type': 'MD5', 'objectid': 162814, 'uri': 'http://repository.lppm.unila.ac.id/id/file/457796'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162814', 'rev_number': 1}]",LPPM Universitas Lampung,,unpub,,public,http://repository.lppm.unila.ac.id/id/eprint/41278,,,,,,,,,,,,,,,,,,,,,,,,
7,31172,archive,2021-05-29 00:34:29,Review JIIA Vol 7 No 2 Mei 2019,['S1'],,Kajian Implementasi Peraturan Menteri Perdagangan  Nomor 57 Tahun 2017 Di Bandar Lampung,show,7,,other,['FP1'],,"[{'name': {'given': 'Zainal', 'lineage': None, 'honourific': None, 'family': 'Abidin'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",,1970-01-01 00:00:00.000002019,disk0/00/03/11/72,2021-05-29 00:34:29,933,,2021-05-29 00:34:29,"[{'docid': 140840, 'main': 'JIIA Vol 7 no 2 mei 2019  febrina veronica zainal a dan ktut murniati.pdf', 'files': [{'objectid': 140840, 'uri': 'http://repository.lppm.unila.ac.id/id/file/369582', 'datasetid': 'document', 'filesize': 402486, 'mime_type': 'application/pdf', 'fileid': 369582, 'filename': 'JIIA Vol 7 no 2 mei 2019  febrina veronica zainal a dan ktut murniati.pdf', 'hash': '5f664efcb4eb0a024a21ce30e2070c62', 'mtime': '2021-05-28 09:43:42', 'hash_type': 'MD5'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/140840', 'rev_number': 1, 'eprintid': 31172, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",LPPM Universitas Lampung,,unpub,,public,http://repository.lppm.unila.ac.id/id/eprint/31172,,,,,,,,,,,,,,,,,,,,,,,,
8,31083,archive,2021-05-28 01:01:17,Review Baba Buku Karakteristik SOSEK penulis Zainal Abidin dan Abdul Mtolib,['S1'],,"Karakteristik Sosial-Ekonomi Dan Pengetahuan Masyarakat Terhadap Isu Perubahan Iklim Degradasi Lahan, Dan Keanekaragaman Hayati: Studi Kasus Di esa Bayas Jaya, Kecamatan Way Khilau, Kabupaten Pesawaran, Provinsi Lampung",show,7,,other,['FP1'],,"[{'name': {'given': 'Zainal', 'honourific': None, 'family': 'Abidin', 'lineage': None}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",,1970-01-01 00:00:00.000002019,disk0/00/03/10/83,2021-05-28 01:01:17,933,,2021-05-28 01:01:17,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/140382', 'format': 'text', 'pos': 1, 'files': [{'filesize': 343250, 'datasetid': 'document', 'filename': 'Review babbuku karakterisik sosek zainal abidin dan abdulmotolib 2019.pdf', 'hash': '65954e4709f2251a1d0874eed1d23f44', 'hash_type': 'MD5', 'mtime': '2021-05-27 16:24:07', 'mime_type': 'application/pdf', 'fileid': 368535, 'uri': 'http://repository.lppm.unila.ac.id/id/file/368535', 'objectid': 140382}], 'docid': 140382, 'main': 'Review babbuku karakterisik sosek zainal abidin dan abdulmotolib 2019.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 31083}]",LPPM Universitas Lampung,,unpub,,public,http://repository.lppm.unila.ac.id/id/eprint/31083,,,,,,,,,,,,,,,,,,,,,,,,
9,41288,archive,2022-04-12 05:08:29,"Revie JIIA Vol 7 No 4 an Putri Anessa Bela, Zainal Abidin, dan S. Widjaya",['S1'],,Pendapatan Dan Pola Konsumsi Rumah Tangga Petani Sekitar Tahura Wan Abdul Rachman Di Desa Wiyono Kecamatan Gedong Tataan,show,7,,other,['FP1'],,"[{'name': {'honourific': None, 'family': 'Abidin', 'lineage': None, 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",,1970-01-01 00:00:00.000002019,disk0/00/04/12/88,2022-04-12 05:08:29,933,,2022-04-12 05:08:29,"[{'files': [{'mime_type': 'application/pdf', 'fileid': 457858, 'filename': 'review JIIA Vol 7 no 4  2019  lbella dkk.pdf', 'hash': '5d2498699984733af52249fe9338f0fa', 'mtime': '2022-04-12 04:48:24', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 409025, 'objectid': 162827, 'uri': 'http://repository.lppm.unila.ac.id/id/file/457858'}], 'docid': 162827, 'main': 'review JIIA Vol 7 no 4  2019  lbella dkk.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162827', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 41288, 'language': 'en', 'mime_type': 'application/pdf'}]",LPPM Unila,,unpub,,public,http://repository.lppm.unila.ac.id/id/eprint/41288,31080.0,,,,,,,,,,,,,,,,,,,,,,,
