,title,rev_number,metadata_visibility,eprint_status,status_changed,subjects,abstract,eprintid,ispublished,documents,publisher,full_text_status,uri,userid,lastmod,datestamp,creators,dir,date,type,divisions,succeeds,place_of_pub,date_type,pagerange,refereed,number,contributors,publication,issn,related_url,volume,official_url,pages,monograph_type,institution,department,corp_creators,id_number,isbn,book_title,keywords,pres_type,event_location,event_title,event_type,event_dates,contact_email,patent_applicant
0,Determinan Produksi dan Keuntungan Usahatani Cabai Merah Besar Di Kecamatan Way Sulan Kabupaten Lampung Selatan,8,show,archive,2021-05-28 01:00:49,['S1'],Evaluasi eer eview,31073,unpub,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/140318', 'rev_number': 1, 'main': 'JIIA VOL 9 NO 1  Feb 2021 Evita dkk.pdf', 'docid': 140318, 'files': [{'filesize': 404394, 'datasetid': 'document', 'mtime': '2021-05-27 15:00:16', 'hash_type': 'MD5', 'hash': '581f945664ef872d90dd3ca9aab2ec13', 'filename': 'JIIA VOL 9 NO 1  Feb 2021 Evita dkk.pdf', 'fileid': 368407, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/368407', 'objectid': 140318}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 31073, 'placement': 1, 'security': 'public'}]",LPPM Unila,public,http://repository.lppm.unila.ac.id/id/eprint/31073,933,2021-05-28 01:00:49,2021-05-28 01:00:49,"[{'name': {'family': 'Abidin', 'honourific': None, 'lineage': None, 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",disk0/00/03/10/73,1970-01-01 00:00:00.000002021,other,['FP1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Peer Review Jurnal Economic Development ANalysis Journal Vol 10 No 2 tahun 2021,5,show,archive,2022-04-18 01:08:17,['S1'],Merupakan review dari rekan sejawat atas naskah di Jurnal EDAJ Vol 10 No 2 tahun 2021,41337,unpub,"[{'files': [{'filename': 'revisi review journal edaj vol 10 n0 4 2021 marsha zainal fe tiwi .pdf', 'hash': '229932d110b8d9b39f1ffc8f599a8ec2', 'mtime': '2022-04-14 15:06:13', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 458321, 'filesize': 357327, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/458321', 'objectid': 162945}], 'docid': 162945, 'main': 'revisi review journal edaj vol 10 n0 4 2021 marsha zainal fe tiwi .pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162945', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 41337, 'language': 'en', 'mime_type': 'application/pdf'}]",LPPM Unila,public,http://repository.lppm.unila.ac.id/id/eprint/41337,933,2022-04-18 01:08:17,2022-04-18 01:08:17,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Abidin', 'given': 'Zainal'}}]",disk0/00/04/13/37,2021-11-01 00:00:00.000000000,other,['FP1'],39132.0,Bandar Lampung,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Revisi review artikel JOFSA Vol 5 n0 2 tahun 2021 ni desak dkk.  Sinta 4,8,show,archive,2022-04-14 01:37:09,['S1'],revisi review journal jofsa vol 5 no 2 2021 an ni desak dkk,41327,unpub,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/162916', 'rev_number': 1, 'docid': 162916, 'main': 'revisi review jofsa vol 5 no 2 2021 ni desak dkk.pdf', 'files': [{'objectid': 162916, 'uri': 'http://repository.lppm.unila.ac.id/id/file/458196', 'fileid': 458196, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-04-14 01:32:07', 'hash': 'fa59861cfc3b37a36280cf68fef56eef', 'filename': 'revisi review jofsa vol 5 no 2 2021 ni desak dkk.pdf', 'datasetid': 'document', 'filesize': 402957}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 41327, 'placement': 1, 'security': 'public'}]",Politeknik Negeri Lampung,public,http://repository.lppm.unila.ac.id/id/eprint/41327,933,2022-04-14 01:37:09,2022-04-14 01:37:09,"[{'name': {'given': 'Zainal', 'lineage': None, 'family': 'Abidin', 'honourific': None}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",disk0/00/04/13/27,2021-11-01 00:00:00.000000000,other,['FP1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Reviwe Jurnal community based Vol 5 no 1 Februari 2021,7,show,archive,2022-04-18 01:08:10,['S1'],Review Journall of Coommunity Based Environmental Engineering Vol 5 no 1,41335,unpub,"[{'placement': 1, 'security': 'public', 'eprintid': 41335, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 162937, 'uri': 'http://repository.lppm.unila.ac.id/id/file/458303', 'mime_type': 'application/pdf', 'fileid': 458303, 'hash': '6ca2d8878cb3a8dffd3a0d287914ea0a', 'filename': 'revisi review journal community based teguh dkk tahun 2021.pdf', 'hash_type': 'MD5', 'mtime': '2022-04-14 14:35:08', 'datasetid': 'document', 'filesize': 383916}], 'main': 'revisi review journal community based teguh dkk tahun 2021.pdf', 'docid': 162937, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162937', 'pos': 1, 'format': 'text'}]",LPPM Universitas Lampung,public,http://repository.lppm.unila.ac.id/id/eprint/41335,933,2022-04-18 01:08:10,2022-04-18 01:08:10,"[{'name': {'given': 'Zainal', 'lineage': None, 'honourific': None, 'family': 'Abidin'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",disk0/00/04/13/35,1970-01-01 00:00:00.000002021,other,['FP1'],32327.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Similarity test journal community based tegu zainal dan lina 2021,8,show,archive,2023-04-10 09:20:01,['S1'],Similarity test jurnal economic valuation tegu zainal dan Lina,50104,pub,"[{'files': [{'filename': 'similarity test economvaluation teguh zainal dan lina 2021.pdf', 'hash': 'c2a68289cd4f34f92e6facf403e7b157', 'mtime': '2023-04-10 08:12:16', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 541865, 'filesize': 546946, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/541865', 'objectid': 189805}], 'main': 'similarity test economvaluation teguh zainal dan lina 2021.pdf', 'docid': 189805, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189805', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 50104, 'language': 'en', 'mime_type': 'application/pdf'}]","Department of Environmental Engineering, Universitas Pasundan",public,http://repository.lppm.unila.ac.id/id/eprint/50104,933,2023-04-10 09:20:01,2023-04-10 09:20:01,"[{'name': {'honourific': None, 'family': 'Abidin', 'lineage': None, 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}, {'name': {'given': 'Lina', 'lineage': None, 'honourific': None, 'family': 'Marlina'}, 'id': 'lina.marlina@fp.unila.ac.id'}]",disk0_bak/00/05/01/04,2021-02-01 00:00:00.000000000,other,['FP1'],,,published,,,,,,,,,,,,,,,,,,,,,,,,,
5,ANALISIS PENDAPATAN DAN TINGKAT KESEJAHTERAAN RUMAH TANGGA MASYARAKAT SEKITAR TAMAN NASIONAL BUKIT BARISAN SELATAN KABUPATEN PESISIR BARAT,6,show,archive,2022-01-24 09:06:31,['S1'],"This study aims to determine the socio-economic characteristics of farmers, analyze the income structure, the factors that affect the income of farmers, and the level of household welfare of farmers who live around Bukit Barisan Selatan National Park, Pesisir Barat District. This research is a survey research involving 99 respondents who were randomly selected. Respondents were spread across four subdistricts, namely Bengkunat Belimbing, Ngambur, Pesisir Selatan, and Karya Penggawa Districts. The study was conducted from July to August 2018. The first objective was analyzed qualitatively, the second objective was analyzed using household income analysis, the third objective used multiple linear regression analysis, and the fourth objective was using Sajogyo's criteria (1997). The study suggested that the socio-economic characteristics of the farmers around TNBBS were spread from 15 to 64 years of age with an average age of 43.74 years. The average education level was elementary school, the number of majority of family sizes was from 4 to 6 people (67.68%), and the average land was 1.41 ha. The average household income of farmers is IDR 36,946,883.94 per year, which consists of on-farm income 63.68%, off-farm income 11.00%, and non-farm income 25.33%.. Factors that affect farmers' income are fertilizer costs and labor costs. The welfare of farmers around TNBBS is in quite prosperous category.",38269,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 38269, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159281', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'mime_type': 'application/pdf', 'fileid': 434120, 'hash': 'c553eda8b9be3d98bfef1398459d8973', 'filename': 'JIIA Vol 9 No 3 Agustus Fahreza, zainal, dan adia.pdf', 'hash_type': 'MD5', 'mtime': '2022-01-24 03:42:01', 'datasetid': 'document', 'filesize': 1043853, 'objectid': 159281, 'uri': 'http://repository.lppm.unila.ac.id/id/file/434120'}], 'docid': 159281, 'main': 'JIIA Vol 9 No 3 Agustus Fahreza, zainal, dan adia.pdf'}]",Jurusan Agribisnis Fakultas Pertanian Universitas Lampung,public,http://repository.lppm.unila.ac.id/id/eprint/38269,933,2022-01-24 09:06:31,2022-01-24 09:06:31,"[{'name': {'given': 'Zainal', 'family': 'Abidin', 'honourific': None, 'lineage': None}, 'id': 'zainal.abidin@fp.unila.ac.id'}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Nugraha', 'given': 'Adia'}}, {'id': None, 'name': {'given': 'M. Reza', 'family': 'Fahrezy', 'honourific': None, 'lineage': None}}]",disk0/00/03/82/69,2021-08-31 00:00:00.000000000,article,['FP1'],,,published,418-424,TRUE,3,"[{'name': {'given': 'Adia Nugraha', 'honourific': None, 'family': 'Adia Nugraha', 'lineage': None}}, {'name': {'honourific': None, 'family': 'Adia Nugraha', 'lineage': None, 'given': 'Adia Nugraha'}}, {'name': {'family': 'Adia Nugraha', 'honourific': None, 'lineage': None, 'given': 'Adia Nugraha'}}, {'name': {'given': 'Adia Nugraha', 'family': 'Adia Nugraha', 'honourific': None, 'lineage': None}}]","Jurnal Ilmu Ilmu Agribisnis: Journal of Agribusiness Science,",26204177,[{'url': 'https://jurnal.fp.unila.ac.id/index.php/JIA/article/view/5328'}],9.0,https://jurnal.fp.unila.ac.id/index.php/JIA/index,,,,,,,,,,,,,,,,
6,Korespondensi dengan jurnal Economic Development Analysis Journal,7,show,archive,2023-04-10 04:16:20,['S1'],Korespondensi dengan economic development analysis jurnal,50036,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 50036, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189726', 'format': 'text', 'pos': 1, 'files': [{'objectid': 189726, 'uri': 'http://repository.lppm.unila.ac.id/id/file/541306', 'datasetid': 'document', 'filesize': 211635, 'fileid': 541306, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-04-10 03:54:21', 'filename': 'korespondensi dengan jurnal EDAJ .pdf', 'hash': '683908232a061d52058552874663d9e0'}], 'docid': 189726, 'main': 'korespondensi dengan jurnal EDAJ .pdf'}]",Universitas Negeri Semarang,public,http://repository.lppm.unila.ac.id/id/eprint/50036,933,2023-04-10 04:16:20,2023-04-10 04:16:20,"[{'name': {'given': 'Zainal', 'family': 'Abidin', 'honourific': None, 'lineage': None}, 'id': 'zainal.abidin@fp.unila.ac.id'}, {'name': {'given': 'Fembriarti Erry', 'lineage': None, 'honourific': None, 'family': 'Prasmatiwi'}, 'id': 'fembriarti.erry@fp.unila.ac.id'}]",disk0_bak/00/05/00/36,2021-11-01 00:00:00.000000000,other,['FP1'],,,published,,,,,,,,,,,,,,,,,,,,,,,,,
7,"KAJIAN KEBERLANJUTAN MODEL PENGELOLAAN AIR BERSIH  DI SUB-DAS  BESAI, PROVINSI LAMPUNG",7,show,archive,2021-11-12 02:11:52,['S1'],"Komitmen pemerintah dalam memenuhi Sustainable Development Goals (SDGs) untuk air bersih dan sanitasi menghadapi tantangan berupa keterbatasan anggaran.  Oleh sebab itu, inisiatif masyarakat dalam mengoptimalkan sumberdaya hutan untuk mendapatkan asir bersih tentunya sangat strategis.   Salah satu bentuk inisiatif masyarakat adalah pengelolaan air berbasis masyarakat. Pengelolaan air bersih berbasis masyarakat merupakan cara unik masyarakat dalam mengelola sumbedaya air yang berada di sekitar lingkungannya, khususnya pada kawasan pinggir hutan dengan komunitas yang secara ekonomi miskin.  Pada pengelolaan air bersih ini, kearifan lokal berupa cara menetapkan jasa, metode pembagian air bersih ke rumah tangga, serta peran serta masyarakat menjadi penting dan menjamin keberlanjutan jasa ini. Di Sub-DAS Way Besai, model pengelolaan ini berkembang dengan berbagai pola pengorganisasian seperti dikelola penuh pemerintah desa, dikelola kelompok masyarakat, dikelola perusahaan BUMD.    
	Penelitian ini bertujuan untuk mengetahui (1) bagaimana model pengelolaan air bersih, (2) keberlanjutan jasa air bersih, dan dan (3)  factor-faktor yang mempengaruhi keberlanjutan pengelolaan air bersih di Sub-DAS Besai, Lampung Barat., 
	Penelitian ini menggunakan metode survey dengan lokasi di Sub-DAS Way Besai, Lampung Barat.  Ukuran responden adalah 100 rumah tangga yang dipilih secara acak yang mewakili bagi Kelompok Pengelola Air Bersih (KPAB).   Tujuan 1 dan 2 dikaji dengan meggunakan analisis kualitatif deskripti, Sementara tujuan 3 dikaji dengan menggunakan analisis logistic multiple regression.      
	Studi ini menghasilkan keluaran berupa 
1. artikel yang siap disubmit ke jurnal internasional bereputasi pada tahun 2021 (proses submitting dan naskah sudah di periksa similarities. (terlampir)
2. presentasi pada seminar internasional tahun 2021 yaitu Seminar SHIELD 5.  Power point presentasi dilampirkan (sertifikat presentasi terlampir)",36358,unpub,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 36358, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/157295', 'rev_number': 1, 'docid': 157295, 'main': 'Laporan penelitian Zainal_Abidin_FP_professorship revisi.pdf', 'files': [{'objectid': 157295, 'uri': 'http://repository.lppm.unila.ac.id/id/file/420116', 'fileid': 420116, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-11-12 02:03:54', 'hash': 'a9f21b57222b5fdee42590c14df6ae56', 'filename': 'Laporan penelitian Zainal_Abidin_FP_professorship revisi.pdf', 'datasetid': 'document', 'filesize': 8567613}]}]",LPPM Unila,public,http://repository.lppm.unila.ac.id/id/eprint/36358,933,2021-11-12 02:11:52,2021-11-12 02:11:52,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Abidin', 'honourific': None, 'given': 'Zainal'}}, {'id': 'Wan_abbas@yahoo.com', 'name': {'family': 'Zakaria', 'honourific': None, 'lineage': None, 'given': 'Wan Abbas'}}, {'name': {'given': 'Teguh', 'family': 'Endaryanto', 'honourific': None, 'lineage': None}, 'id': 'teguh.endaryanto@fp.unila.ac.id'}]",disk0/00/03/63/58,2021-09-01 00:00:00.000000000,monograph,['FP1'],,Bandar Lampung,submitted,,,,,,,,,,21.0,project_report,LPPM Unila,Agribisnis,,,,,,,,,,,,
8,"POLA KONSUMSI DAN PERMINTAAN BERAS TINGKAT RUMAH TANGGA
DI KOTA BANDAR LAMPUNG",7,show,archive,2021-12-31 10:34:25,['AC'],"Consumption Pattern and Household Demand on Rice in Bandar Lampung City

This research aims to examine the pattern of rice consumption, rice demand and the factors that influence household rice demand in Bandar Lampung City.  This study used a survey method involving 64 respondents chosen randomly and consisted of 32 respondents from Panjang District and 32 respondents from by Sukarame District.  Data collection was carried out in November to December 2018 and analyzed qualitatively, statistically descriptive and verification using multiple linear regression. The results showed that the pattern of household rice consumption in Bandar Lampung City consisted of the types of rice consumed by households was random rice, IR 64, Pandan Wangi, and Rojolele with the type of rice most consumed by households was IR 64. The quality of rice consumed by households was super rice.  Most of the households consume rice because of habits.  Total household rice consumption was 15-25 kg per month.  The majority of households consume 3 times per day. The total household rice demand in Bandar Lampung City was 25.31 kg per month and the average demand per capita was 6.33 kg per month.  Factors affecting household rice demand in Bandar Lampung City were the price of bread, the price of chicken, and the number of household members.

Key words: consumption pattern, demand, rice",37523,pub,"[{'mime_type': 'application/pdf', 'language': 'id', 'security': 'public', 'placement': 1, 'eprintid': 37523, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158462', 'rev_number': 2, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/428684', 'objectid': 158462, 'filesize': 683391, 'datasetid': 'document', 'filename': 'Ican Beras.pdf', 'hash': '587ee4e183bdacf008f8ac38e724c89c', 'hash_type': 'MD5', 'mtime': '2021-12-31 04:58:51', 'mime_type': 'application/pdf', 'fileid': 428684}], 'docid': 158462, 'main': 'Ican Beras.pdf'}]",Juruan Agribisnis Fakultas Pertanian Universitas Lampung,public,http://repository.lppm.unila.ac.id/id/eprint/37523,728,2021-12-31 10:34:25,2021-12-31 10:34:25,"[{'id': None, 'name': {'given': 'Ican', 'honourific': None, 'family': 'Aido', 'lineage': None}}, {'name': {'lineage': None, 'family': 'Prasmatiwi', 'honourific': None, 'given': 'Fembriarti Erry'}, 'id': 'fembriarti.erry@fp.unila.ac.id'}, {'name': {'given': 'Rabiatul', 'lineage': None, 'family': 'Adawiyah', 'honourific': None}, 'id': 'rabiatul.adawiyah@fp.unila.ac.id'}]",disk0/00/03/75/23,2021-08-01 00:00:00.000000000,article,['FP1'],,,published,,TRUE,3,,Jurnal Ilmu-Ilmu Agribisnis,2337 7070,,9.0,https://jurnal.fp.unila.ac.id/index.php/JIA/article/view/5336,,,,,['Universitas Lampung'],https://jurnal.fp.unila.ac.id/index.php/JIA/article/view/5336,,,,,,,,,,
9,"PARTISIPASI PETANI ANGGOTA PERKUMPULAN
PETANI PEMAKAI AIR (P3A) DALAM PENGELOLAAN AIR IRIGASI
DI KECAMATAN PALAS KABUPATEN LAMPUNG SELATAN",6,show,archive,2021-11-06 08:24:44,['AC'],"Rice farmers uses irrigation water managed through Water User Association (P3A). This study aims to
analyze rice farming income, the level of participation, and factors related to the participation of farmers
members of the P3A. Research data were collected in Palas Subdistrict, South Lampung Regency in
November - December 2019. The number of respondents was 68 rice farmers members who were randomly
selected. Primary data were obtained by interviewing the respondents and secondary data were obtained
from several related institutions. The data were analyzed descriptively and using Rank Spearman correlation
test. The results showed that rice farming in planting season 1 and 2 are profitable to cultivate. The levels of
participation of P3A members in planning activities, implementing activities, monitoring and evaluating
activities, and utilizing the results are in high category. The factors related to the participation of P3A
members on irrigation management were the intensity of farmer interaction, the level of motivation, and land
size.
Key words: participation, Water User Association",35280,pub,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/156077', 'rev_number': 1, 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/411909', 'objectid': 156077, 'filesize': 303845, 'datasetid': 'document', 'filename': 'Wida Alfianti 5109-13895-1-SM.pdf', 'hash': '585b64f5d5b8f66c53a17f2de25364d4', 'hash_type': 'MD5', 'mtime': '2021-11-06 07:31:16', 'mime_type': 'application/pdf', 'fileid': 411909}], 'main': 'Wida Alfianti 5109-13895-1-SM.pdf', 'docid': 156077, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 35280}]",Juruan Agribisnis Fakultas Pertanian Universitas Lampung,public,http://repository.lppm.unila.ac.id/id/eprint/35280,728,2021-11-06 08:24:44,2021-11-06 08:24:44,"[{'name': {'given': 'Wida', 'honourific': None, 'family': 'Alviyanti', 'lineage': None}, 'id': None}, {'id': 'indah.nurmayasari.unila.ac.id', 'name': {'honourific': None, 'family': 'Nurmayasari', 'lineage': None, 'given': 'Indah'}}, {'name': {'family': 'Prasmatiwi', 'honourific': None, 'lineage': None, 'given': 'Fembriarti Erry'}, 'id': 'fembriarti.erry@fp.unila.ac.id'}]",disk0/00/03/52/80,2021-05-01 00:00:00.000000000,article,['FP1'],,,published,333-340,TRUE,2,,Jurnal Ilmu-Ilmu Agribisnis,2337 7070,,9.0,https://jurnal.fp.unila.ac.id/index.php/JIA/article/view/5109,,,,,['Universitas Lampung'],,,,,,,,,,,
