,publication,creators,issn,dir,date,type,divisions,ispublished,number,publisher,documents,full_text_status,uri,refereed,lastmod,userid,datestamp,pagerange,eprintid,date_type,official_url,title,volume,rev_number,metadata_visibility,eprint_status,status_changed,related_url,subjects,abstract,succeeds,institution,monograph_type,contributors,id_number,corp_creators,referencetext,book_title,isbn,pres_type,event_type,event_dates,event_title,event_location,place_of_pub,contact_email
0,Jurnal Ilmu-Ilmu Agribisnis,"[{'id': None, 'name': {'given': 'Rizky', 'lineage': None, 'honourific': None, 'family': 'A Permadi'}}, {'name': {'family': 'Sayekti', 'honourific': None, 'lineage': None, 'given': 'Wuryaningsih Dwi'}, 'id': 'sayekti_wur@yahoo.co.id'}, {'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'given': 'Zainal', 'lineage': None, 'family': 'Abidin', 'honourific': None}}]",2337 7070,disk0/00/04/19/74,2022-02,article,['FP1'],pub,1.0,Juruan Agribisnis Fakultas Pertanian Universitas Lampung,"[{'main': 'COVER ORGANISASI DAFISI RIZKY DKK JIIA VOL 10 NO 1 2022 LENGKAP.pdf', 'docid': 163679, 'files': [{'filesize': 1238581, 'datasetid': 'document', 'hash': '7ea6c634709ea7ba5968677632c5dd61', 'filename': 'COVER ORGANISASI DAFISI RIZKY DKK JIIA VOL 10 NO 1 2022 LENGKAP.pdf', 'mtime': '2022-05-30 15:23:57', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 463137, 'uri': 'http://repository.lppm.unila.ac.id/id/file/463137', 'objectid': 163679}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163679', 'rev_number': 1, 'eprintid': 41974, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/41974,TRUE,2022-05-31 02:14:48,933,2022-05-31 02:14:48,132-139,41974,published,https://jurnal.fp.unila.ac.id/index.php/JIA/index,ANALISIS PREFERENSI KONSUMEN KEDAI KOPI DI KOTA BANDARLAMPUNG,10.0,6,show,archive,2022-05-31 02:14:48,[{'url': 'https://jurnal.fp.unila.ac.id/index.php/JIA/article/view/5686/pdf'}],['S1'],"The growth of coffee shop is very fast recently in Bandarlampung with different characteristics that causes various consumer preference. This research aims to analyze consumer preferences as well as the level of performance and importance of coffee shop attributes in Bandarlampung. This study used a survey method involving 100 respondents with analytical tools, namely Conjoint Analysis, Customer Satification Index, and Important Performance Analysis. The research location was determined randomly, namely Bun Kopi, 20 Kopi, Diskusi Kopi, Kala Senja Café, and Rencana Kopi. The study shows that consumer preferences for coffee shops in Bandarlampung City were include complete facilities, such as cool and comfortable atmosphere, the taste of soft coffee drinks, modern industrialist building design, and fast service. The study also shows that customers are satisfied with the coffee shop. The taste attribute has the highest level of performance. Furthermore the attributes of facilities, services, and atmosphere have less performance, suggesting that these attributes need improvements. Meanwhile building design attribute is not priority for costumer .",,,,,,,,,,,,,,,,
1,,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'given': 'Zainal', 'lineage': None, 'family': 'Abidin', 'honourific': None}}]",,disk0/00/04/71/97,2022-11,other,['FP1'],unpub,,"Direktorat Jenderal Perguruan Tinggi, Kementerian Pendidikan dan Kebudayaan, Rpublik Indonesia","[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 47197, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186176', 'docid': 186176, 'main': 'Hasil_Akreditasi_Jurnal_Ilmiah_Periode_II_Tahun_2022 (2).pdf', 'files': [{'objectid': 186176, 'uri': 'http://repository.lppm.unila.ac.id/id/file/518297', 'mime_type': 'application/pdf', 'fileid': 518297, 'hash': 'a61e5ae270c07cdd64624d315a85ad4f', 'filename': 'Hasil_Akreditasi_Jurnal_Ilmiah_Periode_II_Tahun_2022 (2).pdf', 'mtime': '2022-12-13 09:30:19', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 3955134}]}]",public,http://repository.lppm.unila.ac.id/id/eprint/47197,,2022-12-14 01:20:58,933,2022-12-14 01:20:58,,47197,,,Akreditas Jurnal Ilmu Ilmu Agribisnis 2022,,11,show,archive,2022-12-14 01:20:58,,['AC'],"Merupakan surat keputusan akreditas jurnal yang dikeluarkan oleh Dirjen Dikti No.  1429/E.53./HM.01.01/2022 tentang Pemberitahuan Hasil Akreditasi Jurnal Jurnal Ilmiah Perio II tahun 2022.   Pada lampiran, Jurnal JIIA mendapat akreditas tingkat 4 sesuai dengan tercantum di Lampiran pada tabel No 196 halaman 48.  Masa berlaku akreditas Sinta 4 adalah dari Vol 8 No 2 tahun 2020 sampai dengan Vol 13 No 1, tahun 2025.",,,,,,,,,,,,,,,,
2,,"[{'name': {'given': 'Zainal', 'honourific': None, 'family': 'Abidin', 'lineage': None}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",,disk0/00/04/26/46,2022-05-24,other,['FP1'],unpub,,LPPM Universitas Lampung,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164359', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/467936', 'objectid': 164359, 'mtime': '2022-06-20 05:10:31', 'hash_type': 'MD5', 'filename': 'review artikel prosiding iop TREPSEA 2022.pdf', 'hash': '6190199cfcfd2185240c76f3846a7122', 'fileid': 467936, 'mime_type': 'application/pdf', 'filesize': 377254, 'datasetid': 'document'}], 'main': 'review artikel prosiding iop TREPSEA 2022.pdf', 'docid': 164359, 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 42646}]",public,http://repository.lppm.unila.ac.id/id/eprint/42646,,2022-06-20 06:34:54,933,2022-06-20 06:34:54,,42646,,,Review artikel Zainal dkk pada prosiding IOP COnference Trepsea,,7,show,archive,2022-06-20 06:34:54,,['S1'],Reviw rekan sejawat untuk naskah zainal abidin dkk pada IOP Conrference TREPSEA conference 2022,,,,,,,,,,,,,,,,
3,,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'given': 'Zainal', 'family': 'Abidin', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Irwan', 'honourific': None, 'family': 'Efendi', 'lineage': None}, 'id': None}, {'id': 'trully.dame@yahoo.co.id', 'name': {'given': 'Dame Trully', 'lineage': None, 'family': 'Gultom', 'honourific': None}}]",,disk0_bak/00/05/20/20,2022-09,monograph,['FP1'],unpub,,LPPM Universitas Lampung,"[{'eprintid': 52020, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'main': 'LAPORAN PENELITIAN_ZA_DIPA FP 2022  td tangan_compressed.pdf', 'docid': 251677, 'files': [{'objectid': 251677, 'uri': 'http://repository.lppm.unila.ac.id/id/file/616354', 'datasetid': 'document', 'filesize': 532346, 'fileid': 616354, 'mime_type': 'application/pdf', 'mtime': '2023-05-25 09:39:57', 'hash_type': 'MD5', 'filename': 'LAPORAN PENELITIAN_ZA_DIPA FP 2022  td tangan_compressed.pdf', 'hash': '7b23b4841a810d8c6567189185ad3189'}], 'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/251677'}]",public,http://repository.lppm.unila.ac.id/id/eprint/52020,,2023-05-25 10:00:03,933,2023-05-25 10:00:03,,52020,completed,,"ANALISIS KESEDIAAN MEMBAYAR JASA AIR BERSIH DI DESA BAYAS JAYA, KECAMATAN WAY KHILAU, KABUPATEN PESAWARAN",,4,show,archive,2023-05-25 10:00:03,,['S1'],"Jasa air bersih berbasis masyarakat adalah jasa pelayanan yang diinisiasi oleh masyarakat dan untuk masyarakat. Model jasa air bersih di pedesaan berbasis masyarakat memiliki berbagai nama di berbagai daerah seperti PAMDes, PDAMDes, Kelompo Pengelola Air Bersih (KPAB) di Sub-DAS Way Besai.  Penelitian ini bertujuan untuk 1( menganalisis kesediaan membayar atas jasa air bersih yang ditingkatkan, 2. menganalisis faktor-faktor yang mempengaruhi kesediaan membayar.  Penelitian enggunakan metode Contingent Valuation Method untuk menjawab tujuan 1 dan analisis regresi berganda untuk menjawab tujuan 2.  Penelitian dilaksanakan di Desa Bayas Jaya, Kecamatan Way Khilau, Kabupaten Pesawaran.  enelitian melibatkan 75 rumah tangga penerima aisr bersih.  Hasil penelitian menunjukkan bahwa (1) mayoritas bersedia membayar jasa air bersih dengan nilai nominal kesediaan membayar Rp 440.367 per tahun.  (2) faktor-faktor yang mempengaruhi kesediaan membayar yaitu a. model jasa air bersih, b. usia pelanggan, dan c. debit air yang diterima pelanggan",52019.0,LPPM Universitas Lampung,technical_report,,,,,,,,,,,,,
4,IOP Conference Series: Earth and Environmental Science,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Abidin', 'given': 'Zainal'}}, {'name': {'lineage': None, 'family': 'Nikmatullah', 'honourific': None, 'given': 'Dewangga'}, 'id': 'dewangga.nikmatullah@fp.unila.ac.id'}, {'name': {'given': 'Adia', 'lineage': None, 'family': 'Nugraha', 'honourific': None}, 'id': 'adianugraha13@gmail.com'}, {'name': {'lineage': None, 'family': 'Saleh', 'honourific': None, 'given': 'Yuliana'}, 'id': 'yuliana.saleh@fp.unila.ac.id'}]",Vol 1027 year 2022,disk0/00/04/19/72,2022-05,article,['FP1'],pub,,IOP Publishing,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163677', 'format': 'text', 'pos': 1, 'files': [{'mtime': '2022-05-30 14:54:11', 'hash_type': 'MD5', 'filename': 'cover organisasi dan naskah zainal abidin dkk di IOP 2022.pdf', 'hash': 'e1d5dd9516a2d4ebe9e579100b6fa19f', 'fileid': 463125, 'mime_type': 'application/pdf', 'filesize': 1199529, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/463125', 'objectid': 163677}], 'docid': 163677, 'main': 'cover organisasi dan naskah zainal abidin dkk di IOP 2022.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 41972}]",public,http://repository.lppm.unila.ac.id/id/eprint/41972,TRUE,2022-05-31 02:14:41,933,2022-05-31 02:14:41,1-11,41972,published,https://iopscience.iop.org,"Analysis of Food Expenditures of Rice Farmers in Flooding Prone Region in South Lampung District, Lampung Province",1027.0,6,show,archive,2022-05-31 02:14:41,[{'url': 'https://iopscience.iop.org/article/10.1088/1755-1315/1027/1/011001'}],['S1'],"Flooding frequently happened in South Lampung District between January and February which caused loss of production significantly to rice farmers. This study aims at analysing model of food expenditures of paddy farmers using survey method. The study involved 120 farmers who were randomly selected from flooding prone area and was carried out in July- September 2020. Data were analysed using regression model where dependent variable is food expenditures, and independent variables include rice production, corn production, loss of production due to flooding, family income, number of owning livestock, price of rice, price of cassava, and number of family member. Before regression analysis was run, the study did standard test for ordinary least- squares (OLS) such as multicollinearity, heteroscedasticity, and autocorrelation tests. The data passed all the required tests. The study suggests that factors affecting food expenditures include rice production, corn production, family income, price of cassava, loss of production due to flooding, and price of rice. The model concludes R2 is 0.543 suggesting that there is still about 45% of other factors that were not included in the model. The t-test suggests that rice production, family income, and price of cassava have a highly significant influence in affecting the farmers’ food expenditure in South Lampung District.",,,,,,,,,,,,,,,,
5,,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Abidin', 'honourific': None, 'given': 'Zainal'}}, {'name': {'given': 'Dewangga', 'family': 'Nikmatullah', 'honourific': None, 'lineage': None}, 'id': 'dewangga.nikmatullah@fp.unila.ac.id'}, {'id': None, 'name': {'given': 'Adia', 'honourific': None, 'family': 'Nugraha', 'lineage': None}}, {'id': 'agb_yulianasaleh@yahoo.com', 'name': {'given': 'Yuliana', 'honourific': None, 'family': 'Saleh', 'lineage': None}}]",,disk0_bak/00/05/00/43,2022-05,other,['FP1'],pub,,IOP Conf. Series: Earth and Environmental Science,"[{'files': [{'objectid': 189736, 'uri': 'http://repository.lppm.unila.ac.id/id/file/541374', 'datasetid': 'document', 'filesize': 515068, 'fileid': 541374, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-04-10 04:44:51', 'filename': 'koresponden letter trepsea 2022 zainal dewangga adia dan yuliana .pdf', 'hash': '400ef6b888b370da4fd958814267a594'}], 'docid': 189736, 'main': 'koresponden letter trepsea 2022 zainal dewangga adia dan yuliana .pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189736', 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 50043, 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/50043,,2023-04-10 05:09:40,933,2023-04-10 05:09:40,,50043,published,,Koresponding letter to TREPSEA IOP COnference Zainal Dewangga Adia dan Yuliana,,7,show,archive,2023-04-10 05:09:40,,['S1'],KOresponding letter ke TREPSEA dan IOP Conference zainal dewangga adia dan yuliana,,,,"[{'name': {'family': 'Dewangga Nikmatullah', 'honourific': None, 'lineage': None, 'given': 'Dewangga Nikmatullah'}}, {'name': {'honourific': None, 'family': 'Dewangga Nikmatullah', 'lineage': None, 'given': 'Dewangga Nikmatullah'}}, {'name': {'given': 'Dewangga Nikmatullah', 'honourific': None, 'family': 'Dewangga Nikmatullah', 'lineage': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Dewangga Nikmatullah', 'given': 'Dewangga Nikmatullah'}}]",,,,,,,,,,,,
6,,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Abidin', 'honourific': None, 'given': 'Zainal'}}, {'name': {'given': 'Dewangga', 'lineage': None, 'honourific': None, 'family': 'Nikmatullah'}, 'id': 'dewangga.nikmatullah@fp.unila.ac.id'}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Nugraha', 'given': 'Adia'}}, {'name': {'family': 'Saleh', 'honourific': None, 'lineage': None, 'given': 'Yuliana'}, 'id': 'agb_yulianasaleh@yahoo.com'}]",,disk0/00/04/20/83,2022-05-24,other,['FP1'],pub,,IOP Publishing,"[{'placement': 1, 'security': 'public', 'eprintid': 42083, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/463961', 'objectid': 163776, 'filesize': 752595, 'datasetid': 'document', 'mtime': '2022-06-03 12:43:48', 'hash_type': 'MD5', 'hash': '7d11dcf49d9e4a22200d3f7e65428d4e', 'filename': 'Turnitin test prosiding iop 2022 Analysis of Food Expenditures of Rice Farmers in Flooding Prone Region in South Lampung District, La.pdf', 'fileid': 463961, 'mime_type': 'application/pdf'}], 'main': 'Turnitin test prosiding iop 2022 Analysis of Food Expenditures of Rice Farmers in Flooding Prone Region in South Lampung District, La.pdf', 'docid': 163776, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163776', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",public,http://repository.lppm.unila.ac.id/id/eprint/42083,,2022-06-06 01:26:29,933,2022-06-06 01:26:29,,42083,published,,Test similarities menggunakan Turnitin untuk naskah zainal dkk pada Prosiding IOP Earth and Environmental Science Vol 2027 tahun 2022,,7,show,archive,2022-06-06 01:26:29,,['S1'],Dikumen ini adaah hasil test similarities menggunakan aplikasi turnitin atas naskah yang ditulis oleh zainal abidin dkk yang terbit pada IOP Prosiding Earh and Environmeantal Science Vol 1027 tahun 2022,,,,,,,,,,,,,,,,
7,,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'given': 'Zainal', 'family': 'Abidin', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Fembriarti Erry', 'lineage': None, 'family': 'Prasmatiwi', 'honourific': None}, 'id': 'fembriarti.erry@fp.unila.ac.id'}, {'id': 'hari.kaskoyo@fp.unila.ac.id', 'name': {'given': 'Hari', 'lineage': None, 'honourific': None, 'family': 'Kaskoyo'}}]",,disk0_bak/00/05/00/93,2022-12,other,['FP1'],pub,,"Fakultas Pertanian, Universitas Padjadjaran","[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189793', 'format': 'text', 'pos': 1, 'files': [{'filesize': 128347, 'datasetid': 'document', 'filename': '[Agrikultura] Editor Decision - zainal.abidin@fp.unila.ac.id - unila.ac.id Mail.pdf', 'hash': '1049252ba8304ecf2fe14e2ff9f67738', 'hash_type': 'MD5', 'mtime': '2023-04-10 07:39:38', 'mime_type': 'application/pdf', 'fileid': 541777, 'uri': 'http://repository.lppm.unila.ac.id/id/file/541777', 'objectid': 189793}], 'docid': 189793, 'main': '[Agrikultura] Editor Decision - zainal.abidin@fp.unila.ac.id - unila.ac.id Mail.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 50093}]",public,http://repository.lppm.unila.ac.id/id/eprint/50093,,2023-04-10 09:19:33,933,2023-04-10 09:19:33,,50093,published,,Korespondende letter jurnal agrikultura,,7,show,archive,2023-04-10 09:19:33,,['S1'],Koresponden letter jurnal agrikultura Unpad,,,,,,,,,,,,,,,,
8,KEBERHASILAN SISTEM AGRIBISNIS PADA KORPORASI PETANI DI DESA MARGA CATUR KECAMATAN KALIANDA KABUPATEN LAMPUNG SELATAN,"[{'name': {'given': 'Dwika Mutiara', 'honourific': None, 'family': 'Abriani', 'lineage': None}, 'id': 'dwikamutiaraa@gmail.com'}, {'name': {'honourific': None, 'family': 'Lestari', 'lineage': None, 'given': 'Dyah Aring Hepiana'}, 'id': 'dyaharing@fp.unila.ac.id'}, {'id': 'noci.rosanti@fp.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Rosanti', 'given': 'Novi'}}]",2614-4670,disk0/00/04/22/82,2022-04-05,article,['FP1'],pub,2.0,Universitas Brawijaya,"[{'placement': 1, 'security': 'public', 'eprintid': 42282, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 163988, 'uri': 'http://repository.lppm.unila.ac.id/id/file/465373', 'fileid': 465373, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-06-10 02:58:22', 'filename': 'KEBERHASILAN SISTEM AGRIBISNIS PADA KORPORASI PETANI DI DESA MARGA CATUR KECAMATAN KALIANDA KABUPATEN LAMPUNG SELATAN.pdf', 'hash': '34a3d6b6ec09aeb5bb9b15de4410b736', 'datasetid': 'document', 'filesize': 278105}], 'docid': 163988, 'main': 'KEBERHASILAN SISTEM AGRIBISNIS PADA KORPORASI PETANI DI DESA MARGA CATUR KECAMATAN KALIANDA KABUPATEN LAMPUNG SELATAN.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/163988', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",public,http://repository.lppm.unila.ac.id/id/eprint/42282,TRUE,2022-06-10 06:27:13,908,2022-06-10 06:27:13,463-477,42282,published,https://jepa.ub.ac.id/index.php/jepa/article/view/990,"KEBERHASILAN SISTEM AGRIBISNIS PADA KORPORASI PETANI DI DESA
MARGA CATUR KECAMATAN KALIANDA KABUPATEN LAMPUNG SELATAN",6.0,6,show,archive,2022-06-10 06:27:13,[{'url': 'https://jepa.ub.ac.id/index.php/jepa/article/view/990'}],['S1'],"This study aims to determine the success of the corn agribusiness system in farmer corporations
in terms of production facilities, farming, processing, marketing, and supporting services. This
research was conducted using a survey method. The research was conducted in Marga Catur,
Kalianda, South Lampung with the consideration that the location is implementing the Farming
Corporation Development Program (PKU) by conducting corn cultivation activities. The
number of respondents was 21 corn farmers selected by the census method, 3 corn wholesalers
selected by the snowball sampling method, and 2 corn processors selected by the census method.
Data collection was carried out in December 2020. Data analysis was carried out using the
agribusiness system index. The result showed that the corn agribusiness system index in farmer
corporations was not good with a total value of 10,82 or equal to 56,73% from the maximum
value of 17,09. The corn agribusiness index system in terms of production facilities, farming,
and processing was in good categories. However, the index of the corn agribusiness system in
terms of marketing and support services is not good.


Keywords: agribusiness index, agribusiness system, corn",,,,,https://doi.org/10.21776/ub.jepa.2022.006.02.12,,,,,,,,,,,
9,"Jurnal Ilmu Ilmu Agribisnis: Journal of Agribusiness Science,","[{'id': 'rabiatul.adawiyah@fp.unila.ac.id', 'name': {'given': 'Rabiatul', 'family': 'Adawiyah', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Adia', 'lineage': None, 'honourific': None, 'family': 'Nugraha'}, 'id': 'adianugraha13@gmail.com'}, {'id': None, 'name': {'given': 'Ghina Putri', 'honourific': None, 'family': 'Fadhilah', 'lineage': None}}]",26204177,disk0_bak/00/05/12/09,2022-11,article,['FP1'],pub,4.0,Jurusan Agribisnis Fakultas Pertanian Universitas Lampung,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 51209, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190941', 'rev_number': 1, 'main': 'Ghina (JIIA10-4-2022).pdf', 'docid': 190941, 'files': [{'objectid': 190941, 'uri': 'http://repository.lppm.unila.ac.id/id/file/550281', 'mime_type': 'application/pdf', 'fileid': 550281, 'hash': '5af773c692618f698ff0ab30771f664c', 'filename': 'Ghina (JIIA10-4-2022).pdf', 'hash_type': 'MD5', 'mtime': '2023-05-08 05:02:29', 'datasetid': 'document', 'filesize': 971165}]}]",public,http://repository.lppm.unila.ac.id/id/eprint/51209,TRUE,2023-05-08 05:49:17,634,2023-05-08 05:49:17,417-422,51209,published,https://jurnal.fp.unila.ac.id/index.php/JIA/article/view/5808,SIKAP KONSUMEN DAN POLA PEMBELIAN SUSU GREENFIELDS DI KOTA BANDAR LAMPUNG,10.0,6,show,archive,2023-05-08 05:49:17,[{'url': 'https://jurnal.fp.unila.ac.id/index.php/JIA/article/view/5808/pdf'}],['S1'],"This study aims to analyze the attitude of consumers toward the purchase of Greenfields milk in Bandar Lampung City in order to investigate the purchasing pattern of Greenfields milk by consumers towards Greenfields milk. This re search was conducted at Chandra Superstore Tanjung Karang, Chamart Wayhalim, Lion Superindo Lampung, Gelael Lampung, Transmart Lampung, MM Surya Pagar Alam, and Indomaret Plus Ryacudu Korpri 2.  The overlay of this research method was a survey with an accidental technique. Thus, the respondents in this study were 56 Greenfield milk consumers who had bought/consumed Greenfield’s milk at least once during their last month. Research data were analyzed using Fishbein Multi-attribute analysis and descriptive analysis. Data collection was conducted from April to Mei 2021. The results showed that the Greenfields milk consumers of Greenfields milk with the most possible attribute, namely the taste attribute. The highest amount of Greenfields milk purchased was UHT milk with full cream flavor. The average number of purchases of Greenfields milk per customer was 3.369ml per month and the average frequency of purchasing Greenfields milk is two times a month.",,,,,http://dx.doi.org/10.23960/jiia.v10i4.5808,,,,,,,,,,,
