,eprint_status,status_changed,subjects,abstract,title,official_url,rev_number,volume,metadata_visibility,eprintid,date_type,lastmod,userid,datestamp,pagerange,number,ispublished,publisher,documents,full_text_status,uri,refereed,type,divisions,publication,issn,creators,dir,date,event_location,event_title,event_type,event_dates,succeeds,pres_type,funders,projects,id_number,related_url
0,archive,2020-02-19 02:07:51,['SD'],"Datar Setuju Resort is the one of six resort located in Register 39 KPHL Batutegi. This area is managed by implementing agroforestry system  Research aims to determine amount of stock carbon applied by publics in Register 39 Datar Setuju, held on March 2015 at Register 39 Datar Setuju KPHL Batutegi Tanggamus Regency. Beside to knowing amount of the stock carbon, this research also conducted to determine the dominant vegetation. Reseachers used Summed Dominance Ratio (SDR) and Importance Value Index (IVI) methods to determine the most dominant vegetations and used allometric equation to find out amount biomass and necromass of trees. Research results show that the most dominant vegetation on tree phase was cemara (Casuarina junghuniana) IVI large was 109,91%, for pale phase was dadap (Erythrina sp.) IVI large was 300%, for stake phase was kopi (Coffea arabica) IVI large was 300%, and for seedling phase was rumput teki (Cyperus rotundus) IVI large was 200%. Stock carbons at agroforestry system area Register 39 Datar Setuju KPHL Batutegi on HKm Sinar Harapan amount of 123,33 ton/ha, on HKm Bina Wana Jaya 1 amount of 265,20 ton/ha, and of HKm Bina Wana Jaya 2 amount of 146,20 ton/ha, average  of stock carbon value at Register 39 Datar Setuju amount of 178,24 ton/ha.",Karbon Tersimpan Pada Kawasan Sistem Agroforestry Di Register 39 Datar Setuju Kphl Batutegi Kabupaten Tanggamus,http://jurnal.fp.unila.ac.id/index.php/JHT/article/view/1065,6,4,show,18058,published,2020-02-19 02:07:51,981,2020-02-19 02:07:51,21-30,1,pub,Universitas Lampung,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31192', 'main': '1065-2758-1-PB Dian Aprianto.pdf', 'docid': 31192, 'files': [{'objectid': 31192, 'uri': 'http://repository.lppm.unila.ac.id/id/file/152189', 'fileid': 152189, 'mime_type': 'application/pdf', 'mtime': '2020-02-18 08:47:44', 'hash_type': 'MD5', 'filename': '1065-2758-1-PB Dian Aprianto.pdf', 'hash': 'd33a950b8044c2b04336cbce9afe3d62', 'datasetid': 'document', 'filesize': 129588}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 18058, 'placement': 1, 'security': 'public'}]",public,http://repository.lppm.unila.ac.id/id/eprint/18058,TRUE,article,['FP11'],Jurnal Sylva Lestari,ISSN 2339-0913,"[{'id': None, 'name': {'given': 'Dian', 'lineage': None, 'honourific': None, 'family': 'Aprianto'}}, {'id': 'christine.wulandari@fp.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Wulandari', 'given': 'Christine'}}, {'id': None, 'name': {'lineage': None, 'family': 'Masruri', 'honourific': None, 'given': 'Niskan Walid'}}]",disk0/00/01/80/58,2016-01-01 00:00:00.000000000,,,,,,,,,,
1,archive,2020-02-20 01:36:38,['SD'],"Resort Datar Setuju merupakan salah satu dari enam resort yang ada di KPHL Batutegi tepatnya berada di Register 39. Kawasan ini dikelola dengan menerapkan sistem agroforestry. Penelitian bertujuan untuk mengetahui besarnya karbon tersimpan pada kawasan sistem agroforestry yang diaplikasikan oleh masyarakat di Register 39 Datar Setuju, dilaksanakan pada Bulan Maret 2015 di Register 39 Datar Setuju KPHL Batutegi Kabupaten Tanggamus. Selain untuk mengetahui besarnya karbon tersimpan, penelitian juga dilakukan untuk mengetahui vegetasi paling dominan. Metode Summed Dominance Ratio (SDR) dan Indeks Nilai Penting (INP) digunakan untuk mengetahui vegetasi yang paling dominan dan persamaan allometrik digunakan untuk mengetahui besar biomassa pohon dan nekromassa. Berdasarkan hasil penelitian, vegetasi fase pohon paling dominan adalah pohon cemara (Casuarina junghuniana) dengan nilai INP sebesar 109,91%, fase tiang adalah dadap (Erythrina sp.) INP sebesar 300%, fase pancang adalah kopi (Coffea arabica) INP sebesar 300%, dan fase tumbuhan bawah adalah rumput teki (Cyperus rotundus) INP sebesar 200%. Karbon tersimpan pada kawasan sistem agroforestry Register 39 Datar Setuju KPHL  Batutegi pada HKm Sinar Harapan sebesar 123,33 ton/ha, HKm Bina Wana Jaya 1 sebesar 265,20 ton/ha, dan HKm Bina Wana Jaya 2 sebesar 146,20 ton/ha, sehingga nilai rata-rata karbon tersimpan di Register 39 Datar Setuju adalah 178,24 ton/ha.","PEER REVIEW RESULTS OF PAPER ""Karbon Tersimpan Pada Kawasan Sistem Agroforestry Di Register 39 Datar Setuju Kphl Batutegi Kabupaten Tanggamus""",http://jurnal.fp.unila.ac.id/index.php/JHT/article/view/1065/970,6,4,show,18116,published,2020-02-20 01:36:38,981,2020-02-20 01:36:38,21-30,1,pub,Universitas Lampung,"[{'eprintid': 18116, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'main': '16. Karbon tersimpan di AF_Ganjil 2015_16.pdf', 'docid': 31246, 'files': [{'mtime': '2020-02-19 07:01:44', 'hash_type': 'MD5', 'filename': '16. Karbon tersimpan di AF_Ganjil 2015_16.pdf', 'hash': '63f2169cc0d5e35c6e4e93078130fffd', 'fileid': 152609, 'mime_type': 'application/pdf', 'filesize': 944414, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/152609', 'objectid': 31246}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31246'}]",public,http://repository.lppm.unila.ac.id/id/eprint/18116,TRUE,article,['FP11'],Jurnal Sylva Lestari,ISSN 2339-0913,"[{'id': None, 'name': {'given': 'Dian', 'honourific': None, 'family': 'Aprianto', 'lineage': None}}, {'id': 'christine.wulandari@fp.unila.ac.id', 'name': {'given': 'Christine', 'family': 'Wulandari', 'honourific': None, 'lineage': None}}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Masruri', 'given': 'Niskan Walid'}}]",disk0/00/01/81/16,2016-01-01 00:00:00.000000000,,,,,,,,,,
2,archive,2017-02-10 01:53:38,['SD'],"University of Lampung (Unila) has a captive area inside of campus, which holds six captive deers managed by Unila and BKSDA Lampung. Daily behavior is one indicator to determine deer health of captivated Sambar deer. This paper identifies the daily behavior of Sambar deer (Cervus unicolor) in deer captive Unila. The method used was Focal Animal Sampling from September to December, 2014. Results show that the deer behavior of moving has a greater proportion than the total of the others. Percentage movement of the deer is as follows: (1). Lingga (eating 28.80%, moving 39.06% and resting 32.14%), (2). Farida (32.25%; 38.84% and 28.81%), (3). Farid; (29.56%, 40.20% and 30.24%), (4). Bimo (29.65%, 40.48% and 29.87%), (5). Agung (28.39%, 41.46%, and 30.15%), (6). Danang (35.63%, 37.18%, and 27.19%). Majority, the behavior of captivated deer in Unila is approximately similar with those of wild deers. Visitors existence shows no significant influence in the daily behavior of Sambar deer in Unila. It is necessary to do more research about nocturnal or diurnal behavior of Sambar deer in Unila. 

Keywords: Daily behavior, Sambar deer, Cervus unicolor, conservation",Daily Behavior of Sambar Deer (Cervus unicolor) in Captive Deer Lampung University,,6,,show,1431,published,2017-02-10 01:53:38,469,2017-02-10 01:53:38,,,pub,Ministry of Environment & Forestry Research Development Innovation Agency,"[{'pos': 1, 'format': 'text', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1304', 'docid': 1304, 'main': 'Paper Presented at The International Conference of Indonesia Forestry Researchers III 3rd INAFOR 2015 ok.pdf', 'files': [{'filesize': 234753, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2017-02-09 02:27:09', 'filename': 'Paper Presented at The International Conference of Indonesia Forestry Researchers III 3rd INAFOR 2015 ok.pdf', 'hash': 'e450f66416d35683706d385342a18267', 'fileid': 9679, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/9679', 'objectid': 1304}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 1431, 'placement': 1, 'security': 'public'}]",public,http://repository.lppm.unila.ac.id/id/eprint/1431,TRUE,conference_item,['FP11'],Prosiding Seminar Nasional “Kontribusi Akademisi dalam Pencapaian Pembangunan Berkelanjutan”,ISBN Nomor 978-979-8452-71-0,"[{'name': {'given': 'Bainah Sari', 'family': 'Dewi', 'honourific': None, 'lineage': None}}]",disk0/00/00/14/31,1970-01-01 00:00:00.000002016,Bogor Indonesia,"at The International Conference of Indonesia Forestry Researchers III 3rd INAFOR 2015  Bogor, 21-22 October 2015",conference,21-22 October 2015,1430.0,poster,,,,
3,archive,2016-10-17 14:28:56,['SD'],"PT Gunung Madu Plantations (GMP) merupakan perkebunanan yang memiliki banyak keanekaragaman hayati salah satunya yaitu burung air yang dijaga atau dilindungi oleh perusahaan. Divisi Itebu merupakan salah satu areal yang di dalamnya terdapat berbagai jenis burung air. PT GMP belum memiliki data base tentang keanekaragaman burung air pada areal tersebut, sehingga penelitian ini penting dilaksanakan untuk menganalisis keanekaragaman jenis burung air pada areal Divisi I PT. GMP. Penelitian ini dilakukan pada bulan Oktober-November 2015 menggunakan metode kombinasititikhitung (Point Count). 

Berdasarkan hasil penelitian ditemukan 9 spesies burung air dengan total-individu 2138 individu yang berasal dari 4 famili yaitu Ardeidae, Alcedinidae, Anatidae dan Rallidae.

Indekskeanekaragaman (Diversity Index) sebesar (H’) 2,052, maka dari hasil tersebut tergolong dalam keanekaragaman yang sedang (1<H’<3) serta dalam kondisi yang stabil dengan indekskesamarataan (Evenness Index) sebesar(J) 0,934 berarti (0,75>J<1).
	
Kata kunci: burung air, keanekaragaman, titik hitung.","Konservasi Biodiversitas Burung Air 
(StudiKasus di Divisi I PT Gunung Madu Plantations Kabupaten Lampung Tengah Provinsi Lampung)",,7,,show,801,published,2016-10-17 14:28:56,469,2016-10-17 14:28:56,1-10,,pub,,"[{'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/699', 'rev_number': 1, 'docid': 699, 'main': 'APRI_C02.doc', 'files': [{'objectid': 699, 'uri': 'http://repository.lppm.unila.ac.id/id/file/4781', 'datasetid': 'document', 'filesize': 226304, 'fileid': 4781, 'mime_type': 'application/msword', 'hash_type': 'MD5', 'mtime': '2016-10-14 05:45:00', 'filename': 'APRI_C02.doc', 'hash': 'd74cd6aa35af9ae67f849116fea3d784'}], 'mime_type': 'application/msword', 'language': 'en', 'eprintid': 801, 'security': 'public', 'placement': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/801,TRUE,conference_item,['FP11'],,,"[{'name': {'given': 'Apri', 'lineage': None, 'honourific': None, 'family': 'Hidayat'}}, {'name': {'given': 'Bainah Sari', 'lineage': None, 'family': 'Dewi', 'honourific': None}}, {'name': {'family': 'Harianto', 'honourific': None, 'lineage': None, 'given': 'Sugeng P.'}}]",disk0/00/00/08/01,2016-10-08 00:00:00.000000000,Universitas Lambung Mangkurat Kalimantan Selatan,Seminar Nasional KOMHINDO 2016,conference,8-9 Oktober 2016,,speech,['PT. Gunung Madu Plantations Lampung Tengah'],,,
4,archive,2020-02-20 01:36:29,['SD'],"Kesatuan Pengelolaan Hutan Produksi (KPHP) Model Telah dibentuk wilayah-wilayah di Lampung yang meliputi KPHP Model Register 47 Way Terusan Kabupaten Lampung Tengah, KPHP Bukit Punggur Kabupaten Lampung Tengah, KPHP Model Gedong Wani Kabupaten  Lampung  Selatan  dan  KPHP  Muara  Dua Way Kanan (Wulandari, 2011). Salah satu faktor pendukung pengelolaan (KPHP) adalah adanya sumberdaya manusia yang berkompeten. Saat ini kompetensi sumberdaya manusia di KPHP khususnya di Provinsi Lampung  belum diketahui, sehingga perlu dilakukannya pemetaan sumberdaya manusia, yang akan digunakan sebagai bahan  pertimbangan  rekomendasi peningkatan kompetensi para pegawai KPHP di Provinsi Lampung. Tujuan penelitian ini adalah mengidentifikasi kompetensi sumberdaya manusia yang ada di setiap KPHP Provinsi Lampung dan merumuskan rekomendasi peningkatan kompetensi yang diperlukan KPHP di Provinsi Lampung. Penelitian dilaksanakan  pada  bulan April 2014 di KPHP Gedong Wani Kabupaten Lampung Selatan dan KPHP Way Terusan Kabupaten Lampung Tengah. Kompetensi sumberdaya manusia di KPHP Gedong Wani di bidang  perencanaan  hutan sebesar 49,15% dan di bidang pemanfaatan  hutan  sebesar  28,33%. Kompetensi sumberdaya manusia di KPHP Way Terusan di bidang  perencanaan hutan sebesar 35,07% dan dibidang pemanfaatan hutan sebesar 36,33%.  Sumberdaya manusia di KPHP Gedong Wani dan KPHP Way Terusan di Provinsi Lampung, memiliki latar belakang pendidikan yang berbeda yaitu SMA kehutanan, S1 Kehutanan dan  yang bukan dari kehutanan, serta S2 kehutanan.  Kurangnya pelatihan yang diikuti menyebabkan kurang tentang perencanaan hutan dan pemanfaatan hutan baik dalam hal teknis maupun non teknis. Sehingga perlu dilakukan pelatihan untuk pegawai sesuai dengan kebutuhan dilapangan.","PEER REVIEW RESULTS OF PAPER ""Kompetensi Sumberdaya Manusia Pada Kesatuan Pengelolaan Hutan Produksi Di Lampung""",http://jurnal.fp.unila.ac.id/index.php/JHT/article/view/1064,6,4,show,18114,published,2020-02-20 01:36:29,981,2020-02-20 01:36:29,11-20,1,pub,Universitas Lampung,"[{'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 18114, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31244', 'format': 'text', 'pos': 1, 'files': [{'filesize': 1067277, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2020-02-19 06:54:57', 'hash': '1dca57cc631b72eb932c2578ea558bc0', 'filename': '15. Kompt SDM KPHP_Ganjil 2015_16.pdf', 'fileid': 152596, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/152596', 'objectid': 31244}], 'main': '15. Kompt SDM KPHP_Ganjil 2015_16.pdf', 'docid': 31244}]",public,http://repository.lppm.unila.ac.id/id/eprint/18114,TRUE,article,['FP11'],Jurnal Sylva Lestari,ISSN 2339-0913,"[{'name': {'family': 'Noviyanti', 'honourific': None, 'lineage': None, 'given': 'Riska Ersi'}, 'id': 'riskaersinoviyanti@gmail.com'}, {'id': 'christine.wulandari@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Wulandari', 'lineage': None, 'given': 'Christine'}}, {'name': {'lineage': None, 'family': 'Qurniati', 'honourific': None, 'given': 'Rommy'}, 'id': 'rommy.qurniati@fp.unila.ac.id'}]",disk0/00/01/81/14,2016-01-01 00:00:00.000000000,,,,,,,,,,
5,archive,2018-06-28 01:53:18,['GV'],"Hutan menyediakan pelyanan ekosistem yang mendasar bagi penghidupan dan kesejahteraan penduduk di sekitar hutan, khususnya mereka yang miskin. Salah satu kawasan hutan yang potensial untuk dikembangkan sebagai kawasan ekowisata berbasis masyarakat adalah Lampung Mangrove Center yang terletak di Desa Margasari, Kabupaten Lampung Timur dengan luas 700 Ha.  Peneiitian bertujuan untuk mengkaji potensi hutan mangrove sebagai tujuan ekowisata berbasis masyarakat.  Data dikumpulkan melalui pengamatan langsung terhadap potensi hutan mangrove, wawancara dengan masyarakat, wisatwan dan instansi terkait dan menghitung daya dukung serta dianalisis dengan menggunakan SWOT. Hssil memnujukkan masyarakat setuju jika hutan mangrove dikembangkan sebagai ekowisata berbasis masyarakat. Motivasi wisatawan berkunjung untuk rekreasi. Daya dukung LMC sebanyak 170 orang per hari.  Analisis SWOT menggambarkan hutan mangrove di LMC berpotensi dikembangkan sebagai tujuan ekowisata berbasis masyarakat.

Kata kunci :ekowisata, berbasis masyarakat, hutn mangrove, LMC",Kajian Potensi Hutan Mangrove di Lampung Mangrove Centre (LMC) untuk Pengembangan Ekowisata Berbasis Masyarakat,,8,1,show,2553,published,2018-06-28 01:53:18,532,2018-06-28 01:53:18,84-91,2,pub,Program Studi Manajemen Hutan Pascasarjana Universitas Pattimura - Ambon,"[{'eprintid': 2553, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 2435, 'main': 'Pulau-pulau.pdf', 'files': [{'objectid': 2435, 'uri': 'http://repository.lppm.unila.ac.id/id/file/17636', 'fileid': 17636, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2017-05-31 07:48:31', 'filename': 'Pulau-pulau.pdf', 'hash': '65e6e9175121a9ba588dabbbd943e891', 'datasetid': 'document', 'filesize': 1857297}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/2435', 'rev_number': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/2553,TRUE,article,['FP11'],Jurnal Hutan Pulau-Pulau Kecil: Jurnal Ilmu-Ilmu Kehutanan dan Pertanian,2541-1241,"[{'id': 'rusy_ta@yahoo.co.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Rusita', 'given': 'Rusita'}}, {'name': {'given': 'Elly L.', 'lineage': None, 'honourific': None, 'family': 'Rustiati'}, 'id': 'ely.jazdzyk@yahoo.com'}, {'name': {'honourific': None, 'family': 'Winarno', 'lineage': None, 'given': 'Gunardi Djoko'}, 'id': 'gundowino@gmail.com'}, {'name': {'given': 'Bainah Sari', 'honourific': None, 'family': 'Dewi', 'lineage': None}, 'id': None}]",disk0/00/00/25/53,2016-12-01 00:00:00.000000000,,,,,,,,,,
6,archive,2017-05-30 01:29:12,"['K1', 'SD']","ABSTRACT 
In Indonesia, there is a right forest which is could be individual or customary forest. In Lampung, the two areas referred to “marga” forest since it is located outside of state forest. Generally, structure of the vegetation in “marga” forest consists of various trees species that can be called a forest managed by agroforestry. In West Lampung was known to have “marga” forests that formed as customary forests and also individual forests which are managed by community at surrounding village.  Community maintaining their customary forests in order to keep it sustainable with existing customary rules and had received government awards for its maintained sustainability. To meet the daily needs, they take from individual forests. Until now the two forests do not have a legal framework that making it vulnerable to possibilities of changes in land use in the region if the authorized government wanted it. These changes can have an impact on the change of land use from agroforestry into a monoculture plantation and/or housing and can reduce the food security that has been there. Based on that, the research that was conducted at Sukarame, Bedudu and Bakhu villages in November-December 2015 is to obtain alternative policies development that can ensure the functions sustainability of the two forests. 
 
Keywords: agroforestry, local policy, marga forest, land use",Strengthening of Local Agroforestry Policy towards Food Security  for the Community around the Marga Forest in Lampung Province1),,8,,show,1919,published,2017-05-30 01:29:12,981,2017-05-30 01:29:12,,,pub,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/1779', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/13402', 'objectid': 1779, 'filesize': 312321, 'datasetid': 'document', 'filename': 'Final Paper AF Intl Congress_Christine et al_Vietnam Nov 2016.doc.pdf', 'hash': '3c2f0d9758b1d61799c4b4b2401a7f43', 'hash_type': 'MD5', 'mtime': '2017-05-29 13:41:09', 'mime_type': 'application/pdf', 'fileid': 13402}], 'docid': 1779, 'main': 'Final Paper AF Intl Congress_Christine et al_Vietnam Nov 2016.doc.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 1919}]",public,http://repository.lppm.unila.ac.id/id/eprint/1919,TRUE,conference_item,['FP11'],,,"[{'name': {'given': 'Christine', 'honourific': None, 'family': 'Wulandari', 'lineage': None}, 'id': 'christine.wulandari@fp.unila.ac.id'}, {'name': {'family': 'Aryadi', 'honourific': None, 'lineage': None, 'given': 'Mahrus'}, 'id': 'mahrus.aryadi@gmail.com'}, {'name': {'given': 'Eny', 'lineage': None, 'honourific': None, 'family': 'Puspasari'}, 'id': 'enypuspa2015@gmail.com'}, {'name': {'lineage': None, 'family': 'Widiastuti', 'honourific': None, 'given': 'Sunarni'}, 'id': 'nani_rinto@yahoo.com'}]",disk0/00/00/19/19,2016-11-01 00:00:00.000000000,"Tay Nguyen University, Buonmathuout City Vietnam",“agroforestry towards sustainable and resilient farming communities”,conference,28-29 November 2016,,paper,,['South East Asia Networks for Agroforestry Education (SEANAFE)'],,
7,archive,2017-05-30 01:29:35,['SD'],"Food security is a major thing in the development of a nation to achieve prosperity. In other words, whatever is the condition in an area, the food must be available in sufficient quantities, both in the harvest time or famine, distributed evenly throughout the region, at reasonable prices to all residents, quality and safety. This means that food security must be occurring anywhere in Indonesia, including in the conflict-prone areas such as around the production forest area Register 42, Way Kanan - Lampung. The study conducted in July - August 2015 aims to determine food security in the conflict-prone areas so that it can be taken into consideration in the development of food security policy in the region or other conflict-prone regions. From the analysis results it is known that the stability score of food security in the study site is 1.85 (good), score of availability is 1.72 (moderate), and a score of access is 1.98 (good). Especially for utilization is in a low level, that is 0.98. It has concluded that food security in research area is 6.53 (low) therefore must be developed planning on short, moderate and long period of proper policy towards to increasing community food security.

Key words: food security, production forest, proper policy","FOOD SECURITY UNDER PARTNERSHIP SCHEME 
AT PRODUCTION FOREST REGISTER 42 WAY KANAN, LAMPUNG PROVINCE",http://uisfs.unila.ac.id/,7,,show,1921,published,2017-05-30 01:29:35,981,2017-05-30 01:29:35,,,pub,,"[{'security': 'public', 'placement': 1, 'eprintid': 1921, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'mime_type': 'application/pdf', 'fileid': 13419, 'hash': 'c99a0c54de2e0bf4e1791ecc095c9280', 'filename': 'Final paper FS Agt 2016_Christine W & Pitojo B.pdf', 'mtime': '2017-05-29 14:01:28', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 458542, 'objectid': 1782, 'uri': 'http://repository.lppm.unila.ac.id/id/file/13419'}], 'docid': 1782, 'main': 'Final paper FS Agt 2016_Christine W & Pitojo B.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/1782', 'rev_number': 1, 'format': 'text', 'pos': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/1921,TRUE,conference_item,['FP11'],,,"[{'name': {'given': 'Christine', 'honourific': None, 'family': 'Wulandari', 'lineage': None}, 'id': 'christine.wulandari@fp.unila.ac.id'}, {'id': 'ptjbudiono@gmail.com', 'name': {'lineage': None, 'family': 'Budiono', 'honourific': None, 'given': 'Pitojo'}}]",disk0/00/00/19/21,2016-08-01 00:00:00.000000000,"Bandarlampung, Indonesia",“IMPROVING FOOD SECUTIRY: THE CHALLENGES FOR   ENHANCING RESILIENCE TO CLIMATE CHANGE”,conference,"August 23-25, 2016",,paper,,,,
8,archive,2018-10-29 04:14:29,['SD'],"It is known that social capital in community empowerment activities in local level is clearly essential in maintenance and use of the commons so it needs to be preserved the existence by keeping trust among the members of local community groups. Thus it is very important to recognize conditions and factors in the social capital which influence development of Community Forestry (CF) or Hutan Kemasyarakatan (HKm) program in Lampung. Based on the results of research at CF Group of Binawana in Tri Budi Syukur village, West Lampung,  and HKm Group of Mekar Jaya at Lebak Paniangan village in Way Kanan, it is known that the level of social capital of those HKm group members are affected by the institutional governance of HKm groups including commitment and participatory level of its management personnel and assistance facilitating from other parties. The different levels of social capital in these two groups could also be observed from background of the groups establishment, as well as the work program planned and implemented by the group, whether short-term (annual) or long term (5 years) programs.",Social Capital Status on HKm Development in Lampung,,8,,show,8875,published,2018-10-29 04:14:29,981,2018-10-29 04:14:29,19-26,,pub,,"[{'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'security': 'public', 'eprintid': 8875, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21956', 'pos': 1, 'format': 'text', 'files': [{'objectid': 21956, 'uri': 'http://repository.lppm.unila.ac.id/id/file/86097', 'mime_type': 'application/pdf', 'fileid': 86097, 'hash': 'f6758830b338c091c8729ccd39d066a1', 'filename': 'Topic_1_Forest_agriculture_and_puspose.pdf', 'hash_type': 'MD5', 'mtime': '2018-10-14 05:57:58', 'datasetid': 'document', 'filesize': 3265926}], 'docid': 21956, 'main': 'Topic_1_Forest_agriculture_and_puspose.pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/8875,TRUE,conference_item,['FP11'],,,"[{'id': 'christine.wulandari@fp.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Wulandari', 'given': 'Christine'}}, {'id': 'ptjbudiono@gmail.com', 'name': {'lineage': None, 'family': 'Budiono', 'honourific': None, 'given': 'Pitojo'}}]",disk0/00/00/88/75,1970-01-01 00:00:00.000002016,"Bogor, Indonesia",The International Conference of Indonesia Forestry Researchers III,conference,21-22 October 2015,,paper,,,,
9,archive,2017-05-30 01:28:59,"['K1', 'SD']","Kebijakan pengembangan perhutanan sosial telah terbit pada akhir tahun 2016 dalam rangka menyesuaikan kebijakan yang termaktub dalam Undang Undang Nomor 23 Tahun 2014 tentang Pemerintahan Daerah. Namun penerbitan Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.83 Tahun 2016 (PermenLHK 83/2016) tentang Perhutanan Sosial belum secara langsung dapat menjawab pemasalahan yang ada di lapangan sebagai dampak atas terbitnya UU Pemerintahan Daerah.  Dalam PermenLHK 83/2016 disebutkan adanya persyaratan bahwa pemerintah daerah harus mempunyai program perhutanan sosial dan menyediakan anggaran untuk memgimplementasikannya. Persyaratan inilah yang dalam tindak lanjutnya memerlukan adanya pertimbangan dan strategi lebih lanjut agar dapat dilaksanakan oleh pemerintah daerah sebagaimana harapan pemerintah pusat.
Kata kunci:  desentralisasi, kehutanan, otonomi daerah, perhutanan sosial, pemerintahan daerah.",KESIAPAN DAERAH DALAM IMPLEMENTASIKAN PROGRAM PERHUTANAN SOSIAL PASCA TERBITNYA UU 23/2014 TENTANG PEMERINTAHAN DAERAH,http://kskp.ipb.ac.id/,7,Vol. 3,show,1914,published,2017-05-30 01:28:59,981,2017-05-30 01:28:59,108-117,No 2,pub,Bogor Agriculture Institute (IPB),"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 1914, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/1773', 'rev_number': 1, 'main': '15512-46813-1-PB IPB Feb 2016.pdf', 'docid': 1773, 'files': [{'mime_type': 'application/pdf', 'fileid': 13370, 'hash': '09a20990d58aedd27f4f6421ea54c6a1', 'filename': '15512-46813-1-PB IPB Feb 2016.pdf', 'hash_type': 'MD5', 'mtime': '2017-05-29 11:45:48', 'datasetid': 'document', 'filesize': 367337, 'objectid': 1773, 'uri': 'http://repository.lppm.unila.ac.id/id/file/13370'}]}]",public,http://repository.lppm.unila.ac.id/id/eprint/1914,TRUE,article,['FP11'],Risalah Kebijakan Pertanian dan Lingkungan,2355-6226,"[{'id': 'christine.wulandari@fp.unila.ac.id', 'name': {'given': 'Christine', 'lineage': None, 'family': 'Wulandari', 'honourific': None}}, {'name': {'given': 'Pitojo', 'honourific': None, 'family': 'Budiono', 'lineage': None}, 'id': 'ptjbudiono@gmail.com'}, {'id': 'dnurrochmat@gmail.com', 'name': {'given': 'Dodik Ridho', 'honourific': None, 'family': 'Nurrochmat', 'lineage': None}}]",disk0/00/00/19/14,2016-08-01 00:00:00.000000000,,,,,,,,,2477-0299,[{'url': 'http://kskp.ipb.ac.id/'}]
