,status_changed,eprint_status,subjects,abstract,title,rev_number,metadata_visibility,eprintid,date_type,lastmod,userid,datestamp,ispublished,documents,full_text_status,uri,type,divisions,patent_applicant,creators,date,dir,id_number,pages,official_url,volume,pagerange,publisher,number,refereed,issn,publication,place_of_pub,corp_creators,contact_email,related_url
0,2023-05-17 09:41:36,archive,"['GE', 'H1', 'SD']",Wonotani Kanggo Nyegah Pepadhon Menungso Karo Khewan Alas Ing Pinggian Taman Nasional,HKI Buku Cergam Edisi Bahasa Jawa Wanatani untuk Mencegah Konflik Manusia dengan Satwa Liar,9,show,51773,published,2023-05-17 09:41:36,753,2023-05-17 09:41:36,pub,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/250316', 'rev_number': 1, 'docid': 250316, 'main': 'Full Sertifikat_Cergam Sunda.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/613376', 'objectid': 250316, 'filesize': 2950984, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2023-05-17 09:15:39', 'filename': 'Full Sertifikat_Cergam Sunda.pdf', 'hash': 'e1e6e70323a230cb38ec0d1533559144', 'fileid': 613376, 'mime_type': 'application/pdf'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 51773, 'placement': 1, 'security': 'public'}]",public,http://repository.lppm.unila.ac.id/id/eprint/51773,patent,['FP12'],EC00202016823,"[{'id': 'samsul.bakri@fp.unila.ac.id', 'name': {'given': 'Samsul', 'lineage': None, 'family': 'Bakri', 'honourific': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Sulistiyarini', 'given': 'Dhanik'}, 'id': 'dhanik.sulistiyarini@fisip.unila.ac.id'}, {'id': 'aslulila@yahoo.com', 'name': {'family': 'Setiawan', 'honourific': None, 'lineage': None, 'given': 'Agus'}}, {'name': {'given': 'Ida', 'lineage': None, 'honourific': None, 'family': 'nurhaida'}, 'id': 'ida.nurhaida@fisip.unila.ac.id'}]",2020-06-03 00:00:00.000000000,disk0_bak/00/05/17/73,188950,25.0,,,,,,,,,,,,
1,2023-05-17 09:42:02,archive,"['GE', 'H1', 'SD']",Wanatani Pencegah Konflik Manusiaa dengan Satwa Liar,HKI Buku Cergam Edisi Bahasa Sunda  Wanatani Pikeun Nyegah Konflik Masyarakat Jeung Sato Liar di Wates Taman Nasional,9,show,51770,published,2023-05-17 09:42:02,753,2023-05-17 09:42:02,pub,"[{'files': [{'objectid': 250294, 'uri': 'http://repository.lppm.unila.ac.id/id/file/613332', 'datasetid': 'document', 'filesize': 2950984, 'fileid': 613332, 'mime_type': 'application/pdf', 'mtime': '2023-05-17 08:49:18', 'hash_type': 'MD5', 'hash': 'e1e6e70323a230cb38ec0d1533559144', 'filename': 'Full Sertifikat_Cergam Sunda.pdf'}], 'docid': 250294, 'main': 'Full Sertifikat_Cergam Sunda.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/250294', 'rev_number': 1, 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 51770, 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/51770,patent,['FP12'],EC00202016824,"[{'id': 'samsul.bakri@fp.unila.ac.id', 'name': {'family': 'Bakri', 'honourific': None, 'lineage': None, 'given': 'Samsul'}}, {'id': 'dhanik.sulistiyarini@fisip.unila.ac.id', 'name': {'lineage': None, 'family': 'Sulistiyarini', 'honourific': None, 'given': 'Dhanik'}}, {'id': 'aslulila@yahoo.com', 'name': {'family': 'Setiawan', 'honourific': None, 'lineage': None, 'given': 'Agus'}}, {'id': 'ida.nurhaida@fisip.unila.ac.id', 'name': {'given': 'Ida', 'family': 'nurhaida', 'honourific': None, 'lineage': None}}]",2020-06-03 00:00:00.000000000,disk0_bak/00/05/17/70,188949,16.0,,,,,,,,,,,,
2,2021-05-24 04:41:56,archive,['RA0421'],"Purpose:This study was aimed to analyze the correlation of food security status and 
household food expenditure to nutritional status on pregnant women.This study was aimed 
to identify the significant effect of the determinants factor of maternal health and 
incidence of maternal death.
Research Methodology:This study was an observational study with cross sectional design, 
Thisstudy was conducted in Province Lampung, Indonesia, in 2020. Population of this 
research consisted of situation maternal health in provience Lampung. Sampel in this 
study are report of bacis health and SDGs series: districts/city readiness from 13 districts 
and 2 cities in Province Lampung. The studied indicators either were evaluated of 
environtment, health behavior, and health service for ech districts/city. Data was collected 
and then analyzed using SmartPLS application. 
Results:The environment determinant in this study was determined to water quality and 
sanitation. Health behaviour determinant indicator was assessed by ANC adherence and 
labor operator while indicator of health service determinants were access of health service, 
care of maternal complication, health insurance. All of determinants have significant 
correlation to maternal health by T- value and p value were (T= 2.201 ; p= 0.028), (T= 
2.467 ; p= 0.012), (T=2.737 ; p=0.006), respectively dor environment, health behaviour, 
and health service determinants. Refer to the result above which are schematized in Figure 1, it can be learned that environment, health behavior and health services present strong effets to maternal health. Conclusion:This study results show clearly there are correlation of variable determinants; environment, health behavior, and health service to affect maternal healthby the pathways.
Keywords:food security, household expenditure,nutritional status,pregnancy,socioeconomic determinant","Maternal Health Study In Province Lampung 
Based On Prediction Model Structural 
Equation Modeling-Partial Least Square",11,show,30571,published,2021-05-24 04:41:56,753,2021-05-24 04:41:56,pub,"[{'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 30571, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/137618', 'format': 'text', 'pos': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/362398', 'objectid': 137618, 'hash_type': 'MD5', 'mtime': '2021-05-24 03:52:37', 'hash': '784a7d5fa7e29a0394b9ff5500ba1110', 'filename': 'EJMCM_Volume 7_Issue 3_Pages 4727-4735.pdf', 'fileid': 362398, 'mime_type': 'application/pdf', 'filesize': 755861, 'datasetid': 'document'}], 'docid': 137618, 'main': 'EJMCM_Volume 7_Issue 3_Pages 4727-4735.pdf'}]",public,http://repository.lppm.unila.ac.id/id/eprint/30571,article,['FP12'],,"[{'id': 'rata', 'name': {'given': 'Ratna', 'honourific': None, 'family': 'DewiPuspita Sari', 'lineage': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Sutyarso', 'given': 'Sutyarso'}, 'id': 'sutyarso@yahoo.co.id'}, {'id': 'samsul.bakri@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Bakri', 'honourific': None, 'given': 'Samsul'}}, {'id': None, 'name': {'family': 'DyahWulanSumekar RW', 'honourific': None, 'lineage': None, 'given': 'Dyah'}}, {'name': {'honourific': None, 'family': 'Suryawinata', 'lineage': None, 'given': 'Arli'}, 'id': None}, {'name': {'given': 'Mentari', 'lineage': None, 'honourific': None, 'family': 'Olivia F'}, 'id': None}, {'name': {'given': 'Tisa', 'lineage': None, 'honourific': None, 'family': 'Mahdiansari'}, 'id': None}]",1970-01-01 00:00:00.000002020,disk0/00/03/05/71,,,https://www.ejmcm.com/,7.0,4727-4735,Ubiquity Press,3,TRUE,2515-8260,European Journal of Molecular & Clinical Medicine,,,,
3,2020-11-16 01:25:49,archive,['H1'],"ABSTRAK
Pengelolaan Tempat Pembuangan Akhir (TPA) secara Open Dumping serta lokasi dan pengelolaan sampah yang kurang memadai menimbulkan dampak negatif bagi masyarakat. Kegagalan pengelolaan sampah di Kota Metro bukan hanya disebabkan kelemahan teknis, kurangnya dukungan finansial, lembaga pengelola yang kurang efisien, serta sistem yang kurang tepat dapat menyebabkan Gangguan Mental Emosional (GME) serta permukiman padat penduduk, daerah kumuh, ventilasi yang buruk, bangunan rumah yang rusak, dinding rumah yang lembab dan berjamur, hingga keberadaan hama di sekitar rumah dapat menyebabkan kecemasan hingga gangguan jiwa. Peneliti mengevaluasi keberadaan TPA di 23 karang Rejo Kota Metro, agar keberadaan TPA dapat sesuai dengan ketentuan aturan yang berlaku. Metode penelitian yang digunakan adalah kualitatif, peneliti menguraikan kata-kata menurut pendapat responden dengan deskriptif. Selain wawancara, untuk memperkuat data yang dicari, peneliti mengambil gambar dan melakukan observasi kepada masyarakat dengan interaksi antar masyarakat, bagaimana masyarakat menjalani kehidupan lingkungan dan sosial. Teknologi pembuangan sampah telah berkembang, salah satunya pengembangan dari metode pembuangan sampah adalah metode Sanitary Landfill, dengan model Reusable Sanitary Landfill (RSL). Cara kerja metode supply yaitu sampah ditumpuk dalam suatu lahan, kemudian lahan tempat sampah dipadatkan sebagai ground liner. Ground liner dilapisi dengan geomembran, lapisan ini yang akan menahan meresapnya lindi ke dalam tanah dan mencemari air tanah. Di atas lapisan Geomembran dilapisi lagi Geotextile yang berfungsi menahan kotoran sehingga tidak bercampur dengan air lindi. Keterbatasan perspektif dalam penelitian karena studi terletak pada kecilnya sampel, disarankan perlu melakukan penelitian lebih lanjut dengan membandingkan beberapa kasus dengan konsep yang berbeda.
Kata Kunci: Tempat Pembuangan Akhir (TPA), Permukiman, Sampah",DAMPAK KEBERADAAN TEMPAT PEMBUANGAN AKHIR TERHADAP KONDISI LINGKUNGAN DAN SOSIAL DI MASYARAKAT (STUDI KASUS DESA KARANG REJO KOTA METRO LAMPUNG),6,show,25168,published,2020-11-16 01:25:49,826,2020-11-16 01:25:49,pub,"[{'files': [{'hash_type': 'MD5', 'mtime': '2020-11-13 14:36:01', 'filename': 'DAMPAK KEBERADAAN TEMPAT PEMBUANGAN AKHIR.pdf', 'hash': '2ab615e95f8b56ab5fef2789d4fe92cc', 'fileid': 227651, 'mime_type': 'application/pdf', 'filesize': 233545, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/227651', 'objectid': 38948}], 'main': 'DAMPAK KEBERADAAN TEMPAT PEMBUANGAN AKHIR.pdf', 'docid': 38948, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38948', 'format': 'text', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 25168, 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/25168,article,['FP12'],,"[{'id': 'diyanahmadsaputra@gmail.com', 'name': {'honourific': None, 'family': 'Diyan Ahmad Saputra', 'lineage': None, 'given': 'Diyan'}}, {'name': {'given': 'Agus', 'honourific': None, 'family': 'Agus Setiawan', 'lineage': None}, 'id': 'aslulila@yahoo.com'}, {'id': 'epwahono@gmail.com', 'name': {'given': 'Endro', 'honourific': None, 'family': 'Endro P Wahono', 'lineage': None}}, {'name': {'given': 'Winarno', 'lineage': None, 'family': 'Gunardi Djoko Winarno', 'honourific': None}, 'id': 'gundowino@gmail.com'}]",2020-10-01 00:00:00.000000000,disk0/00/02/51/68,,,https://journal.unpak.ac.id/index.php/ekologia,20.0,79-87,Universitas Pakuan,No. 2,TRUE,e-ISSN: 2686-4894 ; p-ISSN: 1411-9447,Ekologia,,,,
4,2023-01-26 06:23:35,archive,"['GE', 'RA0421']","Abstarct Purpose:This study was aimed to analyze the correlation of food security status and
household food expenditure to nutritional status on pregnant women.This study was aimed
to identify the significant effect of the determinants factor of maternal health and
incidence of maternal death.
Research Methodology:This study was an observational study with cross sectional design,
Thisstudy was conducted in Province Lampung, Indonesia, in 2020. Population of this
research consisted of situation maternal health in provience Lampung. Sampel in this
study are report of bacis health and SDGs series: districts/city readiness from 13 districts
and 2 cities in Province Lampung. The studied indicators either were evaluated of
environtment, health behavior, and health service for ech districts/city. Data was collected
and then analyzed using SmartPLS application.
Results:The environment determinant in this study was determined to water quality and
sanitation. Health behaviour determinant indicator was assessed by ANC adherence and
labor operator while indicator of health service determinants were access of health service,
care of maternal complication, health insurance. All of determinants have significant
correlation to maternal health by T- value and p value were (T= 2.201 ; p= 0.028), (T=
2.467 ; p= 0.012), (T=2.737 ; p=0.006), respectively dor environment, health behaviour,
and health service determinants. Refer to the result above which are schematized in Figure
1, it can be learned that environment, health behavior and health services present strong
effets to maternal health.
Conclusion:This study results show clearly there are correlation of variable determinants;
environment, health behavior, and health service to affect maternal healthby the pathways.
Keywords:food security, household expenditure,nutritional status,pregnancy,
socioeconomic determinant",Similarity checker of the paper entitled: Maternal health,10,show,48036,published,2023-01-26 06:23:35,753,2023-01-26 06:23:35,pub,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187204', 'pos': 1, 'format': 'text', 'files': [{'filesize': 315146, 'datasetid': 'document', 'mtime': '2023-01-26 03:12:05', 'hash_type': 'MD5', 'filename': '[b] Maternal Health.pdf', 'hash': '9738c355b2df0da5ef490dd106e58a73', 'fileid': 525292, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/525292', 'objectid': 187204}], 'main': '[b] Maternal Health.pdf', 'docid': 187204, 'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 48036}]",public,http://repository.lppm.unila.ac.id/id/eprint/48036,other,['FP12'],,"[{'name': {'given': 'Ratna Dewi', 'family': 'Puspita Sari', 'honourific': None, 'lineage': None}, 'id': 'ratnadps@gmail.com'}, {'name': {'honourific': None, 'family': 'Sutyarso', 'lineage': None, 'given': 'Sutyarso'}, 'id': 'sutyarso@yahoo.co.id'}, {'name': {'honourific': None, 'family': 'Bakri', 'lineage': None, 'given': 'Samsul'}, 'id': 'samsul.bakri@fp.unila.ac.id'}, {'id': 'dyah.wulan@fk.unila.ac.id', 'name': {'given': 'Dyah Wulan', 'honourific': None, 'family': 'Wardani', 'lineage': None}}]",1970-01-01 00:00:00.000002020,disk0_bak/00/04/80/36,,,https://www.ejmcm.com/article_5162.html,,,"EJMCM, International House",,,,,UK,,,
5,2023-01-24 01:42:43,archive,"['GB', 'GE']","Abstract. Research on the Palu earthquake in the period of August to October 2018 has been 
carried out in the Palu Koro Fault (PKF) zone with a hypocenter of 5-20 km. This study aims 
to determine the fractal dimensions of these earthquakes based on the relationship between 
logarithmic frequency and earthquake magnitude correlation introduced by Gutenberg-Richter. 
Statistical correlation between logarithmic frequency and earthquake magnitude was calculated 
using the inversion approach. Based on the calculation results obtained fractal dimension value 
of 1.0378, which describes the seismicity pattern at a depth of 5-20 km. It indicates that the 
earthquakes triggered by the movement in rupture segments which seen as points along the 
PKF zone.","14% Overall Similarity the paper entitle ""Hypocenter dimension of 7.5 mw Palu earthquake using 
fractal approach""",9,show,47970,published,2023-01-24 01:42:43,753,2023-01-24 01:42:43,pub,"[{'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/187083', 'rev_number': 1, 'docid': 187083, 'main': '14. Hypocenter dimension_14%.pdf', 'files': [{'objectid': 187083, 'uri': 'http://repository.lppm.unila.ac.id/id/file/524644', 'mime_type': 'application/pdf', 'fileid': 524644, 'hash': '063c7fc70f1770359f8cf80649233b0e', 'filename': '14. Hypocenter dimension_14%.pdf', 'mtime': '2023-01-23 06:44:59', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 1520045}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 47970, 'placement': 1, 'security': 'public'}]",public,http://repository.lppm.unila.ac.id/id/eprint/47970,other,['FP12'],,"[{'id': 'syamsurijal.rasimeng@eng.unila.ac.id', 'name': {'honourific': None, 'family': 'Rasimeng', 'lineage': None, 'given': 'Syamsurijal'}}, {'name': {'given': 'Allimudin', 'family': 'Allimudin', 'honourific': None, 'lineage': None}, 'id': None}, {'id': 'rustadi_2007@yahoo.com', 'name': {'lineage': None, 'honourific': None, 'family': 'Rustadi', 'given': 'Rustadi'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Sinambela', 'given': 'Rudy Zefrianto'}, 'id': 'rudyzef@gmail.com'}, {'id': None, 'name': {'given': 'Idris', 'lineage': None, 'family': 'Madang', 'honourific': None}}, {'name': {'given': 'Samsul', 'lineage': None, 'honourific': None, 'family': 'Bakri'}, 'id': 'samsul.bakri@fp.unila.ac.id'}, {'name': {'given': 'ahmad', 'honourific': None, 'family': 'zaenudin', 'lineage': None}, 'id': 'ahmad.zaenudin@eng.unila.ac.id'}]",1970-01-01 00:00:00.000002020,disk0_bak/00/04/79/70,doi:10.1088/1755-1315/575/1/012161,,https://iopscience.iop.org/article/10.1088/1755-1315/575/1/012161,,,IOPPublising,,,,,,,,
6,2021-05-25 01:35:47,archive,['GE'],". Research on the Palu earthquake in the period of August to October 2018 has been 
carried out in the Palu Koro Fault (PKF) zone with a hypocenter of 5-20 km. This study aims 
to determine the fractal dimensions of these earthquakes based on the relationship between 
logarithmic frequency and earthquake magnitude correlation introduced by Gutenberg-Richter. Statistical correlation between logarithmic frequency and earthquake magnitude was calculated using the inversion approach. Based on the calculation results obtained fractal dimension value 
of 1.0378, which describes the seismicity pattern at a depth of 5-20 km. It indicates that the earthquakes triggered by the movement in rupture segments which seen as points along the PKF zone.","Hypocenter dimension of 7.5 mw Palu earthquake using 
fractal approach",8,show,30671,published,2021-05-25 01:35:47,753,2021-05-25 01:35:47,pub,"[{'security': 'public', 'placement': 1, 'eprintid': 30671, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'filesize': 910612, 'datasetid': 'document', 'filename': 'Rasimeng_2020_IOP_Conf._Ser.__Earth_Environ._Sci._575_012161.pdf', 'hash': 'baad2800ab20a7342b1bb349ba5cd811', 'mtime': '2021-05-24 16:27:34', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 363685, 'uri': 'http://repository.lppm.unila.ac.id/id/file/363685', 'objectid': 138227}], 'docid': 138227, 'main': 'Rasimeng_2020_IOP_Conf._Ser.__Earth_Environ._Sci._575_012161.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/138227', 'rev_number': 1, 'format': 'text', 'pos': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/30671,article,['FP12'],,"[{'id': 'syamsurijal.rasimeng@eng.unila.ac.id', 'name': {'family': 'Rasimeng', 'honourific': None, 'lineage': None, 'given': 'Syamsurijal'}}, {'id': None, 'name': {'given': 'Allimusin', 'lineage': None, 'honourific': None, 'family': 'Allimudin'}}, {'id': 'rustadi_2007@yahoo.com', 'name': {'honourific': None, 'family': 'Rustadi', 'lineage': None, 'given': 'Rustadi'}}, {'name': {'given': 'Rudy Zefrianto', 'honourific': None, 'family': 'Sinambela', 'lineage': None}, 'id': 'rudyzef@gmail.com'}, {'name': {'given': 'Idris', 'lineage': None, 'family': 'Mandang', 'honourific': None}, 'id': None}, {'name': {'honourific': None, 'family': 'Bakri', 'lineage': None, 'given': 'Samsul'}, 'id': 'samsul.bakri@fp.unila.ac.id'}, {'name': {'given': 'ahmad', 'lineage': None, 'family': 'zaenudin', 'honourific': None}, 'id': 'ahmad.zaenudin@eng.unila.ac.id'}]",2020-10-01 00:00:00.000000000,disk0/00/03/06/71,575 (2020) 012161,,,1.0,1-11,,1,TRUE,,IOP Conference Series: Earth and Environmental Science,,,,
7,2020-10-02 01:05:26,archive,['QR'],"The availability of sufficient energy sources to grow lactic acid bacteria and spices addition can influence probiotic drinks' characteristics. This study aimed to study the effect of glucose and red ginger extract on honey pineapple skin probiotic drinks' characteristics. This study used a Complete Randomized Block Design (RCBD) with two factors. The first factor was glucose concentration, namely 1%, 2%, 3%, and 4% w/v, while the second factor was the concentration of red ginger extract, namely 0%, 1%, 2%, 3%, 4%, and 5% (v/v). The data were analyzed using variance analysis (ANOVA), and the differences between means were determined using the orthogonal polynomials. The results showed that glucose increased total lactic acid bacteria and pH, but decreased the preference score of taste, color, and overall reception, but did not affect those of honey pineapple probiotic juice extract's aroma. The red ginger extract increased the taste, aroma, color, and overall acceptance scores, but did not affect the pH and total lactic acid bacteria of pineapple probiotic drinks. The best probiotic drink was from 2% glucose, and 3% red ginger extract, which had 1.3 x 109 colony lactic acid bacteria /mL; total lactic acid 0.63%; pH 3.69; somewhat like taste, somewhat like aroma; and somewhat like overall reception.",PENGARUH GLUKOSA DAN JAHE MERAH TERHADAP KARAKTERISTIK MINUMAN PROBIOTIK DARI KULIT NANAS MADU,8,show,24263,published,2020-10-02 01:05:26,962,2020-10-02 01:05:26,pub,"[{'mime_type': 'application/pdf', 'language': 'en', 'content': 'published', 'eprintid': 24263, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37982', 'main': 'Rizal et al 2020_Jurnal THP.PDF', 'docid': 37982, 'files': [{'mime_type': 'application/pdf', 'fileid': 220835, 'filename': 'Rizal et al 2020_Jurnal THP.PDF', 'hash': 'c9217c7903e4f0941b954a1192ac78c2', 'hash_type': 'MD5', 'mtime': '2020-10-01 17:04:10', 'datasetid': 'document', 'filesize': 1173640, 'objectid': 37982, 'uri': 'http://repository.lppm.unila.ac.id/id/file/220835'}]}]",public,http://repository.lppm.unila.ac.id/id/eprint/24263,article,"['FP5', 'FP6', 'FP7', 'FP8', 'FP10', 'FP11', 'FP12', 'FP13', 'FP14', 'FP15', 'FP16', 'FP27', 'FP26', 'FP17', 'FP24', 'FP20', 'FP18']",,"[{'id': 'samsul.rizal@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Rizal', 'lineage': None, 'given': 'Samsul'}}, {'id': 'suharyono@fp.unila.ac.id', 'name': {'given': 'Suharyono', 'lineage': None, 'family': 'Suharyono', 'honourific': None}}, {'id': 'fibra.nurainy@fp.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Nurainy', 'given': 'Fibra'}}, {'name': {'given': 'Merliyanisa', 'lineage': None, 'honourific': None, 'family': 'Merliyanisa'}, 'id': None}]",2020-09-01 00:00:00.000000000,disk0/00/02/42/63,,,http://jurnal.fp.unila.ac.id/index.php/JTHP/article/view/3640,25.0,110-119,Jurusan Teknologi Hasil Pertanian Unila,2,TRUE,ISSN 1410-3044 (print) and ISSN 2304-4399 (online),Jurnal Teknologi Industri & Hasil Pertanian,,['Universitas Lampung'],samsul.rizal@fp.unila.ac.id,
8,2023-01-24 01:42:51,archive,"['GE', 'RA0421']","Abstract – The problem in this study is a diarrheal disease which is the second cause of death in children under five years and has killed around 760,000 children every year. The cause of diarrhea is influenced by several factors, such as the characteristics of children under five (age, sex, body weight, weight growth), habits or behaviour of care and family, basic sanitation, and the condition of the home
environment. This study aims to develop a model and conduct public policy analysis to reduce the incidence of diarrhea through the development of models of maternal care, maternal demographics, characteristics of children under five and environmental sanitation of the incidence of diarrhea in children under five in Tulang Bawang Barat Regency. Samples taken were 300 children under five. Data collection techniques using secondary data sourced from data from the District Health Office of Tulang Bawang Barat, and
questionnaires. This study uses a causal relationship approach that is linear. The postulated model chosen was Linear Log with the
response variable using a binary scale, i.e diarrhea versus no diarrhea. Given a score of 1 if a sample has diarrhea and if not given a score
of zero. The results show that: This model can be used to predict the incidence of diarrhea against 20 predictor variables which include demographic variables, maternal care variables, and environmental sanitation variables which significantly influence the incidence of diarrhea. Forms of programs that can be proposed 1) Nutrition Counseling; 2) provision of food assistance & Fortification of extension
sources; 3) Procurement of communal toilets; and 4) Counseling of composting proposed funding sources through the village budget,APBD/APBN budget.","6% Development of Prediction Model for Childhood Diarrhea Based
on Maternal Care Variables, Characteristics of Children,
Demography and Sanitation in Study Environment Tulang Bawang Barat RegencyOverall Similarity of the paper entitled """"",8,show,47974,published,2023-01-24 01:42:51,753,2023-01-24 01:42:51,pub,"[{'files': [{'filesize': 1863971, 'datasetid': 'document', 'mtime': '2023-01-23 12:18:53', 'hash_type': 'MD5', 'hash': 'b744946c095d1a77992ead26dd9c12af', 'filename': '4 Development of Pred_6%.pdf', 'fileid': 524683, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/524683', 'objectid': 187088}], 'docid': 187088, 'main': '4 Development of Pred_6%.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/187088', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 47974, 'mime_type': 'application/pdf', 'language': 'en'}]",public,http://repository.lppm.unila.ac.id/id/eprint/47974,other,['FP12'],,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Sriyani', 'given': 'Anjar'}, 'id': None}, {'id': 'khairun.nisa@fk.unila.ac.id', 'name': {'honourific': None, 'family': 'Berawi', 'lineage': None, 'given': 'Khairun Nisa'}}, {'id': 'samsul.bakri@fp.unila.ac.id', 'name': {'given': 'Samsul', 'lineage': None, 'honourific': None, 'family': 'Bakri'}}, {'name': {'given': 'Hari', 'lineage': None, 'family': 'Kaskoyo', 'honourific': None}, 'id': 'hari.kaskoyo@fp.unila.ac.id'}]",2020-11-02 00:00:00.000000000,disk0_bak/00/04/79/74,http://dx.doi.org/10.52155/ijpsat.v23.2.2366,,https://ijpsat.org/index.php/ijpsat/article/view/2366,,,IJPSAT,,,,,,,,
9,2021-05-25 01:33:36,archive,['RA0421'],"he problem in this study is a diarrheal disease which is the second cause of death in children under five years and has killed 
around 760,000 children every year. The cause of diarrhea is influenced by several factors, such as the characteristics of children under 
five (age, sex, body weight, weight growth), habits or behaviour of care and family, basic sanitation, and the condition of the home 
environment. This study aims to develop a model and conduct public policy analysis to reduce the incidence of diarrhea through the 
development of models of maternal care, maternal demographics, characteristics of children under five and environmental sanitation of 
the incidence of diarrhea in children under five in Tulang Bawang Barat Regency. Samples taken were 300 children under five. Data 
collection techniques using secondary data sourced from data from the District Health Office of Tulang Bawang Barat, and 
questionnaires. This study uses a causal relationship approach that is linear. The postulated model chosen was Linear Log with the 
response variable using a binary scale, i.e diarrhea versus no diarrhea. Given a score of 1 if a sample has diarrhea and if not given a score 
of zero. The results show that: This model can be used to predict the incidence of diarrhea against 20 predictor variables which include demographic variables, maternal care variables, and environmental sanitation variables which significantly influence the incidence of diarrhea. Forms of programs that can be proposed 1) Nutrition Counseling; 2) provision of food assistance & Fortification of extension 
sources; 3) Procurement of communal toilets; and 4) Counseling of composting proposed funding sources through the village budget, APBD/APBN budget.","Development of Prediction Model for Childhood Diarrhea Based 
on Maternal Care Variables, Characteristics of Children, 
Demography and Sanitation in Study Environment 
Tulang Bawang Barat Regency",6,show,30597,published,2021-05-25 01:33:36,753,2021-05-25 01:33:36,pub,"[{'security': 'public', 'placement': 1, 'eprintid': 30597, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'datasetid': 'document', 'filesize': 1390520, 'mime_type': 'application/pdf', 'fileid': 362777, 'filename': 'ANJAR DKK_2366-5700-1-PB.pdf', 'hash': '3c4301a4439d1b9b6dcd7ceb73186722', 'mtime': '2021-05-24 05:17:16', 'hash_type': 'MD5', 'objectid': 137821, 'uri': 'http://repository.lppm.unila.ac.id/id/file/362777'}], 'docid': 137821, 'main': 'ANJAR DKK_2366-5700-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/137821', 'rev_number': 1, 'format': 'text', 'pos': 1}]",public,http://repository.lppm.unila.ac.id/id/eprint/30597,article,['FP12'],,"[{'name': {'honourific': None, 'family': 'Sriyani', 'lineage': None, 'given': 'Anjar'}, 'id': None}, {'id': 'khairun.nisa@fk.unila.ac.id', 'name': {'given': 'Khairun Nisa', 'honourific': None, 'family': 'Berawi', 'lineage': None}}, {'name': {'family': 'Bakri', 'honourific': None, 'lineage': None, 'given': 'Samsul'}, 'id': 'samsul.bakri@fp.unila.ac.id'}, {'name': {'given': 'Hari', 'honourific': None, 'family': 'Kaskoyo', 'lineage': None}, 'id': 'hari.kaskoyo@fp.unila.ac.id'}]",2020-11-01 00:00:00.000000000,disk0/00/03/05/97,,,http://ijpsat.ijsht-journals.org/,23.0,354-365,,2,TRUE,2509-0119,International Journal of Progressive Sciences and Technologies,,,,[{'url': 'http://ijpsat.ijsht-journals.org/'}]
