,eprintid,status_changed,eprint_status,abstract,subjects,title,metadata_visibility,rev_number,type,divisions,creators,dir,lastmod,userid,datestamp,documents,publisher,ispublished,full_text_status,uri,date_type,place_of_pub,official_url,pres_type,refereed,event_dates,event_type,event_title,event_location,publication
0,24092,2020-09-21 03:34:04,archive,"Hasil Penilaian Karya Ilmiah ""HAKI Buku : Sistem Informasi Penilaian Kesehatan Hutan (SIPUT)""pada Buku Ilmiah, Plantaxia, Oktober 2017, Oleh Teman Sejawat",['SD'],HAKI Buku : Sistem Informasi Penilaian Kesehatan Hutan (SIPUT),show,7,other,['FP12'],"[{'id': 'aristoteles.1981@fmipa.unila.ac.id', 'name': {'given': 'Aristoteles', 'honourific': None, 'family': 'Aristoteles', 'lineage': None}}, {'name': {'family': ""Safe'i"", 'honourific': None, 'lineage': None, 'given': 'Rahmat'}, 'id': 'rahmat.safei@fp.unila.ac.id'}, {'id': 'kurnia.muludi@fmipa.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Muludi', 'given': 'Kurnia'}}]",disk0/00/02/40/92,2020-09-21 03:34:04,227,2020-09-21 03:34:04,"[{'security': 'public', 'placement': 1, 'eprintid': 24092, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'mtime': '2020-09-18 15:42:48', 'hash_type': 'MD5', 'filename': '6-Peer Review_Plantaxia_Sistem_RS.pdf', 'hash': 'e311cce0e6e58704b31569b685a98287', 'fileid': 219371, 'mime_type': 'application/pdf', 'filesize': 475589, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/219371', 'objectid': 37796}], 'docid': 37796, 'main': '6-Peer Review_Plantaxia_Sistem_RS.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/document/37796', 'rev_number': 1, 'format': 'text', 'pos': 1}]",Plantaxia,pub,public,http://repository.lppm.unila.ac.id/id/eprint/24092,,,,,,,,,,
1,48135,2023-01-30 01:47:00,archive,Abstract,"['GE', 'RA']","Similiratity checker of paper entitle :""ANALYSIS OF THE INFLUENCE OF NUTRITIONAL STATUS VARIABLES AND 
ENVIRONMENTAL SANITATION ON THE EVENT OF DIARRHOUS TO CHILDREN""",show,8,other,['FP12'],"[{'name': {'given': 'Feni', 'lineage': None, 'honourific': None, 'family': 'Astiti'}, 'id': None}, {'id': 'reni.zuraida@fk.unila.ac.id', 'name': {'given': 'Reni', 'honourific': None, 'family': 'Zuraida', 'lineage': None}}, {'id': 'samsul.bakri@fp.unila.ac.id', 'name': {'given': 'Samsul', 'family': 'Bakri', 'honourific': None, 'lineage': None}}, {'id': 'khairun.nisa@fk.unila.ac.id', 'name': {'honourific': None, 'family': 'Berawi', 'lineage': None, 'given': 'Khairun Nisa'}}]",disk0_bak/00/04/81/35,2023-01-30 01:47:00,753,2023-01-30 01:47:00,"[{'main': 'Similarity Cheker Feni Astiti (S).pdf', 'docid': 187344, 'files': [{'datasetid': 'document', 'filesize': 490324, 'fileid': 526141, 'mime_type': 'application/pdf', 'mtime': '2023-01-29 02:17:23', 'hash_type': 'MD5', 'filename': 'Similarity Cheker Feni Astiti (S).pdf', 'hash': '185fc7f505d25d30da8b155179dc629e', 'objectid': 187344, 'uri': 'http://repository.lppm.unila.ac.id/id/file/526141'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187344', 'rev_number': 1, 'eprintid': 48135, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",JWS,pub,public,http://repository.lppm.unila.ac.id/id/eprint/48135,completed,Turkey,https://jws.rivierapublishing.id/index.php/jws/search/search,,,,,,,
2,15036,2019-11-04 08:28:53,archive,"The policy to prohibit cantrang fishing gear is intended to prevent excessive exploitation of fish resources, environmental degradation and conflicts between fishermen, but fishermen and government officials' perceptions of the policy are not the same. The purpose of this study was to analyze the perceptions of fishermen and government officials on the implementation of the prohibition of cantrang fishing gear policy in Lampung Bay. Data collection was carried out by interviewing 30 fishermen and 30 government officials. The data obtained were analyzed using a Likert scale and polarized between the perceptions of fishermen and government officials. The results showed that fishermen's perceptions of the successful implementation of cantrang fishing gear prohibition policies were influenced by the attitude of the implementers and the inaccurate standards and policy targets / policy size and objectives. This is in accordance with the fishermen's refusal to prohibit cantrang fishing gear policy by continuing to operationalize cantrang fishing gear. The perception of the government apparatus the high influence of the economic, social and political environment has an influence on the successful implementation of cantrang fishing gear prohibition policies. Perceptions between fishermen and government officials who are not in harmony cause the failure of the cantrang fishing gear prohibition policy in Lampung Bay. Thus it is necessary to review the policy of prohibiting fishing gear cantrang and strategic steps for its implementation. 
 
Keywords: policy, policy implementation, cantrang, perception, Lampung Bay",['SH'],"Perceptions of Fishermen and Government on The Implementations of The Cantrang Fishing Ban in Teluk Lampung, Lampung",show,9,conference_item,['FP12'],"[{'name': {'lineage': None, 'family': 'Hardian', 'honourific': None, 'given': 'Debi'}, 'id': 'debihardian2@gmail.com'}, {'name': {'given': 'Supono', 'lineage': None, 'family': 'Supono', 'honourific': None}, 'id': 'supono_unila@yahoo.com'}, {'name': {'given': 'Indra Gumay', 'family': 'Febryano', 'honourific': None, 'lineage': None}, 'id': 'indragumay@yahoo.com'}, {'name': {'given': 'Abdullah Aman', 'lineage': None, 'family': 'Damai', 'honourific': None}, 'id': None}, {'name': {'family': 'Widiastuti', 'honourific': None, 'lineage': None, 'given': 'E.L.'}, 'id': 'elwidi@yahoo.com'}]",disk0/00/01/50/36,2019-11-04 08:28:53,591,2019-11-04 08:28:53,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 15036, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/28172', 'rev_number': 1, 'docid': 28172, 'main': 'Jurnal Persepsi CANTRANG  fix-converted (1).pdf', 'files': [{'datasetid': 'document', 'filesize': 205841, 'fileid': 129554, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-11-02 22:05:17', 'hash': '9d6393ba47558919c8f0572e2ed8dd36', 'filename': 'Jurnal Persepsi CANTRANG  fix-converted (1).pdf', 'objectid': 28172, 'uri': 'http://repository.lppm.unila.ac.id/id/file/129554'}]}, {'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 2, 'eprintid': 15036, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28173', 'rev_number': 1, 'format': 'text', 'pos': 2, 'files': [{'filename': 'LoA ICMACES a.n Debi Hardian.pdf', 'hash': '167b152e0f406824af3b08d39ef8af12', 'mtime': '2019-11-02 22:05:26', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 129556, 'filesize': 64856, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/129556', 'objectid': 28173}], 'main': 'LoA ICMACES a.n Debi Hardian.pdf', 'docid': 28173}]",,inpress,public,http://repository.lppm.unila.ac.id/id/eprint/15036,,,,paper,TRUE,23-24 Agustus 2019,conference,The International Conference on Marine and Coastal Engineering and Sciences (ICMACES 2019),Bandar Lampung,
3,24080,2020-09-21 03:32:48,archive,"Hasil Penilaian Karya Ilmiah ""Keawetan dan Stabilitas Dimensi Papan Partikel Hibrida Bambu-Kayu dengan Perlakuan Steam dan Perendaman Panas"" pada Jurnal Ilmu dan Teknologi Kayu Tropis, Fakultas Kehutanan Universitas Hasanuddin, Januari 2019, oleh Teman Sejawat",['SD'],Keawetan dan Stabilitas Dimensi Papan Partikel Hibrida Bambu-Kayu dengan Perlakuan Steam dan Perendaman Panas,show,8,other,['FP12'],"[{'id': 'wahyu.hidayat@fp.unila.ac.id', 'name': {'given': 'Wahyu', 'family': 'Hidayat', 'honourific': None, 'lineage': None}}, {'name': {'given': 'Intan Fajar', 'honourific': None, 'family': 'Suri', 'lineage': None}, 'id': None}, {'name': {'given': 'Rahmat', 'lineage': None, 'honourific': None, 'family': ""Safe'i""}, 'id': 'rahmat.safei@fp.unila.ac.id'}, {'name': {'family': 'Wulandari', 'honourific': None, 'lineage': None, 'given': 'Christine'}, 'id': 'christine.wulandari@fp.unila.ac.id'}, {'id': 'wisnu.satyajaya@fp.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Satyajaya', 'given': 'Wisnu'}}, {'name': {'honourific': None, 'family': 'Febryano', 'lineage': None, 'given': 'Indra Gumay'}, 'id': 'indragumay@yahoo.com'}, {'id': None, 'name': {'given': 'Fauzi', 'lineage': None, 'family': 'Febrianto', 'honourific': None}}]",disk0/00/02/40/80,2020-09-21 03:32:48,227,2020-09-21 03:32:48,"[{'docid': 37782, 'main': '8-Peer review_JITKT_Keawetan_RS.pdf', 'files': [{'objectid': 37782, 'uri': 'http://repository.lppm.unila.ac.id/id/file/219279', 'datasetid': 'document', 'filesize': 617267, 'fileid': 219279, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-09-18 15:25:35', 'filename': '8-Peer review_JITKT_Keawetan_RS.pdf', 'hash': '773b73d60a16e5a3964997dd25a7022d'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37782', 'eprintid': 24080, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf'}]",Fakultas Kehutanan Universitas Hasanuddin,pub,public,http://repository.lppm.unila.ac.id/id/eprint/24080,,,,,,,,,,
4,15143,2019-11-04 08:25:54,archive,"The concept of Eco Fishing Port is a fisheries port management concept that not only pays attention to economic and social aspects, but also the ecological aspects in its management. The purpose of this study was to assess the feasibility of Lempasing Beach Coastal Fishing Port in Lampung as an Eco Fishing Port. Data collection was done by interview, observation, and study documentation. The data obtained were analyzed based on the criteria and indicators of Eco Fishing Port management and were subsequently described descriptively qualitative. The results showed that the Lempasing Coast Fishing Port has not yet met the requirements as an Eco Fishing Port. This can be seen from the following indicators: (1) No environmental management documents and no application of them in the management of fishing ports, and also no EIA / UKL-UPL documents, (2) No integrated waste treatment facilities, (3) Not enough public service infrastructure facilities components (trash / drainage / kiosk / canteen / shop / restaurant management), (4) Little attention to the environment in the management of fishing ports (ecological, social, economic, and economic growth of the port), and (5) Little attention to sanitation and hygiene of fish marketing places (construction sites and spatial planning of fish marketing buildings in accordance with the Sanitation Operational Procedure Standard.

Keywords: Eco Fishing Port, Feasibility, Lempasing Lampung Beach Fishing Port, Fish Marketing Places.",['SH'],FEASIBILITY STUDY OF LEMPASING BEACH COASTAL FISHING PORT AS AN ENVIRONMENTALLY FRIENDLY FISHING PORT (ECO FISHING PORT),show,20,conference_item,['FP12'],"[{'name': {'lineage': None, 'family': 'Karuman', 'honourific': None, 'given': 'Zainal'}, 'id': 'zainalk22@yahoo.com'}, {'id': 'indragumay@yahoo.com', 'name': {'family': 'Febryano', 'honourific': None, 'lineage': None, 'given': 'Indra Gumay'}}, {'id': 'epwahono@eng.unila.ac.id', 'name': {'given': 'Endro Prasetyo', 'lineage': None, 'family': 'Wahono', 'honourific': None}}, {'id': 'uya.jujun@gmail.com', 'name': {'lineage': None, 'family': 'Nurcahyani', 'honourific': None, 'given': 'Nuning'}}, {'name': {'lineage': None, 'family': 'Damai', 'honourific': None, 'given': 'Abdullah Aman'}, 'id': 'damaisasa@yahoo.com'}, {'name': {'honourific': None, 'family': 'Abidin', 'lineage': None, 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",disk0/00/01/51/43,2019-11-04 08:25:54,591,2019-11-04 08:25:54,"[{'main': 'PAPER ECO FISHING PORT REVISI 1-2 - IN ENGLISH 2 final 3.docx', 'docid': 28281, 'files': [{'objectid': 28281, 'uri': 'http://repository.lppm.unila.ac.id/id/file/130276', 'datasetid': 'document', 'filesize': 229723, 'fileid': 130276, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'mtime': '2019-11-03 21:39:42', 'hash_type': 'MD5', 'filename': 'PAPER ECO FISHING PORT REVISI 1-2 - IN ENGLISH 2 final 3.docx', 'hash': '02469b55322ceffacf081a6498deb450'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28281', 'rev_number': 1, 'eprintid': 15143, 'security': 'public', 'placement': 1, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en'}, {'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 15143, 'placement': 2, 'security': 'public', 'pos': 2, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/28283', 'rev_number': 1, 'main': 'LOA_Zainal K et al_Unila.pdf', 'docid': 28283, 'files': [{'mime_type': 'application/pdf', 'fileid': 130298, 'filename': 'LOA_Zainal K et al_Unila.pdf', 'hash': 'd7c2532b9f0bd5d857f38aef3881f279', 'mtime': '2019-11-03 21:56:13', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 148296, 'objectid': 28283, 'uri': 'http://repository.lppm.unila.ac.id/id/file/130298'}]}]",,unpub,public,http://repository.lppm.unila.ac.id/id/eprint/15143,,,,paper,TRUE,26-27 Agustus 2019,conference,"The 4th International Conference on Social, Humanities, Economics, Law and Development (SHIELD 2019)",Bandar Lampung,
5,52404,2023-08-21 02:46:18,archive,"Being a 
threatened ecosystem of the world, mangroves require regular monitoring to identify areas that need improvement in conservation 
measures. Considering this, the present study aimed to assess the mangrove cover and density change in mangrove forest of Tulang 
Bawang District, Lampung Province, Indonesia. Data was collected by remote sensing techniques using satellite imagery viz., Landsat 5 
in 2000 and 2010 and Landsat 8 in 2020. It was then analyzed using remote sensing method, namely Object-Based Image Analysis
techniques using the unguided classification method to obtain mangrove cover data; while mangrove density information was obtained 
using the Normalized Difference Vegetation Index algorithm. The results revealed the decrease in mangrove cover and density between
2000 and 2020. The mangrove cover decreased from 7529 ha in 2000 to 5551 ha in 2020. Furthermore, density of mangrove forest has 
also witnessed change from dense density class in 2000 to medium density class in 2020. From this result, it is evident that mangroves 
of East Rawajitu Sub-district are degrading and require focused efforts to prevent the degradation. Communities, entrepreneurs, and 
governments have different motives for utilizing mangrove forests that result in damage, so reasonable efforts are needed to manage 
mangrove forests sustainably","['GE', 'SD']","Similarity paper berjudul""Satellite based analysis of mangrove cover and density change in 
mangroves of Tulang Bawang District, Lampung Province, Indonesia""",show,9,other,['FP12'],"[{'name': {'given': 'Hari', 'lineage': None, 'honourific': None, 'family': 'Kaskoyo'}, 'id': 'hari.kaskoyo@fp.unila.ac.id'}, {'name': {'family': 'Hartati', 'honourific': None, 'lineage': None, 'given': 'Ferli'}, 'id': 'ferlihartati@gmail.com'}, {'name': {'given': 'Samsul', 'honourific': None, 'family': 'Bakri', 'lineage': None}, 'id': 'samsul.bakri@fp.unila.ac.id'}, {'id': 'indragumay@yahoo.com', 'name': {'given': 'Indra Gumay', 'honourific': None, 'family': 'Febryano', 'lineage': None}}, {'name': {'lineage': None, 'family': 'Dewi', 'honourific': None, 'given': 'Bainah Sari'}, 'id': None}]",disk0_bak/00/05/24/04,2023-08-21 02:46:18,753,2023-08-21 02:46:18,"[{'main': 'SATELLITE BASED ANALYSIS (S).pdf', 'docid': 253868, 'files': [{'mime_type': 'application/pdf', 'fileid': 621120, 'filename': 'SATELLITE BASED ANALYSIS (S).pdf', 'hash': '11f8cec59b8a3ec3f78b451357894afe', 'hash_type': 'MD5', 'mtime': '2023-08-20 13:31:32', 'datasetid': 'document', 'filesize': 1420360, 'objectid': 253868, 'uri': 'http://repository.lppm.unila.ac.id/id/file/621120'}], 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/253868', 'rev_number': 1, 'eprintid': 52404, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]","Departemen Biologi, FMIPA Universitas Sebelas Maret",pub,public,http://repository.lppm.unila.ac.id/id/eprint/52404,,,,,,,,,,
6,47972,2023-01-24 01:42:48,archive,"ABSTRACT: The sanitarian worker’s compliance on fulfiling the guidline on medical waste treatment until nowadys have not yet been elucidated especially for whom employed in the district health care centres. Thi issue was come to be extreemly important in relation to their duties include to manage the hazardeous and toxic waste produce by district health care centre (puskesmas). The aim of this research was to develop a model of sanitarian’s worker compliance on the procedure for medical waste management. Ordinal Logistic 
Regression was aplied as the postulat which respon variable was [Y]i that scored by 0, 1,or 2 as represents for non, fair, or high compliant respectively to follow the precedure of managing the materials of hazardous an toxic waste. The predictor variables were included of age, gender, and knowledge sanitarian workers acompanied with of the performance of the facility, licency holding, and the survilience. Data were collected by interviewing and 
observing of 22 puskesmas owened by the Authorities of Metro and Central Lampung Municipalities. The result sugested that: (1) The Model was realiable for predicting the 
complience of the sanitarian workerwer’s complience by the 6 predictor variables, (2) The sanitarian workers. compliance (a) were not affected by age, gender, or the licence holding, 
but (b) were reduce significatly by merely 0,09 (P-value =0.025), (c) by 0,18 (P�value=0.062), by 0.07 (P-value=0.064) with their knowlege achievement, the quality of puskesmas’ facilities, and the supervion performace respectively. 
Keywords: compliance, sanitarian, medical waste, hazardeous and toxic material guide line","['GE', 'RA0421']","4% Overall Similarity of the paper entitled ""SANITARIAN WORKERS’ COMPLIANCE ON THE MEDICAL WASTE TREATMENT PROCEDURE: 
STUDY IN HEALTH CENTERS OF METRO MUNICIPALITY AND CENTRAL LAMPUNG REGENCY """,show,9,other,['FP12'],"[{'id': None, 'name': {'honourific': None, 'family': 'Kuswantari', 'lineage': None, 'given': 'Arie'}}, {'name': {'given': 'Agus', 'honourific': None, 'family': 'Setiawan', 'lineage': None}, 'id': 'aslulila@yahoo.com'}, {'name': {'honourific': None, 'family': 'Martin', 'lineage': None, 'given': 'Yul'}, 'id': 'yulmartin@eng.unila.ac.id'}, {'id': 'samsul.bakri@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Bakri', 'honourific': None, 'given': 'Samsul'}}]",disk0_bak/00/04/79/72,2023-01-24 01:42:48,753,2023-01-24 01:42:48,"[{'mime_type': 'application/pdf', 'language': 'en', 'placement': 1, 'security': 'public', 'eprintid': 47972, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187086', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/524665', 'objectid': 187086, 'mtime': '2023-01-23 10:03:22', 'hash_type': 'MD5', 'filename': 'P 14. Sanitarian_4%.pdf', 'hash': '94a0c0c9e52b4e22500c47397c58bfa9', 'fileid': 524665, 'mime_type': 'application/pdf', 'filesize': 225658, 'datasetid': 'document'}], 'main': 'P 14. Sanitarian_4%.pdf', 'docid': 187086}]",LPPM Unila,pub,public,http://repository.lppm.unila.ac.id/id/eprint/47972,published,Bandar Lampung,,,,,,,,
7,11822,2019-05-08 07:27:53,archive,"The development of people's cattle farms in addition to providing a positive impact on the people's economy but can also cause acute negative impacts on the environment, especially in sanitation and public health, considering that the people's business in general is integrated with the place of residence. Cattle waste contains a high amount of organic matter and nitrogen, besides that cow cattle waste also contains phosphate, sulfur and other elements and bacteriologically cattle waste generally contains Coliform bacteria whose members can cause diarrheal disease. This study aims to determine the factors that influence the contamination of Coli bacteria in well water in a farmer who maintains conventional cattle in the Natar and Jati Agung, subdistricts of South Lampung District. Through linear regression analysis, the results of this study indicate that the distance of the cage to the well, the number of cattle and the position of the well below the cage are significant factors that influence the number of Coli bacteria
with P-value 0.000, 0.003 and 0.079.",['S1'],PENGARUH LINGKUNGAN BIOFISIK KANDANG PETERNAKAN SAPI TRADISIONAL TERHADAP CEMARAN BAKTERI COLI DALAM AIR SUMUR,show,6,article,['FP12'],"[{'name': {'lineage': None, 'family': 'Nufiani', 'honourific': None, 'given': 'Nanik'}, 'id': None}, {'name': {'lineage': None, 'honourific': None, 'family': 'Utomo', 'given': 'Muhajir'}, 'id': 'muhajir.utomo@fp.unila.ac.id'}, {'name': {'family': 'Bakri', 'honourific': None, 'lineage': None, 'given': 'Samsul'}, 'id': 'samsul.bakri@fp.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Fathul', 'honourific': None, 'given': 'Farida'}, 'id': 'farida.1959@fp.unila.ac.id'}]",disk0/00/01/18/22,2019-05-08 07:27:53,753,2019-05-08 07:27:53,"[{'main': '[1] SNB_NANIK NUFIANI dkk_NIVERSITAS LAMPUNG.pdf', 'docid': 24813, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/106404', 'objectid': 24813, 'filesize': 388313, 'datasetid': 'document', 'hash': '818312ae31918320cb21118a43d848fb', 'filename': '[1] SNB_NANIK NUFIANI dkk_NIVERSITAS LAMPUNG.pdf', 'hash_type': 'MD5', 'mtime': '2019-05-06 21:32:31', 'mime_type': 'application/pdf', 'fileid': 106404}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24813', 'eprintid': 11822, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",,inpress,public,http://repository.lppm.unila.ac.id/id/eprint/11822,submitted,,,,TRUE,,,,,Prosiding Seminar Nasional  Biologi 4 bertema: “Pemanfaatan Biodiversitas dan Bioteknologi untuk Pelestarian Lingkungan”
8,11816,2019-05-08 07:26:34,archive,"Peran ekosistem perairan terestrial dalam menopang penghidupan masyarakat
telah banyak di singkapkan melalui berbagai penelitian, namun belum banyak
yang melaporkan pengaruhnya terhadap kejadian malaria. Penelitian ini
menggunakan pendekatan pemodelan postulat linear yaitu OLS: Ordibary least
Square dengan tujuan untuk menentukan pengaruh perairan terestris (termasuk
sungai & danau, rawa-rawa, sawah, tambak, dan mangrove) terhadap Annual
parasite Index sebagai variabel respon [API]i,t pada tiap kabupate/kota yang ke i
yang ada di lingkup Provinsi Lampung pada tahun ke t (dimana t=2009, 2012 dan
2015). Penelitian ini dilakukan di lingkup Provinsi Lampung mulai bulan
Oktober-Maret 2018. Data API dikumpulkan Dinas Kesehatan Provinsi Lampung.
Data proporsi perairan terestris dan penggunaan lahan lainnya diunduh dari situs
www.earthexplorer.usgs.gov kemudian diekstrak melalui interpretasi citra landsat
ETM+7 dan divalidasi melalui pengecekan lapangan terhadap senua poligon
dihasilkan dengan menggunakan piranti lunak ArcGIS versi 10.3 dan ENVI versi
5.4. Analisis data dan pemodelan di Laboratorium Inventarisasi dan Pemetaan
Sumberdaya Hutan Universitas Lampung. Untuk optimasi paameter dan uji
hipotesis digunakan piranti lunak pengolah data statistik pada taraf nyata 10%.
Kesimpulan bahwa ekosistem perairan terestris yang bepengaruh nyata dalam (a)
penurunan API adalah badan perarian (sungai, danau dan waduk) dan tambak, (b)
peningkatan API adalah sawah, dan hutan mangrove. Saran yang diajukan: agar
melakukan validasi dengan melakukan penelitian yang serupa di provisi lain",['SD'],PERANAN EKOSISTEM PERAIRAN TERESTRIAL TERHADAP INSIDENSI PENYAKIT MALARIA: STUDI DI PROVINSI LAMPUNG,show,6,article,['FP12'],"[{'id': None, 'name': {'lineage': None, 'family': 'Pelita', 'honourific': None, 'given': 'Anita'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Suwandi', 'given': 'Jhons Fatriyadi'}, 'id': 'yadisuwandi04@gmail.com'}, {'name': {'given': 'Samsul', 'lineage': None, 'family': 'Bakri', 'honourific': None}, 'id': 'samsul.bakri@fp.unila.ac.id'}, {'name': {'family': 'Riniarti', 'honourific': None, 'lineage': None, 'given': 'Melya'}, 'id': 'melya.riniarti@fp.unila.ac.id'}]",disk0/00/01/18/16,2019-05-08 07:26:34,753,2019-05-08 07:26:34,"[{'placement': 1, 'security': 'public', 'eprintid': 11816, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'datasetid': 'document', 'filesize': 583667, 'mime_type': 'application/pdf', 'fileid': 106354, 'hash': '9b5ca105a26edd959533e06cc1986cc0', 'filename': '[1] Anita Pelita dkk_Hari Air Sedunia_Palembang_MIL Unila.pdf', 'mtime': '2019-05-06 14:19:16', 'hash_type': 'MD5', 'objectid': 24805, 'uri': 'http://repository.lppm.unila.ac.id/id/file/106354'}], 'docid': 24805, 'main': '[1] Anita Pelita dkk_Hari Air Sedunia_Palembang_MIL Unila.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24805', 'pos': 1, 'format': 'text'}]","Program Pascasarjana Universitas Sriwijaya, Palembang",inpress,public,http://repository.lppm.unila.ac.id/id/eprint/11816,submitted,,,,TRUE,,,,,Prosiding  Seminar Nasional Hari Air Dunia 2019
9,15149,2019-11-05 10:59:13,archive,"Fisherman insurance program is one of the government's policies to protect fishermen in their work. This study aims to explain the attitude response of fishermen to fishermen insurance programs. The sampling technique used is non probability sampling using the method of judgment sampling approach, which is based on certain criteria that have been determined in advance by the researcher. The research samples were 96 fishermen who were determined by the Slovin method. The results of the study were analyzed by the Fishbein Multiattribute Analysis Model and described descriptively. The attitude of fishermen to Fisherman Insurance is between the neutral and maximum attitude values. The level of attribute importance that is considered very important for fishermen is that premium subsidies are inversely proportional to the level of performance that is not good at this attribute. There needs to be a review of the policies of fishermen insurance programs so they can be in accordance with the things that are considered, most important for fishermen so that they can increase the awareness of fishermen in self-protection.    

Keyword: Fisherman Insurance, Fishermen, Risk, Response attitude",['SH'],"Analysis of Fishermen Attitude Response on Fisheries Insurance in Bandar Lampung City, Lampung Province",show,10,conference_item,['FP12'],"[{'name': {'lineage': None, 'family': 'Rona', 'honourific': None, 'given': 'Mutiara'}, 'id': 'mutiara.rona93@gmail.com'}, {'id': 'indragumay@yahoo.com', 'name': {'given': 'Indra Gumay', 'lineage': None, 'family': 'Febryano', 'honourific': None}}, {'name': {'given': 'Abdullah Aman', 'lineage': None, 'honourific': None, 'family': 'Damai'}, 'id': 'damaisasa@yahoo.com'}, {'name': {'given': 'Hartoyo', 'honourific': None, 'family': 'Hartoyo', 'lineage': None}, 'id': None}, {'name': {'given': 'Erna', 'lineage': None, 'family': 'Rochana', 'honourific': None}, 'id': None}]",disk0/00/01/51/49,2019-11-05 10:59:13,591,2019-11-05 10:59:13,"[{'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 15149, 'security': 'public', 'placement': 1, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28288', 'rev_number': 1, 'main': 'LoA ICMACES a.n Mutiara Rona.pdf', 'docid': 28288, 'files': [{'filesize': 69800, 'datasetid': 'document', 'mtime': '2019-11-03 22:13:28', 'hash_type': 'MD5', 'filename': 'LoA ICMACES a.n Mutiara Rona.pdf', 'hash': '2d54138cd7900de309ea846d40ee0cc7', 'fileid': 130324, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/130324', 'objectid': 28288}]}, {'main': 'full paper seminar icmaces.pdf', 'docid': 28502, 'files': [{'datasetid': 'document', 'filesize': 637562, 'fileid': 132713, 'mime_type': 'application/pdf', 'mtime': '2019-11-04 10:16:57', 'hash_type': 'MD5', 'hash': 'ea51b7d4e137bacab1cd962a8341cc5e', 'filename': 'full paper seminar icmaces.pdf', 'objectid': 28502, 'uri': 'http://repository.lppm.unila.ac.id/id/file/132713'}], 'pos': 2, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28502', 'eprintid': 15149, 'placement': 2, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",,inpress,public,http://repository.lppm.unila.ac.id/id/eprint/15149,,,,paper,TRUE,23-24 Agustus 2019,conference,The International Conference on Marine and Coastal Engineering and Sciences (ICMACES 2019),Bandar Lampung,
