,eprintid,date_type,eprint_status,abstract,subjects,official_url,type,divisions,date,corp_creators,lastmod,datestamp,publisher,ispublished,number,contributors,related_url,status_changed,title,metadata_visibility,rev_number,volume,creators,issn,publication,dir,userid,pagerange,documents,refereed,full_text_status,uri,pres_type,event_dates,event_type,event_title,event_location
0,6760,published,archive,"This study aimed to determine the effect of straw space with liquid nitrogen on pre freezingprocess and the best straw space to the quality of frozen semen of Limousin Cows so that they areappropriate for Artificial Insemination process. This study was conducted in Regional TechnicalService Unit-Regional Artificial Insemination Office Lampung, Terbanggi Besar District, CentralLampung Regency, Lampung Province on 7th—13 th April 2014. The Completely RandomizedDesign (CRD) was used is these research with five treatments of straw spaces, 2 cm, 4 cm, 6 cm, 8cm, and 10 cm, with 4 replications. The data obtained was analyzed by using variance analysisandcontinued by Polinomial Ortogonal test.The result of this study showed that the straw space was significantly (P<0,01) to the motilityand live spermatozoa after thawing. However it was not significantly (P>0,05) to the motility and livespermatozoa after pre freezing. Polinomial Ortogonal test, obtained that the straw space wassignificantly (P<0,01) to the motility and live spermatozoa after thawing, had quadratic pattern withequation of Y = - 6,50 + 12,09x – 0,89x2 ; R2 = 41,3%, with the best effect on the straw space of 6 cm,that is 34%. Besides, the straw space was also different (P<0,01) to percentage of live spermatozoaafter thawing, had quadratic pattern with equation of Y = 8,97 + 8,81x - 0,64x2 ; R2 = 41,3%, withthe best effect on the straw space of 6 cm, that is 38,79%.
Keywords: semen qua lity, limousin cows, stra w spa ce",['SF'],http://jurnal.fp.unila.ac.id/index.php/JIPT,article,['FP17'],1970-01-01 00:00:00.000002014,['Universitas Lampung'],2018-04-25 07:54:30,2018-04-25 07:54:30,Jurusan Peternakan Unila,pub,3.0,"[{'name': {'family': 'Hartono', 'honourific': None, 'lineage': None, 'given': 'Madi'}, 'id': 'madihartono66@yahoo.co.id'}]",[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIPT'}],2018-04-25 07:54:30,PENGARUH JARAK STRAW DENGAN NITROGEN CAIR PADA PROSES PRE FREEZING TERHADAP KUALITAS SEMEN BEKU SAPI LIMOUSIN,show,6,2.0,"[{'name': {'given': 'kOROTUL', 'lineage': None, 'honourific': None, 'family': 'AINI'}, 'id': None}, {'name': {'given': 'Madi', 'lineage': None, 'family': 'Hartono', 'honourific': None}, 'id': 'madi.hartono@fp.unila.ac.id'}, {'name': {'given': 'Sri', 'honourific': None, 'family': 'Suharyati', 'lineage': None}, 'id': None}]",2303 1956,JURNAL ILMIAH PETERNAKAN TERPADU,disk0/00/00/67/60,787,62-70,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 6760, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19727', 'rev_number': 1, 'docid': 19727, 'main': 'JURNAL MH JARAK STRAW.pdf', 'files': [{'objectid': 19727, 'uri': 'http://repository.lppm.unila.ac.id/id/file/62000', 'datasetid': 'document', 'filesize': 98720, 'fileid': 62000, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-04-20 01:32:37', 'filename': 'JURNAL MH JARAK STRAW.pdf', 'hash': '64a708d656fc72e07f68c32175bddea5'}]}]",TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/6760,,,,,
1,1035,,archive,"A study was conducted    to   know performance yearling and growth of   Bali cattle.   
The performance of Bali cattle was monitored between January 2011 and December 
2013 on Padang Ratu District, Central Lampung. The average birthweight of male 
calves was 15,40 + 1,73kg and female calves 15,62 + 1,73kg. weight male calves at 
1  years was  108,95 + 21,99kg and  female  calves 105,02 + 16,72kg. Weight gains 
averaging 0,256 kg/day for male calves and female calves 0,245  kg/day",['SF'],http://semnas.polinela.ac.id/index.php/semnas2014/semnasptp,conference_item,['FP17'],2014-05-01 00:00:00.000000000,,2016-11-03 04:34:57,2016-11-03 04:34:57,,pub,,,,2016-11-03 04:34:57,"Performans Sapi  Bali Pada Periode Awal Pertumbuhan di 
Kabupaten Lampung Tengah",show,7,,"[{'id': '.', 'name': {'lineage': None, 'family': 'Adhianto', 'honourific': None, 'given': 'Kusuma'}}, {'id': None, 'name': {'honourific': None, 'family': 'A Syukur', 'lineage': None, 'given': 'Dadam'}}]",,,disk0/00/00/10/35,444,611-617,"[{'eprintid': 1035, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en', 'docid': 925, 'main': 'Makalah terbit 2014.pdf', 'files': [{'objectid': 925, 'uri': 'http://repository.lppm.unila.ac.id/id/file/6696', 'mime_type': 'application/pdf', 'fileid': 6696, 'filename': 'Makalah terbit 2014.pdf', 'hash': 'a23757d8ffadaf8c4a78cf892a0b95e6', 'mtime': '2016-11-02 03:59:28', 'hash_type': 'MD5', 'datasetid': 'document', 'filesize': 473924}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/925'}]",TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/1035,paper,24 Mei 2014,conference,Prosiding Seminar Nasional  Pengembangan Teknologi Pertanian,Bandarlampung
2,1036,,archive,"A study was conducted    to   know performance yearling and growth of   Bali cattle.   
The performance of Bali cattle was monitored between January 2011 and December 
2013 on Padang Ratu District, Central Lampung. The average birthweight of male 
calves was 15,40 + 1,73kg and female calves 15,62 + 1,73kg. weight male calves at 
1  years was  108,95 + 21,99kg and  female  calves 105,02 + 16,72kg. Weight gains 
averaging 0,256 kg/day for male calves and female calves 0,245  kg/day",['SF'],http://semnas.polinela.ac.id/index.php/semnas2014/semnasptp,conference_item,['FP17'],2014-05-01 00:00:00.000000000,,2016-11-03 04:34:59,2016-11-03 04:34:59,,pub,,,,2016-11-03 04:34:59,"Performans Sapi  Bali Pada Periode Awal Pertumbuhan di 
Kabupaten Lampung Tengah",show,7,,"[{'name': {'family': 'Adhianto', 'honourific': None, 'lineage': None, 'given': 'Kusuma'}, 'id': '.'}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'A Syukur', 'given': 'Dadam'}}]",,,disk0/00/00/10/36,444,611-617,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/926', 'docid': 926, 'main': 'Makalah terbit 2014.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/6703', 'objectid': 926, 'filesize': 473924, 'datasetid': 'document', 'filename': 'Makalah terbit 2014.pdf', 'hash': 'a23757d8ffadaf8c4a78cf892a0b95e6', 'mtime': '2016-11-02 04:07:54', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 6703}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 1036, 'placement': 1, 'security': 'public'}]",TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/1036,paper,24 Mei 2014,conference,Prosiding Seminar Nasional  Pengembangan Teknologi Pertanian,Bandarlampung
3,1034,,archive,"The goal of this study to determine the effect of addition concentrate on boerawa goat against performance production keep by farmer in intensive about 8 months old with an average initial weight of 21 kg. The research is divided into 4 treatment groups with 1 control. Addition of concentrate given since the beginning of the study, for preliminery and treatment it’s about 5 months.The results showed that the addition of different concentrate level are not significantly affected performance production, such as ADG (R0; 0,13+0,01, R1; 0,16+0,02, R2; 0,16+0,03, and R3; 0,15+0,03) and feed conversion (R0; 7,19+1,47, R1; 6,237+1,21, R2; 6,29+1,12, and R3; 6,34+1,27). IOFC showed that addition concentrate is more efisien than control (R0; 349.106+70.372, R1; 440.957 +75.178, R2; 441.204 +10.3734, and R3; 430.801+80.455)",['SF'],http://aaap2014.ugm.ac.id,conference_item,['FP17'],2014-11-01 00:00:00.000000000,,2016-11-03 04:34:54,2016-11-03 04:34:54,,pub,,,,2016-11-03 04:34:54,Effect of Addition Concentrate on Boerawa Goat against Performance Production Keep by farmer in Intensive System,show,8,,"[{'id': '.', 'name': {'honourific': None, 'family': 'Adhianto', 'lineage': None, 'given': 'Kusuma'}}, {'id': None, 'name': {'family': 'Ngadiyono', 'honourific': None, 'lineage': None, 'given': 'Nono'}}, {'name': {'given': 'IGS', 'family': 'Budisatria', 'honourific': None, 'lineage': None}, 'id': None}, {'name': {'given': 'Kustantinah', 'honourific': None, 'family': 'Kustantinah', 'lineage': None}, 'id': None}]",,,disk0/00/00/10/34,444,927-930,"[{'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/924', 'format': 'text', 'pos': 1, 'files': [{'filesize': 193881, 'datasetid': 'document', 'hash': '9a967f8e39f22fededa179ed1b07bbdc', 'filename': '240-E 296 ID.pdf', 'hash_type': 'MD5', 'mtime': '2016-11-02 02:59:03', 'mime_type': 'application/pdf', 'fileid': 6688, 'uri': 'http://repository.lppm.unila.ac.id/id/file/6688', 'objectid': 924}], 'docid': 924, 'main': '240-E 296 ID.pdf', 'language': 'en', 'mime_type': 'application/pdf', 'security': 'public', 'placement': 1, 'eprintid': 1034}]",TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/1034,paper,10-14 Nopember 2014,conference,The 16th AAAP Animal Science Congress Vol. II,Yogyakarta
4,6757,published,archive,"This research used 287 cattle cows owned by 198 breeders, involve 3 sub-districts in Central Lampung District. This research aimed to determine factors affecting conception rate after oestrous synchronization in cattle cows in Central Lampung District, Lampung Province in November 2012-Februari 2013.
The result of this research showed that the conception rate cattle cows after oestrous synchronization in Central Lampung District was 60,53 %, included in less good category.  The factors affecting conception rate after oestrous synchronization in Central Lampung District were the amount of pasture given which positively associate with the factor amount of 0,020, the shape of cage wall which negatively associate with the factor amount of 1,473, the material of cage floor which positively associate with the factor amount of 0,701, the cage width which negatively associate with the factor amount of 0,062, & the breeding long time which positively associate with the factor amount of 0,057.

Keywor ds: conception r a te, ca ttle cows, oestr ous synchr oniza tion, fa ctor s",['SF'],http://jurnal.fp.unila.ac.id/index.php/JIPT,article,['FP17'],2014-07-02 00:00:00.000000000,['Universitas Lampung'],2018-04-25 06:41:31,2018-04-25 06:41:31,Jurusan Peternakan Unila,pub,2.0,"[{'id': 'madihartono66@yahoo.co.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Hartono', 'given': 'Madi'}}]",[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIPT'}],2018-04-25 06:41:31,FAKTOR-FAKTOR YANG MEMENGARUHI ANGKA KEBUNTINGAN (CONCEPTION RATE) PADA SAPI POTONG SETELAH DILAKUKAN SINKRONISASI ESTRUS DI KABUPATEN LAMPUNG TENGAH,show,6,2.0,"[{'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Arif', 'given': 'Zulvi Al'}}, {'name': {'given': 'Madi', 'honourific': None, 'family': 'Hartono', 'lineage': None}, 'id': 'madi.hartono@fp.unila.ac.id'}, {'name': {'given': 'Sri', 'lineage': None, 'family': 'Suharyati', 'honourific': None}, 'id': None}]",2303 1956,JURNAL ILMIAH PETERNAKAN TERPADU,disk0/00/00/67/57,787,22-26,"[{'docid': 19725, 'main': 'Jurnal MH Conception Rate.pdf', 'files': [{'filename': 'Jurnal MH Conception Rate.pdf', 'hash': '0cb170149ee975be8d9c5b35f786cf48', 'mtime': '2018-04-19 13:54:14', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 61986, 'filesize': 82698, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/61986', 'objectid': 19725}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19725', 'eprintid': 6757, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/6757,,,,,
5,6787,published,archive,"The research aimed to: (1) determine the effect of parities on the precentage of estrous andconception of Bali cows after estrous synchronization with prostaglandin F2α (PGF2α) injectiontwice; (2) determine the best parity of Bali cows after estrous synchronization with prostaglandinF2α (PGF2α) injection twice from the various parities of Bali cows.The research was held in November until February 2013, located in Sukoharjo II Village,Sukoharjo District, Pringsewu Regency. This research used Completely Randomized Design(CRD) with three treatments and four repetitions. The treatments were Bali heifers (P0); Bali cowswhich have calved once (P1); and Bali cows which have calved twice (P2). Hormone used for thesynchronization was Juramate® with doses of 500 μg/cow or 2 ml/cow intramuscularly. Data ofpercentage of estrous and conception was analyzed by using Chi-square on significant level of 5%.The result of the research showed that estrous percentages after prostaglandin F2α (PGF2α)injection twice of Bali Cows P0, P1, P2 were 100%. The conception percentage of Bali cows P0, P1,P2 in a row were 100%; 75%; 75%. Based on the advanced test of Chi-square, parity was notsignificantly different (P>0,05) on the percentage of estrous and conception of Bali cows after theprostaglandin F2α (PGF2α) injection twice.",['SF'],http://jurnal.fp.unila.ac.id/index.php/JIPT,article,['FP17'],1970-01-01 00:00:00.000002014,['Universitas Lampung'],2018-04-25 06:38:34,2018-04-25 06:38:34,Jurusan Peternakan Unila,pub,1.0,"[{'id': 'madihartono66@yahoo.co.id', 'name': {'given': 'Madi', 'lineage': None, 'honourific': None, 'family': 'Hartono'}}]",[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIPT'}],2018-04-25 06:38:34,PENGARUH PARITAS TERHADAP PERSENTASE ESTRUS DAN KEBUNTINGAN PADA SAPI BALI YANG DISINKRONISASI ESTRUS DENGAN DUA KALI PENYUNTIKAN PROSTAGLANDIN F2α (PGF2α),show,6,2.0,"[{'name': {'given': 'Rojab', 'family': 'Fadillah', 'honourific': None, 'lineage': None}, 'id': None}, {'id': None, 'name': {'given': 'Sri', 'honourific': None, 'family': 'Suharyati', 'lineage': None}}, {'id': 'madi.hartono@fp.unila.ac.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Hartono', 'given': 'Madi'}}]",2303 1956,JURNAL ILMIAH PETERNAKAN TERPADU,disk0/00/00/67/87,787,33-38,"[{'docid': 19756, 'main': 'JURNAL MH KEBUNTINGAN.pdf', 'files': [{'objectid': 19756, 'uri': 'http://repository.lppm.unila.ac.id/id/file/62168', 'fileid': 62168, 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2018-04-20 06:12:35', 'filename': 'JURNAL MH KEBUNTINGAN.pdf', 'hash': '8feb96a13ec0cd6f7564f43ca759be9a', 'datasetid': 'document', 'filesize': 116127}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19756', 'rev_number': 1, 'eprintid': 6787, 'security': 'public', 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en'}]",TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/6787,,,,,
6,6784,published,archive,"The research aimed to: (1) determine the response of estrous onset of Ongole Offspring at thevarious parities after the injection of prostaglandin F2α (PGF2α) twice; (2) determine the responseof estrous duration of Ongole Offspring at the various parities after the injection of prostaglandinF2α (PGF2α) twice. The research was held in November until December 2012, located in PunggurDistrict, Central Lampung Regency, Lampung Province. This research used CompletelyRandomized Design (CRD) with three treatments and four replications. The treatments wereOngole Offspring heifers (P0); Ongole Offspring which have calved once (P1); and OngoleOffspring which have calved twice (P2). The variables observed was performed statistically byanalysis of variance on level of 5% or 1%. The result of the research showed that parity was notsignificantly different (P>0,05) on the estrous onset and the estrous duration of Ongole Offspringat the various parities after prostaglandin F2α (PGF2α) injection twice. The estrous onset ofOngole Offspring at the various parities after the injection of prostaglandin F2α (PGF2α) twice P0,P1, P2 in a row were 45,57; 43,26; 52,53 hours, whereas the estrous duration of Ongole OffspringPO P0, P1, P2 in a row were 13,58; 18,65; 15,72 hours.

Key words: Ongole Offspring,  Estrous, Estrous Synchronization, PGF2α,  Parities",['SF'],http://jurnal.fp.unila.ac.id/index.php/JIPT,article,['FP17'],1970-01-01 00:00:00.000002014,['Universitas Lampung'],2018-04-25 07:46:56,2018-04-25 07:46:56,Jurusan Peternakan Unila,pub,1.0,"[{'name': {'given': 'Madi', 'family': 'Hartono', 'honourific': None, 'lineage': None}}]",[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIPT'}],2018-04-25 07:46:56,RESPON KECEPATAN TIMBILNYA ESTRUS DAN LAMA ESTRUS PADA BERBAGAI PARITAS SAPI PERANAKAN ONGOLE (PO) SETELAH DUA KALI PENYUNTIKAN PROSTAGLANDIN F2α (PGF2α),show,6,2.0,"[{'id': None, 'name': {'given': 'S.M.', 'family': 'Irmaylin', 'honourific': None, 'lineage': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Hartono', 'given': 'Madi'}, 'id': 'madi.hartono@fp.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Santosa', 'lineage': None, 'given': 'Purnama Edy'}, 'id': None}]",2303 1956,JURNAL ILMIAH PETERNAKAN TERPADU,disk0/00/00/67/84,787,41-49,"[{'security': 'public', 'placement': 1, 'eprintid': 6784, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'filename': 'JURNAL MH ESTRUS SAPI PO.pdf', 'hash': 'e500f2388ea7a9dc1300da680c9ef748', 'hash_type': 'MD5', 'mtime': '2018-04-20 04:21:44', 'mime_type': 'application/pdf', 'fileid': 62150, 'filesize': 147602, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/62150', 'objectid': 19753}], 'docid': 19753, 'main': 'JURNAL MH ESTRUS SAPI PO.pdf', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19753', 'format': 'text', 'pos': 1}]",TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/6784,,,,,
7,6765,published,archive,"The aim of this research was to determine the lest temperature and durations of thawing athigh altitudes in frozen semen of Brahman bull. This research conducted in 8-27 March 2014. Thisresearch was conducted using a completely randomized design (CRD) with 3x3 factorial. The firstfactorial is temperature (34oC, 37oC, and 40oC) and second factorial is thawing durations with 3replications. Variables were deserved in this researchs the percentage of alive sperm and spermmotility. Research data was analyzed by Anova and Duncan test at 5%.The result showed that the temperatures and thawing durations influence the quality ofBrahman bull frozen semen, but has no interaction between them. Of this this research, the bestquality of spermatozoa obtained at 40oC and the 20 second duration of thawing has the highest qualityaverage among the other treatments. Motility of spermatozoa at 40oC is 33,89% and thawing durationat 20 second is 35,56%, the percentage of alive sperm at 40oC is 37,04% and the duration of thawingat 20 second is 35,43%.

Keyword : temperature and durations of thawing,  frozen semen, Brahman bull, high altitudes.",['SF'],http://jurnal.fp.unila.ac.id/index.php/JIPT,article,['FP17'],1970-01-01 00:00:00.000002014,['Universitas Lampung'],2018-04-25 07:53:16,2018-04-25 07:53:16,Jurusan Peternakan Unila,pub,3.0,"[{'id': 'madihartono66@yahoo.co.id', 'name': {'given': 'Madi', 'honourific': None, 'family': 'Hartono', 'lineage': None}}]",[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIPT'}],2018-04-25 07:53:16,PENGARUH SUHU DAN LAMA THAWING DI DATARAN TINGGI TERHADAP KUALITAS SEMEN BEKU SAPI BRAHMAN,show,6,2.0,"[{'id': None, 'name': {'honourific': None, 'family': 'Ningrum', 'lineage': None, 'given': 'Sherly Puspa'}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Hartono', 'given': 'Madi'}, 'id': 'madi.hartono@fp.unila.ac.id'}, {'name': {'given': 'Purnama Edy', 'lineage': None, 'family': 'Santosa', 'honourific': None}, 'id': None}]",2303 1956,JURNAL ILMIAH PETERNAKAN TERPADU,disk0/00/00/67/65,787,103-107,"[{'docid': 19732, 'main': 'JURNAL MH THAWING DATARAN TINGGI.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/62030', 'objectid': 19732, 'filename': 'JURNAL MH THAWING DATARAN TINGGI.pdf', 'hash': '0c5f2da613a3b520028f0256283d34b5', 'mtime': '2018-04-20 02:56:54', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'fileid': 62030, 'filesize': 74665, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19732', 'eprintid': 6765, 'placement': 1, 'security': 'public', 'mime_type': 'application/pdf', 'language': 'en'}]",TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/6765,,,,,
8,1067,,archive,"This research was conducted using a survey method in Campang Vilage, Dis
trict Gisting, Tanggamus conducted in 
June  2012.  Parameters  observed  in  this  study  that  the  characteristic  of  liv
estock  (hair  color,  face  shape  and  ear 
length)  and  body  size  (body  weight,  chest  circumference,  body  length  an
d  shoulder  height).Goat  Boerawa  G1  and 
G2 samples each 60 tail. Qualitative data on the characteristic analyzed with descriptive analyze
d, while quantitative 
data  were analyzed by T-test to determine the difference between G1 and G2 o
f each variable. Result of this study 
indicate that the  shape of the  face goat G2 Boerawa flat and thick. The average len
gth of ear G1 and G2 21,13 cm 
19,65  cm.  Chest  girth,  body  length  and  body  weight  Boerawa  male  go
at  G2  greater  than  G1:  average  chest 
circumference  78,15>  <71,97  cm  body  length  of  66,14>  <63,90cm;  w
eight  41,45>  <34,85  kg,  while  the  s houlder 
height G2 is lower than G1 the 65,77> <71,16cm.",['SF'],http://jurnal.fp.unila.ac.id/index.php/JIPT/index,article,['FP17'],2014-05-01 00:00:00.000000000,,2016-11-07 01:17:22,2016-11-07 01:17:22,Jurusan Peternakan Unila,pub,2.0,,,2016-11-07 01:17:22,"STUDI KARAKTERISTIK DAN UKURAN TUBUH ANTARA KAMBING JANTAN 
BOERAWA G1 DAN G2 PADA MASA DEWASA TUBUH  
DI DESA CAMPANG KECAMATAN GISTING  
KABUPATEN TANGGAMUS",show,7,2.0,"[{'name': {'given': 'Priyo', 'family': 'Nugroho', 'honourific': None, 'lineage': None}, 'id': None}, {'id': None, 'name': {'lineage': None, 'honourific': None, 'family': 'Harris', 'given': 'Idalina'}}, {'name': {'given': 'Kusuma', 'lineage': None, 'honourific': None, 'family': 'Adhianto'}, 'id': '.'}]",2303 1956,JURNAL ILMIAH PETERNAKAN TERPADU,disk0/00/00/10/67,444,49-53,"[{'files': [{'datasetid': 'document', 'filesize': 15121, 'mime_type': 'application/xml', 'fileid': 7046, 'filename': 465, 'hash': '8a8b1e6fe74b4780408ce80f8e11ab8a', 'hash_type': 'MD5', 'mtime': '2016-11-05 02:05:18', 'objectid': 957, 'uri': 'http://repository.lppm.unila.ac.id/id/file/7046'}], 'docid': 957, 'main': 465, 'rev_number': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/957', 'formatdesc': 'Jurnal', 'pos': 1, 'format': 'other', 'placement': 1, 'security': 'public', 'eprintid': 1067, 'language': 'id', 'mime_type': 'application/xml'}]",TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/1067,,,,,
9,6766,published,archive,"This study of the influential factors of conception rate on cattle after estrous synchronization inPringsewu Regency was held in November 2012–February 2013. This study used 278 cattlesowned by 229 breeders. This study aimed to determine the factors and factor number whichinfluenced to the conception rate after estrous synchronization in Pringsewu Regency, Province ofLampung. The method used in this study was method of census. The data analysis used in thisstudy was analysis of regression. Before doing the data analysis, coding of data of inseminatorsand breeders was done to make the analysis easier, and then being analysed on program of SPSS(Statistics Packet for Social Science). The result of this study showed that the conception rate ofbeef cattles after estrous synchronization in Pringsewu Regency was 69,42%, including in goodcategory. The factors which influenced the conception rate and associated positively were thefrequency of giving pasturage with the factor number of 3, 386, the amount of giving pasturagewith the factor number of 0,196, the shape of stable walls with the factor number of 10,371, thegiving concentrate with the factor number of 4,011, the knowledge of estrous and inseminationwith the factor number of 7,579, while associated negatively were giving water to a large numberof factors 0,181, and the knowledge of hereditary breeding with the factor number of 3,707.",['SF'],http://jurnal.fp.unila.ac.id/index.php/JIPT,article,['FP17'],1970-01-01 00:00:00.000002014,['Universitas Lampung'],2018-04-25 07:53:05,2018-04-25 07:53:05,Jurusan Peternakan Unila,pub,1.0,"[{'name': {'lineage': None, 'honourific': None, 'family': 'Hartono', 'given': 'Madi'}, 'id': 'madihartono66@yahoo.co.id'}]",[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIPT'}],2018-04-25 07:53:05,FAKTOR-FAKTOR YANG MEMPENGARUHI ANGKA KEBUNTINGAN (CONCEPTION RATE) PADA SAPI POTONG SETELAH DILAKUKAN SINKRONISASI ESTRUS DI KABUPATEN PRINGSEWU,show,6,2.0,"[{'id': None, 'name': {'given': 'Tri', 'lineage': None, 'honourific': None, 'family': 'Nurjanah'}}, {'name': {'family': 'Hartono', 'honourific': None, 'lineage': None, 'given': 'Madi'}, 'id': 'madi.hartono@fp.unila.ac.id'}, {'id': None, 'name': {'given': 'Sri', 'family': 'Suharyati', 'honourific': None, 'lineage': None}}]",2303 1956,JURNAL ILMIAH PETERNAKAN TERPADU,disk0/00/00/67/66,787,12-18,"[{'files': [{'filesize': 94793, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2018-04-20 03:05:54', 'hash': '1deedb00779f0d0290a5f23d9a09757b', 'filename': 'JURNAL MH CR SAPI PO.pdf', 'fileid': 62036, 'mime_type': 'application/pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/62036', 'objectid': 19733}], 'main': 'JURNAL MH CR SAPI PO.pdf', 'docid': 19733, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19733', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 6766, 'language': 'en', 'mime_type': 'application/pdf'}]",TRUE,public,http://repository.lppm.unila.ac.id/id/eprint/6766,,,,,
