,ispublished,number,documents,publisher,full_text_status,uri,refereed,lastmod,userid,pagerange,datestamp,publication,issn,creators,date,dir,type,divisions,official_url,title,rev_number,volume,metadata_visibility,eprint_status,status_changed,subjects,abstract,eprintid,event_type,event_dates,event_title,event_location,pres_type,place_of_pub,date_type,succeeds,contributors,corp_creators,related_url
0,pub,4.0,"[{'security': 'public', 'placement': 1, 'eprintid': 1037, 'mime_type': 'application/xml', 'language': 'en', 'files': [{'datasetid': 'document', 'filesize': 15126, 'fileid': 6710, 'mime_type': 'application/xml', 'hash_type': 'MD5', 'mtime': '2016-11-02 04:15:32', 'filename': 1005, 'hash': '14d4f83d8cbaab1eadb1826a65997bd4', 'objectid': 927, 'uri': 'http://repository.lppm.unila.ac.id/id/file/6710'}], 'main': 1005, 'docid': 927, 'formatdesc': 'jurnal', 'uri': 'http://repository.lppm.unila.ac.id/id/document/927', 'rev_number': 4, 'format': 'text', 'pos': 1}]",Jurusan Peternakan Unila,public,http://repository.lppm.unila.ac.id/id/eprint/1037,TRUE,2016-11-03 04:35:02,444,212-216,2016-11-03 04:35:02,JURNAL ILMIAH PETERNAKAN TERPADU,2303 1956,"[{'name': {'given': 'Ibnu', 'lineage': None, 'family': 'Abi Aufa', 'honourific': None}, 'id': None}, {'id': None, 'name': {'honourific': None, 'family': 'Rudiiono', 'lineage': None, 'given': 'Didik'}}, {'id': '.', 'name': {'given': 'Kusuma', 'lineage': None, 'honourific': None, 'family': 'Adhianto'}}]",2015-11-01 00:00:00.000000000,disk0/00/00/10/37,article,['FP17'],http://jurnal.fp.unila.ac.id/index.php/JIPT/index,"PENGARUH PEMBERIAN VITAMIN C TERHADAP SUSUT BOBOT DALAM 
PENGANGKUTAN SAPI DARI
LAMPUNG KE BENGKULU",8,3.0,show,archive,2016-11-03 04:35:02,['SF'],"Body weight of cattle would be lose about 10
-
30% during transportation becaus
e of stress. The condition 
affected 
on cattle business. 
V
itamin C could reduce stress, so it’s assumed that vitamin C treatment could reduce 
weight  lost
during  transportation.
An  operation 
research  was  done  on  May  up  to  August,  2014  to  evaluate  the 
effect 
of    vitamin  C  treatment 
on 
weight  lost
of 
during  transportation
from  Lampung  Province  to  Bengkulu 
Provi
n
ce.
. 
Two group of cattle were observed in this research, 60 heads of the first group 
got 
500 mg 
vitamin C 
treatment and 60 head
s
as control. 
Varibale ob
served were body weight of cattle before and after transportation. 
Quarrel  between  body  weight  before  and  after  transportation  were 
weight  lost
. 
Weight  lost
of  cattle  of  the 
treatment  group  and  the  control  group  were  analysed  by  t  tests.  This  research  indi
cated  that 
weight  lost
of  
treatment group were not different with control group (
P>0,05).
It could be concluded that 500 mg 
vitamin C 
had 
not 
reduced 
yet
stress condition of cattle during transportation. It was 
suggested to increase 
dose of 
vitamin C 
i
n 
th
e next research.",1037,,,,,,,,,,,
1,pub,,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/882', 'docid': 882, 'main': '08 Kusuma Adhianto.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/6331', 'objectid': 882, 'filesize': 509740, 'datasetid': 'document', 'filename': '08 Kusuma Adhianto.pdf', 'hash': '3eea96e7935b0c9744feec6025eac96e', 'hash_type': 'MD5', 'mtime': '2016-10-29 00:44:59', 'mime_type': 'application/pdf', 'fileid': 6331}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 987, 'security': 'public', 'placement': 1}]",,public,http://repository.lppm.unila.ac.id/id/eprint/987,TRUE,2016-10-30 13:31:16,444,80-89,2016-10-30 13:31:16,,,"[{'name': {'lineage': None, 'family': 'Adhianto', 'honourific': None, 'given': 'Kusuma'}, 'id': '.'}]",2015-11-03 00:00:00.000000000,disk0/00/00/09/87,conference_item,['FP17'],http://satek.unila.ac.id/?page_id=479,KAJIAN PENINGKATAN DAYA SAING PETERNAK KAMBING SABURAI SKALA KECIL DI KABUPATEN TANGGAMUS,10,,show,archive,2016-10-30 13:31:16,['SF'],"The existence of small-scale goat breeders (ownership <20 head) to help stabilize the rural economy through employment creation and income distribution. But until now the resource potential breeder less explored cause economic value of goat farming is low. Study of efforts to increase the competitiveness of small-scale Saburai goat breeders aims to (1) determine the resource potential of small-scale goat breeders and (2) analyze the resource potential of small-scale Saburai goat breeders associated with increased business efficiency. A total of 156 Saburai goat breeders in two districts were selected as respondents by using stratified random sampling method. Based on descriptive statistical analysis illustrated that goat breeders in Tanggamus district been categorized potential breeder (moderate) Saburai goat breeders have implemented efficiently (R/C = 1,28). Business efficiency as an indicator of the competitiveness of micro-scale goat farming is closely related to the resource potential breeders. Improved resource potential breeders can be achieved by increasing the supply of production inputs, labor productivity and a wide range of technology introduction farm / ranch.",987,conference,3 Nopember 2015,SATEK VI,Bandarlampung,paper,,,,,,
2,pub,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/26680', 'rev_number': 1, 'format': 'text', 'pos': 1, 'files': [{'filename': '6. review K_Adhianto n iqbal  ISTAP p.pdf', 'hash': '760c4907b8a261eedd5caefa3f6074ee', 'hash_type': 'MD5', 'mtime': '2019-07-26 02:14:19', 'mime_type': 'application/pdf', 'fileid': 119266, 'filesize': 829313, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/119266', 'objectid': 26680}], 'docid': 26680, 'main': '6. review K_Adhianto n iqbal  ISTAP p.pdf', 'mime_type': 'application/pdf', 'language': 'en', 'security': 'public', 'placement': 1, 'eprintid': 13669}]",Fakultas Peternakan Gadjah Mada,public,http://repository.lppm.unila.ac.id/id/eprint/13669,,2019-08-01 06:50:22,444,,2019-08-01 06:50:22,,,"[{'id': '.', 'name': {'given': 'Kusuma', 'lineage': None, 'family': 'Adhianto', 'honourific': None}}, {'id': '.dima.iqbal@fp.unila.ac,id', 'name': {'honourific': None, 'family': 'Hamdani', 'lineage': None, 'given': 'M Dima Iqbal'}}]",1970-01-01 00:00:00.000002015,disk0/00/01/36/69,other,['FP17'],,Morphological Characteristics and Performance Boerawa Goat in Tanggamus District Lampung Province,7,,show,archive,2019-08-01 06:50:22,['SF'],"ABSTRACT: Lampung Province is an area that has the potency for the development of farm
businesses. One of suitable animals to be developed in Lampung Province is goat. The success
of business development of farm animal cannot be separated from the inluence of genetic and
environmental factors. One effort that can be taken to improve the genetic quality of the goat
is through crossbreeding. Crossbreeding is one of good way to improve animal production.
Crossbreeding between female Ettawah grade goats and male boer goats are known with the name
Boerawa goat. Currently Boerawa goat are developed in Tanggamus District Lampung Province.
The results of crossbreeding are expected to have higher performance than Ettawah grade goat.
High performance of growth is the result of genetic inheritance of Boer goats that have superior
growth characteristics. This research was conducted using survey method in Gisting, Tanggamus
District Lampung Province. Qualitative data on the morphological characteristics and performance
in a descriptive analysis from observations indicate that the morphological characteristics of goats
crossing at the post weaning period is better. It can be seen from some morphological parameters
that were observed, among others; body length, shoulder height, chest circumference, and of
aspects of performance; litter size, birth weight, and ADG also showed signiicant improvement
in this Boerawa goat",13669,,,,,,ISTAP,,,,,
3,pub,,"[{'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 13783, 'placement': 1, 'security': 'public', 'pos': 1, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26798', 'rev_number': 1, 'docid': 26798, 'main': 'Morphological_Charateristics_and_Performance_Boera.pdf', 'files': [{'objectid': 26798, 'uri': 'http://repository.lppm.unila.ac.id/id/file/120145', 'mime_type': 'application/pdf', 'fileid': 120145, 'hash': '595ceace491f047d38fa13888f9662dd', 'filename': 'Morphological_Charateristics_and_Performance_Boera.pdf', 'hash_type': 'MD5', 'mtime': '2019-08-09 01:15:12', 'datasetid': 'document', 'filesize': 1694576}]}]",Fakultas Peternakan Gadjah Mada,public,http://repository.lppm.unila.ac.id/id/eprint/13783,,2019-08-12 07:19:19,444,,2019-08-12 07:19:19,,,"[{'id': '.', 'name': {'given': 'Kusuma', 'lineage': None, 'family': 'Adhianto', 'honourific': None}}, {'id': '.dima.iqbal@fp.unila.ac,id', 'name': {'given': 'M Dima Iqbal', 'lineage': None, 'honourific': None, 'family': 'Hamdani'}}]",1970-01-01 00:00:00.000002015,disk0/00/01/37/83,other,['FP17'],,Morphological Characteristics and Performance Boerawa Goat in Tanggamus District Lampung Province,7,,show,archive,2019-08-12 07:19:19,['SF'],"Lampung Province is an area that has the potency for the development of farm
businesses. One of suitable animals to be developed in Lampung Province is goat. The success
of business development of farm animal cannot be separated from the inluence of genetic and
environmental factors. One effort that can be taken to improve the genetic quality of the goat
is through crossbreeding. Crossbreeding is one of good way to improve animal production.
Crossbreeding between female Ettawah grade goats and male boer goats are known with the name
Boerawa goat. Currently Boerawa goat are developed in Tanggamus District Lampung Province.
The results of crossbreeding are expected to have higher performance than Ettawah grade goat.
High performance of growth is the result of genetic inheritance of Boer goats that have superior
growth characteristics. This research was conducted using survey method in Gisting, Tanggamus
District Lampung Province. Qualitative data on the morphological characteristics and performance
in a descriptive analysis from observations indicate that the morphological characteristics of goats
crossing at the post weaning period is better. It can be seen from some morphological parameters
that were observed, among others; body length, shoulder height, chest circumference, and of
aspects of performance; litter size, birth weight, and ADG also showed signiicant improvement
in this Boerawa goat",13783,,,,,,ISTAP,,,,,
4,pub,,"[{'files': [{'fileid': 119248, 'mime_type': 'application/pdf', 'mtime': '2019-07-26 01:59:03', 'hash_type': 'MD5', 'filename': '4. review K_Adhianto dkk JSPI 2015 p.pdf', 'hash': '74a5adc3a8393984d8ad00be480d20b3', 'datasetid': 'document', 'filesize': 1011575, 'objectid': 26678, 'uri': 'http://repository.lppm.unila.ac.id/id/file/119248'}], 'main': '4. review K_Adhianto dkk JSPI 2015 p.pdf', 'docid': 26678, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26678', 'rev_number': 1, 'pos': 1, 'format': 'text', 'placement': 1, 'security': 'public', 'eprintid': 13667, 'language': 'en', 'mime_type': 'application/pdf'}]",Jurusan Peternakan Universitas Bengkulu,public,http://repository.lppm.unila.ac.id/id/eprint/13667,,2019-08-01 06:50:37,444,,2019-08-01 06:50:37,,,"[{'id': '.', 'name': {'given': 'Kusuma', 'lineage': None, 'family': 'Adhianto', 'honourific': None}}, {'id': '.dima.iqbal@fp.unila.ac,id', 'name': {'lineage': None, 'honourific': None, 'family': 'Hamdani', 'given': 'M Dima Iqbal'}}, {'id': None, 'name': {'honourific': None, 'family': 'Sulastri', 'lineage': None, 'given': 'Sulastri'}}]",1970-01-01 00:00:00.000002015,disk0/00/01/36/67,other,['FP17'],,"Model Kurva Pertumbuhan Pra Sapih Kambing Saburai di 
Kabupaten Tanggamus",8,,show,archive,2019-08-01 06:50:37,['SF'],"The growth curve is a figure of an individual's ability to display of the body's genetic potential and development
of the body. Research on the growth curve models of Saburai goat from birth until the age of 3 months has been
implemented in the area of  Tanggamus. The purpose of this study was to determine the growth curve models
Saburai goat in pre- weaning period. This study used observation method with a random sample of 145 goats.
Data were analyzed regression. The result showed that the growth curve models of Saburai goat from birth to 3
months followed the model of equation regression,Y= 0.16x + 3.29 for male and Y=0.149x + 3.25 for female.",13667,,,,,,JSPI,published,,,,
5,pub,,"[{'security': 'public', 'placement': 1, 'eprintid': 995, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/6380', 'objectid': 891, 'filesize': 1112985, 'datasetid': 'document', 'filename': 'Kusuma Adhianto Publikasi ISTAP 2015.pdf', 'hash': '67601fad00a99d42561da18a3f2faeae', 'hash_type': 'MD5', 'mtime': '2016-10-29 11:27:11', 'mime_type': 'application/pdf', 'fileid': 6380}], 'main': 'Kusuma Adhianto Publikasi ISTAP 2015.pdf', 'docid': 891, 'uri': 'http://repository.lppm.unila.ac.id/id/document/891', 'rev_number': 1, 'format': 'text', 'pos': 1}]",,public,http://repository.lppm.unila.ac.id/id/eprint/995,TRUE,2016-11-04 03:41:04,444,339-342,2016-10-30 13:31:59,,,"[{'id': '.', 'name': {'lineage': None, 'family': 'Adhianto', 'honourific': None, 'given': 'Kusuma'}}, {'id': None, 'name': {'family': 'Iqbal Hamdani', 'honourific': None, 'lineage': None, 'given': 'M Dima'}}]",2015-10-01 00:00:00.000000000,disk0/00/00/09/95,conference_item,['FP17'],,"Morphological Characteristics and Performance Boerawa Goat in Tanggamus
District Lampung Province",8,,show,archive,2016-10-30 13:31:59,['SF'],"Lampung Province is an area that has the potency for the development of farm
businesses. One of suitable animals to be developed in Lampung Province is goat. The success
of business development of farm animal cannot be separated from the inluence of genetic and
environmental factors. One effort that can be taken to improve the genetic quality of the goat
is through crossbreeding. Crossbreeding is one of good way to improve animal production.
Crossbreeding between female Ettawah grade goats and male boer goats are known with the name
Boerawa goat. Currently Boerawa goat are developed in Tanggamus District Lampung Province.
The results of crossbreeding are expected to have higher performance than Ettawah grade goat.
High performance of growth is the result of genetic inheritance of Boer goats that have superior
growth characteristics. This research was conducted using survey method in Gisting, Tanggamus
District Lampung Province. Qualitative data on the morphological characteristics and performance
in a descriptive analysis from observations indicate that the morphological characteristics of goats
crossing at the post weaning period is better. It can be seen from some morphological parameters
that were observed, among others; body length, shoulder height, chest circumference, and of
aspects of performance; litter size, birth weight, and ADG also showed signiicant improvement
in this Boerawa goat",995,conference,20-22 Oktober 2015,he 6th International Seminar on Tropical Animal Production,Yogyakarta,paper,,,,,,
6,pub,,"[{'format': 'text', 'pos': 1, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/884', 'main': '78. Kusuma Adhianto dkk Naskah Terbit.pdf', 'docid': 884, 'files': [{'datasetid': 'document', 'filesize': 71693, 'mime_type': 'application/pdf', 'fileid': 6341, 'filename': '78. Kusuma Adhianto dkk Naskah Terbit.pdf', 'hash': 'c6d9caafc5327c7eb9c8797ee585979a', 'hash_type': 'MD5', 'mtime': '2016-10-29 00:52:22', 'objectid': 884, 'uri': 'http://repository.lppm.unila.ac.id/id/file/6341'}], 'mime_type': 'application/pdf', 'language': 'en', 'eprintid': 989, 'security': 'public', 'placement': 1}]",,public,http://repository.lppm.unila.ac.id/id/eprint/989,TRUE,2016-10-30 13:31:51,444,554-561,2016-10-30 13:31:51,,,"[{'id': '.', 'name': {'given': 'Kusuma', 'honourific': None, 'family': 'Adhianto', 'lineage': None}}, {'name': {'family': 'Iqbal Hamdani', 'honourific': None, 'lineage': None, 'given': 'M Dima'}, 'id': None}, {'id': None, 'name': {'lineage': None, 'family': 'Harris', 'honourific': None, 'given': 'Idalina'}}]",2015-04-01 00:00:00.000000000,disk0/00/00/09/89,conference_item,['FP17'],http://semnas.polinela.ac.id/index.php/semnas2015/,"Analisis Ekonomi Usaha Penggemukan Kambing Dengan Pakan
Komplit",8,,show,archive,2016-10-30 13:31:51,['SF'],"Purpose of this research is to determine economic feasibility of the business goat fattening
with complete feed.The method used in this research is operational research which will be
conducted in the field observation on farmers who raise goats intensively and using complete
feed. Goat fattening usual range for 60 days. Data obtained is calculated income and benefit
from the business using the BCratio. Profits derived from the calculation of production costs
and the difference between total revenue and costs of production in accordance with the
level of efficiency of use of production factors on the best use. Goat fattening with complete
feed will be undertaken by livestock farmers produce BC ratio value of 1.20, it indicates that
this activity feasible to be developed.",989,conference,29 April 2015,Seminar Nasional Swasembada Pangan 2015,Bandarlampung,paper,,,,,,
7,pub,2.0,"[{'pos': 1, 'format': 'text', 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/876', 'docid': 876, 'main': 'Kusuma Adhianto dkk Naskah terbit.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/6298', 'objectid': 876, 'hash_type': 'MD5', 'mtime': '2016-10-28 10:59:41', 'hash': '842edd864d318c2a1ba24f1a1987c48c', 'filename': 'Kusuma Adhianto dkk Naskah terbit.pdf', 'fileid': 6298, 'mime_type': 'application/pdf', 'filesize': 678053, 'datasetid': 'document'}], 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 983, 'placement': 1, 'security': 'public'}]",Fakultas Peternakan UGM,public,http://repository.lppm.unila.ac.id/id/eprint/983,TRUE,2016-10-30 13:31:10,444,109-115,2016-10-30 13:31:10,Buletin Peternakan,0126-4400,"[{'id': '.', 'name': {'lineage': None, 'honourific': None, 'family': 'Adhianto', 'given': 'Kusuma'}}, {'name': {'family': 'Siswanto', 'honourific': None, 'lineage': None, 'given': 'Siswanto'}, 'id': None}, {'name': {'lineage': None, 'family': 'Nindya Kesuma', 'honourific': None, 'given': 'Citra'}, 'id': None}]",2015-06-01 00:00:00.000000000,disk0/00/00/09/83,article,['FP17'],https://journal.ugm.ac.id/buletinpeternakan/index,PENGARUH FREKUENSI PENYIRAMAN AIR MENGGUNAKAN SPRINKLER TERHADAP RESPON FISIOLOGIS DAN PERTUMBUHAN SAPI PERANAKAN SIMMENTAL,6,39.0,show,archive,2016-10-30 13:31:10,['SF'],"Penelitian bertujuan untuk mengetahui pengaruh frekuensi penyiraman air terhadap respon fisiologis dan produksi sapi Peranakan Simmental. Penelitian dilaksanakan selama 45 hari dimulai pada Desember 2014 hingga Januari 2015 bertempat di kandang peternakan Koperasi Gunung Madu Plantation, Kecamatan Gunung Batin, Kabupaten Lampung Tengah. Analisis ransum dilakukan di Laboratorium Nutrisi dan Makanan Ternak (NMT), Jurusan Peternakan, Fakultas Pertanian, Universitas Lampung. Desain penelitian menggunakan Rancangan Acak Lengkap (RAL) pola searah terdiri dari: tanpa perlakuan atau kontrol (P0), frekuensi penyiraman air 1 kali (P1), dan frekuensi penyiraman air 2 kali (P2). Berdasarkan hasil penelitian yang telah dilakukan dapat disimpulkan bahwa perlakuan frekuensi penyiraman air berpengaruh secara nyata (P<0,01) terhadap respon fisiologis ternak, dan berpengaruh secara nyata terhadap konsumsi dan pertumbuhan sapi Peranakan Simmental.",983,,,,,,,,,,,
8,pub,,"[{'eprintid': 42998, 'placement': 1, 'security': 'public', 'language': 'en', 'mime_type': 'application/pdf', 'main': 'aaabg2015dakhlan.pdf', 'docid': 164829, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/470685', 'objectid': 164829, 'filename': 'aaabg2015dakhlan.pdf', 'hash': '65f969915b6340ad7e53b6b26c0db642', 'hash_type': 'MD5', 'mtime': '2018-07-02 14:43:32', 'mime_type': 'application/pdf', 'fileid': 470685, 'filesize': 127054, 'datasetid': 'document'}], 'pos': 1, 'format': 'text', 'rev_number': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164829'}, {'placement': 7, 'security': 'public', 'eprintid': 42998, 'mime_type': 'application/pdf', 'language': 'en', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/470693', 'objectid': 164835, 'filesize': 427158, 'datasetid': 'document', 'mtime': '2022-07-06 04:55:02', 'hash_type': 'MD5', 'hash': '08473ad23333662efa323ce26babc6dc', 'filename': '1.Turnitin_aaabg2015dakhlan.pdf', 'fileid': 470693, 'mime_type': 'application/pdf'}], 'main': '1.Turnitin_aaabg2015dakhlan.pdf', 'docid': 164835, 'rev_number': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164835', 'pos': 7, 'format': 'text'}]",,public,http://repository.lppm.unila.ac.id/id/eprint/42998,TRUE,2022-07-06 07:41:20,811,405-408,2022-07-06 07:41:20,,,"[{'id': 'akhmad.dakhlan@fp.unila.ac.id', 'name': {'given': 'A.', 'honourific': None, 'family': 'Dakhlan', 'lineage': None}}, {'name': {'lineage': None, 'honourific': None, 'family': 'Moghaddar', 'given': 'N.'}, 'id': 'n.moghaddar@une.edu.au'}, {'name': {'lineage': None, 'family': 'Van der Werf', 'honourific': None, 'given': 'J.H.J.'}, 'id': 'jvanderw@une.edu.au'}]",1970-01-01 00:00:00.000002015,disk0/00/04/29/98,conference_item,['FP17'],http://www.aaabg.org/aaabghome/AAABG21papers/Dakhlan21405.pdf,Genotype by Birth or Rearing Type Interaction in Merino Sheep,4,,show,archive,2022-07-06 07:41:20,['SF'],"This study explores if there is an interaction between the genetic potential for growth in Merino lambs and their birth or rearing type. Data consisted of 3,920 singles and 4,492 twins birth type and they were the progeny of 285 sires and 5,279 dams. We found a significant sire by BT interaction with the sire x BT effect accounting for 1.59% and 2.49% of the phenotypic variation for birth weight (BWT) and weaning weight (WWT), respectively. The effect was not significant for post weaning weight (PWWT), scan fat (SF) and eye muscle depth (EMD) with sire x BT effects accounting for less than 1% of the variation. Sire by RT interaction effects were much smaller and not significant for WWT, PWWT and SF, but accounting for 1,83% in EMD, which was significant. Results from bivariate analysis correlations lower than one for expression of weight traits when expressed in singles versus twins, with BT having a slightly larger effect on genotype expression than RT.",42998,conference,28-30 September 2015,21st AAABG CONFERENCE 2015,"Lorne Mantra, Lorne, Victoria",paper,,published,8378.0,,,
9,pub,1.0,"[{'placement': 1, 'security': 'public', 'eprintid': 6789, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/62181', 'objectid': 19758, 'filesize': 94793, 'datasetid': 'document', 'hash_type': 'MD5', 'mtime': '2018-04-20 06:25:52', 'filename': 'JURNAL MH CR SAPI PO.pdf', 'hash': '1deedb00779f0d0290a5f23d9a09757b', 'fileid': 62181, 'mime_type': 'application/pdf'}], 'main': 'JURNAL MH CR SAPI PO.pdf', 'docid': 19758, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19758', 'rev_number': 1, 'pos': 1, 'format': 'text'}]",Jurusan Peternakan Unila,public,http://repository.lppm.unila.ac.id/id/eprint/6789,TRUE,2018-04-25 04:39:26,787,45-53,2018-04-25 04:39:26,JURNAL ILMIAH PETERNAKAN TERPADU,2303 1956,"[{'id': None, 'name': {'given': 'Fajar Fitraldi', 'lineage': None, 'family': 'Dirgahayu', 'honourific': None}}, {'name': {'given': 'Madi', 'lineage': None, 'honourific': None, 'family': 'Hartono'}, 'id': 'madi.hartono@fp.unila.ac.id'}, {'id': None, 'name': {'given': 'Purnama Edy', 'family': 'Santosa', 'honourific': None, 'lineage': None}}]",2015-02-01 00:00:00.000000000,disk0/00/00/67/89,article,['FP17'],http://jurnal.fp.unila.ac.id/index.php/JIPT,CONCEPTION RATE PADA SAPI POTONG DI KECAMATAN JATI AGUNG KABUPATEN LAMPUNG SELATAN,9,3.0,show,archive,2018-04-25 04:39:26,['SF'],"The aim of this research was to determine the conception rate and the factors value that affect in beef cattle in the district Jati Agung, South Lampung regency. This study was conducted in April 2014 to 1,410 head of beef cattle belonging to 776 farmers. The research used a survey method with primary and secondary data. Analysis data used regression analysis with SPSS ( Statistic Packet for Social Science) program.The results showed that the conception rate in the district Jati Agung is a great identity for 36.03 ± 1.16. Factors that effect conception rates in beef cattle in the district Jati Agung is distance between the cowshed with house that negatively assosiated with factor value 0.003, number of factor concentrate that negatively assosiated with factor value of 0.027, amount of forage factor that negatively assosiated with factor value 0.003, a large area of the cage that negatively assosiated with factor value 0.020, and amount of beef cows that maintained that negatively assosiated with factor value 0.049 and a positive association was never followed a course that positively assosiated with factor value 0.112. The factors that influence conception rates in beef cattle farm level is great on long weaning period that negatively assosiated with factor value 0.013, mating postpartum that positiively assosiated with factor value 0.376, calving interval that negatively assosiated with factor value 0.412, the age of cattle that positively assosiated with factor value 0.006, the first estrus postpartum artificial insemination that positively assosiated with factor value 0.133 and time to insemination that negatively assosiated with factor value 0,406.
(Key words: Conception rate, Beef cows, The factors and value)",6789,,,,,,,published,,"[{'id': 'madihartono66@yahoo.co.id', 'name': {'lineage': None, 'honourific': None, 'family': 'Hartono', 'given': 'Madi'}}]",['Universitas Lampung'],[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIPT'}]
